sequence,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeUAJvhFRhB1nB?6oBXmB2vBzsB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeFAJvhF0hBxiB?3lBGoByvBzsB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeFAJvhF0iB6oB?RmBXmB2vBzsB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeFAJvhF0hBxiB?zlBCoB2vBXtB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeaFJvhFfmB0hB?xiBGoB1vBzsB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeRAJvhF3hBOqB?lnBctBzqBCtB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeUAJvhF3hBxnB?zlB2vBCtBFtB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeRAJvhF3hB+oB?lnBiqB0qBzsB
TZJSLIO,O,X,X,O,O,X,O,X
TZJSLOI,O,X,X,O,O,O,X,X
TZJSOIL,O,X,X,O,O,O,X,X
TZJSOLI,O,X,X,O,O,O,X,X
TZJOILS,O,O,O,O,X,O,X,X
TZJOISL,O,O,O,O,X,O,X,X
TZJOLIS,O,O,O,X,X,O,X,X
TZJOLSI,O,X,O,X,X,O,X,X
TZJOSIL,O,O,O,O,X,O,X,X
TZJOSLI,O,X,O,O,X,O,X,X
TZSILJO,O,O,X,O,O,X,O,X
TZSILOJ,O,O,X,O,O,X,X,X
TZSIJLO,O,O,X,O,O,X,O,X
TZSIJOL,X,X,X,O,O,O,O,X
TZSIOLJ,O,O,X,O,O,X,X,X
TZSIOJL,O,O,X,O,O,O,X,X
TZSLIJO,O,X,X,O,O,X,O,X
TZSLIOJ,O,X,X,O,O,X,X,X
TZSLJIO,O,X,X,O,O,X,X,X
TZSLJOI,O,X,X,O,O,O,X,X
TZSLOIJ,O,X,X,O,O,X,X,X
TZSLOJI,X,X,X,X,O,O,X,X
TZSJILO,O,O,X,O,O,X,X,X
TZSJIOL,O,X,X,O,O,O,X,X
TZSJLIO,O,X,X,O,O,X,X,X
TZSJLOI,O,X,X,O,O,O,X,X
TZSJOIL,O,X,X,O,O,O,X,X
TZSJOLI,O,X,X,O,O,O,X,X
TZSOILJ,O,O,X,O,O,X,X,X
TZSOIJL,O,O,X,O,O,O,X,X
TZSOLIJ,O,X,X,O,O,X,X,X
TZSOLJI,O,X,X,X,O,O,X,X
TZSOJIL,O,O,X,X,O,O,X,X
TZSOJLI,O,X,X,X,O,O,X,X
TZOILJS,O,O,O,X,X,X,X,X
TZOILSJ,O,O,O,X,X,X,X,X
TZOIJLS,O,O,O,O,X,O,X,X
TZOIJSL,O,O,O,O,X,O,X,X
TZOISLJ,O,O,O,O,X,X,X,X
TZOISJL,O,O,X,O,X,O,X,X
TZOLIJS,O,O,O,X,X,X,X,X
TZOLISJ,O,O,O,X,X,X,X,X
TZOLJIS,O,O,O,X,O,O,X,X
TZOLJSI,O,O,O,X,O,O,X,X
TZOLSIJ,O,O,O,X,O,X,X,X
TZOLSJI,O,O,O,X,O,O,X,X
TZOJILS,O,O,O,X,O,O,X,X
TZOJISL,O,O,O,X,O,O,X,X
TZOJLIS,O,O,O,X,O,O,X,X
TZOJLSI,O,O,O,X,O,O,X,X
TZOJSIL,O,O,O,X,O,O,X,X
TZOJSLI,O,X,O,X,O,O,X,X
TZOSILJ,O,O,O,O,O,X,X,X
TZOSIJL,O,O,X,O,O,O,X,X
TZOSLIJ,O,X,O,O,O,X,X,X
TZOSLJI,O,X,O,X,O,O,X,X
TZOSJIL,O,O,O,X,O,O,X,X
TZOSJLI,O,X,O,X,O,O,X,X
TOILJSZ,O,X,O,X,O,X,X,X
TOILJZS,O,X,O,X,O,X,X,X
TOILSJZ,O,X,X,X,O,X,X,X
TOILSZJ,O,X,O,X,O,X,X,X
TOILZJS,O,X,O,X,X,X,X,X
TOILZSJ,O,X,O,X,X,X,X,X
TOIJLSZ,O,X,O,X,O,X,X,X
TOIJLZS,O,O,O,X,O,X,X,X
TOIJSLZ,O,X,O,X,O,X,X,X
TOIJSZL,O,O,O,X,O,X,X,X
TOIJZLS,O,O,O,X,O,X,X,X
TOIJZSL,O,O,O,X,O,X,X,X
TOISLJZ,O,X,X,X,O,X,X,X
TOISLZJ,O,X,O,X,O,X,X,X
TOISJLZ,O,X,X,X,O,X,X,X
TOISJZL,O,X,X,X,O,X,X,X
TOISZLJ,O,X,O,X,O,X,X,X
TOISZJL,O,X,X,X,O,X,X,X
TOIZLJS,O,O,O,X,X,X,X,X
TOIZLSJ,O,O,O,X,X,X,X,X
TOIZJLS,O,O,O,X,X,X,X,X
TOIZJSL,O,O,O,X,X,X,X,X
TOIZSLJ,O,O,O,X,X,X,X,X
TOIZSJL,O,O,X,X,X,X,X,X
TOLIJSZ,O,O,O,X,O,X,X,X
TOLIJZS,O,O,O,X,O,X,X,X
TOLISJZ,O,X,X,X,O,X,X,X
TOLISZJ,O,X,O,X,O,X,X,X
TOLIZJS,O,O,O,X,X,X,X,X
TOLIZSJ,O,O,O,X,X,X,X,X
TOLJISZ,O,O,O,X,O,X,X,X
TOLJIZS,O,O,O,X,O,X,X,X
TOLJSIZ,O,O,O,X,O,X,X,X
TOLJSZI,O,O,O,X,O,X,X,X
TOLJZIS,O,O,O,X,O,X,X,X
TOLJZSI,O,O,O,X,O,X,X,X
TOLSIJZ,O,O,X,X,O,X,X,X
TOLSIZJ,O,O,O,X,O,X,X,X
TOLSJIZ,O,O,O,X,O,X,X,X
TOLSJZI,O,O,O,X,O,X,X,X
TOLSZIJ,O,O,O,X,O,X,X,X
TOLSZJI,O,O,O,X,O,X,X,X
TOLZIJS,O,O,O,X,X,X,X,X
TOLZISJ,O,O,O,X,X,X,X,X
TOLZJIS,O,O,O,X,O,X,X,X
TOLZJSI,O,O,O,X,O,X,X,X
TOLZSIJ,O,O,O,X,O,X,X,X
TOLZSJI,O,O,O,X,O,X,X,X
TOJILSZ,O,O,O,X,O,X,X,X
TOJILZS,O,O,O,X,O,X,X,X
TOJISLZ,O,X,O,X,O,X,X,X
TOJISZL,O,O,O,X,O,O,X,X
TOJIZLS,O,O,O,X,O,O,X,X
TOJIZSL,O,O,O,X,O,O,X,X
TOJLISZ,O,O,O,X,O,X,X,X
TOJLIZS,O,O,O,X,O,X,X,X
TOJLSIZ,O,O,O,X,O,X,X,X
TOJLSZI,O,O,O,X,O,X,X,X
TOJLZIS,O,O,O,X,O,X,X,X
TOJLZSI,O,O,O,X,O,X,X,X
TOJSILZ,O,X,O,X,O,X,X,X
TOJSIZL,O,O,O,X,O,O,X,X
TOJSLIZ,O,X,O,O,O,X,X,X
TOJSLZI,O,X,O,O,O,X,X,X
TOJSZIL,O,O,O,O,O,O,X,X
TOJSZLI,O,X,O,O,O,O,X,X
TOJZILS,O,O,O,O,O,O,X,X
TOJZISL,O,O,O,O,O,O,X,X
TOJZLIS,O,O,O,X,O,O,X,X
TOJZLSI,O,O,O,X,O,O,X,X
TOJZSIL,O,O,O,O,O,O,X,X
TOJZSLI,O,X,O,O,O,O,X,X
TOSILJZ,O,X,X,X,O,X,X,X
TOSILZJ,O,X,O,X,O,X,X,X
TOSIJLZ,O,X,X,X,O,X,X,X
TOSIJZL,O,X,X,X,O,X,X,X
TOSIZLJ,O,X,O,X,O,X,X,X
TOSIZJL,O,X,X,X,O,X,X,X
TOSLIJZ,O,X,X,O,O,X,X,X
TOSLIZJ,O,X,O,O,O,X,X,X
TOSLJIZ,O,X,O,O,O,X,X,X
TOSLJZI,O,X,O,O,O,X,X,X
TOSLZIJ,O,X,O,O,O,X,X,X
TOSLZJI,O,X,O,X,O,X,X,X
TOSJILZ,O,X,O,X,O,X,X,X
TOSJIZL,O,O,O,X,O,O,X,X
TOSJLIZ,O,X,O,O,O,X,X,X
TOSJLZI,O,X,O,O,O,X,X,X
TOSJZIL,O,O,O,O,O,O,X,X
TOSJZLI,O,X,O,O,O,O,X,X
TOSZILJ,O,O,O,O,O,X,X,X
TOSZIJL,O,O,X,O,O,O,X,X
TOSZLIJ,O,X,O,O,O,X,X,X
TOSZLJI,O,X,O,X,O,O,X,X
TOSZJIL,O,O,O,X,O,O,X,X
TOSZJLI,O,X,O,X,O,O,X,X
TOZILJS,O,O,O,X,X,X,X,X
TOZILSJ,O,O,O,X,X,X,X,X
TOZIJLS,O,O,O,O,X,O,X,X
TOZIJSL,O,O,O,O,X,O,X,X
TOZISLJ,O,O,O,O,X,X,X,X
TOZISJL,O,O,X,O,X,O,X,X
TOZLIJS,O,O,O,X,X,X,X,X
TOZLISJ,O,O,O,X,X,X,X,X
TOZLJIS,O,O,O,X,O,O,X,X
TOZLJSI,O,O,O,X,O,O,X,X
TOZLSIJ,O,O,O,X,O,X,X,X
TOZLSJI,O,O,O,X,O,O,X,X
TOZJILS,O,O,O,X,O,O,X,X
TOZJISL,O,O,O,X,O,O,X,X
TOZJLIS,O,O,O,X,O,O,X,X
TOZJLSI,O,O,O,X,O,O,X,X
TOZJSIL,O,O,O,X,O,O,X,X
TOZJSLI,O,X,O,X,O,O,X,X
TOZSILJ,O,O,O,O,O,X,X,X
TOZSIJL,O,O,X,O,O,O,X,X
TOZSLIJ,O,X,O,O,O,X,X,X
TOZSLJI,O,X,O,X,O,O,X,X
TOZSJIL,O,O,O,X,O,O,X,X
TOZSJLI,O,X,O,X,O,O,X,X
ITLJSZO,O,X,O,X,O,X,X,X
ITLJSOZ,O,X,X,X,O,X,X,X
ITLJZSO,O,X,O,X,O,X,X,X
ITLJZOS,O,X,O,X,X,X,X,X
ITLJOSZ,X,X,X,X,O,X,X,X
ITLJOZS,O,X,O,X,X,X,X,X
ITLSJZO,O,X,X,X,O,X,X,X
ITLSJOZ,O,X,X,X,O,X,X,X
ITLSZJO,O,X,O,X,O,X,X,X
ITLSZOJ,O,X,O,X,O,X,X,X
ITLSOJZ,X,X,X,X,O,X,X,X
ITLSOZJ,O,X,X,X,O,X,X,X
ITLZJSO,O,X,O,X,X,X,X,X
ITLZJOS,O,X,O,X,X,X,X,X
ITLZSJO,O,X,O,X,X,X,X,X
ITLZSOJ,O,X,O,X,X,X,X,X
ITLZOJS,O,X,O,X,X,X,X,X
ITLZOSJ,O,X,O,X,X,X,X,X
ITLOJSZ,X,X,X,X,O,X,X,X
ITLOJZS,O,X,O,X,O,X,X,X
ITLOSJZ,X,X,X,X,O,X,X,X
ITLOSZJ,X,X,O,X,O,X,X,X
ITLOZJS,O,X,O,X,X,X,X,X
ITLOZSJ,O,X,O,X,X,X,X,X
ITJLSZO,O,X,O,X,O,X,X,X
ITJLSOZ,O,X,X,X,O,X,X,X
ITJLZSO,O,O,O,X,O,X,X,X
ITJLZOS,O,O,O,X,X,X,X,X
ITJLOSZ,X,X,O,X,O,X,X,X
ITJLOZS,O,X,O,X,X,X,X,X
ITJSLZO,O,X,O,O,O,X,X,X
ITJSLOZ,O,X,X,O,O,X,X,X
ITJSZLO,O,O,O,O,O,X,O,X
ITJSZOL,O,X,X,O,O,X,O,X
ITJSOLZ,O,X,O,X,O,X,X,X
ITJSOZL,O,X,O,X,O,X,X,X
ITJZLSO,O,O,O,O,O,X,X,X
ITJZLOS,O,O,O,O,X,X,X,X
ITJZSLO,O,O,O,O,O,X,O,X
ITJZSOL,O,X,X,O,O,X,O,X
ITJZOLS,O,O,O,O,X,X,X,X
ITJZOSL,X,X,O,O,X,X,X,X
ITJOLSZ,X,X,O,X,O,X,X,X
ITJOLZS,O,X,O,X,X,X,X,X
ITJOSLZ,X,X,O,X,O,X,X,X
ITJOSZL,X,X,O,X,O,X,X,X
ITJOZLS,O,O,O,X,X,X,X,X
ITJOZSL,X,X,O,X,X,X,X,X
ITSLJZO,O,X,X,O,O,X,X,X
ITSLJOZ,O,X,X,O,O,X,X,X
ITSLZJO,O,X,O,O,O,X,X,X
ITSLZOJ,O,X,O,O,O,X,X,X
ITSLOJZ,X,X,X,O,O,X,X,X
ITSLOZJ,O,X,X,O,O,X,X,X
ITSJLZO,O,X,X,O,O,X,X,X
ITSJLOZ,O,X,X,O,O,X,X,X
ITSJZLO,O,X,X,O,O,X,O,X
ITSJZOL,O,X,X,O,O,X,O,X
ITSJOLZ,O,X,X,X,O,X,X,X
ITSJOZL,O,X,X,X,O,X,X,X
ITSZLJO,O,X,O,O,O,X,O,X
ITSZLOJ,O,X,O,O,O,X,X,X
ITSZJLO,O,X,X,O,O,X,O,X
ITSZJOL,X,X,X,O,O,X,O,X
ITSZOLJ,O,X,X,O,O,X,X,X
ITSZOJL,X,X,X,O,O,X,X,X
ITSOLJZ,X,X,X,X,O,X,X,X
ITSOLZJ,O,X,O,X,O,X,X,X
ITSOJLZ,X,X,X,X,O,X,X,X
ITSOJZL,X,X,X,X,O,X,X,X
ITSOZLJ,O,X,O,X,O,X,X,X
ITSOZJL,X,X,X,X,O,X,X,X
ITZLJSO,O,O,O,O,X,X,X,X
ITZLJOS,O,O,O,O,X,X,X,X
ITZLSJO,O,O,O,O,X,X,X,X
ITZLSOJ,O,O,O,O,X,X,X,X
ITZLOJS,O,O,O,X,X,X,X,X
ITZLOSJ,O,O,O,X,X,X,X,X
ITZJLSO,O,O,O,O,X,X,X,X
ITZJLOS,O,O,O,O,X,X,X,X
ITZJSLO,O,O,O,O,X,X,O,X
ITZJSOL,O,X,X,O,X,X,O,X
ITZJOLS,O,O,O,O,X,X,X,X
ITZJOSL,X,O,X,O,X,X,X,X
ITZSLJO,O,O,O,O,X,X,O,X
ITZSLOJ,O,O,O,O,X,X,X,X
ITZSJLO,O,O,X,O,X,X,O,X
ITZSJOL,X,X,X,O,X,X,O,X
ITZSOLJ,O,O,X,O,X,X,X,X
ITZSOJL,X,O,X,O,X,X,X,X
ITZOLJS,O,O,O,X,X,X,X,X
ITZOLSJ,O,O,O,X,X,X,X,X
ITZOJLS,X,O,O,O,X,X,X,X
ITZOJSL,X,O,X,O,X,X,X,X
ITZOSLJ,X,O,O,O,X,X,X,X
ITZOSJL,X,O,X,O,X,X,X,X
ITOLJSZ,X,X,O,X,O,X,X,X
ITOLJZS,O,X,O,X,O,X,X,X
ITOLSJZ,X,X,X,X,O,X,X,X
ITOLSZJ,X,X,O,X,O,X,X,X
ITOLZJS,O,X,O,X,X,X,X,X
ITOLZSJ,O,X,O,X,X,X,X,X
ITOJLSZ,X,X,O,X,O,X,X,X
ITOJLZS,O,O,O,X,O,X,X,X
ITOJSLZ,X,X,O,X,O,X,X,X
ITOJSZL,X,O,O,X,O,X,X,X
ITOJZLS,O,O,O,X,O,X,X,X
ITOJZSL,X,O,O,X,O,X,X,X
ITOSLJZ,X,X,X,X,O,X,X,X
ITOSLZJ,X,X,O,X,O,X,X,X
ITOSJLZ,X,X,X,X,O,X,X,X
ITOSJZL,X,X,X,X,O,X,X,X
ITOSZLJ,X,X,O,X,O,X,X,X
ITOSZJL,X,X,X,X,O,X,X,X
ITOZLJS,O,O,O,X,X,X,X,X
ITOZLSJ,O,O,O,X,X,X,X,X
ITOZJLS,X,O,O,X,X,X,X,X
ITOZJSL,X,O,O,X,X,X,X,X
ITOZSLJ,X,O,O,X,X,X,X,X
ITOZSJL,X,O,X,X,X,X,X,X
ILTJSZO,O,O,O,X,O,X,O,X
ILTJSOZ,O,X,X,X,O,X,X,X
ILTJZSO,O,O,O,X,O,X,O,X
ILTJZOS,O,O,O,X,X,X,X,X
ILTJOSZ,X,X,X,X,O,X,X,X
ILTJOZS,O,O,O,X,X,X,X,X
ILTSJZO,O,X,X,X,O,X,O,X
ILTSJOZ,O,X,X,X,O,X,X,X
ILTSZJO,O,X,O,X,O,X,O,X
ILTSZOJ,O,X,O,X,O,X,X,X
ILTSOJZ,X,X,X,X,O,X,X,X
ILTSOZJ,O,X,X,X,O,X,X,X
ILTZJSO,O,O,O,X,X,X,O,X
ILTZJOS,O,O,O,X,X,X,X,X
ILTZSJO,O,O,O,X,X,X,O,X
ILTZSOJ,O,O,O,X,X,X,X,X
ILTZOJS,O,O,O,X,X,X,X,X
ILTZOSJ,O,O,O,X,X,X,X,X
ILTOJSZ,X,O,X,X,O,X,X,X
ILTOJZS,O,O,O,X,O,X,X,X
ILTOSJZ,X,X,X,X,O,X,X,X
ILTOSZJ,X,X,O,X,O,X,X,X
ILTOZJS,O,O,O,X,X,X,X,X
ILTOZSJ,O,O,O,X,X,X,X,X
ILJTSZO,O,O,O,X,O,X,O,O
ILJTSOZ,O,O,X,X,O,X,X,X
ILJTZSO,O,O,O,X,O,X,O,O
ILJTZOS,O,O,O,X,X,X,X,O
ILJTOSZ,X,X,O,X,O,X,X,X
ILJTOZS,O,O,O,X,X,X,X,X
ILJSTZO,O,O,O,X,O,X,O,O
ILJSTOZ,O,O,X,X,O,X,X,X
ILJSZTO,O,O,O,X,X,X,O,X
ILJSZOT,X,O,X,X,X,X,O,X
ILJSOTZ,X,O,X,X,X,X,X,X
ILJSOZT,X,O,X,X,X,X,O,X
ILJZTSO,O,O,O,X,O,X,O,X
ILJZTOS,O,O,O,X,X,X,X,X
ILJZSTO,O,O,O,X,X,X,O,X
ILJZSOT,X,O,X,X,X,X,O,X
ILJZOTS,X,O,O,X,X,X,X,X
ILJZOST,X,O,X,X,X,X,O,X
ILJOTSZ,X,X,O,X,O,X,X,X
ILJOTZS,X,O,O,X,X,X,X,X
ILJOSTZ,X,O,O,X,X,X,X,X
ILJOSZT,X,O,O,X,X,X,O,X
ILJOZTS,X,O,O,X,X,X,X,X
ILJOZST,X,O,O,X,X,X,O,X
ILSTJZO,O,O,X,X,X,X,O,X
ILSTJOZ,O,O,X,X,X,X,X,X
ILSTZJO,O,O,O,X,X,X,O,X
ILSTZOJ,O,O,O,X,X,X,X,X
ILSTOJZ,X,O,X,X,X,X,X,X
ILSTOZJ,O,O,X,X,X,X,X,X
ILSJTZO,O,O,O,X,X,X,O,O
ILSJTOZ,O,O,X,X,X,X,X,X
ILSJZTO,O,O,O,X,X,X,O,X
ILSJZOT,X,O,X,X,X,X,O,X
ILSJOTZ,X,O,X,X,X,X,X,X
ILSJOZT,X,O,X,X,X,X,O,X
ILSZTJO,O,O,O,X,X,X,O,X
ILSZTOJ,O,O,O,X,X,X,X,X
ILSZJTO,X,O,O,X,X,X,O,X
ILSZJOT,X,O,X,X,X,X,O,X
ILSZOTJ,X,O,X,X,X,X,X,X
ILSZOJT,X,O,X,X,X,X,O,X
ILSOTJZ,X,O,X,X,X,X,X,X
ILSOTZJ,X,O,X,X,X,X,X,X
ILSOJTZ,X,O,X,X,X,X,X,X
ILSOJZT,X,O,X,X,X,X,O,X
ILSOZTJ,X,O,X,X,X,X,X,X
ILSOZJT,X,O,X,X,X,X,O,X
ILZTJSO,O,O,O,X,X,X,O,X
ILZTJOS,O,O,O,X,X,X,X,X
ILZTSJO,O,O,O,X,X,X,O,X
ILZTSOJ,O,O,O,X,X,X,X,X
ILZTOJS,O,O,O,X,X,X,X,X
ILZTOSJ,O,O,O,X,X,X,X,X
ILZJTSO,O,O,O,X,X,X,O,X
ILZJTOS,O,O,O,X,X,X,X,X
ILZJSTO,O,O,O,X,X,X,O,X
ILZJSOT,X,O,X,X,X,X,O,X
ILZJOTS,X,O,O,X,X,X,X,X
ILZJOST,X,O,X,X,X,X,O,X
ILZSTJO,O,O,O,X,X,X,O,X
ILZSTOJ,O,O,O,X,X,X,X,X
ILZSJTO,X,O,O,X,X,X,O,X
ILZSJOT,X,O,X,X,X,X,O,X
ILZSOTJ,X,O,X,X,X,X,X,X
ILZSOJT,X,O,X,X,X,X,O,X
ILZOTJS,X,O,O,X,X,X,X,X
ILZOTSJ,X,O,O,X,X,X,X,X
ILZOJTS,X,O,O,X,X,X,X,X
ILZOJST,X,O,X,X,X,X,O,X
ILZOSTJ,X,O,X,X,X,X,X,X
ILZOSJT,X,O,X,X,X,X,O,X
ILOTJSZ,X,O,O,X,O,X,X,X
ILOTJZS,X,O,O,X,O,X,X,X
ILOTSJZ,X,X,X,X,O,X,X,X
ILOTSZJ,X,X,O,X,O,X,X,X
ILOTZJS,X,O,O,X,X,X,X,X
ILOTZSJ,X,O,O,X,X,X,X,X
ILOJTSZ,X,O,O,X,O,X,X,X
ILOJTZS,X,O,O,X,O,X,X,X
ILOJSTZ,X,O,O,X,O,X,X,X
ILOJSZT,X,O,O,X,X,X,O,X
ILOJZTS,X,O,O,X,O,X,X,X
ILOJZST,X,O,O,X,X,X,O,X
ILOSTJZ,X,O,X,X,X,X,X,X
ILOSTZJ,X,O,O,X,X,X,X,X
ILOSJTZ,X,O,O,X,X,X,X,X
ILOSJZT,X,O,O,X,X,X,O,X
ILOSZTJ,X,O,O,X,X,X,X,X
ILOSZJT,X,O,O,X,X,X,O,X
ILOZTJS,X,O,O,X,X,X,X,X
ILOZTSJ,X,O,O,X,X,X,X,X
ILOZJTS,X,O,O,X,X,X,X,X
ILOZJST,X,O,O,X,X,X,O,X
ILOZSTJ,X,O,O,X,X,X,X,X
ILOZSJT,X,O,O,X,X,X,O,X
IJTLSZO,O,O,O,X,O,X,X,O
IJTLSOZ,O,O,X,X,O,X,X,X
IJTLZSO,O,O,O,X,O,X,X,O
IJTLZOS,O,O,O,X,X,X,X,O
IJTLOSZ,X,X,O,X,O,X,X,X
IJTLOZS,O,O,O,X,X,X,X,X
IJTSLZO,O,X,O,O,O,X,X,O
IJTSLOZ,O,X,X,O,O,X,X,X
IJTSZLO,O,O,O,O,O,X,O,X
IJTSZOL,O,X,X,O,O,X,O,X
IJTSOLZ,O,X,O,X,O,X,X,X
IJTSOZL,O,X,O,X,O,X,X,X
IJTZLSO,O,O,O,O,O,X,X,X
IJTZLOS,O,O,O,O,X,X,X,X
IJTZSLO,O,O,O,O,O,X,O,X
IJTZSOL,O,X,X,O,O,X,O,X
IJTZOLS,O,O,O,O,X,X,X,X
IJTZOSL,X,X,O,O,X,X,X,X
IJTOLSZ,X,X,O,X,O,X,X,X
IJTOLZS,O,X,O,X,X,X,X,X
IJTOSLZ,X,X,O,X,O,X,X,X
IJTOSZL,X,X,O,X,O,X,X,X
IJTOZLS,O,O,O,X,X,X,X,X
IJTOZSL,X,X,O,X,X,X,X,X
IJLTSZO,O,O,O,X,O,X,O,O
IJLTSOZ,O,O,X,X,O,X,X,X
IJLTZSO,O,O,O,X,O,X,O,O
IJLTZOS,O,O,O,X,X,X,X,O
IJLTOSZ,X,X,O,X,O,X,X,X
IJLTOZS,O,O,O,X,X,X,X,X
IJLSTZO,O,O,O,X,O,X,O,O
IJLSTOZ,O,O,X,X,O,X,X,X
IJLSZTO,O,O,O,X,X,X,O,X
IJLSZOT,X,O,X,X,X,X,O,X
IJLSOTZ,X,O,X,X,X,X,X,X
IJLSOZT,X,O,X,X,X,X,O,X
IJLZTSO,O,O,O,X,O,X,O,X
IJLZTOS,O,O,O,X,X,X,X,X
IJLZSTO,O,O,O,X,X,X,O,X
IJLZSOT,X,O,X,X,X,X,O,X
IJLZOTS,X,O,O,X,X,X,X,X
IJLZOST,X,O,X,X,X,X,O,X
IJLOTSZ,X,X,O,X,O,X,X,X
IJLOTZS,X,O,O,X,X,X,X,X
IJLOSTZ,X,O,O,X,X,X,X,X
IJLOSZT,X,O,O,X,X,X,O,X
IJLOZTS,X,O,O,X,X,X,X,X
IJLOZST,X,O,O,X,X,X,O,X
IJSTLZO,O,X,O,O,O,X,X,O
IJSTLOZ,O,X,X,O,O,X,X,X
IJSTZLO,O,O,O,O,O,X,O,X
IJSTZOL,O,X,X,O,O,X,O,X
IJSTOLZ,O,X,O,X,O,X,X,X
IJSTOZL,O,X,O,X,O,X,X,X
IJSLTZO,O,O,O,O,O,X,O,O
IJSLTOZ,O,O,X,O,O,X,X,X
IJSLZTO,O,O,O,O,X,X,O,X
IJSLZOT,O,O,X,O,X,X,O,X
IJSLOTZ,O,O,X,O,X,X,X,X
IJSLOZT,O,O,X,O,X,X,O,X
IJSZTLO,O,O,O,O,X,X,O,X
IJSZTOL,O,X,X,O,X,O,O,X
IJSZLTO,O,O,O,O,X,X,O,X
IJSZLOT,O,O,X,O,X,X,O,X
IJSZOTL,O,X,X,O,X,X,O,X
IJSZOLT,O,X,X,X,X,X,O,X
IJSOTLZ,O,X,O,O,X,X,X,X
IJSOTZL,O,X,O,O,X,X,X,X
IJSOLTZ,O,X,O,O,X,X,X,X
IJSOLZT,O,X,O,O,X,X,X,X
IJSOZTL,O,X,O,O,X,X,O,X
IJSOZLT,O,X,O,O,X,X,O,X
IJZTLSO,O,O,O,O,O,X,X,X
IJZTLOS,O,O,O,O,X,X,X,X
IJZTSLO,O,O,O,O,O,X,O,X
IJZTSOL,O,X,X,O,O,O,O,X
IJZTOLS,O,O,O,O,X,X,X,X
IJZTOSL,O,X,O,O,X,X,X,X
IJZLTSO,O,O,O,O,O,X,O,X
IJZLTOS,O,O,O,O,X,X,X,X
IJZLSTO,O,O,O,X,X,X,O,X
IJZLSOT,X,O,X,X,X,X,O,X
IJZLOTS,O,O,O,X,X,X,X,X
IJZLOST,X,O,X,X,X,X,O,X
IJZSTLO,O,O,O,O,X,X,O,X
IJZSTOL,O,X,X,O,X,O,O,X
IJZSLTO,O,O,O,O,X,X,O,X
IJZSLOT,O,O,X,O,X,X,O,X
IJZSOTL,O,X,X,O,X,X,O,X
IJZSOLT,O,X,X,X,X,X,O,X
IJZOTLS,O,O,O,O,X,X,X,X
IJZOTSL,O,X,O,O,X,X,X,X
IJZOLTS,O,O,O,X,X,X,X,X
IJZOLST,X,O,O,X,X,X,X,X
IJZOSTL,O,X,O,X,X,X,O,X
IJZOSLT,O,X,O,X,X,X,O,X
IJOTLSZ,O,X,O,X,O,X,X,X
IJOTLZS,O,X,O,X,X,X,X,X
IJOTSLZ,O,X,O,O,O,X,X,X
IJOTSZL,O,X,O,O,O,X,X,X
IJOTZLS,O,O,O,O,X,X,X,X
IJOTZSL,O,X,O,O,X,X,X,X
IJOLTSZ,O,X,O,X,O,X,X,X
IJOLTZS,O,O,O,X,X,X,X,X
IJOLSTZ,X,O,O,X,X,X,X,X
IJOLSZT,X,O,O,X,X,X,X,X
IJOLZTS,O,O,O,X,X,X,X,X
IJOLZST,X,O,O,X,X,X,X,X
IJOSTLZ,O,X,O,O,X,X,X,X
IJOSTZL,O,X,O,O,X,X,X,X
IJOSLTZ,O,X,O,O,X,X,X,X
IJOSLZT,O,X,O,O,X,X,X,X
IJOSZTL,O,X,O,O,X,X,O,X
IJOSZLT,O,X,O,O,X,X,O,X
IJOZTLS,O,O,O,O,X,X,X,X
IJOZTSL,O,X,O,O,X,X,X,X
IJOZLTS,O,O,O,O,X,X,X,X
IJOZLST,X,O,O,X,X,X,X,X
IJOZSTL,O,X,O,O,X,X,O,X
IJOZSLT,O,X,O,O,X,X,O,X
ISTLJZO,O,X,X,O,X,X,X,X
ISTLJOZ,O,X,X,O,X,X,X,X
ISTLZJO,O,X,O,O,X,X,X,X
ISTLZOJ,O,X,O,O,X,X,X,X
ISTLOJZ,X,X,X,O,X,X,X,X
ISTLOZJ,O,X,X,O,X,X,X,X
ISTJLZO,O,X,X,O,X,X,X,X
ISTJLOZ,O,X,X,O,X,X,X,X
ISTJZLO,O,X,X,O,X,X,O,X
ISTJZOL,O,X,X,O,X,X,O,X
ISTJOLZ,O,X,X,X,X,X,X,X
ISTJOZL,O,X,X,X,X,X,X,X
ISTZLJO,O,X,O,O,X,X,O,X
ISTZLOJ,O,X,O,O,X,X,X,X
ISTZJLO,O,X,X,O,X,X,O,X
ISTZJOL,X,X,X,O,X,X,O,X
ISTZOLJ,O,X,X,O,X,X,X,X
ISTZOJL,O,X,X,O,X,X,X,X
ISTOLJZ,O,X,X,X,X,X,X,X
ISTOLZJ,O,X,O,X,X,X,X,X
