sequence,v115@NhA8CeB8DeE8DeC8AeA8JeT/IvhFOlBXhBxiBcrBSv?BFtB,v115@NhA8CeB8DeE8DeC8AeA8JeT/IvhFChBliBxqBeqBct?BXrB,v115@NhA8CeB8DeE8DeC8AeA8JeGBJvhFliBxqB/pBaqBct?BzqB,v115@NhA8CeB8DeE8DeC8AeA8JeT/IvhFxgBSoBcrBXqBlq?BmsB,v115@NhA8CeB8DeE8DeC8AeA8JezAJvhF+mBxiB0qB/pBaq?BFtB,v115@NhA8CeB8DeE8DeC8AeA8JeUAJvhF+mBxiBTqB/pBar?BFtB,v115@NhA8CeB8DeE8DeC8AeA8Jei/IvhFWmBliBxqBctBzp?BXrB,v115@NhA8CeB8DeE8DeC8AeA8Jei/IvhF+mBliBRlBXqBct?BzqB,v115@NhA8CeB8DeE8DeC8AeA8JeT/IvhFylB+mBxiBXqBFt?B0qB,v115@NhA8CeB8DeE8DeC8AeA8Je2EJvhFChBliBxqBctBXr?BzpB,v115@NhA8CeB8DeE8DeC8AeA8JeT/IvhFSoBxqBcrBXqBlq?BmsB,v115@NhA8CeB8DeE8DeC8AeA8JeT/IvhFXhBxiBeqBSrBFt?B0qB,v115@NhA8CeB8DeE8DeC8AeA8Jex/IvhFXhBSoBcrBTqBlp?BmsB,v115@NhA8CeB8DeE8DeC8AeA8Je2EJvhFThBxiBcqBXrBFt?BCqB,v115@NhA8CeB8DeE8DeC8AeA8JeT/IvhFxgBliBeqBCmBXr?BctB,v115@NhA8CeB8DeE8DeC8AeA8JeT/IvhF6mBxiBmlBXqBFt?B0qB,v115@NhA8CeB8DeE8DeC8AeA8JeT/IvhFSoBxlBcrBXqBlq?BmsB,v115@NhA8CeB8DeE8DeC8AeA8JeSIJvhFxkBTmB/qB0pBFr?BmsB,v115@NhA8CeB8DeE8DeC8AeA8JeT/IvhFfmB6mBxiB0qBeq?BFtB
IZOSLJT,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O
IZOSJTL,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOSJLT,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTLJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTLSZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IOTLZJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOTJLSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJLZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSZL,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJZLS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJZSL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTSJLZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJZL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTSZJL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZLJS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOTZJLS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTZJSL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTZSLJ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOTZSJL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLTSZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IOLTZJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLJTSZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLJTZS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLJSTZ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
IOLJSZT,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X
IOLJZTS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZST,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLSTJZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLSTZJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
IOLSJTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IOLSJZT,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X
IOLSZTJ,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X
IOLSZJT,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X
IOLZTJS,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOLZTSJ,O,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
IOLZJTS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLZJST,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLZSTJ,O,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X
IOLZSJT,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
IOJTLSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSZL,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZLS,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZSL,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJLTZS,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJLSTZ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
IOJLSZT,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X
IOJLZTS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZST,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOJSTLZ,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJSTZL,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJSLTZ,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOJSLZT,X,O,O,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X
IOJSZTL,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJSZLT,X,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOJZTLS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTSL,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJZLTS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLST,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOJZSTL,X,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJZSLT,X,O,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSTLJZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOSTJLZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJZL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSTZJL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSLTZJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
IOSLJTZ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X
IOSLJZT,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X
IOSLZTJ,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X
IOSLZJT,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X
IOSJTLZ,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSJTZL,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSJLTZ,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
IOSJLZT,X,O,O,X,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X
IOSJZTL,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSJZLT,X,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSZTLJ,X,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSZTJL,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSZLTJ,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X
IOSZLJT,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X
IOSZJTL,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSZJLT,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOZTLJS,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOZTLSJ,O,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
IOZTJLS,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOZTJSL,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOZTSLJ,X,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
IOZTSJL,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOZLTJS,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOZLTSJ,O,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
IOZLJTS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZLJST,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOZLSTJ,O,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X
IOZLSJT,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
IOZJTLS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTSL,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZJLTS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLST,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOZJSTL,X,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZJSLT,X,O,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOZSTLJ,X,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
IOZSTJL,X,O,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOZSLTJ,O,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
IOZSLJT,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O
IOZSJTL,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZSJLT,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
LTIJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJZSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISJZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISZJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISZOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTISOJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISOZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIZJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZJOS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIZSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZSOJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTIZOJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIZOSJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTIOJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOJZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIOSJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIOSZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LTIOZJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIOZSJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJISZO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJISOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJIZSO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJIZOS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJIOSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJIOZS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJSIZO,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTJSIOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJSZIO,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTJSZOI,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTJSOIZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJSOZI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJZISO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJZIOS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJZSIO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJZSOI,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJZOIS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJZOSI,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOISZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOIZS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOSIZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOSZI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOZIS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOZSI,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSIJZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSIJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIZJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIZOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTSJIZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LTSJIOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTSJZIO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LTSJZOI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LTSJOIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTSJOZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTSZIJO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZIOJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZJIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZJOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZOIJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZOJI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOIJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOIZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTSOJIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTSOJZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTSOZIJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOZJI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZISJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZISOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJIOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJSIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJSOI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJOIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJOSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZSIJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZSIOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZSJIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZSJOI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZSOIJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZSOJI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOIJS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZOISJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZOJIS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZOJSI,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZOSIJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZOSJI,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOIJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOISJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTOISZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LTOIZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIZSJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOJISZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOJIZS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOJSIZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOJSZI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOJZIS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOJZSI,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOSIJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSIZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTOSJIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOSJZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOSZIJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSZJI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZIJS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOZISJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOZJIS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOZJSI,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOZSIJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOZSJI,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJZSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITSJZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITSJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITSZJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITSZOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITSOJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITSOZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITZJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITZJOS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LITZSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITZSOJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LITZOJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LITZOSJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LITOJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITOJZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LITOSJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITOSZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LITOZJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LITOZSJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LIJTSZO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJTSOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJTZSO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJTZOS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJTOSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJTOZS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJSTZO,X,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LIJSTOZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJSZTO,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LIJSZOT,O,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LIJSOTZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJSOZT,O,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LIJZTSO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LIJZTOS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJZSTO,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
