sequence,v115@IhA8HeD8DeA8AeD8CeB8Kei/IvhF3gB1mBmiB5oBcs?BTrB,v115@IhA8HeD8DeA8AeD8CeB8Kei/IvhF1lBmhBziB5oBcr?BXsB,v115@IhA8HeD8DeA8AeD8CeB8Kei/IvhF3gBFiB8nB5oBOr?BzrB,v115@IhA8HeD8DeA8AeD8CeB8Kei/IvhF3gBcmBmiB5oBTn?B1wB
TOJILSZ,X,X,X,X
TOJILZS,X,X,X,O
TOJISLZ,X,X,X,X
TOJISZL,X,X,X,X
TOJIZLS,X,X,X,O
TOJIZSL,X,X,X,O
TOJLISZ,X,X,X,X
TOJLIZS,X,X,X,O
TOJLSIZ,X,X,X,X
TOJLSZI,X,X,X,X
TOJLZIS,X,X,X,O
TOJLZSI,X,X,X,O
TOJSILZ,X,X,X,X
TOJSIZL,X,X,X,X
TOJSLIZ,X,X,X,X
TOJSLZI,X,X,X,X
TOJSZIL,X,X,X,X
TOJSZLI,X,X,X,X
TOJZILS,X,X,X,O
TOJZISL,X,X,X,O
TOJZLIS,X,X,X,O
TOJZLSI,X,X,X,O
TOJZSIL,X,X,X,O
TOJZSLI,X,X,X,O
TOSILJZ,X,X,X,X
TOSILZJ,X,O,X,X
TOSIJLZ,X,X,X,X
TOSIJZL,X,X,X,X
TOSIZLJ,X,O,X,X
TOSIZJL,X,O,X,X
TOSLIJZ,X,X,X,X
TOSLIZJ,X,O,X,X
TOSLJIZ,X,X,X,X
TOSLJZI,X,X,X,X
TOSLZIJ,X,O,X,X
TOSLZJI,X,O,X,X
TOSJILZ,X,X,X,X
TOSJIZL,X,X,X,X
TOSJLIZ,X,X,X,X
TOSJLZI,X,X,X,X
TOSJZIL,X,X,X,X
TOSJZLI,X,X,X,X
TOSZILJ,X,O,X,X
TOSZIJL,X,O,X,X
TOSZLIJ,X,O,X,X
TOSZLJI,X,O,X,X
TOSZJIL,X,O,X,X
TOSZJLI,X,O,X,X
TOZILJS,X,O,X,O
TOZILSJ,X,X,X,O
TOZIJLS,X,O,X,O
TOZIJSL,X,X,X,O
TOZISLJ,X,X,X,O
TOZISJL,X,X,X,O
