sequence,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFVnBaoB5oBO?qBzqB0sB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFVnBaoB5oBm?qB0sBTqB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MelAJvhFRiBcoBXmBT?nB2vBSyB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFmiB5oBFnBi?qBzsB0qB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeVGJvhFRiBSoB/sB0?lB2vBTtB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFxiBFnBToBi?qBWyB0qB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhF5oBUnBatBO?qBzqBlsB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFxiBUnBFoBm?qBSyBTqB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MexAJvhFTjB3lBFnBy?vBGtB0sB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhF5oBUnBatBm?qBTqBlsB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhF5oBFnB8sBT?lByvBmsB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFxiBFnB8sB+?tBTlByvB
TSLJOZI,X,X,O,O,O,O,X,X,O,X,X,X
TSLZIJO,O,O,O,X,O,X,X,X,O,X,O,X
TSLZIOJ,O,O,O,X,X,X,X,X,X,X,O,X
TSLZJIO,O,O,O,X,O,X,X,X,O,X,O,X
TSLZJOI,X,X,O,X,O,O,X,X,O,X,X,X
TSLZOIJ,O,O,O,O,X,X,X,X,X,X,O,X
TSLZOJI,X,X,O,O,X,X,X,X,X,X,X,X
TSLOIJZ,O,X,X,O,O,X,X,X,O,X,X,X
TSLOIZJ,O,X,O,O,O,X,X,X,X,X,X,X
TSLOJIZ,O,X,X,O,O,O,X,X,O,X,X,X
TSLOJZI,X,X,O,O,O,O,X,X,O,X,X,X
TSLOZIJ,O,X,O,O,O,X,X,X,X,X,O,X
TSLOZJI,X,X,O,O,O,X,X,X,X,X,X,X
TSJILZO,O,O,X,X,O,X,X,X,X,X,X,X
TSJILOZ,O,X,X,X,O,X,X,X,X,X,X,X
TSJIZLO,O,O,X,X,O,X,X,X,X,X,X,X
TSJIZOL,X,O,X,X,X,X,X,X,X,X,X,X
TSJIOLZ,X,X,X,X,O,O,X,X,X,X,X,X
TSJIOZL,X,O,X,X,O,O,X,X,X,X,X,X
TSJLIZO,O,O,X,X,O,X,X,X,O,X,X,X
TSJLIOZ,O,X,X,X,O,O,X,X,O,X,X,X
TSJLZIO,X,O,O,X,O,X,X,X,O,X,X,X
TSJLZOI,X,O,O,X,O,O,X,X,O,X,X,X
TSJLOIZ,X,X,X,X,O,O,X,X,O,X,X,X
TSJLOZI,X,X,O,X,O,O,X,X,O,X,X,X
TSJZILO,O,O,X,X,O,X,X,X,X,X,O,X
TSJZIOL,X,O,X,X,X,X,X,X,X,X,X,X
TSJZLIO,O,O,X,X,O,X,X,X,X,X,X,X
TSJZLOI,X,O,X,X,O,X,X,X,X,X,X,X
TSJZOIL,X,O,X,X,O,O,X,X,X,X,X,X
TSJZOLI,X,O,X,X,O,O,X,X,X,X,X,X
TSJOILZ,X,X,X,O,O,O,X,X,X,X,X,X
TSJOIZL,X,O,X,O,O,O,X,X,X,X,X,X
TSJOLIZ,X,X,X,O,O,O,X,X,O,X,X,X
TSJOLZI,X,X,O,X,O,O,X,X,O,X,X,X
TSJOZIL,X,O,X,O,O,O,X,X,X,X,X,X
TSJOZLI,X,O,X,X,O,O,X,X,X,X,X,X
TSZILJO,O,O,X,X,O,X,X,X,X,X,O,X
TSZILOJ,O,O,X,X,X,X,X,X,X,X,O,X
TSZIJLO,O,O,X,X,X,X,X,X,X,X,O,X
TSZIJOL,X,O,X,X,X,X,X,X,X,X,X,X
TSZIOLJ,O,O,X,X,X,X,X,X,X,X,O,X
TSZIOJL,O,X,X,X,X,X,X,X,X,X,X,X
TSZLIJO,O,O,O,X,O,X,X,X,X,X,O,X
TSZLIOJ,O,O,O,X,X,X,X,X,X,X,O,X
TSZLJIO,O,O,O,X,O,X,X,X,X,X,O,X
TSZLJOI,X,O,O,X,O,X,X,X,X,X,X,X
TSZLOIJ,O,O,O,X,X,X,X,X,X,X,O,X
TSZLOJI,O,X,O,X,X,X,X,X,X,X,X,X
TSZJILO,O,O,X,X,X,X,X,X,X,X,O,X
TSZJIOL,X,O,X,X,X,X,X,X,X,X,X,X
TSZJLIO,O,O,X,X,X,X,X,X,X,X,X,X
TSZJLOI,X,O,X,X,X,X,X,X,X,X,X,X
TSZJOIL,X,O,X,X,X,O,X,X,X,X,X,X
TSZJOLI,X,O,X,X,X,O,X,X,X,X,X,X
TSZOILJ,O,O,X,X,O,X,X,X,X,X,O,X
TSZOIJL,O,X,X,O,X,X,X,X,X,X,X,X
TSZOLIJ,O,O,O,X,O,X,X,X,X,X,X,X
TSZOLJI,O,X,O,X,O,X,X,X,X,X,X,X
TSZOJIL,O,X,X,O,X,X,X,X,X,X,X,X
TSZOJLI,O,X,X,X,X,X,X,X,X,X,X,X
TSOILJZ,O,X,X,O,O,X,X,X,X,X,X,X
TSOILZJ,O,X,O,O,O,X,X,X,X,X,X,X
TSOIJLZ,O,X,X,O,O,X,X,X,X,X,X,X
TSOIJZL,O,X,X,O,O,X,X,X,X,X,X,X
TSOIZLJ,O,O,X,X,O,X,X,X,X,X,X,X
TSOIZJL,O,X,X,O,X,X,X,X,X,X,X,X
TSOLIJZ,O,X,X,O,O,X,X,X,X,X,X,X
TSOLIZJ,O,X,O,O,O,X,X,X,X,X,X,X
TSOLJIZ,O,X,X,O,O,X,X,X,X,X,X,X
TSOLJZI,X,X,O,O,O,X,X,X,X,X,X,X
TSOLZIJ,O,X,O,O,O,X,X,X,X,X,X,X
TSOLZJI,O,X,O,O,O,X,X,X,X,X,X,X
TSOJILZ,O,X,X,O,O,O,X,X,X,X,X,X
TSOJIZL,O,X,X,O,O,O,X,X,X,X,X,X
TSOJLIZ,O,X,X,O,O,O,X,X,X,X,X,X
TSOJLZI,X,X,O,O,O,O,X,X,X,X,X,X
TSOJZIL,O,X,X,O,O,O,X,X,X,X,X,X
TSOJZLI,O,X,X,X,O,O,X,X,X,X,X,X
TSOZILJ,O,O,X,X,O,X,X,X,X,X,O,X
TSOZIJL,O,X,X,O,X,X,X,X,X,X,X,X
TSOZLIJ,O,O,O,X,O,X,X,X,X,X,X,X
TSOZLJI,O,X,O,X,O,X,X,X,X,X,X,X
TSOZJIL,O,X,X,O,X,X,X,X,X,X,X,X
TSOZJLI,O,X,X,X,X,X,X,X,X,X,X,X
TZILJSO,O,O,X,X,X,X,X,X,X,O,O,X
TZILJOS,O,O,X,X,X,X,X,X,X,X,X,X
TZILSJO,O,O,X,X,X,X,X,X,X,O,O,X
TZILSOJ,O,O,X,X,X,X,O,X,X,X,O,X
TZILOJS,O,O,X,X,X,X,X,X,X,X,X,X
TZILOSJ,O,O,X,X,X,X,O,X,X,X,O,X
TZIJLSO,O,O,X,X,X,X,X,X,X,O,O,X
TZIJLOS,O,O,X,X,X,X,X,X,X,X,X,X
TZIJSLO,O,O,X,X,X,X,X,O,X,O,O,X
TZIJSOL,X,O,X,X,X,X,X,X,X,X,X,X
TZIJOLS,O,O,X,X,X,X,X,X,X,X,X,X
TZIJOSL,O,O,X,X,X,X,X,X,X,X,X,X
TZISLJO,O,O,X,X,X,X,X,O,X,O,O,X
TZISLOJ,O,O,X,X,X,X,O,O,X,X,O,X
TZISJLO,O,O,X,X,X,X,X,O,X,X,O,X
TZISJOL,X,O,X,X,X,X,X,X,X,X,X,X
TZISOLJ,O,O,X,X,X,X,X,X,X,X,O,X
TZISOJL,O,X,X,X,X,X,X,X,X,X,X,X
TZIOLJS,O,O,X,X,X,X,X,X,X,X,X,X
TZIOLSJ,O,O,X,X,X,X,O,X,X,X,O,X
TZIOJLS,O,O,X,X,X,X,X,X,X,X,X,X
TZIOJSL,O,O,X,X,X,X,X,X,X,X,X,X
TZIOSLJ,O,O,X,X,X,X,O,X,X,X,O,X
TZIOSJL,O,X,X,X,X,X,X,X,X,X,X,X
TZLIJSO,O,O,O,X,X,X,X,O,X,O,O,X
TZLIJOS,O,O,O,X,X,X,X,O,X,X,X,X
TZLISJO,O,O,O,X,X,X,X,O,X,O,O,X
TZLISOJ,O,O,O,X,X,X,O,O,X,X,O,X
TZLIOJS,O,O,O,X,X,X,X,O,X,X,X,X
TZLIOSJ,O,O,O,X,X,X,O,O,X,X,O,X
TZLJISO,O,O,O,X,X,X,X,O,X,O,O,X
TZLJIOS,O,O,O,X,X,X,X,O,X,X,X,X
TZLJSIO,O,O,X,X,X,X,X,O,O,O,O,X
TZLJSOI,X,O,X,X,X,O,X,O,O,X,X,X
TZLJOIS,O,O,O,X,X,O,X,O,X,X,X,X
TZLJOSI,O,O,X,X,X,O,X,O,O,X,X,X
TZLSIJO,O,O,O,X,X,X,X,O,O,O,O,X
TZLSIOJ,O,O,O,X,X,X,O,O,X,X,O,X
TZLSJIO,O,O,X,X,X,X,X,O,O,X,O,X
TZLSJOI,X,O,X,X,X,O,X,O,O,X,X,X
TZLSOIJ,O,O,O,O,X,X,X,O,X,X,O,X
TZLSOJI,O,X,X,O,X,X,X,O,X,X,X,X
TZLOIJS,O,O,O,O,X,X,X,O,X,X,X,X
TZLOISJ,O,O,O,O,X,X,O,O,X,X,O,X
TZLOJIS,O,O,O,O,X,X,X,O,X,X,X,X
TZLOJSI,O,O,X,O,X,X,X,O,X,X,X,X
TZLOSIJ,O,O,O,O,X,X,O,O,X,X,O,X
TZLOSJI,O,X,X,O,X,X,X,O,X,X,X,X
TZJILSO,O,O,X,X,X,X,X,X,X,O,O,X
TZJILOS,O,O,X,X,X,X,X,X,X,X,X,X
TZJISLO,O,O,X,X,X,X,X,O,X,O,O,X
TZJISOL,X,O,X,X,X,X,X,X,X,X,X,X
TZJIOLS,O,O,X,X,X,X,X,X,X,X,X,X
TZJIOSL,O,O,X,X,X,X,X,X,X,X,X,X
TZJLISO,O,O,X,X,X,X,X,O,X,O,O,X
TZJLIOS,O,O,X,X,X,X,X,O,X,X,X,X
TZJLSIO,O,O,X,X,X,X,X,O,O,O,O,X
TZJLSOI,X,O,X,X,X,O,X,O,O,X,X,X
TZJLOIS,O,O,X,X,X,O,X,O,X,X,X,X
TZJLOSI,O,O,X,X,X,O,X,O,O,X,X,X
TZJSILO,O,O,X,X,X,X,X,O,X,O,O,X
TZJSIOL,X,O,X,X,X,X,X,X,X,X,X,X
TZJSLIO,O,O,X,X,X,X,X,O,X,O,X,X
TZJSLOI,X,O,X,X,X,X,X,O,X,X,X,X
TZJSOIL,X,O,X,X,X,O,X,X,X,X,X,X
TZJSOLI,X,O,X,X,X,O,X,O,X,X,X,X
TZJOILS,O,O,X,X,X,O,X,X,X,X,X,X
TZJOISL,O,O,X,X,X,O,X,X,X,X,X,X
TZJOLIS,O,O,X,X,X,O,X,X,X,X,X,X
TZJOLSI,O,O,X,X,X,O,X,X,O,X,X,X
TZJOSIL,O,O,X,X,X,O,X,X,X,X,X,X
TZJOSLI,O,O,X,X,X,O,X,O,X,X,X,X
TZSILJO,O,O,X,X,O,X,X,O,X,O,O,X
TZSILOJ,O,O,X,X,X,X,O,O,X,X,O,X
TZSIJLO,O,O,X,X,X,X,X,O,X,X,O,X
TZSIJOL,X,O,X,X,X,X,X,X,X,X,X,X
TZSIOLJ,O,O,X,X,X,X,X,X,X,X,O,X
TZSIOJL,O,X,X,X,X,X,X,X,X,X,X,X
TZSLIJO,O,O,X,X,O,X,X,O,X,O,O,X
TZSLIOJ,O,O,X,X,X,X,O,O,X,X,O,X
TZSLJIO,O,O,X,X,O,X,X,O,X,X,O,X
TZSLJOI,X,O,X,X,O,X,X,O,X,X,X,X
TZSLOIJ,O,O,X,X,X,X,X,O,X,X,O,X
TZSLOJI,O,X,X,X,X,X,X,O,X,X,X,X
TZSJILO,O,O,X,X,X,X,X,O,X,X,O,X
TZSJIOL,X,O,X,X,X,X,X,X,X,X,X,X
TZSJLIO,O,O,X,X,X,X,X,O,X,X,X,X
TZSJLOI,X,O,X,X,X,X,X,O,X,X,X,X
TZSJOIL,X,O,X,X,X,O,X,X,X,X,X,X
TZSJOLI,X,O,X,X,X,O,X,O,X,X,X,X
TZSOILJ,O,O,X,X,O,X,X,X,X,X,O,X
TZSOIJL,O,X,X,O,X,X,X,X,X,X,X,X
TZSOLIJ,O,O,X,X,O,X,X,O,X,X,X,X
TZSOLJI,O,X,X,X,O,X,X,O,X,X,X,X
TZSOJIL,O,X,X,O,X,X,X,X,X,X,X,X
TZSOJLI,O,X,X,X,X,X,X,O,X,X,X,X
TZOILJS,O,O,X,O,X,X,X,X,X,X,X,X
TZOILSJ,O,O,X,O,X,X,O,X,X,X,O,X
TZOIJLS,O,O,X,O,X,X,X,X,X,X,X,X
TZOIJSL,O,O,X,O,X,X,X,X,X,X,X,X
TZOISLJ,O,O,X,X,X,X,O,X,X,X,O,X
TZOISJL,O,X,X,O,X,X,X,X,X,X,X,X
TZOLIJS,O,O,O,O,X,X,X,X,X,X,X,X
TZOLISJ,O,O,O,O,X,X,O,X,X,X,O,X
TZOLJIS,O,O,O,O,X,X,X,X,X,X,X,X
TZOLJSI,O,O,X,O,X,X,X,X,X,X,X,X
TZOLSIJ,O,O,O,O,X,X,O,X,X,X,O,X
TZOLSJI,O,X,X,O,X,X,X,X,X,X,X,X
TZOJILS,O,O,X,O,X,X,X,X,X,X,X,X
TZOJISL,O,O,X,O,X,X,X,X,X,X,X,X
TZOJLIS,O,O,X,O,X,X,X,X,X,X,X,X
TZOJLSI,O,O,X,O,X,X,X,X,X,X,X,X
TZOJSIL,O,O,X,O,X,X,X,X,X,X,X,X
TZOJSLI,O,O,X,X,X,X,X,O,X,X,X,X
TZOSILJ,O,O,X,X,O,X,O,X,X,X,O,X
TZOSIJL,O,X,X,O,X,X,X,X,X,X,X,X
TZOSLIJ,O,O,X,X,O,X,O,O,X,X,X,X
TZOSLJI,O,X,X,X,O,X,X,O,X,X,X,X
TZOSJIL,O,X,X,O,X,X,X,X,X,X,X,X
TZOSJLI,O,X,X,X,X,X,X,O,X,X,X,X
TOILJSZ,O,X,X,O,X,X,X,X,X,X,X,X
TOILJZS,X,X,X,O,X,X,X,X,X,X,X,X
TOILSJZ,O,X,X,O,X,X,X,X,X,X,X,X
TOILSZJ,O,X,X,O,X,X,O,X,X,X,X,X
TOILZJS,O,X,O,O,X,X,X,X,X,X,X,X
TOILZSJ,O,X,O,O,X,X,O,X,X,X,X,X
TOIJLSZ,O,X,X,O,X,X,X,X,X,X,X,X
TOIJLZS,X,X,X,O,X,X,X,X,X,X,X,X
TOIJSLZ,O,X,X,O,X,X,X,X,X,X,X,X
TOIJSZL,O,O,X,O,X,X,X,X,X,X,X,X
TOIJZLS,O,O,X,O,X,X,X,X,X,X,X,X
TOIJZSL,O,O,X,O,X,X,X,X,X,X,X,X
TOISLJZ,O,X,X,O,O,X,X,X,X,X,X,X
TOISLZJ,O,X,X,O,O,X,O,X,X,X,X,X
TOISJLZ,O,X,X,O,O,X,X,X,X,X,X,X
TOISJZL,O,X,X,O,X,X,X,X,X,X,X,X
TOISZLJ,O,O,X,X,O,X,O,X,X,X,X,X
TOISZJL,O,X,X,O,X,X,X,X,X,X,X,X
TOIZLJS,O,O,X,O,X,X,X,X,X,X,X,X
TOIZLSJ,O,O,X,O,X,X,O,X,X,X,X,X
TOIZJLS,O,O,X,O,X,X,X,X,X,X,X,X
TOIZJSL,O,O,X,O,X,X,X,X,X,X,X,X
TOIZSLJ,O,O,X,X,X,X,O,X,X,X,X,X
TOIZSJL,O,X,X,O,X,X,X,X,X,X,X,X
TOLIJSZ,O,X,X,O,X,X,X,X,X,X,X,X
TOLIJZS,X,X,X,O,X,X,X,X,X,X,X,X
TOLISJZ,O,X,X,O,X,X,X,X,X,X,X,X
TOLISZJ,O,X,X,O,X,X,O,X,X,X,X,X
TOLIZJS,O,X,O,O,X,X,X,X,X,X,X,X
TOLIZSJ,O,X,O,O,X,X,O,X,X,X,X,X
TOLJISZ,O,X,X,O,X,O,X,X,O,X,X,X
TOLJIZS,X,X,O,O,X,O,X,X,X,X,X,X
TOLJSIZ,O,X,O,O,X,O,X,X,O,X,X,X
TOLJSZI,X,X,O,O,X,O,X,X,O,X,X,X
TOLJZIS,X,X,O,O,X,O,X,X,X,X,X,X
TOLJZSI,X,X,O,O,X,O,X,X,O,X,X,X
TOLSIJZ,O,X,X,O,O,X,X,X,O,X,X,X
TOLSIZJ,O,X,O,O,O,X,O,X,X,X,X,X
TOLSJIZ,O,X,X,O,O,O,X,X,O,X,X,X
TOLSJZI,X,X,O,O,O,O,X,X,O,X,X,X
TOLSZIJ,O,X,O,O,O,X,O,X,X,X,O,X
TOLSZJI,O,X,O,O,O,X,X,X,X,X,X,X
TOLZIJS,O,X,O,O,X,X,X,X,X,X,X,X
TOLZISJ,O,X,O,O,X,X,O,X,X,X,O,X
TOLZJIS,O,X,O,O,X,X,X,X,X,X,X,X
TOLZJSI,O,X,O,O,X,X,X,X,X,X,X,X
TOLZSIJ,O,X,O,O,X,X,O,X,X,X,O,X
TOLZSJI,O,X,O,O,X,X,X,X,X,X,X,X
TOJILSZ,O,X,X,O,X,O,X,X,O,X,X,X
TOJILZS,X,X,O,O,X,O,X,X,X,X,X,X
TOJISLZ,O,X,X,O,O,O,X,X,X,X,X,X
TOJISZL,O,O,X,O,O,O,X,X,X,X,X,X
TOJIZLS,O,O,X,O,X,O,X,X,X,X,X,X
TOJIZSL,O,O,X,O,X,O,X,X,X,X,X,X
TOJLISZ,O,X,X,O,X,O,X,X,O,X,X,X
TOJLIZS,X,X,O,O,X,O,X,X,X,X,X,X
TOJLSIZ,O,X,O,O,O,O,X,X,O,X,X,X
TOJLSZI,X,X,O,O,O,O,X,X,O,X,X,X
TOJLZIS,X,X,O,O,X,O,X,X,X,X,X,X
TOJLZSI,X,X,O,O,X,O,X,X,O,X,X,X
TOJSILZ,O,X,O,O,O,O,X,X,X,X,X,X
TOJSIZL,O,O,X,O,O,O,X,X,X,X,X,X
TOJSLIZ,O,X,O,O,O,O,X,X,O,X,X,X
TOJSLZI,X,X,O,O,O,O,X,X,O,X,X,X
TOJSZIL,O,O,X,O,O,O,X,X,X,X,X,X
TOJSZLI,O,O,O,X,O,O,X,X,X,X,X,X
TOJZILS,O,O,X,O,X,O,X,X,X,X,X,X
TOJZISL,O,O,X,O,X,O,X,X,X,X,X,X
TOJZLIS,O,O,O,O,X,O,X,X,X,X,X,X
TOJZLSI,O,O,O,O,X,O,X,X,O,X,X,X
TOJZSIL,O,O,X,O,O,O,X,X,X,X,X,X
TOJZSLI,O,O,X,X,O,O,X,X,X,X,X,X
TOSILJZ,O,X,X,O,O,X,X,X,X,X,X,X
TOSILZJ,O,X,O,O,O,X,O,X,X,X,X,X
TOSIJLZ,O,X,X,O,O,X,X,X,X,X,X,X
TOSIJZL,O,X,X,O,O,X,X,X,X,X,X,X
TOSIZLJ,O,O,X,X,O,X,O,X,X,X,X,X
TOSIZJL,O,X,X,O,X,X,X,X,X,X,X,X
TOSLIJZ,O,X,X,O,O,X,X,X,X,X,X,X
TOSLIZJ,O,X,O,O,O,X,O,X,X,X,X,X
TOSLJIZ,O,X,X,O,O,X,X,X,X,X,X,X
TOSLJZI,X,X,O,O,O,X,X,X,X,X,X,X
TOSLZIJ,O,X,O,O,O,X,O,X,X,X,X,X
TOSLZJI,O,X,O,O,O,X,X,X,X,X,X,X
TOSJILZ,O,X,X,O,O,O,X,X,X,X,X,X
TOSJIZL,O,X,X,O,O,O,X,X,X,X,X,X
TOSJLIZ,O,X,X,O,O,O,X,X,X,X,X,X
TOSJLZI,X,X,O,O,O,O,X,X,X,X,X,X
TOSJZIL,O,X,X,O,O,O,X,X,X,X,X,X
TOSJZLI,O,X,X,X,O,O,X,X,X,X,X,X
TOSZILJ,O,O,X,X,O,X,O,X,X,X,O,X
TOSZIJL,O,X,X,O,X,X,X,X,X,X,X,X
TOSZLIJ,O,O,O,X,O,X,O,X,X,X,X,X
TOSZLJI,O,X,O,X,O,X,X,X,X,X,X,X
TOSZJIL,O,X,X,O,X,X,X,X,X,X,X,X
TOSZJLI,O,X,X,X,X,X,X,X,X,X,X,X
TOZILJS,O,O,X,O,X,X,X,X,X,X,X,X
TOZILSJ,O,O,X,O,X,X,O,X,X,X,O,X
TOZIJLS,O,O,X,O,X,X,X,X,X,X,X,X
TOZIJSL,O,O,X,O,X,X,X,X,X,X,X,X
TOZISLJ,O,O,X,X,X,X,O,X,X,X,O,X
TOZISJL,O,X,X,O,X,X,X,X,X,X,X,X
TOZLIJS,O,O,O,O,X,X,X,X,X,X,X,X
TOZLISJ,O,O,O,O,X,X,O,X,X,X,O,X
TOZLJIS,O,O,O,O,X,X,X,X,X,X,X,X
TOZLJSI,O,O,X,O,X,X,X,X,X,X,X,X
TOZLSIJ,O,O,O,O,X,X,O,X,X,X,O,X
TOZLSJI,O,X,X,O,X,X,X,X,X,X,X,X
TOZJILS,O,O,X,O,X,X,X,X,X,X,X,X
TOZJISL,O,O,X,O,X,X,X,X,X,X,X,X
TOZJLIS,O,O,X,O,X,X,X,X,X,X,X,X
TOZJLSI,O,O,X,O,X,X,X,X,X,X,X,X
TOZJSIL,O,O,X,O,X,X,X,X,X,X,X,X
TOZJSLI,O,O,X,X,X,X,X,X,X,X,X,X
TOZSILJ,O,O,X,X,O,X,O,X,X,X,O,X
TOZSIJL,O,X,X,O,X,X,X,X,X,X,X,X
TOZSLIJ,O,O,X,X,O,X,O,X,X,X,X,X
TOZSLJI,O,X,X,X,O,X,X,X,X,X,X,X
TOZSJIL,O,X,X,O,X,X,X,X,X,X,X,X
TOZSJLI,O,X,X,X,X,X,X,X,X,X,X,X
ITLJSZO,O,O,X,X,X,X,X,X,O,O,X,X
ITLJSOZ,O,X,X,X,X,O,X,X,O,X,X,X
ITLJZSO,X,O,X,X,X,X,X,X,X,O,X,X
ITLJZOS,X,O,X,X,X,X,X,X,X,X,X,X
ITLJOSZ,O,X,X,X,X,O,X,X,O,X,X,X
ITLJOZS,X,X,X,X,X,O,X,X,X,X,X,X
ITLSJZO,O,X,X,X,X,X,X,X,O,X,X,X
ITLSJOZ,O,X,X,X,X,O,X,X,O,X,X,X
ITLSZJO,O,O,X,X,X,X,X,X,O,X,O,X
ITLSZOJ,O,O,X,X,X,X,X,X,X,X,O,X
ITLSOJZ,O,X,X,O,X,X,X,X,O,X,X,X
ITLSOZJ,O,X,X,O,X,X,X,X,X,X,X,X
ITLZJSO,O,O,O,X,X,X,X,X,X,O,O,X
ITLZJOS,O,O,O,X,X,X,X,X,X,X,X,X
ITLZSJO,O,O,O,X,X,X,X,X,X,O,O,X
ITLZSOJ,O,O,O,X,X,X,O,X,X,X,O,X
ITLZOJS,O,O,O,X,X,X,X,X,X,X,X,X
ITLZOSJ,O,O,O,X,X,X,O,X,X,X,O,X
ITLOJSZ,O,X,X,O,X,X,X,X,X,X,X,X
ITLOJZS,X,X,X,O,X,X,X,X,X,X,X,X
ITLOSJZ,O,X,X,O,X,X,X,X,X,X,X,X
ITLOSZJ,O,X,X,O,X,X,O,X,X,X,X,X
ITLOZJS,O,X,O,O,X,X,X,X,X,X,X,X
ITLOZSJ,O,X,O,O,X,X,O,X,X,X,X,X
ITJLSZO,O,O,X,X,X,X,X,X,O,O,X,X
ITJLSOZ,O,X,X,X,X,O,X,X,O,X,X,X
ITJLZSO,X,O,X,X,X,X,X,X,X,O,X,X
ITJLZOS,X,O,X,X,X,X,X,X,X,X,X,X
ITJLOSZ,O,X,X,X,X,O,X,X,O,X,X,X
ITJLOZS,X,X,X,X,X,O,X,X,X,X,X,X
ITJSLZO,O,O,X,X,X,X,X,X,X,O,X,X
ITJSLOZ,O,X,X,X,X,X,X,X,X,X,X,X
ITJSZLO,O,O,X,X,X,X,X,X,X,O,X,X
ITJSZOL,X,O,X,X,X,X,X,X,X,X,X,X
ITJSOLZ,X,X,X,X,X,O,X,X,X,X,X,X
ITJSOZL,X,O,X,X,X,O,X,X,X,X,X,X
ITJZLSO,O,O,X,X,X,X,X,X,X,O,X,X
ITJZLOS,O,O,X,X,X,X,X,X,X,X,X,X
ITJZSLO,O,O,X,X,X,X,X,X,X,O,X,X
ITJZSOL,X,O,X,X,X,X,X,X,X,X,X,X
ITJZOLS,O,O,X,X,X,X,X,X,X,X,X,X
ITJZOSL,O,O,X,X,X,X,X,X,X,X,X,X
ITJOLSZ,O,X,X,X,X,O,X,X,O,X,X,X
ITJOLZS,X,X,X,X,X,O,X,X,X,X,X,X
ITJOSLZ,O,X,X,X,X,O,X,X,X,X,X,X
ITJOSZL,O,O,X,X,X,O,X,X,X,X,X,X
ITJOZLS,O,O,X,X,X,O,X,X,X,X,X,X
ITJOZSL,O,O,X,X,X,O,X,X,X,X,X,X
ITSLJZO,O,X,X,X,O,X,X,X,X,X,X,X
ITSLJOZ,O,X,X,X,O,X,X,X,X,X,X,X
ITSLZJO,O,O,X,X,O,X,X,X,X,X,X,X
ITSLZOJ,O,O,X,X,X,X,X,X,X,X,X,X
ITSLOJZ,O,X,X,X,O,X,X,X,X,X,X,X
ITSLOZJ,O,X,X,X,X,X,X,X,X,X,X,X
ITSJLZO,O,O,X,X,O,X,X,X,X,X,X,X
ITSJLOZ,O,X,X,X,O,X,X,X,X,X,X,X
ITSJZLO,O,O,X,X,X,X,X,X,X,X,X,X
ITSJZOL,X,O,X,X,X,X,X,X,X,X,X,X
ITSJOLZ,X,X,X,X,X,O,X,X,X,X,X,X
ITSJOZL,X,O,X,X,X,O,X,X,X,X,X,X
ITSZLJO,O,O,X,X,O,X,X,X,X,X,O,X
ITSZLOJ,O,O,X,X,X,X,X,X,X,X,O,X
ITSZJLO,O,O,X,X,X,X,X,X,X,X,O,X
ITSZJOL,X,O,X,X,X,X,X,X,X,X,X,X
ITSZOLJ,O,O,X,X,X,X,X,X,X,X,O,X
ITSZOJL,O,X,X,X,X,X,X,X,X,X,X,X
ITSOLJZ,O,X,X,O,O,X,X,X,X,X,X,X
ITSOLZJ,O,X,X,X,O,X,X,X,X,X,X,X
ITSOJLZ,O,X,X,O,O,X,X,X,X,X,X,X
ITSOJZL,O,X,X,O,X,X,X,X,X,X,X,X
ITSOZLJ,O,O,X,X,O,X,X,X,X,X,X,X
ITSOZJL,O,X,X,O,X,X,X,X,X,X,X,X
ITZLJSO,O,O,X,X,X,X,X,X,X,O,O,X
ITZLJOS,O,O,X,X,X,X,X,X,X,X,X,X
ITZLSJO,O,O,X,X,X,X,X,X,X,O,O,X
ITZLSOJ,O,O,X,X,X,X,O,X,X,X,O,X
ITZLOJS,O,O,X,X,X,X,X,X,X,X,X,X
ITZLOSJ,O,O,X,X,X,X,O,X,X,X,O,X
ITZJLSO,O,O,X,X,X,X,X,X,X,O,O,X
ITZJLOS,O,O,X,X,X,X,X,X,X,X,X,X
ITZJSLO,O,O,X,X,X,X,X,X,X,O,O,X
ITZJSOL,X,O,X,X,X,X,X,X,X,X,X,X
ITZJOLS,O,O,X,X,X,X,X,X,X,X,X,X
ITZJOSL,O,O,X,X,X,X,X,X,X,X,X,X
ITZSLJO,O,O,X,X,X,X,X,X,X,O,O,X
ITZSLOJ,O,O,X,X,X,X,O,X,X,X,O,X
ITZSJLO,O,O,X,X,X,X,X,X,X,X,O,X
ITZSJOL,X,O,X,X,X,X,X,X,X,X,X,X
ITZSOLJ,O,O,X,X,X,X,X,X,X,X,O,X
ITZSOJL,O,X,X,X,X,X,X,X,X,X,X,X
