sequence,v115@KhA8FeA8AeB8FeE8BeC8Je/EJvhFFgBxhB6oBmmBzn?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFThBOnBXjBlkBSt?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Je/EJvhFFgBOmB0iB6oBRs?BzrB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFThBiiB+oBlkB3n?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFXiB6oBlkB2rBzn?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhF0hB6oBlkB2rBzn?BXsB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFThB8nB+oBlkByr?BXsB
LJOITSZ,X,X,X,X,O,O,O
LJOITZS,X,X,X,X,O,O,O
LJOISTZ,O,X,O,X,O,X,X
LJOISZT,X,X,O,X,X,X,X
LJOIZTS,X,X,X,X,X,O,O
LJOIZST,X,X,O,X,X,X,X
LJOSTIZ,O,X,O,X,O,O,O
LJOSTZI,O,X,X,X,O,O,O
LJOSITZ,O,X,O,X,O,X,X
LJOSIZT,X,X,O,X,X,X,X
LJOSZTI,O,X,X,X,O,O,O
LJOSZIT,O,X,X,X,X,X,X
LJOZTIS,O,X,X,X,O,O,O
LJOZTSI,O,X,X,X,O,O,O
LJOZITS,O,X,X,X,X,O,O
LJOZIST,O,X,X,X,X,X,X
LJOZSTI,O,X,X,X,O,O,O
LJOZSIT,O,X,X,X,X,X,X
LSTIJZO,X,O,O,X,X,X,O
LSTIJOZ,X,O,O,X,X,X,O
LSTIZJO,O,O,O,X,X,X,X
LSTIZOJ,O,O,O,X,X,X,X
LSTIOJZ,O,O,O,X,O,O,O
LSTIOZJ,O,O,O,X,O,X,X
LSTJIZO,X,O,O,X,X,X,O
LSTJIOZ,X,O,O,X,X,X,O
LSTJZIO,O,O,O,X,X,X,O
LSTJZOI,O,O,X,X,X,X,O
LSTJOIZ,O,O,O,X,X,X,O
LSTJOZI,O,O,X,X,X,X,O
LSTZIJO,O,O,O,X,X,X,X
LSTZIOJ,O,O,O,X,X,X,X
LSTZJIO,O,O,O,X,X,X,X
LSTZJOI,O,O,X,X,X,X,X
LSTZOIJ,O,O,X,X,X,X,X
LSTZOJI,O,O,X,X,X,X,X
LSTOIJZ,O,O,O,X,O,O,O
LSTOIZJ,O,O,O,X,O,X,X
LSTOJIZ,O,O,O,X,O,O,O
LSTOJZI,O,O,X,X,O,O,O
LSTOZIJ,O,O,X,X,O,X,X
LSTOZJI,O,O,X,X,O,X,X
LSITJZO,X,O,O,X,X,X,X
LSITJOZ,X,O,O,X,X,X,X
LSITZJO,O,O,O,X,X,X,X
LSITZOJ,O,O,O,X,X,X,X
LSITOJZ,O,O,O,X,X,X,X
LSITOZJ,O,O,O,X,X,X,X
LSIJTZO,X,O,O,X,X,X,X
LSIJTOZ,X,O,O,X,X,X,X
LSIJZTO,X,O,O,X,X,X,X
LSIJZOT,X,O,O,X,X,X,X
LSIJOTZ,X,X,O,X,X,X,X
LSIJOZT,X,O,O,X,X,X,X
LSIZTJO,O,O,O,X,X,X,X
LSIZTOJ,O,O,O,X,X,X,X
LSIZJTO,O,O,O,X,X,X,X
LSIZJOT,O,O,O,X,X,X,X
LSIZOTJ,O,O,O,X,X,X,X
LSIZOJT,O,O,O,X,X,X,X
LSIOTJZ,O,X,O,X,X,X,X
LSIOTZJ,O,X,O,X,X,X,X
LSIOJTZ,O,X,O,X,X,X,X
LSIOJZT,X,O,O,X,X,X,X
LSIOZTJ,O,O,O,X,X,X,X
LSIOZJT,O,O,O,X,X,X,X
LSJTIZO,X,O,O,X,X,X,O
LSJTIOZ,X,O,O,X,X,X,O
LSJTZIO,O,O,O,X,X,X,O
LSJTZOI,O,O,X,X,X,X,O
LSJTOIZ,O,O,O,X,X,X,O
LSJTOZI,O,O,X,X,X,X,O
LSJITZO,X,O,O,X,X,X,X
LSJITOZ,X,O,O,X,X,X,X
LSJIZTO,X,O,O,X,X,X,X
LSJIZOT,X,O,O,X,X,X,X
LSJIOTZ,X,X,O,X,X,X,X
LSJIOZT,X,O,O,X,X,X,X
LSJZTIO,O,O,O,X,X,X,O
LSJZTOI,O,O,X,X,X,X,O
LSJZITO,O,O,O,X,X,X,X
LSJZIOT,O,O,O,X,X,X,X
LSJZOTI,O,O,X,X,X,X,O
LSJZOIT,O,O,X,X,X,X,X
LSJOTIZ,O,O,O,X,X,X,O
LSJOTZI,O,O,X,X,X,X,O
LSJOITZ,O,X,O,X,X,X,X
LSJOIZT,X,O,O,X,X,X,X
LSJOZTI,O,O,X,X,X,X,O
LSJOZIT,O,O,X,X,X,X,X
LSZTIJO,O,O,O,X,X,X,X
LSZTIOJ,O,O,O,X,X,X,X
LSZTJIO,O,O,O,X,X,X,X
LSZTJOI,O,O,X,X,X,X,X
LSZTOIJ,O,O,X,X,X,X,X
LSZTOJI,O,O,X,X,X,X,X
LSZITJO,O,O,O,X,X,X,X
LSZITOJ,O,O,O,X,X,X,X
LSZIJTO,O,O,O,X,X,X,X
LSZIJOT,O,O,O,X,X,X,X
LSZIOTJ,O,O,O,X,X,X,X
LSZIOJT,O,O,O,X,X,X,X
LSZJTIO,O,O,O,X,X,X,X
LSZJTOI,O,O,X,X,X,X,X
LSZJITO,O,O,O,X,X,X,X
LSZJIOT,O,O,O,X,X,X,X
LSZJOTI,O,O,X,X,X,X,X
LSZJOIT,O,O,X,X,X,X,X
LSZOTIJ,O,O,X,X,X,X,X
LSZOTJI,O,O,X,X,X,X,X
LSZOITJ,O,O,X,X,X,X,X
LSZOIJT,O,O,X,X,X,X,X
LSZOJTI,O,O,X,X,X,X,X
LSZOJIT,O,O,X,X,X,X,X
LSOTIJZ,O,O,O,X,O,O,O
LSOTIZJ,O,O,O,X,O,X,X
LSOTJIZ,O,O,O,X,O,O,O
LSOTJZI,O,O,X,X,O,O,O
LSOTZIJ,O,O,X,X,O,X,X
LSOTZJI,O,O,X,X,O,X,X
LSOITJZ,O,X,O,X,O,X,X
LSOITZJ,O,X,O,X,O,X,X
LSOIJTZ,O,X,O,X,O,X,X
LSOIJZT,X,O,O,X,X,X,X
LSOIZTJ,O,O,O,X,X,X,X
LSOIZJT,O,O,O,X,X,X,X
LSOJTIZ,O,O,O,X,O,O,O
LSOJTZI,O,O,X,X,O,O,O
LSOJITZ,O,X,O,X,O,X,X
LSOJIZT,X,O,O,X,X,X,X
LSOJZTI,O,O,X,X,O,O,O
LSOJZIT,O,O,X,X,X,X,X
LSOZTIJ,O,O,X,X,O,X,X
LSOZTJI,O,O,X,X,O,X,X
LSOZITJ,O,O,X,X,X,X,X
LSOZIJT,O,O,X,X,X,X,X
LSOZJTI,O,O,X,X,O,X,X
LSOZJIT,O,O,X,X,X,X,X
LZTIJSO,X,O,X,O,X,X,O
LZTIJOS,X,O,X,O,X,X,O
LZTISJO,X,O,X,X,X,X,X
LZTISOJ,X,O,X,X,X,X,X
LZTIOJS,X,O,X,O,O,O,O
LZTIOSJ,X,O,X,X,O,X,X
LZTJISO,O,O,X,O,X,X,O
LZTJIOS,X,O,X,O,X,X,O
LZTJSIO,O,O,X,O,X,X,O
LZTJSOI,O,O,X,O,X,X,O
LZTJOIS,X,O,X,O,X,X,O
LZTJOSI,X,O,X,O,X,X,O
LZTSIJO,O,O,X,X,X,X,X
LZTSIOJ,O,O,X,X,X,X,X
LZTSJIO,O,O,X,X,X,X,X
LZTSJOI,O,O,X,X,X,X,X
LZTSOIJ,O,O,X,X,X,X,X
LZTSOJI,O,O,X,X,X,X,X
LZTOIJS,X,O,X,O,O,O,O
LZTOISJ,O,O,X,X,O,X,X
LZTOJIS,O,O,X,O,O,O,O
LZTOJSI,O,O,X,O,O,O,O
LZTOSIJ,O,O,X,X,O,X,X
LZTOSJI,O,O,X,X,O,X,X
LZITJSO,X,O,O,X,X,X,X
LZITJOS,X,O,X,X,X,X,X
LZITSJO,X,O,O,X,X,X,X
LZITSOJ,X,O,O,X,X,X,X
LZITOJS,X,O,X,X,X,X,X
LZITOSJ,X,O,X,X,X,X,X
LZIJTSO,O,O,O,X,X,X,X
LZIJTOS,X,O,X,X,X,X,X
LZIJSTO,O,O,O,O,X,X,X
LZIJSOT,O,O,O,O,X,X,X
LZIJOTS,X,O,X,X,X,X,X
LZIJOST,O,O,O,O,X,X,X
LZISTJO,O,O,O,X,X,X,X
LZISTOJ,O,O,O,X,X,X,X
LZISJTO,O,O,O,X,X,X,X
LZISJOT,O,O,O,X,X,X,X
LZISOTJ,O,O,O,X,X,X,X
LZISOJT,O,O,O,X,X,X,X
LZIOTJS,X,O,X,X,X,X,X
LZIOTSJ,O,O,X,X,X,X,X
LZIOJTS,O,O,X,X,X,X,X
LZIOJST,O,O,O,O,X,X,X
LZIOSTJ,O,O,O,X,X,X,X
LZIOSJT,O,O,O,X,X,X,X
LZJTISO,O,O,X,O,X,X,O
LZJTIOS,X,O,X,O,X,X,O
LZJTSIO,O,O,X,O,X,X,O
LZJTSOI,O,O,X,O,X,X,O
LZJTOIS,X,O,X,O,X,X,O
LZJTOSI,X,O,X,O,X,X,O
LZJITSO,O,O,O,X,X,X,O
LZJITOS,X,O,X,X,X,X,O
LZJISTO,O,O,O,O,X,X,X
LZJISOT,O,O,O,O,X,X,X
LZJIOTS,O,O,X,X,X,X,O
LZJIOST,O,O,O,O,X,X,X
LZJSTIO,O,O,O,O,X,X,O
LZJSTOI,O,O,X,O,X,X,O
LZJSITO,O,O,O,O,X,X,X
LZJSIOT,O,O,O,O,X,X,X
LZJSOTI,O,O,X,O,X,X,O
LZJSOIT,O,O,X,O,X,X,X
LZJOTIS,O,O,X,O,X,X,O
LZJOTSI,O,O,X,O,X,X,O
LZJOITS,O,O,X,X,X,X,O
LZJOIST,O,O,X,O,X,X,X
LZJOSTI,O,O,X,O,X,X,O
LZJOSIT,O,O,X,O,X,X,X
LZSTIJO,O,O,O,X,X,X,X
LZSTIOJ,O,O,O,X,X,X,X
LZSTJIO,O,O,O,X,X,X,X
LZSTJOI,O,O,X,X,X,X,X
LZSTOIJ,O,O,X,X,X,X,X
LZSTOJI,O,O,X,X,X,X,X
LZSITJO,O,O,O,X,X,X,X
LZSITOJ,O,O,O,X,X,X,X
LZSIJTO,O,O,O,X,X,X,X
LZSIJOT,O,O,O,X,X,X,X
LZSIOTJ,O,O,O,X,X,X,X
LZSIOJT,O,O,O,X,X,X,X
LZSJTIO,O,O,O,X,X,X,X
LZSJTOI,O,O,X,X,X,X,X
LZSJITO,O,O,O,X,X,X,X
LZSJIOT,O,O,O,X,X,X,X
LZSJOTI,O,O,X,X,X,X,X
LZSJOIT,O,O,X,X,X,X,X
LZSOTIJ,O,O,X,X,X,X,X
LZSOTJI,O,O,X,X,X,X,X
LZSOITJ,O,O,X,X,X,X,X
LZSOIJT,O,O,X,X,X,X,X
LZSOJTI,O,O,X,X,X,X,X
LZSOJIT,O,O,X,X,X,X,X
LZOTIJS,X,O,X,O,O,O,O
LZOTISJ,O,O,X,X,O,X,X
LZOTJIS,O,O,X,O,O,O,O
LZOTJSI,O,O,X,O,O,O,O
LZOTSIJ,O,O,X,X,O,X,X
LZOTSJI,O,O,X,X,O,X,X
LZOITJS,X,O,X,X,X,X,X
LZOITSJ,O,O,X,X,X,X,X
LZOIJTS,O,O,X,X,X,X,X
LZOIJST,O,O,X,O,X,X,X
LZOISTJ,O,O,X,X,X,X,X
LZOISJT,O,O,X,X,X,X,X
LZOJTIS,O,O,X,O,O,O,O
LZOJTSI,O,O,X,O,O,O,O
LZOJITS,O,O,X,X,X,O,O
LZOJIST,O,O,X,O,X,X,X
LZOJSTI,O,O,X,O,O,O,O
LZOJSIT,O,O,X,O,X,X,X
LZOSTIJ,O,O,X,X,O,X,X
LZOSTJI,O,O,X,X,O,X,X
LZOSITJ,O,O,X,X,X,X,X
LZOSIJT,O,O,X,X,X,X,X
LZOSJTI,O,O,X,X,O,X,X
LZOSJIT,O,O,X,X,X,X,X
LOTIJSZ,X,X,X,X,O,O,O
LOTIJZS,X,X,X,X,O,O,O
LOTISJZ,O,O,X,X,O,O,O
LOTISZJ,O,O,X,X,O,X,X
LOTIZJS,X,O,X,X,O,O,O
LOTIZSJ,X,O,X,X,O,X,X
LOTJISZ,X,X,X,X,O,O,O
LOTJIZS,X,X,X,X,O,O,O
LOTJSIZ,X,X,X,X,O,O,O
LOTJSZI,X,X,X,X,O,O,O
LOTJZIS,X,X,X,X,O,O,O
LOTJZSI,X,X,X,X,O,O,O
LOTSIJZ,O,O,X,X,O,O,O
LOTSIZJ,O,O,X,X,O,X,X
LOTSJIZ,O,O,X,X,O,O,O
LOTSJZI,O,O,X,X,O,O,O
LOTSZIJ,O,O,X,X,O,X,X
LOTSZJI,O,O,X,X,O,X,X
LOTZIJS,X,O,X,X,O,O,O
LOTZISJ,O,O,X,X,O,X,X
LOTZJIS,O,O,X,X,O,O,O
LOTZJSI,O,O,X,X,O,O,O
LOTZSIJ,O,O,X,X,O,X,X
LOTZSJI,O,O,X,X,O,X,X
LOITJSZ,X,X,X,X,O,O,O
LOITJZS,X,X,X,X,O,O,O
LOITSJZ,O,X,X,X,O,O,O
LOITSZJ,O,X,X,X,O,X,X
LOITZJS,X,X,X,X,O,O,O
LOITZSJ,X,X,X,X,O,X,X
LOIJTSZ,X,X,X,X,O,O,O
LOIJTZS,X,X,X,X,O,O,O
LOIJSTZ,O,X,O,X,O,X,X
LOIJSZT,X,X,O,X,X,X,X
LOIJZTS,X,X,X,X,X,O,O
LOIJZST,X,X,O,X,X,X,X
LOISTJZ,O,X,O,X,O,X,X
LOISTZJ,O,X,O,X,O,X,X
LOISJTZ,O,X,O,X,O,X,X
LOISJZT,X,O,O,X,X,X,X
LOISZTJ,O,O,O,X,X,X,X
LOISZJT,O,O,O,X,X,X,X
LOIZTJS,X,O,X,X,X,X,X
LOIZTSJ,O,O,X,X,X,X,X
LOIZJTS,O,O,X,X,X,X,X
LOIZJST,O,O,O,X,X,X,X
LOIZSTJ,O,O,O,X,X,X,X
LOIZSJT,O,O,O,X,X,X,X
LOJTISZ,X,X,X,X,O,O,O
LOJTIZS,X,X,X,X,O,O,O
LOJTSIZ,X,X,X,X,O,O,O
LOJTSZI,X,X,X,X,O,O,O
LOJTZIS,X,X,X,X,O,O,O
LOJTZSI,X,X,X,X,O,O,O
LOJITSZ,X,X,X,X,O,O,O
LOJITZS,X,X,X,X,O,O,O
LOJISTZ,O,X,O,X,O,X,X
LOJISZT,X,X,O,X,X,X,X
LOJIZTS,X,X,X,X,X,O,O
LOJIZST,X,X,O,X,X,X,X
LOJSTIZ,O,X,O,X,O,O,O
LOJSTZI,O,X,X,X,O,O,O
LOJSITZ,O,X,O,X,O,X,X
LOJSIZT,X,X,O,X,X,X,X
LOJSZTI,O,X,X,X,O,O,O
LOJSZIT,O,X,X,X,X,X,X
LOJZTIS,O,X,X,X,O,O,O
LOJZTSI,O,X,X,X,O,O,O
LOJZITS,O,X,X,X,X,O,O
LOJZIST,O,X,X,X,X,X,X
LOJZSTI,O,X,X,X,O,O,O
LOJZSIT,O,X,X,X,X,X,X
LOSTIJZ,O,O,O,X,O,O,O
LOSTIZJ,O,O,O,X,O,X,X
LOSTJIZ,O,O,O,X,O,O,O
LOSTJZI,O,O,X,X,O,O,O
LOSTZIJ,O,O,X,X,O,X,X
LOSTZJI,O,O,X,X,O,X,X
LOSITJZ,O,X,O,X,O,X,X
LOSITZJ,O,X,O,X,O,X,X
LOSIJTZ,O,X,O,X,O,X,X
LOSIJZT,X,O,O,X,X,X,X
LOSIZTJ,O,O,O,X,X,X,X
LOSIZJT,O,O,O,X,X,X,X
LOSJTIZ,O,O,O,X,O,O,O
LOSJTZI,O,O,X,X,O,O,O
LOSJITZ,O,X,O,X,O,X,X
LOSJIZT,X,O,O,X,X,X,X
LOSJZTI,O,O,X,X,O,O,O
LOSJZIT,O,O,X,X,X,X,X
LOSZTIJ,O,O,X,X,O,X,X
LOSZTJI,O,O,X,X,O,X,X
LOSZITJ,O,O,X,X,X,X,X
LOSZIJT,O,O,X,X,X,X,X
LOSZJTI,O,O,X,X,O,X,X
LOSZJIT,O,O,X,X,X,X,X
LOZTIJS,X,O,X,X,O,O,O
LOZTISJ,O,O,X,X,O,X,X
LOZTJIS,O,O,X,X,O,O,O
LOZTJSI,O,O,X,X,O,O,O
LOZTSIJ,O,O,X,X,O,X,X
LOZTSJI,O,O,X,X,O,X,X
LOZITJS,X,O,X,X,X,X,X
LOZITSJ,O,O,X,X,X,X,X
LOZIJTS,O,O,X,X,X,X,X
LOZIJST,O,O,X,X,X,X,X
LOZISTJ,O,O,X,X,X,X,X
LOZISJT,O,O,X,X,X,X,X
LOZJTIS,O,O,X,X,O,O,O
LOZJTSI,O,O,X,X,O,O,O
LOZJITS,O,O,X,X,X,O,O
LOZJIST,O,O,X,X,X,X,X
LOZJSTI,O,O,X,X,O,O,O
LOZJSIT,O,O,X,X,X,X,X
LOZSTIJ,O,O,X,X,O,X,X
LOZSTJI,O,O,X,X,O,X,X
LOZSITJ,O,O,X,X,X,X,X
LOZSIJT,O,O,X,X,X,X,X
LOZSJTI,O,O,X,X,O,X,X
LOZSJIT,O,O,X,X,X,X,X
JTILSZO,X,O,O,O,X,X,O
JTILSOZ,X,O,O,O,O,X,O
JTILZSO,X,O,O,O,X,X,O
JTILZOS,X,O,X,O,X,O,O
JTILOSZ,X,X,X,X,O,O,O
JTILOZS,X,X,X,X,O,O,O
JTISLZO,X,X,O,O,X,X,O
JTISLOZ,X,X,O,O,O,X,O
JTISZLO,X,X,O,O,X,X,O
JTISZOL,X,X,O,O,O,O,X
JTISOLZ,X,X,O,O,O,O,X
JTISOZL,X,X,O,O,O,O,X
JTIZLSO,X,O,O,O,X,X,O
JTIZLOS,X,O,X,O,X,O,O
JTIZSLO,X,O,O,O,X,X,O
JTIZSOL,X,O,O,O,O,O,X
JTIZOLS,X,O,X,O,O,O,O
JTIZOSL,X,O,X,O,O,O,X
JTIOLSZ,X,X,X,X,O,O,O
JTIOLZS,X,X,X,X,O,O,O
JTIOSLZ,X,X,X,O,O,O,X
JTIOSZL,X,X,X,O,O,O,X
JTIOZLS,X,X,X,O,O,O,O
JTIOZSL,X,X,X,O,O,O,X
JTLISZO,X,O,O,O,X,X,O
JTLISOZ,X,O,O,O,O,X,O
JTLIZSO,X,O,O,O,X,X,O
JTLIZOS,X,O,X,O,X,O,O
JTLIOSZ,X,X,X,X,O,O,O
JTLIOZS,X,X,X,X,O,O,O
JTLSIZO,X,O,O,O,X,X,O
JTLSIOZ,X,O,O,O,O,X,O
JTLSZIO,X,O,O,O,X,X,O
JTLSZOI,X,O,X,O,X,X,O
JTLSOIZ,X,O,O,O,O,X,O
JTLSOZI,X,O,X,O,O,X,O
JTLZISO,X,O,X,O,X,X,O
JTLZIOS,X,O,X,O,X,O,O
JTLZSIO,X,O,X,O,X,X,O
JTLZSOI,X,O,X,O,X,X,O
JTLZOIS,X,O,X,O,X,O,O
JTLZOSI,X,O,X,O,X,O,O
JTLOISZ,X,X,X,X,O,O,O
JTLOIZS,X,X,X,X,O,O,O
JTLOSIZ,X,X,X,X,O,O,O
JTLOSZI,X,X,X,X,O,O,O
JTLOZIS,X,X,X,X,O,O,O
JTLOZSI,X,X,X,X,O,O,O
JTSILZO,X,X,O,O,X,X,O
JTSILOZ,X,X,O,O,O,X,O
JTSIZLO,X,X,O,O,X,X,O
JTSIZOL,X,X,O,O,O,O,X
JTSIOLZ,X,X,O,O,O,O,X
JTSIOZL,X,X,O,O,O,O,X
JTSLIZO,X,X,O,O,X,X,O
JTSLIOZ,X,X,O,O,O,X,O
JTSLZIO,X,X,O,O,X,X,O
JTSLZOI,X,X,X,O,X,X,O
JTSLOIZ,X,X,O,O,O,X,O
JTSLOZI,X,X,X,O,O,X,O
JTSZILO,X,X,O,O,X,X,O
JTSZIOL,X,X,O,O,O,O,X
JTSZLIO,X,X,O,O,X,X,O
JTSZLOI,X,X,X,O,X,X,O
JTSZOIL,X,X,X,O,O,O,X
JTSZOLI,X,X,X,O,O,O,X
JTSOILZ,X,X,O,O,O,O,X
JTSOIZL,X,X,O,O,O,O,X
JTSOLIZ,X,X,O,O,O,O,X
JTSOLZI,X,X,X,O,O,O,X
JTSOZIL,X,X,X,O,O,O,X
JTSOZLI,X,X,X,O,O,O,X
JTZILSO,X,O,X,O,X,X,O
JTZILOS,X,O,X,O,X,O,O
JTZISLO,X,O,X,O,X,X,O
JTZISOL,X,O,X,O,O,O,X
JTZIOLS,X,O,X,O,O,O,O
JTZIOSL,X,O,X,O,O,O,X
JTZLISO,X,O,X,O,X,X,O
JTZLIOS,X,O,X,O,X,O,O
JTZLSIO,X,O,X,O,X,X,O
JTZLSOI,X,O,X,O,X,X,O
JTZLOIS,X,O,X,O,X,O,O
JTZLOSI,X,O,X,O,X,O,O
JTZSILO,X,O,X,O,X,X,O
JTZSIOL,X,O,X,O,O,O,X
JTZSLIO,X,O,X,O,X,X,O
JTZSLOI,X,O,X,O,X,X,O
JTZSOIL,X,O,X,O,O,O,X
JTZSOLI,X,O,X,O,O,O,X
JTZOILS,X,O,X,O,O,O,O
JTZOISL,X,O,X,O,O,O,X
JTZOLIS,X,O,X,O,O,O,O
JTZOLSI,X,O,X,O,O,O,O
JTZOSIL,X,O,X,O,O,O,X
JTZOSLI,X,O,X,O,O,O,X
JTOILSZ,X,X,X,X,O,O,O
JTOILZS,X,X,X,X,O,O,O
JTOISLZ,X,X,X,O,O,O,X
JTOISZL,X,X,X,O,O,O,X
JTOIZLS,X,X,X,O,O,O,O
JTOIZSL,X,X,X,O,O,O,X
JTOLISZ,X,X,X,X,O,O,O
JTOLIZS,X,X,X,X,O,O,O
JTOLSIZ,X,X,X,X,O,O,O
JTOLSZI,X,X,X,X,O,O,O
JTOLZIS,X,X,X,X,O,O,O
JTOLZSI,X,X,X,X,O,O,O
JTOSILZ,X,X,X,O,O,O,X
JTOSIZL,X,X,X,O,O,O,X
JTOSLIZ,X,X,X,O,O,O,X
JTOSLZI,X,X,X,O,O,O,X
JTOSZIL,X,X,X,O,O,O,X
JTOSZLI,X,X,X,O,O,O,X
JTOZILS,X,X,X,O,O,O,O
JTOZISL,X,X,X,O,O,O,X
JTOZLIS,X,X,X,O,O,O,O
JTOZLSI,X,X,X,O,O,O,O
JTOZSIL,X,X,X,O,O,O,X
JTOZSLI,X,X,X,O,O,O,X
JITLSZO,X,X,O,O,X,X,O
JITLSOZ,X,X,O,O,O,X,O
JITLZSO,X,X,O,O,X,X,O
JITLZOS,X,X,X,O,X,O,O
JITLOSZ,X,X,X,X,O,O,O
JITLOZS,X,X,X,X,O,O,O
JITSLZO,X,X,O,O,X,X,O
JITSLOZ,X,X,O,O,O,X,O
JITSZLO,X,X,O,O,X,X,O
JITSZOL,X,X,O,O,O,O,X
JITSOLZ,X,X,O,O,O,O,X
JITSOZL,X,X,O,O,O,O,X
JITZLSO,X,X,O,O,X,X,O
JITZLOS,X,X,X,O,X,O,O
JITZSLO,X,X,O,O,X,X,O
JITZSOL,X,X,O,O,O,O,X
JITZOLS,X,X,X,O,O,O,O
JITZOSL,X,X,X,O,O,O,X
JITOLSZ,X,X,X,X,O,O,O
JITOLZS,X,X,X,X,O,O,O
JITOSLZ,X,X,X,O,O,O,X
JITOSZL,X,X,X,O,O,O,X
JITOZLS,X,X,X,O,O,O,O
JITOZSL,X,X,X,O,O,O,X
JILTSZO,X,X,O,X,X,X,O
JILTSOZ,X,X,O,X,X,X,O
JILTZSO,X,X,O,X,X,X,O
JILTZOS,X,X,X,X,X,X,O
JILTOSZ,X,X,X,X,X,X,O
JILTOZS,X,X,X,X,X,X,O
JILSTZO,X,O,O,O,X,X,X
JILSTOZ,X,X,O,X,X,X,X
JILSZTO,X,O,O,O,X,X,X
JILSZOT,X,O,O,O,X,X,X
JILSOTZ,X,X,O,X,X,X,X
JILSOZT,X,O,O,O,X,X,X
JILZTSO,X,O,O,X,X,X,O
JILZTOS,X,O,X,X,X,X,O
JILZSTO,X,O,O,O,X,X,X
JILZSOT,X,O,O,O,X,X,X
JILZOTS,X,O,X,X,X,X,O
JILZOST,X,O,O,O,X,X,X
JILOTSZ,X,X,X,X,X,X,O
JILOTZS,X,X,X,X,X,X,O
JILOSTZ,X,X,O,X,X,X,X
JILOSZT,X,X,O,X,X,X,X
JILOZTS,X,X,X,X,X,X,O
JILOZST,X,X,O,X,X,X,X
JISTLZO,X,X,O,O,X,X,X
JISTLOZ,X,X,O,O,O,X,X
JISTZLO,X,X,O,O,X,X,X
JISTZOL,X,X,O,O,O,X,X
JISTOLZ,X,X,O,O,O,X,X
JISTOZL,X,X,O,O,O,X,X
JISLTZO,X,X,O,O,X,X,X
JISLTOZ,X,X,O,O,X,X,X
JISLZTO,X,X,O,O,X,X,X
JISLZOT,X,X,O,O,X,X,X
JISLOTZ,X,X,O,X,X,X,X
JISLOZT,X,X,O,O,X,X,X
JISZTLO,X,X,O,O,X,X,X
JISZTOL,X,X,O,O,X,X,X
JISZLTO,X,X,O,O,X,X,X
JISZLOT,X,X,O,O,X,X,X
JISZOTL,X,X,O,O,X,X,X
JISZOLT,X,X,O,O,X,X,X
JISOTLZ,X,X,O,X,O,X,X
JISOTZL,X,X,O,X,O,X,X
JISOLTZ,X,X,O,X,O,X,X
JISOLZT,X,X,O,O,X,X,X
JISOZTL,X,X,O,O,X,X,X
JISOZLT,X,X,O,O,X,X,X
JIZTLSO,X,O,O,O,X,X,O
JIZTLOS,X,O,X,O,X,O,O
JIZTSLO,X,X,O,O,X,X,O
JIZTSOL,X,X,O,O,X,O,X
JIZTOLS,X,O,X,O,X,O,O
JIZTOSL,X,X,X,O,X,O,X
JIZLTSO,X,O,O,X,X,X,O
JIZLTOS,X,O,X,X,X,X,O
JIZLSTO,X,O,O,O,X,X,X
JIZLSOT,X,O,O,O,X,X,X
JIZLOTS,X,O,X,X,X,X,O
JIZLOST,X,O,O,O,X,X,X
JIZSTLO,X,X,O,O,X,X,X
JIZSTOL,X,X,O,O,X,X,X
JIZSLTO,X,O,O,O,X,X,X
JIZSLOT,X,O,O,O,X,X,X
JIZSOTL,X,X,O,O,X,X,X
JIZSOLT,X,O,O,O,X,X,X
JIZOTLS,X,O,X,O,X,O,X
JIZOTSL,X,X,X,O,X,O,X
JIZOLTS,X,O,X,X,X,O,X
JIZOLST,X,O,O,O,X,X,X
JIZOSTL,X,X,O,O,X,X,X
JIZOSLT,X,O,O,O,X,X,X
JIOTLSZ,X,X,X,X,O,O,X
JIOTLZS,X,X,X,X,O,O,X
JIOTSLZ,X,X,X,X,O,O,X
JIOTSZL,X,X,X,X,O,O,X
JIOTZLS,X,X,X,X,O,O,X
JIOTZSL,X,X,X,X,O,O,X
JIOLTSZ,X,X,X,X,O,O,X
JIOLTZS,X,X,X,X,O,O,X
JIOLSTZ,X,X,O,X,O,X,X
JIOLSZT,X,X,O,X,X,X,X
JIOLZTS,X,X,X,X,X,O,X
JIOLZST,X,X,O,X,X,X,X
JIOSTLZ,X,X,O,X,O,X,X
JIOSTZL,X,X,O,X,O,X,X
JIOSLTZ,X,X,O,X,O,X,X
JIOSLZT,X,X,O,O,X,X,X
JIOSZTL,X,X,O,O,X,X,X
JIOSZLT,X,X,O,O,X,X,X
JIOZTLS,X,X,X,X,X,O,X
JIOZTSL,X,X,X,O,X,O,X
JIOZLTS,X,X,X,X,X,O,X
JIOZLST,X,X,O,O,X,X,X
JIOZSTL,X,X,O,O,X,X,X
JIOZSLT,X,X,O,O,X,X,X
JLTISZO,X,O,O,O,X,X,O
JLTISOZ,X,O,O,O,O,X,O
JLTIZSO,X,O,O,O,X,X,O
JLTIZOS,X,O,X,O,X,O,O
