sequence,v115@KhA8FeA8AeB8FeE8BeC8Je/EJvhFFgBxhB6oBmmBzn?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFThBOnBXjBlkBSt?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Je/EJvhFFgBOmB0iB6oBRs?BzrB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFThBiiB+oBlkB3n?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFXiB6oBlkB2rBzn?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhF0hB6oBlkB2rBzn?BXsB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFThB8nB+oBlkByr?BXsB
TSLZIJO,O,O,O,X,X,X,X
TSLZIOJ,O,O,O,X,X,X,X
TSLZJIO,O,O,O,X,X,X,X
TSLZJOI,O,O,X,X,X,X,X
TSLZOIJ,O,O,X,X,X,X,X
TSLZOJI,O,O,X,X,X,X,X
TSLOIJZ,O,O,O,X,O,O,O
TSLOIZJ,O,O,O,X,O,X,X
TSLOJIZ,O,O,O,X,O,O,O
TSLOJZI,O,O,X,X,O,O,O
TSLOZIJ,O,O,X,X,O,X,X
TSLOZJI,O,O,X,X,O,X,X
TSJILZO,X,X,O,O,X,X,O
TSJILOZ,X,X,O,O,O,X,O
TSJIZLO,X,X,O,O,X,X,O
TSJIZOL,X,X,O,O,O,O,X
TSJIOLZ,X,X,O,O,O,O,X
TSJIOZL,X,X,O,O,O,O,X
TSJLIZO,X,X,O,O,X,X,O
TSJLIOZ,X,X,O,O,O,X,O
TSJLZIO,O,X,O,O,X,X,O
TSJLZOI,O,X,X,O,X,X,O
TSJLOIZ,O,X,O,O,O,X,O
TSJLOZI,O,X,X,O,O,X,O
TSJZILO,O,X,O,O,X,X,O
TSJZIOL,O,X,O,O,O,O,X
TSJZLIO,O,X,O,O,X,X,O
TSJZLOI,O,X,X,O,X,X,O
TSJZOIL,O,X,X,O,O,O,X
TSJZOLI,O,X,X,O,O,O,X
TSJOILZ,O,X,O,O,O,O,X
TSJOIZL,X,X,O,O,O,O,X
TSJOLIZ,O,X,O,O,O,O,X
TSJOLZI,O,X,X,O,O,O,X
TSJOZIL,O,X,X,O,O,O,X
TSJOZLI,O,X,X,O,O,O,X
TSZILJO,O,O,O,X,X,X,X
TSZILOJ,O,O,O,X,X,X,X
TSZIJLO,O,O,O,O,X,X,X
TSZIJOL,O,O,O,O,X,X,X
TSZIOLJ,O,O,O,X,X,X,X
TSZIOJL,O,O,O,O,X,X,X
TSZLIJO,O,O,O,X,X,X,X
TSZLIOJ,O,O,O,X,X,X,X
TSZLJIO,O,O,O,X,X,X,X
TSZLJOI,O,O,X,X,X,X,X
TSZLOIJ,O,O,X,X,X,X,X
TSZLOJI,O,O,X,X,X,X,X
TSZJILO,O,O,O,O,X,X,X
TSZJIOL,O,O,O,O,X,X,X
TSZJLIO,O,O,O,O,X,X,X
TSZJLOI,O,O,X,O,X,X,X
TSZJOIL,O,O,X,O,X,X,X
TSZJOLI,O,O,X,O,X,X,X
TSZOILJ,O,O,X,X,X,X,X
TSZOIJL,O,O,X,O,X,X,X
TSZOLIJ,O,O,X,X,X,X,X
TSZOLJI,O,O,X,X,X,X,X
TSZOJIL,O,O,X,O,X,X,X
TSZOJLI,O,O,X,O,X,X,X
TSOILJZ,O,X,O,X,O,O,X
TSOILZJ,O,X,O,X,O,X,X
TSOIJLZ,O,X,O,X,O,O,X
TSOIJZL,X,X,O,X,O,O,X
TSOIZLJ,O,X,O,X,O,X,X
TSOIZJL,O,X,O,X,O,X,X
TSOLIJZ,O,X,O,X,O,O,X
TSOLIZJ,O,X,O,X,O,X,X
TSOLJIZ,O,X,O,X,O,O,X
TSOLJZI,O,X,X,X,O,O,X
TSOLZIJ,O,X,X,X,O,X,X
TSOLZJI,O,X,X,X,O,X,X
TSOJILZ,O,X,O,X,O,O,X
TSOJIZL,X,X,O,X,O,O,X
TSOJLIZ,O,X,O,X,O,O,X
TSOJLZI,O,X,X,X,O,O,X
TSOJZIL,O,X,X,X,O,O,X
TSOJZLI,O,X,X,X,O,O,X
TSOZILJ,O,X,X,X,O,X,X
TSOZIJL,O,X,X,X,O,X,X
TSOZLIJ,O,X,X,X,O,X,X
TSOZLJI,O,X,X,X,O,X,X
TSOZJIL,O,X,X,X,O,X,X
TSOZJLI,O,X,X,X,O,X,X
TZILJSO,X,O,X,O,X,X,O
TZILJOS,X,O,X,O,X,X,O
TZILSJO,X,O,X,X,X,X,X
TZILSOJ,X,O,X,X,X,X,X
TZILOJS,X,O,X,O,O,O,O
TZILOSJ,X,O,X,X,O,X,X
TZIJLSO,X,O,X,O,X,X,O
TZIJLOS,X,O,X,O,X,O,O
TZIJSLO,X,O,X,O,X,X,O
TZIJSOL,X,O,X,O,O,O,X
TZIJOLS,X,O,X,O,O,O,O
TZIJOSL,X,O,X,O,O,O,X
TZISLJO,X,O,X,X,X,X,X
TZISLOJ,X,O,X,X,X,X,X
TZISJLO,X,O,X,O,X,X,X
TZISJOL,X,O,X,O,X,X,X
TZISOLJ,X,O,X,X,X,X,X
TZISOJL,X,O,X,O,X,X,X
TZIOLJS,X,O,X,O,O,O,X
TZIOLSJ,X,O,X,X,O,X,X
TZIOJLS,X,O,X,O,O,O,X
TZIOJSL,X,O,X,O,O,O,X
TZIOSLJ,X,O,X,X,O,X,X
TZIOSJL,X,O,X,O,O,X,X
TZLIJSO,X,O,X,O,X,X,O
TZLIJOS,X,O,X,O,X,X,O
TZLISJO,X,O,X,X,X,X,X
TZLISOJ,X,O,X,X,X,X,X
TZLIOJS,X,O,X,O,O,O,O
TZLIOSJ,X,O,X,X,O,X,X
TZLJISO,O,O,X,O,X,X,O
TZLJIOS,X,O,X,O,X,X,O
TZLJSIO,O,O,X,O,X,X,O
TZLJSOI,O,O,X,O,X,X,O
