sequence,v115@RhB8FeF8BeD8JeT/IvhF0gBlhB2qBxnBCoB3rB,v115@RhB8FeF8BeD8JeFBJvhFXiBTjBxkBSsBmkBUrB,v115@RhB8FeF8BeD8Jei/IvhFxhBTjBUlBGnBlrBfrB,v115@RhB8FeF8BeD8JeT/IvhFxgBGjBilB3nBFrB8rB,v115@RhB8FeF8BeD8Jei/IvhF8mBGjBRlB3nB1qBTrB,v115@RhB8FeF8BeD8Jei/IvhFfmBGjBUlBRnBVsBTrB,v115@RhB8FeF8BeD8JefHJvhF6nBTjBxkBVrBmkBUrB,v115@RhB8FeF8BeD8JeT/IvhFOlB8lB1rBxnBCoB3rB
TJZOSLI,X,X,O,O,X,X,X,X
TJOILSZ,X,X,X,O,X,X,X,X
TJOILZS,O,X,O,X,X,X,X,X
TJOISLZ,O,X,X,O,X,X,O,X
TJOISZL,O,X,X,X,X,X,X,X
TJOIZLS,O,X,O,X,X,X,X,O
TJOIZSL,O,X,O,X,X,X,X,O
TJOLISZ,X,X,X,O,X,X,X,X
TJOLIZS,X,X,O,X,X,X,X,X
TJOLSIZ,X,X,X,O,X,X,X,X
TJOLSZI,X,X,O,O,X,X,X,X
TJOLZIS,X,X,O,X,X,X,X,X
TJOLZSI,X,X,O,O,X,X,X,X
TJOSILZ,O,X,X,O,X,X,O,X
TJOSIZL,O,X,X,X,X,X,X,X
TJOSLIZ,O,X,X,O,X,X,O,X
TJOSLZI,O,X,O,O,X,X,X,X
TJOSZIL,O,X,O,X,X,X,X,X
TJOSZLI,O,X,O,O,X,X,X,X
TJOZILS,O,X,O,X,X,X,X,O
TJOZISL,O,X,O,X,X,X,X,O
TJOZLIS,O,X,O,X,X,X,X,O
TJOZLSI,X,X,O,O,X,X,X,X
TJOZSIL,O,X,O,X,X,X,X,O
TJOZSLI,X,X,O,O,X,X,X,X
TSILJZO,O,X,X,O,O,X,X,X
TSILJOZ,O,X,X,O,X,X,O,X
TSILZJO,X,X,X,O,O,X,X,X
TSILZOJ,X,X,X,O,X,X,O,X
TSILOJZ,O,X,X,O,X,X,O,X
TSILOZJ,X,X,X,O,X,X,O,X
TSIJLZO,O,X,X,O,O,X,X,X
TSIJLOZ,O,X,X,O,X,X,O,X
TSIJZLO,O,X,X,X,O,X,X,X
TSIJZOL,O,X,X,X,X,X,X,X
TSIJOLZ,O,X,X,O,X,X,O,X
TSIJOZL,O,X,X,X,X,X,X,X
TSIZLJO,X,X,X,X,O,X,X,X
TSIZLOJ,X,X,X,X,X,X,O,X
TSIZJLO,O,X,X,X,O,X,X,X
TSIZJOL,O,X,X,X,X,X,X,O
TSIZOLJ,X,X,X,X,X,X,O,X
TSIZOJL,O,X,X,X,X,X,X,O
TSIOLJZ,O,X,X,O,X,X,O,X
