sequence,v115@XhD8AeB8AeF8Je0AJvhFxhBTjB3kBCnBlqBOpB,v115@XhD8AeB8AeF8JeZEJvhFCgBGiBTjBVqB3mB8qB,v115@XhD8AeB8AeF8Jex/IvhFSnBTjBOpBXlB8qBlrB,v115@XhD8AeB8AeF8JeRBJvhFSnBTjBOpB/qBUrBlpB,v115@XhD8AeB8AeF8JeZEJvhFWlBSnBTjB8qBXqBlrB,v115@XhD8AeB8AeF8JeSHJvhFTjBxkB8qBOpBXqBlrB
TSIOLJZ,O,O,X,X,X,X
TSIOLZJ,O,O,X,X,X,X
TSIOJLZ,X,O,X,X,X,X
TSIOJZL,X,O,X,X,X,X
TSIOZLJ,O,O,X,X,X,X
TSIOZJL,X,O,X,X,X,X
TSLIJZO,O,O,X,X,X,X
TSLIJOZ,O,O,X,X,X,X
TSLIZJO,O,O,X,X,X,X
TSLIZOJ,O,O,X,X,X,X
TSLIOJZ,O,O,X,X,X,X
TSLIOZJ,O,O,X,X,X,X
TSLJIZO,O,O,X,X,X,X
TSLJIOZ,O,O,X,X,X,X
TSLJZIO,O,X,X,O,X,X
TSLJZOI,O,X,X,O,X,X
TSLJOIZ,O,O,X,X,X,X
TSLJOZI,O,X,X,O,X,X
TSLZIJO,O,X,X,O,X,X
TSLZIOJ,O,X,X,O,X,X
TSLZJIO,O,X,X,O,X,X
TSLZJOI,O,X,X,O,X,X
TSLZOIJ,O,X,X,O,X,X
TSLZOJI,O,X,X,O,X,X
TSLOIJZ,O,O,X,X,X,X
TSLOIZJ,O,O,X,X,X,X
TSLOJIZ,O,O,X,X,X,X
TSLOJZI,O,X,X,O,X,X
TSLOZIJ,O,X,X,O,X,X
TSLOZJI,O,X,X,O,X,X
TSJILZO,X,O,X,X,X,X
TSJILOZ,X,O,X,X,X,X
TSJIZLO,X,O,X,X,X,X
TSJIZOL,X,O,X,X,X,X
TSJIOLZ,X,O,X,X,X,X
TSJIOZL,X,O,X,X,X,X
TSJLIZO,O,O,X,X,X,X
TSJLIOZ,O,O,X,X,X,X
TSJLZIO,O,X,X,O,X,X
TSJLZOI,O,X,X,O,X,X
TSJLOIZ,O,O,X,X,X,X
TSJLOZI,O,X,X,O,X,X
TSJZILO,O,O,X,O,X,X
TSJZIOL,X,O,X,O,X,X
TSJZLIO,O,X,X,O,X,X
TSJZLOI,O,X,X,O,X,X
TSJZOIL,X,O,X,O,X,X
TSJZOLI,O,X,X,O,X,X
TSJOILZ,X,O,X,X,X,X
TSJOIZL,X,O,X,X,X,X
TSJOLIZ,O,O,X,X,X,X
TSJOLZI,O,X,X,O,X,X
TSJOZIL,X,O,X,O,X,X
TSJOZLI,O,X,X,O,X,X
TSZILJO,O,O,X,O,X,X
TSZILOJ,O,O,X,O,X,X
TSZIJLO,O,O,X,O,X,X
TSZIJOL,X,O,X,O,X,X
TSZIOLJ,O,O,X,O,X,X
TSZIOJL,X,O,X,O,X,X
TSZLIJO,O,X,X,O,X,X
TSZLIOJ,O,X,X,O,X,X
TSZLJIO,O,X,X,O,X,X
TSZLJOI,O,X,X,O,X,X
TSZLOIJ,O,X,X,O,X,X
TSZLOJI,O,X,X,O,X,X
TSZJILO,O,O,X,O,X,X
TSZJIOL,X,O,X,O,X,X
TSZJLIO,O,X,X,O,X,X
TSZJLOI,O,X,X,O,X,X
TSZJOIL,X,O,X,O,X,X
