sequence,v115@FhB8HeB8HeE8DeC8JeOEJvhF6lBxhBzkBcsBXrBlrB,v115@FhB8HeB8HeE8DeC8Je0/IvhFlgB2pBxmBCnBzqBXsB,v115@FhB8HeB8HeE8DeC8JeKEJvhFzfB+lBxhBcsBXrBlrB,v115@FhB8HeB8HeE8DeC8Je0/IvhFxgBTiB2pBFrBXsBCrB,v115@FhB8HeB8HeE8DeC8Jei/IvhFFhBTiBcrBxpBXsBGqB,v115@FhB8HeB8HeE8DeC8JeKEJvhFzfBUhB1qBXnBGnBRwB,v115@FhB8HeB8HeE8DeC8JeT/IvhF1mB6nBxpBmrB/qBUrB,v115@FhB8HeB8HeE8DeC8Jex/IvhFXiBTkBSsBlqBmqB0rB,v115@FhB8HeB8HeE8DeC8JeOEJvhF8kBFmBTnB3lBCnBRwB,v115@FhB8HeB8HeE8DeC8Je3/IvhFTiBxlB2pBUrBFsBCrB,v115@FhB8HeB8HeE8DeC8Jex/IvhF0hBTkBSsBmqBlqBXsB
TJIOZSL,X,X,X,X,X,X,X,X,O,X,X
TJLISZO,X,X,X,X,X,O,O,X,X,X,X
TJLISOZ,X,X,X,X,X,O,O,X,X,X,X
TJLIZSO,X,X,X,X,X,O,O,X,X,X,X
TJLIZOS,X,X,X,X,X,O,O,X,X,X,X
TJLIOSZ,X,X,X,X,X,O,O,X,X,X,X
TJLIOZS,X,X,X,X,X,O,O,X,X,X,X
TJLSIZO,X,X,X,O,X,X,O,X,X,X,X
TJLSIOZ,X,X,X,O,X,X,O,X,X,X,X
TJLSZIO,X,X,O,O,X,X,X,X,X,X,X
TJLSZOI,X,X,O,O,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,O,X,X,X,O,X,X,X
TJLSOZI,X,X,O,O,X,X,X,O,X,X,X
TJLZISO,X,X,X,O,X,O,O,X,X,X,X
TJLZIOS,X,X,O,X,X,O,O,X,X,X,X
TJLZSIO,X,X,O,O,X,X,X,X,X,X,X
TJLZSOI,X,X,O,O,X,X,X,X,X,X,X
TJLZOIS,X,X,O,X,X,O,X,X,X,X,O
TJLZOSI,X,X,O,X,X,X,X,X,X,X,O
TJLOISZ,X,X,X,X,X,O,O,O,X,X,O
TJLOIZS,X,X,X,X,X,O,O,O,X,X,O
TJLOSIZ,X,X,X,X,X,X,X,O,X,X,O
TJLOSZI,X,X,O,X,X,X,X,O,X,X,O
TJLOZIS,X,X,O,X,X,O,X,O,X,X,O
TJLOZSI,X,X,O,X,X,X,X,O,X,X,O
TJSILZO,X,O,X,O,X,X,O,X,X,X,X
TJSILOZ,X,X,X,O,X,X,O,X,X,X,X
TJSIZLO,X,O,X,O,X,X,X,X,X,X,X
TJSIZOL,X,O,X,O,X,X,X,X,X,X,X
TJSIOLZ,X,X,X,O,X,X,O,X,X,X,X
TJSIOZL,X,O,X,O,X,X,X,X,X,X,X
TJSLIZO,X,X,X,O,X,X,O,X,X,X,X
TJSLIOZ,X,X,X,O,X,X,O,X,X,X,X
TJSLZIO,O,X,O,O,X,X,X,X,X,X,X
TJSLZOI,X,X,O,O,X,X,X,X,X,X,X
TJSLOIZ,X,X,X,O,X,X,X,X,X,X,X
TJSLOZI,X,X,O,O,X,X,X,X,X,X,X
TJSZILO,O,O,O,O,X,X,X,X,X,X,X
TJSZIOL,O,O,X,O,X,X,X,X,X,X,X
TJSZLIO,O,O,O,O,X,X,X,X,X,X,X
TJSZLOI,X,X,O,O,X,X,X,X,X,X,X
TJSZOIL,O,O,X,O,X,X,X,X,X,X,X
TJSZOLI,O,O,X,O,X,X,X,X,X,X,X
TJSOILZ,X,O,X,O,X,X,X,X,X,X,X
TJSOIZL,X,O,X,O,X,X,X,X,X,X,X
TJSOLIZ,X,O,X,O,X,X,X,X,X,X,X
TJSOLZI,O,O,X,O,X,X,X,X,X,X,X
TJSOZIL,O,O,X,O,X,X,X,X,X,X,X
TJSOZLI,O,O,X,O,X,X,X,X,X,X,X
TJZILSO,X,X,X,O,X,O,O,X,X,X,X
TJZILOS,X,X,O,X,X,O,O,X,O,X,X
TJZISLO,O,O,X,O,X,O,X,X,X,X,X
TJZISOL,O,O,X,O,X,X,X,X,O,O,X
TJZIOLS,O,O,X,X,X,X,O,X,O,X,X
TJZIOSL,X,O,X,O,X,X,X,X,O,O,X
TJZLISO,X,X,X,O,X,O,O,X,X,X,X
TJZLIOS,X,X,O,X,X,O,O,X,X,X,X
TJZLSIO,X,O,O,O,X,X,X,X,X,X,X
TJZLSOI,X,X,O,O,X,X,X,X,X,X,X
TJZLOIS,X,O,O,X,X,O,X,X,X,X,X
TJZLOSI,X,O,O,X,X,X,X,X,X,X,X
TJZSILO,O,O,O,O,X,X,X,X,X,X,X
TJZSIOL,O,O,X,O,X,X,X,X,X,X,X
TJZSLIO,O,O,O,O,X,X,X,X,X,X,X
TJZSLOI,X,X,O,O,X,X,X,X,X,X,X
TJZSOIL,O,O,X,O,X,X,X,X,X,X,X
TJZSOLI,O,O,X,O,X,X,X,X,X,X,X
TJZOILS,O,O,X,X,X,X,X,X,O,X,X
TJZOISL,X,O,X,O,X,X,X,X,O,O,X
TJZOLIS,O,O,X,X,X,X,X,X,X,X,X
TJZOLSI,O,O,X,X,X,X,X,X,X,X,X
TJZOSIL,O,O,X,O,X,X,X,X,X,X,X
TJZOSLI,O,O,X,O,X,X,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X,O,O,X,X,X
TJOILZS,X,O,X,X,X,X,O,O,X,X,X
TJOISLZ,X,O,X,X,X,X,O,X,X,O,X
TJOISZL,X,O,X,X,X,X,X,X,X,O,X
TJOIZLS,X,O,X,X,X,X,O,X,X,X,X
TJOIZSL,X,O,X,X,X,X,X,X,X,X,X
TJOLISZ,X,X,X,X,X,X,O,O,X,X,O
