sequence,v115@EhC8IeA8HeD8AeA8CeC8Jex/IvhFihBTkBOqBfsBln?BUrB,v115@EhC8IeA8HeD8AeA8CeC8JeOEJvhFTgBihBfqBRnBUr?BFsB,v115@EhC8IeA8HeD8AeA8CeC8Jem/IvhFRhBTkBcqBimB3n?B1wB,v115@EhC8IeA8HeD8AeA8CeC8Jem/IvhFRhBTkBcqBKrBfs?BlsB,v115@EhC8IeA8HeD8AeA8CeC8Jem/IvhFRhBTkBfsBlnBiq?BUrB,v115@EhC8IeA8HeD8AeA8CeC8JeOEJvhF8kBzgBRnBiqBFs?B3rB,v115@EhC8IeA8HeD8AeA8CeC8JecFJvhFihBTkBRnBFrBXs?BmpB,v115@EhC8IeA8HeD8AeA8CeC8JeT/IvhFylBRnB0lBmpBFs?B3rB
TSZLJOI,O,O,O,O,X,O,X,X
TSZLOIJ,O,O,O,O,O,X,X,X
TSZLOJI,O,O,O,O,O,O,X,X
TSZJILO,O,O,O,X,X,O,X,X
TSZJIOL,O,O,O,X,X,X,X,X
TSZJLIO,O,O,O,O,X,O,X,X
TSZJLOI,O,O,O,O,X,O,X,X
TSZJOIL,O,O,O,X,X,X,X,X
TSZJOLI,O,O,O,X,X,X,X,X
TSZOILJ,O,O,O,X,O,X,O,X
TSZOIJL,O,O,O,X,O,X,O,X
TSZOLIJ,O,O,O,O,O,X,X,X
TSZOLJI,O,O,O,O,O,X,X,X
TSZOJIL,O,O,O,X,O,X,X,X
TSZOJLI,O,O,O,O,O,X,X,X
TSOILJZ,O,O,X,X,O,X,O,X
TSOILZJ,O,O,O,O,O,X,O,X
TSOIJLZ,O,O,X,X,O,X,O,X
TSOIJZL,O,O,X,X,O,X,O,X
TSOIZLJ,O,O,O,X,O,X,O,X
TSOIZJL,O,O,O,X,O,X,O,X
TSOLIJZ,O,O,X,X,O,X,O,X
TSOLIZJ,O,O,O,O,O,X,O,X
TSOLJIZ,O,O,X,X,O,X,X,X
TSOLJZI,O,O,O,O,O,X,X,X
TSOLZIJ,O,O,O,O,O,X,X,X
TSOLZJI,O,O,O,O,O,X,X,X
TSOJILZ,O,O,X,X,O,X,O,X
TSOJIZL,O,O,X,X,O,X,O,X
TSOJLIZ,O,O,X,X,O,X,X,X
TSOJLZI,O,O,O,O,O,X,X,X
TSOJZIL,O,O,O,X,O,X,X,X
TSOJZLI,O,O,O,X,O,X,X,X
TSOZILJ,O,O,O,X,O,X,O,X
TSOZIJL,O,O,O,X,O,X,O,X
TSOZLIJ,O,O,O,O,O,X,X,X
TSOZLJI,O,O,O,O,O,X,X,X
TSOZJIL,O,O,O,X,O,X,X,X
TSOZJLI,O,O,O,O,O,X,X,X
TZILJSO,X,O,O,O,O,O,X,X
TZILJOS,X,O,O,X,O,O,X,X
TZILSJO,X,O,O,O,X,O,X,X
TZILSOJ,X,O,O,O,X,O,X,X
TZILOJS,X,O,O,O,O,O,X,X
TZILOSJ,X,O,O,O,X,O,X,X
TZIJLSO,O,O,O,O,X,O,X,X
TZIJLOS,X,O,O,O,X,O,X,O
TZIJSLO,O,O,O,X,X,O,X,X
TZIJSOL,O,O,O,X,X,X,X,X
TZIJOLS,O,O,O,O,X,O,X,O
TZIJOSL,O,O,O,X,X,X,X,X
TZISLJO,O,O,O,O,O,O,X,X
TZISLOJ,O,O,O,O,O,O,X,X
TZISJLO,O,O,O,X,X,O,X,X
TZISJOL,O,O,O,X,X,X,X,X
TZISOLJ,O,O,O,X,O,X,X,X
TZISOJL,O,O,O,X,O,X,X,X
TZIOLJS,X,O,O,O,O,O,X,X
TZIOLSJ,O,O,O,O,X,O,X,X
TZIOJLS,O,O,O,O,O,O,X,X
TZIOJSL,O,O,O,X,O,X,X,X
TZIOSLJ,O,O,O,X,X,X,X,X
TZIOSJL,O,O,O,X,X,X,X,X
TZLIJSO,X,O,O,O,O,O,X,X
TZLIJOS,X,O,O,O,O,O,X,X
TZLISJO,X,O,O,O,X,O,X,X
TZLISOJ,X,O,O,O,X,O,X,X
TZLIOJS,X,O,O,O,O,O,X,X
TZLIOSJ,X,O,O,O,X,O,X,X
TZLJISO,O,O,O,O,O,O,X,X
TZLJIOS,O,O,O,O,O,O,X,X
TZLJSIO,O,O,O,O,O,O,X,X
TZLJSOI,O,O,O,O,X,O,X,X
