sequence,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhF0gB3iBqrBd?tBmmBRvB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhF0gBmiBdsBf?tB6rBRvB,v115@GhA8BeA8FeF8DeB8FeA8AeA8Jex/IvhFXhBziBSwBm?sBdsB0pB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhF0gB6mB2sBd?tBXsBRvB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhFRsB8qB+rBN?sBatBXqB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhFumB9nBZoBy?wB8qBXqB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JezAJvhFRsB/pB+rBN?sBatBUqB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhFRiB0mBdtBS?vBXsBmqB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeCBJvhFRsB/pBOsBd?tBTrBUqB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JezAJvhFRiB+rBNsBa?tB/pBUqB
TSOIJZL,O,O,X,X,X,X,X,X,X,X
TSOIZLJ,O,O,X,X,X,X,X,X,X,X
TSOIZJL,O,O,X,X,X,X,X,X,X,X
TSOLIJZ,O,O,X,X,X,O,X,X,X,X
TSOLIZJ,O,O,X,X,X,X,X,X,X,X
TSOLJIZ,X,O,X,X,X,O,X,X,X,X
TSOLJZI,O,O,X,X,X,X,X,X,X,X
TSOLZIJ,O,O,X,X,X,X,X,X,X,X
TSOLZJI,O,O,X,X,X,X,X,X,X,X
TSOJILZ,O,O,X,X,X,X,X,X,X,X
TSOJIZL,O,O,X,X,X,X,X,X,X,X
TSOJLIZ,X,O,X,X,X,X,X,X,X,X
TSOJLZI,O,O,X,X,X,X,X,X,X,X
TSOJZIL,O,O,X,X,X,X,X,X,X,X
TSOJZLI,O,O,X,X,X,X,X,X,X,X
TSOZILJ,O,O,X,X,X,X,X,O,X,X
TSOZIJL,O,O,X,X,X,X,X,O,X,X
TSOZLIJ,O,O,X,X,X,X,X,O,X,X
TSOZLJI,O,O,X,X,X,X,X,O,X,X
TSOZJIL,O,O,X,X,X,X,X,O,X,X
TSOZJLI,O,O,X,X,X,X,X,O,X,X
TZILJSO,O,X,X,O,X,O,X,X,X,X
TZILJOS,O,X,X,O,X,O,X,X,X,X
TZILSJO,O,O,X,X,X,X,X,O,X,X
TZILSOJ,O,O,X,X,X,X,X,O,X,X
TZILOJS,O,X,X,O,X,O,X,X,X,X
TZILOSJ,O,O,X,X,X,X,X,O,X,X
TZIJLSO,O,X,X,O,X,X,X,X,X,X
TZIJLOS,O,X,X,O,X,X,X,X,X,X
TZIJSLO,O,O,X,X,X,X,X,X,X,X
TZIJSOL,O,O,X,X,X,X,X,X,X,X
TZIJOLS,O,X,X,O,X,X,X,X,X,X
TZIJOSL,O,O,X,X,X,X,X,X,X,X
TZISLJO,O,O,X,X,X,X,X,O,X,X
TZISLOJ,O,O,X,X,X,X,X,O,X,X
TZISJLO,O,O,X,X,X,X,X,O,X,X
TZISJOL,O,O,X,X,X,X,X,O,X,X
TZISOLJ,O,O,X,X,X,X,X,O,X,X
TZISOJL,O,O,X,X,X,X,X,O,X,X
TZIOLJS,O,X,X,O,X,O,X,X,X,X
TZIOLSJ,O,O,X,X,X,X,X,O,X,X
TZIOJLS,O,X,X,O,X,X,X,X,X,X
TZIOJSL,O,O,X,X,X,X,X,X,X,X
TZIOSLJ,O,O,X,X,X,X,X,O,X,X
TZIOSJL,O,O,X,X,X,X,X,O,X,X
TZLIJSO,O,X,X,O,X,O,X,X,X,X
TZLIJOS,O,X,X,O,X,O,X,X,X,X
TZLISJO,O,X,X,X,X,X,X,O,X,X
TZLISOJ,O,X,X,X,X,X,X,O,X,X
TZLIOJS,O,X,X,O,X,O,X,X,X,X
TZLIOSJ,O,X,X,X,X,X,X,O,X,X
TZLJISO,X,X,X,O,X,O,X,X,X,X
TZLJIOS,X,X,X,O,X,O,X,X,X,X
TZLJSIO,X,X,X,O,X,X,X,O,X,X
TZLJSOI,O,X,X,O,X,X,X,O,X,X
TZLJOIS,X,X,X,O,X,O,X,X,X,X
TZLJOSI,O,X,X,O,X,X,X,O,X,X
TZLSIJO,O,O,X,X,X,X,X,O,X,X
TZLSIOJ,O,O,X,X,X,X,X,O,X,X
TZLSJIO,X,O,X,X,X,X,X,O,X,X
TZLSJOI,O,O,X,X,X,X,X,O,X,X
TZLSOIJ,O,O,X,X,X,X,X,O,X,X
TZLSOJI,O,O,X,X,X,X,X,O,X,X
TZLOIJS,O,X,X,O,X,O,X,X,X,X
TZLOISJ,O,X,X,X,X,X,X,O,X,X
TZLOJIS,X,X,X,O,X,O,X,X,X,X
TZLOJSI,O,X,X,O,X,X,X,O,X,X
TZLOSIJ,O,O,X,X,X,X,X,O,X,X
TZLOSJI,O,O,X,X,X,X,X,O,X,X
TZJILSO,O,X,X,O,X,X,X,X,X,X
TZJILOS,O,X,X,O,X,X,X,X,X,X
TZJISLO,O,X,X,X,X,X,X,X,X,X
TZJISOL,O,X,X,X,X,X,X,X,X,X
TZJIOLS,O,X,X,O,X,X,X,X,X,X
TZJIOSL,O,X,X,X,X,X,X,X,X,X
TZJLISO,X,X,X,O,X,X,X,X,X,X
TZJLIOS,X,X,X,O,X,X,X,X,X,X
TZJLSIO,X,X,X,O,X,X,X,O,X,X
TZJLSOI,O,X,X,O,X,X,X,O,X,X
TZJLOIS,X,X,X,O,X,X,X,X,X,X
TZJLOSI,O,X,X,O,X,X,X,O,X,X
TZJSILO,O,O,X,X,X,X,X,O,X,X
TZJSIOL,O,O,X,X,X,X,X,O,X,X
TZJSLIO,X,O,X,X,X,X,X,O,X,X
TZJSLOI,O,O,X,X,X,X,X,O,X,X
TZJSOIL,O,O,X,X,X,X,X,O,X,X
TZJSOLI,O,O,X,X,X,X,X,O,X,X
TZJOILS,O,X,X,O,X,X,X,X,X,X
TZJOISL,O,X,X,X,X,X,X,X,X,X
TZJOLIS,X,X,X,O,X,X,X,X,X,X
TZJOLSI,O,X,X,O,X,X,X,O,X,X
TZJOSIL,O,O,X,X,X,X,X,O,X,X
TZJOSLI,O,O,X,X,X,X,X,O,X,X
TZSILJO,O,O,X,X,X,X,X,O,X,X
TZSILOJ,O,O,X,X,X,X,X,O,X,X
TZSIJLO,O,O,X,X,X,X,X,O,X,X
TZSIJOL,O,O,X,X,X,X,X,O,X,X
TZSIOLJ,O,O,X,X,X,X,X,O,X,X
TZSIOJL,O,O,X,X,X,X,X,O,X,X
TZSLIJO,O,O,X,X,X,X,X,O,X,X
TZSLIOJ,O,O,X,X,X,X,X,O,X,X
TZSLJIO,X,O,X,X,X,X,X,O,X,X
TZSLJOI,O,O,X,X,X,X,X,O,X,X
TZSLOIJ,O,O,X,X,X,X,X,O,X,X
TZSLOJI,O,O,X,X,X,X,X,O,X,X
TZSJILO,O,O,X,X,X,X,X,O,X,X
TZSJIOL,O,O,X,X,X,X,X,O,X,X
TZSJLIO,X,O,X,X,X,X,X,O,X,X
TZSJLOI,O,O,X,X,X,X,X,O,X,X
TZSJOIL,O,O,X,X,X,X,X,O,X,X
TZSJOLI,O,O,X,X,X,X,X,O,X,X
TZSOILJ,O,O,X,X,X,X,X,O,X,X
TZSOIJL,O,O,X,X,X,X,X,O,X,X
TZSOLIJ,O,O,X,X,X,X,X,O,X,X
TZSOLJI,O,O,X,X,X,X,X,O,X,X
TZSOJIL,O,O,X,X,X,X,X,O,X,X
TZSOJLI,O,O,X,X,X,X,X,O,X,X
TZOILJS,O,X,X,O,X,O,X,X,X,X
TZOILSJ,O,O,X,X,X,X,X,O,X,X
TZOIJLS,O,X,X,O,X,X,X,X,X,X
TZOIJSL,O,O,X,X,X,X,X,X,X,X
TZOISLJ,O,O,X,X,X,X,X,O,X,X
TZOISJL,O,O,X,X,X,X,X,O,X,X
TZOLIJS,O,X,X,O,X,O,X,X,X,X
TZOLISJ,O,X,X,X,X,X,X,O,X,X
TZOLJIS,X,X,X,O,X,O,X,X,X,X
TZOLJSI,O,X,X,O,X,X,X,O,X,X
TZOLSIJ,O,O,X,X,X,X,X,O,X,X
TZOLSJI,O,O,X,X,X,X,X,O,X,X
TZOJILS,O,X,X,O,X,X,X,X,X,X
TZOJISL,O,X,X,X,X,X,X,X,X,X
TZOJLIS,X,X,X,O,X,X,X,X,X,X
TZOJLSI,O,X,X,O,X,X,X,O,X,X
TZOJSIL,O,O,X,X,X,X,X,O,X,X
TZOJSLI,O,O,X,X,X,X,X,O,X,X
TZOSILJ,O,O,X,X,X,X,X,O,X,X
TZOSIJL,O,O,X,X,X,X,X,O,X,X
TZOSLIJ,O,O,X,X,X,X,X,O,X,X
TZOSLJI,O,O,X,X,X,X,X,O,X,X
TZOSJIL,O,O,X,X,X,X,X,O,X,X
TZOSJLI,O,O,X,X,X,X,X,O,X,X
TOILJSZ,O,X,X,X,O,O,X,X,X,X
TOILJZS,O,X,X,X,O,O,X,X,X,X
TOILSJZ,O,X,X,X,O,O,X,X,X,X
TOILSZJ,O,X,X,X,X,X,X,X,X,X
TOILZJS,O,X,X,X,O,O,X,X,X,X
TOILZSJ,O,X,X,X,X,X,X,X,X,X
TOIJLSZ,O,X,X,X,O,O,O,X,X,X
TOIJLZS,O,X,X,X,O,O,O,X,X,X
TOIJSLZ,O,X,X,X,O,X,O,X,X,X
TOIJSZL,O,X,X,X,O,X,O,X,X,X
TOIJZLS,O,X,X,X,O,X,O,X,X,X
TOIJZSL,O,X,X,X,O,X,O,X,X,X
TOISLJZ,O,O,X,X,O,O,X,X,X,X
TOISLZJ,O,O,X,X,X,X,X,X,X,X
TOISJLZ,O,O,X,X,O,X,O,X,X,X
TOISJZL,O,O,X,X,O,X,O,X,X,X
TOISZLJ,O,O,X,X,X,X,X,X,X,X
TOISZJL,O,O,X,X,X,X,X,X,X,X
TOIZLJS,O,X,X,X,O,O,X,X,X,X
TOIZLSJ,O,X,X,X,X,X,X,O,X,X
TOIZJLS,O,X,X,X,O,X,X,X,X,X
TOIZJSL,O,X,X,X,O,X,X,X,X,X
TOIZSLJ,O,O,X,X,X,X,X,O,X,X
TOIZSJL,O,O,X,X,X,X,X,O,X,X
TOLIJSZ,O,X,X,X,X,O,X,X,X,X
TOLIJZS,O,X,X,X,X,O,X,X,X,X
TOLISJZ,O,X,X,X,X,O,X,X,X,X
TOLISZJ,O,X,X,X,X,X,X,X,X,X
TOLIZJS,O,X,X,X,X,O,X,X,X,X
TOLIZSJ,O,X,X,X,X,X,X,X,X,X
TOLJISZ,X,X,X,X,X,O,X,X,X,X
TOLJIZS,X,X,X,X,X,O,X,X,X,X
TOLJSIZ,X,X,X,X,X,O,X,X,X,X
TOLJSZI,O,X,X,X,X,X,X,X,X,X
TOLJZIS,X,X,X,X,X,O,X,X,X,X
TOLJZSI,O,X,X,X,X,X,X,X,X,X
TOLSIJZ,O,O,X,X,X,O,X,X,X,X
TOLSIZJ,O,O,X,X,X,X,X,X,X,X
TOLSJIZ,X,O,X,X,X,O,X,X,X,X
TOLSJZI,O,O,X,X,X,X,X,X,X,X
TOLSZIJ,O,O,X,X,X,X,X,X,X,X
TOLSZJI,O,O,X,X,X,X,X,X,X,X
TOLZIJS,O,X,X,X,X,O,X,X,X,X
TOLZISJ,O,X,X,X,X,X,X,O,X,X
TOLZJIS,X,X,X,X,X,O,X,X,X,X
TOLZJSI,O,X,X,X,X,X,X,O,X,X
TOLZSIJ,O,O,X,X,X,X,X,O,X,X
TOLZSJI,O,O,X,X,X,X,X,O,X,X
TOJILSZ,O,X,X,X,X,O,X,X,X,O
TOJILZS,O,X,X,X,X,O,X,X,X,O
TOJISLZ,O,X,X,X,X,X,X,X,X,X
TOJISZL,O,X,X,X,X,X,X,X,X,X
TOJIZLS,O,X,X,O,X,X,X,X,X,X
TOJIZSL,O,X,X,X,X,X,X,X,X,X
TOJLISZ,X,X,X,X,X,O,X,X,X,O
TOJLIZS,X,X,X,X,X,O,X,X,X,O
TOJLSIZ,X,X,X,X,X,O,X,X,X,O
TOJLSZI,O,X,X,X,X,X,X,X,X,O
TOJLZIS,X,X,X,X,X,O,X,X,X,O
TOJLZSI,O,X,X,X,X,X,X,X,X,O
TOJSILZ,O,O,X,X,X,X,X,X,X,X
TOJSIZL,O,O,X,X,X,X,X,X,X,X
TOJSLIZ,X,O,X,X,X,X,X,X,X,O
TOJSLZI,O,O,X,X,X,X,X,X,X,O
TOJSZIL,O,O,X,X,X,X,X,X,X,X
TOJSZLI,O,O,X,X,X,X,X,X,X,X
TOJZILS,O,X,X,O,X,X,X,X,X,X
TOJZISL,O,X,X,X,X,X,X,X,X,X
TOJZLIS,X,X,X,O,X,X,X,X,X,O
TOJZLSI,O,X,X,O,X,X,X,O,X,O
TOJZSIL,O,O,X,X,X,X,X,O,X,X
TOJZSLI,O,O,X,X,X,X,X,O,X,X
TOSILJZ,O,O,X,X,X,O,X,X,X,X
TOSILZJ,O,O,X,X,X,X,X,X,X,X
TOSIJLZ,O,O,X,X,X,X,X,X,X,X
TOSIJZL,O,O,X,X,X,X,X,X,X,X
TOSIZLJ,O,O,X,X,X,X,X,X,X,X
TOSIZJL,O,O,X,X,X,X,X,X,X,X
TOSLIJZ,O,O,X,X,X,O,X,X,X,X
TOSLIZJ,O,O,X,X,X,X,X,X,X,X
TOSLJIZ,X,O,X,X,X,O,X,X,X,X
TOSLJZI,O,O,X,X,X,X,X,X,X,X
TOSLZIJ,O,O,X,X,X,X,X,X,X,X
TOSLZJI,O,O,X,X,X,X,X,X,X,X
TOSJILZ,O,O,X,X,X,X,X,X,X,X
TOSJIZL,O,O,X,X,X,X,X,X,X,X
TOSJLIZ,X,O,X,X,X,X,X,X,X,X
TOSJLZI,O,O,X,X,X,X,X,X,X,X
TOSJZIL,O,O,X,X,X,X,X,X,X,X
TOSJZLI,O,O,X,X,X,X,X,X,X,X
TOSZILJ,O,O,X,X,X,X,X,O,X,X
TOSZIJL,O,O,X,X,X,X,X,O,X,X
TOSZLIJ,O,O,X,X,X,X,X,O,X,X
TOSZLJI,O,O,X,X,X,X,X,O,X,X
TOSZJIL,O,O,X,X,X,X,X,O,X,X
TOSZJLI,O,O,X,X,X,X,X,O,X,X
TOZILJS,O,X,X,O,X,O,X,X,X,X
TOZILSJ,O,O,X,X,X,X,X,O,X,X
TOZIJLS,O,X,X,O,X,X,X,X,X,X
TOZIJSL,O,O,X,X,X,X,X,X,X,X
TOZISLJ,O,O,X,X,X,X,X,O,X,X
TOZISJL,O,O,X,X,X,X,X,O,X,X
TOZLIJS,O,X,X,O,X,O,X,X,X,X
TOZLISJ,O,X,X,X,X,X,X,O,X,X
TOZLJIS,X,X,X,O,X,O,X,X,X,X
TOZLJSI,O,X,X,O,X,X,X,O,X,X
TOZLSIJ,O,O,X,X,X,X,X,O,X,X
TOZLSJI,O,O,X,X,X,X,X,O,X,X
TOZJILS,O,X,X,O,X,X,X,X,X,X
TOZJISL,O,X,X,X,X,X,X,X,X,X
TOZJLIS,X,X,X,O,X,X,X,X,X,X
TOZJLSI,O,X,X,O,X,X,X,O,X,X
TOZJSIL,O,O,X,X,X,X,X,O,X,X
TOZJSLI,O,O,X,X,X,X,X,O,X,X
TOZSILJ,O,O,X,X,X,X,X,O,X,X
TOZSIJL,O,O,X,X,X,X,X,O,X,X
TOZSLIJ,O,O,X,X,X,X,X,O,X,X
TOZSLJI,O,O,X,X,X,X,X,O,X,X
TOZSJIL,O,O,X,X,X,X,X,O,X,X
TOZSJLI,O,O,X,X,X,X,X,O,X,X
ITLJSZO,O,X,O,X,O,O,O,X,X,X
ITLJSOZ,O,X,O,X,O,O,O,X,O,X
ITLJZSO,O,X,O,X,O,O,O,X,X,X
ITLJZOS,O,X,O,X,O,O,O,X,X,X
ITLJOSZ,O,X,O,X,O,O,O,X,O,X
ITLJOZS,O,X,O,X,O,O,O,X,O,X
ITLSJZO,O,X,O,X,O,O,O,X,X,X
ITLSJOZ,O,X,O,X,O,O,O,X,O,X
ITLSZJO,O,X,X,X,X,X,O,X,X,X
ITLSZOJ,O,X,X,X,X,X,X,X,X,X
ITLSOJZ,O,X,X,X,O,O,O,X,O,X
ITLSOZJ,O,X,X,X,X,X,X,X,O,X
ITLZJSO,O,X,X,X,O,O,O,X,X,X
ITLZJOS,O,X,X,X,O,O,O,X,X,X
ITLZSJO,O,X,X,X,X,X,O,X,X,X
ITLZSOJ,O,X,X,X,X,X,X,X,X,X
ITLZOJS,O,X,X,X,O,O,X,X,X,X
ITLZOSJ,O,X,X,X,X,X,X,X,X,X
ITLOJSZ,O,X,X,X,O,O,O,X,O,X
ITLOJZS,O,X,X,X,O,O,O,X,O,X
ITLOSJZ,O,X,X,X,O,O,O,X,O,X
ITLOSZJ,O,X,X,X,X,X,X,X,O,X
ITLOZJS,O,X,X,X,O,O,X,X,O,X
ITLOZSJ,O,X,X,X,X,X,X,X,O,X
ITJLSZO,O,X,O,X,O,O,O,X,X,X
ITJLSOZ,O,X,O,X,O,O,O,X,O,X
ITJLZSO,O,X,O,X,O,O,O,X,X,X
ITJLZOS,O,X,O,X,O,O,O,X,X,X
ITJLOSZ,O,X,O,X,O,O,O,X,O,X
ITJLOZS,O,X,O,X,O,O,O,X,O,X
ITJSLZO,O,X,X,X,O,X,O,X,X,X
ITJSLOZ,O,X,X,X,O,X,O,X,O,X
ITJSZLO,O,X,X,X,O,X,O,X,X,X
ITJSZOL,O,X,X,X,O,X,O,X,O,X
ITJSOLZ,O,X,X,X,O,X,O,X,O,X
ITJSOZL,O,X,X,X,O,X,O,X,O,X
ITJZLSO,O,X,X,X,O,X,O,X,X,X
ITJZLOS,O,X,X,X,O,X,O,X,X,X
ITJZSLO,O,X,X,X,O,X,O,X,X,X
ITJZSOL,O,X,X,X,O,X,O,X,O,X
ITJZOLS,O,X,X,X,O,X,O,X,O,X
ITJZOSL,O,X,X,X,O,X,O,X,O,X
ITJOLSZ,O,X,O,X,O,O,O,X,O,X
ITJOLZS,O,X,O,X,O,O,O,X,O,X
ITJOSLZ,O,X,X,X,O,X,O,X,O,X
ITJOSZL,O,X,X,X,O,X,O,X,O,X
ITJOZLS,O,X,X,X,O,X,O,X,O,X
ITJOZSL,O,X,X,X,O,X,O,X,O,X
ITSLJZO,O,O,X,X,O,O,O,X,X,X
ITSLJOZ,O,O,X,X,O,O,O,X,O,X
ITSLZJO,O,O,X,X,X,X,O,X,X,X
ITSLZOJ,O,O,X,X,X,X,X,X,X,X
ITSLOJZ,O,O,X,X,O,O,O,X,O,X
ITSLOZJ,O,O,X,X,X,X,X,X,O,X
ITSJLZO,O,O,X,X,O,X,O,X,X,X
ITSJLOZ,O,O,X,X,O,X,O,X,O,X
ITSJZLO,O,O,X,X,O,X,O,X,X,X
ITSJZOL,O,O,X,X,O,X,O,X,O,X
ITSJOLZ,O,O,X,X,O,X,O,X,O,X
ITSJOZL,O,O,X,X,O,X,O,X,O,X
ITSZLJO,O,O,X,X,X,X,O,X,X,X
ITSZLOJ,O,O,X,X,X,X,X,X,X,X
ITSZJLO,O,O,X,X,X,X,O,X,X,X
ITSZJOL,O,O,X,X,X,X,O,X,O,X
ITSZOLJ,O,O,X,X,X,X,X,X,O,X
ITSZOJL,O,O,X,X,X,X,X,X,O,X
ITSOLJZ,O,O,X,X,O,O,O,X,O,X
ITSOLZJ,O,O,X,X,X,X,X,X,O,X
ITSOJLZ,O,O,X,X,O,X,O,X,O,X
ITSOJZL,O,O,X,X,O,X,O,X,O,X
ITSOZLJ,O,O,X,X,X,X,X,X,O,X
ITSOZJL,O,O,X,X,X,X,X,X,O,X
ITZLJSO,O,X,X,X,O,O,O,X,X,X
ITZLJOS,O,X,X,X,O,O,O,X,X,X
ITZLSJO,O,X,X,X,X,X,O,O,X,X
ITZLSOJ,O,X,X,X,X,X,X,O,X,X
ITZLOJS,O,X,X,X,O,O,X,X,X,X
ITZLOSJ,O,X,X,X,X,X,X,O,X,X
ITZJLSO,O,X,X,X,O,X,O,X,X,X
ITZJLOS,O,X,X,X,O,X,O,X,X,X
ITZJSLO,O,X,X,X,O,X,O,X,X,X
ITZJSOL,O,X,X,X,O,X,O,X,O,X
ITZJOLS,O,X,X,X,O,X,O,X,O,X
ITZJOSL,O,X,X,X,O,X,O,X,O,X
ITZSLJO,O,O,X,X,X,X,O,O,X,X
ITZSLOJ,O,O,X,X,X,X,X,O,X,X
ITZSJLO,O,O,X,X,X,X,O,O,X,X
ITZSJOL,O,O,X,X,X,X,O,O,O,X
ITZSOLJ,O,O,X,X,X,X,X,O,O,X
ITZSOJL,O,O,X,X,X,X,X,O,O,X
ITZOLJS,O,X,X,X,O,O,X,X,O,X
ITZOLSJ,O,X,X,X,X,X,X,O,O,X
ITZOJLS,O,X,X,X,O,X,X,X,O,X
ITZOJSL,O,X,X,X,O,X,X,X,O,X
ITZOSLJ,O,O,X,X,X,X,X,O,O,X
ITZOSJL,O,O,X,X,X,X,X,O,O,X
ITOLJSZ,O,X,X,X,O,O,O,X,O,X
ITOLJZS,O,X,X,X,O,O,O,X,O,X
ITOLSJZ,O,X,X,X,O,O,O,X,O,X
ITOLSZJ,O,X,X,X,X,X,X,X,O,X
ITOLZJS,O,X,X,X,O,O,X,X,O,X
ITOLZSJ,O,X,X,X,X,X,X,X,O,X
ITOJLSZ,O,X,X,X,O,O,O,X,O,X
ITOJLZS,O,X,X,X,O,O,O,X,O,X
ITOJSLZ,O,X,X,X,O,X,O,X,O,X
ITOJSZL,O,X,X,X,O,X,O,X,O,X
ITOJZLS,O,X,X,X,O,X,O,X,O,X
ITOJZSL,O,X,X,X,O,X,O,X,O,X
ITOSLJZ,O,O,X,X,O,O,O,X,O,X
ITOSLZJ,O,O,X,X,X,X,X,X,O,X
ITOSJLZ,O,O,X,X,O,X,O,X,O,X
ITOSJZL,O,O,X,X,O,X,O,X,O,X
ITOSZLJ,O,O,X,X,X,X,X,X,O,X
ITOSZJL,O,O,X,X,X,X,X,X,O,X
ITOZLJS,O,X,X,X,O,O,X,X,O,X
ITOZLSJ,O,X,X,X,X,X,X,O,O,X
ITOZJLS,O,X,X,X,O,X,X,X,O,X
ITOZJSL,O,X,X,X,O,X,X,X,O,X
ITOZSLJ,O,O,X,X,X,X,X,O,O,X
ITOZSJL,O,O,X,X,X,X,X,O,O,X
ILTJSZO,X,X,O,X,O,O,O,X,X,X
ILTJSOZ,X,X,O,X,O,O,O,X,O,X
ILTJZSO,X,X,O,X,O,O,O,X,X,X
ILTJZOS,X,X,O,X,O,O,O,X,X,X
ILTJOSZ,X,X,O,X,O,O,O,X,O,X
ILTJOZS,X,X,O,X,O,O,O,X,O,X
ILTSJZO,X,X,O,X,O,O,O,X,X,X
ILTSJOZ,X,X,O,X,O,O,O,X,O,X
ILTSZJO,X,X,X,X,X,X,O,X,X,X
ILTSZOJ,O,X,X,X,X,X,X,X,X,X
ILTSOJZ,X,X,X,X,O,O,O,X,O,X
ILTSOZJ,O,X,X,X,X,X,X,X,O,X
ILTZJSO,X,X,X,X,O,O,O,X,X,X
ILTZJOS,X,X,X,X,O,O,O,X,X,X
ILTZSJO,X,X,X,X,X,X,O,X,X,X
ILTZSOJ,O,X,X,X,X,X,X,X,X,X
ILTZOJS,X,X,X,X,O,O,X,X,X,X
ILTZOSJ,O,X,X,X,X,X,X,X,X,X
ILTOJSZ,X,X,X,X,O,O,O,X,O,X
ILTOJZS,X,X,X,X,O,O,O,X,O,X
ILTOSJZ,X,X,X,X,O,O,O,X,O,X
ILTOSZJ,O,X,X,X,X,X,X,X,O,X
ILTOZJS,X,X,X,X,O,O,X,X,O,X
ILTOZSJ,O,X,X,X,X,X,X,X,O,X
ILJTSZO,X,X,O,X,O,O,O,X,X,X
ILJTSOZ,X,X,O,X,O,O,O,X,X,X
ILJTZSO,X,X,O,X,O,O,O,X,X,X
ILJTZOS,X,X,O,X,O,O,O,X,X,X
ILJTOSZ,X,X,O,X,O,O,O,X,X,X
ILJTOZS,X,X,O,X,O,O,O,X,X,X
ILJSTZO,X,X,O,X,X,X,O,X,X,X
ILJSTOZ,X,X,O,X,X,X,O,X,X,X
ILJSZTO,X,X,O,X,X,X,X,X,X,X
ILJSZOT,X,X,O,X,X,X,X,X,X,X
ILJSOTZ,X,X,O,X,X,X,O,X,X,X
ILJSOZT,X,X,X,X,X,X,X,X,X,X
ILJZTSO,X,X,O,X,O,X,X,X,X,X
ILJZTOS,X,X,O,X,O,X,X,X,X,X
ILJZSTO,X,X,O,X,X,X,X,X,X,X
ILJZSOT,X,X,O,X,X,X,X,X,X,X
ILJZOTS,X,X,O,X,O,X,X,X,X,X
ILJZOST,X,X,O,X,X,X,X,X,X,X
ILJOTSZ,X,X,O,X,O,O,O,X,X,X
ILJOTZS,X,X,O,X,O,O,O,X,X,X
ILJOSTZ,X,X,O,X,X,X,O,X,X,X
ILJOSZT,X,X,X,X,X,X,X,X,X,X
ILJOZTS,X,X,O,X,O,X,X,X,X,X
ILJOZST,X,X,O,X,X,X,X,X,X,X
ILSTJZO,X,X,O,X,O,O,O,X,X,X
ILSTJOZ,X,X,O,X,O,O,O,X,O,X
ILSTZJO,X,X,X,X,X,X,O,X,X,X
ILSTZOJ,X,X,X,X,X,X,X,X,X,X
ILSTOJZ,X,X,X,X,O,O,O,X,O,X
ILSTOZJ,X,X,X,X,X,X,X,X,O,X
ILSJTZO,X,X,O,X,X,X,O,X,X,X
ILSJTOZ,X,X,O,X,X,X,O,X,X,X
ILSJZTO,X,X,O,X,X,X,X,X,X,X
ILSJZOT,X,X,O,X,X,X,X,X,X,X
ILSJOTZ,X,X,O,X,X,X,O,X,X,X
ILSJOZT,X,X,X,X,X,X,X,X,X,X
ILSZTJO,X,X,X,X,X,X,O,X,X,X
ILSZTOJ,X,X,X,X,X,X,X,X,X,X
ILSZJTO,X,X,O,X,X,X,X,X,X,X
ILSZJOT,X,X,X,X,X,X,X,X,X,X
ILSZOTJ,X,X,X,X,X,X,X,X,X,X
ILSZOJT,X,X,X,X,X,X,X,X,X,X
ILSOTJZ,X,X,X,X,O,O,O,X,O,X
ILSOTZJ,X,X,X,X,X,X,X,X,O,X
ILSOJTZ,X,X,O,X,X,X,X,X,O,X
ILSOJZT,X,X,X,X,X,X,X,X,X,X
ILSOZTJ,X,X,X,X,X,X,X,X,O,X
ILSOZJT,X,X,X,X,X,X,X,X,X,X
ILZTJSO,X,X,X,X,O,O,O,X,X,X
ILZTJOS,X,X,X,X,O,O,O,X,X,X
ILZTSJO,X,X,X,X,X,X,O,X,X,X
ILZTSOJ,O,X,X,X,X,X,X,X,X,X
ILZTOJS,X,X,X,X,O,O,X,X,X,X
ILZTOSJ,O,X,X,X,X,X,X,X,X,X
ILZJTSO,X,X,O,X,O,X,X,X,X,X
ILZJTOS,X,X,O,X,O,X,X,X,X,X
ILZJSTO,X,X,O,X,X,X,X,X,X,X
ILZJSOT,X,X,X,X,X,X,X,X,X,X
ILZJOTS,X,X,O,X,O,X,X,X,X,X
ILZJOST,X,X,X,X,X,X,X,X,X,X
ILZSTJO,X,X,X,X,X,X,O,X,X,X
ILZSTOJ,X,X,X,X,X,X,X,X,X,X
ILZSJTO,X,X,O,X,X,X,X,X,X,X
ILZSJOT,X,X,X,X,X,X,X,X,X,X
ILZSOTJ,X,X,X,X,X,X,X,X,X,X
ILZSOJT,X,X,X,X,X,X,X,X,X,X
ILZOTJS,X,X,X,X,O,O,X,X,X,X
ILZOTSJ,O,X,X,X,X,X,X,X,X,X
ILZOJTS,X,X,X,X,O,X,X,X,X,X
ILZOJST,X,X,X,X,X,X,X,X,X,X
ILZOSTJ,X,X,X,X,X,X,X,X,X,X
ILZOSJT,X,X,X,X,X,X,X,X,X,X
