sequence,v115@QhB8GeH8BeB8JeT/IvhFelBChBxiBXmBlnBUsB,v115@QhB8GeH8BeB8Je/EJvhFUgBRhBFjByqBzmB+sB,v115@QhB8GeH8BeB8Je/EJvhFalBGhBxiBzlBlnBUsB,v115@QhB8GeH8BeB8Jem/IvhFqlBThBxiB0kBVsB3sB,v115@QhB8GeH8BeB8Jem/IvhFRhB0kBzlBfsBlnBCtB
TJLZOSI,X,O,X,O,X
TJLOISZ,O,O,X,X,X
TJLOIZS,X,O,X,O,X
TJLOSIZ,O,O,X,X,X
TJLOSZI,O,O,X,X,X
TJLOZIS,X,O,X,O,X
TJLOZSI,X,O,X,O,X
TJSILZO,O,O,X,X,X
TJSILOZ,O,O,O,X,X
TJSIZLO,O,O,X,X,X
TJSIZOL,O,O,X,X,X
TJSIOLZ,O,O,O,X,X
TJSIOZL,O,O,O,X,X
TJSLIZO,O,O,X,X,X
TJSLIOZ,O,O,O,X,X
TJSLZIO,O,O,X,X,X
TJSLZOI,O,O,X,X,X
TJSLOIZ,O,O,O,X,X
TJSLOZI,O,O,O,X,X
TJSZILO,O,O,X,X,X
TJSZIOL,O,O,X,X,X
TJSZLIO,O,O,X,X,X
TJSZLOI,O,O,X,X,X
TJSZOIL,O,O,X,X,X
TJSZOLI,O,O,X,X,X
TJSOILZ,O,O,O,X,X
TJSOIZL,O,O,O,X,X
TJSOLIZ,O,O,O,X,X
TJSOLZI,O,O,O,X,X
TJSOZIL,O,O,O,X,X
TJSOZLI,O,O,O,X,X
TJZILSO,O,X,X,O,X
TJZILOS,O,X,X,O,X
TJZISLO,O,X,X,O,X
TJZISOL,O,X,X,X,X
TJZIOLS,O,X,X,O,X
TJZIOSL,O,X,X,X,X
TJZLISO,O,O,X,O,X
TJZLIOS,O,X,X,O,X
TJZLSIO,O,O,X,O,X
TJZLSOI,O,O,X,O,X
TJZLOIS,O,O,X,O,X
TJZLOSI,O,O,X,O,X
TJZSILO,O,O,X,O,X
TJZSIOL,O,O,X,X,X
TJZSLIO,O,O,X,O,X
TJZSLOI,O,O,X,O,X
TJZSOIL,O,O,X,X,X
TJZSOLI,O,O,X,X,X
TJZOILS,O,O,X,O,X
TJZOISL,O,O,X,X,X
TJZOLIS,O,O,X,O,X
TJZOLSI,O,O,X,O,X
TJZOSIL,O,O,X,X,X
TJZOSLI,O,O,X,X,X
TJOILSZ,O,O,O,X,X
TJOILZS,X,O,X,O,X
TJOISLZ,O,O,O,X,X
TJOISZL,O,O,O,X,X
TJOIZLS,X,O,X,O,X
TJOIZSL,O,O,O,X,X
TJOLISZ,O,O,O,X,X
TJOLIZS,X,O,X,O,X
TJOLSIZ,O,O,O,X,X
TJOLSZI,O,O,O,X,X
TJOLZIS,X,O,X,O,X
TJOLZSI,X,O,X,O,X
TJOSILZ,O,O,O,X,X
TJOSIZL,O,O,O,X,X
TJOSLIZ,O,O,O,X,X
TJOSLZI,O,O,O,X,X
TJOSZIL,O,O,O,X,X
TJOSZLI,O,O,O,X,X
TJOZILS,O,O,X,O,X
TJOZISL,O,O,O,X,X
TJOZLIS,O,O,X,O,X
TJOZLSI,O,O,X,O,X
TJOZSIL,O,O,O,X,X
TJOZSLI,O,O,O,X,X
TSILJZO,O,O,X,X,X
TSILJOZ,O,O,O,X,X
TSILZJO,O,O,O,O,X
TSILZOJ,X,O,O,O,X
TSILOJZ,O,X,O,X,X
TSILOZJ,X,O,O,O,O
