sequence,v115@OhA8AeA8AeA8EeC8AeB8CeD8JeZEJvhFzfBfmBenBF?jB0qB6rB,v115@OhA8AeA8AeA8EeC8AeB8CeD8JeZEJvhFflB0gBFjBz?mBimBWwB,v115@OhA8AeA8AeA8EeC8AeB8CeD8JeZEJvhFflB0gBenBF?jBzqB6rB,v115@OhA8AeA8AeA8EeC8AeB8CeD8JeZEJvhFWlBzhBFjB8?qBilB3rB
ILTJSOZ,X,O,O,X
ILTJZSO,O,X,X,O
ILTJZOS,O,X,X,X
ILTJOSZ,X,O,O,X
ILTJOZS,O,X,X,X
ILTSJZO,X,O,X,X
ILTSJOZ,X,O,O,X
ILTSZJO,X,O,X,O
ILTSZOJ,X,O,X,O
ILTSOJZ,X,O,O,X
ILTSOZJ,X,O,O,O
ILTZJSO,O,X,X,O
ILTZJOS,O,X,X,X
ILTZSJO,O,X,X,O
ILTZSOJ,O,X,X,O
ILTZOJS,O,X,X,X
ILTZOSJ,O,X,X,X
ILTOJSZ,X,X,O,X
ILTOJZS,O,X,X,X
ILTOSJZ,X,O,O,X
ILTOSZJ,X,O,O,X
ILTOZJS,O,X,X,X
ILTOZSJ,O,X,X,X
ILJTSZO,X,O,X,X
ILJTSOZ,X,O,O,X
ILJTZSO,O,X,X,O
ILJTZOS,O,X,X,X
ILJTOSZ,X,O,O,X
ILJTOZS,O,X,X,X
ILJSTZO,X,O,X,X
ILJSTOZ,X,O,O,X
ILJSZTO,X,O,X,X
ILJSZOT,X,O,X,X
ILJSOTZ,X,O,O,X
ILJSOZT,X,O,O,X
ILJZTSO,O,X,X,O
ILJZTOS,O,X,X,X
ILJZSTO,O,X,X,O
ILJZSOT,O,X,X,O
ILJZOTS,O,X,X,X
ILJZOST,O,X,X,X
ILJOTSZ,X,O,O,X
ILJOTZS,O,X,X,X
ILJOSTZ,X,O,O,X
ILJOSZT,X,O,O,X
ILJOZTS,O,X,X,X
ILJOZST,O,X,X,X
ILSTJZO,X,O,X,X
ILSTJOZ,X,O,O,X
ILSTZJO,X,O,X,O
ILSTZOJ,X,O,X,O
ILSTOJZ,X,O,O,X
ILSTOZJ,X,O,O,O
ILSJTZO,X,O,X,X
ILSJTOZ,X,O,O,X
ILSJZTO,X,O,X,X
ILSJZOT,X,O,X,X
ILSJOTZ,X,O,O,X
ILSJOZT,X,O,O,X
ILSZTJO,X,O,X,O
ILSZTOJ,X,O,X,O
ILSZJTO,X,O,X,O
ILSZJOT,X,O,X,O
ILSZOTJ,X,O,X,O
ILSZOJT,X,X,X,O
ILSOTJZ,X,O,O,X
ILSOTZJ,X,O,O,O
ILSOJTZ,X,O,O,X
ILSOJZT,X,O,O,X
ILSOZTJ,X,O,O,O
ILSOZJT,X,X,O,O
ILZTJSO,O,X,X,O
ILZTJOS,O,X,X,X
ILZTSJO,O,X,X,O
ILZTSOJ,O,X,X,O
ILZTOJS,O,X,X,X
ILZTOSJ,O,X,X,X
ILZJTSO,O,X,X,O
ILZJTOS,O,X,X,X
ILZJSTO,O,X,X,O
ILZJSOT,O,X,X,O
ILZJOTS,O,X,X,X
ILZJOST,O,X,X,X
ILZSTJO,O,X,X,O
ILZSTOJ,O,X,X,O
ILZSJTO,O,X,X,O
ILZSJOT,O,X,X,O
ILZSOTJ,O,X,X,O
ILZSOJT,O,X,X,O
ILZOTJS,O,X,X,X
ILZOTSJ,O,X,X,X
ILZOJTS,O,X,X,X
ILZOJST,O,X,X,X
ILZOSTJ,O,X,X,X
ILZOSJT,O,X,X,X
ILOTJSZ,X,X,O,X
ILOTJZS,O,X,X,X
ILOTSJZ,X,O,O,X
ILOTSZJ,X,O,O,X
ILOTZJS,O,X,X,X
ILOTZSJ,O,X,X,X
ILOJTSZ,X,X,O,X
ILOJTZS,O,X,X,X
ILOJSTZ,X,X,O,X
ILOJSZT,X,X,O,X
ILOJZTS,O,X,X,X
ILOJZST,O,X,X,X
ILOSTJZ,X,O,O,X
ILOSTZJ,X,O,O,X
ILOSJTZ,X,O,O,X
ILOSJZT,X,O,O,X
ILOSZTJ,X,O,O,X
ILOSZJT,X,X,O,X
ILOZTJS,O,X,X,X
ILOZTSJ,O,X,X,X
ILOZJTS,O,X,X,X
ILOZJST,O,X,X,X
ILOZSTJ,O,X,X,X
ILOZSJT,O,X,X,X
IJTLSZO,X,O,X,X
IJTLSOZ,X,O,O,X
IJTLZSO,O,X,X,O
IJTLZOS,O,X,X,X
IJTLOSZ,X,O,O,X
IJTLOZS,O,X,X,X
IJTSLZO,X,O,X,X
IJTSLOZ,X,O,O,X
IJTSZLO,O,O,X,O
IJTSZOL,O,O,O,O
IJTSOLZ,X,O,O,X
IJTSOZL,O,O,O,O
IJTZLSO,O,X,X,O
IJTZLOS,O,X,X,X
IJTZSLO,O,O,X,O
IJTZSOL,O,O,O,O
IJTZOLS,O,X,X,X
IJTZOSL,O,O,O,O
IJTOLSZ,X,O,O,X
IJTOLZS,O,X,X,X
IJTOSLZ,X,O,O,X
IJTOSZL,O,O,O,X
IJTOZLS,O,X,X,X
IJTOZSL,O,O,O,O
IJLTSZO,X,O,X,X
IJLTSOZ,X,O,O,X
IJLTZSO,O,X,X,O
IJLTZOS,O,X,X,X
IJLTOSZ,X,O,O,X
IJLTOZS,O,X,X,X
IJLSTZO,X,O,X,X
IJLSTOZ,X,O,O,X
IJLSZTO,X,O,X,X
IJLSZOT,X,O,X,X
IJLSOTZ,X,O,O,X
IJLSOZT,X,O,O,X
IJLZTSO,O,X,X,O
IJLZTOS,O,X,X,X
IJLZSTO,O,X,X,O
IJLZSOT,O,X,X,O
IJLZOTS,O,X,X,X
IJLZOST,O,X,X,X
IJLOTSZ,X,O,O,X
IJLOTZS,O,X,X,X
IJLOSTZ,X,O,O,X
IJLOSZT,X,O,O,X
IJLOZTS,O,X,X,X
IJLOZST,O,X,X,X
IJSTLZO,X,O,X,X
IJSTLOZ,X,O,O,X
IJSTZLO,O,O,X,O
IJSTZOL,O,O,O,O
IJSTOLZ,X,O,O,X
IJSTOZL,O,O,O,O
IJSLTZO,X,O,X,X
IJSLTOZ,X,O,O,X
IJSLZTO,X,O,X,X
IJSLZOT,X,O,X,X
IJSLOTZ,X,O,O,X
IJSLOZT,X,O,O,X
IJSZTLO,O,O,X,O
IJSZTOL,O,O,O,O
IJSZLTO,O,O,X,O
IJSZLOT,O,O,X,O
IJSZOTL,O,O,O,O
IJSZOLT,O,O,O,O
IJSOTLZ,X,O,O,X
IJSOTZL,O,O,O,O
IJSOLTZ,X,O,O,X
IJSOLZT,X,O,O,X
IJSOZTL,O,O,O,O
IJSOZLT,O,O,O,O
IJZTLSO,O,X,X,O
IJZTLOS,O,X,X,X
IJZTSLO,O,O,X,O
IJZTSOL,O,O,O,O
IJZTOLS,O,X,X,X
IJZTOSL,O,O,O,O
IJZLTSO,O,X,X,O
IJZLTOS,O,X,X,X
IJZLSTO,O,X,X,O
IJZLSOT,O,X,X,O
IJZLOTS,O,X,X,X
IJZLOST,O,X,X,X
IJZSTLO,O,O,X,O
IJZSTOL,O,O,O,O
IJZSLTO,O,O,X,O
IJZSLOT,O,O,X,O
IJZSOTL,O,O,O,O
IJZSOLT,O,O,O,O
IJZOTLS,O,X,X,X
IJZOTSL,O,O,O,O
IJZOLTS,O,X,X,X
IJZOLST,O,X,X,X
IJZOSTL,O,O,O,O
IJZOSLT,O,O,O,O
IJOTLSZ,X,O,O,X
IJOTLZS,O,X,X,X
IJOTSLZ,X,O,O,X
IJOTSZL,O,O,O,X
IJOTZLS,O,X,X,X
IJOTZSL,O,O,O,O
IJOLTSZ,X,O,O,X
IJOLTZS,O,X,X,X
IJOLSTZ,X,O,O,X
IJOLSZT,X,O,O,X
IJOLZTS,O,X,X,X
IJOLZST,O,X,X,X
IJOSTLZ,X,O,O,X
IJOSTZL,O,O,O,X
IJOSLTZ,X,O,O,X
IJOSLZT,X,O,O,X
IJOSZTL,O,O,O,X
IJOSZLT,O,O,O,X
IJOZTLS,O,X,X,X
IJOZTSL,O,O,O,O
IJOZLTS,O,X,X,X
IJOZLST,O,X,X,X
IJOZSTL,O,O,O,O
IJOZSLT,O,O,O,O
ISTLJZO,X,O,X,X
ISTLJOZ,X,O,O,X
ISTLZJO,X,O,X,O
ISTLZOJ,X,O,X,O
ISTLOJZ,X,O,O,X
ISTLOZJ,X,O,O,O
ISTJLZO,X,O,X,X
ISTJLOZ,X,O,O,X
ISTJZLO,O,O,X,O
ISTJZOL,O,O,O,O
ISTJOLZ,X,O,O,X
ISTJOZL,O,O,O,O
ISTZLJO,O,O,X,O
ISTZLOJ,O,O,X,O
ISTZJLO,O,O,X,O
ISTZJOL,O,O,O,O
ISTZOLJ,O,O,O,O
ISTZOJL,O,O,O,O
ISTOLJZ,X,O,O,X
ISTOLZJ,X,O,O,O
ISTOJLZ,X,O,O,X
ISTOJZL,O,O,O,O
ISTOZLJ,O,O,O,O
ISTOZJL,O,O,O,O
ISLTJZO,X,O,X,X
ISLTJOZ,X,O,O,X
ISLTZJO,X,O,X,O
ISLTZOJ,X,O,X,O
ISLTOJZ,X,O,O,X
ISLTOZJ,X,O,O,O
ISLJTZO,X,O,X,X
ISLJTOZ,X,O,O,X
ISLJZTO,X,O,X,X
ISLJZOT,X,O,X,X
ISLJOTZ,X,O,O,X
ISLJOZT,X,O,O,X
ISLZTJO,X,O,X,O
ISLZTOJ,X,O,X,O
ISLZJTO,X,O,X,O
ISLZJOT,X,O,X,O
ISLZOTJ,X,O,X,O
ISLZOJT,X,X,X,O
ISLOTJZ,X,O,O,X
ISLOTZJ,X,O,O,O
ISLOJTZ,X,O,O,X
ISLOJZT,X,O,O,X
ISLOZTJ,X,O,O,O
ISLOZJT,X,X,O,O
ISJTLZO,X,O,X,X
ISJTLOZ,X,O,O,X
ISJTZLO,O,O,X,O
ISJTZOL,O,O,O,O
ISJTOLZ,X,O,O,X
ISJTOZL,O,O,O,O
ISJLTZO,X,O,X,X
ISJLTOZ,X,O,O,X
ISJLZTO,X,O,X,X
ISJLZOT,X,O,X,X
ISJLOTZ,X,O,O,X
ISJLOZT,X,O,O,X
ISJZTLO,O,O,X,O
ISJZTOL,O,O,O,O
ISJZLTO,O,O,X,O
ISJZLOT,O,O,X,O
ISJZOTL,O,O,O,O
ISJZOLT,O,O,O,O
ISJOTLZ,X,O,O,X
ISJOTZL,O,O,O,O
ISJOLTZ,X,O,O,X
ISJOLZT,X,O,O,X
ISJOZTL,O,O,O,O
ISJOZLT,O,O,O,O
ISZTLJO,O,O,X,O
ISZTLOJ,O,O,X,O
ISZTJLO,O,O,X,O
ISZTJOL,O,O,O,O
ISZTOLJ,O,O,O,O
ISZTOJL,O,O,O,O
ISZLTJO,O,O,X,O
ISZLTOJ,O,O,X,O
ISZLJTO,O,O,X,O
ISZLJOT,O,O,X,O
ISZLOTJ,O,O,X,O
ISZLOJT,O,X,X,O
ISZJTLO,O,O,X,O
ISZJTOL,O,O,O,O
ISZJLTO,O,O,X,O
ISZJLOT,O,O,X,O
ISZJOTL,O,O,O,O
ISZJOLT,O,O,O,O
ISZOTLJ,O,O,O,O
ISZOTJL,O,O,O,O
ISZOLTJ,O,O,O,O
ISZOLJT,O,X,O,O
ISZOJTL,O,O,O,O
ISZOJLT,O,O,O,O
ISOTLJZ,X,O,O,X
ISOTLZJ,X,O,O,O
ISOTJLZ,X,O,O,X
ISOTJZL,O,O,O,O
ISOTZLJ,O,O,O,O
ISOTZJL,O,O,O,O
ISOLTJZ,X,O,O,X
ISOLTZJ,X,O,O,O
ISOLJTZ,X,O,O,X
ISOLJZT,X,O,O,X
ISOLZTJ,X,O,O,O
ISOLZJT,X,X,O,O
ISOJTLZ,X,O,O,X
ISOJTZL,O,O,O,O
ISOJLTZ,X,O,O,X
ISOJLZT,X,O,O,X
ISOJZTL,O,O,O,O
ISOJZLT,O,O,O,O
ISOZTLJ,O,O,O,O
ISOZTJL,O,O,O,O
ISOZLTJ,O,O,O,O
ISOZLJT,O,X,O,O
ISOZJTL,O,O,O,O
ISOZJLT,O,O,O,O
IZTLJSO,O,X,X,O
IZTLJOS,O,X,X,X
IZTLSJO,O,X,X,O
IZTLSOJ,O,X,X,O
IZTLOJS,O,X,X,X
IZTLOSJ,O,X,X,X
IZTJLSO,O,X,X,O
IZTJLOS,O,X,X,X
IZTJSLO,O,O,X,O
IZTJSOL,O,O,O,O
IZTJOLS,O,X,X,X
IZTJOSL,O,O,O,O
IZTSLJO,O,O,X,O
IZTSLOJ,O,O,X,O
IZTSJLO,O,O,X,O
IZTSJOL,O,O,O,O
IZTSOLJ,O,O,O,O
IZTSOJL,O,O,O,O
IZTOLJS,O,X,X,X
IZTOLSJ,O,X,X,X
IZTOJLS,O,X,X,X
IZTOJSL,O,X,O,O
IZTOSLJ,O,O,O,O
IZTOSJL,O,O,O,O
IZLTJSO,O,X,X,O
IZLTJOS,O,X,X,X
IZLTSJO,O,X,X,O
IZLTSOJ,O,X,X,O
IZLTOJS,O,X,X,X
IZLTOSJ,O,X,X,X
IZLJTSO,O,X,X,O
IZLJTOS,O,X,X,X
IZLJSTO,O,X,X,O
IZLJSOT,O,X,X,O
IZLJOTS,O,X,X,X
IZLJOST,O,X,X,X
IZLSTJO,O,X,X,O
IZLSTOJ,O,X,X,O
IZLSJTO,O,X,X,O
IZLSJOT,O,X,X,O
IZLSOTJ,O,X,X,O
IZLSOJT,O,X,X,O
IZLOTJS,O,X,X,X
IZLOTSJ,O,X,X,X
IZLOJTS,O,X,X,X
IZLOJST,O,X,X,X
IZLOSTJ,O,X,X,X
IZLOSJT,O,X,X,X
IZJTLSO,O,X,X,O
IZJTLOS,O,X,X,X
IZJTSLO,O,O,X,O
IZJTSOL,O,O,O,O
IZJTOLS,O,X,X,X
IZJTOSL,O,O,O,O
IZJLTSO,O,X,X,O
IZJLTOS,O,X,X,X
IZJLSTO,O,X,X,O
IZJLSOT,O,X,X,O
IZJLOTS,O,X,X,X
IZJLOST,O,X,X,X
IZJSTLO,O,O,X,O
IZJSTOL,O,O,O,O
IZJSLTO,O,O,X,O
IZJSLOT,O,O,X,O
IZJSOTL,O,O,O,O
IZJSOLT,O,O,O,O
IZJOTLS,O,X,X,X
IZJOTSL,O,O,O,O
IZJOLTS,O,X,X,X
IZJOLST,O,X,X,X
IZJOSTL,O,O,O,O
IZJOSLT,O,O,O,O
IZSTLJO,O,O,X,O
IZSTLOJ,O,O,X,O
IZSTJLO,O,O,X,O
IZSTJOL,O,O,O,O
IZSTOLJ,O,O,O,O
IZSTOJL,O,O,O,O
IZSLTJO,O,O,X,O
IZSLTOJ,O,O,X,O
IZSLJTO,O,O,X,O
IZSLJOT,O,O,X,O
IZSLOTJ,O,O,X,O
IZSLOJT,O,X,X,O
IZSJTLO,O,O,X,O
IZSJTOL,O,O,O,O
IZSJLTO,O,O,X,O
IZSJLOT,O,O,X,O
IZSJOTL,O,O,O,O
IZSJOLT,O,O,O,O
IZSOTLJ,O,O,O,O
IZSOTJL,O,O,O,O
IZSOLTJ,O,O,O,O
IZSOLJT,O,X,O,O
IZSOJTL,O,O,O,O
IZSOJLT,O,O,O,O
IZOTLJS,O,X,X,X
IZOTLSJ,O,X,X,X
IZOTJLS,O,X,X,X
IZOTJSL,O,X,O,O
IZOTSLJ,O,O,O,O
IZOTSJL,O,O,O,O
IZOLTJS,O,X,X,X
IZOLTSJ,O,X,X,X
IZOLJTS,O,X,X,X
IZOLJST,O,X,X,X
IZOLSTJ,O,X,X,X
IZOLSJT,O,X,X,X
IZOJTLS,O,X,X,X
IZOJTSL,O,X,O,O
IZOJLTS,O,X,X,X
IZOJLST,O,X,X,X
IZOJSTL,O,X,O,O
IZOJSLT,O,X,O,O
IZOSTLJ,O,O,O,O
IZOSTJL,O,O,O,O
IZOSLTJ,O,O,O,O
IZOSLJT,O,X,O,O
IZOSJTL,O,O,O,O
IZOSJLT,O,O,O,O
IOTLJSZ,X,X,O,X
IOTLJZS,O,X,X,X
IOTLSJZ,X,O,O,X
IOTLSZJ,X,O,O,X
IOTLZJS,O,X,X,X
IOTLZSJ,O,X,X,X
IOTJLSZ,X,O,O,X
IOTJLZS,O,X,X,X
IOTJSLZ,X,O,O,X
IOTJSZL,O,O,O,X
IOTJZLS,O,X,X,X
IOTJZSL,O,O,O,O
IOTSLJZ,X,O,O,X
IOTSLZJ,X,O,O,O
IOTSJLZ,X,O,O,X
IOTSJZL,O,O,O,O
IOTSZLJ,O,O,O,O
IOTSZJL,O,O,O,O
IOTZLJS,O,X,X,X
IOTZLSJ,O,X,X,X
IOTZJLS,O,X,X,X
IOTZJSL,O,X,O,O
IOTZSLJ,O,O,O,O
IOTZSJL,O,O,O,O
IOLTJSZ,X,X,O,X
IOLTJZS,O,X,X,X
IOLTSJZ,X,O,O,X
IOLTSZJ,X,O,O,X
IOLTZJS,O,X,X,X
IOLTZSJ,O,X,X,X
IOLJTSZ,X,X,O,X
IOLJTZS,O,X,X,X
IOLJSTZ,X,X,O,X
IOLJSZT,X,X,O,X
IOLJZTS,O,X,X,X
IOLJZST,O,X,X,X
IOLSTJZ,X,O,O,X
IOLSTZJ,X,O,O,X
IOLSJTZ,X,O,O,X
IOLSJZT,X,O,O,X
IOLSZTJ,X,O,O,X
IOLSZJT,X,X,O,X
IOLZTJS,O,X,X,X
IOLZTSJ,O,X,X,X
IOLZJTS,O,X,X,X
IOLZJST,O,X,X,X
IOLZSTJ,O,X,X,X
IOLZSJT,O,X,X,X
IOJTLSZ,X,O,O,X
IOJTLZS,O,X,X,X
IOJTSLZ,X,O,O,X
IOJTSZL,O,O,O,X
IOJTZLS,O,X,X,X
IOJTZSL,O,O,O,O
IOJLTSZ,X,O,O,X
IOJLTZS,O,X,X,X
IOJLSTZ,X,O,O,X
IOJLSZT,X,O,O,X
IOJLZTS,O,X,X,X
IOJLZST,O,X,X,X
IOJSTLZ,X,O,O,X
IOJSTZL,O,O,O,X
IOJSLTZ,X,O,O,X
IOJSLZT,X,O,O,X
IOJSZTL,O,O,O,X
IOJSZLT,O,O,O,X
IOJZTLS,O,X,X,X
IOJZTSL,O,O,O,O
IOJZLTS,O,X,X,X
IOJZLST,O,X,X,X
IOJZSTL,O,O,O,O
IOJZSLT,O,O,O,O
IOSTLJZ,X,O,O,X
IOSTLZJ,X,O,O,O
IOSTJLZ,X,O,O,X
IOSTJZL,O,O,O,O
IOSTZLJ,O,O,O,O
IOSTZJL,O,O,O,O
IOSLTJZ,X,O,O,X
IOSLTZJ,X,O,O,O
IOSLJTZ,X,O,O,X
IOSLJZT,X,O,O,X
IOSLZTJ,X,O,O,O
IOSLZJT,X,X,O,O
IOSJTLZ,X,O,O,X
IOSJTZL,O,O,O,O
IOSJLTZ,X,O,O,X
IOSJLZT,X,O,O,X
IOSJZTL,O,O,O,O
IOSJZLT,O,O,O,O
IOSZTLJ,O,O,O,O
IOSZTJL,O,O,O,O
IOSZLTJ,O,O,O,O
IOSZLJT,O,X,O,O
IOSZJTL,O,O,O,O
IOSZJLT,O,O,O,O
IOZTLJS,O,X,X,X
IOZTLSJ,O,X,X,X
IOZTJLS,O,X,X,X
IOZTJSL,O,X,O,O
IOZTSLJ,O,O,O,O
IOZTSJL,O,O,O,O
IOZLTJS,O,X,X,X
IOZLTSJ,O,X,X,X
IOZLJTS,O,X,X,X
IOZLJST,O,X,X,X
IOZLSTJ,O,X,X,X
IOZLSJT,O,X,X,X
IOZJTLS,O,X,X,X
IOZJTSL,O,X,O,O
IOZJLTS,O,X,X,X
IOZJLST,O,X,X,X
IOZJSTL,O,X,O,O
IOZJSLT,O,X,O,O
IOZSTLJ,O,O,O,O
IOZSTJL,O,O,O,O
IOZSLTJ,O,O,O,O
IOZSLJT,O,X,O,O
IOZSJTL,O,O,O,O
IOZSJLT,O,O,O,O
LTIJSZO,X,O,X,X
LTIJSOZ,X,O,O,X
LTIJZSO,O,X,X,O
LTIJZOS,O,X,X,X
LTIJOSZ,X,O,O,X
LTIJOZS,O,X,X,X
LTISJZO,X,O,X,X
LTISJOZ,X,O,O,X
LTISZJO,X,O,X,O
LTISZOJ,X,O,X,O
LTISOJZ,X,O,O,X
LTISOZJ,X,O,O,O
LTIZJSO,O,X,X,O
LTIZJOS,O,X,X,X
LTIZSJO,O,X,X,O
LTIZSOJ,O,X,X,O
LTIZOJS,O,X,X,X
LTIZOSJ,O,X,X,X
LTIOJSZ,X,X,O,X
LTIOJZS,O,X,X,X
LTIOSJZ,X,O,O,X
LTIOSZJ,X,O,O,X
LTIOZJS,O,X,X,X
LTIOZSJ,O,X,X,X
LTJISZO,X,O,X,X
LTJISOZ,X,O,O,X
LTJIZSO,O,X,X,O
LTJIZOS,O,X,X,X
LTJIOSZ,X,O,O,X
LTJIOZS,O,X,X,X
LTJSIZO,X,O,X,X
LTJSIOZ,X,O,O,X
LTJSZIO,X,O,X,X
LTJSZOI,X,O,X,X
LTJSOIZ,X,O,O,X
LTJSOZI,X,O,O,X
LTJZISO,O,X,X,O
LTJZIOS,O,X,X,X
LTJZSIO,O,X,X,O
LTJZSOI,O,X,X,O
LTJZOIS,O,X,X,X
LTJZOSI,O,X,X,X
LTJOISZ,X,O,O,X
LTJOIZS,O,X,X,X
LTJOSIZ,X,O,O,X
LTJOSZI,X,O,O,X
LTJOZIS,O,X,X,X
LTJOZSI,O,X,X,X
LTSIJZO,X,O,X,X
LTSIJOZ,X,O,O,X
LTSIZJO,X,O,X,O
LTSIZOJ,X,O,X,O
LTSIOJZ,X,O,O,X
LTSIOZJ,X,O,O,O
LTSJIZO,X,O,X,X
LTSJIOZ,X,O,O,X
LTSJZIO,X,O,X,X
LTSJZOI,X,O,X,X
LTSJOIZ,X,O,O,X
LTSJOZI,X,O,O,X
LTSZIJO,X,O,X,O
LTSZIOJ,X,O,X,O
LTSZJIO,X,O,X,O
LTSZJOI,X,O,X,O
LTSZOIJ,X,O,X,O
LTSZOJI,X,X,X,O
LTSOIJZ,X,O,O,X
LTSOIZJ,X,O,O,O
LTSOJIZ,X,O,O,X
LTSOJZI,X,O,O,X
LTSOZIJ,X,O,O,O
LTSOZJI,X,X,O,O
LTZIJSO,O,X,X,O
LTZIJOS,O,X,X,X
LTZISJO,O,X,X,O
LTZISOJ,O,X,X,O
LTZIOJS,O,X,X,X
LTZIOSJ,O,X,X,X
LTZJISO,O,X,X,O
LTZJIOS,O,X,X,X
LTZJSIO,O,X,X,O
LTZJSOI,O,X,X,O
LTZJOIS,O,X,X,X
LTZJOSI,O,X,X,X
LTZSIJO,O,X,X,O
LTZSIOJ,O,X,X,O
LTZSJIO,O,X,X,O
LTZSJOI,O,X,X,O
LTZSOIJ,O,X,X,O
LTZSOJI,O,X,X,O
LTZOIJS,O,X,X,X
LTZOISJ,O,X,X,X
LTZOJIS,O,X,X,X
LTZOJSI,O,X,X,X
LTZOSIJ,O,X,X,X
LTZOSJI,O,X,X,X
LTOIJSZ,X,X,O,X
LTOIJZS,O,X,X,X
LTOISJZ,X,O,O,X
LTOISZJ,X,O,O,X
LTOIZJS,O,X,X,X
LTOIZSJ,O,X,X,X
LTOJISZ,X,X,O,X
LTOJIZS,O,X,X,X
LTOJSIZ,X,X,O,X
LTOJSZI,X,X,O,X
LTOJZIS,O,X,X,X
LTOJZSI,O,X,X,X
LTOSIJZ,X,O,O,X
LTOSIZJ,X,O,O,X
LTOSJIZ,X,O,O,X
LTOSJZI,X,O,O,X
LTOSZIJ,X,O,O,X
LTOSZJI,X,X,O,X
LTOZIJS,O,X,X,X
LTOZISJ,O,X,X,X
LTOZJIS,O,X,X,X
LTOZJSI,O,X,X,X
LTOZSIJ,O,X,X,X
LTOZSJI,O,X,X,X
LITJSZO,X,O,X,X
LITJSOZ,X,O,O,X
LITJZSO,O,X,X,O
LITJZOS,O,X,X,X
LITJOSZ,X,O,O,X
LITJOZS,O,X,X,X
LITSJZO,X,O,X,X
LITSJOZ,X,O,O,X
LITSZJO,X,O,X,O
LITSZOJ,X,O,X,O
LITSOJZ,X,O,O,X
LITSOZJ,X,O,O,O
LITZJSO,O,X,X,O
LITZJOS,O,X,X,X
LITZSJO,O,X,X,O
LITZSOJ,O,X,X,O
LITZOJS,O,X,X,X
LITZOSJ,O,X,X,X
LITOJSZ,X,X,O,X
LITOJZS,O,X,X,X
LITOSJZ,X,O,O,X
LITOSZJ,X,O,O,X
LITOZJS,O,X,X,X
LITOZSJ,O,X,X,X
LIJTSZO,X,O,X,X
LIJTSOZ,X,O,O,X
LIJTZSO,O,X,X,O
LIJTZOS,O,X,X,X
LIJTOSZ,X,O,O,X
LIJTOZS,O,X,X,X
LIJSTZO,X,O,X,X
LIJSTOZ,X,O,O,X
LIJSZTO,X,O,X,X
LIJSZOT,X,O,X,X
LIJSOTZ,X,O,O,X
LIJSOZT,X,O,O,X
LIJZTSO,O,X,X,O
LIJZTOS,O,X,X,X
LIJZSTO,O,X,X,O
LIJZSOT,O,X,X,O
LIJZOTS,O,X,X,X
LIJZOST,O,X,X,X
LIJOTSZ,X,O,O,X
LIJOTZS,O,X,X,X
LIJOSTZ,X,O,O,X
LIJOSZT,X,O,O,X
LIJOZTS,O,X,X,X
LIJOZST,O,X,X,X
LISTJZO,X,O,X,X
LISTJOZ,X,O,O,X
LISTZJO,X,O,X,O
LISTZOJ,X,O,X,O
LISTOJZ,X,O,O,X
LISTOZJ,X,O,O,O
LISJTZO,X,O,X,X
LISJTOZ,X,O,O,X
LISJZTO,X,O,X,X
LISJZOT,X,O,X,X
LISJOTZ,X,O,O,X
LISJOZT,X,O,O,X
LISZTJO,X,O,X,O
LISZTOJ,X,O,X,O
LISZJTO,X,O,X,O
LISZJOT,X,O,X,O
LISZOTJ,X,O,X,O
LISZOJT,X,X,X,O
LISOTJZ,X,O,O,X
LISOTZJ,X,O,O,O
LISOJTZ,X,O,O,X
LISOJZT,X,O,O,X
LISOZTJ,X,O,O,O
LISOZJT,X,X,O,O
LIZTJSO,O,X,X,O
LIZTJOS,O,X,X,X
LIZTSJO,O,X,X,O
LIZTSOJ,O,X,X,O
LIZTOJS,O,X,X,X
LIZTOSJ,O,X,X,X
LIZJTSO,O,X,X,O
LIZJTOS,O,X,X,X
LIZJSTO,O,X,X,O
LIZJSOT,O,X,X,O
LIZJOTS,O,X,X,X
LIZJOST,O,X,X,X
LIZSTJO,O,X,X,O
LIZSTOJ,O,X,X,O
LIZSJTO,O,X,X,O
LIZSJOT,O,X,X,O
LIZSOTJ,O,X,X,O
LIZSOJT,O,X,X,O
LIZOTJS,O,X,X,X
LIZOTSJ,O,X,X,X
LIZOJTS,O,X,X,X
LIZOJST,O,X,X,X
LIZOSTJ,O,X,X,X
LIZOSJT,O,X,X,X
LIOTJSZ,X,X,O,X
LIOTJZS,O,X,X,X
LIOTSJZ,X,O,O,X
LIOTSZJ,X,O,O,X
LIOTZJS,O,X,X,X
LIOTZSJ,O,X,X,X
LIOJTSZ,X,X,O,X
LIOJTZS,O,X,X,X
LIOJSTZ,X,X,O,X
LIOJSZT,X,X,O,X
LIOJZTS,O,X,X,X
LIOJZST,O,X,X,X
LIOSTJZ,X,O,O,X
LIOSTZJ,X,O,O,X
LIOSJTZ,X,O,O,X
LIOSJZT,X,O,O,X
LIOSZTJ,X,O,O,X
LIOSZJT,X,X,O,X
LIOZTJS,O,X,X,X
LIOZTSJ,O,X,X,X
LIOZJTS,O,X,X,X
LIOZJST,O,X,X,X
LIOZSTJ,O,X,X,X
LIOZSJT,O,X,X,X
LJTISZO,X,O,X,X
LJTISOZ,X,O,O,X
LJTIZSO,O,X,X,O
LJTIZOS,O,X,X,X
LJTIOSZ,X,O,O,X
LJTIOZS,O,X,X,X
LJTSIZO,X,O,X,X
LJTSIOZ,X,O,O,X
LJTSZIO,X,O,X,X
LJTSZOI,X,O,X,X
