sequence,v115@HhA8IeC8GeE8AeC8Ke0/IvhFlgB3hBaoB5oBTnBGrB,v115@HhA8IeC8GeE8AeC8Ke0/IvhF6lBlhBziB5oB/rB2xB,v115@HhA8IeC8GeE8AeC8Ke0/IvhFxgB/nBCmBToBlrBGtB
OSZTLIJ,O,O,O
OSZTLJI,O,O,O
OSZTJIL,O,O,X
OSZTJLI,O,O,O
OSZITLJ,O,O,O
OSZITJL,O,O,X
OSZILTJ,O,O,O
OSZILJT,O,O,X
OSZIJTL,O,O,X
OSZIJLT,O,O,X
OSZLTIJ,O,O,O
OSZLTJI,O,O,O
OSZLITJ,O,O,O
OSZLIJT,O,O,X
OSZLJTI,O,O,O
OSZLJIT,O,O,X
OSZJTIL,O,O,X
OSZJTLI,O,O,O
OSZJITL,O,O,X
OSZJILT,O,O,X
OSZJLTI,O,O,O
OSZJLIT,O,O,X
OZTILJS,O,X,O
OZTILSJ,O,X,O
OZTIJLS,O,X,O
OZTIJSL,O,X,X
OZTISLJ,O,X,O
OZTISJL,O,X,X
OZTLIJS,O,X,O
OZTLISJ,O,X,O
OZTLJIS,O,X,O
OZTLJSI,O,X,O
OZTLSIJ,O,X,O
OZTLSJI,O,X,O
OZTJILS,O,X,O
OZTJISL,O,X,X
OZTJLIS,O,X,O
OZTJLSI,O,X,O
OZTJSIL,O,X,X
OZTJSLI,O,X,O
OZTSILJ,O,X,O
OZTSIJL,O,X,X
OZTSLIJ,O,X,O
OZTSLJI,O,X,O
OZTSJIL,O,X,X
OZTSJLI,O,X,O
OZITLJS,O,X,O
OZITLSJ,O,X,O
OZITJLS,O,X,O
OZITJSL,O,X,X
OZITSLJ,O,X,O
OZITSJL,O,X,X
OZILTJS,O,X,O
OZILTSJ,O,X,O
OZILJTS,O,O,O
OZILJST,O,O,X
OZILSTJ,O,O,O
OZILSJT,O,O,X
OZIJTLS,O,O,O
OZIJTSL,O,O,X
OZIJLTS,O,O,O
OZIJLST,O,O,X
OZIJSTL,O,O,X
OZIJSLT,O,O,X
OZISTLJ,O,O,O
OZISTJL,O,O,X
OZISLTJ,O,O,O
OZISLJT,O,O,X
OZISJTL,O,O,X
OZISJLT,O,O,X
OZLTIJS,O,X,O
OZLTISJ,O,X,O
OZLTJIS,O,X,O
OZLTJSI,O,X,O
OZLTSIJ,O,X,O
OZLTSJI,O,X,O
OZLITJS,O,X,O
OZLITSJ,O,X,O
OZLIJTS,O,O,O
OZLIJST,O,O,X
OZLISTJ,O,O,O
OZLISJT,O,O,X
OZLJTIS,O,O,O
OZLJTSI,O,O,O
OZLJITS,O,O,O
OZLJIST,O,O,X
OZLJSTI,O,O,O
OZLJSIT,O,O,X
OZLSTIJ,O,O,O
OZLSTJI,O,O,O
OZLSITJ,O,O,O
OZLSIJT,O,O,X
OZLSJTI,O,O,O
OZLSJIT,O,O,X
OZJTILS,O,O,O
OZJTISL,O,O,X
OZJTLIS,O,O,O
OZJTLSI,O,O,O
OZJTSIL,O,O,X
OZJTSLI,O,O,O
OZJITLS,O,O,O
OZJITSL,O,O,X
OZJILTS,O,O,O
OZJILST,O,O,X
OZJISTL,O,O,X
OZJISLT,O,O,X
OZJLTIS,O,O,O
OZJLTSI,O,O,O
OZJLITS,O,O,O
OZJLIST,O,O,X
OZJLSTI,O,O,O
OZJLSIT,O,O,X
OZJSTIL,O,O,X
OZJSTLI,O,O,O
OZJSITL,O,O,X
OZJSILT,O,O,X
OZJSLTI,O,O,O
OZJSLIT,O,O,X
OZSTILJ,O,O,O
OZSTIJL,O,O,X
OZSTLIJ,O,O,O
OZSTLJI,O,O,O
OZSTJIL,O,O,X
OZSTJLI,O,O,O
OZSITLJ,O,O,O
OZSITJL,O,O,X
OZSILTJ,O,O,O
OZSILJT,O,O,X
OZSIJTL,O,O,X
OZSIJLT,O,O,X
OZSLTIJ,O,O,O
OZSLTJI,O,O,O
OZSLITJ,O,O,O
OZSLIJT,O,O,X
OZSLJTI,O,O,O
OZSLJIT,O,O,X
OZSJTIL,O,O,X
OZSJTLI,O,O,O
OZSJITL,O,O,X
OZSJILT,O,O,X
OZSJLTI,O,O,O
OZSJLIT,O,O,X
