sequence,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhFlgBcmBZoB6?sBXnBWwB,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhF6lB/mBRiBm?nBVwB0sB,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhFxgBqqB/rBF?nB8sBmsB,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhFVmBGiBZoB/?sB0lBSwB,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhFlgBWnBZoB8?qB6sB3rB
SILJTOZ,O,X,X,O,X
SILJZTO,O,X,O,O,O
SILJZOT,O,X,O,O,O
SILJOTZ,O,X,X,O,X
SILJOZT,O,X,O,O,O
SILZTJO,X,X,O,O,O
SILZTOJ,X,X,O,O,O
SILZJTO,X,X,O,O,O
SILZJOT,X,X,O,O,O
SILZOTJ,X,X,O,O,O
SILZOJT,X,X,O,O,O
SILOTJZ,O,X,X,O,X
SILOTZJ,X,X,O,O,X
SILOJTZ,O,X,X,O,X
SILOJZT,O,X,O,O,O
SILOZTJ,X,X,O,O,O
SILOZJT,X,X,O,O,O
SIJTLZO,O,X,X,O,X
SIJTLOZ,O,X,X,O,X
SIJTZLO,O,X,X,X,O
SIJTZOL,O,X,X,X,O
SIJTOLZ,O,X,X,O,X
SIJTOZL,O,X,X,X,O
SIJLTZO,O,X,X,O,X
SIJLTOZ,O,X,X,O,X
SIJLZTO,O,X,X,O,O
SIJLZOT,O,X,X,O,O
SIJLOTZ,O,X,X,O,X
SIJLOZT,O,X,X,O,O
SIJZTLO,O,X,X,X,O
SIJZTOL,O,X,X,X,O
SIJZLTO,O,X,X,O,O
SIJZLOT,O,X,X,O,O
SIJZOTL,O,X,X,X,O
SIJZOLT,O,X,X,O,O
SIJOTLZ,O,X,X,O,X
SIJOTZL,O,X,X,X,O
SIJOLTZ,O,X,X,O,X
SIJOLZT,O,X,X,O,O
SIJOZTL,O,X,X,X,O
SIJOZLT,O,X,X,O,O
SIZTLJO,X,X,X,X,O
SIZTLOJ,X,X,X,X,O
SIZTJLO,X,X,X,X,O
SIZTJOL,X,X,X,X,O
SIZTOLJ,X,X,X,X,O
SIZTOJL,X,X,X,X,O
SIZLTJO,X,X,O,O,O
SIZLTOJ,X,X,O,O,O
SIZLJTO,X,X,O,O,O
SIZLJOT,X,X,O,O,O
SIZLOTJ,X,X,O,O,O
SIZLOJT,X,X,O,O,O
SIZJTLO,X,X,X,X,O
SIZJTOL,X,X,X,X,O
SIZJLTO,X,X,X,O,O
SIZJLOT,X,X,X,O,O
SIZJOTL,X,X,X,X,O
SIZJOLT,X,X,X,O,O
SIZOTLJ,X,X,X,X,O
SIZOTJL,X,X,X,X,O
SIZOLTJ,X,X,O,O,O
SIZOLJT,X,X,O,O,O
SIZOJTL,X,X,X,X,O
SIZOJLT,X,X,X,O,O
SIOTLJZ,O,X,X,O,X
SIOTLZJ,X,X,X,O,X
SIOTJLZ,O,X,X,O,X
SIOTJZL,O,X,X,X,O
SIOTZLJ,X,X,X,X,O
SIOTZJL,X,X,X,X,O
SIOLTJZ,O,X,X,O,X
SIOLTZJ,X,X,O,O,X
SIOLJTZ,O,X,X,O,X
SIOLJZT,O,X,O,O,O
SIOLZTJ,X,X,O,O,O
SIOLZJT,X,X,O,O,O
SIOJTLZ,O,X,X,O,X
SIOJTZL,O,X,X,X,O
SIOJLTZ,O,X,X,O,X
SIOJLZT,O,X,X,O,O
SIOJZTL,O,X,X,X,O
SIOJZLT,O,X,X,O,O
SIOZTLJ,X,X,X,X,O
SIOZTJL,X,X,X,X,O
SIOZLTJ,X,X,O,O,O
SIOZLJT,X,X,O,O,O
SIOZJTL,X,X,X,X,O
SIOZJLT,X,X,X,O,O
SLTIJZO,O,X,X,O,X
SLTIJOZ,O,X,X,O,X
SLTIZJO,X,X,O,O,X
SLTIZOJ,X,X,O,O,X
SLTIOJZ,O,X,X,O,X
SLTIOZJ,X,X,O,O,X
SLTJIZO,O,X,X,O,X
SLTJIOZ,O,X,X,O,X
SLTJZIO,O,X,X,O,X
SLTJZOI,O,X,X,O,X
SLTJOIZ,O,X,X,O,X
SLTJOZI,O,X,X,O,X
SLTZIJO,X,X,O,O,X
SLTZIOJ,X,X,O,O,X
SLTZJIO,X,X,O,O,X
SLTZJOI,X,X,O,O,X
SLTZOIJ,X,X,O,O,X
SLTZOJI,X,X,O,O,X
SLTOIJZ,O,X,X,O,X
SLTOIZJ,X,X,O,O,X
SLTOJIZ,O,X,X,O,X
SLTOJZI,O,X,X,O,X
SLTOZIJ,X,X,O,O,X
SLTOZJI,X,X,O,O,X
SLITJZO,O,X,X,O,X
SLITJOZ,O,X,X,O,X
SLITZJO,X,X,O,O,X
SLITZOJ,X,X,O,O,X
SLITOJZ,O,X,X,O,X
SLITOZJ,X,X,O,O,X
SLIJTZO,O,X,X,O,X
SLIJTOZ,O,X,X,O,X
SLIJZTO,O,X,O,O,O
SLIJZOT,O,X,O,O,O
SLIJOTZ,O,X,X,O,X
SLIJOZT,O,X,O,O,O
SLIZTJO,X,X,O,O,O
SLIZTOJ,X,X,O,O,O
SLIZJTO,X,X,O,O,O
SLIZJOT,X,X,O,O,O
SLIZOTJ,X,X,O,O,O
SLIZOJT,X,X,O,O,O
SLIOTJZ,O,X,X,O,X
SLIOTZJ,X,X,O,O,X
SLIOJTZ,O,X,X,O,X
SLIOJZT,O,X,O,O,O
SLIOZTJ,X,X,O,O,O
SLIOZJT,X,X,O,O,O
SLJTIZO,O,X,X,O,X
SLJTIOZ,O,X,X,O,X
SLJTZIO,O,X,X,O,X
SLJTZOI,O,X,X,O,X
SLJTOIZ,O,X,X,O,X
SLJTOZI,O,X,X,O,X
SLJITZO,O,X,X,O,X
SLJITOZ,O,X,X,O,X
SLJIZTO,O,X,O,O,O
SLJIZOT,O,X,O,O,O
SLJIOTZ,O,X,X,O,X
SLJIOZT,O,X,O,O,O
SLJZTIO,O,X,O,O,O
SLJZTOI,O,X,O,O,O
SLJZITO,O,X,O,O,O
SLJZIOT,O,X,O,O,O
SLJZOTI,O,X,O,O,O
SLJZOIT,O,X,O,O,O
SLJOTIZ,O,X,X,O,X
SLJOTZI,O,X,X,O,X
SLJOITZ,O,X,X,O,X
SLJOIZT,O,X,O,O,O
SLJOZTI,O,X,O,O,O
SLJOZIT,O,X,O,O,O
SLZTIJO,X,O,O,O,O
SLZTIOJ,X,O,O,O,O
SLZTJIO,X,O,O,O,O
SLZTJOI,X,O,O,O,O
SLZTOIJ,X,O,O,O,O
SLZTOJI,X,O,O,O,O
SLZITJO,X,X,O,O,O
SLZITOJ,X,X,O,O,O
SLZIJTO,X,X,O,O,O
SLZIJOT,X,X,O,O,O
SLZIOTJ,X,X,O,O,O
SLZIOJT,X,X,O,O,O
SLZJTIO,X,O,O,O,O
SLZJTOI,X,O,O,O,O
SLZJITO,X,X,O,O,O
SLZJIOT,X,X,O,O,O
SLZJOTI,X,O,O,O,O
SLZJOIT,X,X,O,O,O
SLZOTIJ,X,O,O,O,O
SLZOTJI,X,O,O,O,O
SLZOITJ,X,X,O,O,O
SLZOIJT,X,X,O,O,O
SLZOJTI,X,O,O,O,O
SLZOJIT,X,X,O,O,O
SLOTIJZ,O,X,X,O,X
SLOTIZJ,X,X,O,O,X
SLOTJIZ,O,X,X,O,X
SLOTJZI,O,X,X,O,X
SLOTZIJ,X,X,O,O,X
SLOTZJI,X,X,O,O,X
SLOITJZ,O,X,X,O,X
SLOITZJ,X,X,O,O,X
SLOIJTZ,O,X,X,O,X
SLOIJZT,O,X,O,O,O
SLOIZTJ,X,X,O,O,O
SLOIZJT,X,X,O,O,O
SLOJTIZ,O,X,X,O,X
SLOJTZI,O,X,X,O,X
SLOJITZ,O,X,X,O,X
SLOJIZT,O,X,O,O,O
SLOJZTI,O,X,O,O,O
SLOJZIT,O,X,O,O,O
SLOZTIJ,X,O,O,O,O
SLOZTJI,X,O,O,O,O
SLOZITJ,X,X,O,O,O
SLOZIJT,X,X,O,O,O
SLOZJTI,X,O,O,O,O
SLOZJIT,X,X,O,O,O
SJTILZO,O,X,X,O,X
SJTILOZ,O,X,X,O,X
SJTIZLO,O,X,X,X,O
SJTIZOL,O,X,X,X,O
SJTIOLZ,O,X,X,O,X
SJTIOZL,O,X,X,X,O
SJTLIZO,O,X,X,O,X
SJTLIOZ,O,X,X,O,X
SJTLZIO,O,X,X,O,X
SJTLZOI,O,X,X,O,X
SJTLOIZ,O,X,X,O,X
SJTLOZI,O,X,X,O,X
SJTZILO,O,X,X,X,O
SJTZIOL,O,X,X,X,O
SJTZLIO,O,X,X,X,O
SJTZLOI,O,X,X,X,O
SJTZOIL,O,X,X,X,O
SJTZOLI,O,X,X,X,O
SJTOILZ,O,X,X,O,X
SJTOIZL,O,X,X,X,O
SJTOLIZ,O,X,X,O,X
SJTOLZI,O,X,X,O,X
SJTOZIL,O,X,X,X,O
SJTOZLI,O,X,X,X,O
SJITLZO,O,X,X,O,X
SJITLOZ,O,X,X,O,X
SJITZLO,O,X,X,X,O
SJITZOL,O,X,X,X,O
SJITOLZ,O,X,X,O,X
SJITOZL,O,X,X,X,O
SJILTZO,O,X,X,O,X
SJILTOZ,O,X,X,O,X
SJILZTO,O,X,X,O,O
SJILZOT,O,X,X,O,O
SJILOTZ,O,X,X,O,X
SJILOZT,O,X,X,O,O
SJIZTLO,O,X,X,X,O
SJIZTOL,O,X,X,X,O
SJIZLTO,O,X,X,O,O
SJIZLOT,O,X,X,O,O
SJIZOTL,O,X,X,X,O
SJIZOLT,O,X,X,O,O
SJIOTLZ,O,X,X,O,X
SJIOTZL,O,X,X,X,O
SJIOLTZ,O,X,X,O,X
SJIOLZT,O,X,X,O,O
SJIOZTL,O,X,X,X,O
SJIOZLT,O,X,X,O,O
SJLTIZO,O,X,X,O,X
SJLTIOZ,O,X,X,O,X
SJLTZIO,O,X,X,O,X
SJLTZOI,O,X,X,O,X
SJLTOIZ,O,X,X,O,X
SJLTOZI,O,X,X,O,X
SJLITZO,O,X,X,O,X
SJLITOZ,O,X,X,O,X
SJLIZTO,O,X,X,O,O
SJLIZOT,O,X,X,O,O
SJLIOTZ,O,X,X,O,X
SJLIOZT,O,X,X,O,O
SJLZTIO,O,X,X,O,O
SJLZTOI,O,X,X,O,O
SJLZITO,O,X,X,O,O
SJLZIOT,O,X,X,O,O
SJLZOTI,O,X,X,O,O
SJLZOIT,O,X,X,O,O
SJLOTIZ,O,X,X,O,X
SJLOTZI,O,X,X,O,X
SJLOITZ,O,X,X,O,X
SJLOIZT,O,X,X,O,O
SJLOZTI,O,X,X,O,O
SJLOZIT,O,X,X,O,O
SJZTILO,O,X,X,X,O
SJZTIOL,O,X,X,X,O
SJZTLIO,O,X,X,X,O
SJZTLOI,O,X,X,X,O
SJZTOIL,O,X,X,X,O
SJZTOLI,O,X,X,X,O
SJZITLO,O,X,X,X,O
SJZITOL,O,X,X,X,O
SJZILTO,O,X,X,O,O
SJZILOT,O,X,X,O,O
SJZIOTL,O,X,X,X,O
SJZIOLT,O,X,X,O,O
SJZLTIO,O,X,X,O,O
SJZLTOI,O,X,X,O,O
SJZLITO,O,X,X,O,O
SJZLIOT,O,X,X,O,O
SJZLOTI,O,X,X,O,O
SJZLOIT,O,X,X,O,O
SJZOTIL,O,X,X,X,O
SJZOTLI,O,X,X,X,O
SJZOITL,O,X,X,X,O
SJZOILT,O,X,X,O,O
SJZOLTI,O,X,X,O,O
SJZOLIT,O,X,X,O,O
SJOTILZ,O,X,X,O,X
SJOTIZL,O,X,X,X,O
SJOTLIZ,O,X,X,O,X
SJOTLZI,O,X,X,O,X
SJOTZIL,O,X,X,X,O
SJOTZLI,O,X,X,X,O
SJOITLZ,O,X,X,O,X
SJOITZL,O,X,X,X,O
SJOILTZ,O,X,X,O,X
SJOILZT,O,X,X,O,O
SJOIZTL,O,X,X,X,O
SJOIZLT,O,X,X,O,O
SJOLTIZ,O,X,X,O,X
SJOLTZI,O,X,X,O,X
SJOLITZ,O,X,X,O,X
SJOLIZT,O,X,X,O,O
SJOLZTI,O,X,X,O,O
SJOLZIT,O,X,X,O,O
SJOZTIL,O,X,X,X,O
SJOZTLI,O,X,X,X,O
SJOZITL,O,X,X,X,O
SJOZILT,O,X,X,O,O
SJOZLTI,O,X,X,O,O
SJOZLIT,O,X,X,O,O
SZTILJO,X,O,X,X,O
SZTILOJ,X,O,X,X,O
SZTIJLO,X,O,X,X,O
SZTIJOL,X,O,X,X,O
SZTIOLJ,X,O,X,X,O
SZTIOJL,X,O,X,X,O
SZTLIJO,X,O,X,X,O
SZTLIOJ,X,O,X,X,O
SZTLJIO,X,O,X,X,O
SZTLJOI,X,O,X,X,O
SZTLOIJ,X,O,X,X,O
SZTLOJI,X,O,X,X,O
SZTJILO,X,O,X,X,O
SZTJIOL,X,O,X,X,O
SZTJLIO,X,O,X,X,O
SZTJLOI,X,O,X,X,O
SZTJOIL,X,O,X,X,O
SZTJOLI,X,O,X,X,O
SZTOILJ,X,O,X,X,O
SZTOIJL,X,O,X,X,O
SZTOLIJ,X,O,X,X,O
SZTOLJI,X,O,X,X,O
SZTOJIL,X,O,X,X,O
SZTOJLI,X,O,X,X,O
SZITLJO,X,X,X,X,O
SZITLOJ,X,X,X,X,O
SZITJLO,X,X,X,X,O
SZITJOL,X,X,X,X,O
SZITOLJ,X,X,X,X,O
SZITOJL,X,X,X,X,O
SZILTJO,X,X,O,O,O
SZILTOJ,X,X,O,O,O
SZILJTO,X,X,O,O,O
SZILJOT,X,X,O,O,O
SZILOTJ,X,X,O,O,O
SZILOJT,X,X,O,O,O
SZIJTLO,X,X,X,X,O
SZIJTOL,X,X,X,X,O
SZIJLTO,X,X,X,O,O
SZIJLOT,X,X,X,O,O
SZIJOTL,X,X,X,X,O
SZIJOLT,X,X,X,O,O
SZIOTLJ,X,X,X,X,O
SZIOTJL,X,X,X,X,O
SZIOLTJ,X,X,O,O,O
SZIOLJT,X,X,O,O,O
SZIOJTL,X,X,X,X,O
SZIOJLT,X,X,X,O,O
SZLTIJO,X,O,O,O,O
SZLTIOJ,X,O,O,O,O
SZLTJIO,X,O,O,O,O
SZLTJOI,X,O,O,O,O
SZLTOIJ,X,O,O,O,O
SZLTOJI,X,O,O,O,O
SZLITJO,X,X,O,O,O
SZLITOJ,X,X,O,O,O
SZLIJTO,X,X,O,O,O
SZLIJOT,X,X,O,O,O
SZLIOTJ,X,X,O,O,O
SZLIOJT,X,X,O,O,O
SZLJTIO,X,O,O,O,O
SZLJTOI,X,O,O,O,O
SZLJITO,X,X,O,O,O
SZLJIOT,X,X,O,O,O
SZLJOTI,X,O,O,O,O
SZLJOIT,X,X,O,O,O
SZLOTIJ,X,O,O,O,O
SZLOTJI,X,O,O,O,O
SZLOITJ,X,X,O,O,O
SZLOIJT,X,X,O,O,O
SZLOJTI,X,O,O,O,O
SZLOJIT,X,X,O,O,O
SZJTILO,X,O,X,X,O
SZJTIOL,X,O,X,X,O
SZJTLIO,X,O,X,X,O
SZJTLOI,X,O,X,X,O
SZJTOIL,X,O,X,X,O
SZJTOLI,X,O,X,X,O
SZJITLO,X,X,X,X,O
SZJITOL,X,X,X,X,O
SZJILTO,X,X,X,O,O
SZJILOT,X,X,X,O,O
SZJIOTL,X,X,X,X,O
SZJIOLT,X,X,X,O,O
SZJLTIO,X,O,X,O,O
SZJLTOI,X,O,X,O,O
SZJLITO,X,X,X,O,O
SZJLIOT,X,X,X,O,O
SZJLOTI,X,O,X,O,O
SZJLOIT,X,X,X,O,O
SZJOTIL,X,O,X,X,O
SZJOTLI,X,O,X,X,O
SZJOITL,X,X,X,X,O
SZJOILT,X,X,X,O,O
SZJOLTI,X,O,X,O,O
SZJOLIT,X,X,X,O,O
SZOTILJ,X,O,X,X,O
SZOTIJL,X,O,X,X,O
SZOTLIJ,X,O,X,X,O
SZOTLJI,X,O,X,X,O
SZOTJIL,X,O,X,X,O
SZOTJLI,X,O,X,X,O
SZOITLJ,X,X,X,X,O
SZOITJL,X,X,X,X,O
SZOILTJ,X,X,O,O,O
SZOILJT,X,X,O,O,O
SZOIJTL,X,X,X,X,O
SZOIJLT,X,X,X,O,O
SZOLTIJ,X,O,O,O,O
SZOLTJI,X,O,O,O,O
SZOLITJ,X,X,O,O,O
SZOLIJT,X,X,O,O,O
SZOLJTI,X,O,O,O,O
SZOLJIT,X,X,O,O,O
SZOJTIL,X,O,X,X,O
SZOJTLI,X,O,X,X,O
SZOJITL,X,X,X,X,O
SZOJILT,X,X,X,O,O
SZOJLTI,X,O,X,O,O
SZOJLIT,X,X,X,O,O
SOTILJZ,O,O,X,O,X
SOTILZJ,X,O,X,O,X
SOTIJLZ,O,O,X,O,X
SOTIJZL,O,X,X,X,O
SOTIZLJ,X,O,X,X,O
SOTIZJL,X,O,X,X,O
SOTLIJZ,O,O,X,O,X
SOTLIZJ,X,O,X,O,X
SOTLJIZ,O,O,X,O,X
SOTLJZI,O,O,X,O,X
SOTLZIJ,X,O,X,O,X
SOTLZJI,X,O,X,O,X
SOTJILZ,O,O,X,O,X
SOTJIZL,O,X,X,X,O
SOTJLIZ,O,O,X,O,X
SOTJLZI,O,O,X,O,X
SOTJZIL,O,O,X,X,O
SOTJZLI,O,O,X,X,O
SOTZILJ,X,O,X,X,O
SOTZIJL,X,O,X,X,O
SOTZLIJ,X,O,X,X,O
SOTZLJI,X,O,X,X,O
SOTZJIL,X,O,X,X,O
SOTZJLI,X,O,X,X,O
SOITLJZ,O,X,X,O,X
SOITLZJ,X,X,X,O,X
SOITJLZ,O,X,X,O,X
SOITJZL,O,X,X,X,O
SOITZLJ,X,X,X,X,O
SOITZJL,X,X,X,X,O
SOILTJZ,O,X,X,O,X
SOILTZJ,X,X,O,O,X
SOILJTZ,O,X,X,O,X
SOILJZT,O,X,O,O,O
SOILZTJ,X,X,O,O,O
SOILZJT,X,X,O,O,O
SOIJTLZ,O,X,X,O,X
SOIJTZL,O,X,X,X,O
SOIJLTZ,O,X,X,O,X
SOIJLZT,O,X,X,O,O
SOIJZTL,O,X,X,X,O
SOIJZLT,O,X,X,O,O
SOIZTLJ,X,X,X,X,O
SOIZTJL,X,X,X,X,O
SOIZLTJ,X,X,O,O,O
SOIZLJT,X,X,O,O,O
SOIZJTL,X,X,X,X,O
SOIZJLT,X,X,X,O,O
SOLTIJZ,O,X,X,O,X
SOLTIZJ,X,X,O,O,X
SOLTJIZ,O,X,X,O,X
SOLTJZI,O,X,X,O,X
SOLTZIJ,X,X,O,O,X
SOLTZJI,X,X,O,O,X
SOLITJZ,O,X,X,O,X
SOLITZJ,X,X,O,O,X
SOLIJTZ,O,X,X,O,X
SOLIJZT,O,X,O,O,O
SOLIZTJ,X,X,O,O,O
SOLIZJT,X,X,O,O,O
SOLJTIZ,O,X,X,O,X
SOLJTZI,O,X,X,O,X
SOLJITZ,O,X,X,O,X
SOLJIZT,O,X,O,O,O
SOLJZTI,O,X,O,O,O
SOLJZIT,O,X,O,O,O
SOLZTIJ,X,O,O,O,O
SOLZTJI,X,O,O,O,O
SOLZITJ,X,X,O,O,O
SOLZIJT,X,X,O,O,O
SOLZJTI,X,O,O,O,O
SOLZJIT,X,X,O,O,O
SOJTILZ,O,X,X,O,X
SOJTIZL,O,X,X,X,O
SOJTLIZ,O,X,X,O,X
SOJTLZI,O,X,X,O,X
SOJTZIL,O,X,X,X,O
SOJTZLI,O,X,X,X,O
SOJITLZ,O,X,X,O,X
SOJITZL,O,X,X,X,O
SOJILTZ,O,X,X,O,X
SOJILZT,O,X,X,O,O
SOJIZTL,O,X,X,X,O
SOJIZLT,O,X,X,O,O
SOJLTIZ,O,X,X,O,X
SOJLTZI,O,X,X,O,X
SOJLITZ,O,X,X,O,X
SOJLIZT,O,X,X,O,O
SOJLZTI,O,X,X,O,O
SOJLZIT,O,X,X,O,O
SOJZTIL,O,X,X,X,O
SOJZTLI,O,X,X,X,O
SOJZITL,O,X,X,X,O
SOJZILT,O,X,X,O,O
SOJZLTI,O,X,X,O,O
SOJZLIT,O,X,X,O,O
SOZTILJ,X,O,X,X,O
SOZTIJL,X,O,X,X,O
SOZTLIJ,X,O,X,X,O
SOZTLJI,X,O,X,X,O
SOZTJIL,X,O,X,X,O
SOZTJLI,X,O,X,X,O
SOZITLJ,X,X,X,X,O
SOZITJL,X,X,X,X,O
SOZILTJ,X,X,O,O,O
SOZILJT,X,X,O,O,O
SOZIJTL,X,X,X,X,O
SOZIJLT,X,X,X,O,O
SOZLTIJ,X,O,O,O,O
SOZLTJI,X,O,O,O,O
SOZLITJ,X,X,O,O,O
SOZLIJT,X,X,O,O,O
SOZLJTI,X,O,O,O,O
SOZLJIT,X,X,O,O,O
SOZJTIL,X,O,X,X,O
SOZJTLI,X,O,X,X,O
SOZJITL,X,X,X,X,O
SOZJILT,X,X,X,O,O
SOZJLTI,X,O,X,O,O
SOZJLIT,X,X,X,O,O
ZTILJSO,O,O,X,X,X
ZTILJOS,O,O,X,X,X
ZTILSJO,X,O,O,X,X
ZTILSOJ,X,O,O,X,X
ZTILOJS,O,O,X,X,X
ZTILOSJ,X,O,O,X,X
ZTIJLSO,O,O,X,X,X
ZTIJLOS,O,O,X,X,X
ZTIJSLO,O,O,X,X,X
ZTIJSOL,O,O,X,X,X
ZTIJOLS,O,O,X,X,X
ZTIJOSL,O,O,X,X,X
ZTISLJO,X,O,X,X,X
ZTISLOJ,X,O,X,X,X
ZTISJLO,X,O,X,X,X
ZTISJOL,X,O,X,X,X
ZTISOLJ,X,O,X,X,X
ZTISOJL,X,O,X,X,X
ZTIOLJS,O,O,X,X,X
ZTIOLSJ,X,O,O,X,X
ZTIOJLS,O,O,X,X,X
ZTIOJSL,O,O,X,X,X
ZTIOSLJ,X,O,X,X,X
ZTIOSJL,X,O,X,X,X
ZTLIJSO,O,O,X,X,X
ZTLIJOS,O,O,X,X,X
ZTLISJO,X,O,O,X,X
ZTLISOJ,X,O,O,X,X
ZTLIOJS,O,O,X,X,X
ZTLIOSJ,X,O,O,X,X
ZTLJISO,O,O,X,X,X
ZTLJIOS,O,O,X,X,X
ZTLJSIO,O,O,X,X,X
ZTLJSOI,O,O,X,X,X
ZTLJOIS,O,O,X,X,X
ZTLJOSI,O,O,X,X,X
ZTLSIJO,X,O,O,X,X
ZTLSIOJ,X,O,O,X,X
ZTLSJIO,X,O,O,X,X
ZTLSJOI,X,O,O,X,X
ZTLSOIJ,X,O,O,X,X
ZTLSOJI,X,O,O,X,X
ZTLOIJS,O,O,X,X,X
ZTLOISJ,X,O,O,X,X
ZTLOJIS,O,O,X,X,X
ZTLOJSI,O,O,X,X,X
ZTLOSIJ,X,O,O,X,X
ZTLOSJI,X,O,O,X,X
ZTJILSO,O,O,X,X,X
ZTJILOS,O,O,X,X,X
ZTJISLO,O,O,X,X,X
ZTJISOL,O,O,X,X,X
ZTJIOLS,O,O,X,X,X
ZTJIOSL,O,O,X,X,X
ZTJLISO,O,O,X,X,X
ZTJLIOS,O,O,X,X,X
ZTJLSIO,O,O,X,X,X
ZTJLSOI,O,O,X,X,X
ZTJLOIS,O,O,X,X,X
ZTJLOSI,O,O,X,X,X
ZTJSILO,O,O,X,X,X
ZTJSIOL,O,O,X,X,X
ZTJSLIO,O,O,X,X,X
ZTJSLOI,O,O,X,X,X
ZTJSOIL,O,O,X,X,X
ZTJSOLI,O,O,X,X,X
ZTJOILS,O,O,X,X,X
ZTJOISL,O,O,X,X,X
ZTJOLIS,O,O,X,X,X
ZTJOLSI,O,O,X,X,X
ZTJOSIL,O,O,X,X,X
ZTJOSLI,O,O,X,X,X
ZTSILJO,X,O,X,X,X
ZTSILOJ,X,O,X,X,X
ZTSIJLO,X,O,X,X,X
ZTSIJOL,X,O,X,X,X
ZTSIOLJ,X,O,X,X,X
ZTSIOJL,X,O,X,X,X
ZTSLIJO,X,O,X,X,X
ZTSLIOJ,X,O,X,X,X
ZTSLJIO,X,O,X,X,X
ZTSLJOI,X,O,X,X,X
ZTSLOIJ,X,O,X,X,X
ZTSLOJI,X,O,X,X,X
ZTSJILO,X,O,X,X,X
ZTSJIOL,X,O,X,X,X
ZTSJLIO,X,O,X,X,X
ZTSJLOI,X,O,X,X,X
ZTSJOIL,X,O,X,X,X
ZTSJOLI,X,O,X,X,X
ZTSOILJ,X,O,X,X,X
ZTSOIJL,X,O,X,X,X
ZTSOLIJ,X,O,X,X,X
ZTSOLJI,X,O,X,X,X
ZTSOJIL,X,O,X,X,X
ZTSOJLI,X,O,X,X,X
ZTOILJS,O,O,X,X,X
ZTOILSJ,X,O,O,X,X
ZTOIJLS,O,O,X,X,X
ZTOIJSL,O,O,X,X,X
ZTOISLJ,X,O,X,X,X
ZTOISJL,X,O,X,X,X
ZTOLIJS,O,O,X,X,X
ZTOLISJ,X,O,O,X,X
ZTOLJIS,O,O,X,X,X
ZTOLJSI,O,O,X,X,X
ZTOLSIJ,X,O,O,X,X
ZTOLSJI,X,O,O,X,X
ZTOJILS,O,O,X,X,X
ZTOJISL,O,O,X,X,X
ZTOJLIS,O,O,X,X,X
ZTOJLSI,O,O,X,X,X
ZTOJSIL,O,O,X,X,X
ZTOJSLI,O,O,X,X,X
ZTOSILJ,X,O,X,X,X
ZTOSIJL,X,O,X,X,X
ZTOSLIJ,X,O,X,X,X
ZTOSLJI,X,O,X,X,X
ZTOSJIL,X,O,X,X,X
ZTOSJLI,X,O,X,X,X
ZITLJSO,O,O,X,X,X
ZITLJOS,O,O,X,X,X
ZITLSJO,X,O,O,X,X
ZITLSOJ,X,O,O,X,X
ZITLOJS,O,O,X,X,X
ZITLOSJ,X,O,O,X,X
ZITJLSO,O,O,X,X,X
ZITJLOS,O,O,X,X,X
ZITJSLO,O,O,X,X,X
ZITJSOL,O,O,X,X,X
ZITJOLS,O,O,X,X,X
ZITJOSL,O,O,X,X,X
ZITSLJO,X,O,X,X,X
ZITSLOJ,X,O,X,X,X
ZITSJLO,X,O,X,X,X
ZITSJOL,X,O,X,X,X
ZITSOLJ,X,O,X,X,X
ZITSOJL,X,O,X,X,X
ZITOLJS,O,O,X,X,X
ZITOLSJ,X,O,O,X,X
ZITOJLS,O,O,X,X,X
ZITOJSL,O,O,X,X,X
ZITOSLJ,X,O,X,X,X
ZITOSJL,X,O,X,X,X
ZILTJSO,O,O,X,X,X
ZILTJOS,O,O,X,X,X
ZILTSJO,X,O,O,O,X
ZILTSOJ,X,O,O,O,X
ZILTOJS,O,O,X,X,X
ZILTOSJ,X,O,O,O,X
ZILJTSO,O,O,X,X,X
ZILJTOS,O,O,X,X,X
ZILJSTO,O,X,O,X,X
ZILJSOT,O,X,O,X,X
ZILJOTS,O,O,X,X,X
ZILJOST,O,X,O,X,X
ZILSTJO,X,X,O,O,X
ZILSTOJ,X,X,O,O,X
ZILSJTO,X,X,O,O,X
ZILSJOT,X,X,O,O,X
ZILSOTJ,X,X,O,O,X
ZILSOJT,X,X,O,O,X
ZILOTJS,O,O,X,X,X
ZILOTSJ,X,O,O,O,X
ZILOJTS,O,O,X,X,X
ZILOJST,O,X,O,X,X
ZILOSTJ,X,X,O,O,X
ZILOSJT,X,X,O,O,X
ZIJTLSO,O,O,X,X,X
ZIJTLOS,O,O,X,X,X
ZIJTSLO,O,O,X,X,X
ZIJTSOL,O,O,X,X,X
ZIJTOLS,O,O,X,X,X
ZIJTOSL,O,O,X,X,X
ZIJLTSO,O,O,X,X,X
ZIJLTOS,O,O,X,X,X
ZIJLSTO,O,X,O,X,X
ZIJLSOT,O,X,O,X,X
ZIJLOTS,O,O,X,X,X
ZIJLOST,O,X,O,X,X
ZIJSTLO,O,X,X,X,X
ZIJSTOL,O,X,X,X,X
ZIJSLTO,O,X,X,X,X
ZIJSLOT,O,X,X,X,X
