sequence,v115@HhB8HeA8GeD8AeB8BeC8Jex/IvhFylBzhBGjB3nBFq?B0rB,v115@HhB8HeA8GeD8AeB8BeC8Jem/IvhFRhBSnBTjBUmBFq?BXsB,v115@HhB8HeA8GeD8AeB8BeC8Jem/IvhFfmB0hBxiBCoBFq?BzrB,v115@HhB8HeA8GeD8AeB8BeC8Jem/IvhFzgBfnBxiBCoBFq?B0rB,v115@HhB8HeA8GeD8AeB8BeC8Jex/IvhFXiBTjBmlBcsB6r?BFqB,v115@HhB8HeA8GeD8AeB8BeC8Jex/IvhF0hBTjBmlBSsBFq?BXsB,v115@HhB8HeA8GeD8AeB8BeC8Je3AJvhFTjBlmBcsBRqBmp?BCsB
TOILSJZ,O,X,O,X,X,O,X
TOILSZJ,O,X,O,X,X,X,X
TOILZJS,O,X,O,O,O,O,X
TOILZSJ,O,X,O,O,O,X,X
TOIJLSZ,O,X,O,X,X,O,X
TOIJLZS,O,X,O,O,O,O,X
TOIJSLZ,O,O,O,X,X,O,X
TOIJSZL,O,O,O,X,O,O,X
TOIJZLS,O,O,X,O,O,O,X
TOIJZSL,O,O,X,O,O,O,X
TOISLJZ,O,O,O,X,X,O,X
TOISLZJ,O,O,O,X,X,X,X
TOISJLZ,O,O,O,X,X,O,X
TOISJZL,O,O,O,X,O,O,X
TOISZLJ,O,O,O,X,O,X,O
TOISZJL,O,O,O,X,O,X,O
TOIZLJS,O,O,X,O,O,O,X
TOIZLSJ,O,O,X,O,O,X,O
TOIZJLS,O,O,X,O,O,O,X
TOIZJSL,O,O,X,O,O,O,O
TOIZSLJ,O,O,X,O,O,X,O
TOIZSJL,O,O,X,O,O,X,O
TOLIJSZ,O,X,O,X,X,O,X
TOLIJZS,O,X,O,O,O,O,X
TOLISJZ,O,X,O,X,X,O,X
TOLISZJ,O,X,O,X,X,X,X
TOLIZJS,O,X,O,O,O,O,X
TOLIZSJ,O,X,O,O,O,X,X
TOLJISZ,O,X,O,X,X,O,X
TOLJIZS,O,X,O,O,O,O,X
TOLJSIZ,O,O,O,X,X,O,X
TOLJSZI,O,O,O,O,X,O,X
TOLJZIS,O,O,O,O,O,O,X
TOLJZSI,O,O,O,O,O,O,X
TOLSIJZ,O,O,O,X,X,O,X
TOLSIZJ,O,O,O,X,X,X,X
TOLSJIZ,O,O,O,X,X,O,X
TOLSJZI,O,O,O,O,X,O,X
TOLSZIJ,O,O,O,O,X,X,X
TOLSZJI,O,O,O,O,X,X,X
TOLZIJS,O,O,O,O,O,O,X
TOLZISJ,O,O,O,O,O,X,X
TOLZJIS,O,O,O,O,O,O,X
TOLZJSI,O,O,O,O,O,O,X
TOLZSIJ,O,O,O,O,O,X,X
TOLZSJI,O,O,O,O,O,X,X
TOJILSZ,O,X,O,X,X,O,X
TOJILZS,O,X,O,O,O,O,X
TOJISLZ,O,O,O,X,X,O,X
TOJISZL,O,O,O,X,O,O,X
TOJIZLS,O,O,X,O,O,O,X
TOJIZSL,O,O,X,O,O,O,X
TOJLISZ,O,X,O,X,X,O,X
TOJLIZS,O,X,O,O,O,O,X
TOJLSIZ,O,O,O,X,X,O,X
TOJLSZI,O,O,O,O,X,O,X
TOJLZIS,O,O,O,O,O,O,X
TOJLZSI,O,O,O,O,O,O,X
TOJSILZ,O,O,O,X,X,O,X
TOJSIZL,O,O,O,X,O,O,X
TOJSLIZ,O,O,O,X,X,O,X
TOJSLZI,O,O,O,O,X,O,X
TOJSZIL,O,O,O,O,O,O,X
TOJSZLI,O,O,O,O,O,O,X
TOJZILS,O,O,X,O,O,O,X
TOJZISL,O,O,X,O,O,O,X
TOJZLIS,O,O,O,O,O,O,X
TOJZLSI,O,O,O,O,O,O,X
TOJZSIL,O,O,O,O,O,O,X
TOJZSLI,O,O,O,O,O,O,X
TOSILJZ,O,O,O,X,X,O,X
TOSILZJ,O,O,O,X,X,X,X
TOSIJLZ,O,O,O,X,X,O,X
TOSIJZL,O,O,O,X,O,O,X
TOSIZLJ,O,O,O,X,O,X,X
TOSIZJL,O,O,O,X,O,X,X
TOSLIJZ,O,O,O,X,X,O,X
TOSLIZJ,O,O,O,X,X,X,X
TOSLJIZ,O,O,O,X,X,O,X
TOSLJZI,O,O,O,O,X,O,X
TOSLZIJ,O,O,O,O,X,X,X
TOSLZJI,O,O,O,O,X,X,X
TOSJILZ,O,O,O,X,X,O,X
TOSJIZL,O,O,O,X,O,O,X
TOSJLIZ,O,O,O,X,X,O,X
TOSJLZI,O,O,O,O,X,O,X
TOSJZIL,O,O,O,O,O,O,X
TOSJZLI,O,O,O,O,O,O,X
TOSZILJ,O,O,O,O,O,X,X
TOSZIJL,O,O,O,O,O,X,X
TOSZLIJ,O,O,O,O,O,X,X
TOSZLJI,O,O,O,O,O,X,X
TOSZJIL,O,O,O,O,O,X,X
TOSZJLI,O,O,O,O,O,X,X
TOZILJS,O,O,X,O,O,O,X
TOZILSJ,O,O,X,O,O,X,O
TOZIJLS,O,O,X,O,O,O,X
TOZIJSL,O,O,X,O,O,O,O
TOZISLJ,O,O,X,O,O,X,O
TOZISJL,O,O,O,O,O,X,O
TOZLIJS,O,O,O,O,O,O,X
TOZLISJ,O,O,O,O,O,X,O
TOZLJIS,O,O,O,O,O,O,X
TOZLJSI,O,O,O,O,O,O,X
TOZLSIJ,O,O,O,O,O,X,O
TOZLSJI,O,O,O,O,O,X,X
TOZJILS,O,O,X,O,O,O,X
TOZJISL,O,O,X,O,O,O,O
TOZJLIS,O,O,O,O,O,O,X
TOZJLSI,O,O,O,O,O,O,X
TOZJSIL,O,O,O,O,O,O,O
TOZJSLI,O,O,O,O,O,O,X
TOZSILJ,O,O,O,O,O,X,O
TOZSIJL,O,O,O,O,O,X,O
TOZSLIJ,O,O,O,O,O,X,O
TOZSLJI,O,O,O,O,O,X,X
TOZSJIL,O,O,O,O,O,X,O
TOZSJLI,O,O,O,O,O,X,X
ITLJSZO,O,X,O,X,X,O,X
ITLJSOZ,O,X,O,X,X,O,X
ITLJZSO,O,X,O,O,O,O,X
ITLJZOS,O,X,O,O,O,O,X
ITLJOSZ,O,X,O,X,X,O,X
ITLJOZS,O,X,O,O,O,O,X
ITLSJZO,O,X,O,X,X,O,X
ITLSJOZ,O,X,O,X,X,O,X
ITLSZJO,O,X,O,X,X,X,X
ITLSZOJ,O,X,O,X,X,X,X
ITLSOJZ,O,X,O,X,X,O,X
ITLSOZJ,O,X,O,X,X,X,X
ITLZJSO,O,X,O,O,O,O,X
ITLZJOS,O,X,O,O,O,O,X
ITLZSJO,O,X,O,O,O,X,X
ITLZSOJ,O,X,O,O,O,X,X
ITLZOJS,O,X,O,O,O,O,X
ITLZOSJ,O,X,O,O,O,X,X
ITLOJSZ,O,X,O,X,X,O,X
ITLOJZS,O,X,O,O,O,O,X
ITLOSJZ,O,X,O,X,X,O,X
ITLOSZJ,O,X,O,X,X,X,X
ITLOZJS,O,X,O,O,O,O,X
ITLOZSJ,O,X,O,O,O,X,X
ITJLSZO,O,X,O,X,X,O,X
ITJLSOZ,O,X,O,X,X,O,X
ITJLZSO,O,X,O,O,O,O,X
ITJLZOS,O,X,O,O,O,O,X
ITJLOSZ,O,X,O,X,X,O,X
ITJLOZS,O,X,O,O,O,O,X
ITJSLZO,O,O,O,X,X,O,X
ITJSLOZ,O,O,O,X,X,O,X
ITJSZLO,O,O,O,X,O,O,X
ITJSZOL,O,O,O,X,O,O,X
ITJSOLZ,O,O,O,X,X,O,X
ITJSOZL,O,O,O,X,O,O,X
ITJZLSO,O,O,X,O,O,O,X
ITJZLOS,O,O,X,O,O,O,X
ITJZSLO,O,O,X,O,O,O,X
ITJZSOL,O,O,X,O,O,O,X
ITJZOLS,O,O,X,O,O,O,X
ITJZOSL,O,O,X,O,O,O,X
ITJOLSZ,O,X,O,X,X,O,X
ITJOLZS,O,X,O,O,O,O,X
ITJOSLZ,O,O,O,X,X,O,X
ITJOSZL,O,O,O,X,O,O,X
ITJOZLS,O,O,X,O,O,O,X
ITJOZSL,O,O,X,O,O,O,X
ITSLJZO,O,O,O,X,X,O,X
ITSLJOZ,O,O,O,X,X,O,X
ITSLZJO,O,O,O,X,X,X,X
ITSLZOJ,O,O,O,X,X,X,X
ITSLOJZ,O,O,O,X,X,O,X
ITSLOZJ,O,O,O,X,X,X,X
ITSJLZO,O,O,O,X,X,O,X
ITSJLOZ,O,O,O,X,X,O,X
ITSJZLO,O,O,O,X,O,O,X
ITSJZOL,O,O,O,X,O,O,X
ITSJOLZ,O,O,O,X,X,O,X
ITSJOZL,O,O,O,X,O,O,X
ITSZLJO,O,O,O,X,O,X,X
ITSZLOJ,O,O,O,X,O,X,O
ITSZJLO,O,O,O,X,O,X,X
ITSZJOL,O,O,O,X,O,X,O
ITSZOLJ,O,O,X,X,O,X,O
ITSZOJL,O,O,O,X,O,X,O
ITSOLJZ,O,O,O,X,X,O,X
ITSOLZJ,O,O,O,X,X,X,X
ITSOJLZ,O,O,O,X,X,O,X
ITSOJZL,O,O,O,X,O,O,X
ITSOZLJ,O,O,O,X,O,X,O
ITSOZJL,O,O,O,X,O,X,O
ITZLJSO,O,O,X,O,O,O,X
ITZLJOS,O,O,X,O,O,O,X
ITZLSJO,O,O,X,O,O,X,X
ITZLSOJ,O,O,X,O,O,X,O
ITZLOJS,O,O,X,O,O,O,X
ITZLOSJ,O,O,X,O,O,X,O
ITZJLSO,O,O,X,O,O,O,X
ITZJLOS,O,O,X,O,O,O,X
ITZJSLO,O,O,X,O,O,O,X
ITZJSOL,O,O,X,O,O,O,O
ITZJOLS,O,O,X,O,O,O,X
ITZJOSL,O,O,X,O,O,O,O
ITZSLJO,O,O,X,O,O,X,X
ITZSLOJ,O,O,X,O,O,X,O
ITZSJLO,O,O,X,O,O,X,X
ITZSJOL,O,O,X,O,O,X,O
ITZSOLJ,O,O,X,O,O,X,O
ITZSOJL,O,O,X,O,O,X,O
ITZOLJS,O,O,X,O,O,O,X
ITZOLSJ,O,O,X,O,O,X,O
ITZOJLS,O,O,X,O,O,O,X
ITZOJSL,O,O,X,O,O,O,O
ITZOSLJ,O,O,X,O,O,X,O
ITZOSJL,O,O,X,O,O,X,O
ITOLJSZ,O,X,O,X,X,O,X
ITOLJZS,O,X,O,O,O,O,X
ITOLSJZ,O,X,O,X,X,O,X
ITOLSZJ,O,X,O,X,X,X,X
ITOLZJS,O,X,O,O,O,O,X
ITOLZSJ,O,X,O,O,O,X,X
ITOJLSZ,O,X,O,X,X,O,X
ITOJLZS,O,X,O,O,O,O,X
ITOJSLZ,O,O,O,X,X,O,X
ITOJSZL,O,O,O,X,O,O,X
ITOJZLS,O,O,X,O,O,O,X
ITOJZSL,O,O,X,O,O,O,X
ITOSLJZ,O,O,O,X,X,O,X
ITOSLZJ,O,O,O,X,X,X,X
ITOSJLZ,O,O,O,X,X,O,X
ITOSJZL,O,O,O,X,O,O,X
ITOSZLJ,O,O,O,X,O,X,O
ITOSZJL,O,O,O,X,O,X,O
ITOZLJS,O,O,X,O,O,O,X
ITOZLSJ,O,O,X,O,O,X,O
ITOZJLS,O,O,X,O,O,O,X
ITOZJSL,O,O,X,O,O,O,O
ITOZSLJ,O,O,X,O,O,X,O
ITOZSJL,O,O,X,O,O,X,O
ILTJSZO,O,X,O,X,X,O,X
ILTJSOZ,O,X,O,X,X,O,X
ILTJZSO,O,X,O,O,O,O,X
ILTJZOS,O,X,O,O,O,O,X
ILTJOSZ,O,X,O,X,X,O,X
ILTJOZS,O,X,O,O,O,O,X
ILTSJZO,O,X,O,X,X,O,X
ILTSJOZ,O,X,O,X,X,O,X
ILTSZJO,O,X,O,X,X,X,X
ILTSZOJ,O,X,O,X,X,X,X
ILTSOJZ,O,X,O,X,X,O,X
ILTSOZJ,O,X,O,X,X,X,X
ILTZJSO,O,X,O,O,O,O,X
ILTZJOS,O,X,O,O,O,O,X
ILTZSJO,O,X,O,O,O,X,X
ILTZSOJ,O,X,O,O,O,X,X
ILTZOJS,O,X,O,O,O,O,X
ILTZOSJ,O,X,O,O,O,X,X
ILTOJSZ,O,X,O,X,X,O,X
ILTOJZS,O,X,O,O,O,O,X
ILTOSJZ,O,X,O,X,X,O,X
ILTOSZJ,O,X,O,X,X,X,X
ILTOZJS,O,X,O,O,O,O,X
ILTOZSJ,O,X,O,O,O,X,X
ILJTSZO,O,X,O,X,X,O,X
ILJTSOZ,O,X,O,X,X,O,X
ILJTZSO,O,X,O,X,X,O,X
ILJTZOS,O,X,O,X,X,O,X
ILJTOSZ,O,X,O,X,X,O,X
ILJTOZS,O,X,O,X,X,O,X
ILJSTZO,O,X,O,X,X,X,X
ILJSTOZ,O,X,X,X,X,X,X
ILJSZTO,O,X,O,X,X,X,X
ILJSZOT,O,X,O,X,X,X,X
ILJSOTZ,X,X,O,X,X,X,X
ILJSOZT,X,X,O,X,X,X,X
ILJZTSO,O,X,X,X,X,X,X
ILJZTOS,O,X,X,X,X,X,X
ILJZSTO,O,X,O,O,X,X,X
ILJZSOT,O,X,O,O,O,X,X
ILJZOTS,O,X,X,X,X,O,X
ILJZOST,O,X,O,O,O,X,X
ILJOTSZ,X,X,O,X,X,O,X
ILJOTZS,X,X,O,X,X,O,X
ILJOSTZ,X,X,O,X,X,X,X
ILJOSZT,X,X,O,X,X,X,X
ILJOZTS,X,X,X,X,X,O,X
ILJOZST,X,X,O,X,O,X,X
ILSTJZO,O,X,O,X,X,O,X
ILSTJOZ,O,X,O,X,X,O,X
ILSTZJO,O,X,O,X,X,X,X
ILSTZOJ,O,X,O,X,X,X,X
ILSTOJZ,O,X,O,X,X,O,X
ILSTOZJ,O,X,O,X,X,X,X
ILSJTZO,O,X,O,X,X,X,X
ILSJTOZ,O,X,X,X,X,X,X
ILSJZTO,O,X,O,X,X,X,X
ILSJZOT,O,X,O,X,X,X,X
ILSJOTZ,X,X,O,X,X,X,X
ILSJOZT,X,X,O,X,X,X,X
ILSZTJO,O,X,O,X,X,X,X
ILSZTOJ,O,X,X,X,X,X,O
ILSZJTO,O,X,O,X,X,X,X
ILSZJOT,O,X,O,X,X,X,X
ILSZOTJ,O,X,X,X,X,X,O
ILSZOJT,O,X,O,X,X,X,X
ILSOTJZ,X,X,O,X,X,O,X
ILSOTZJ,X,X,O,X,X,X,X
ILSOJTZ,X,X,O,X,X,X,X
ILSOJZT,X,X,O,X,X,X,X
ILSOZTJ,X,X,O,X,X,X,O
ILSOZJT,X,X,O,X,X,X,X
ILZTJSO,O,X,O,O,O,O,X
ILZTJOS,O,X,O,O,O,O,X
ILZTSJO,O,X,O,O,O,X,X
ILZTSOJ,O,X,O,O,O,X,O
ILZTOJS,O,X,O,O,O,O,X
ILZTOSJ,X,X,O,O,O,X,O
ILZJTSO,O,X,X,X,X,X,X
ILZJTOS,O,X,X,X,X,X,X
ILZJSTO,O,X,O,O,X,X,X
ILZJSOT,O,X,O,O,O,X,X
ILZJOTS,O,X,X,X,X,O,X
ILZJOST,O,X,O,O,O,X,X
ILZSTJO,O,X,O,O,X,X,X
ILZSTOJ,O,X,X,O,X,X,O
ILZSJTO,O,X,O,O,X,X,X
ILZSJOT,O,X,O,O,O,X,X
ILZSOTJ,O,X,X,O,X,X,O
ILZSOJT,O,X,O,O,O,X,X
ILZOTJS,O,X,O,X,O,O,X
ILZOTSJ,X,X,O,X,O,X,O
ILZOJTS,O,X,X,X,X,O,X
ILZOJST,O,X,O,O,O,X,X
ILZOSTJ,O,X,O,O,X,X,O
ILZOSJT,O,X,O,O,O,X,X
ILOTJSZ,X,X,O,X,X,O,X
ILOTJZS,X,X,O,X,O,O,X
ILOTSJZ,X,X,O,X,X,O,X
ILOTSZJ,X,X,O,X,X,X,X
ILOTZJS,X,X,O,X,O,O,X
ILOTZSJ,X,X,O,X,O,X,X
ILOJTSZ,X,X,O,X,X,O,X
ILOJTZS,X,X,O,X,X,O,X
ILOJSTZ,X,X,O,X,X,X,X
ILOJSZT,X,X,O,X,X,X,X
ILOJZTS,X,X,X,X,X,O,X
ILOJZST,X,X,O,X,O,X,X
ILOSTJZ,X,X,O,X,X,O,X
ILOSTZJ,X,X,O,X,X,X,X
ILOSJTZ,X,X,O,X,X,X,X
ILOSJZT,X,X,O,X,X,X,X
ILOSZTJ,X,X,O,X,X,X,O
ILOSZJT,X,X,O,X,X,X,X
ILOZTJS,X,X,O,X,O,O,X
ILOZTSJ,X,X,O,X,O,X,O
ILOZJTS,X,X,X,X,X,O,X
ILOZJST,X,X,O,X,O,X,X
ILOZSTJ,X,X,O,X,X,X,O
ILOZSJT,X,X,O,X,O,X,X
IJTLSZO,O,X,X,X,X,O,X
IJTLSOZ,O,X,X,X,X,O,X
IJTLZSO,O,X,X,X,O,O,X
IJTLZOS,O,X,X,X,O,O,X
IJTLOSZ,O,X,X,X,X,O,X
IJTLOZS,O,X,X,X,O,O,X
IJTSLZO,O,X,X,X,X,O,X
IJTSLOZ,O,X,X,X,X,O,X
IJTSZLO,O,X,X,X,O,O,X
IJTSZOL,O,X,X,X,O,O,X
IJTSOLZ,O,X,X,X,X,O,X
IJTSOZL,O,X,X,X,O,O,X
IJTZLSO,O,X,X,X,O,O,X
IJTZLOS,O,X,X,X,O,O,X
IJTZSLO,O,X,X,X,O,O,X
IJTZSOL,O,X,X,X,O,O,X
IJTZOLS,O,X,X,X,O,O,X
IJTZOSL,O,X,X,X,O,O,X
IJTOLSZ,O,X,X,X,X,O,X
IJTOLZS,O,X,X,X,O,O,X
IJTOSLZ,O,X,X,X,X,O,X
IJTOSZL,O,X,X,X,O,O,X
IJTOZLS,O,X,X,X,O,O,X
IJTOZSL,O,X,X,X,O,O,X
IJLTSZO,O,X,O,X,X,O,X
IJLTSOZ,O,X,X,X,X,O,X
IJLTZSO,O,X,X,X,X,O,X
IJLTZOS,O,X,X,X,X,O,X
IJLTOSZ,O,X,O,X,X,O,X
IJLTOZS,O,X,X,X,X,O,X
IJLSTZO,O,X,O,X,X,X,X
IJLSTOZ,O,X,X,X,X,X,X
IJLSZTO,O,X,O,X,X,X,X
IJLSZOT,O,X,O,X,X,X,X
IJLSOTZ,X,X,O,X,X,X,X
IJLSOZT,X,X,O,X,X,X,X
IJLZTSO,O,X,X,X,X,X,X
IJLZTOS,O,X,X,X,X,X,X
IJLZSTO,O,X,O,O,X,X,X
IJLZSOT,O,X,O,O,O,X,X
IJLZOTS,O,X,X,X,X,O,X
IJLZOST,O,X,O,O,O,X,X
IJLOTSZ,X,X,O,X,X,O,X
IJLOTZS,X,X,X,X,X,O,X
IJLOSTZ,X,X,O,X,X,X,X
IJLOSZT,X,X,O,X,X,X,X
IJLOZTS,X,X,X,X,X,O,X
IJLOZST,X,X,O,X,O,X,X
IJSTLZO,O,X,X,X,X,X,X
IJSTLOZ,O,X,X,X,X,X,X
IJSTZLO,O,X,X,X,X,X,X
IJSTZOL,O,X,X,X,X,X,X
IJSTOLZ,O,X,X,X,X,X,X
IJSTOZL,O,X,X,X,X,X,X
IJSLTZO,O,O,O,X,X,X,X
IJSLTOZ,O,O,X,X,X,X,X
IJSLZTO,O,O,O,X,X,X,X
IJSLZOT,O,O,O,X,X,X,X
IJSLOTZ,X,O,O,X,X,X,X
IJSLOZT,X,O,O,X,X,X,X
IJSZTLO,O,O,O,X,X,X,X
IJSZTOL,O,O,X,X,O,X,O
IJSZLTO,O,O,O,X,X,X,X
IJSZLOT,O,O,O,X,O,X,X
IJSZOTL,O,O,X,X,O,X,O
IJSZOLT,O,O,O,X,O,X,X
IJSOTLZ,O,X,X,X,X,X,X
IJSOTZL,O,X,X,X,X,X,X
IJSOLTZ,X,O,O,X,X,X,X
IJSOLZT,X,O,O,X,X,X,X
IJSOZTL,O,O,O,X,O,X,O
IJSOZLT,O,O,O,X,O,X,X
IJZTLSO,O,X,X,X,O,X,X
IJZTLOS,O,O,X,X,O,X,X
IJZTSLO,O,X,X,X,O,X,X
IJZTSOL,O,X,X,X,O,X,O
IJZTOLS,O,O,X,X,O,X,X
IJZTOSL,O,X,X,X,O,X,O
IJZLTSO,O,X,X,X,X,X,X
IJZLTOS,O,O,X,X,X,X,X
IJZLSTO,O,X,X,O,X,X,X
IJZLSOT,O,O,X,O,O,X,X
IJZLOTS,O,O,X,X,X,O,X
IJZLOST,O,O,X,O,O,X,X
IJZSTLO,O,O,X,X,X,X,X
IJZSTOL,O,O,X,O,O,X,O
IJZSLTO,O,O,X,O,X,X,X
IJZSLOT,O,O,X,O,O,X,X
IJZSOTL,O,O,X,O,O,X,O
IJZSOLT,O,O,X,O,O,X,X
IJZOTLS,O,O,X,X,O,X,X
IJZOTSL,O,X,X,X,O,X,O
IJZOLTS,O,O,X,X,X,O,X
IJZOLST,O,O,X,O,O,X,X
IJZOSTL,O,O,X,O,O,X,O
IJZOSLT,O,O,X,O,O,X,X
IJOTLSZ,O,X,X,X,X,O,X
IJOTLZS,O,X,X,X,O,O,X
IJOTSLZ,O,X,X,X,X,O,X
IJOTSZL,O,X,X,X,O,O,X
IJOTZLS,O,X,X,X,O,O,X
IJOTZSL,O,X,X,X,O,O,X
IJOLTSZ,X,X,O,X,X,O,X
IJOLTZS,X,X,X,X,X,O,X
IJOLSTZ,X,X,O,X,X,X,X
IJOLSZT,X,X,O,X,X,X,X
IJOLZTS,X,X,X,X,X,O,X
IJOLZST,X,X,O,X,O,X,X
IJOSTLZ,O,X,X,X,X,X,X
IJOSTZL,O,X,X,X,X,X,X
IJOSLTZ,X,O,O,X,X,X,X
IJOSLZT,X,O,O,X,X,X,X
IJOSZTL,O,O,O,X,O,X,O
IJOSZLT,O,O,O,X,O,X,X
IJOZTLS,O,O,X,X,O,X,X
IJOZTSL,X,X,X,X,O,X,O
IJOZLTS,O,O,X,X,X,O,X
IJOZLST,O,O,X,X,O,X,X
IJOZSTL,O,O,X,X,O,X,O
IJOZSLT,O,O,X,X,O,X,X
ISTLJZO,O,O,X,X,X,O,X
ISTLJOZ,O,O,X,X,X,O,X
ISTLZJO,O,O,X,X,X,X,X
ISTLZOJ,O,O,X,X,X,X,X
ISTLOJZ,O,O,X,X,X,O,X
ISTLOZJ,O,O,X,X,X,X,X
ISTJLZO,O,O,X,X,X,O,X
ISTJLOZ,O,O,X,X,X,O,X
ISTJZLO,O,O,X,X,O,O,X
ISTJZOL,O,O,X,X,O,O,X
ISTJOLZ,O,O,X,X,X,O,X
ISTJOZL,O,O,X,X,O,O,X
ISTZLJO,O,O,X,X,O,X,X
ISTZLOJ,O,O,X,X,O,X,O
ISTZJLO,O,O,X,X,O,X,X
ISTZJOL,O,O,X,X,O,X,O
ISTZOLJ,O,O,X,X,O,X,O
ISTZOJL,O,O,X,X,O,X,O
ISTOLJZ,O,O,X,X,X,O,X
ISTOLZJ,O,O,X,X,X,X,X
ISTOJLZ,O,O,X,X,X,O,X
ISTOJZL,O,O,X,X,O,O,X
ISTOZLJ,O,O,X,X,O,X,O
ISTOZJL,O,O,X,X,O,X,O
ISLTJZO,O,O,O,X,X,O,X
ISLTJOZ,O,O,X,X,X,O,X
ISLTZJO,O,O,O,X,X,X,X
ISLTZOJ,O,O,X,X,X,X,X
ISLTOJZ,O,O,X,X,X,O,X
ISLTOZJ,O,O,X,X,X,X,X
ISLJTZO,O,O,O,X,X,X,X
ISLJTOZ,O,O,X,X,X,X,X
ISLJZTO,O,O,O,X,X,X,X
ISLJZOT,O,O,O,X,X,X,X
ISLJOTZ,X,O,O,X,X,X,X
ISLJOZT,X,O,O,X,X,X,X
ISLZTJO,O,O,O,X,X,X,X
ISLZTOJ,O,O,X,X,X,X,O
ISLZJTO,O,O,O,X,X,X,X
ISLZJOT,O,O,O,X,X,X,X
ISLZOTJ,O,O,X,X,X,X,O
ISLZOJT,O,O,O,X,X,X,X
ISLOTJZ,X,O,O,X,X,O,X
ISLOTZJ,X,O,O,X,X,X,X
ISLOJTZ,X,O,O,X,X,X,X
ISLOJZT,X,O,O,X,X,X,X
ISLOZTJ,X,O,O,X,X,X,O
ISLOZJT,X,O,O,X,X,X,X
ISJTLZO,O,X,X,X,X,X,X
ISJTLOZ,O,X,X,X,X,X,X
ISJTZLO,O,X,X,X,X,X,X
ISJTZOL,O,X,X,X,X,X,X
ISJTOLZ,O,X,X,X,X,X,X
ISJTOZL,O,X,X,X,X,X,X
ISJLTZO,O,O,O,X,X,X,X
ISJLTOZ,O,O,X,X,X,X,X
ISJLZTO,O,O,O,X,X,X,X
ISJLZOT,O,O,O,X,X,X,X
ISJLOTZ,X,O,O,X,X,X,X
ISJLOZT,X,O,O,X,X,X,X
ISJZTLO,O,O,O,X,X,X,X
ISJZTOL,O,O,X,X,O,X,O
ISJZLTO,O,O,O,X,X,X,X
ISJZLOT,O,O,O,X,O,X,X
ISJZOTL,O,O,X,X,O,X,O
ISJZOLT,O,O,O,X,O,X,X
ISJOTLZ,O,X,X,X,X,X,X
ISJOTZL,O,X,X,X,X,X,X
ISJOLTZ,X,O,O,X,X,X,X
ISJOLZT,X,O,O,X,X,X,X
ISJOZTL,O,O,O,X,O,X,O
ISJOZLT,O,O,O,X,O,X,X
ISZTLJO,O,O,X,X,O,X,X
ISZTLOJ,O,O,X,X,O,X,O
ISZTJLO,O,O,O,X,O,X,X
ISZTJOL,O,O,X,X,O,X,O
ISZTOLJ,O,O,X,X,O,X,O
ISZTOJL,O,O,X,X,O,X,O
ISZLTJO,O,O,O,X,X,X,X
ISZLTOJ,O,O,X,X,X,X,O
ISZLJTO,O,O,O,X,X,X,X
ISZLJOT,O,O,O,X,O,X,X
ISZLOTJ,O,O,X,X,X,X,O
ISZLOJT,O,O,O,X,O,X,X
ISZJTLO,O,O,O,X,X,X,X
ISZJTOL,O,O,X,X,O,X,O
ISZJLTO,O,O,O,X,X,X,X
ISZJLOT,O,O,O,X,O,X,X
ISZJOTL,O,O,X,X,O,X,O
ISZJOLT,O,O,O,X,O,X,X
ISZOTLJ,O,O,X,X,O,X,O
ISZOTJL,O,O,X,X,O,X,O
ISZOLTJ,O,O,X,X,X,X,O
ISZOLJT,O,O,X,X,O,X,X
ISZOJTL,O,O,X,X,O,X,O
ISZOJLT,O,O,O,X,O,X,X
ISOTLJZ,O,O,X,X,X,O,X
ISOTLZJ,O,O,X,X,X,X,X
ISOTJLZ,O,O,X,X,X,O,X
ISOTJZL,O,O,X,X,O,O,X
ISOTZLJ,O,O,X,X,O,X,O
ISOTZJL,O,O,X,X,O,X,O
ISOLTJZ,X,O,O,X,X,O,X
ISOLTZJ,X,O,O,X,X,X,X
ISOLJTZ,X,O,O,X,X,X,X
ISOLJZT,X,O,O,X,X,X,X
ISOLZTJ,X,O,O,X,X,X,O
ISOLZJT,X,O,O,X,X,X,X
ISOJTLZ,O,X,X,X,X,X,X
ISOJTZL,O,X,X,X,X,X,X
ISOJLTZ,X,O,O,X,X,X,X
ISOJLZT,X,O,O,X,X,X,X
ISOJZTL,O,O,O,X,O,X,O
ISOJZLT,O,O,O,X,O,X,X
ISOZTLJ,O,O,X,X,O,X,O
ISOZTJL,O,O,O,X,O,X,O
ISOZLTJ,O,O,O,X,X,X,O
ISOZLJT,O,O,O,X,O,X,X
ISOZJTL,O,O,O,X,O,X,O
ISOZJLT,O,O,O,X,O,X,X
IZTLJSO,O,X,X,O,O,O,X
IZTLJOS,O,O,X,O,O,O,X
IZTLSJO,O,X,X,O,O,X,X
IZTLSOJ,O,X,X,O,O,X,O
IZTLOJS,O,O,X,O,O,O,X
IZTLOSJ,O,X,X,O,O,X,O
IZTJLSO,O,X,X,O,O,O,X
IZTJLOS,O,O,X,O,O,O,X
IZTJSLO,O,X,X,O,O,O,X
IZTJSOL,O,X,X,O,O,O,O
IZTJOLS,O,O,X,O,O,O,X
IZTJOSL,O,X,X,O,O,O,O
IZTSLJO,O,X,X,O,O,X,X
IZTSLOJ,O,X,X,O,O,X,O
