sequence,v115@ThB8BeA8AeB8AeB8BeE8JeZEJvhFukB1lB0hB6nBTj?BXrB
IJTLOSZ,X
IJTLOZS,O
IJTSLZO,X
IJTSLOZ,X
IJTSZLO,X
IJTSZOL,X
IJTSOLZ,X
IJTSOZL,X
IJTZLSO,X
IJTZLOS,O
IJTZSLO,X
IJTZSOL,X
IJTZOLS,O
IJTZOSL,X
IJTOLSZ,X
IJTOLZS,O
IJTOSLZ,X
IJTOSZL,X
IJTOZLS,O
IJTOZSL,X
IJLTSZO,X
IJLTSOZ,X
IJLTZSO,X
IJLTZOS,O
IJLTOSZ,X
IJLTOZS,O
IJLSTZO,O
IJLSTOZ,O
IJLSZTO,X
IJLSZOT,X
IJLSOTZ,O
IJLSOZT,X
IJLZTSO,X
IJLZTOS,X
IJLZSTO,X
IJLZSOT,X
IJLZOTS,X
IJLZOST,X
IJLOTSZ,X
IJLOTZS,O
IJLOSTZ,O
IJLOSZT,X
IJLOZTS,X
IJLOZST,X
IJSTLZO,O
IJSTLOZ,O
IJSTZLO,O
IJSTZOL,O
IJSTOLZ,O
IJSTOZL,O
IJSLTZO,O
IJSLTOZ,O
IJSLZTO,X
IJSLZOT,X
IJSLOTZ,O
IJSLOZT,X
IJSZTLO,X
IJSZTOL,X
IJSZLTO,X
IJSZLOT,X
IJSZOTL,X
IJSZOLT,X
IJSOTLZ,O
IJSOTZL,O
IJSOLTZ,O
IJSOLZT,X
IJSOZTL,X
IJSOZLT,X
IJZTLSO,X
IJZTLOS,X
IJZTSLO,X
IJZTSOL,X
IJZTOLS,X
IJZTOSL,X
IJZLTSO,X
IJZLTOS,X
IJZLSTO,X
IJZLSOT,X
IJZLOTS,X
IJZLOST,X
IJZSTLO,X
IJZSTOL,X
IJZSLTO,X
IJZSLOT,X
IJZSOTL,X
IJZSOLT,X
IJZOTLS,X
IJZOTSL,X
IJZOLTS,X
IJZOLST,X
IJZOSTL,X
IJZOSLT,X
IJOTLSZ,X
IJOTLZS,O
IJOTSLZ,X
IJOTSZL,X
IJOTZLS,O
IJOTZSL,X
IJOLTSZ,X
IJOLTZS,O
IJOLSTZ,O
IJOLSZT,X
IJOLZTS,X
IJOLZST,X
IJOSTLZ,O
IJOSTZL,O
IJOSLTZ,O
IJOSLZT,X
IJOSZTL,X
IJOSZLT,X
IJOZTLS,X
IJOZTSL,X
IJOZLTS,X
IJOZLST,X
IJOZSTL,X
IJOZSLT,X
ISTLJZO,O
ISTLJOZ,O
ISTLZJO,O
ISTLZOJ,O
ISTLOJZ,O
ISTLOZJ,O
ISTJLZO,O
ISTJLOZ,O
ISTJZLO,O
ISTJZOL,O
ISTJOLZ,O
ISTJOZL,O
ISTZLJO,O
ISTZLOJ,O
ISTZJLO,O
ISTZJOL,O
ISTZOLJ,O
ISTZOJL,O
ISTOLJZ,O
ISTOLZJ,O
ISTOJLZ,O
ISTOJZL,O
ISTOZLJ,O
ISTOZJL,O
ISLTJZO,O
ISLTJOZ,O
ISLTZJO,O
ISLTZOJ,O
ISLTOJZ,O
ISLTOZJ,O
ISLJTZO,O
ISLJTOZ,O
ISLJZTO,X
ISLJZOT,X
ISLJOTZ,O
ISLJOZT,X
ISLZTJO,O
ISLZTOJ,O
ISLZJTO,X
ISLZJOT,X
ISLZOTJ,O
ISLZOJT,X
ISLOTJZ,O
ISLOTZJ,O
ISLOJTZ,O
ISLOJZT,X
ISLOZTJ,O
ISLOZJT,X
ISJTLZO,O
ISJTLOZ,O
ISJTZLO,O
ISJTZOL,O
ISJTOLZ,O
ISJTOZL,O
ISJLTZO,O
ISJLTOZ,O
ISJLZTO,X
ISJLZOT,X
ISJLOTZ,O
ISJLOZT,X
ISJZTLO,X
ISJZTOL,X
ISJZLTO,X
ISJZLOT,X
ISJZOTL,X
ISJZOLT,X
ISJOTLZ,O
ISJOTZL,O
ISJOLTZ,O
ISJOLZT,X
ISJOZTL,X
ISJOZLT,X
ISZTLJO,O
ISZTLOJ,O
ISZTJLO,O
ISZTJOL,O
ISZTOLJ,O
ISZTOJL,O
ISZLTJO,O
ISZLTOJ,O
ISZLJTO,X
ISZLJOT,X
ISZLOTJ,O
ISZLOJT,X
ISZJTLO,X
ISZJTOL,X
ISZJLTO,X
ISZJLOT,X
ISZJOTL,X
ISZJOLT,X
ISZOTLJ,O
ISZOTJL,O
ISZOLTJ,O
ISZOLJT,X
ISZOJTL,X
ISZOJLT,X
ISOTLJZ,O
ISOTLZJ,O
ISOTJLZ,O
ISOTJZL,O
ISOTZLJ,O
ISOTZJL,O
ISOLTJZ,O
ISOLTZJ,O
ISOLJTZ,O
ISOLJZT,X
ISOLZTJ,O
ISOLZJT,X
ISOJTLZ,O
ISOJTZL,O
ISOJLTZ,O
ISOJLZT,X
ISOJZTL,X
ISOJZLT,X
ISOZTLJ,O
ISOZTJL,O
ISOZLTJ,O
ISOZLJT,X
ISOZJTL,X
ISOZJLT,X
IZTLJSO,X
IZTLJOS,O
IZTLSJO,X
IZTLSOJ,X
IZTLOJS,O
IZTLOSJ,X
IZTJLSO,X
IZTJLOS,O
IZTJSLO,X
IZTJSOL,X
IZTJOLS,O
IZTJOSL,X
IZTSLJO,X
IZTSLOJ,X
IZTSJLO,X
IZTSJOL,X
IZTSOLJ,X
IZTSOJL,X
IZTOLJS,O
IZTOLSJ,X
IZTOJLS,O
IZTOJSL,X
IZTOSLJ,X
IZTOSJL,X
IZLTJSO,X
IZLTJOS,O
IZLTSJO,X
IZLTSOJ,X
IZLTOJS,O
IZLTOSJ,X
IZLJTSO,X
IZLJTOS,X
IZLJSTO,X
IZLJSOT,X
IZLJOTS,X
IZLJOST,X
IZLSTJO,X
IZLSTOJ,X
IZLSJTO,X
IZLSJOT,X
IZLSOTJ,X
IZLSOJT,X
IZLOTJS,O
IZLOTSJ,X
IZLOJTS,X
IZLOJST,X
IZLOSTJ,X
IZLOSJT,X
IZJTLSO,X
IZJTLOS,X
IZJTSLO,X
IZJTSOL,X
IZJTOLS,X
IZJTOSL,X
