sequence,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFzgBfnBxiBu?sBctBFrB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFGiBTjBilBU?nBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFfnBTjBilBW?tBFrB0sB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeFAJvhFXhBxiBCnBT?oBmqB0sB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeFAJvhFxhB6oB3lBc?rBTnBetB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFGiBilBUnBT?oBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFzgBGjBRnBU?nBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFRhB+oBfrB0?mBlnBzsB
TJOSLIZ,O,X,O,O,O,X,O,X
TJOSLZI,O,X,O,O,O,X,O,O
TJOSZIL,O,X,X,O,O,X,O,O
TJOSZLI,O,X,O,O,O,X,O,O
TJOZILS,O,X,O,O,O,O,X,X
TJOZISL,O,X,X,O,O,X,X,X
TJOZLIS,O,X,O,O,O,O,X,X
TJOZLSI,O,X,O,O,O,O,X,X
TJOZSIL,O,X,X,O,O,X,X,X
TJOZSLI,O,X,O,O,O,O,X,X
TSILJZO,X,O,O,X,O,X,O,O
TSILJOZ,O,O,O,X,O,X,O,X
TSILZJO,O,O,O,X,O,O,O,O
TSILZOJ,O,O,X,X,O,O,O,X
TSILOJZ,O,O,O,X,X,X,O,X
TSILOZJ,O,O,X,X,X,O,O,X
TSIJLZO,X,O,O,X,O,X,O,O
TSIJLOZ,O,O,O,X,O,X,O,X
TSIJZLO,X,O,X,X,O,X,O,O
TSIJZOL,X,O,X,X,O,X,O,O
TSIJOLZ,O,O,O,X,O,X,O,X
TSIJOZL,X,O,X,X,O,X,O,X
TSIZLJO,O,O,X,X,O,X,O,O
TSIZLOJ,O,O,X,X,O,X,O,X
TSIZJLO,O,O,X,X,O,X,O,O
TSIZJOL,O,O,X,X,O,X,O,O
TSIZOLJ,O,O,X,X,O,X,O,X
TSIZOJL,O,O,X,X,O,X,O,X
TSIOLJZ,O,O,X,X,X,X,O,X
TSIOLZJ,O,O,X,X,X,O,O,X
TSIOJLZ,O,O,X,X,O,X,O,X
