sequence,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8JeZFJvhF/mBUiB?FjB6pBOpBTsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8JeZFJvhF/mBUiB?FjBOpB6pBTsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Je/EJvhFalBThB?xiBlnB2uBUsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Jem/IvhFThBxiB?KpBfqBlnBUsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Je2EJvhFThBxiB?lnB3kByuBUsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Jem/IvhFThBxiB?VsBipB0pB3sB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Jei/IvhFThBxiB?cpBeqBVsB3sB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8JeTBJvhFxiBikB?lnB3pBUsBmpB
TZJSLIO,X,O,O,X,X,X,O,O
TZJSLOI,X,X,O,X,X,X,O,O
TZJSOIL,X,O,O,X,X,X,O,O
TZJSOLI,X,X,O,X,X,X,O,O
TZJOILS,X,X,O,O,O,X,O,X
TZJOISL,X,O,O,X,X,X,O,O
TZJOLIS,X,X,O,O,O,X,O,X
TZJOLSI,X,X,O,O,O,X,O,X
TZJOSIL,X,O,O,X,X,X,O,O
TZJOSLI,X,O,O,X,X,X,O,O
TZSILJO,O,O,X,O,O,X,X,O
TZSILOJ,O,X,X,O,O,X,X,O
TZSIJLO,O,O,O,X,X,X,X,O
TZSIJOL,X,O,O,X,X,X,X,O
TZSIOLJ,O,X,X,O,O,X,X,O
TZSIOJL,X,O,O,X,X,X,X,O
TZSLIJO,O,O,X,O,O,X,X,O
TZSLIOJ,O,X,X,O,O,X,X,O
TZSLJIO,O,O,X,O,O,X,X,O
TZSLJOI,X,X,X,O,O,X,X,O
TZSLOIJ,O,X,X,O,O,X,X,O
TZSLOJI,X,X,X,O,O,X,X,O
TZSJILO,O,O,O,X,X,X,X,O
TZSJIOL,X,O,O,X,X,X,X,O
TZSJLIO,O,O,O,X,X,X,X,O
TZSJLOI,X,X,O,X,X,X,X,O
TZSJOIL,X,O,O,X,X,X,X,O
TZSJOLI,X,X,O,X,X,X,X,O
TZSOILJ,O,X,X,O,O,X,X,O
TZSOIJL,X,O,O,X,X,X,X,O
TZSOLIJ,O,X,X,O,O,X,X,O
TZSOLJI,X,X,X,O,O,X,X,O
TZSOJIL,X,O,O,X,X,X,X,O
TZSOJLI,X,X,O,X,X,X,X,O
TZOILJS,X,X,O,O,O,O,X,X
TZOILSJ,O,X,X,O,O,O,X,O
TZOIJLS,X,X,O,O,O,X,O,X
TZOIJSL,X,O,O,X,X,X,O,O
TZOISLJ,O,O,X,O,O,X,X,O
TZOISJL,O,O,O,X,X,X,X,O
TZOLIJS,X,X,O,O,O,O,X,X
TZOLISJ,O,X,X,O,O,O,X,O
TZOLJIS,X,X,O,O,O,O,X,X
TZOLJSI,X,X,O,O,O,O,X,X
TZOLSIJ,O,X,X,O,O,O,X,O
TZOLSJI,O,X,X,O,O,O,X,O
TZOJILS,X,X,O,O,O,X,O,X
TZOJISL,X,O,O,X,X,X,O,O
TZOJLIS,X,X,O,O,O,X,O,X
TZOJLSI,X,X,O,O,O,X,O,X
TZOJSIL,X,O,O,X,X,X,O,O
TZOJSLI,X,O,O,X,X,X,O,O
TZOSILJ,O,O,X,O,O,X,X,O
TZOSIJL,O,O,O,X,X,X,X,O
TZOSLIJ,O,O,X,O,O,X,X,O
TZOSLJI,O,O,X,O,O,X,X,O
TZOSJIL,O,O,O,X,X,X,X,O
TZOSJLI,O,O,O,X,X,X,X,O
TOILJSZ,O,O,O,O,O,O,X,X
TOILJZS,X,X,X,X,O,O,O,X
TOILSJZ,O,O,X,O,O,O,X,X
TOILSZJ,O,O,X,O,X,O,X,X
TOILZJS,X,X,X,X,O,O,X,X
TOILZSJ,O,X,X,O,X,O,X,X
TOIJLSZ,O,O,O,O,O,X,X,X
TOIJLZS,X,X,X,X,O,O,O,X
TOIJSLZ,O,O,O,X,X,X,X,X
TOIJSZL,O,O,O,X,X,X,O,X
TOIJZLS,X,X,X,X,X,X,O,X
TOIJZSL,X,O,O,X,X,X,O,X
TOISLJZ,O,O,X,O,O,X,X,X
TOISLZJ,O,O,X,O,X,O,X,O
TOISJLZ,O,O,O,X,X,X,X,X
TOISJZL,O,O,O,X,X,X,O,X
TOISZLJ,O,O,X,X,X,X,X,X
TOISZJL,O,O,X,X,X,X,X,X
TOIZLJS,X,X,X,X,O,O,X,X
TOIZLSJ,O,X,X,O,X,O,X,X
TOIZJLS,X,X,X,X,X,X,O,X
TOIZJSL,X,O,O,X,X,X,O,X
TOIZSLJ,O,O,X,X,X,X,X,X
TOIZSJL,O,O,X,X,X,X,X,X
TOLIJSZ,O,O,O,O,O,O,X,X
TOLIJZS,X,X,X,X,O,O,O,X
TOLISJZ,O,O,X,O,O,O,X,X
TOLISZJ,O,O,X,O,X,O,X,X
TOLIZJS,X,X,X,X,O,O,X,X
TOLIZSJ,O,X,X,O,X,O,X,X
TOLJISZ,O,O,O,O,O,O,X,X
TOLJIZS,X,X,X,X,O,O,O,X
TOLJSIZ,O,O,O,O,O,O,X,X
TOLJSZI,O,O,O,O,O,O,X,X
TOLJZIS,X,X,X,X,O,O,O,X
TOLJZSI,X,X,X,X,O,O,O,X
TOLSIJZ,O,O,X,O,O,O,X,X
TOLSIZJ,O,O,X,O,X,O,X,O
TOLSJIZ,O,O,X,O,O,O,X,X
TOLSJZI,O,O,X,O,O,O,X,O
TOLSZIJ,O,O,X,O,X,O,X,O
TOLSZJI,O,O,X,O,X,O,X,O
TOLZIJS,X,X,X,O,O,O,X,X
TOLZISJ,O,X,X,O,O,O,X,X
TOLZJIS,X,X,X,O,O,O,X,X
TOLZJSI,X,X,X,O,O,O,X,X
TOLZSIJ,O,X,X,O,O,O,X,X
TOLZSJI,O,X,X,O,O,O,X,X
TOJILSZ,O,O,O,O,O,X,X,X
TOJILZS,X,X,X,X,O,O,O,X
TOJISLZ,O,O,O,X,X,X,X,X
TOJISZL,O,O,O,X,X,X,O,X
TOJIZLS,X,X,X,X,X,X,O,X
TOJIZSL,X,O,O,X,X,X,O,X
TOJLISZ,O,O,O,O,O,X,X,X
TOJLIZS,X,X,X,X,O,O,O,X
TOJLSIZ,O,O,O,O,O,O,X,X
TOJLSZI,O,O,O,O,O,O,X,X
TOJLZIS,X,X,X,X,O,O,O,X
TOJLZSI,X,X,X,X,O,O,O,X
TOJSILZ,O,O,O,X,X,X,X,X
TOJSIZL,O,O,O,X,X,X,O,X
TOJSLIZ,O,O,O,X,X,X,X,X
TOJSLZI,O,O,O,X,X,X,X,O
TOJSZIL,O,O,O,X,X,X,O,X
TOJSZLI,O,O,O,X,X,X,O,X
TOJZILS,X,X,O,X,X,X,O,X
TOJZISL,X,O,O,X,X,X,O,X
TOJZLIS,X,X,O,X,X,X,O,X
TOJZLSI,X,X,O,X,X,X,O,X
TOJZSIL,X,O,O,X,X,X,O,X
TOJZSLI,X,O,O,X,X,X,O,X
TOSILJZ,O,O,X,O,O,X,X,X
TOSILZJ,O,O,X,O,X,O,X,O
TOSIJLZ,O,O,O,X,X,X,X,X
TOSIJZL,O,O,O,X,X,X,O,X
TOSIZLJ,O,O,X,X,X,X,X,X
TOSIZJL,O,O,X,X,X,X,X,X
TOSLIJZ,O,O,X,O,O,O,X,X
TOSLIZJ,O,O,X,O,X,O,X,O
TOSLJIZ,O,O,X,O,O,O,X,X
TOSLJZI,O,O,X,O,O,O,X,O
TOSLZIJ,O,O,X,O,X,O,X,O
TOSLZJI,O,O,X,O,X,O,X,O
TOSJILZ,O,O,O,X,X,X,X,X
TOSJIZL,O,O,O,X,X,X,O,X
TOSJLIZ,O,O,O,X,X,X,X,X
TOSJLZI,O,O,O,X,X,X,X,O
TOSJZIL,O,O,O,X,X,X,O,X
TOSJZLI,O,O,O,X,X,X,O,X
TOSZILJ,O,O,X,X,X,X,X,O
TOSZIJL,O,O,X,X,X,X,X,O
TOSZLIJ,O,O,X,X,X,X,X,O
TOSZLJI,O,O,X,X,X,X,X,O
TOSZJIL,O,O,X,X,X,X,X,O
TOSZJLI,O,O,X,X,X,X,X,O
TOZILJS,X,X,O,O,O,O,X,X
TOZILSJ,O,X,X,O,O,O,X,O
TOZIJLS,X,X,O,O,O,X,O,X
TOZIJSL,X,O,O,X,X,X,O,O
TOZISLJ,O,O,X,O,O,X,X,O
TOZISJL,O,O,O,X,X,X,X,O
TOZLIJS,X,X,O,O,O,O,X,X
TOZLISJ,O,X,X,O,O,O,X,O
TOZLJIS,X,X,O,O,O,O,X,X
TOZLJSI,X,X,O,O,O,O,X,X
TOZLSIJ,O,X,X,O,O,O,X,O
TOZLSJI,O,X,X,O,O,O,X,O
TOZJILS,X,X,O,O,O,X,O,X
TOZJISL,X,O,O,X,X,X,O,O
TOZJLIS,X,X,O,O,O,X,O,X
TOZJLSI,X,X,O,O,O,X,O,X
TOZJSIL,X,O,O,X,X,X,O,O
TOZJSLI,X,O,O,X,X,X,O,O
TOZSILJ,O,O,X,O,O,X,X,O
TOZSIJL,O,O,O,X,X,X,X,O
TOZSLIJ,O,O,X,O,O,X,X,O
TOZSLJI,O,O,X,O,O,X,X,O
TOZSJIL,O,O,O,X,X,X,X,O
TOZSJLI,O,O,O,X,X,X,X,O
ITLJSZO,O,O,O,O,X,X,X,X
ITLJSOZ,X,X,O,O,O,O,X,X
ITLJZSO,X,X,X,X,X,O,O,X
ITLJZOS,X,X,X,X,O,O,O,X
ITLJOSZ,O,O,O,O,O,O,X,X
ITLJOZS,X,X,X,X,O,O,O,X
ITLSJZO,O,O,X,O,X,O,X,X
ITLSJOZ,X,X,X,O,O,O,X,X
ITLSZJO,O,O,X,O,X,O,X,X
ITLSZOJ,O,X,X,O,X,O,X,X
ITLSOJZ,O,X,X,O,O,O,X,X
ITLSOZJ,O,X,X,O,X,O,X,X
ITLZJSO,X,X,X,X,X,O,X,X
ITLZJOS,X,X,X,X,O,O,X,X
ITLZSJO,O,X,X,O,X,O,X,X
ITLZSOJ,O,X,X,O,X,O,X,X
ITLZOJS,X,X,X,X,O,O,X,X
ITLZOSJ,O,X,X,O,X,O,X,X
ITLOJSZ,O,O,O,O,O,O,X,X
ITLOJZS,X,X,X,X,O,O,O,X
ITLOSJZ,O,O,X,O,O,O,X,X
ITLOSZJ,O,O,X,O,X,O,X,X
ITLOZJS,X,X,X,X,O,O,X,X
ITLOZSJ,O,X,X,O,X,O,X,X
ITJLSZO,O,O,O,O,X,X,X,X
ITJLSOZ,X,X,O,O,O,X,X,X
ITJLZSO,X,X,X,X,X,O,O,X
ITJLZOS,X,X,X,X,O,O,O,X
ITJLOSZ,O,O,O,O,O,X,X,X
ITJLOZS,X,X,X,X,O,O,O,X
ITJSLZO,O,O,O,X,X,X,X,X
ITJSLOZ,X,X,O,X,X,X,X,X
ITJSZLO,O,O,O,X,X,X,O,X
ITJSZOL,X,O,O,X,X,X,O,X
ITJSOLZ,X,O,O,X,X,X,X,X
ITJSOZL,X,O,O,X,X,X,O,X
ITJZLSO,X,X,X,X,X,X,O,X
ITJZLOS,X,X,X,X,X,X,O,X
ITJZSLO,X,O,O,X,X,X,O,X
ITJZSOL,X,O,O,X,X,X,O,X
ITJZOLS,X,X,X,X,X,X,O,X
ITJZOSL,X,O,O,X,X,X,O,X
ITJOLSZ,O,O,O,O,O,X,X,X
ITJOLZS,X,X,X,X,O,O,O,X
ITJOSLZ,O,O,O,X,X,X,X,X
ITJOSZL,O,O,O,X,X,X,O,X
ITJOZLS,X,X,X,X,X,X,O,X
ITJOZSL,X,O,O,X,X,X,O,X
ITSLJZO,O,O,X,O,X,X,X,X
ITSLJOZ,X,X,X,O,O,X,X,X
ITSLZJO,O,O,X,O,X,O,X,X
ITSLZOJ,O,X,X,O,X,O,X,X
ITSLOJZ,O,X,X,O,O,X,X,X
ITSLOZJ,O,X,X,O,X,O,X,O
ITSJLZO,O,O,O,X,X,X,X,X
ITSJLOZ,X,X,O,X,X,X,X,X
ITSJZLO,O,O,O,X,X,X,O,X
ITSJZOL,X,O,O,X,X,X,O,X
ITSJOLZ,X,O,O,X,X,X,X,X
ITSJOZL,X,O,O,X,X,X,O,X
ITSZLJO,O,O,X,X,X,X,X,X
ITSZLOJ,O,X,X,X,X,X,X,X
ITSZJLO,O,O,X,X,X,X,X,X
ITSZJOL,X,O,X,X,X,X,X,X
ITSZOLJ,O,X,X,X,X,X,X,X
ITSZOJL,X,O,X,X,X,X,X,X
ITSOLJZ,O,O,X,O,O,X,X,X
ITSOLZJ,O,O,X,O,X,O,X,O
ITSOJLZ,O,O,O,X,X,X,X,X
ITSOJZL,O,O,O,X,X,X,O,X
ITSOZLJ,O,O,X,X,X,X,X,X
ITSOZJL,O,O,X,X,X,X,X,X
ITZLJSO,X,X,X,X,X,O,X,X
ITZLJOS,X,X,X,X,O,O,X,X
ITZLSJO,O,X,X,O,X,O,X,X
ITZLSOJ,O,X,X,O,X,O,X,X
ITZLOJS,X,X,X,X,O,O,X,X
ITZLOSJ,O,X,X,O,X,O,X,X
ITZJLSO,X,X,X,X,X,X,O,X
ITZJLOS,X,X,X,X,X,X,O,X
ITZJSLO,X,O,O,X,X,X,O,X
ITZJSOL,X,O,O,X,X,X,O,X
ITZJOLS,X,X,X,X,X,X,O,X
ITZJOSL,X,O,O,X,X,X,O,X
ITZSLJO,O,O,X,X,X,X,X,X
ITZSLOJ,O,X,X,X,X,X,X,X
ITZSJLO,O,O,X,X,X,X,X,X
ITZSJOL,X,O,X,X,X,X,X,X
ITZSOLJ,O,X,X,X,X,X,X,X
ITZSOJL,X,O,X,X,X,X,X,X
ITZOLJS,X,X,X,X,O,O,X,X
ITZOLSJ,O,X,X,O,X,O,X,X
ITZOJLS,X,X,X,X,X,X,O,X
ITZOJSL,X,O,O,X,X,X,O,X
ITZOSLJ,O,O,X,X,X,X,X,X
ITZOSJL,O,O,X,X,X,X,X,X
ITOLJSZ,O,O,O,O,O,O,X,X
ITOLJZS,X,X,X,X,O,O,O,X
ITOLSJZ,O,O,X,O,O,O,X,X
ITOLSZJ,O,O,X,O,X,O,X,X
ITOLZJS,X,X,X,X,O,O,X,X
ITOLZSJ,O,X,X,O,X,O,X,X
ITOJLSZ,O,O,O,O,O,X,X,X
ITOJLZS,X,X,X,X,O,O,O,X
ITOJSLZ,O,O,O,X,X,X,X,X
ITOJSZL,O,O,O,X,X,X,O,X
ITOJZLS,X,X,X,X,X,X,O,X
ITOJZSL,X,O,O,X,X,X,O,X
ITOSLJZ,O,O,X,O,O,X,X,X
ITOSLZJ,O,O,X,O,X,O,X,O
ITOSJLZ,O,O,O,X,X,X,X,X
ITOSJZL,O,O,O,X,X,X,O,X
ITOSZLJ,O,O,X,X,X,X,X,X
ITOSZJL,O,O,X,X,X,X,X,X
ITOZLJS,X,X,X,X,O,O,X,X
ITOZLSJ,O,X,X,O,X,O,X,X
ITOZJLS,X,X,X,X,X,X,O,X
ITOZJSL,X,O,O,X,X,X,O,X
ITOZSLJ,O,O,X,X,X,X,X,X
ITOZSJL,O,O,X,X,X,X,X,X
ILTJSZO,O,O,O,O,X,X,X,X
ILTJSOZ,X,X,O,O,O,O,X,X
ILTJZSO,X,X,X,X,X,O,O,X
ILTJZOS,X,X,X,X,O,O,O,X
ILTJOSZ,O,O,O,O,O,O,X,X
ILTJOZS,X,X,X,X,O,O,O,X
ILTSJZO,O,O,X,O,X,O,X,X
ILTSJOZ,X,X,X,O,O,O,X,X
ILTSZJO,O,O,X,O,X,O,X,X
ILTSZOJ,O,X,X,O,X,O,X,X
ILTSOJZ,O,X,X,O,O,O,X,X
ILTSOZJ,O,X,X,O,X,O,X,X
ILTZJSO,X,X,X,X,X,O,X,X
ILTZJOS,X,X,X,X,O,O,X,X
ILTZSJO,O,X,X,O,X,O,X,X
ILTZSOJ,O,X,X,O,X,O,X,X
ILTZOJS,X,X,X,X,O,O,X,X
ILTZOSJ,O,X,X,O,X,O,X,X
ILTOJSZ,O,O,O,O,O,O,X,X
ILTOJZS,X,X,X,X,O,O,O,X
ILTOSJZ,O,O,X,O,O,O,X,X
ILTOSZJ,O,O,X,O,X,O,X,X
ILTOZJS,X,X,X,X,O,O,X,X
ILTOZSJ,O,X,X,O,X,O,X,X
ILJTSZO,O,O,O,O,X,O,X,X
ILJTSOZ,X,X,O,O,O,O,X,X
ILJTZSO,X,X,X,X,X,O,O,X
ILJTZOS,X,X,X,X,O,O,O,X
ILJTOSZ,O,O,O,O,O,O,X,X
ILJTOZS,X,X,X,X,O,O,O,X
ILJSTZO,O,O,O,O,X,X,X,X
ILJSTOZ,X,X,O,O,O,O,X,X
ILJSZTO,O,O,O,O,X,X,X,X
ILJSZOT,X,X,O,O,X,X,X,X
ILJSOTZ,O,O,O,O,X,O,X,X
ILJSOZT,O,O,O,O,X,X,X,X
ILJZTSO,X,X,X,X,O,X,O,X
ILJZTOS,X,X,X,X,O,O,O,X
ILJZSTO,X,X,O,O,X,X,O,X
ILJZSOT,X,X,O,O,X,X,O,X
ILJZOTS,X,X,X,X,O,O,O,X
ILJZOST,X,X,O,O,X,X,O,X
ILJOTSZ,O,O,X,X,O,O,X,X
ILJOTZS,X,X,X,X,O,O,X,X
ILJOSTZ,O,O,O,O,X,O,X,X
ILJOSZT,O,O,O,O,X,X,X,X
ILJOZTS,X,X,X,X,O,O,O,X
ILJOZST,X,X,X,X,X,X,O,X
ILSTJZO,O,O,X,O,X,X,X,X
ILSTJOZ,X,X,X,O,O,X,X,X
ILSTZJO,O,O,X,O,X,O,X,X
ILSTZOJ,O,X,X,O,X,O,X,X
ILSTOJZ,O,X,X,O,O,X,X,X
ILSTOZJ,O,X,X,O,X,O,X,X
ILSJTZO,O,O,X,O,X,X,X,X
ILSJTOZ,X,X,X,O,O,O,X,X
ILSJZTO,O,O,X,O,X,X,X,X
ILSJZOT,X,X,X,O,X,X,X,X
ILSJOTZ,O,O,X,O,X,O,X,X
ILSJOZT,O,O,X,O,X,X,X,X
ILSZTJO,O,O,X,O,X,X,X,X
ILSZTOJ,O,X,X,O,X,X,X,X
ILSZJTO,O,O,X,O,X,X,X,X
ILSZJOT,X,X,X,O,X,X,X,X
ILSZOTJ,O,X,X,O,X,X,X,X
ILSZOJT,O,X,X,O,X,X,X,X
ILSOTJZ,O,O,X,O,X,X,X,X
ILSOTZJ,O,O,X,O,X,X,X,X
ILSOJTZ,O,O,X,O,X,O,X,X
ILSOJZT,O,O,X,O,X,X,X,X
ILSOZTJ,O,O,X,O,X,X,X,X
ILSOZJT,O,O,X,O,X,X,X,X
ILZTJSO,X,X,X,O,O,O,X,X
ILZTJOS,X,X,X,O,O,O,X,X
ILZTSJO,O,X,X,O,O,O,X,X
ILZTSOJ,O,X,X,O,O,O,X,X
ILZTOJS,X,X,X,O,O,O,X,X
ILZTOSJ,O,X,X,O,O,O,X,X
ILZJTSO,X,X,X,X,O,X,X,X
ILZJTOS,X,X,X,X,O,O,X,X
ILZJSTO,X,X,O,O,X,X,X,X
ILZJSOT,X,X,O,O,X,X,X,X
ILZJOTS,X,X,X,X,O,O,X,X
ILZJOST,X,X,O,O,X,X,X,X
ILZSTJO,O,X,X,O,X,X,X,X
ILZSTOJ,O,X,X,O,X,X,X,X
ILZSJTO,O,X,X,O,X,X,X,X
ILZSJOT,X,X,X,O,X,X,X,X
ILZSOTJ,O,X,X,O,X,X,X,X
ILZSOJT,O,X,X,O,X,X,X,X
ILZOTJS,X,X,X,O,O,X,X,X
ILZOTSJ,O,X,X,O,O,X,X,X
ILZOJTS,X,X,X,X,O,O,X,X
ILZOJST,X,X,O,O,X,X,X,X
ILZOSTJ,O,X,X,O,X,X,X,X
ILZOSJT,O,X,X,O,X,X,X,X
ILOTJSZ,O,O,X,O,O,O,X,X
ILOTJZS,X,X,X,X,O,O,X,X
ILOTSJZ,O,O,X,O,O,O,X,X
ILOTSZJ,O,O,X,O,X,O,X,X
ILOTZJS,X,X,X,X,O,O,X,X
ILOTZSJ,O,X,X,O,X,O,X,X
ILOJTSZ,O,O,X,X,O,O,X,X
ILOJTZS,X,X,X,X,O,O,X,X
ILOJSTZ,O,O,O,O,X,O,X,X
ILOJSZT,O,O,O,O,X,X,X,X
ILOJZTS,X,X,X,X,O,O,O,X
ILOJZST,X,X,X,X,X,X,O,X
ILOSTJZ,O,O,X,O,X,X,X,X
ILOSTZJ,O,O,X,O,X,X,X,X
ILOSJTZ,O,O,X,O,X,O,X,X
ILOSJZT,O,O,X,O,X,X,X,X
ILOSZTJ,O,O,X,O,X,X,X,X
ILOSZJT,O,O,X,O,X,X,X,X
ILOZTJS,X,X,X,O,O,X,X,X
ILOZTSJ,O,X,X,O,O,X,X,X
ILOZJTS,X,X,X,X,O,O,X,X
ILOZJST,X,X,X,O,X,X,X,X
ILOZSTJ,O,X,X,O,X,X,X,X
ILOZSJT,O,X,X,O,X,X,X,X
IJTLSZO,O,O,O,O,X,X,X,X
IJTLSOZ,X,X,O,O,O,X,X,X
IJTLZSO,X,X,X,X,X,O,O,X
IJTLZOS,X,X,X,X,O,O,O,X
IJTLOSZ,O,O,O,O,O,X,X,X
IJTLOZS,X,X,X,X,O,O,O,X
IJTSLZO,O,O,O,X,X,X,X,X
IJTSLOZ,X,X,O,X,X,X,X,X
IJTSZLO,O,O,O,X,X,X,O,X
IJTSZOL,X,O,O,X,X,X,O,X
IJTSOLZ,X,O,O,X,X,X,X,X
IJTSOZL,X,O,O,X,X,X,O,X
IJTZLSO,X,X,X,X,X,X,O,X
IJTZLOS,X,X,X,X,X,X,O,X
IJTZSLO,X,O,O,X,X,X,O,X
IJTZSOL,X,O,O,X,X,X,O,X
IJTZOLS,X,X,X,X,X,X,O,X
IJTZOSL,X,O,O,X,X,X,O,X
IJTOLSZ,O,O,O,O,O,X,X,X
IJTOLZS,X,X,X,X,O,O,O,X
IJTOSLZ,O,O,O,X,X,X,X,X
IJTOSZL,O,O,O,X,X,X,O,X
IJTOZLS,X,X,X,X,X,X,O,X
IJTOZSL,X,O,O,X,X,X,O,X
IJLTSZO,O,O,O,O,X,X,X,X
IJLTSOZ,X,X,O,O,O,O,X,X
IJLTZSO,X,X,X,X,X,O,O,X
IJLTZOS,X,X,X,X,O,O,O,X
IJLTOSZ,O,O,O,O,O,O,X,X
IJLTOZS,X,X,X,X,O,O,O,X
IJLSTZO,O,O,O,O,X,X,X,X
IJLSTOZ,X,X,O,O,O,O,X,X
IJLSZTO,O,O,O,O,X,X,X,X
IJLSZOT,X,X,O,O,X,X,X,X
IJLSOTZ,O,O,O,O,X,O,X,X
IJLSOZT,O,O,O,O,X,X,X,X
IJLZTSO,X,X,X,X,X,X,O,X
IJLZTOS,X,X,X,X,O,O,O,X
IJLZSTO,X,X,O,O,X,X,O,X
IJLZSOT,X,X,O,O,X,X,O,X
IJLZOTS,X,X,X,X,X,O,O,X
IJLZOST,X,X,O,O,X,X,O,X
IJLOTSZ,O,O,X,X,O,O,X,X
IJLOTZS,X,X,X,X,O,O,X,X
IJLOSTZ,O,O,O,O,X,O,X,X
IJLOSZT,O,O,O,O,X,X,X,X
IJLOZTS,X,X,X,X,X,O,O,X
IJLOZST,X,X,X,X,X,X,O,X
IJSTLZO,O,O,O,X,X,X,X,X
IJSTLOZ,X,X,O,X,X,X,X,X
IJSTZLO,O,O,O,X,X,X,O,X
IJSTZOL,X,O,O,X,X,X,O,X
IJSTOLZ,X,O,O,X,X,X,X,X
IJSTOZL,X,O,O,X,X,X,O,X
IJSLTZO,O,O,O,X,X,X,X,X
IJSLTOZ,X,X,O,X,X,X,X,X
IJSLZTO,O,O,O,X,X,X,X,X
IJSLZOT,X,X,O,X,X,X,X,X
IJSLOTZ,O,O,O,X,X,X,X,X
IJSLOZT,O,O,O,X,X,X,X,X
IJSZTLO,O,O,O,X,X,X,O,X
IJSZTOL,X,O,O,X,X,X,O,X
IJSZLTO,O,O,O,X,X,X,O,X
IJSZLOT,X,X,O,X,X,X,O,X
IJSZOTL,X,O,O,X,X,X,X,X
IJSZOLT,X,O,O,X,X,X,O,X
IJSOTLZ,O,O,O,X,X,X,X,X
IJSOTZL,O,O,O,X,X,X,X,X
IJSOLTZ,O,O,O,X,X,X,X,X
IJSOLZT,O,O,O,X,X,X,X,X
IJSOZTL,O,O,O,X,X,X,X,X
IJSOZLT,O,O,O,X,X,X,O,X
IJZTLSO,X,X,O,X,X,X,O,X
IJZTLOS,X,X,O,X,X,X,O,X
IJZTSLO,X,O,O,X,X,X,O,X
IJZTSOL,X,O,O,X,X,X,O,X
IJZTOLS,X,X,O,X,X,X,O,X
IJZTOSL,X,O,O,X,X,X,O,X
IJZLTSO,X,X,X,X,X,X,O,X
IJZLTOS,X,X,X,X,X,X,O,X
IJZLSTO,X,X,O,O,X,X,O,X
IJZLSOT,X,X,O,O,X,X,O,X
IJZLOTS,X,X,X,X,X,X,O,X
IJZLOST,X,X,O,O,X,X,O,X
IJZSTLO,X,O,O,X,X,X,O,X
IJZSTOL,X,O,O,X,X,X,O,X
IJZSLTO,X,O,O,X,X,X,O,X
IJZSLOT,X,X,O,X,X,X,O,X
IJZSOTL,X,O,O,X,X,X,X,X
IJZSOLT,X,O,O,X,X,X,O,X
IJZOTLS,X,X,O,X,X,X,O,X
IJZOTSL,X,O,O,X,X,X,O,X
IJZOLTS,X,X,X,X,X,X,O,X
IJZOLST,X,X,O,O,X,X,O,X
IJZOSTL,X,O,O,X,X,X,X,X
IJZOSLT,X,O,O,X,X,X,O,X
IJOTLSZ,O,O,O,X,X,X,X,X
IJOTLZS,X,X,X,X,X,X,O,X
IJOTSLZ,O,O,O,X,X,X,X,X
IJOTSZL,O,O,O,X,X,X,O,X
IJOTZLS,X,X,X,X,X,X,O,X
IJOTZSL,X,O,O,X,X,X,O,X
IJOLTSZ,O,O,X,X,X,O,X,X
IJOLTZS,X,X,X,X,X,O,X,X
IJOLSTZ,O,O,O,O,X,O,X,X
IJOLSZT,O,O,O,O,X,X,X,X
IJOLZTS,X,X,X,X,X,O,O,X
IJOLZST,X,X,X,X,X,X,O,X
IJOSTLZ,O,O,O,X,X,X,X,X
IJOSTZL,O,O,O,X,X,X,X,X
IJOSLTZ,O,O,O,X,X,X,X,X
IJOSLZT,O,O,O,X,X,X,X,X
IJOSZTL,O,O,O,X,X,X,X,X
IJOSZLT,O,O,O,X,X,X,O,X
IJOZTLS,X,X,O,X,X,X,O,X
IJOZTSL,X,O,O,X,X,X,O,X
IJOZLTS,X,X,X,X,X,X,O,X
IJOZLST,X,X,O,X,X,X,O,X
IJOZSTL,X,O,O,X,X,X,X,X
IJOZSLT,X,O,O,X,X,X,O,X
ISTLJZO,O,O,X,O,X,X,X,X
ISTLJOZ,X,X,X,O,O,X,X,X
ISTLZJO,O,O,X,O,X,O,X,X
ISTLZOJ,O,X,X,O,X,O,X,X
ISTLOJZ,O,X,X,O,O,X,X,X
ISTLOZJ,O,X,X,O,X,O,X,O
ISTJLZO,O,O,O,X,X,X,X,X
ISTJLOZ,X,X,O,X,X,X,X,X
ISTJZLO,O,O,O,X,X,X,O,X
ISTJZOL,X,O,O,X,X,X,O,X
ISTJOLZ,X,O,O,X,X,X,X,X
ISTJOZL,X,O,O,X,X,X,O,X
ISTZLJO,O,O,X,X,X,X,X,X
ISTZLOJ,O,X,X,X,X,X,X,X
ISTZJLO,O,O,X,X,X,X,X,X
ISTZJOL,X,O,X,X,X,X,X,X
ISTZOLJ,O,X,X,X,X,X,X,X
ISTZOJL,X,O,X,X,X,X,X,X
ISTOLJZ,O,O,X,O,O,X,X,X
ISTOLZJ,O,O,X,O,X,O,X,O
