sequence,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhF/lBRhB0mB6sBlp?B2wB,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhFxgBymB0lB+sBlp?B3rB,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhF/lBamBUiBWsBlp?BxwB,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhF2lBRhBfsB6sBlp?BUrB,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhF/lBRhBKrBGnBlp?BUsB,v115@EhC8HeB8HeC8AeB8DeB8Je2EJvhFRgBUiBfrB6rBlp?BTsB,v115@EhC8HeB8HeC8AeB8DeB8JeOEJvhFXgBlhBUmBTnBCq?BxwB,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhFmgBqmB/nB0lBlp?BxwB,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhFigBfrBxmBUnBlp?BWxB,v115@EhC8HeB8HeC8AeB8DeB8JeRAJvhFUiBypBGrBTsB/p?BFrB,v115@EhC8HeB8HeC8AeB8DeB8Jel/IvhFclB/pBxmBGrBTs?BirB,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhF/lBxmBarBUnBlp?BWxB,v115@EhC8HeB8HeC8AeB8DeB8JeSFJvhF/pBxmBmkBlmBUr?BTsB
TSIZLJO,X,X,O,X,X,O,X,O,X,X,X,X,X
TSIZLOJ,X,X,O,X,X,O,X,O,O,X,X,X,X
TSIZJLO,X,X,O,X,X,O,X,O,X,X,X,X,X
TSIZJOL,X,X,O,O,X,O,X,O,X,X,X,X,X
TSIZOLJ,O,X,O,X,O,O,X,O,O,X,O,X,X
TSIZOJL,O,X,O,O,X,O,X,O,X,X,O,X,X
TSIOLJZ,O,X,O,O,O,O,X,O,O,X,X,X,X
TSIOLZJ,O,X,O,X,O,O,X,O,O,X,O,X,X
TSIOJLZ,O,X,O,O,O,O,X,O,O,X,X,O,X
TSIOJZL,O,X,O,O,X,O,X,O,O,X,O,O,X
TSIOZLJ,O,X,O,X,O,O,X,O,O,X,O,X,X
TSIOZJL,O,X,O,O,X,O,X,O,X,X,O,X,X
TSLIJZO,O,X,O,O,X,O,X,X,O,X,X,X,X
TSLIJOZ,O,X,O,O,O,O,X,X,O,X,X,X,X
TSLIZJO,X,X,O,O,O,O,X,X,X,X,X,X,X
TSLIZOJ,O,X,O,O,O,O,X,X,O,X,X,X,X
TSLIOJZ,O,X,O,O,O,O,X,X,O,X,X,X,X
TSLIOZJ,O,X,O,O,O,O,X,X,O,X,X,X,X
TSLJIZO,O,X,X,O,X,O,X,X,O,X,X,X,X
TSLJIOZ,O,X,X,O,O,O,X,X,O,X,X,O,X
TSLJZIO,O,X,X,O,O,O,X,X,O,X,X,X,X
TSLJZOI,O,X,X,O,O,O,X,X,O,X,X,X,X
TSLJOIZ,O,X,X,O,O,O,X,X,O,X,X,O,X
TSLJOZI,O,X,X,O,O,O,X,X,O,X,X,X,X
TSLZIJO,X,X,X,O,O,O,X,X,X,X,X,X,O
TSLZIOJ,O,X,X,O,O,O,X,X,O,X,X,X,O
TSLZJIO,O,X,X,O,O,O,X,X,O,X,X,X,X
TSLZJOI,O,X,X,O,O,O,X,X,O,X,X,X,X
TSLZOIJ,O,X,X,O,O,O,X,X,O,X,O,X,O
TSLZOJI,O,X,X,O,O,O,X,X,O,X,O,X,X
TSLOIJZ,O,X,O,O,O,O,X,X,O,X,X,X,O
TSLOIZJ,O,X,O,O,O,O,X,X,O,X,O,X,O
TSLOJIZ,O,X,X,O,O,O,X,X,O,X,X,O,X
TSLOJZI,O,X,X,O,O,O,X,X,O,X,X,X,X
TSLOZIJ,O,X,X,O,O,O,X,X,O,X,O,X,O
TSLOZJI,O,X,X,O,O,O,X,X,O,X,O,X,X
TSJILZO,O,O,O,X,X,O,X,X,O,X,X,X,X
TSJILOZ,O,O,O,O,X,O,X,X,O,X,X,O,X
TSJIZLO,O,O,O,X,X,O,X,X,O,X,X,X,X
TSJIZOL,O,O,O,O,X,O,X,X,O,X,X,O,X
TSJIOLZ,O,O,O,O,O,O,X,X,O,X,X,O,X
TSJIOZL,O,O,O,O,X,O,X,X,O,X,X,O,X
TSJLIZO,O,O,X,O,X,O,X,X,O,X,X,X,X
TSJLIOZ,O,O,X,O,O,O,X,X,O,X,X,O,X
TSJLZIO,O,O,X,O,O,O,X,X,O,X,X,X,X
TSJLZOI,O,O,X,O,O,O,X,X,O,X,X,X,X
TSJLOIZ,O,O,X,O,O,O,X,X,O,X,X,O,X
TSJLOZI,O,O,X,O,O,O,X,X,O,X,X,X,X
TSJZILO,O,O,X,O,X,O,X,X,O,X,X,X,X
TSJZIOL,O,O,X,O,X,O,X,X,O,X,X,O,X
TSJZLIO,O,O,X,O,X,O,X,X,O,X,X,X,X
TSJZLOI,O,O,X,O,X,O,X,X,O,X,X,X,X
TSJZOIL,O,O,X,O,X,O,X,X,O,X,O,O,X
TSJZOLI,O,O,X,O,X,O,X,X,O,X,O,X,X
TSJOILZ,O,O,O,O,O,O,X,X,O,X,X,O,X
TSJOIZL,O,O,O,O,X,O,X,X,O,X,O,O,X
TSJOLIZ,O,O,X,O,O,O,X,X,O,X,X,O,X
TSJOLZI,O,O,X,O,O,O,X,X,O,X,X,X,X
TSJOZIL,O,O,X,O,X,O,X,X,O,X,O,O,X
TSJOZLI,O,O,X,O,X,O,X,X,O,X,O,X,X
TSZILJO,X,X,O,O,X,O,X,X,X,X,X,X,O
TSZILOJ,X,O,O,O,X,O,X,X,O,X,X,X,O
TSZIJLO,X,O,O,O,X,O,X,X,X,X,X,X,X
TSZIJOL,X,O,O,O,X,O,X,X,X,X,X,X,X
TSZIOLJ,O,O,O,O,O,O,X,X,O,X,O,X,X
TSZIOJL,O,O,O,O,X,O,X,X,X,X,O,X,X
TSZLIJO,X,X,X,O,O,O,X,X,X,X,X,X,O
TSZLIOJ,O,O,X,O,O,O,X,X,O,X,X,X,O
TSZLJIO,O,X,X,O,O,O,X,X,O,X,X,X,X
TSZLJOI,O,X,X,O,O,O,X,X,O,X,X,X,X
TSZLOIJ,O,O,X,O,O,O,X,X,O,X,O,X,O
TSZLOJI,O,X,X,O,O,O,X,X,O,X,O,X,X
TSZJILO,O,O,X,O,X,O,X,X,O,X,X,X,X
TSZJIOL,O,O,X,O,X,O,X,X,O,X,X,O,X
TSZJLIO,O,O,X,O,O,O,X,X,O,X,X,X,X
TSZJLOI,O,O,X,O,O,O,X,X,O,X,X,X,X
TSZJOIL,O,O,X,O,X,O,X,X,O,X,O,O,X
TSZJOLI,O,O,X,O,O,O,X,X,O,X,O,X,X
TSZOILJ,O,O,O,O,O,O,X,X,O,X,O,X,O
TSZOIJL,O,O,O,O,X,O,X,X,X,X,O,X,X
TSZOLIJ,O,O,X,O,O,O,X,X,O,X,O,X,O
TSZOLJI,O,X,X,O,O,O,X,X,O,X,O,X,X
TSZOJIL,O,O,X,O,X,O,X,X,O,X,O,O,X
TSZOJLI,O,O,X,O,O,O,X,X,O,X,O,X,X
TSOILJZ,O,X,O,O,O,O,X,O,O,X,X,X,O
TSOILZJ,O,X,O,X,O,O,X,O,O,X,O,X,O
TSOIJLZ,O,X,O,O,O,O,X,O,O,X,X,O,X
TSOIJZL,O,X,O,O,X,O,X,O,O,X,O,O,X
TSOIZLJ,O,X,O,X,O,O,X,O,O,X,O,X,X
TSOIZJL,O,X,O,O,X,O,X,O,X,X,O,X,X
TSOLIJZ,O,X,O,O,O,O,X,X,O,X,X,X,O
TSOLIZJ,O,X,O,O,O,O,X,X,O,X,O,X,O
TSOLJIZ,O,X,X,O,O,O,X,X,O,X,X,O,X
TSOLJZI,O,X,X,O,O,O,X,X,O,X,X,X,X
TSOLZIJ,O,X,X,O,O,O,X,X,O,X,O,X,O
TSOLZJI,O,X,X,O,O,O,X,X,O,X,O,X,X
TSOJILZ,O,O,O,O,O,O,X,X,O,X,X,O,X
TSOJIZL,O,O,O,O,X,O,X,X,O,X,O,O,X
TSOJLIZ,O,O,X,O,O,O,X,X,O,X,X,O,X
TSOJLZI,O,O,X,O,O,O,X,X,O,X,X,X,X
TSOJZIL,O,O,X,O,X,O,X,X,O,X,O,O,X
TSOJZLI,O,O,X,O,X,O,X,X,O,X,O,X,X
TSOZILJ,O,O,O,O,O,O,X,X,O,X,O,X,O
TSOZIJL,O,O,O,O,X,O,X,X,X,X,O,X,X
TSOZLIJ,O,O,X,O,O,O,X,X,O,X,O,X,O
TSOZLJI,O,X,X,O,O,O,X,X,O,X,O,X,X
TSOZJIL,O,O,X,O,X,O,X,X,O,X,O,O,X
TSOZJLI,O,O,X,O,O,O,X,X,O,X,O,X,X
TZILJSO,X,O,X,O,X,X,X,X,X,X,X,X,X
TZILJOS,X,O,X,O,X,X,X,X,X,X,X,X,X
TZILSJO,X,X,X,O,O,X,X,O,X,X,X,X,X
TZILSOJ,X,O,X,O,O,X,X,O,X,X,X,X,X
TZILOJS,X,O,X,O,X,X,X,X,X,X,X,X,X
TZILOSJ,X,O,X,O,O,X,X,O,X,X,X,X,X
TZIJLSO,X,O,O,O,O,X,X,X,X,X,X,X,X
TZIJLOS,X,O,O,O,O,X,X,X,X,X,X,X,X
TZIJSLO,X,O,O,O,X,X,X,O,X,X,X,X,X
TZIJSOL,X,O,O,O,X,X,X,O,X,X,X,X,X
TZIJOLS,X,O,O,O,O,X,X,X,X,X,X,X,X
TZIJOSL,X,O,O,O,X,X,X,O,X,X,X,X,X
TZISLJO,X,X,O,O,X,X,X,O,X,X,X,X,O
TZISLOJ,X,O,O,O,X,X,X,O,X,X,X,X,O
TZISJLO,X,O,O,O,X,X,X,O,X,X,X,X,X
TZISJOL,X,O,O,O,X,X,X,O,X,X,X,X,X
TZISOLJ,X,O,O,O,X,X,X,O,X,X,X,X,X
TZISOJL,X,O,O,O,X,X,X,O,X,X,X,X,X
TZIOLJS,X,O,X,O,X,X,X,X,X,X,X,X,X
TZIOLSJ,X,O,X,O,O,X,X,O,X,X,X,X,X
TZIOJLS,X,O,O,O,O,X,X,X,X,X,X,X,X
TZIOJSL,X,O,O,O,X,X,X,O,X,X,X,X,X
TZIOSLJ,X,O,O,O,X,X,X,O,X,X,X,X,X
TZIOSJL,X,O,O,O,X,X,X,O,X,X,X,X,X
TZLIJSO,X,O,X,O,X,O,X,X,X,X,X,X,X
TZLIJOS,X,O,X,O,X,X,X,X,X,X,X,X,X
TZLISJO,X,X,X,O,O,O,X,X,X,X,X,X,X
TZLISOJ,X,O,X,O,O,O,X,X,X,X,X,X,X
TZLIOJS,X,O,X,O,X,X,X,X,X,X,X,X,X
TZLIOSJ,X,O,X,O,O,X,X,X,X,X,X,X,X
TZLJISO,O,O,X,O,O,O,X,X,X,X,X,X,X
TZLJIOS,O,O,X,O,O,X,X,X,X,X,X,X,X
TZLJSIO,O,O,X,O,O,O,X,X,X,X,X,X,X
TZLJSOI,O,O,X,O,O,O,X,X,X,X,X,X,X
TZLJOIS,O,O,X,O,O,X,X,X,X,X,X,X,X
TZLJOSI,O,O,X,O,O,O,X,X,X,X,X,X,X
TZLSIJO,X,X,X,O,O,O,X,X,X,X,X,X,X
TZLSIOJ,O,O,X,O,O,O,X,X,O,X,X,X,X
TZLSJIO,O,X,X,O,O,O,X,X,O,X,X,X,X
TZLSJOI,O,X,X,O,O,O,X,X,O,X,X,X,X
TZLSOIJ,O,O,X,O,O,O,X,X,O,X,X,X,X
TZLSOJI,O,X,X,O,O,O,X,X,O,X,X,X,X
TZLOIJS,X,O,X,O,X,X,X,X,X,X,X,X,X
TZLOISJ,X,O,X,O,O,X,X,X,X,X,X,X,X
TZLOJIS,O,O,X,O,O,X,X,X,X,X,X,X,X
TZLOJSI,O,O,X,O,O,O,X,X,X,X,X,X,X
TZLOSIJ,O,O,X,O,O,O,X,X,O,X,X,X,X
TZLOSJI,O,X,X,O,O,O,X,X,O,X,X,X,X
TZJILSO,X,O,X,O,O,X,X,X,X,X,X,X,X
TZJILOS,X,O,X,O,O,X,X,X,X,X,X,X,X
TZJISLO,O,O,X,O,X,O,X,X,X,X,X,X,X
TZJISOL,O,O,X,O,X,O,X,X,X,X,X,O,X
TZJIOLS,X,O,X,O,O,O,X,X,X,X,X,X,X
TZJIOSL,O,O,X,O,X,O,X,X,X,X,X,O,X
TZJLISO,O,O,X,O,O,O,X,X,X,X,X,X,X
TZJLIOS,O,O,X,O,O,X,X,X,X,X,X,X,X
TZJLSIO,O,O,X,O,O,O,X,X,X,X,X,X,X
TZJLSOI,O,O,X,O,O,O,X,X,X,X,X,X,X
TZJLOIS,O,O,X,O,O,X,X,X,X,X,X,X,X
TZJLOSI,O,O,X,O,O,O,X,X,X,X,X,X,X
TZJSILO,O,O,X,O,X,O,X,X,O,X,X,X,X
TZJSIOL,O,O,X,O,X,O,X,X,O,X,X,O,X
TZJSLIO,O,O,X,O,O,O,X,X,O,X,X,X,X
TZJSLOI,O,O,X,O,O,O,X,X,O,X,X,X,X
TZJSOIL,O,O,X,O,X,O,X,X,O,X,X,O,X
TZJSOLI,O,O,X,O,O,O,X,X,O,X,X,X,X
TZJOILS,X,O,X,O,O,O,X,X,X,X,X,X,X
TZJOISL,O,O,X,O,X,O,X,X,X,X,X,O,X
TZJOLIS,O,O,X,O,O,O,X,X,X,X,X,X,X
TZJOLSI,O,O,X,O,O,O,X,X,X,X,X,X,X
TZJOSIL,O,O,X,O,X,O,X,X,O,X,X,O,X
TZJOSLI,O,O,X,O,O,O,X,X,O,X,X,X,X
TZSILJO,X,X,O,O,X,O,X,X,X,X,X,X,O
TZSILOJ,X,O,O,O,X,O,X,X,O,X,X,X,O
TZSIJLO,X,O,O,O,X,O,X,X,X,X,X,X,X
TZSIJOL,X,O,O,O,X,O,X,X,X,X,X,X,X
TZSIOLJ,O,O,O,O,O,O,X,X,O,X,O,X,X
TZSIOJL,O,O,O,O,X,O,X,X,X,X,O,X,X
TZSLIJO,X,X,X,O,O,O,X,X,X,X,X,X,O
TZSLIOJ,O,O,X,O,O,O,X,X,O,X,X,X,O
TZSLJIO,O,X,X,O,O,O,X,X,O,X,X,X,X
TZSLJOI,O,X,X,O,O,O,X,X,O,X,X,X,X
TZSLOIJ,O,O,X,O,O,O,X,X,O,X,O,X,O
TZSLOJI,O,X,X,O,O,O,X,X,O,X,O,X,X
TZSJILO,O,O,X,O,X,O,X,X,O,X,X,X,X
TZSJIOL,O,O,X,O,X,O,X,X,O,X,X,O,X
TZSJLIO,O,O,X,O,O,O,X,X,O,X,X,X,X
TZSJLOI,O,O,X,O,O,O,X,X,O,X,X,X,X
TZSJOIL,O,O,X,O,X,O,X,X,O,X,O,O,X
TZSJOLI,O,O,X,O,O,O,X,X,O,X,O,X,X
TZSOILJ,O,O,O,O,O,O,X,X,O,X,O,X,O
TZSOIJL,O,O,O,O,X,O,X,X,X,X,O,X,X
TZSOLIJ,O,O,X,O,O,O,X,X,O,X,O,X,O
TZSOLJI,O,X,X,O,O,O,X,X,O,X,O,X,X
TZSOJIL,O,O,X,O,X,O,X,X,O,X,O,O,X
TZSOJLI,O,O,X,O,O,O,X,X,O,X,O,X,X
TZOILJS,X,O,X,O,X,O,X,X,X,X,X,X,X
TZOILSJ,X,O,X,O,O,O,X,O,X,X,X,X,X
TZOIJLS,X,O,O,O,O,O,X,X,X,X,X,X,X
TZOIJSL,X,O,O,O,X,O,X,O,X,X,X,X,X
TZOISLJ,X,O,O,O,X,O,X,O,X,X,O,X,O
TZOISJL,X,O,O,O,X,O,X,O,X,X,O,X,X
TZOLIJS,X,O,X,O,X,O,X,X,X,X,X,X,X
TZOLISJ,X,O,X,O,O,O,X,X,X,X,X,X,X
TZOLJIS,O,O,X,O,O,O,X,X,X,X,X,X,X
TZOLJSI,O,O,X,O,O,O,X,X,X,X,X,X,X
TZOLSIJ,O,O,X,O,O,O,X,X,O,X,X,X,X
TZOLSJI,O,X,X,O,O,O,X,X,O,X,X,X,X
TZOJILS,X,O,X,O,O,O,X,X,X,X,X,X,X
TZOJISL,O,O,X,O,X,O,X,X,X,X,X,O,X
TZOJLIS,O,O,X,O,O,O,X,X,X,X,X,X,X
TZOJLSI,O,O,X,O,O,O,X,X,X,X,X,X,X
TZOJSIL,O,O,X,O,X,O,X,X,O,X,O,O,X
TZOJSLI,O,O,X,O,O,O,X,X,O,X,O,X,X
TZOSILJ,O,O,O,O,O,O,X,X,O,X,O,X,O
TZOSIJL,O,O,O,O,X,O,X,X,X,X,O,X,X
TZOSLIJ,O,O,X,O,O,O,X,X,O,X,O,X,O
TZOSLJI,O,X,X,O,O,O,X,X,O,X,O,X,X
TZOSJIL,O,O,X,O,X,O,X,X,O,X,O,O,X
TZOSJLI,O,O,X,O,O,O,X,X,O,X,O,X,X
TOILJSZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOILJZS,O,X,O,X,X,O,X,X,X,X,X,X,X
TOILSJZ,O,X,O,O,O,X,X,O,O,X,X,X,X
TOILSZJ,O,X,O,O,O,X,X,O,O,X,X,X,X
TOILZJS,X,X,X,O,X,O,X,X,X,X,X,X,X
TOILZSJ,X,X,X,O,O,O,X,O,X,X,X,X,X
TOIJLSZ,O,X,O,O,X,O,X,X,X,X,X,O,X
TOIJLZS,O,X,O,O,X,O,X,X,X,X,X,X,X
TOIJSLZ,O,O,O,O,X,O,X,O,O,X,X,O,X
TOIJSZL,O,O,O,O,X,O,X,O,O,X,O,O,X
TOIJZLS,X,O,O,O,X,O,X,X,X,X,X,X,X
TOIJZSL,O,O,O,O,X,O,X,O,X,X,O,O,X
TOISLJZ,O,X,O,O,O,O,X,O,O,X,X,X,O
TOISLZJ,O,X,O,X,O,O,X,O,O,X,O,X,O
TOISJLZ,O,X,O,O,O,O,X,O,O,X,X,O,X
TOISJZL,O,X,O,O,X,O,X,O,O,X,O,O,X
TOISZLJ,O,X,O,X,O,O,X,O,O,X,O,X,X
TOISZJL,O,X,O,O,X,O,X,O,X,X,O,X,X
TOIZLJS,X,O,X,O,X,O,X,X,X,X,X,X,X
TOIZLSJ,X,O,X,O,O,O,X,O,X,X,X,X,X
TOIZJLS,X,O,O,O,O,O,X,X,X,X,X,X,X
TOIZJSL,X,O,O,O,X,O,X,O,X,X,X,X,X
TOIZSLJ,X,O,O,O,X,O,X,O,X,X,O,X,X
TOIZSJL,X,O,O,O,X,O,X,O,X,X,O,X,X
TOLIJSZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOLIJZS,O,X,O,X,X,O,X,X,X,X,X,X,X
TOLISJZ,O,X,O,O,O,X,X,O,O,X,X,X,X
TOLISZJ,O,X,O,O,O,X,X,O,O,X,X,X,X
TOLIZJS,X,X,X,O,X,O,X,X,X,X,X,X,X
TOLIZSJ,X,X,X,O,O,O,X,O,X,X,X,X,X
TOLJISZ,O,X,X,O,X,O,X,X,X,O,X,O,X
TOLJIZS,O,X,X,O,X,O,X,X,X,O,X,X,X
TOLJSIZ,O,O,X,O,O,O,X,X,O,O,X,O,X
TOLJSZI,O,O,X,O,O,O,X,X,O,O,X,X,X
TOLJZIS,O,O,X,O,X,O,X,X,X,O,X,X,X
TOLJZSI,O,O,X,O,O,O,X,X,X,O,X,X,X
TOLSIJZ,O,X,O,O,O,O,X,X,O,X,X,X,X
TOLSIZJ,O,X,O,O,O,O,X,X,O,X,X,X,X
TOLSJIZ,O,X,X,O,O,O,X,X,O,X,X,O,X
TOLSJZI,O,X,X,O,O,O,X,X,O,X,X,X,X
TOLSZIJ,O,X,X,O,O,O,X,X,O,X,X,X,X
TOLSZJI,O,X,X,O,O,O,X,X,O,X,X,X,X
TOLZIJS,X,O,X,O,X,O,X,X,X,X,X,X,X
TOLZISJ,X,O,X,O,O,O,X,X,X,X,X,X,X
TOLZJIS,O,O,X,O,O,O,X,X,X,O,X,X,X
TOLZJSI,O,O,X,O,O,O,X,X,X,O,X,X,X
TOLZSIJ,O,O,X,O,O,O,X,X,O,X,X,X,X
TOLZSJI,O,X,X,O,O,O,X,X,O,X,X,X,X
TOJILSZ,O,X,O,O,X,O,X,X,X,X,X,O,X
TOJILZS,O,X,O,O,X,O,X,X,X,X,X,X,X
TOJISLZ,O,O,O,O,X,O,X,O,O,X,X,O,X
TOJISZL,O,O,O,O,X,O,X,O,O,X,O,O,X
TOJIZLS,X,O,O,O,X,O,X,X,X,X,X,X,X
TOJIZSL,O,O,O,O,X,O,X,O,X,X,O,O,X
TOJLISZ,O,X,X,O,X,O,X,X,X,O,X,O,X
TOJLIZS,O,X,X,O,X,O,X,X,X,O,X,X,X
TOJLSIZ,O,O,X,O,O,O,X,X,O,O,X,O,X
TOJLSZI,O,O,X,O,O,O,X,X,O,O,X,X,X
TOJLZIS,O,O,X,O,X,O,X,X,X,O,X,X,X
TOJLZSI,O,O,X,O,O,O,X,X,X,O,X,X,X
TOJSILZ,O,O,O,O,O,O,X,X,O,X,X,O,X
TOJSIZL,O,O,O,O,X,O,X,X,O,X,O,O,X
TOJSLIZ,O,O,X,O,O,O,X,X,O,X,X,O,X
TOJSLZI,O,O,X,O,O,O,X,X,O,X,X,X,X
TOJSZIL,O,O,X,O,X,O,X,X,O,X,O,O,X
TOJSZLI,O,O,X,O,X,O,X,X,O,X,O,X,X
TOJZILS,X,O,X,O,O,O,X,X,X,X,X,X,X
TOJZISL,O,O,X,O,X,O,X,X,X,X,X,O,X
TOJZLIS,O,O,X,O,O,O,X,X,X,O,X,X,X
TOJZLSI,O,O,X,O,O,O,X,X,X,O,X,X,X
TOJZSIL,O,O,X,O,X,O,X,X,O,X,O,O,X
TOJZSLI,O,O,X,O,O,O,X,X,O,X,O,X,X
TOSILJZ,O,X,O,O,O,O,X,O,O,X,X,X,O
TOSILZJ,O,X,O,X,O,O,X,O,O,X,O,X,O
TOSIJLZ,O,X,O,O,O,O,X,O,O,X,X,O,X
TOSIJZL,O,X,O,O,X,O,X,O,O,X,O,O,X
TOSIZLJ,O,X,O,X,O,O,X,O,O,X,O,X,X
TOSIZJL,O,X,O,O,X,O,X,O,X,X,O,X,X
TOSLIJZ,O,X,O,O,O,O,X,X,O,X,X,X,O
TOSLIZJ,O,X,O,O,O,O,X,X,O,X,O,X,O
TOSLJIZ,O,X,X,O,O,O,X,X,O,X,X,O,X
TOSLJZI,O,X,X,O,O,O,X,X,O,X,X,X,X
TOSLZIJ,O,X,X,O,O,O,X,X,O,X,O,X,O
TOSLZJI,O,X,X,O,O,O,X,X,O,X,O,X,X
TOSJILZ,O,O,O,O,O,O,X,X,O,X,X,O,X
TOSJIZL,O,O,O,O,X,O,X,X,O,X,O,O,X
TOSJLIZ,O,O,X,O,O,O,X,X,O,X,X,O,X
TOSJLZI,O,O,X,O,O,O,X,X,O,X,X,X,X
TOSJZIL,O,O,X,O,X,O,X,X,O,X,O,O,X
TOSJZLI,O,O,X,O,X,O,X,X,O,X,O,X,X
TOSZILJ,O,O,O,O,O,O,X,X,O,X,O,X,O
TOSZIJL,O,O,O,O,X,O,X,X,X,X,O,X,X
TOSZLIJ,O,O,X,O,O,O,X,X,O,X,O,X,O
TOSZLJI,O,X,X,O,O,O,X,X,O,X,O,X,X
TOSZJIL,O,O,X,O,X,O,X,X,O,X,O,O,X
TOSZJLI,O,O,X,O,O,O,X,X,O,X,O,X,X
TOZILJS,X,O,X,O,X,O,X,X,X,X,X,X,X
TOZILSJ,X,O,X,O,O,O,X,O,X,X,X,X,X
TOZIJLS,X,O,O,O,O,O,X,X,X,X,X,X,X
TOZIJSL,X,O,O,O,X,O,X,O,X,X,X,X,X
TOZISLJ,X,O,O,O,X,O,X,O,X,X,O,X,O
TOZISJL,X,O,O,O,X,O,X,O,X,X,O,X,X
TOZLIJS,X,O,X,O,X,O,X,X,X,X,X,X,X
TOZLISJ,X,O,X,O,O,O,X,X,X,X,X,X,X
TOZLJIS,O,O,X,O,O,O,X,X,X,O,X,X,X
TOZLJSI,O,O,X,O,O,O,X,X,X,O,X,X,X
TOZLSIJ,O,O,X,O,O,O,X,X,O,X,X,X,X
TOZLSJI,O,X,X,O,O,O,X,X,O,X,X,X,X
TOZJILS,X,O,X,O,O,O,X,X,X,X,X,X,X
TOZJISL,O,O,X,O,X,O,X,X,X,X,X,O,X
TOZJLIS,O,O,X,O,O,O,X,X,X,O,X,X,X
TOZJLSI,O,O,X,O,O,O,X,X,X,O,X,X,X
TOZJSIL,O,O,X,O,X,O,X,X,O,X,O,O,X
TOZJSLI,O,O,X,O,O,O,X,X,O,X,O,X,X
TOZSILJ,O,O,O,O,O,O,X,X,O,X,O,X,O
TOZSIJL,O,O,O,O,X,O,X,X,X,X,O,X,X
TOZSLIJ,O,O,X,O,O,O,X,X,O,X,O,X,O
TOZSLJI,O,X,X,O,O,O,X,X,O,X,O,X,X
TOZSJIL,O,O,X,O,X,O,X,X,O,X,O,O,X
TOZSJLI,O,O,X,O,O,O,X,X,O,X,O,X,X
ITLJSZO,O,X,O,O,X,X,O,X,X,X,X,X,X
ITLJSOZ,O,X,O,O,X,X,O,X,X,X,X,X,X
ITLJZSO,O,X,O,X,X,O,O,X,X,X,X,X,X
ITLJZOS,O,X,O,X,X,X,O,X,X,X,X,X,X
ITLJOSZ,O,X,O,O,X,X,O,X,X,X,X,X,X
ITLJOZS,O,X,O,X,X,X,O,X,X,X,X,X,X
ITLSJZO,O,X,O,O,X,X,O,O,O,X,X,X,X
ITLSJOZ,O,X,O,O,O,X,O,O,O,X,X,X,X
ITLSZJO,X,X,O,O,O,X,O,O,X,X,X,X,X
ITLSZOJ,O,X,O,O,O,X,O,O,O,X,X,X,X
ITLSOJZ,O,X,O,O,O,X,O,O,O,X,X,X,X
ITLSOZJ,O,X,O,O,O,X,O,O,O,X,X,X,X
ITLZJSO,X,X,X,O,X,O,O,X,X,X,X,X,X
ITLZJOS,X,X,X,O,X,X,O,X,X,X,X,X,X
ITLZSJO,X,X,X,O,O,O,O,O,X,X,X,X,X
ITLZSOJ,X,X,X,O,O,O,O,O,X,X,X,X,X
ITLZOJS,X,X,X,O,X,X,O,X,X,X,X,X,X
ITLZOSJ,X,X,X,O,O,X,O,O,X,X,X,X,X
ITLOJSZ,O,X,O,O,X,X,O,X,X,X,X,X,X
ITLOJZS,O,X,O,X,X,X,O,X,X,X,X,X,X
ITLOSJZ,O,X,O,O,O,X,O,O,O,X,X,X,X
ITLOSZJ,O,X,O,O,O,X,O,O,O,X,X,X,X
ITLOZJS,X,X,X,O,X,X,O,X,X,X,X,X,X
ITLOZSJ,X,X,X,O,O,X,O,O,X,X,X,X,X
ITJLSZO,O,X,O,O,X,O,O,X,X,X,X,X,X
ITJLSOZ,O,X,O,O,X,O,O,X,X,X,X,O,X
ITJLZSO,O,X,O,X,X,O,O,X,X,X,X,X,X
ITJLZOS,O,X,O,X,X,X,O,X,X,X,X,X,X
ITJLOSZ,O,X,O,O,X,O,O,X,X,X,X,O,X
ITJLOZS,O,X,O,O,X,O,O,X,X,X,X,X,X
ITJSLZO,O,O,O,X,X,O,X,O,O,X,X,X,X
ITJSLOZ,O,O,O,O,X,O,X,O,O,X,X,O,X
ITJSZLO,O,O,O,X,X,O,X,O,O,X,X,X,X
ITJSZOL,O,O,O,O,X,O,X,O,O,X,X,O,X
ITJSOLZ,O,O,O,O,X,O,X,O,O,X,X,O,X
ITJSOZL,O,O,O,O,X,O,X,O,O,X,X,O,X
ITJZLSO,X,O,O,O,X,X,O,X,X,X,X,X,X
ITJZLOS,X,O,O,O,X,X,X,X,X,X,X,X,X
ITJZSLO,O,O,O,O,X,O,O,O,X,X,X,X,X
ITJZSOL,O,O,O,O,X,O,O,O,X,X,X,O,X
ITJZOLS,X,O,O,O,X,O,X,X,X,X,X,X,X
ITJZOSL,O,O,O,O,X,O,O,O,X,X,X,O,X
