sequence,v115@9gA8IeA8HeB8FeD8BeA8CeC8Je5EJvhFigB3hBFjBc?qBOsBTrB,v115@9gA8IeA8HeB8FeD8BeA8CeC8Je5EJvhFigBFiBXjBc?qBOrBzrB,v115@9gA8IeA8HeB8FeD8BeA8CeC8JeCAJvhFxhBXjBllBc?rBesBzpB,v115@9gA8IeA8HeB8FeD8BeA8CeC8JeRAJvhFUiBFjBGlBK?rBfsBzpB,v115@9gA8IeA8HeB8FeD8BeA8CeC8JeCAJvhFxhBXjB0lBm?mBzpB1wB,v115@9gA8IeA8HeB8FeD8BeA8CeC8JeRAJvhFUiBFjBClBO?rBXqBzrB
TOJSZIL,O,O,O,X,O,O
TOJSZLI,O,O,O,O,O,O
TOJZILS,O,O,O,O,O,O
TOJZISL,O,O,O,X,O,O
TOJZLIS,O,O,O,O,O,O
TOJZLSI,O,O,O,O,O,O
TOJZSIL,O,O,O,X,O,O
TOJZSLI,O,O,O,O,O,O
TOSILJZ,X,X,O,O,O,O
TOSILZJ,O,O,X,O,O,O
TOSIJLZ,X,O,O,X,O,O
TOSIJZL,O,O,O,X,O,O
TOSIZLJ,O,O,X,O,O,O
TOSIZJL,O,O,X,X,O,X
TOSLIJZ,X,X,O,O,O,O
TOSLIZJ,O,O,X,O,O,O
TOSLJIZ,X,X,O,O,O,O
TOSLJZI,X,X,O,O,O,O
TOSLZIJ,O,O,X,O,O,O
TOSLZJI,O,O,O,O,O,O
TOSJILZ,X,O,O,O,O,O
TOSJIZL,O,O,O,X,O,O
TOSJLIZ,X,O,O,O,O,O
TOSJLZI,X,O,O,O,O,O
TOSJZIL,O,O,O,X,O,O
TOSJZLI,O,O,O,O,O,O
TOSZILJ,O,O,X,O,O,O
TOSZIJL,O,O,X,X,O,X
TOSZLIJ,O,O,X,O,O,O
TOSZLJI,O,O,O,O,O,O
TOSZJIL,O,O,O,X,O,O
TOSZJLI,O,O,O,O,O,O
TOZILJS,O,O,O,X,O,X
TOZILSJ,O,O,X,X,O,X
TOZIJLS,O,O,O,X,O,X
TOZIJSL,O,O,O,X,O,X
TOZISLJ,O,O,X,O,O,O
TOZISJL,O,O,X,X,O,X
TOZLIJS,O,O,O,X,O,X
TOZLISJ,O,O,X,O,O,X
TOZLJIS,O,O,O,O,O,X
TOZLJSI,O,O,O,O,O,X
TOZLSIJ,O,O,X,O,O,O
TOZLSJI,O,O,O,O,O,O
TOZJILS,O,O,O,O,O,O
TOZJISL,O,O,O,X,O,O
TOZJLIS,O,O,O,O,O,O
TOZJLSI,O,O,O,O,O,O
TOZJSIL,O,O,O,X,O,O
TOZJSLI,O,O,O,O,O,O
TOZSILJ,O,O,X,O,O,O
TOZSIJL,O,O,X,X,O,X
TOZSLIJ,O,O,X,O,O,O
TOZSLJI,O,O,O,O,O,O
TOZSJIL,O,O,O,X,O,O
TOZSJLI,O,O,O,O,O,O
ITLJSZO,O,X,O,O,X,X
ITLJSOZ,X,X,X,O,X,X
ITLJZSO,O,X,O,O,X,X
ITLJZOS,O,X,O,X,X,X
ITLJOSZ,O,X,X,O,X,X
ITLJOZS,O,X,X,X,X,X
ITLSJZO,X,X,O,O,X,X
ITLSJOZ,X,X,X,O,X,X
ITLSZJO,X,X,X,O,X,X
ITLSZOJ,X,X,X,O,X,X
ITLSOJZ,X,X,X,O,X,X
ITLSOZJ,X,X,X,O,X,X
ITLZJSO,O,X,O,X,X,X
ITLZJOS,O,X,O,X,X,X
ITLZSJO,O,X,X,O,X,X
ITLZSOJ,O,X,X,O,X,X
ITLZOJS,O,X,X,X,X,X
ITLZOSJ,O,X,X,X,X,X
ITLOJSZ,X,X,X,O,X,X
ITLOJZS,X,X,X,O,X,X
ITLOSJZ,X,X,X,O,X,X
ITLOSZJ,O,X,X,O,X,X
ITLOZJS,O,X,X,X,X,X
ITLOZSJ,O,X,X,O,X,X
ITJLSZO,O,O,O,O,O,X
ITJLSOZ,X,X,X,O,O,X
ITJLZSO,O,O,O,O,O,O
ITJLZOS,O,O,O,X,O,X
ITJLOSZ,O,X,X,O,O,X
ITJLOZS,O,X,X,X,O,X
ITJSLZO,O,O,O,O,O,O
ITJSLOZ,X,X,X,O,O,O
ITJSZLO,O,O,X,X,O,O
ITJSZOL,O,O,X,X,O,O
ITJSOLZ,O,X,X,X,O,X
ITJSOZL,O,O,X,X,O,O
ITJZLSO,O,O,X,O,O,O
ITJZLOS,O,O,X,X,O,X
ITJZSLO,O,O,X,X,O,O
ITJZSOL,O,O,X,X,O,O
ITJZOLS,O,O,X,X,O,X
ITJZOSL,O,O,X,X,O,O
ITJOLSZ,O,X,X,O,O,X
ITJOLZS,O,X,X,X,O,X
ITJOSLZ,O,X,X,X,O,X
ITJOSZL,O,O,X,X,O,X
ITJOZLS,O,O,X,X,O,X
ITJOZSL,O,O,X,X,O,O
ITSLJZO,X,O,O,O,O,O
ITSLJOZ,X,X,X,O,O,O
ITSLZJO,X,O,X,O,O,O
ITSLZOJ,X,O,X,O,O,O
ITSLOJZ,X,X,X,O,O,O
ITSLOZJ,X,O,X,O,O,O
ITSJLZO,O,O,O,X,O,O
ITSJLOZ,X,X,X,X,O,O
ITSJZLO,O,O,X,X,O,O
ITSJZOL,O,O,X,X,O,O
ITSJOLZ,O,X,X,X,O,X
ITSJOZL,O,O,X,X,O,O
ITSZLJO,O,O,X,O,O,O
ITSZLOJ,O,O,X,O,O,O
ITSZJLO,O,O,X,X,O,X
ITSZJOL,O,O,X,X,O,X
ITSZOLJ,O,O,X,O,O,X
ITSZOJL,O,O,X,X,O,X
ITSOLJZ,X,X,X,O,O,O
ITSOLZJ,O,O,X,O,O,O
ITSOJLZ,X,O,X,X,O,O
ITSOJZL,O,O,X,X,O,O
ITSOZLJ,O,O,X,O,O,O
ITSOZJL,O,O,X,X,O,X
ITZLJSO,O,O,O,X,O,X
ITZLJOS,O,O,O,X,O,X
ITZLSJO,O,O,X,X,O,X
ITZLSOJ,O,O,X,X,O,X
ITZLOJS,O,O,X,X,X,X
ITZLOSJ,O,O,X,X,X,X
ITZJLSO,O,O,O,X,O,O
ITZJLOS,O,O,O,X,O,X
ITZJSLO,O,O,O,X,O,O
ITZJSOL,O,O,O,X,O,O
ITZJOLS,O,O,O,X,O,X
ITZJOSL,O,O,O,X,O,O
ITZSLJO,O,O,X,O,O,O
ITZSLOJ,O,O,X,O,O,O
ITZSJLO,O,O,X,X,O,X
ITZSJOL,O,O,X,X,O,X
ITZSOLJ,O,O,X,O,O,X
ITZSOJL,O,O,X,X,X,X
ITZOLJS,O,O,X,X,X,X
ITZOLSJ,O,O,X,X,X,X
ITZOJLS,O,O,X,X,X,X
ITZOJSL,O,O,X,X,X,X
ITZOSLJ,O,O,X,O,X,O
ITZOSJL,O,O,X,X,X,X
ITOLJSZ,X,X,X,O,O,X
ITOLJZS,X,X,X,O,O,X
ITOLSJZ,X,X,X,O,O,X
ITOLSZJ,O,O,X,O,O,X
ITOLZJS,O,O,X,X,O,X
ITOLZSJ,O,O,X,O,O,X
ITOJLSZ,O,O,X,O,O,X
ITOJLZS,O,O,X,O,O,O
ITOJSLZ,O,O,X,O,O,O
ITOJSZL,O,O,X,X,O,O
ITOJZLS,O,O,X,O,O,O
ITOJZSL,O,O,X,X,O,O
ITOSLJZ,X,X,X,O,O,O
ITOSLZJ,O,O,X,O,O,O
ITOSJLZ,X,O,X,X,O,O
ITOSJZL,O,O,X,X,O,O
ITOSZLJ,O,O,X,O,O,O
ITOSZJL,O,O,X,X,O,X
ITOZLJS,O,O,X,X,O,X
ITOZLSJ,O,O,X,X,O,X
ITOZJLS,O,O,X,X,O,X
ITOZJSL,O,O,X,X,O,X
ITOZSLJ,O,O,X,O,O,O
ITOZSJL,O,O,X,X,O,X
ILTJSZO,O,X,X,O,X,X
ILTJSOZ,X,X,X,O,X,X
ILTJZSO,O,X,X,O,X,X
ILTJZOS,O,X,X,X,X,X
ILTJOSZ,O,X,X,O,X,X
ILTJOZS,O,X,X,X,X,X
ILTSJZO,X,X,X,O,X,X
ILTSJOZ,X,X,X,O,X,X
ILTSZJO,X,X,X,O,X,X
ILTSZOJ,X,X,X,O,X,X
ILTSOJZ,X,X,X,O,X,X
ILTSOZJ,X,X,X,O,X,X
ILTZJSO,O,X,X,X,X,X
ILTZJOS,O,X,X,X,X,X
ILTZSJO,O,X,X,O,X,X
ILTZSOJ,O,X,X,O,X,X
ILTZOJS,O,X,X,X,X,X
ILTZOSJ,O,X,X,X,X,X
ILTOJSZ,X,X,X,O,X,X
ILTOJZS,X,X,X,O,X,X
ILTOSJZ,X,X,X,O,X,X
ILTOSZJ,O,X,X,O,X,X
ILTOZJS,O,X,X,X,X,X
ILTOZSJ,O,X,X,O,X,X
ILJTSZO,O,O,X,O,X,X
ILJTSOZ,X,X,X,O,X,X
ILJTZSO,O,O,X,O,X,X
ILJTZOS,O,O,X,X,X,X
ILJTOSZ,O,X,X,O,X,X
ILJTOZS,O,X,X,X,X,X
ILJSTZO,O,O,X,O,X,X
ILJSTOZ,X,X,X,O,X,X
ILJSZTO,O,O,X,O,X,X
ILJSZOT,O,O,X,O,X,X
ILJSOTZ,X,X,X,O,X,X
ILJSOZT,X,X,X,O,X,X
ILJZTSO,O,O,X,O,X,X
ILJZTOS,O,O,X,X,X,X
ILJZSTO,O,O,X,O,X,X
ILJZSOT,O,O,X,O,X,X
ILJZOTS,O,O,X,X,X,X
ILJZOST,O,O,X,X,X,X
ILJOTSZ,O,X,X,O,X,X
ILJOTZS,O,X,X,X,X,X
ILJOSTZ,O,X,X,O,X,X
ILJOSZT,O,X,X,O,X,X
ILJOZTS,O,X,X,X,X,X
ILJOZST,O,X,X,X,X,X
ILSTJZO,X,O,X,O,X,X
ILSTJOZ,X,X,X,O,X,X
ILSTZJO,X,O,X,O,X,X
ILSTZOJ,X,O,X,O,X,X
ILSTOJZ,X,X,X,O,X,X
ILSTOZJ,X,O,X,O,X,X
ILSJTZO,X,O,X,O,X,X
ILSJTOZ,X,X,X,O,X,X
ILSJZTO,X,O,X,O,X,X
ILSJZOT,X,O,X,O,X,X
ILSJOTZ,X,X,X,O,X,X
ILSJOZT,X,X,X,O,X,X
ILSZTJO,X,O,X,O,X,X
ILSZTOJ,X,O,X,O,X,X
ILSZJTO,X,O,X,O,X,X
ILSZJOT,X,O,X,O,X,X
ILSZOTJ,X,O,X,O,X,X
ILSZOJT,X,O,X,O,X,X
ILSOTJZ,X,X,X,O,X,X
ILSOTZJ,X,O,X,O,X,X
ILSOJTZ,X,O,X,O,X,X
ILSOJZT,X,O,X,O,X,X
ILSOZTJ,X,O,X,O,X,X
ILSOZJT,X,O,X,O,X,X
ILZTJSO,O,O,X,X,X,X
ILZTJOS,O,O,X,X,X,X
ILZTSJO,O,O,X,O,X,X
ILZTSOJ,O,O,X,O,X,X
ILZTOJS,O,O,X,X,X,X
ILZTOSJ,O,O,X,X,X,X
ILZJTSO,O,O,X,X,X,X
ILZJTOS,O,O,X,X,X,X
ILZJSTO,O,O,X,X,X,X
ILZJSOT,O,O,X,X,X,X
ILZJOTS,O,O,X,X,X,X
ILZJOST,O,O,X,X,X,X
ILZSTJO,O,O,X,O,X,X
ILZSTOJ,O,O,X,O,X,X
ILZSJTO,O,O,X,O,X,X
ILZSJOT,O,O,X,X,X,X
ILZSOTJ,O,O,X,O,X,X
ILZSOJT,O,O,X,X,X,X
ILZOTJS,O,O,X,X,X,X
ILZOTSJ,O,O,X,X,X,X
ILZOJTS,O,O,X,X,X,X
ILZOJST,O,O,X,X,X,X
ILZOSTJ,O,O,X,X,X,X
ILZOSJT,O,O,X,X,X,X
ILOTJSZ,X,X,X,O,X,X
ILOTJZS,X,X,X,O,X,X
ILOTSJZ,X,X,X,O,X,X
ILOTSZJ,O,O,X,O,X,X
ILOTZJS,O,O,X,X,X,X
ILOTZSJ,O,O,X,O,X,X
ILOJTSZ,O,O,X,O,X,X
ILOJTZS,O,O,X,O,X,X
ILOJSTZ,O,O,X,O,X,X
ILOJSZT,O,O,X,O,X,X
ILOJZTS,O,O,X,O,X,X
ILOJZST,O,O,X,O,X,X
ILOSTJZ,X,X,X,O,X,X
ILOSTZJ,O,O,X,O,X,X
ILOSJTZ,X,O,X,O,X,X
ILOSJZT,X,O,X,O,X,X
ILOSZTJ,O,O,X,O,X,X
ILOSZJT,O,O,X,O,X,X
ILOZTJS,O,O,X,X,X,X
ILOZTSJ,O,O,X,O,X,X
ILOZJTS,O,O,X,X,X,X
ILOZJST,O,O,X,X,X,X
ILOZSTJ,O,O,X,O,X,X
ILOZSJT,O,O,X,O,X,X
IJTLSZO,O,O,O,O,X,X
IJTLSOZ,X,X,X,O,X,X
IJTLZSO,O,O,O,O,X,O
IJTLZOS,O,O,O,X,X,X
IJTLOSZ,O,X,X,O,X,X
IJTLOZS,O,X,X,X,X,X
IJTSLZO,O,O,O,O,X,O
IJTSLOZ,X,X,X,O,X,O
IJTSZLO,O,O,O,X,X,O
IJTSZOL,O,O,O,X,X,O
IJTSOLZ,O,X,O,X,X,X
IJTSOZL,O,O,O,X,X,O
IJTZLSO,O,O,O,O,X,O
IJTZLOS,O,O,O,X,X,X
IJTZSLO,O,O,O,X,X,O
IJTZSOL,O,O,O,X,X,O
IJTZOLS,O,O,O,X,X,X
IJTZOSL,O,O,O,X,X,O
IJTOLSZ,O,X,O,O,X,X
IJTOLZS,O,X,X,X,X,X
IJTOSLZ,O,X,O,X,X,X
IJTOSZL,O,O,O,X,X,X
IJTOZLS,O,O,O,X,X,X
IJTOZSL,O,O,O,X,X,O
IJLTSZO,O,O,X,O,X,X
IJLTSOZ,X,X,X,O,X,X
IJLTZSO,O,O,X,O,X,O
IJLTZOS,O,O,X,X,X,X
IJLTOSZ,O,X,X,O,X,X
IJLTOZS,O,X,X,X,X,X
IJLSTZO,O,O,X,O,X,X
IJLSTOZ,X,X,X,O,X,X
IJLSZTO,O,O,O,O,X,X
IJLSZOT,O,O,O,O,X,X
IJLSOTZ,X,X,O,O,X,X
IJLSOZT,X,X,O,O,X,X
IJLZTSO,O,O,O,O,X,O
IJLZTOS,O,O,O,X,X,X
IJLZSTO,O,O,O,O,X,X
IJLZSOT,O,O,O,O,X,X
IJLZOTS,O,O,O,X,X,X
IJLZOST,O,O,O,X,X,X
IJLOTSZ,O,X,O,O,X,X
IJLOTZS,O,X,X,X,X,X
IJLOSTZ,O,X,O,O,X,X
IJLOSZT,O,X,O,O,X,X
IJLOZTS,O,X,O,X,X,X
IJLOZST,O,X,O,X,X,X
IJSTLZO,O,O,O,O,X,O
IJSTLOZ,X,X,X,O,X,O
IJSTZLO,O,O,O,X,X,O
IJSTZOL,O,O,O,X,X,O
IJSTOLZ,O,X,O,X,X,X
IJSTOZL,O,O,O,X,X,O
IJSLTZO,O,O,X,O,X,O
IJSLTOZ,X,X,X,O,X,O
IJSLZTO,O,O,O,O,X,O
IJSLZOT,O,O,O,O,X,O
IJSLOTZ,X,X,O,O,X,O
IJSLOZT,X,X,O,O,X,O
IJSZTLO,O,O,O,X,X,O
IJSZTOL,O,O,O,X,X,O
IJSZLTO,O,O,O,X,X,O
IJSZLOT,O,O,O,X,X,O
IJSZOTL,O,O,O,X,X,O
IJSZOLT,O,O,O,X,X,X
IJSOTLZ,O,O,O,X,X,X
IJSOTZL,O,O,O,X,X,O
IJSOLTZ,O,O,O,X,X,X
IJSOLZT,O,O,O,X,X,X
IJSOZTL,O,O,O,X,X,O
IJSOZLT,O,O,O,X,X,X
IJZTLSO,O,O,O,O,X,O
IJZTLOS,O,O,O,X,X,X
IJZTSLO,O,O,O,X,X,O
IJZTSOL,O,O,O,X,X,O
IJZTOLS,O,O,O,X,X,X
IJZTOSL,O,O,O,X,X,O
IJZLTSO,O,O,O,O,X,O
IJZLTOS,O,O,O,X,X,X
IJZLSTO,O,O,O,O,X,X
IJZLSOT,O,O,O,O,X,X
IJZLOTS,O,O,O,X,X,X
IJZLOST,O,O,O,X,X,X
IJZSTLO,O,O,O,X,X,O
IJZSTOL,O,O,O,X,X,O
IJZSLTO,O,O,O,X,X,O
IJZSLOT,O,O,O,X,X,O
IJZSOTL,O,O,O,X,X,O
IJZSOLT,O,O,O,X,X,X
IJZOTLS,O,O,O,X,X,X
IJZOTSL,O,O,O,X,X,O
IJZOLTS,O,O,O,X,X,X
IJZOLST,O,O,O,X,X,X
IJZOSTL,O,O,O,X,X,X
IJZOSLT,O,O,O,X,X,X
IJOTLSZ,O,O,O,O,X,X
IJOTLZS,O,O,O,X,X,X
IJOTSLZ,O,O,O,X,X,X
IJOTSZL,O,O,O,X,X,X
IJOTZLS,O,O,O,X,X,X
IJOTZSL,O,O,O,X,X,O
IJOLTSZ,O,O,O,O,X,X
IJOLTZS,O,O,O,X,X,X
IJOLSTZ,O,O,O,O,X,X
IJOLSZT,O,O,O,O,X,X
IJOLZTS,O,O,O,X,X,X
IJOLZST,O,O,O,X,X,X
IJOSTLZ,O,O,O,X,X,X
IJOSTZL,O,O,O,X,X,X
IJOSLTZ,O,O,O,X,X,X
IJOSLZT,O,O,O,X,X,X
IJOSZTL,O,O,O,X,X,X
IJOSZLT,O,O,O,X,X,X
IJOZTLS,O,O,O,X,X,X
IJOZTSL,O,O,O,X,X,O
IJOZLTS,O,O,O,X,X,X
IJOZLST,O,O,O,X,X,X
IJOZSTL,O,O,O,X,X,X
IJOZSLT,O,O,O,X,X,X
ISTLJZO,X,O,O,O,O,O
ISTLJOZ,X,X,X,O,O,O
ISTLZJO,X,O,X,O,O,O
ISTLZOJ,X,O,X,O,O,O
ISTLOJZ,X,X,X,O,O,O
ISTLOZJ,X,O,X,O,O,O
ISTJLZO,O,O,O,X,O,O
ISTJLOZ,X,X,X,X,O,O
ISTJZLO,O,O,O,X,O,O
ISTJZOL,O,O,O,X,O,O
ISTJOLZ,O,X,O,X,O,X
ISTJOZL,O,O,O,X,O,O
ISTZLJO,O,O,X,O,O,O
ISTZLOJ,O,O,X,O,O,O
ISTZJLO,O,O,X,X,O,X
ISTZJOL,O,O,X,X,O,X
ISTZOLJ,O,O,X,O,O,X
ISTZOJL,O,O,X,X,O,X
ISTOLJZ,X,X,O,O,O,O
ISTOLZJ,O,O,X,O,O,O
ISTOJLZ,X,O,O,X,O,O
ISTOJZL,O,O,O,X,O,O
ISTOZLJ,O,O,X,O,O,O
ISTOZJL,O,O,X,X,O,X
ISLTJZO,X,O,X,O,O,O
ISLTJOZ,X,X,X,O,O,O
ISLTZJO,X,O,X,O,O,O
ISLTZOJ,X,O,X,O,O,O
ISLTOJZ,X,X,X,O,O,O
ISLTOZJ,X,O,X,O,O,O
ISLJTZO,X,O,X,O,X,O
ISLJTOZ,X,X,X,O,X,O
ISLJZTO,X,O,O,O,X,O
ISLJZOT,X,O,O,O,X,O
ISLJOTZ,X,X,O,O,X,O
ISLJOZT,X,X,O,O,X,O
ISLZTJO,X,O,X,O,O,O
ISLZTOJ,X,O,X,O,O,O
ISLZJTO,X,O,X,O,O,O
ISLZJOT,X,O,X,O,X,O
ISLZOTJ,X,O,X,O,O,O
ISLZOJT,X,O,X,O,X,O
ISLOTJZ,X,X,O,O,O,O
ISLOTZJ,X,O,X,O,O,O
ISLOJTZ,X,O,O,O,O,O
ISLOJZT,X,O,O,O,O,O
ISLOZTJ,X,O,X,O,O,O
ISLOZJT,X,O,O,O,O,O
ISJTLZO,O,O,O,X,O,O
ISJTLOZ,X,X,X,X,O,O
ISJTZLO,O,O,O,X,O,O
ISJTZOL,O,O,O,X,O,O
ISJTOLZ,O,X,O,X,O,X
ISJTOZL,O,O,O,X,O,O
ISJLTZO,O,O,X,X,X,O
ISJLTOZ,X,X,X,X,X,O
ISJLZTO,O,O,O,X,X,O
ISJLZOT,O,O,O,X,X,O
ISJLOTZ,X,X,O,X,X,O
ISJLOZT,X,X,O,X,X,O
ISJZTLO,O,O,O,X,X,O
ISJZTOL,O,O,O,X,X,O
ISJZLTO,O,O,O,X,O,O
ISJZLOT,O,O,O,X,X,O
ISJZOTL,O,O,O,X,X,O
ISJZOLT,O,O,O,X,X,X
ISJOTLZ,O,O,O,X,O,X
ISJOTZL,O,O,O,X,O,O
ISJOLTZ,O,O,O,X,O,X
ISJOLZT,O,O,O,X,O,X
ISJOZTL,O,O,O,X,X,O
ISJOZLT,O,O,O,X,O,X
ISZTLJO,O,O,X,O,O,O
ISZTLOJ,O,O,X,O,O,O
ISZTJLO,O,O,X,X,O,X
ISZTJOL,O,O,X,X,O,X
ISZTOLJ,O,O,X,O,O,X
ISZTOJL,O,O,X,X,O,X
ISZLTJO,O,O,X,O,O,O
ISZLTOJ,O,O,X,O,O,O
ISZLJTO,O,O,X,O,O,O
ISZLJOT,O,O,X,O,X,X
ISZLOTJ,O,O,X,O,O,O
ISZLOJT,O,O,X,O,X,X
ISZJTLO,O,O,O,X,X,X
ISZJTOL,O,O,O,X,X,X
ISZJLTO,O,O,O,X,O,X
ISZJLOT,O,O,O,X,X,X
ISZJOTL,O,O,O,X,X,X
ISZJOLT,O,O,O,X,X,X
ISZOTLJ,O,O,X,O,O,X
ISZOTJL,O,O,X,X,O,X
ISZOLTJ,O,O,X,O,O,X
ISZOLJT,O,O,O,O,O,X
ISZOJTL,O,O,O,X,X,X
ISZOJLT,O,O,O,X,O,X
ISOTLJZ,X,X,O,O,O,O
ISOTLZJ,O,O,X,O,O,O
ISOTJLZ,X,O,O,X,O,O
ISOTJZL,O,O,O,X,O,O
ISOTZLJ,O,O,X,O,O,O
ISOTZJL,O,O,X,X,O,X
ISOLTJZ,X,X,O,O,O,O
ISOLTZJ,O,O,X,O,O,O
ISOLJTZ,X,O,O,O,O,O
ISOLJZT,X,O,O,O,O,O
ISOLZTJ,O,O,X,O,O,O
ISOLZJT,O,O,O,O,O,O
ISOJTLZ,O,O,O,X,O,O
ISOJTZL,O,O,O,X,O,O
ISOJLTZ,O,O,O,X,O,O
ISOJLZT,O,O,O,X,O,O
ISOJZTL,O,O,O,X,X,O
ISOJZLT,O,O,O,X,O,O
ISOZTLJ,O,O,X,O,O,O
ISOZTJL,O,O,X,X,O,X
ISOZLTJ,O,O,X,O,O,O
ISOZLJT,O,O,O,O,O,O
ISOZJTL,O,O,O,X,X,X
ISOZJLT,O,O,O,X,O,X
IZTLJSO,O,O,O,X,O,X
IZTLJOS,O,O,O,X,O,X
IZTLSJO,O,O,X,X,O,X
IZTLSOJ,O,O,X,X,O,X
IZTLOJS,O,O,X,X,X,X
IZTLOSJ,O,O,X,X,X,X
IZTJLSO,O,O,O,X,O,O
IZTJLOS,O,O,O,X,O,X
IZTJSLO,O,O,O,X,O,O
IZTJSOL,O,O,O,X,O,O
IZTJOLS,O,O,O,X,O,X
IZTJOSL,O,O,O,X,O,O
IZTSLJO,O,O,X,O,O,O
IZTSLOJ,O,O,X,O,O,O
IZTSJLO,O,O,X,X,O,X
IZTSJOL,O,O,X,X,O,X
IZTSOLJ,O,O,X,O,O,X
IZTSOJL,O,O,X,X,X,X
IZTOLJS,O,O,X,X,X,X
IZTOLSJ,O,O,X,X,X,X
IZTOJLS,O,O,X,X,X,X
IZTOJSL,O,O,X,X,X,X
IZTOSLJ,O,O,X,O,X,O
IZTOSJL,O,O,X,X,X,X
IZLTJSO,O,O,X,X,O,X
IZLTJOS,O,O,X,X,O,X
IZLTSJO,O,O,X,X,O,X
IZLTSOJ,O,O,X,X,O,X
IZLTOJS,O,O,X,X,X,X
IZLTOSJ,O,O,X,X,X,X
IZLJTSO,O,O,X,X,X,X
IZLJTOS,O,O,X,X,X,X
IZLJSTO,O,O,X,X,X,X
IZLJSOT,O,O,X,X,X,X
IZLJOTS,O,O,X,X,X,X
IZLJOST,O,O,X,X,X,X
IZLSTJO,O,O,X,X,O,X
IZLSTOJ,O,O,X,X,O,X
IZLSJTO,O,O,X,X,O,X
IZLSJOT,O,O,X,X,X,X
IZLSOTJ,O,O,X,X,O,X
IZLSOJT,O,O,X,X,X,X
IZLOTJS,O,O,X,X,X,X
IZLOTSJ,O,O,X,X,X,X
IZLOJTS,O,O,X,X,X,X
IZLOJST,O,O,X,X,X,X
IZLOSTJ,O,O,X,X,X,X
IZLOSJT,O,O,X,X,X,X
IZJTLSO,O,O,O,X,X,O
IZJTLOS,O,O,O,X,X,X
IZJTSLO,O,O,O,X,X,O
IZJTSOL,O,O,O,X,X,O
IZJTOLS,O,O,O,X,X,X
IZJTOSL,O,O,O,X,X,O
IZJLTSO,O,O,O,X,X,O
IZJLTOS,O,O,O,X,X,X
IZJLSTO,O,O,O,X,X,X
IZJLSOT,O,O,O,X,X,X
IZJLOTS,O,O,O,X,X,X
IZJLOST,O,O,O,X,X,X
IZJSTLO,O,O,O,X,X,O
IZJSTOL,O,O,O,X,X,O
IZJSLTO,O,O,O,X,X,O
IZJSLOT,O,O,O,X,X,O
IZJSOTL,O,O,O,X,X,O
IZJSOLT,O,O,O,X,X,X
IZJOTLS,O,O,O,X,X,X
IZJOTSL,O,O,O,X,X,O
IZJOLTS,O,O,O,X,X,X
IZJOLST,O,O,O,X,X,X
IZJOSTL,O,O,O,X,X,X
IZJOSLT,O,O,O,X,X,X
IZSTLJO,O,O,X,O,O,O
IZSTLOJ,O,O,X,O,O,O
IZSTJLO,O,O,X,X,O,X
IZSTJOL,O,O,X,X,O,X
IZSTOLJ,O,O,X,O,O,X
IZSTOJL,O,O,X,X,X,X
IZSLTJO,O,O,X,O,O,O
IZSLTOJ,O,O,X,O,O,O
IZSLJTO,O,O,X,O,O,O
IZSLJOT,O,O,X,O,X,X
IZSLOTJ,O,O,X,O,O,O
IZSLOJT,O,O,X,O,X,X
IZSJTLO,O,O,X,X,X,X
IZSJTOL,O,O,X,X,X,X
IZSJLTO,O,O,X,X,O,X
IZSJLOT,O,O,X,X,X,X
IZSJOTL,O,O,X,X,X,X
IZSJOLT,O,O,X,X,X,X
IZSOTLJ,O,O,X,O,X,X
IZSOTJL,O,O,X,X,X,X
IZSOLTJ,O,O,X,O,O,X
IZSOLJT,O,O,X,O,X,X
IZSOJTL,O,O,X,X,X,X
IZSOJLT,O,O,X,X,X,X
IZOTLJS,O,O,O,X,X,X
IZOTLSJ,O,O,X,X,X,X
IZOTJLS,O,O,O,X,X,X
IZOTJSL,O,O,O,X,X,X
IZOTSLJ,O,O,X,O,X,O
IZOTSJL,O,O,X,X,X,X
IZOLTJS,O,O,X,X,X,X
IZOLTSJ,O,O,X,X,X,X
IZOLJTS,O,O,O,X,X,X
IZOLJST,O,O,O,X,X,X
IZOLSTJ,O,O,X,X,X,X
IZOLSJT,O,O,X,X,X,X
IZOJTLS,O,O,O,X,X,X
IZOJTSL,O,O,O,X,X,X
IZOJLTS,O,O,O,X,X,X
IZOJLST,O,O,O,X,X,X
IZOJSTL,O,O,O,X,X,X
IZOJSLT,O,O,O,X,X,X
IZOSTLJ,O,O,X,O,X,O
IZOSTJL,O,O,X,X,X,X
IZOSLTJ,O,O,X,O,X,O
IZOSLJT,O,O,X,O,X,O
IZOSJTL,O,O,X,X,X,X
IZOSJLT,O,O,X,X,X,X
IOTLJSZ,X,X,O,O,O,X
IOTLJZS,X,X,O,O,O,X
IOTLSJZ,X,X,O,O,O,X
IOTLSZJ,O,O,X,O,O,X
IOTLZJS,O,O,O,X,O,X
IOTLZSJ,O,O,X,O,O,X
IOTJLSZ,O,O,O,O,O,X
IOTJLZS,O,O,O,O,O,O
IOTJSLZ,O,O,O,O,O,O
IOTJSZL,O,O,X,X,O,O
IOTJZLS,O,O,X,O,O,O
IOTJZSL,O,O,X,X,O,O
IOTSLJZ,X,X,O,O,O,O
IOTSLZJ,O,O,X,O,O,O
IOTSJLZ,X,O,O,X,O,O
IOTSJZL,O,O,X,X,O,O
IOTSZLJ,O,O,X,O,O,O
IOTSZJL,O,O,X,X,O,X
