sequence,v115@GhA8HeB8FeG8EeB8Jex/IvhF0hBliBTkB/qBarBWxB,v115@GhA8HeB8FeG8EeB8JeKEJvhFzfBRhB3iBFmB0qBWxB,v115@GhA8HeB8FeG8EeB8JeOEJvhFxgBliBzkBqqB/rBUsB,v115@GhA8HeB8FeG8EeB8Jei/IvhF3gBRiB1pB8qB+rBTsB,v115@GhA8HeB8FeG8EeB8JeT/IvhFymBxpB0rB/qBusBFrB
TSLJOZI,O,O,O,X,X
TSLZIJO,O,O,O,O,X
TSLZIOJ,O,O,O,O,X
TSLZJIO,O,O,O,O,X
TSLZJOI,O,O,X,O,X
TSLZOIJ,O,O,O,O,X
TSLZOJI,O,O,O,O,X
TSLOIJZ,O,O,O,X,X
TSLOIZJ,O,O,O,O,X
TSLOJIZ,O,O,O,X,X
TSLOJZI,O,O,O,X,X
TSLOZIJ,O,O,O,O,X
TSLOZJI,O,O,O,O,X
TSJILZO,O,O,O,O,X
TSJILOZ,O,O,O,X,X
TSJIZLO,O,O,O,O,X
TSJIZOL,O,X,X,O,X
TSJIOLZ,O,O,O,X,X
TSJIOZL,O,X,X,X,X
TSJLIZO,O,O,O,O,X
TSJLIOZ,O,O,O,X,X
TSJLZIO,O,O,O,O,X
TSJLZOI,O,O,X,O,X
TSJLOIZ,O,O,O,X,X
TSJLOZI,O,O,O,X,X
TSJZILO,O,O,O,O,X
TSJZIOL,O,O,X,O,X
TSJZLIO,O,O,O,O,X
TSJZLOI,O,O,X,O,X
TSJZOIL,O,O,X,O,X
TSJZOLI,O,O,X,O,X
TSJOILZ,O,O,O,X,X
TSJOIZL,O,X,X,X,X
TSJOLIZ,O,O,O,X,X
TSJOLZI,O,O,O,X,X
TSJOZIL,O,X,X,X,X
TSJOZLI,O,X,X,X,X
TSZILJO,O,O,O,O,X
TSZILOJ,O,O,O,O,X
TSZIJLO,O,O,O,O,X
TSZIJOL,O,X,X,O,X
TSZIOLJ,O,O,X,O,X
TSZIOJL,O,X,X,X,X
TSZLIJO,O,O,O,O,X
TSZLIOJ,O,O,O,O,X
TSZLJIO,O,O,O,O,X
TSZLJOI,O,O,X,O,X
TSZLOIJ,O,O,O,O,X
TSZLOJI,O,O,O,O,X
TSZJILO,O,O,O,O,X
TSZJIOL,O,X,X,O,X
TSZJLIO,O,O,O,O,X
TSZJLOI,O,O,X,O,X
TSZJOIL,O,X,X,O,X
TSZJOLI,O,X,X,O,X
