sequence,v115@QhC8FeG8CeB8JeT/IvhFKlBRhBFjBUmBXsBGsB,v115@QhC8FeG8CeB8JeT/IvhFOlBFjBCmBxrB/sB0rB,v115@QhC8FeG8CeB8JeT/IvhFigBUiBFjB3lBxrBWxB,v115@QhC8FeG8CeB8JeT/IvhFxiB0lBlmB3nBilBWxB,v115@QhC8FeG8CeB8JeT/IvhFfnBxiBllBusBilB0rB
LTSZOJI,O,X,X,X,X
LTSOIJZ,X,O,O,X,X
LTSOIZJ,O,X,O,X,X
LTSOJIZ,X,O,O,X,X
LTSOJZI,O,X,X,X,X
LTSOZIJ,O,X,O,X,X
LTSOZJI,O,X,X,X,X
LTZIJSO,X,O,X,X,X
LTZIJOS,O,O,X,X,X
LTZISJO,O,X,X,X,X
LTZISOJ,O,X,X,X,X
LTZIOJS,O,O,X,X,X
LTZIOSJ,O,X,X,X,X
LTZJISO,X,O,X,X,X
LTZJIOS,O,O,X,X,X
LTZJSIO,O,X,X,X,O
LTZJSOI,O,X,X,X,O
LTZJOIS,O,O,X,X,X
LTZJOSI,O,X,X,X,O
LTZSIJO,O,X,X,X,X
LTZSIOJ,O,X,X,X,X
LTZSJIO,O,X,X,X,O
LTZSJOI,O,X,X,X,O
LTZSOIJ,O,X,X,X,X
LTZSOJI,O,X,X,X,O
LTZOIJS,O,O,X,X,X
LTZOISJ,O,X,X,X,X
LTZOJIS,O,O,X,X,X
LTZOJSI,O,X,X,X,O
LTZOSIJ,O,X,X,X,X
LTZOSJI,O,X,X,X,O
LTOIJSZ,X,O,X,X,X
LTOIJZS,X,O,X,X,X
LTOISJZ,X,O,O,X,X
LTOISZJ,O,X,O,X,X
LTOIZJS,O,O,X,X,X
LTOIZSJ,O,X,O,X,X
LTOJISZ,X,O,X,X,X
LTOJIZS,X,O,X,X,X
LTOJSIZ,X,O,X,X,X
LTOJSZI,O,X,X,X,X
LTOJZIS,O,O,X,X,X
LTOJZSI,O,X,X,X,O
LTOSIJZ,X,O,O,X,X
LTOSIZJ,O,X,O,X,X
LTOSJIZ,X,O,O,X,X
LTOSJZI,O,X,X,X,X
LTOSZIJ,O,X,O,X,X
LTOSZJI,O,X,X,X,X
LTOZIJS,O,O,X,X,X
LTOZISJ,O,X,X,X,X
LTOZJIS,O,O,X,X,X
LTOZJSI,O,X,X,X,O
LTOZSIJ,O,X,X,X,X
LTOZSJI,O,X,X,X,O
LITJSZO,X,O,X,X,X
LITJSOZ,X,O,X,X,X
LITJZSO,X,O,X,X,X
LITJZOS,X,O,X,X,X
LITJOSZ,X,O,X,X,X
LITJOZS,X,O,X,X,X
LITSJZO,X,O,O,X,X
LITSJOZ,X,O,O,X,X
LITSZJO,O,X,O,X,X
LITSZOJ,O,X,O,X,X
LITSOJZ,X,O,O,X,X
LITSOZJ,O,X,O,X,X
LITZJSO,X,O,X,X,X
LITZJOS,O,O,X,X,X
LITZSJO,O,X,O,X,X
LITZSOJ,O,X,O,X,X
LITZOJS,O,O,X,X,X
LITZOSJ,O,X,O,X,X
LITOJSZ,X,O,X,X,X
LITOJZS,X,O,X,X,X
LITOSJZ,X,O,O,X,X
LITOSZJ,O,X,O,X,X
LITOZJS,O,O,X,X,X
LITOZSJ,O,X,O,X,X
LIJTSZO,X,O,X,X,X
LIJTSOZ,X,O,X,X,X
LIJTZSO,X,O,X,X,X
LIJTZOS,X,O,X,X,X
LIJTOSZ,X,O,X,X,X
LIJTOZS,X,O,X,X,X
LIJSTZO,X,O,X,X,X
LIJSTOZ,X,O,X,X,X
LIJSZTO,X,O,X,X,X
LIJSZOT,X,O,X,X,X
LIJSOTZ,X,O,X,X,X
LIJSOZT,X,O,X,X,X
LIJZTSO,X,O,X,X,X
LIJZTOS,X,O,X,X,X
LIJZSTO,X,O,X,X,X
LIJZSOT,X,O,X,X,X
LIJZOTS,X,O,X,X,X
LIJZOST,X,O,X,X,X
LIJOTSZ,X,O,X,X,X
LIJOTZS,X,O,X,X,X
LIJOSTZ,X,O,X,X,X
LIJOSZT,X,O,X,X,X
LIJOZTS,X,O,X,X,X
LIJOZST,X,O,X,X,X
LISTJZO,X,O,O,X,X
LISTJOZ,X,O,O,X,X
LISTZJO,O,X,O,X,X
LISTZOJ,O,X,O,O,X
LISTOJZ,X,O,O,X,X
LISTOZJ,O,X,O,O,X
LISJTZO,X,O,O,X,X
LISJTOZ,X,O,O,X,X
LISJZTO,X,O,O,X,X
LISJZOT,X,O,O,X,X
LISJOTZ,X,O,O,X,X
LISJOZT,X,O,O,X,X
LISZTJO,O,X,O,X,X
LISZTOJ,O,X,O,O,X
LISZJTO,O,X,O,X,X
LISZJOT,O,X,O,X,X
LISZOTJ,O,X,O,O,X
LISZOJT,O,X,O,X,X
LISOTJZ,X,O,O,X,X
LISOTZJ,O,X,O,O,X
LISOJTZ,X,O,O,X,X
LISOJZT,X,O,O,X,X
LISOZTJ,O,X,O,O,X
LISOZJT,O,X,O,X,X
LIZTJSO,X,O,X,X,X
LIZTJOS,O,O,X,X,X
LIZTSJO,O,X,O,X,X
LIZTSOJ,O,X,O,X,X
LIZTOJS,O,O,X,X,X
LIZTOSJ,O,X,O,X,X
LIZJTSO,X,O,X,X,X
LIZJTOS,O,O,X,X,X
LIZJSTO,O,O,X,X,X
LIZJSOT,O,O,X,X,X
LIZJOTS,O,O,X,X,X
LIZJOST,O,O,X,X,X
LIZSTJO,O,X,O,X,X
LIZSTOJ,O,X,O,O,X
LIZSJTO,O,X,O,X,X
LIZSJOT,O,X,O,X,X
LIZSOTJ,O,X,O,O,X
LIZSOJT,O,X,O,X,X
LIZOTJS,O,O,X,X,X
LIZOTSJ,O,X,O,X,X
LIZOJTS,O,O,X,X,X
LIZOJST,O,O,X,X,X
LIZOSTJ,O,X,O,O,X
LIZOSJT,O,X,O,X,X
LIOTJSZ,X,O,X,X,X
LIOTJZS,X,O,X,X,X
LIOTSJZ,X,O,O,X,X
LIOTSZJ,O,X,O,X,X
LIOTZJS,O,O,X,X,X
LIOTZSJ,O,X,O,X,X
LIOJTSZ,X,O,X,X,X
LIOJTZS,X,O,X,X,X
LIOJSTZ,X,O,X,X,X
LIOJSZT,X,O,X,X,X
LIOJZTS,X,O,X,X,X
LIOJZST,X,O,X,X,X
LIOSTJZ,X,O,O,X,X
LIOSTZJ,O,X,O,O,X
LIOSJTZ,X,O,O,X,X
LIOSJZT,X,O,O,X,X
LIOSZTJ,O,X,O,O,X
LIOSZJT,O,X,O,X,X
LIOZTJS,O,O,X,X,X
LIOZTSJ,O,X,O,X,X
LIOZJTS,O,O,X,X,X
LIOZJST,O,O,X,X,X
LIOZSTJ,O,X,O,O,X
LIOZSJT,O,X,O,X,X
LJTISZO,X,O,X,X,X
LJTISOZ,X,O,X,X,X
LJTIZSO,X,O,X,X,X
LJTIZOS,X,O,X,X,X
LJTIOSZ,X,O,X,X,X
LJTIOZS,X,O,X,X,X
LJTSIZO,X,O,X,X,X
LJTSIOZ,X,O,X,X,X
LJTSZIO,O,X,X,X,X
LJTSZOI,O,X,X,X,X
LJTSOIZ,X,O,X,X,X
LJTSOZI,O,X,X,X,X
LJTZISO,X,O,X,X,X
LJTZIOS,O,O,X,X,X
LJTZSIO,O,X,X,X,O
LJTZSOI,O,X,X,X,O
LJTZOIS,O,O,X,X,X
LJTZOSI,O,X,X,X,O
LJTOISZ,X,O,X,X,X
LJTOIZS,X,O,X,X,X
LJTOSIZ,X,O,X,X,X
LJTOSZI,O,X,X,X,X
LJTOZIS,O,O,X,X,X
LJTOZSI,O,X,X,X,O
LJITSZO,X,O,X,X,X
LJITSOZ,X,O,X,X,X
LJITZSO,X,O,X,X,X
LJITZOS,X,O,X,X,X
LJITOSZ,X,O,X,X,X
LJITOZS,X,O,X,X,X
LJISTZO,X,O,X,X,X
LJISTOZ,X,O,X,X,X
LJISZTO,X,O,X,X,X
LJISZOT,X,O,X,X,X
LJISOTZ,X,O,X,X,X
LJISOZT,X,O,X,X,X
LJIZTSO,X,O,X,X,X
LJIZTOS,X,O,X,X,X
LJIZSTO,X,O,X,X,X
LJIZSOT,X,O,X,X,X
LJIZOTS,X,O,X,X,X
LJIZOST,X,O,X,X,X
LJIOTSZ,X,O,X,X,X
LJIOTZS,X,O,X,X,X
LJIOSTZ,X,O,X,X,X
LJIOSZT,X,O,X,X,X
LJIOZTS,X,O,X,X,X
LJIOZST,X,O,X,X,X
LJSTIZO,X,O,X,X,X
LJSTIOZ,X,O,X,X,X
LJSTZIO,O,X,X,X,X
LJSTZOI,O,X,X,X,X
LJSTOIZ,X,O,X,X,X
LJSTOZI,O,X,X,X,X
LJSITZO,X,O,X,X,X
LJSITOZ,X,O,X,X,X
LJSIZTO,X,O,X,X,X
LJSIZOT,X,O,X,X,X
LJSIOTZ,X,O,X,X,X
LJSIOZT,X,O,X,X,X
LJSZTIO,O,X,X,X,X
LJSZTOI,O,X,X,X,X
LJSZITO,O,X,X,X,X
LJSZIOT,O,X,X,X,X
LJSZOTI,O,X,X,X,X
LJSZOIT,O,X,X,X,X
LJSOTIZ,X,O,X,X,X
LJSOTZI,O,X,X,X,X
LJSOITZ,X,O,X,X,X
LJSOIZT,X,O,X,X,X
LJSOZTI,O,X,X,X,X
LJSOZIT,O,X,X,X,X
LJZTISO,X,O,X,X,X
LJZTIOS,O,O,X,X,X
LJZTSIO,O,X,X,X,O
LJZTSOI,O,X,X,X,O
LJZTOIS,O,O,X,X,X
LJZTOSI,O,X,X,X,O
LJZITSO,X,O,X,X,X
LJZITOS,O,O,X,X,X
LJZISTO,O,O,X,X,X
LJZISOT,O,O,X,X,X
LJZIOTS,O,O,X,X,X
LJZIOST,O,O,X,X,X
LJZSTIO,O,X,X,X,O
LJZSTOI,O,X,X,X,O
LJZSITO,O,X,X,X,O
LJZSIOT,O,X,X,X,O
LJZSOTI,O,X,X,X,O
LJZSOIT,O,X,X,X,O
LJZOTIS,O,O,X,X,X
LJZOTSI,O,X,X,X,O
LJZOITS,O,O,X,X,X
LJZOIST,O,O,X,X,X
LJZOSTI,O,X,X,X,O
LJZOSIT,O,X,X,X,O
LJOTISZ,X,O,X,X,X
LJOTIZS,X,O,X,X,X
LJOTSIZ,X,O,X,X,X
LJOTSZI,O,X,X,X,X
LJOTZIS,O,O,X,X,X
LJOTZSI,O,X,X,X,O
LJOITSZ,X,O,X,X,X
LJOITZS,X,O,X,X,X
LJOISTZ,X,O,X,X,X
LJOISZT,X,O,X,X,X
LJOIZTS,X,O,X,X,X
LJOIZST,X,O,X,X,X
LJOSTIZ,X,O,X,X,X
LJOSTZI,O,X,X,X,X
LJOSITZ,X,O,X,X,X
LJOSIZT,X,O,X,X,X
LJOSZTI,O,X,X,X,X
LJOSZIT,O,X,X,X,X
LJOZTIS,O,O,X,X,X
LJOZTSI,O,X,X,X,O
LJOZITS,O,O,X,X,X
LJOZIST,O,O,X,X,X
LJOZSTI,O,X,X,X,O
LJOZSIT,O,X,X,X,O
LSTIJZO,X,O,O,X,X
LSTIJOZ,X,O,O,X,X
LSTIZJO,O,X,O,X,X
LSTIZOJ,O,X,O,O,X
LSTIOJZ,X,O,O,X,X
LSTIOZJ,O,X,O,O,X
LSTJIZO,X,O,O,X,X
LSTJIOZ,X,O,O,X,X
LSTJZIO,O,X,X,X,X
LSTJZOI,O,X,X,X,X
LSTJOIZ,X,O,O,X,X
LSTJOZI,O,X,X,X,X
LSTZIJO,O,X,O,X,X
LSTZIOJ,O,X,O,O,X
LSTZJIO,O,X,X,X,X
LSTZJOI,O,X,X,X,X
LSTZOIJ,O,X,O,O,X
LSTZOJI,O,X,X,O,X
LSTOIJZ,X,O,O,X,X
LSTOIZJ,O,X,O,O,X
LSTOJIZ,X,O,O,X,X
LSTOJZI,O,X,X,X,X
LSTOZIJ,O,X,O,O,X
LSTOZJI,O,X,X,O,X
LSITJZO,X,O,O,X,X
LSITJOZ,X,O,O,X,X
LSITZJO,O,X,O,X,X
LSITZOJ,O,X,O,O,X
LSITOJZ,X,O,O,X,X
LSITOZJ,O,X,O,O,X
LSIJTZO,X,O,O,X,X
LSIJTOZ,X,O,O,X,X
LSIJZTO,X,O,O,X,X
LSIJZOT,X,O,O,X,X
LSIJOTZ,X,O,O,X,X
LSIJOZT,X,O,O,X,X
LSIZTJO,O,X,O,X,X
LSIZTOJ,O,X,O,O,X
LSIZJTO,O,X,O,X,X
LSIZJOT,O,X,O,X,X
LSIZOTJ,O,X,O,O,X
LSIZOJT,O,X,O,X,X
LSIOTJZ,X,O,O,X,X
LSIOTZJ,O,X,O,O,X
LSIOJTZ,X,O,O,X,X
LSIOJZT,X,O,O,X,X
LSIOZTJ,O,X,O,O,X
LSIOZJT,O,X,O,X,X
LSJTIZO,X,O,O,X,X
LSJTIOZ,X,O,O,X,X
LSJTZIO,O,X,X,X,X
LSJTZOI,O,X,X,X,X
LSJTOIZ,X,O,O,X,X
LSJTOZI,O,X,X,X,X
LSJITZO,X,O,O,X,X
LSJITOZ,X,O,O,X,X
LSJIZTO,X,O,O,X,X
LSJIZOT,X,O,O,X,X
LSJIOTZ,X,O,O,X,X
LSJIOZT,X,O,O,X,X
LSJZTIO,O,X,X,X,X
LSJZTOI,O,X,X,X,X
LSJZITO,O,X,X,X,X
LSJZIOT,O,X,X,X,X
LSJZOTI,O,X,X,X,X
LSJZOIT,O,X,X,X,X
LSJOTIZ,X,O,O,X,X
LSJOTZI,O,X,X,X,X
LSJOITZ,X,O,O,X,X
LSJOIZT,X,O,O,X,X
LSJOZTI,O,X,X,X,X
LSJOZIT,O,X,X,X,X
LSZTIJO,O,X,O,X,X
LSZTIOJ,O,X,O,O,X
LSZTJIO,O,X,X,X,X
LSZTJOI,O,X,X,X,X
LSZTOIJ,O,X,O,O,X
LSZTOJI,O,X,X,O,X
LSZITJO,O,X,O,X,X
LSZITOJ,O,X,O,O,X
LSZIJTO,O,X,O,X,X
LSZIJOT,O,X,O,X,X
LSZIOTJ,O,X,O,O,X
LSZIOJT,O,X,O,X,X
LSZJTIO,O,X,X,X,X
LSZJTOI,O,X,X,X,X
LSZJITO,O,X,X,X,X
LSZJIOT,O,X,X,X,X
LSZJOTI,O,X,X,X,X
LSZJOIT,O,X,X,X,X
LSZOTIJ,O,X,O,O,X
LSZOTJI,O,X,X,O,X
LSZOITJ,O,X,O,O,X
LSZOIJT,O,X,O,X,X
LSZOJTI,O,X,X,X,X
LSZOJIT,O,X,X,X,X
LSOTIJZ,X,O,O,X,X
LSOTIZJ,O,X,O,O,X
LSOTJIZ,X,O,O,X,X
LSOTJZI,O,X,X,X,X
LSOTZIJ,O,X,O,O,X
LSOTZJI,O,X,X,O,X
LSOITJZ,X,O,O,X,X
LSOITZJ,O,X,O,O,X
LSOIJTZ,X,O,O,X,X
LSOIJZT,X,O,O,X,X
LSOIZTJ,O,X,O,O,X
LSOIZJT,O,X,O,X,X
LSOJTIZ,X,O,O,X,X
LSOJTZI,O,X,X,X,X
LSOJITZ,X,O,O,X,X
LSOJIZT,X,O,O,X,X
LSOJZTI,O,X,X,X,X
LSOJZIT,O,X,X,X,X
LSOZTIJ,O,X,O,O,X
LSOZTJI,O,X,X,O,X
LSOZITJ,O,X,O,O,X
LSOZIJT,O,X,O,X,X
LSOZJTI,O,X,X,X,X
LSOZJIT,O,X,X,X,X
LZTIJSO,X,O,X,X,X
LZTIJOS,O,O,X,X,X
LZTISJO,O,X,X,X,X
LZTISOJ,O,X,X,X,X
LZTIOJS,O,O,X,X,X
LZTIOSJ,O,X,X,X,X
LZTJISO,X,O,X,X,X
LZTJIOS,O,O,X,X,X
LZTJSIO,O,X,X,X,O
LZTJSOI,O,X,X,X,O
LZTJOIS,O,O,X,X,X
LZTJOSI,O,X,X,X,O
LZTSIJO,O,X,X,X,X
LZTSIOJ,O,X,X,O,X
LZTSJIO,O,X,X,X,O
LZTSJOI,O,X,X,X,O
LZTSOIJ,O,X,X,O,X
LZTSOJI,O,X,X,O,O
LZTOIJS,O,O,X,X,X
LZTOISJ,O,X,X,X,X
LZTOJIS,O,O,X,X,X
LZTOJSI,O,X,X,X,O
LZTOSIJ,O,X,X,O,X
LZTOSJI,O,X,X,O,O
LZITJSO,X,O,X,X,X
LZITJOS,O,O,X,X,X
LZITSJO,O,X,X,X,X
LZITSOJ,O,X,X,X,X
LZITOJS,O,O,X,X,X
LZITOSJ,O,X,X,X,X
LZIJTSO,X,O,X,X,X
LZIJTOS,O,O,X,X,X
LZIJSTO,O,O,X,X,X
LZIJSOT,O,O,X,X,X
LZIJOTS,O,O,X,X,X
LZIJOST,O,O,X,X,X
LZISTJO,O,X,X,X,X
LZISTOJ,O,X,X,O,X
LZISJTO,O,X,X,X,X
LZISJOT,O,X,X,X,X
LZISOTJ,O,X,X,O,X
LZISOJT,O,X,X,X,X
LZIOTJS,O,O,X,X,X
LZIOTSJ,O,X,X,X,X
LZIOJTS,O,O,X,X,X
LZIOJST,O,O,X,X,X
LZIOSTJ,O,X,X,O,X
LZIOSJT,O,X,X,X,X
LZJTISO,X,O,X,X,X
LZJTIOS,O,O,X,X,X
LZJTSIO,O,X,X,X,O
LZJTSOI,O,X,X,X,O
LZJTOIS,O,O,X,X,X
LZJTOSI,O,X,X,X,O
LZJITSO,X,O,X,X,X
LZJITOS,O,O,X,X,X
LZJISTO,O,O,X,X,X
LZJISOT,O,O,X,X,X
LZJIOTS,O,O,X,X,X
LZJIOST,O,O,X,X,X
LZJSTIO,O,X,X,X,O
LZJSTOI,O,X,X,X,O
LZJSITO,O,X,X,X,O
LZJSIOT,O,X,X,X,O
LZJSOTI,O,X,X,X,O
LZJSOIT,O,X,X,X,O
LZJOTIS,O,O,X,X,X
LZJOTSI,O,X,X,X,O
LZJOITS,O,O,X,X,X
LZJOIST,O,O,X,X,X
LZJOSTI,O,X,X,X,O
LZJOSIT,O,X,X,X,O
LZSTIJO,O,X,X,X,X
LZSTIOJ,O,X,X,O,X
LZSTJIO,O,X,X,X,O
LZSTJOI,O,X,X,X,O
LZSTOIJ,O,X,X,O,X
LZSTOJI,O,X,X,O,O
LZSITJO,O,X,X,X,X
LZSITOJ,O,X,X,O,X
LZSIJTO,O,X,X,X,X
LZSIJOT,O,X,X,X,X
LZSIOTJ,O,X,X,O,X
LZSIOJT,O,X,X,X,X
LZSJTIO,O,X,X,X,O
LZSJTOI,O,X,X,X,O
LZSJITO,O,X,X,X,O
LZSJIOT,O,X,X,X,O
LZSJOTI,O,X,X,X,O
LZSJOIT,O,X,X,X,O
LZSOTIJ,O,X,X,O,X
LZSOTJI,O,X,X,O,O
LZSOITJ,O,X,X,O,X
LZSOIJT,O,X,X,X,X
LZSOJTI,O,X,X,X,O
LZSOJIT,O,X,X,X,O
LZOTIJS,O,O,X,X,X
LZOTISJ,O,X,X,X,X
LZOTJIS,O,O,X,X,X
LZOTJSI,O,X,X,X,O
LZOTSIJ,O,X,X,O,X
LZOTSJI,O,X,X,O,O
LZOITJS,O,O,X,X,X
LZOITSJ,O,X,X,X,X
LZOIJTS,O,O,X,X,X
LZOIJST,O,O,X,X,X
LZOISTJ,O,X,X,O,X
LZOISJT,O,X,X,X,X
LZOJTIS,O,O,X,X,X
LZOJTSI,O,X,X,X,O
LZOJITS,O,O,X,X,X
LZOJIST,O,O,X,X,X
LZOJSTI,O,X,X,X,O
LZOJSIT,O,X,X,X,O
LZOSTIJ,O,X,X,O,X
LZOSTJI,O,X,X,O,O
LZOSITJ,O,X,X,O,X
LZOSIJT,O,X,X,X,X
LZOSJTI,O,X,X,X,O
LZOSJIT,O,X,X,X,O
LOTIJSZ,X,O,X,X,X
LOTIJZS,X,O,X,X,X
LOTISJZ,X,O,O,X,X
LOTISZJ,O,X,O,X,X
LOTIZJS,O,O,X,X,X
LOTIZSJ,O,X,O,X,X
LOTJISZ,X,O,X,X,X
LOTJIZS,X,O,X,X,X
LOTJSIZ,X,O,X,X,X
LOTJSZI,O,X,X,X,X
LOTJZIS,O,O,X,X,X
LOTJZSI,O,X,X,X,O
LOTSIJZ,X,O,O,X,X
LOTSIZJ,O,X,O,X,X
LOTSJIZ,X,O,O,X,X
LOTSJZI,O,X,X,X,X
LOTSZIJ,O,X,O,X,X
LOTSZJI,O,X,X,X,X
LOTZIJS,O,O,X,X,X
LOTZISJ,O,X,X,X,X
LOTZJIS,O,O,X,X,X
LOTZJSI,O,X,X,X,O
LOTZSIJ,O,X,X,X,X
LOTZSJI,O,X,X,X,O
LOITJSZ,X,O,X,X,X
LOITJZS,X,O,X,X,X
LOITSJZ,X,O,O,X,X
LOITSZJ,O,X,O,X,X
LOITZJS,O,O,X,X,X
LOITZSJ,O,X,O,X,X
LOIJTSZ,X,O,X,X,X
LOIJTZS,X,O,X,X,X
LOIJSTZ,X,O,X,X,X
LOIJSZT,X,O,X,X,X
LOIJZTS,X,O,X,X,X
LOIJZST,X,O,X,X,X
LOISTJZ,X,O,O,X,X
LOISTZJ,O,X,O,O,X
LOISJTZ,X,O,O,X,X
LOISJZT,X,O,O,X,X
LOISZTJ,O,X,O,O,X
LOISZJT,O,X,O,X,X
LOIZTJS,O,O,X,X,X
LOIZTSJ,O,X,O,X,X
LOIZJTS,O,O,X,X,X
LOIZJST,O,O,X,X,X
LOIZSTJ,O,X,O,O,X
LOIZSJT,O,X,O,X,X
LOJTISZ,X,O,X,X,X
LOJTIZS,X,O,X,X,X
LOJTSIZ,X,O,X,X,X
LOJTSZI,O,X,X,X,X
LOJTZIS,O,O,X,X,X
LOJTZSI,O,X,X,X,O
LOJITSZ,X,O,X,X,X
LOJITZS,X,O,X,X,X
LOJISTZ,X,O,X,X,X
LOJISZT,X,O,X,X,X
LOJIZTS,X,O,X,X,X
LOJIZST,X,O,X,X,X
LOJSTIZ,X,O,X,X,X
LOJSTZI,O,X,X,X,X
LOJSITZ,X,O,X,X,X
LOJSIZT,X,O,X,X,X
LOJSZTI,O,X,X,X,X
LOJSZIT,O,X,X,X,X
LOJZTIS,O,O,X,X,X
LOJZTSI,O,X,X,X,O
LOJZITS,O,O,X,X,X
LOJZIST,O,O,X,X,X
LOJZSTI,O,X,X,X,O
LOJZSIT,O,X,X,X,O
LOSTIJZ,X,O,O,X,X
LOSTIZJ,O,X,O,O,X
LOSTJIZ,X,O,O,X,X
LOSTJZI,O,X,X,X,X
LOSTZIJ,O,X,O,O,X
LOSTZJI,O,X,X,O,X
LOSITJZ,X,O,O,X,X
LOSITZJ,O,X,O,O,X
LOSIJTZ,X,O,O,X,X
LOSIJZT,X,O,O,X,X
LOSIZTJ,O,X,O,O,X
LOSIZJT,O,X,O,X,X
LOSJTIZ,X,O,O,X,X
LOSJTZI,O,X,X,X,X
LOSJITZ,X,O,O,X,X
LOSJIZT,X,O,O,X,X
LOSJZTI,O,X,X,X,X
LOSJZIT,O,X,X,X,X
LOSZTIJ,O,X,O,O,X
LOSZTJI,O,X,X,O,X
LOSZITJ,O,X,O,O,X
LOSZIJT,O,X,O,X,X
LOSZJTI,O,X,X,X,X
LOSZJIT,O,X,X,X,X
LOZTIJS,O,O,X,X,X
LOZTISJ,O,X,X,X,X
LOZTJIS,O,O,X,X,X
LOZTJSI,O,X,X,X,O
LOZTSIJ,O,X,X,O,X
LOZTSJI,O,X,X,O,O
LOZITJS,O,O,X,X,X
LOZITSJ,O,X,X,X,X
LOZIJTS,O,O,X,X,X
LOZIJST,O,O,X,X,X
LOZISTJ,O,X,X,O,X
LOZISJT,O,X,X,X,X
LOZJTIS,O,O,X,X,X
LOZJTSI,O,X,X,X,O
LOZJITS,O,O,X,X,X
LOZJIST,O,O,X,X,X
LOZJSTI,O,X,X,X,O
LOZJSIT,O,X,X,X,O
LOZSTIJ,O,X,X,O,X
LOZSTJI,O,X,X,O,O
LOZSITJ,O,X,X,O,X
LOZSIJT,O,X,X,X,X
LOZSJTI,O,X,X,X,O
LOZSJIT,O,X,X,X,O
JTILSZO,X,O,X,X,X
JTILSOZ,X,O,X,X,X
JTILZSO,X,O,X,X,X
JTILZOS,X,O,X,X,X
JTILOSZ,X,O,X,X,X
JTILOZS,X,O,X,X,X
JTISLZO,X,O,O,X,X
JTISLOZ,X,O,O,X,X
JTISZLO,X,X,O,X,X
JTISZOL,X,X,O,X,X
JTISOLZ,X,O,O,X,X
JTISOZL,X,X,O,X,X
JTIZLSO,X,O,X,X,X
JTIZLOS,X,O,X,X,X
JTIZSLO,X,X,O,X,O
JTIZSOL,X,X,O,X,O
JTIZOLS,X,O,X,X,X
JTIZOSL,X,X,O,X,O
JTIOLSZ,X,O,X,X,X
JTIOLZS,X,O,X,X,X
JTIOSLZ,X,O,O,X,X
JTIOSZL,X,X,O,X,X
JTIOZLS,X,O,X,X,X
JTIOZSL,X,X,O,X,O
JTLISZO,X,O,X,X,X
JTLISOZ,X,O,X,X,X
JTLIZSO,X,O,X,X,X
JTLIZOS,X,O,X,X,X
JTLIOSZ,X,O,X,X,X
JTLIOZS,X,O,X,X,X
JTLSIZO,X,O,X,X,X
JTLSIOZ,X,O,X,X,X
JTLSZIO,O,X,X,X,X
JTLSZOI,O,X,X,X,X
JTLSOIZ,X,O,X,X,X
JTLSOZI,O,X,X,X,X
JTLZISO,X,O,X,X,X
JTLZIOS,O,O,X,X,X
JTLZSIO,O,X,X,X,O
JTLZSOI,O,X,X,X,O
JTLZOIS,O,O,X,X,X
JTLZOSI,O,X,X,X,O
JTLOISZ,X,O,X,X,X
JTLOIZS,X,O,X,X,X
JTLOSIZ,X,O,X,X,X
JTLOSZI,O,X,X,X,X
JTLOZIS,O,O,X,X,X
JTLOZSI,O,X,X,X,O
JTSILZO,X,O,O,X,X
JTSILOZ,X,O,O,X,X
JTSIZLO,X,X,O,X,X
JTSIZOL,X,X,O,X,X
JTSIOLZ,X,O,O,X,X
JTSIOZL,X,X,O,X,X
JTSLIZO,X,O,O,X,X
JTSLIOZ,X,O,O,X,X
JTSLZIO,O,X,X,X,X
JTSLZOI,O,X,X,X,X
JTSLOIZ,X,O,O,X,X
JTSLOZI,O,X,X,X,X
JTSZILO,O,X,X,X,O
JTSZIOL,X,X,X,X,O
JTSZLIO,O,X,X,X,O
JTSZLOI,O,X,X,X,O
JTSZOIL,X,X,X,X,O
JTSZOLI,X,X,X,X,O
JTSOILZ,X,O,O,X,X
JTSOIZL,X,X,O,X,X
JTSOLIZ,X,O,O,X,X
JTSOLZI,O,X,X,X,X
JTSOZIL,X,X,X,X,O
JTSOZLI,X,X,X,X,O
JTZILSO,X,O,X,X,X
JTZILOS,O,O,X,X,X
JTZISLO,X,X,X,X,O
JTZISOL,X,X,X,X,O
JTZIOLS,X,O,X,X,X
JTZIOSL,X,X,X,X,O
JTZLISO,X,O,X,X,X
JTZLIOS,O,O,X,X,X
JTZLSIO,O,X,X,X,O
JTZLSOI,O,X,X,X,O
JTZLOIS,O,O,X,X,X
JTZLOSI,O,X,X,X,O
JTZSILO,O,X,X,X,O
JTZSIOL,X,X,X,X,O
JTZSLIO,O,X,X,X,O
JTZSLOI,O,X,X,X,O
JTZSOIL,X,X,X,X,O
JTZSOLI,X,X,X,X,O
JTZOILS,X,O,X,X,X
JTZOISL,X,X,X,X,O
JTZOLIS,X,O,X,X,X
JTZOLSI,X,X,X,X,O
JTZOSIL,X,X,X,X,O
JTZOSLI,X,X,X,X,O
JTOILSZ,X,O,X,X,X
JTOILZS,X,O,X,X,X
JTOISLZ,X,O,O,X,X
JTOISZL,X,X,O,X,X
JTOIZLS,X,O,X,X,X
JTOIZSL,X,X,O,X,O
JTOLISZ,X,O,X,X,X
JTOLIZS,X,O,X,X,X
JTOLSIZ,X,O,X,X,X
JTOLSZI,O,X,X,X,X
JTOLZIS,O,O,X,X,X
JTOLZSI,O,X,X,X,O
JTOSILZ,X,O,O,X,X
JTOSIZL,X,X,O,X,X
