sequence,v115@QhA8CeA8CeC8AeD8BeC8JeZEJvhFThBOnBXjBFlBCl?B0rB,v115@QhA8CeA8CeC8AeD8BeC8JeZEJvhFThBOnBXjBClBFl?B0rB,v115@QhA8CeA8CeC8AeD8BeC8JecFJvhFxhBXjBOpBimBlk?BzrB,v115@QhA8CeA8CeC8AeD8BeC8JeTAJvhFxhBXjB1pByrBOp?B0rB,v115@QhA8CeA8CeC8AeD8BeC8JeZEJvhFqkBTgBUiBFjBmr?B/rB,v115@QhA8CeA8CeC8AeD8BeC8JeTAJvhFFjBOpBxmB0kB/r?BasB,v115@QhA8CeA8CeC8AeD8BeC8JecFJvhFxhBXjBTkBmrBlr?BipB
TLOJIZS,X,X,X,O,O,O,X
TLOJSIZ,X,X,X,O,O,X,X
TLOJSZI,X,X,X,O,X,X,X
TLOJZIS,X,X,X,O,O,X,X
TLOJZSI,X,X,X,O,X,X,X
TLOSIJZ,X,X,X,O,O,X,X
TLOSIZJ,X,X,X,O,X,X,X
TLOSJIZ,X,X,X,O,O,X,X
TLOSJZI,X,X,X,O,X,X,X
TLOSZIJ,X,X,X,O,X,X,X
TLOSZJI,X,X,X,O,X,X,X
TLOZIJS,X,X,X,O,O,X,X
TLOZISJ,X,X,X,O,X,X,X
TLOZJIS,X,X,X,O,O,X,X
TLOZJSI,X,X,X,O,X,X,X
TLOZSIJ,X,X,X,O,X,X,X
TLOZSJI,X,X,X,O,X,X,X
TJILSZO,X,X,X,X,O,X,X
TJILSOZ,X,X,X,X,O,X,X
TJILZSO,X,X,X,X,O,X,X
TJILZOS,X,X,X,X,O,X,X
TJILOSZ,X,X,X,X,O,O,X
TJILOZS,X,X,X,X,O,O,X
TJISLZO,O,X,X,X,O,X,X
TJISLOZ,X,X,X,X,O,X,X
TJISZLO,O,X,X,X,X,X,X
TJISZOL,O,X,X,X,X,X,X
TJISOLZ,X,X,X,X,X,O,X
TJISOZL,O,X,X,X,X,O,X
TJIZLSO,O,X,X,X,O,X,X
TJIZLOS,O,X,X,X,O,X,X
TJIZSLO,O,X,X,X,X,X,X
TJIZSOL,O,X,X,X,X,X,X
TJIZOLS,O,X,X,X,X,O,X
TJIZOSL,O,X,X,X,X,O,X
TJIOLSZ,X,X,X,X,O,O,X
TJIOLZS,X,X,X,X,O,O,X
TJIOSLZ,X,X,X,X,X,O,X
TJIOSZL,X,X,X,X,X,O,X
TJIOZLS,X,X,X,X,X,O,X
TJIOZSL,X,X,X,X,X,O,X
TJLISZO,X,X,O,O,O,X,X
TJLISOZ,X,X,X,O,O,X,X
TJLIZSO,X,X,O,O,O,X,X
TJLIZOS,X,X,X,O,O,X,X
TJLIOSZ,X,X,X,O,O,O,X
TJLIOZS,X,X,X,O,O,O,X
TJLSIZO,X,X,O,O,O,X,X
TJLSIOZ,X,X,X,O,O,X,X
TJLSZIO,X,X,O,O,X,X,X
TJLSZOI,X,X,O,O,X,X,X
TJLSOIZ,X,X,X,O,O,X,X
TJLSOZI,X,X,X,O,X,X,X
TJLZISO,X,X,O,O,O,X,X
TJLZIOS,X,X,X,O,O,X,X
TJLZSIO,X,X,O,O,X,X,X
TJLZSOI,X,X,O,O,X,X,X
TJLZOIS,X,X,X,O,O,X,X
TJLZOSI,X,X,X,O,X,X,X
TJLOISZ,X,X,X,O,O,O,X
TJLOIZS,X,X,X,O,O,O,X
TJLOSIZ,X,X,X,O,O,X,X
TJLOSZI,X,X,X,O,X,X,X
TJLOZIS,X,X,X,O,O,X,X
TJLOZSI,X,X,X,O,X,X,X
TJSILZO,O,X,X,X,O,X,X
TJSILOZ,X,X,X,X,O,X,X
TJSIZLO,O,X,X,X,X,X,X
TJSIZOL,O,X,X,X,X,X,X
TJSIOLZ,X,X,X,X,X,O,X
TJSIOZL,O,X,X,X,X,O,X
TJSLIZO,O,X,O,O,O,X,X
TJSLIOZ,X,X,X,O,O,X,X
TJSLZIO,O,X,O,O,X,X,X
TJSLZOI,O,X,O,O,X,X,X
TJSLOIZ,X,X,X,O,O,X,X
TJSLOZI,X,X,X,O,X,X,X
TJSZILO,O,X,X,X,X,X,X
TJSZIOL,O,X,X,X,X,X,X
TJSZLIO,O,X,O,X,X,X,X
TJSZLOI,O,X,O,X,X,X,X
TJSZOIL,O,X,X,X,X,X,O
TJSZOLI,O,X,O,X,X,X,O
TJSOILZ,X,X,X,X,X,O,X
TJSOIZL,O,X,X,X,X,O,X
TJSOLIZ,X,X,O,O,O,X,X
TJSOLZI,X,X,O,O,X,X,X
TJSOZIL,O,X,X,X,X,X,O
TJSOZLI,O,X,O,X,X,X,O
TJZILSO,O,X,X,X,O,X,X
TJZILOS,O,X,X,X,O,X,X
TJZISLO,O,X,X,X,X,X,X
TJZISOL,O,X,X,X,X,X,X
TJZIOLS,O,X,X,X,X,O,X
TJZIOSL,O,X,X,X,X,O,X
TJZLISO,O,X,O,X,O,X,X
TJZLIOS,O,X,X,X,O,X,X
TJZLSIO,O,X,O,X,X,X,X
TJZLSOI,O,X,O,X,X,X,X
TJZLOIS,O,X,X,X,O,X,X
TJZLOSI,O,X,X,X,X,X,X
TJZSILO,O,X,X,X,X,X,X
TJZSIOL,O,X,X,X,X,X,X
TJZSLIO,O,X,O,X,X,X,X
TJZSLOI,O,X,O,X,X,X,X
TJZSOIL,O,X,X,X,X,X,O
TJZSOLI,O,X,O,X,X,X,O
TJZOILS,O,X,X,X,X,O,O
TJZOISL,O,X,X,X,X,O,O
TJZOLIS,O,X,O,X,O,X,O
TJZOLSI,O,X,O,X,X,X,O
TJZOSIL,O,X,X,X,X,X,O
TJZOSLI,O,X,O,X,X,X,O
TJOILSZ,X,X,X,X,O,O,X
TJOILZS,X,X,X,X,O,O,X
TJOISLZ,X,X,X,X,X,O,X
TJOISZL,X,X,X,X,X,O,X
TJOIZLS,X,X,X,X,X,O,X
TJOIZSL,X,X,X,X,X,O,X
TJOLISZ,X,X,O,O,O,O,X
TJOLIZS,X,X,O,O,O,O,X
TJOLSIZ,X,X,O,O,O,X,X
TJOLSZI,X,X,O,O,X,X,X
TJOLZIS,X,X,O,O,O,X,X
TJOLZSI,X,X,O,O,X,X,X
TJOSILZ,X,X,X,X,X,O,X
TJOSIZL,X,X,X,X,X,O,X
TJOSLIZ,X,X,O,O,O,X,X
TJOSLZI,X,X,O,O,X,X,X
TJOSZIL,X,X,X,X,X,X,O
TJOSZLI,X,X,O,X,X,X,O
TJOZILS,X,X,X,X,X,O,O
TJOZISL,X,X,X,X,X,O,O
TJOZLIS,X,X,O,X,O,X,O
TJOZLSI,X,X,O,X,X,X,O
TJOZSIL,X,X,X,X,X,X,O
TJOZSLI,X,X,O,X,X,X,O
TSILJZO,O,O,X,O,O,X,X
TSILJOZ,X,X,X,O,O,X,X
TSILZJO,O,O,X,O,X,X,X
TSILZOJ,O,O,X,O,X,X,X
TSILOJZ,X,X,X,O,O,X,X
TSILOZJ,X,X,X,O,X,X,X
TSIJLZO,O,O,X,X,O,X,X
TSIJLOZ,X,X,X,X,O,X,X
TSIJZLO,O,X,X,X,X,X,X
TSIJZOL,O,X,X,X,X,X,X
TSIJOLZ,X,X,X,X,X,O,X
TSIJOZL,O,X,X,X,X,O,X
TSIZLJO,O,O,X,X,X,X,X
TSIZLOJ,O,O,X,X,X,X,X
TSIZJLO,O,O,X,X,X,X,X
TSIZJOL,O,O,X,X,X,X,X
TSIZOLJ,O,O,X,X,X,X,X
TSIZOJL,O,O,X,X,X,X,X
TSIOLJZ,X,X,X,O,X,X,X
TSIOLZJ,X,X,X,O,X,X,X
TSIOJLZ,X,X,X,X,X,O,X
TSIOJZL,O,X,X,X,X,O,X
TSIOZLJ,O,X,X,X,X,X,X
TSIOZJL,O,X,X,X,X,X,X
TSLIJZO,O,O,O,O,O,X,X
TSLIJOZ,X,X,X,O,O,X,X
TSLIZJO,O,O,O,O,X,X,X
TSLIZOJ,O,O,X,O,X,X,X
TSLIOJZ,X,X,X,O,O,X,X
TSLIOZJ,X,X,X,O,X,X,X
TSLJIZO,O,O,O,O,O,X,X
TSLJIOZ,X,X,X,O,O,X,X
TSLJZIO,O,O,O,O,X,X,X
TSLJZOI,O,O,O,O,X,X,X
TSLJOIZ,X,X,X,O,O,X,X
TSLJOZI,X,X,X,O,X,X,X
TSLZIJO,O,O,O,O,X,X,X
TSLZIOJ,O,O,X,O,X,X,X
TSLZJIO,O,O,O,O,X,X,X
TSLZJOI,O,O,O,O,X,X,X
TSLZOIJ,O,O,X,O,X,X,X
TSLZOJI,O,O,X,O,X,X,X
TSLOIJZ,X,X,X,O,O,X,X
TSLOIZJ,X,X,X,O,X,X,X
TSLOJIZ,X,X,X,O,O,X,X
TSLOJZI,X,X,X,O,X,X,X
