sequence,v115@DhA8BeA8FeB8AeA8AeB8FeA8AeA8EeC8JeZEJvhFzf?BFhBaoB+qBcrBXsB,v115@DhA8BeA8FeB8AeA8AeB8FeA8AeA8EeC8JeZEJvhFzf?BGhBaoBUmB1vBXsB
TZSJLOI,X,X
TZSJOIL,X,X
TZSJOLI,X,X
TZSOILJ,X,X
TZSOIJL,X,X
TZSOLIJ,X,X
TZSOLJI,X,X
TZSOJIL,X,X
TZSOJLI,X,X
TZOILJS,X,O
TZOILSJ,X,X
TZOIJLS,X,O
TZOIJSL,X,X
TZOISLJ,X,X
TZOISJL,X,X
TZOLIJS,X,O
TZOLISJ,X,X
TZOLJIS,X,O
TZOLJSI,X,X
TZOLSIJ,X,X
TZOLSJI,X,X
TZOJILS,X,O
TZOJISL,X,X
TZOJLIS,X,O
TZOJLSI,X,X
TZOJSIL,X,X
TZOJSLI,X,X
TZOSILJ,X,X
TZOSIJL,X,X
TZOSLIJ,X,X
TZOSLJI,X,X
TZOSJIL,X,X
TZOSJLI,X,X
TOILJSZ,X,X
TOILJZS,X,X
TOILSJZ,X,X
TOILSZJ,X,O
TOILZJS,X,O
TOILZSJ,X,X
TOIJLSZ,X,X
TOIJLZS,X,X
TOIJSLZ,X,X
TOIJSZL,X,X
TOIJZLS,X,X
TOIJZSL,X,X
TOISLJZ,X,X
TOISLZJ,X,O
TOISJLZ,X,X
TOISJZL,X,X
TOISZLJ,X,O
TOISZJL,X,O
TOIZLJS,X,O
TOIZLSJ,X,X
TOIZJLS,X,O
TOIZJSL,X,X
TOIZSLJ,X,X
TOIZSJL,X,X
TOLIJSZ,X,X
TOLIJZS,X,X
TOLISJZ,X,X
TOLISZJ,X,O
TOLIZJS,X,O
TOLIZSJ,X,X
TOLJISZ,X,X
TOLJIZS,X,X
TOLJSIZ,X,X
TOLJSZI,X,X
TOLJZIS,X,X
TOLJZSI,X,X
TOLSIJZ,X,X
TOLSIZJ,X,O
TOLSJIZ,X,X
TOLSJZI,X,X
TOLSZIJ,X,O
TOLSZJI,X,O
TOLZIJS,X,O
TOLZISJ,X,X
TOLZJIS,X,O
TOLZJSI,X,X
TOLZSIJ,X,X
TOLZSJI,X,X
TOJILSZ,X,X
TOJILZS,X,X
TOJISLZ,X,X
TOJISZL,X,X
TOJIZLS,X,X
TOJIZSL,X,X
TOJLISZ,X,X
TOJLIZS,X,X
TOJLSIZ,X,X
TOJLSZI,X,X
TOJLZIS,X,X
TOJLZSI,X,X
TOJSILZ,X,X
TOJSIZL,X,X
TOJSLIZ,X,X
TOJSLZI,X,X
TOJSZIL,X,X
TOJSZLI,X,X
TOJZILS,X,X
TOJZISL,X,X
TOJZLIS,X,X
TOJZLSI,X,X
TOJZSIL,X,X
TOJZSLI,X,X
TOSILJZ,X,X
TOSILZJ,X,O
TOSIJLZ,X,X
TOSIJZL,X,X
TOSIZLJ,X,O
TOSIZJL,X,O
TOSLIJZ,X,X
TOSLIZJ,X,O
TOSLJIZ,X,X
TOSLJZI,X,X
TOSLZIJ,X,O
TOSLZJI,X,O
TOSJILZ,X,X
TOSJIZL,X,X
TOSJLIZ,X,X
TOSJLZI,X,X
TOSJZIL,X,X
TOSJZLI,X,X
TOSZILJ,X,O
TOSZIJL,X,O
TOSZLIJ,X,O
TOSZLJI,X,O
TOSZJIL,X,O
TOSZJLI,X,O
TOZILJS,X,O
TOZILSJ,X,X
TOZIJLS,X,O
TOZIJSL,X,X
TOZISLJ,X,X
TOZISJL,X,X
TOZLIJS,X,O
TOZLISJ,X,X
TOZLJIS,X,O
TOZLJSI,X,X
TOZLSIJ,X,X
TOZLSJI,X,X
TOZJILS,X,O
TOZJISL,X,X
TOZJLIS,X,O
TOZJLSI,X,X
TOZJSIL,X,X
TOZJSLI,X,X
TOZSILJ,X,X
TOZSIJL,X,X
TOZSLIJ,X,X
TOZSLJI,X,X
TOZSJIL,X,X
TOZSJLI,X,X
ITLJSZO,X,X
ITLJSOZ,X,X
ITLJZSO,X,X
ITLJZOS,X,X
ITLJOSZ,X,X
ITLJOZS,X,X
ITLSJZO,X,X
ITLSJOZ,X,X
ITLSZJO,X,O
ITLSZOJ,X,O
ITLSOJZ,X,X
ITLSOZJ,X,O
ITLZJSO,X,X
ITLZJOS,X,O
ITLZSJO,X,X
ITLZSOJ,X,X
ITLZOJS,X,O
ITLZOSJ,X,X
ITLOJSZ,X,X
ITLOJZS,X,X
ITLOSJZ,X,X
ITLOSZJ,X,O
ITLOZJS,X,O
ITLOZSJ,X,X
ITJLSZO,X,X
ITJLSOZ,X,X
ITJLZSO,X,X
ITJLZOS,X,X
ITJLOSZ,X,X
ITJLOZS,X,X
ITJSLZO,X,X
ITJSLOZ,X,X
ITJSZLO,X,X
ITJSZOL,X,X
ITJSOLZ,X,X
ITJSOZL,X,X
ITJZLSO,X,X
ITJZLOS,X,X
ITJZSLO,X,X
ITJZSOL,X,X
ITJZOLS,X,X
ITJZOSL,X,X
ITJOLSZ,X,X
ITJOLZS,X,X
ITJOSLZ,X,X
ITJOSZL,X,X
ITJOZLS,X,X
ITJOZSL,X,X
ITSLJZO,X,X
ITSLJOZ,X,X
ITSLZJO,X,O
ITSLZOJ,X,O
ITSLOJZ,X,X
ITSLOZJ,X,O
ITSJLZO,X,X
ITSJLOZ,X,X
ITSJZLO,X,X
ITSJZOL,X,X
ITSJOLZ,X,X
ITSJOZL,X,X
ITSZLJO,X,O
ITSZLOJ,X,O
ITSZJLO,X,O
ITSZJOL,X,O
ITSZOLJ,X,O
ITSZOJL,X,O
ITSOLJZ,X,X
ITSOLZJ,X,O
ITSOJLZ,X,X
ITSOJZL,X,X
ITSOZLJ,X,O
ITSOZJL,X,O
ITZLJSO,X,X
ITZLJOS,X,O
ITZLSJO,X,X
ITZLSOJ,X,X
ITZLOJS,X,O
ITZLOSJ,X,X
ITZJLSO,X,X
ITZJLOS,X,O
ITZJSLO,X,X
ITZJSOL,X,X
ITZJOLS,X,O
ITZJOSL,X,X
ITZSLJO,X,X
ITZSLOJ,X,X
ITZSJLO,X,X
ITZSJOL,X,X
ITZSOLJ,X,X
ITZSOJL,X,X
ITZOLJS,X,O
ITZOLSJ,X,X
ITZOJLS,X,O
ITZOJSL,X,X
ITZOSLJ,X,X
ITZOSJL,X,X
ITOLJSZ,X,X
ITOLJZS,X,X
ITOLSJZ,X,X
ITOLSZJ,X,O
ITOLZJS,X,O
ITOLZSJ,X,X
ITOJLSZ,X,X
ITOJLZS,X,X
ITOJSLZ,X,X
ITOJSZL,X,X
ITOJZLS,X,X
ITOJZSL,X,X
ITOSLJZ,X,X
ITOSLZJ,X,O
ITOSJLZ,X,X
ITOSJZL,X,X
ITOSZLJ,X,O
ITOSZJL,X,O
ITOZLJS,X,O
ITOZLSJ,X,X
ITOZJLS,X,O
ITOZJSL,X,X
ITOZSLJ,X,X
ITOZSJL,X,X
ILTJSZO,X,X
ILTJSOZ,X,X
ILTJZSO,X,X
ILTJZOS,X,X
ILTJOSZ,X,X
ILTJOZS,X,X
ILTSJZO,X,X
ILTSJOZ,X,X
ILTSZJO,X,O
ILTSZOJ,X,O
ILTSOJZ,X,X
ILTSOZJ,X,O
ILTZJSO,X,X
ILTZJOS,X,O
ILTZSJO,X,X
ILTZSOJ,X,X
ILTZOJS,X,O
ILTZOSJ,X,X
ILTOJSZ,X,X
ILTOJZS,X,X
ILTOSJZ,X,X
ILTOSZJ,X,O
ILTOZJS,X,O
ILTOZSJ,X,X
ILJTSZO,X,X
ILJTSOZ,X,X
ILJTZSO,X,X
ILJTZOS,X,X
ILJTOSZ,X,X
ILJTOZS,X,X
ILJSTZO,X,X
ILJSTOZ,X,X
ILJSZTO,O,X
ILJSZOT,O,X
ILJSOTZ,X,X
ILJSOZT,O,X
ILJZTSO,X,X
ILJZTOS,O,X
ILJZSTO,X,X
ILJZSOT,X,X
ILJZOTS,O,X
ILJZOST,X,X
ILJOTSZ,X,X
ILJOTZS,X,X
ILJOSTZ,X,X
ILJOSZT,O,X
ILJOZTS,O,X
ILJOZST,X,X
ILSTJZO,X,X
ILSTJOZ,X,X
ILSTZJO,X,X
ILSTZOJ,X,X
ILSTOJZ,X,X
ILSTOZJ,X,X
ILSJTZO,X,X
ILSJTOZ,X,X
ILSJZTO,O,X
ILSJZOT,O,X
ILSJOTZ,X,X
ILSJOZT,O,X
ILSZTJO,X,X
ILSZTOJ,X,X
ILSZJTO,O,X
ILSZJOT,O,X
ILSZOTJ,X,X
ILSZOJT,O,X
ILSOTJZ,X,X
ILSOTZJ,X,X
ILSOJTZ,X,X
ILSOJZT,O,X
ILSOZTJ,X,X
ILSOZJT,O,X
ILZTJSO,X,X
ILZTJOS,X,X
ILZTSJO,X,X
ILZTSOJ,X,X
ILZTOJS,X,X
ILZTOSJ,X,X
ILZJTSO,X,X
ILZJTOS,O,X
ILZJSTO,X,X
ILZJSOT,X,X
ILZJOTS,O,X
ILZJOST,X,X
ILZSTJO,X,X
ILZSTOJ,X,X
ILZSJTO,X,X
ILZSJOT,X,X
ILZSOTJ,X,X
ILZSOJT,X,X
ILZOTJS,X,X
ILZOTSJ,X,X
ILZOJTS,O,X
ILZOJST,X,X
ILZOSTJ,X,X
ILZOSJT,X,X
ILOTJSZ,X,X
ILOTJZS,X,X
ILOTSJZ,X,X
ILOTSZJ,X,O
ILOTZJS,X,O
ILOTZSJ,X,X
ILOJTSZ,X,X
ILOJTZS,X,X
ILOJSTZ,X,X
ILOJSZT,O,X
ILOJZTS,O,X
ILOJZST,X,X
ILOSTJZ,X,X
ILOSTZJ,X,X
ILOSJTZ,X,X
ILOSJZT,O,X
ILOSZTJ,X,X
ILOSZJT,O,X
ILOZTJS,X,X
ILOZTSJ,X,X
ILOZJTS,O,X
ILOZJST,X,X
ILOZSTJ,X,X
ILOZSJT,X,X
IJTLSZO,X,X
IJTLSOZ,X,X
IJTLZSO,X,X
IJTLZOS,X,X
IJTLOSZ,X,X
IJTLOZS,X,X
IJTSLZO,X,X
IJTSLOZ,X,X
IJTSZLO,X,X
