sequence,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFCiBTjBllB0?nBmlB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBamBTjB+?rB0sBFsB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBFhBSoBU?nBmnBTrB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBzhBunBc?oBlrBarB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFmgBzhB0lBC?oBFoB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFTgBUiBGjBy?sBFrB/rB
JSOITZL,X,O,O,X,X,X
JSOILTZ,X,O,O,X,X,O
JSOILZT,X,O,O,X,O,X
JSOIZTL,X,O,O,X,O,X
JSOIZLT,X,O,O,X,O,X
JSOLTIZ,X,O,O,X,X,O
JSOLTZI,X,O,O,X,X,X
JSOLITZ,X,O,O,X,X,O
JSOLIZT,X,O,O,X,O,X
JSOLZTI,X,O,O,X,O,X
JSOLZIT,X,O,O,X,O,X
JSOZTIL,X,O,O,X,O,X
JSOZTLI,X,O,O,X,O,X
JSOZITL,X,O,O,X,O,X
JSOZILT,X,O,O,X,O,X
JSOZLTI,X,O,O,X,O,X
JSOZLIT,X,O,O,X,O,X
JZTILSO,X,X,X,O,O,O
JZTILOS,O,X,X,O,X,O
JZTISLO,X,O,X,O,X,X
JZTISOL,X,O,X,O,X,X
JZTIOLS,O,X,X,O,X,O
JZTIOSL,X,O,X,O,X,X
JZTLISO,X,X,X,O,O,O
JZTLIOS,O,X,X,O,X,O
JZTLSIO,X,X,X,O,O,X
JZTLSOI,X,X,X,O,O,X
JZTLOIS,O,X,X,O,X,O
JZTLOSI,X,X,X,O,X,X
JZTSILO,X,O,X,O,X,X
JZTSIOL,X,O,X,O,X,X
JZTSLIO,X,O,X,O,X,X
JZTSLOI,X,O,X,O,X,X
JZTSOIL,X,O,X,O,X,X
JZTSOLI,X,O,X,O,X,X
JZTOILS,O,X,X,O,X,O
JZTOISL,X,O,X,O,X,X
JZTOLIS,O,X,X,O,X,O
JZTOLSI,X,X,X,O,X,X
JZTOSIL,X,O,X,O,X,X
JZTOSLI,X,O,X,O,X,X
JZITLSO,X,X,X,O,O,O
JZITLOS,O,X,X,O,X,O
JZITSLO,X,O,X,O,X,X
JZITSOL,X,O,X,O,X,X
JZITOLS,O,X,X,O,X,O
JZITOSL,X,O,X,O,X,X
JZILTSO,X,X,X,O,O,O
JZILTOS,O,X,X,O,X,O
JZILSTO,O,O,O,O,O,X
JZILSOT,O,O,X,X,O,X
JZILOTS,O,X,X,X,X,O
JZILOST,O,O,X,X,O,X
JZISTLO,O,O,O,O,O,X
JZISTOL,O,O,X,O,O,X
JZISLTO,O,O,O,O,O,X
JZISLOT,O,O,X,X,O,X
JZISOTL,O,O,X,O,O,X
JZISOLT,O,O,X,X,O,X
JZIOTLS,O,X,X,O,X,O
JZIOTSL,X,O,X,O,X,X
JZIOLTS,O,X,X,X,X,O
JZIOLST,O,O,X,X,O,X
JZIOSTL,O,O,X,O,X,X
JZIOSLT,O,O,X,X,X,X
JZLTISO,X,X,X,O,O,O
JZLTIOS,O,X,X,O,X,O
JZLTSIO,X,X,X,O,O,X
JZLTSOI,X,X,X,O,O,X
JZLTOIS,O,X,X,O,X,O
JZLTOSI,X,X,X,O,X,X
JZLITSO,X,X,X,O,O,O
JZLITOS,O,X,X,O,X,O
JZLISTO,O,O,O,O,O,X
JZLISOT,O,O,X,X,O,X
JZLIOTS,O,X,X,X,X,O
JZLIOST,O,O,X,X,O,X
JZLSTIO,O,O,O,O,O,X
JZLSTOI,O,O,X,O,O,X
JZLSITO,O,O,O,O,O,X
JZLSIOT,O,O,X,X,O,X
JZLSOTI,O,O,X,X,O,X
JZLSOIT,O,O,X,X,O,X
JZLOTIS,O,X,X,X,X,O
JZLOTSI,X,X,X,X,X,X
JZLOITS,O,X,X,X,X,O
JZLOIST,O,O,X,X,O,X
JZLOSTI,O,O,X,X,O,X
JZLOSIT,O,O,X,X,O,X
JZSTILO,O,O,O,O,O,X
JZSTIOL,O,O,X,O,O,X
JZSTLIO,O,O,O,O,O,X
JZSTLOI,O,O,X,O,O,X
JZSTOIL,O,O,X,O,O,X
JZSTOLI,O,O,X,O,O,X
JZSITLO,O,O,O,O,O,X
JZSITOL,O,O,X,O,O,X
JZSILTO,O,O,O,O,O,X
JZSILOT,O,O,X,X,O,X
JZSIOTL,O,O,X,O,O,X
JZSIOLT,O,O,X,X,O,X
JZSLTIO,O,O,O,O,O,X
JZSLTOI,O,O,X,O,O,X
JZSLITO,O,O,O,O,O,X
JZSLIOT,O,O,X,X,O,X
JZSLOTI,O,O,X,X,O,X
JZSLOIT,O,O,X,X,O,X
JZSOTIL,O,O,X,O,O,X
JZSOTLI,O,O,X,O,O,X
JZSOITL,O,O,X,O,O,X
JZSOILT,O,O,X,X,O,X
JZSOLTI,O,O,X,X,O,X
JZSOLIT,O,O,X,X,O,X
JZOTILS,O,X,X,O,X,O
JZOTISL,X,O,X,O,X,X
JZOTLIS,O,X,X,O,X,O
JZOTLSI,X,X,X,O,X,X
JZOTSIL,X,O,X,O,X,X
JZOTSLI,X,O,X,O,X,X
JZOITLS,O,X,X,O,X,O
JZOITSL,X,O,X,O,X,X
JZOILTS,O,X,X,X,X,O
JZOILST,O,O,X,X,O,X
JZOISTL,O,O,X,O,X,X
JZOISLT,O,O,X,X,X,X
JZOLTIS,O,X,X,X,X,O
JZOLTSI,X,X,X,X,X,X
JZOLITS,O,X,X,X,X,O
JZOLIST,O,O,X,X,O,X
JZOLSTI,O,O,X,X,O,X
JZOLSIT,O,O,X,X,O,X
JZOSTIL,O,O,X,O,X,X
JZOSTLI,O,O,X,O,X,X
JZOSITL,O,O,X,O,X,X
JZOSILT,O,O,X,X,X,X
JZOSLTI,O,O,X,X,X,X
JZOSLIT,O,O,X,X,X,X
JOTILSZ,X,X,X,X,X,O
JOTILZS,X,X,X,X,X,O
JOTISLZ,X,O,X,X,X,O
JOTISZL,X,O,X,X,X,X
JOTIZLS,O,X,X,X,X,O
JOTIZSL,X,O,X,X,X,X
JOTLISZ,X,X,X,X,X,O
JOTLIZS,X,X,X,X,X,O
JOTLSIZ,X,X,X,X,X,O
JOTLSZI,X,X,X,X,X,X
JOTLZIS,X,X,X,X,X,O
JOTLZSI,X,X,X,X,X,X
JOTSILZ,X,O,X,X,X,O
JOTSIZL,X,O,X,X,X,X
JOTSLIZ,X,O,X,X,X,O
JOTSLZI,X,O,X,X,X,X
JOTSZIL,X,O,X,X,X,X
JOTSZLI,X,O,X,X,X,X
JOTZILS,O,X,X,X,X,O
JOTZISL,X,O,X,X,X,X
JOTZLIS,O,X,X,X,X,O
JOTZLSI,X,X,X,X,X,X
JOTZSIL,X,O,X,X,X,X
JOTZSLI,X,O,X,X,X,X
JOITLSZ,X,X,X,X,X,O
JOITLZS,X,X,X,X,X,O
JOITSLZ,X,O,X,X,X,O
JOITSZL,X,O,X,X,X,X
JOITZLS,O,X,X,X,X,O
JOITZSL,X,O,X,X,X,X
JOILTSZ,X,X,X,X,X,O
JOILTZS,X,X,X,X,X,O
JOILSTZ,X,O,O,X,X,O
JOILSZT,X,O,O,X,X,X
JOILZTS,X,X,X,X,X,O
JOILZST,X,O,O,X,X,X
JOISTLZ,X,O,O,X,X,O
JOISTZL,X,O,O,X,X,X
JOISLTZ,X,O,O,X,X,O
JOISLZT,X,O,O,X,X,X
JOISZTL,X,O,O,X,X,X
JOISZLT,X,O,O,X,X,X
JOIZTLS,O,X,X,X,X,O
JOIZTSL,X,O,X,X,X,X
JOIZLTS,O,X,X,X,X,O
JOIZLST,O,O,O,X,X,X
JOIZSTL,O,O,O,X,X,X
JOIZSLT,O,O,O,X,X,X
JOLTISZ,X,X,X,X,X,O
JOLTIZS,X,X,X,X,X,O
JOLTSIZ,X,X,X,X,X,O
JOLTSZI,X,X,X,X,X,X
JOLTZIS,X,X,X,X,X,O
JOLTZSI,X,X,X,X,X,X
JOLITSZ,X,X,X,X,X,O
JOLITZS,X,X,X,X,X,O
JOLISTZ,X,O,O,X,X,O
JOLISZT,X,O,O,X,X,X
JOLIZTS,X,X,X,X,X,O
JOLIZST,X,O,O,X,X,X
JOLSTIZ,X,O,O,X,X,O
JOLSTZI,X,O,O,X,X,X
JOLSITZ,X,O,O,X,X,O
JOLSIZT,X,O,O,X,X,X
JOLSZTI,X,O,O,X,X,X
JOLSZIT,X,O,O,X,X,X
JOLZTIS,X,X,X,X,X,O
JOLZTSI,X,X,X,X,X,X
JOLZITS,X,X,X,X,X,O
JOLZIST,X,O,O,X,X,X
JOLZSTI,X,O,O,X,X,X
JOLZSIT,X,O,O,X,X,X
JOSTILZ,X,O,O,X,X,O
JOSTIZL,X,O,O,X,X,X
JOSTLIZ,X,O,O,X,X,O
JOSTLZI,X,O,O,X,X,X
JOSTZIL,X,O,O,X,X,X
JOSTZLI,X,O,O,X,X,X
JOSITLZ,X,O,O,X,X,O
JOSITZL,X,O,O,X,X,X
JOSILTZ,X,O,O,X,X,O
JOSILZT,X,O,O,X,X,X
JOSIZTL,X,O,O,X,X,X
JOSIZLT,X,O,O,X,X,X
JOSLTIZ,X,O,O,X,X,O
JOSLTZI,X,O,O,X,X,X
JOSLITZ,X,O,O,X,X,O
JOSLIZT,X,O,O,X,X,X
JOSLZTI,X,O,O,X,X,X
JOSLZIT,X,O,O,X,X,X
JOSZTIL,X,O,O,X,X,X
JOSZTLI,X,O,O,X,X,X
JOSZITL,X,O,O,X,X,X
JOSZILT,X,O,O,X,X,X
JOSZLTI,X,O,O,X,X,X
JOSZLIT,X,O,O,X,X,X
JOZTILS,O,X,X,X,X,O
JOZTISL,X,O,X,X,X,X
JOZTLIS,O,X,X,X,X,O
JOZTLSI,X,X,X,X,X,X
JOZTSIL,X,O,X,X,X,X
JOZTSLI,X,O,X,X,X,X
JOZITLS,O,X,X,X,X,O
JOZITSL,X,O,X,X,X,X
JOZILTS,O,X,X,X,X,O
JOZILST,O,O,O,X,X,X
JOZISTL,O,O,O,X,X,X
JOZISLT,O,O,O,X,X,X
JOZLTIS,O,X,X,X,X,O
JOZLTSI,X,X,X,X,X,X
JOZLITS,O,X,X,X,X,O
JOZLIST,O,O,O,X,X,X
JOZLSTI,O,O,O,X,X,X
JOZLSIT,O,O,O,X,X,X
JOZSTIL,O,O,O,X,X,X
JOZSTLI,O,O,O,X,X,X
JOZSITL,O,O,O,X,X,X
JOZSILT,O,O,O,X,X,X
JOZSLTI,O,O,O,X,X,X
JOZSLIT,O,O,O,X,X,X
STILJZO,O,O,O,X,X,O
STILJOZ,X,O,X,X,X,O
STILZJO,O,X,O,O,O,O
STILZOJ,O,X,O,O,O,O
STILOJZ,X,O,O,X,X,O
STILOZJ,O,X,O,O,O,O
STIJLZO,O,O,O,X,X,O
STIJLOZ,X,O,X,X,X,O
STIJZLO,O,O,O,O,X,X
STIJZOL,O,O,X,O,X,X
STIJOLZ,X,O,X,X,X,O
STIJOZL,X,O,X,O,X,X
STIZLJO,O,X,O,O,O,X
STIZLOJ,O,X,O,O,O,X
STIZJLO,O,O,O,O,O,X
STIZJOL,O,O,X,O,O,X
STIZOLJ,O,X,O,O,O,X
STIZOJL,O,O,X,O,O,X
STIOLJZ,X,O,O,X,X,O
STIOLZJ,O,X,O,O,O,O
STIOJLZ,X,O,O,X,X,O
STIOJZL,X,O,O,O,X,X
STIOZLJ,O,X,O,O,O,X
STIOZJL,O,O,O,O,O,X
STLIJZO,O,O,O,X,X,O
STLIJOZ,X,O,X,X,X,O
STLIZJO,O,X,O,O,O,O
STLIZOJ,O,X,O,O,O,O
STLIOJZ,X,O,O,X,X,O
STLIOZJ,O,X,O,O,O,O
STLJIZO,O,O,O,X,X,O
STLJIOZ,X,O,X,X,X,O
STLJZIO,O,O,O,X,X,X
STLJZOI,O,O,X,X,X,X
STLJOIZ,X,O,X,X,X,O
STLJOZI,X,O,X,X,X,X
STLZIJO,O,X,O,O,O,X
STLZIOJ,O,X,O,O,O,X
STLZJIO,O,X,O,O,O,X
STLZJOI,O,X,X,O,O,X
STLZOIJ,O,X,O,O,O,X
STLZOJI,O,X,X,O,O,X
STLOIJZ,X,O,O,X,X,O
STLOIZJ,O,X,O,O,O,O
STLOJIZ,X,O,O,X,X,O
STLOJZI,X,O,O,X,X,X
STLOZIJ,O,X,O,O,O,X
STLOZJI,O,X,O,O,O,X
STJILZO,O,O,O,X,X,O
STJILOZ,X,O,X,X,X,O
STJIZLO,O,O,O,O,X,X
STJIZOL,O,O,X,O,X,X
STJIOLZ,X,O,X,X,X,O
STJIOZL,X,O,X,O,X,X
STJLIZO,O,O,O,X,X,O
STJLIOZ,X,O,X,X,X,O
STJLZIO,O,O,O,X,X,X
STJLZOI,O,O,X,X,X,X
STJLOIZ,X,O,X,X,X,O
STJLOZI,X,O,X,X,X,X
STJZILO,O,O,O,O,X,X
STJZIOL,O,O,X,O,X,X
STJZLIO,O,O,O,O,X,X
STJZLOI,O,O,X,O,X,X
STJZOIL,O,O,X,O,X,X
STJZOLI,O,O,X,O,X,X
STJOILZ,X,O,X,X,X,O
STJOIZL,X,O,X,O,X,X
STJOLIZ,X,O,X,X,X,O
STJOLZI,X,O,X,X,X,X
STJOZIL,X,O,X,O,X,X
STJOZLI,X,O,X,O,X,X
STZILJO,O,X,O,O,O,X
STZILOJ,O,X,O,O,O,X
STZIJLO,O,O,O,O,O,X
STZIJOL,O,O,X,O,O,X
STZIOLJ,O,X,O,O,O,X
STZIOJL,O,O,X,O,O,X
STZLIJO,O,X,O,O,O,X
STZLIOJ,O,X,O,O,O,X
STZLJIO,O,X,O,O,O,X
STZLJOI,O,X,X,O,O,X
STZLOIJ,O,X,O,O,O,X
STZLOJI,O,X,X,O,O,X
STZJILO,O,O,O,O,O,X
STZJIOL,O,O,X,O,O,X
STZJLIO,O,O,O,O,O,X
STZJLOI,O,O,X,O,O,X
STZJOIL,O,O,X,O,O,X
STZJOLI,O,O,X,O,O,X
STZOILJ,O,X,O,O,O,X
STZOIJL,O,O,X,O,O,X
STZOLIJ,O,X,O,O,O,X
STZOLJI,O,X,X,O,O,X
STZOJIL,O,O,X,O,O,X
STZOJLI,O,O,X,O,O,X
STOILJZ,X,O,O,X,X,O
STOILZJ,O,X,O,O,O,O
STOIJLZ,X,O,O,X,X,O
STOIJZL,X,O,O,O,X,X
STOIZLJ,O,X,O,O,O,X
STOIZJL,O,O,O,O,O,X
STOLIJZ,X,O,O,X,X,O
STOLIZJ,O,X,O,O,O,O
STOLJIZ,X,O,O,X,X,O
STOLJZI,X,O,O,X,X,X
STOLZIJ,O,X,O,O,O,X
STOLZJI,O,X,O,O,O,X
STOJILZ,X,O,O,X,X,O
STOJIZL,X,O,O,O,X,X
STOJLIZ,X,O,O,X,X,O
STOJLZI,X,O,O,X,X,X
STOJZIL,X,O,O,O,X,X
STOJZLI,X,O,O,O,X,X
STOZILJ,O,X,O,O,O,X
STOZIJL,O,O,O,O,O,X
STOZLIJ,O,X,O,O,O,X
STOZLJI,O,X,O,O,O,X
STOZJIL,O,O,O,O,O,X
STOZJLI,O,O,O,O,O,X
SITLJZO,O,O,O,X,X,O
SITLJOZ,X,O,X,X,X,O
SITLZJO,O,X,O,O,O,O
SITLZOJ,O,X,O,O,O,O
SITLOJZ,X,O,O,X,X,O
SITLOZJ,O,X,O,O,O,O
SITJLZO,O,O,O,X,X,O
SITJLOZ,X,O,X,X,X,O
SITJZLO,O,O,O,O,X,X
SITJZOL,O,O,X,O,X,X
SITJOLZ,X,O,X,X,X,O
SITJOZL,X,O,X,O,X,X
SITZLJO,O,X,O,O,O,X
SITZLOJ,O,X,O,O,O,X
SITZJLO,O,O,O,O,O,X
SITZJOL,O,O,X,O,O,X
SITZOLJ,O,X,O,O,O,X
SITZOJL,O,O,X,O,O,X
SITOLJZ,X,O,O,X,X,O
SITOLZJ,O,X,O,O,O,O
SITOJLZ,X,O,O,X,X,O
SITOJZL,X,O,O,O,X,X
SITOZLJ,O,X,O,O,O,X
SITOZJL,O,O,O,O,O,X
SILTJZO,O,O,O,X,X,O
SILTJOZ,X,O,X,X,X,O
SILTZJO,O,X,O,O,O,O
SILTZOJ,O,X,O,O,O,O
SILTOJZ,X,O,O,X,X,O
SILTOZJ,O,X,O,O,O,O
SILJTZO,O,O,O,X,X,O
SILJTOZ,X,O,X,X,X,O
SILJZTO,O,O,O,X,O,X
SILJZOT,O,O,X,X,O,X
SILJOTZ,X,O,O,X,X,O
SILJOZT,X,O,O,X,O,X
SILZTJO,O,X,O,O,O,X
SILZTOJ,O,X,O,O,O,X
SILZJTO,O,O,O,O,O,X
SILZJOT,O,O,X,X,O,X
SILZOTJ,O,X,O,X,O,X
SILZOJT,O,O,O,X,O,X
SILOTJZ,X,O,O,X,X,O
SILOTZJ,O,X,O,X,O,O
SILOJTZ,X,O,O,X,X,O
SILOJZT,X,O,O,X,O,X
SILOZTJ,O,X,O,X,O,X
SILOZJT,O,O,O,X,O,X
SIJTLZO,O,O,O,X,X,O
SIJTLOZ,X,O,X,X,X,O
SIJTZLO,O,O,O,O,X,X
SIJTZOL,O,O,X,O,X,X
SIJTOLZ,X,O,X,X,X,O
SIJTOZL,X,O,X,O,X,X
SIJLTZO,O,O,O,X,X,O
SIJLTOZ,X,O,X,X,X,O
SIJLZTO,O,O,O,X,O,X
SIJLZOT,O,O,X,X,O,X
SIJLOTZ,X,O,O,X,X,O
SIJLOZT,X,O,O,X,O,X
SIJZTLO,O,O,O,O,O,X
SIJZTOL,O,O,X,O,O,X
SIJZLTO,O,O,O,O,O,X
SIJZLOT,O,O,X,X,O,X
SIJZOTL,O,O,X,O,O,X
SIJZOLT,O,O,X,X,O,X
SIJOTLZ,X,O,O,X,X,O
SIJOTZL,X,O,O,X,X,X
SIJOLTZ,X,O,O,X,X,O
SIJOLZT,X,O,O,X,O,X
SIJOZTL,X,O,O,X,O,X
SIJOZLT,X,O,O,X,O,X
SIZTLJO,O,X,O,O,O,X
SIZTLOJ,O,X,O,O,O,X
SIZTJLO,O,O,O,O,O,X
SIZTJOL,O,O,X,O,O,X
SIZTOLJ,O,X,O,O,O,X
SIZTOJL,O,O,X,O,O,X
SIZLTJO,O,X,O,O,O,X
SIZLTOJ,O,X,O,O,O,X
SIZLJTO,O,O,O,O,O,X
SIZLJOT,O,O,X,X,O,X
SIZLOTJ,O,X,O,X,O,X
SIZLOJT,O,O,O,X,O,X
SIZJTLO,O,O,O,O,O,X
SIZJTOL,O,O,X,O,O,X
SIZJLTO,O,O,O,O,O,X
SIZJLOT,O,O,X,X,O,X
SIZJOTL,O,O,X,O,O,X
SIZJOLT,O,O,X,X,O,X
SIZOTLJ,O,X,O,O,O,X
SIZOTJL,O,O,O,O,O,X
SIZOLTJ,O,X,O,X,O,X
SIZOLJT,O,O,O,X,O,X
SIZOJTL,O,O,O,O,O,X
SIZOJLT,O,O,O,X,O,X
SIOTLJZ,X,O,O,X,X,O
SIOTLZJ,O,X,O,O,O,O
SIOTJLZ,X,O,O,X,X,O
SIOTJZL,X,O,O,O,X,X
SIOTZLJ,O,X,O,O,O,X
SIOTZJL,O,O,O,O,O,X
SIOLTJZ,X,O,O,X,X,O
SIOLTZJ,O,X,O,X,O,O
SIOLJTZ,X,O,O,X,X,O
SIOLJZT,X,O,O,X,O,X
SIOLZTJ,O,X,O,X,O,X
SIOLZJT,O,O,O,X,O,X
SIOJTLZ,X,O,O,X,X,O
SIOJTZL,X,O,O,X,X,X
SIOJLTZ,X,O,O,X,X,O
SIOJLZT,X,O,O,X,O,X
SIOJZTL,X,O,O,X,O,X
SIOJZLT,X,O,O,X,O,X
SIOZTLJ,O,X,O,O,O,X
SIOZTJL,O,O,O,O,O,X
SIOZLTJ,O,X,O,X,O,X
SIOZLJT,O,O,O,X,O,X
SIOZJTL,O,O,O,O,O,X
SIOZJLT,O,O,O,X,O,X
SLTIJZO,O,O,O,X,X,O
SLTIJOZ,X,O,X,X,X,O
SLTIZJO,O,X,O,O,O,O
SLTIZOJ,O,X,O,O,O,O
SLTIOJZ,X,O,O,X,X,O
SLTIOZJ,O,X,O,O,O,O
SLTJIZO,O,O,O,X,X,O
SLTJIOZ,X,O,X,X,X,O
SLTJZIO,O,O,O,X,X,X
SLTJZOI,O,O,X,X,X,X
SLTJOIZ,X,O,X,X,X,O
SLTJOZI,X,O,X,X,X,X
SLTZIJO,O,X,O,O,O,X
SLTZIOJ,O,X,O,O,O,X
SLTZJIO,O,X,O,O,O,X
SLTZJOI,O,X,X,O,O,X
SLTZOIJ,O,X,O,O,O,X
SLTZOJI,O,X,X,O,O,X
SLTOIJZ,X,O,O,X,X,O
SLTOIZJ,O,X,O,O,O,O
SLTOJIZ,X,O,O,X,X,O
SLTOJZI,X,O,O,X,X,X
SLTOZIJ,O,X,O,O,O,X
SLTOZJI,O,X,O,O,O,X
SLITJZO,O,O,O,X,X,O
SLITJOZ,X,O,X,X,X,O
SLITZJO,O,X,O,O,O,O
SLITZOJ,O,X,O,O,O,O
SLITOJZ,X,O,O,X,X,O
SLITOZJ,O,X,O,O,O,O
SLIJTZO,O,O,O,X,X,O
SLIJTOZ,X,O,X,X,X,O
SLIJZTO,O,O,O,X,O,X
SLIJZOT,O,O,X,X,O,X
SLIJOTZ,X,O,O,X,X,O
SLIJOZT,X,O,O,X,O,X
SLIZTJO,O,X,O,O,O,X
SLIZTOJ,O,X,O,O,O,X
SLIZJTO,O,O,O,O,O,X
SLIZJOT,O,O,X,X,O,X
SLIZOTJ,O,X,O,X,O,X
SLIZOJT,O,O,O,X,O,X
SLIOTJZ,X,O,O,X,X,O
SLIOTZJ,O,X,O,X,O,O
SLIOJTZ,X,O,O,X,X,O
SLIOJZT,X,O,O,X,O,X
SLIOZTJ,O,X,O,X,O,X
SLIOZJT,O,O,O,X,O,X
SLJTIZO,O,O,O,X,X,O
SLJTIOZ,X,O,X,X,X,O
SLJTZIO,O,O,O,X,X,X
SLJTZOI,O,O,X,X,X,X
SLJTOIZ,X,O,X,X,X,O
SLJTOZI,X,O,X,X,X,X
SLJITZO,O,O,O,X,X,O
SLJITOZ,X,O,X,X,X,O
SLJIZTO,O,O,O,X,O,X
SLJIZOT,O,O,X,X,O,X
SLJIOTZ,X,O,O,X,X,O
SLJIOZT,X,O,O,X,O,X
SLJZTIO,O,O,O,X,O,X
SLJZTOI,O,O,X,X,O,X
SLJZITO,O,O,O,X,O,X
SLJZIOT,O,O,X,X,O,X
SLJZOTI,O,O,X,X,O,X
SLJZOIT,O,O,X,X,O,X
SLJOTIZ,X,O,O,X,X,O
SLJOTZI,X,O,O,X,X,X
SLJOITZ,X,O,O,X,X,O
SLJOIZT,X,O,O,X,O,X
SLJOZTI,X,O,O,X,O,X
SLJOZIT,X,O,O,X,O,X
SLZTIJO,O,X,O,O,O,X
SLZTIOJ,O,X,O,O,O,X
SLZTJIO,O,X,O,O,O,X
SLZTJOI,O,X,X,O,O,X
SLZTOIJ,O,X,O,O,O,X
SLZTOJI,O,X,X,O,O,X
SLZITJO,O,X,O,O,O,X
SLZITOJ,O,X,O,O,O,X
SLZIJTO,O,O,O,O,O,X
SLZIJOT,O,O,X,X,O,X
SLZIOTJ,O,X,O,X,O,X
SLZIOJT,O,O,O,X,O,X
SLZJTIO,O,O,O,O,O,X
SLZJTOI,O,O,X,O,O,X
SLZJITO,O,O,O,O,O,X
SLZJIOT,O,O,X,X,O,X
SLZJOTI,O,O,X,X,O,X
SLZJOIT,O,O,X,X,O,X
SLZOTIJ,O,X,O,X,O,X
SLZOTJI,O,X,O,X,O,X
SLZOITJ,O,X,O,X,O,X
SLZOIJT,O,O,O,X,O,X
SLZOJTI,O,O,O,X,O,X
SLZOJIT,O,O,O,X,O,X
SLOTIJZ,X,O,O,X,X,O
SLOTIZJ,O,X,O,X,O,O
SLOTJIZ,X,O,O,X,X,O
SLOTJZI,X,O,O,X,X,X
SLOTZIJ,O,X,O,X,O,X
SLOTZJI,O,X,O,X,O,X
SLOITJZ,X,O,O,X,X,O
SLOITZJ,O,X,O,X,O,O
SLOIJTZ,X,O,O,X,X,O
SLOIJZT,X,O,O,X,O,X
SLOIZTJ,O,X,O,X,O,X
SLOIZJT,O,O,O,X,O,X
SLOJTIZ,X,O,O,X,X,O
SLOJTZI,X,O,O,X,X,X
SLOJITZ,X,O,O,X,X,O
SLOJIZT,X,O,O,X,O,X
SLOJZTI,X,O,O,X,O,X
SLOJZIT,X,O,O,X,O,X
SLOZTIJ,O,X,O,X,O,X
SLOZTJI,O,X,O,X,O,X
SLOZITJ,O,X,O,X,O,X
SLOZIJT,O,O,O,X,O,X
SLOZJTI,O,O,O,X,O,X
SLOZJIT,O,O,O,X,O,X
SJTILZO,O,O,O,X,X,O
SJTILOZ,X,O,X,X,X,O
SJTIZLO,O,O,O,O,X,X
SJTIZOL,O,O,X,O,X,X
SJTIOLZ,X,O,X,X,X,O
SJTIOZL,X,O,X,O,X,X
SJTLIZO,O,O,O,X,X,O
SJTLIOZ,X,O,X,X,X,O
SJTLZIO,O,O,O,X,X,X
SJTLZOI,O,O,X,X,X,X
SJTLOIZ,X,O,X,X,X,O
SJTLOZI,X,O,X,X,X,X
SJTZILO,O,O,O,O,X,X
SJTZIOL,O,O,X,O,X,X
SJTZLIO,O,O,O,O,X,X
SJTZLOI,O,O,X,O,X,X
SJTZOIL,O,O,X,O,X,X
SJTZOLI,O,O,X,O,X,X
SJTOILZ,X,O,X,X,X,O
SJTOIZL,X,O,X,O,X,X
SJTOLIZ,X,O,X,X,X,O
SJTOLZI,X,O,X,X,X,X
SJTOZIL,X,O,X,O,X,X
SJTOZLI,X,O,X,O,X,X
SJITLZO,O,O,O,X,X,O
SJITLOZ,X,O,X,X,X,O
SJITZLO,O,O,O,O,X,X
SJITZOL,O,O,X,O,X,X
SJITOLZ,X,O,X,X,X,O
SJITOZL,X,O,X,O,X,X
SJILTZO,O,O,O,X,X,O
SJILTOZ,X,O,X,X,X,O
SJILZTO,O,O,O,X,O,X
SJILZOT,O,O,X,X,O,X
SJILOTZ,X,O,O,X,X,O
SJILOZT,X,O,O,X,O,X
SJIZTLO,O,O,O,O,O,X
SJIZTOL,O,O,X,O,O,X
SJIZLTO,O,O,O,O,O,X
SJIZLOT,O,O,X,X,O,X
SJIZOTL,O,O,X,O,O,X
SJIZOLT,O,O,X,X,O,X
SJIOTLZ,X,O,O,X,X,O
SJIOTZL,X,O,O,X,X,X
SJIOLTZ,X,O,O,X,X,O
SJIOLZT,X,O,O,X,O,X
SJIOZTL,X,O,O,X,O,X
SJIOZLT,X,O,O,X,O,X
SJLTIZO,O,O,O,X,X,O
SJLTIOZ,X,O,X,X,X,O
SJLTZIO,O,O,O,X,X,X
SJLTZOI,O,O,X,X,X,X
SJLTOIZ,X,O,X,X,X,O
SJLTOZI,X,O,X,X,X,X
SJLITZO,O,O,O,X,X,O
SJLITOZ,X,O,X,X,X,O
SJLIZTO,O,O,O,X,O,X
SJLIZOT,O,O,X,X,O,X
SJLIOTZ,X,O,O,X,X,O
SJLIOZT,X,O,O,X,O,X
SJLZTIO,O,O,O,X,O,X
SJLZTOI,O,O,X,X,O,X
SJLZITO,O,O,O,X,O,X
SJLZIOT,O,O,X,X,O,X
SJLZOTI,O,O,X,X,O,X
SJLZOIT,O,O,X,X,O,X
SJLOTIZ,X,O,O,X,X,O
SJLOTZI,X,O,O,X,X,X
SJLOITZ,X,O,O,X,X,O
SJLOIZT,X,O,O,X,O,X
SJLOZTI,X,O,O,X,O,X
SJLOZIT,X,O,O,X,O,X
SJZTILO,O,O,O,O,O,X
SJZTIOL,O,O,X,O,O,X
