sequence,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFCiBTjBllB0?nBmlB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBamBTjB+?rB0sBFsB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBFhBSoBU?nBmnBTrB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBzhBunBc?oBlrBarB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFmgBzhB0lBC?oBFoB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFTgBUiBGjBy?sBFrB/rB
TJSLZIO,O,O,X,X,X,X
TJSLZOI,O,O,X,X,X,X
TJSLOIZ,X,O,X,X,X,O
TJSLOZI,X,O,X,X,X,X
TJSZILO,O,O,X,O,X,X
TJSZIOL,O,O,X,O,X,X
TJSZLIO,O,O,X,O,X,X
TJSZLOI,O,O,X,O,X,X
TJSZOIL,O,O,X,O,X,X
TJSZOLI,O,O,X,O,X,X
TJSOILZ,X,O,X,X,X,O
TJSOIZL,X,O,X,O,X,X
TJSOLIZ,X,O,X,X,X,O
TJSOLZI,X,O,X,X,X,X
TJSOZIL,X,O,X,O,X,X
TJSOZLI,X,O,X,O,X,X
TJZILSO,X,X,X,O,X,O
TJZILOS,O,X,X,O,X,O
TJZISLO,X,O,X,O,X,X
TJZISOL,X,O,X,O,X,X
TJZIOLS,O,X,X,O,X,O
TJZIOSL,X,O,X,O,X,X
TJZLISO,X,X,X,O,X,O
TJZLIOS,O,X,X,O,X,O
TJZLSIO,X,X,X,O,X,X
TJZLSOI,X,X,X,O,X,X
TJZLOIS,O,X,X,O,X,O
TJZLOSI,X,X,X,O,X,X
TJZSILO,X,O,X,O,X,X
TJZSIOL,X,O,X,O,X,X
TJZSLIO,X,O,X,O,X,X
TJZSLOI,X,O,X,O,X,X
TJZSOIL,X,O,X,O,X,X
TJZSOLI,X,O,X,O,X,X
TJZOILS,O,X,X,O,X,O
TJZOISL,X,O,X,O,X,X
TJZOLIS,O,X,X,O,X,O
TJZOLSI,X,X,X,O,X,X
TJZOSIL,X,O,X,O,X,X
TJZOSLI,X,O,X,O,X,X
TJOILSZ,X,X,X,X,X,O
TJOILZS,X,X,X,X,X,O
TJOISLZ,X,O,X,X,X,O
TJOISZL,X,O,X,O,X,X
TJOIZLS,O,X,X,O,X,O
TJOIZSL,X,O,X,O,X,X
TJOLISZ,X,X,X,X,X,O
TJOLIZS,X,X,X,X,X,O
TJOLSIZ,X,X,X,X,X,O
TJOLSZI,X,X,X,X,X,X
TJOLZIS,X,X,X,X,X,O
TJOLZSI,X,X,X,X,X,X
TJOSILZ,X,O,X,X,X,O
TJOSIZL,X,O,X,O,X,X
TJOSLIZ,X,O,X,X,X,O
TJOSLZI,X,O,X,X,X,X
TJOSZIL,X,O,X,O,X,X
TJOSZLI,X,O,X,O,X,X
TJOZILS,O,X,X,O,X,O
TJOZISL,X,O,X,O,X,X
TJOZLIS,O,X,X,O,X,O
TJOZLSI,X,X,X,O,X,X
TJOZSIL,X,O,X,O,X,X
TJOZSLI,X,O,X,O,X,X
TSILJZO,O,O,O,X,X,O
TSILJOZ,X,O,X,X,X,O
TSILZJO,O,X,O,O,O,O
TSILZOJ,O,X,O,O,O,O
TSILOJZ,X,O,O,X,X,O
TSILOZJ,O,X,O,O,O,O
TSIJLZO,O,O,O,X,X,O
TSIJLOZ,X,O,X,X,X,O
TSIJZLO,O,O,O,O,X,X
TSIJZOL,O,O,X,O,X,X
TSIJOLZ,X,O,X,X,X,O
TSIJOZL,X,O,X,O,X,X
TSIZLJO,O,X,O,O,O,X
TSIZLOJ,O,X,O,O,O,X
TSIZJLO,O,O,O,O,O,X
TSIZJOL,O,O,X,O,O,X
TSIZOLJ,O,X,O,O,O,X
TSIZOJL,O,O,X,O,O,X
TSIOLJZ,X,O,O,X,X,O
TSIOLZJ,O,X,O,O,O,O
TSIOJLZ,X,O,O,X,X,O
TSIOJZL,X,O,O,O,X,X
TSIOZLJ,O,X,O,O,O,X
TSIOZJL,O,O,O,O,O,X
TSLIJZO,O,O,O,X,X,O
TSLIJOZ,X,O,X,X,X,O
TSLIZJO,O,X,O,O,O,O
TSLIZOJ,O,X,O,O,O,O
TSLIOJZ,X,O,O,X,X,O
TSLIOZJ,O,X,O,O,O,O
TSLJIZO,O,O,O,X,X,O
TSLJIOZ,X,O,X,X,X,O
TSLJZIO,O,O,O,X,X,X
TSLJZOI,O,O,X,X,X,X
TSLJOIZ,X,O,X,X,X,O
TSLJOZI,X,O,X,X,X,X
TSLZIJO,O,X,O,O,O,X
TSLZIOJ,O,X,O,O,O,X
TSLZJIO,O,X,O,O,O,X
TSLZJOI,O,X,X,O,O,X
TSLZOIJ,O,X,O,O,O,X
TSLZOJI,O,X,X,O,O,X
TSLOIJZ,X,O,O,X,X,O
TSLOIZJ,O,X,O,O,O,O
TSLOJIZ,X,O,O,X,X,O
TSLOJZI,X,O,O,X,X,X
TSLOZIJ,O,X,O,O,O,X
TSLOZJI,O,X,O,O,O,X
TSJILZO,O,O,O,X,X,O
TSJILOZ,X,O,X,X,X,O
TSJIZLO,O,O,O,O,X,X
TSJIZOL,O,O,X,O,X,X
TSJIOLZ,X,O,X,X,X,O
TSJIOZL,X,O,X,O,X,X
TSJLIZO,O,O,O,X,X,O
TSJLIOZ,X,O,X,X,X,O
TSJLZIO,O,O,O,X,X,X
TSJLZOI,O,O,X,X,X,X
TSJLOIZ,X,O,X,X,X,O
TSJLOZI,X,O,X,X,X,X
TSJZILO,O,O,O,O,X,X
TSJZIOL,O,O,X,O,X,X
TSJZLIO,O,O,O,O,X,X
TSJZLOI,O,O,X,O,X,X
TSJZOIL,O,O,X,O,X,X
TSJZOLI,O,O,X,O,X,X
TSJOILZ,X,O,X,X,X,O
TSJOIZL,X,O,X,O,X,X
TSJOLIZ,X,O,X,X,X,O
