sequence,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFUgBFhB6nB3?mBzpBWwB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFFgB0hB6nB3?lBWvBTrB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFGgB6nB8pBl?mB3qBTrB,v115@FhB8AeA8FeB8FeA8AeB8FeD8Jei/IvhFclBxhB/rBG?nBTpB1vB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFclB6nBlmBu?pB3qBTrB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeOEJvhF6nB0lBlmBX?lBTrBxuB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeOEJvhFxgB6nBlmB3?pBUrBTqB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JexAJvhF6nBTlB0pBX?rBOpBlrB
TJILSOZ,O,O,X,X,X,X,X,X
TJILZSO,O,O,O,X,X,O,X,X
TJILZOS,O,O,X,X,X,O,X,X
TJILOSZ,X,O,X,X,X,X,X,X
TJILOZS,X,O,X,X,X,O,X,X
TJISLZO,O,O,O,O,O,O,X,X
TJISLOZ,O,O,X,X,X,X,X,X
TJISZLO,O,O,O,O,O,O,X,X
TJISZOL,O,O,O,O,X,X,X,X
TJISOLZ,O,O,X,O,X,X,X,X
TJISOZL,O,O,X,O,X,X,X,X
TJIZLSO,O,O,O,X,X,O,X,X
TJIZLOS,O,O,X,X,X,O,X,X
TJIZSLO,O,O,O,X,X,O,X,X
TJIZSOL,O,O,O,X,X,X,X,X
TJIZOLS,O,O,X,X,X,O,X,X
TJIZOSL,X,O,X,X,X,X,X,X
TJIOLSZ,X,O,X,X,X,X,X,X
TJIOLZS,X,O,X,X,X,O,X,X
TJIOSLZ,X,O,X,O,X,X,X,X
TJIOSZL,X,O,X,O,X,X,X,X
TJIOZLS,X,O,X,X,X,O,X,X
TJIOZSL,X,O,X,X,X,X,X,X
TJLISZO,O,O,O,X,O,O,X,X
TJLISOZ,O,O,X,X,X,X,X,X
TJLIZSO,O,O,O,X,X,O,X,X
TJLIZOS,O,O,X,X,X,O,X,X
TJLIOSZ,X,O,X,X,X,X,X,X
TJLIOZS,X,O,X,X,X,O,X,X
TJLSIZO,O,O,O,X,O,O,X,X
TJLSIOZ,O,O,X,X,X,X,X,X
TJLSZIO,O,O,X,X,O,X,O,X
TJLSZOI,O,O,X,X,X,X,O,X
TJLSOIZ,O,O,X,X,X,X,X,X
TJLSOZI,O,O,X,X,X,X,X,X
TJLZISO,O,O,O,X,X,O,O,X
TJLZIOS,O,O,X,X,X,O,X,X
TJLZSIO,O,O,O,X,X,X,X,X
TJLZSOI,O,O,O,X,X,X,X,X
TJLZOIS,O,O,X,X,X,X,X,X
TJLZOSI,X,O,X,X,X,X,X,X
TJLOISZ,X,O,X,X,X,X,X,X
TJLOIZS,X,O,X,X,X,O,X,X
TJLOSIZ,X,O,X,X,X,X,X,X
TJLOSZI,X,O,X,X,X,X,X,X
TJLOZIS,X,O,X,X,X,X,X,X
TJLOZSI,X,O,X,X,X,X,X,X
TJSILZO,O,O,O,O,O,O,X,X
TJSILOZ,O,O,X,X,X,X,X,X
TJSIZLO,O,O,O,O,O,O,X,X
TJSIZOL,O,O,O,O,X,X,X,X
TJSIOLZ,O,O,X,O,X,X,X,X
TJSIOZL,O,O,X,O,X,X,X,X
TJSLIZO,O,O,O,O,O,O,X,X
TJSLIOZ,O,O,X,X,X,X,X,X
TJSLZIO,O,O,X,O,O,X,O,X
TJSLZOI,O,O,X,O,X,X,O,X
TJSLOIZ,O,O,X,X,X,X,X,X
TJSLOZI,O,O,X,X,X,X,X,X
TJSZILO,O,O,X,O,O,X,O,X
TJSZIOL,O,O,X,O,X,X,O,X
TJSZLIO,O,O,X,O,O,X,O,X
TJSZLOI,O,O,X,O,X,X,O,X
TJSZOIL,O,O,X,O,X,X,O,X
TJSZOLI,O,O,X,O,X,X,O,X
TJSOILZ,O,O,X,O,X,X,X,X
TJSOIZL,O,O,X,O,X,X,X,X
TJSOLIZ,O,O,X,O,X,X,X,X
TJSOLZI,O,O,X,O,X,X,X,X
TJSOZIL,O,O,X,O,X,X,X,X
TJSOZLI,O,O,X,O,X,X,X,X
TJZILSO,O,O,O,X,X,O,O,X
TJZILOS,O,O,X,X,X,O,X,X
TJZISLO,O,O,O,X,X,O,O,X
TJZISOL,O,O,O,X,X,X,O,X
TJZIOLS,O,O,X,X,X,O,X,X
TJZIOSL,X,O,X,X,X,X,X,X
TJZLISO,O,O,O,X,X,O,O,X
TJZLIOS,O,O,X,X,X,O,X,X
TJZLSIO,O,O,O,O,X,X,X,X
TJZLSOI,O,O,O,O,X,X,X,X
TJZLOIS,O,O,X,X,X,X,X,X
TJZLOSI,X,O,X,X,X,X,X,X
TJZSILO,O,O,O,O,X,X,X,X
TJZSIOL,O,O,O,O,X,X,X,X
TJZSLIO,O,O,O,O,X,X,X,X
TJZSLOI,O,O,O,O,X,X,X,X
TJZSOIL,O,O,O,O,X,X,X,X
TJZSOLI,O,O,O,O,X,X,X,X
TJZOILS,O,O,X,X,X,X,X,X
TJZOISL,X,O,X,X,X,X,X,X
TJZOLIS,O,O,X,X,X,X,X,X
TJZOLSI,X,O,X,X,X,X,X,X
TJZOSIL,X,O,X,X,X,X,X,X
TJZOSLI,X,O,X,X,X,X,X,X
TJOILSZ,X,O,X,X,X,X,X,X
TJOILZS,X,O,X,X,X,O,X,X
TJOISLZ,X,O,X,O,X,X,X,X
TJOISZL,X,O,X,O,X,X,X,X
TJOIZLS,X,O,X,X,X,O,X,X
TJOIZSL,X,O,X,X,X,X,X,X
TJOLISZ,X,O,X,X,X,X,X,X
TJOLIZS,X,O,X,X,X,O,X,X
TJOLSIZ,X,O,X,X,X,X,X,X
TJOLSZI,X,O,X,X,X,X,X,X
TJOLZIS,X,O,X,X,X,X,X,X
TJOLZSI,X,O,X,X,X,X,X,X
TJOSILZ,X,O,X,O,X,X,X,X
TJOSIZL,X,O,X,O,X,X,X,X
TJOSLIZ,X,O,X,O,X,X,X,X
TJOSLZI,X,O,X,O,X,X,X,X
TJOSZIL,X,O,X,O,X,X,X,X
TJOSZLI,X,O,X,O,X,X,X,X
TJOZILS,X,O,X,X,X,X,X,X
TJOZISL,X,O,X,X,X,X,X,X
TJOZLIS,X,O,X,X,X,X,X,X
TJOZLSI,X,O,X,X,X,X,X,X
TJOZSIL,X,O,X,X,X,X,X,X
TJOZSLI,X,O,X,X,X,X,X,X
TSILJZO,O,O,O,X,O,O,X,X
TSILJOZ,O,O,X,X,X,X,X,X
TSILZJO,O,O,O,O,O,O,X,X
TSILZOJ,O,O,O,O,O,X,X,X
TSILOJZ,O,X,X,X,X,X,X,X
TSILOZJ,O,O,O,X,O,X,X,X
TSIJLZO,O,O,O,O,O,O,X,X
TSIJLOZ,O,O,X,X,X,X,X,X
TSIJZLO,O,O,O,O,O,O,X,X
TSIJZOL,O,O,O,O,X,X,X,X
TSIJOLZ,O,O,X,X,X,X,X,X
TSIJOZL,O,O,X,O,X,X,X,X
TSIZLJO,O,O,O,O,O,O,X,X
TSIZLOJ,O,O,O,O,O,X,X,X
TSIZJLO,O,X,O,O,O,O,X,X
TSIZJOL,X,X,O,O,X,X,X,X
TSIZOLJ,O,X,O,O,O,X,X,X
TSIZOJL,X,X,O,X,X,X,X,X
TSIOLJZ,O,X,X,X,X,X,X,X
TSIOLZJ,O,O,O,O,O,X,X,X
TSIOJLZ,O,X,X,X,X,X,X,X
TSIOJZL,O,X,X,O,X,X,X,X
TSIOZLJ,O,O,O,O,O,X,X,X
TSIOZJL,O,X,O,O,X,X,X,X
TSLIJZO,O,O,O,X,O,O,X,X
TSLIJOZ,O,O,X,X,X,X,X,X
TSLIZJO,O,O,O,O,O,O,X,X
TSLIZOJ,O,O,O,O,O,X,X,X
TSLIOJZ,O,X,X,X,X,X,X,X
TSLIOZJ,O,O,O,X,O,X,X,X
TSLJIZO,O,O,O,O,O,O,X,X
TSLJIOZ,O,O,X,X,X,X,X,X
TSLJZIO,O,O,X,O,O,X,O,X
TSLJZOI,O,O,X,O,X,X,O,X
TSLJOIZ,O,O,X,X,X,X,X,X
TSLJOZI,O,O,X,X,X,X,X,X
TSLZIJO,O,O,O,O,O,X,O,X
TSLZIOJ,O,O,O,O,O,X,O,X
TSLZJIO,O,X,X,O,O,X,O,X
TSLZJOI,O,X,X,O,X,X,O,X
TSLZOIJ,O,X,X,O,O,X,O,O
TSLZOJI,X,X,X,O,X,X,O,O
TSLOIJZ,O,X,X,X,X,X,X,X
TSLOIZJ,O,O,O,X,O,X,X,X
TSLOJIZ,O,X,X,X,X,X,X,X
TSLOJZI,O,X,X,X,X,X,X,X
TSLOZIJ,O,O,X,X,O,X,X,X
TSLOZJI,O,X,X,X,X,X,X,X
TSJILZO,O,O,O,O,O,O,X,X
TSJILOZ,O,O,X,X,X,X,X,X
TSJIZLO,O,O,O,O,O,O,X,X
TSJIZOL,O,O,O,O,X,X,X,X
TSJIOLZ,O,O,X,O,X,X,X,X
TSJIOZL,O,O,X,O,X,X,X,X
TSJLIZO,O,O,O,O,O,O,X,X
TSJLIOZ,O,O,X,X,X,X,X,X
TSJLZIO,O,O,X,O,O,X,O,X
TSJLZOI,O,O,X,O,X,X,O,X
TSJLOIZ,O,O,X,X,X,X,X,X
TSJLOZI,O,O,X,X,X,X,X,X
TSJZILO,O,O,X,O,O,X,O,X
TSJZIOL,O,O,X,O,X,X,O,X
TSJZLIO,O,O,X,O,O,X,O,X
TSJZLOI,O,O,X,O,X,X,O,X
TSJZOIL,O,O,X,O,X,X,O,X
TSJZOLI,O,O,X,O,X,X,O,X
TSJOILZ,O,O,X,O,X,X,X,X
TSJOIZL,O,O,X,O,X,X,X,X
TSJOLIZ,O,O,X,O,X,X,X,X
TSJOLZI,O,O,X,O,X,X,X,X
TSJOZIL,O,O,X,O,X,X,X,X
TSJOZLI,O,O,X,O,X,X,X,X
TSZILJO,O,O,O,O,O,X,O,X
TSZILOJ,O,O,O,O,O,X,O,X
TSZIJLO,O,X,O,O,O,X,O,X
TSZIJOL,X,X,O,O,X,X,O,X
TSZIOLJ,O,X,O,O,O,X,O,X
TSZIOJL,X,X,O,X,X,X,O,X
TSZLIJO,O,O,O,O,O,X,O,X
TSZLIOJ,O,O,O,O,O,X,O,X
TSZLJIO,O,X,X,O,O,X,O,X
TSZLJOI,O,X,X,O,X,X,O,X
TSZLOIJ,O,X,X,O,O,X,O,O
TSZLOJI,X,X,X,O,X,X,O,O
TSZJILO,O,X,X,O,O,X,O,X
TSZJIOL,O,X,X,O,X,X,O,X
TSZJLIO,O,X,X,O,O,X,O,X
TSZJLOI,O,X,X,O,X,X,O,X
TSZJOIL,O,X,X,O,X,X,O,X
TSZJOLI,O,X,X,O,X,X,O,X
TSZOILJ,O,X,X,O,O,X,O,O
TSZOIJL,X,X,X,X,X,X,O,X
TSZOLIJ,O,X,X,O,O,X,O,O
TSZOLJI,X,X,X,O,X,X,O,O
TSZOJIL,X,X,X,O,X,X,O,X
TSZOJLI,X,X,X,O,X,X,O,X
TSOILJZ,O,X,X,X,X,X,X,X
TSOILZJ,O,O,O,O,O,X,X,X
TSOIJLZ,O,X,X,O,X,X,X,X
TSOIJZL,O,X,X,O,X,X,X,X
TSOIZLJ,O,O,O,O,O,X,X,X
TSOIZJL,O,X,O,O,X,X,X,X
TSOLIJZ,O,X,X,X,X,X,X,X
TSOLIZJ,O,O,O,O,O,X,X,X
TSOLJIZ,O,X,X,O,X,X,X,X
TSOLJZI,O,X,X,O,X,X,X,X
TSOLZIJ,O,O,X,O,O,X,X,X
TSOLZJI,O,X,X,O,X,X,X,X
TSOJILZ,O,X,X,O,X,X,X,X
TSOJIZL,O,X,X,O,X,X,X,X
TSOJLIZ,O,X,X,O,X,X,X,X
TSOJLZI,O,X,X,O,X,X,X,X
TSOJZIL,O,X,X,O,X,X,X,X
TSOJZLI,O,X,X,O,X,X,X,X
TSOZILJ,O,O,X,O,O,X,X,X
TSOZIJL,O,X,X,O,X,X,X,X
TSOZLIJ,O,O,X,O,O,X,X,X
TSOZLJI,O,X,X,O,X,X,X,X
TSOZJIL,O,X,X,O,X,X,X,X
TSOZJLI,O,X,X,O,X,X,X,X
TZILJSO,O,O,O,X,X,O,O,X
TZILJOS,O,O,X,X,X,O,X,X
TZILSJO,O,O,O,O,O,O,O,X
TZILSOJ,O,O,O,O,O,X,O,X
TZILOJS,O,O,X,X,X,O,X,X
TZILOSJ,O,O,X,X,X,X,O,X
TZIJLSO,O,O,O,X,X,O,O,X
TZIJLOS,O,O,X,X,X,O,X,X
TZIJSLO,O,O,O,X,X,O,O,X
TZIJSOL,O,O,O,X,X,X,O,X
TZIJOLS,O,O,X,X,X,O,X,X
TZIJOSL,X,O,X,X,X,X,X,X
TZISLJO,O,O,O,O,O,O,O,X
TZISLOJ,O,O,O,O,O,X,O,X
TZISJLO,O,X,O,O,O,O,O,X
TZISJOL,X,X,O,O,X,X,O,X
TZISOLJ,O,X,O,O,O,X,O,X
TZISOJL,X,X,O,X,X,X,O,X
TZIOLJS,O,O,X,X,X,O,X,X
TZIOLSJ,O,O,X,X,X,X,O,X
TZIOJLS,O,O,X,X,X,O,X,X
TZIOJSL,O,O,X,X,X,X,X,X
TZIOSLJ,O,O,X,X,X,X,O,X
TZIOSJL,O,O,X,X,X,X,O,X
TZLIJSO,O,O,O,X,X,O,O,X
TZLIJOS,O,O,X,X,X,O,X,X
TZLISJO,O,O,O,O,O,O,O,X
TZLISOJ,O,O,O,O,O,X,O,X
