sequence,v115@DhA8HeB8HeB8BeA8AeA8CeE8JeZEJvhFCgBXhBunBc?oBdqBzqB,v115@DhA8HeB8HeB8BeA8AeA8CeE8Jex/IvhFXhBGjBNpBU?lBznByvB,v115@DhA8HeB8HeB8BeA8AeA8CeE8Je0/IvhFxgBGjBNpB3?lBznByvB,v115@DhA8HeB8HeB8BeA8AeA8CeE8JeZEJvhFtkBXhBunBc?oBTlByvB
TSLIZJO,O,X,X,X
TSLIZOJ,X,X,X,X
TSLIOJZ,X,O,X,X
TSLIOZJ,X,X,X,X
TSLJIZO,X,O,X,X
TSLJIOZ,X,O,X,X
TSLJZIO,X,O,X,X
TSLJZOI,X,X,X,X
TSLJOIZ,X,X,X,X
TSLJOZI,X,X,X,X
TSLZIJO,O,O,X,X
TSLZIOJ,X,O,X,X
TSLZJIO,O,O,X,X
TSLZJOI,X,X,X,X
TSLZOIJ,X,O,X,X
TSLZOJI,X,O,X,X
TSLOIJZ,X,O,X,X
TSLOIZJ,X,X,X,X
TSLOJIZ,X,O,X,X
TSLOJZI,X,O,X,X
TSLOZIJ,X,O,X,X
TSLOZJI,X,O,X,X
TSJILZO,X,O,X,X
TSJILOZ,X,O,X,X
TSJIZLO,X,X,X,X
TSJIZOL,X,O,X,X
TSJIOLZ,X,O,X,X
TSJIOZL,X,O,X,X
TSJLIZO,X,O,X,X
TSJLIOZ,X,O,X,X
TSJLZIO,X,O,X,X
TSJLZOI,X,X,X,X
TSJLOIZ,X,X,X,X
TSJLOZI,X,X,X,X
TSJZILO,X,X,X,X
TSJZIOL,X,O,X,X
TSJZLIO,X,X,X,X
TSJZLOI,X,X,X,X
TSJZOIL,X,X,X,X
TSJZOLI,X,X,X,X
TSJOILZ,X,X,X,X
TSJOIZL,X,X,X,X
TSJOLIZ,X,X,X,X
TSJOLZI,X,X,X,X
TSJOZIL,X,X,X,X
TSJOZLI,X,X,X,X
TSZILJO,O,X,X,X
TSZILOJ,X,X,X,X
TSZIJLO,O,X,X,O
TSZIJOL,X,O,X,X
TSZIOLJ,X,X,X,X
TSZIOJL,X,O,X,X
TSZLIJO,O,X,X,X
TSZLIOJ,X,X,X,X
TSZLJIO,O,X,X,X
TSZLJOI,X,X,X,X
TSZLOIJ,X,X,X,X
TSZLOJI,X,X,X,X
TSZJILO,O,X,X,O
TSZJIOL,X,O,X,X
TSZJLIO,O,X,X,X
TSZJLOI,X,X,X,X
TSZJOIL,X,X,X,X
TSZJOLI,X,X,X,X
TSZOILJ,X,X,X,X
TSZOIJL,X,O,X,X
TSZOLIJ,X,X,X,X
TSZOLJI,X,X,X,X
TSZOJIL,X,O,X,X
TSZOJLI,X,X,X,X
TSOILJZ,X,X,X,X
TSOILZJ,X,X,X,X
TSOIJLZ,X,O,X,X
TSOIJZL,X,O,X,X
TSOIZLJ,X,X,X,X
TSOIZJL,X,X,X,X
TSOLIJZ,X,O,X,X
TSOLIZJ,X,X,X,X
TSOLJIZ,X,O,X,X
TSOLJZI,X,O,X,X
TSOLZIJ,X,O,X,X
TSOLZJI,X,O,X,X
TSOJILZ,X,O,X,X
TSOJIZL,X,O,X,X
TSOJLIZ,X,O,X,X
TSOJLZI,X,O,X,X
TSOJZIL,X,O,X,X
TSOJZLI,X,X,X,X
TSOZILJ,X,X,X,X
TSOZIJL,X,O,X,X
TSOZLIJ,X,X,X,X
TSOZLJI,X,X,X,X
TSOZJIL,X,O,X,X
TSOZJLI,X,X,X,X
TZILJSO,O,X,X,O
TZILJOS,X,X,X,X
TZILSJO,O,X,X,O
TZILSOJ,X,X,X,X
TZILOJS,X,X,X,X
TZILOSJ,X,X,X,X
TZIJLSO,O,X,O,O
TZIJLOS,X,X,O,X
TZIJSLO,O,X,X,O
TZIJSOL,X,O,X,X
TZIJOLS,O,X,O,X
TZIJOSL,O,X,X,X
TZISLJO,O,X,X,X
TZISLOJ,X,X,X,X
TZISJLO,O,X,X,O
TZISJOL,X,O,X,X
TZISOLJ,X,X,X,X
TZISOJL,X,O,X,X
TZIOLJS,O,X,X,X
TZIOLSJ,O,X,X,X
TZIOJLS,O,X,O,X
TZIOJSL,O,O,X,X
TZIOSLJ,O,X,X,X
TZIOSJL,O,O,X,X
TZLIJSO,O,O,O,O
TZLIJOS,X,X,O,X
TZLISJO,O,O,X,O
TZLISOJ,X,O,X,X
TZLIOJS,X,O,O,X
TZLIOSJ,X,O,X,X
TZLJISO,O,O,O,O
TZLJIOS,X,X,O,X
TZLJSIO,O,O,O,O
TZLJSOI,X,X,X,X
TZLJOIS,X,X,X,X
TZLJOSI,X,X,X,X
TZLSIJO,O,O,O,O
TZLSIOJ,X,O,O,X
TZLSJIO,O,O,O,O
TZLSJOI,X,X,X,X
TZLSOIJ,X,O,O,X
TZLSOJI,X,O,O,X
TZLOIJS,X,O,O,X
TZLOISJ,X,O,X,X
TZLOJIS,X,O,O,X
TZLOJSI,X,O,O,X
TZLOSIJ,X,O,O,X
TZLOSJI,X,O,O,X
TZJILSO,O,X,O,O
TZJILOS,X,X,O,X
TZJISLO,O,X,X,O
TZJISOL,X,O,X,X
TZJIOLS,O,X,O,X
TZJIOSL,O,X,X,X
TZJLISO,O,O,O,O
TZJLIOS,X,X,O,X
TZJLSIO,O,O,O,O
TZJLSOI,X,X,X,X
TZJLOIS,X,X,X,X
TZJLOSI,X,X,X,X
TZJSILO,O,X,X,O
TZJSIOL,X,O,X,X
TZJSLIO,O,X,X,X
TZJSLOI,X,X,X,X
TZJSOIL,X,X,X,X
TZJSOLI,X,X,X,X
TZJOILS,O,X,X,X
TZJOISL,O,X,X,X
TZJOLIS,O,X,X,X
TZJOLSI,O,X,X,X
TZJOSIL,O,X,X,X
TZJOSLI,O,X,X,X
TZSILJO,O,X,X,X
TZSILOJ,X,X,X,X
TZSIJLO,O,X,X,O
TZSIJOL,X,O,X,X
TZSIOLJ,X,X,X,X
TZSIOJL,X,O,X,X
TZSLIJO,O,X,X,X
TZSLIOJ,X,X,X,X
TZSLJIO,O,X,X,X
TZSLJOI,X,X,X,X
TZSLOIJ,X,X,X,X
TZSLOJI,X,X,X,X
TZSJILO,O,X,X,O
TZSJIOL,X,O,X,X
TZSJLIO,O,X,X,X
TZSJLOI,X,X,X,X
TZSJOIL,X,X,X,X
TZSJOLI,X,X,X,X
TZSOILJ,X,X,X,X
TZSOIJL,X,O,X,X
TZSOLIJ,X,X,X,X
TZSOLJI,X,X,X,X
TZSOJIL,X,O,X,X
TZSOJLI,X,X,X,X
TZOILJS,O,X,X,X
TZOILSJ,O,X,X,X
TZOIJLS,O,X,O,X
TZOIJSL,O,O,X,X
TZOISLJ,O,X,X,X
TZOISJL,O,O,X,X
TZOLIJS,O,O,O,X
TZOLISJ,O,O,X,X
TZOLJIS,O,O,O,X
TZOLJSI,O,O,O,X
TZOLSIJ,O,O,O,X
TZOLSJI,O,O,O,X
TZOJILS,O,X,O,X
TZOJISL,O,O,X,X
TZOJLIS,O,O,O,X
TZOJLSI,O,O,O,X
TZOJSIL,O,O,X,X
TZOJSLI,O,X,X,X
TZOSILJ,O,X,X,X
TZOSIJL,O,O,X,X
TZOSLIJ,O,X,X,X
TZOSLJI,O,X,X,X
TZOSJIL,O,O,X,X
TZOSJLI,O,X,X,X
TOILJSZ,X,O,X,X
TOILJZS,X,X,X,X
TOILSJZ,X,O,X,X
TOILSZJ,O,X,X,X
TOILZJS,O,X,X,X
TOILZSJ,O,X,X,X
TOIJLSZ,X,O,X,X
TOIJLZS,X,X,X,X
TOIJSLZ,X,O,X,X
TOIJSZL,X,O,X,X
TOIJZLS,X,X,O,X
TOIJZSL,X,X,X,X
TOISLJZ,X,X,X,X
TOISLZJ,O,X,X,X
TOISJLZ,X,O,X,X
TOISJZL,X,O,X,X
TOISZLJ,O,X,X,X
TOISZJL,O,X,X,X
TOIZLJS,O,X,X,X
TOIZLSJ,O,X,X,X
TOIZJLS,O,X,O,X
TOIZJSL,O,X,X,X
TOIZSLJ,O,X,X,X
TOIZSJL,O,X,X,X
TOLIJSZ,X,O,X,X
TOLIJZS,X,X,O,X
TOLISJZ,X,O,X,X
TOLISZJ,O,X,X,X
TOLIZJS,O,X,O,X
TOLIZSJ,O,X,X,X
TOLJISZ,X,O,X,X
TOLJIZS,X,X,O,X
TOLJSIZ,X,O,O,X
TOLJSZI,X,O,O,X
TOLJZIS,X,O,O,X
TOLJZSI,X,O,O,X
TOLSIJZ,X,O,O,X
TOLSIZJ,O,X,O,X
TOLSJIZ,X,O,O,X
TOLSJZI,X,O,O,X
TOLSZIJ,O,O,O,X
TOLSZJI,O,O,O,X
TOLZIJS,O,O,O,X
TOLZISJ,O,O,X,X
TOLZJIS,O,O,O,X
TOLZJSI,O,O,O,X
TOLZSIJ,O,O,O,X
TOLZSJI,O,O,O,X
TOJILSZ,X,O,X,X
TOJILZS,X,X,X,X
TOJISLZ,X,O,X,X
TOJISZL,X,O,X,X
TOJIZLS,X,X,O,X
TOJIZSL,X,X,X,X
TOJLISZ,X,O,X,X
TOJLIZS,X,X,O,X
TOJLSIZ,X,O,O,X
TOJLSZI,X,O,O,X
TOJLZIS,X,O,O,X
TOJLZSI,X,O,O,X
TOJSILZ,X,O,X,X
TOJSIZL,X,O,X,X
TOJSLIZ,X,O,X,X
TOJSLZI,X,O,X,X
TOJSZIL,X,O,X,X
TOJSZLI,X,X,X,X
TOJZILS,X,X,O,X
TOJZISL,X,O,X,X
TOJZLIS,X,O,O,X
TOJZLSI,X,O,O,X
TOJZSIL,X,O,X,X
TOJZSLI,X,X,X,X
TOSILJZ,X,X,X,X
TOSILZJ,O,X,X,X
TOSIJLZ,X,O,X,X
TOSIJZL,X,O,X,X
TOSIZLJ,O,X,X,X
TOSIZJL,O,X,X,X
TOSLIJZ,X,O,X,X
TOSLIZJ,O,X,X,X
TOSLJIZ,X,O,X,X
TOSLJZI,X,O,X,X
TOSLZIJ,O,O,X,X
TOSLZJI,O,O,X,X
TOSJILZ,X,O,X,X
TOSJIZL,X,O,X,X
TOSJLIZ,X,O,X,X
TOSJLZI,X,O,X,X
TOSJZIL,X,O,X,X
TOSJZLI,X,X,X,X
TOSZILJ,O,X,X,X
TOSZIJL,O,O,X,X
TOSZLIJ,O,X,X,X
TOSZLJI,O,X,X,X
TOSZJIL,O,O,X,X
TOSZJLI,O,X,X,X
TOZILJS,O,X,X,X
TOZILSJ,O,X,X,X
TOZIJLS,O,X,O,X
TOZIJSL,O,O,X,X
TOZISLJ,O,X,X,X
TOZISJL,O,O,X,X
TOZLIJS,O,O,O,X
TOZLISJ,O,O,X,X
TOZLJIS,O,O,O,X
TOZLJSI,O,O,O,X
TOZLSIJ,O,O,O,X
TOZLSJI,O,O,O,X
TOZJILS,O,X,O,X
TOZJISL,O,O,X,X
TOZJLIS,O,O,O,X
TOZJLSI,O,O,O,X
TOZJSIL,O,O,X,X
TOZJSLI,O,X,X,X
TOZSILJ,O,X,X,X
TOZSIJL,O,O,X,X
TOZSLIJ,O,X,X,X
TOZSLJI,O,X,X,X
TOZSJIL,O,O,X,X
TOZSJLI,O,X,X,X
ITLJSZO,X,X,X,X
ITLJSOZ,X,X,X,X
ITLJZSO,X,X,X,X
ITLJZOS,X,X,X,X
ITLJOSZ,X,X,X,X
ITLJOZS,X,X,X,X
ITLSJZO,X,X,X,X
ITLSJOZ,X,X,X,X
ITLSZJO,O,X,X,O
ITLSZOJ,X,X,X,X
ITLSOJZ,X,X,X,X
ITLSOZJ,X,X,X,X
ITLZJSO,O,X,X,O
ITLZJOS,X,X,X,X
ITLZSJO,O,X,X,O
ITLZSOJ,X,X,X,X
ITLZOJS,X,X,X,X
ITLZOSJ,X,X,X,X
ITLOJSZ,X,X,X,X
ITLOJZS,X,X,X,X
ITLOSJZ,X,X,X,X
ITLOSZJ,X,X,X,X
ITLOZJS,X,X,X,X
ITLOZSJ,X,X,X,X
ITJLSZO,X,X,X,X
ITJLSOZ,X,X,X,X
ITJLZSO,X,X,X,X
ITJLZOS,X,X,X,X
ITJLOSZ,X,X,X,X
ITJLOZS,X,X,X,X
ITJSLZO,X,X,X,X
ITJSLOZ,X,X,X,X
ITJSZLO,X,X,X,X
ITJSZOL,X,X,X,X
ITJSOLZ,X,X,X,X
ITJSOZL,X,X,X,X
ITJZLSO,X,X,O,X
ITJZLOS,X,X,O,X
ITJZSLO,X,X,X,X
ITJZSOL,X,X,X,X
ITJZOLS,X,X,O,X
ITJZOSL,X,X,X,X
ITJOLSZ,X,X,X,X
ITJOLZS,X,X,X,X
ITJOSLZ,X,X,X,X
ITJOSZL,X,X,X,X
ITJOZLS,X,X,X,X
ITJOZSL,X,X,X,X
ITSLJZO,X,X,X,X
ITSLJOZ,X,X,X,X
ITSLZJO,O,X,X,X
ITSLZOJ,X,X,X,X
ITSLOJZ,X,X,X,X
ITSLOZJ,X,X,X,X
ITSJLZO,X,X,X,X
ITSJLOZ,X,X,X,X
ITSJZLO,X,X,X,X
ITSJZOL,X,X,X,X
ITSJOLZ,X,X,X,X
ITSJOZL,X,X,X,X
ITSZLJO,O,X,X,X
ITSZLOJ,X,X,X,X
ITSZJLO,O,X,X,O
ITSZJOL,X,X,X,X
ITSZOLJ,X,X,X,X
ITSZOJL,X,X,X,X
ITSOLJZ,X,X,X,X
ITSOLZJ,X,X,X,X
ITSOJLZ,X,X,X,X
