sequence,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeRAJvhFFiBTjBGlB0?mB3pByvB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeuEJvhFFhBXiBTjBy?uBRrB0qB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeSFJvhFxhBTjBmmBU?qBFrB3pB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeUBJvhFFiBTjBClB2?vBRrB3pB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeRAJvhFSmBOnBTjB3?pBFrBUqB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeRAJvhFSmBOnBTjBU?lB1uBXrB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JexAJvhFXiBTjBllBU?qBirB+pB
TZOSJLI,O,X,O,X,O,O,X
TOILJSZ,O,O,O,O,O,X,X
TOILJZS,O,O,O,O,O,X,X
TOILSJZ,X,O,X,X,O,X,X
TOILSZJ,X,O,X,X,O,X,X
TOILZJS,X,O,O,O,O,X,X
TOILZSJ,X,O,X,X,X,X,X
TOIJLSZ,X,O,O,O,O,X,X
TOIJLZS,X,O,O,O,O,X,X
TOIJSLZ,X,O,O,O,O,O,X
TOIJSZL,X,X,O,O,O,O,X
TOIJZLS,X,X,O,O,X,O,X
TOIJZSL,X,X,O,O,X,O,X
TOISLJZ,X,O,X,X,O,O,X
TOISLZJ,X,O,X,X,O,O,X
TOISJLZ,O,O,O,O,O,O,X
TOISJZL,O,X,O,O,O,O,X
TOISZLJ,O,O,X,X,X,O,X
TOISZJL,O,X,O,O,X,O,X
TOIZLJS,O,O,O,O,X,O,X
TOIZLSJ,O,O,X,X,X,O,X
TOIZJLS,O,X,O,O,X,O,X
TOIZJSL,O,X,O,O,X,O,X
TOIZSLJ,O,O,X,X,X,O,X
TOIZSJL,O,X,O,O,X,O,X
TOLIJSZ,O,O,O,O,O,X,X
TOLIJZS,O,O,O,O,O,X,X
TOLISJZ,X,O,X,X,O,X,X
TOLISZJ,X,O,X,X,O,X,X
TOLIZJS,X,O,O,O,O,X,X
TOLIZSJ,X,O,X,X,X,X,X
TOLJISZ,O,O,O,O,O,X,X
TOLJIZS,O,O,O,O,O,X,X
TOLJSIZ,O,O,O,X,O,O,X
TOLJSZI,X,O,O,X,O,O,X
TOLJZIS,O,X,O,X,O,O,X
TOLJZSI,O,X,O,X,O,O,X
TOLSIJZ,X,O,X,X,O,O,X
TOLSIZJ,X,O,X,X,O,O,X
TOLSJIZ,O,O,O,X,O,O,X
TOLSJZI,X,O,O,X,O,O,X
TOLSZIJ,O,X,X,X,O,O,O
TOLSZJI,O,O,X,X,O,O,O
TOLZIJS,O,X,O,X,O,O,O
TOLZISJ,O,X,X,X,X,O,O
TOLZJIS,O,X,O,X,O,O,O
TOLZJSI,O,X,O,X,O,O,O
TOLZSIJ,O,X,X,X,O,O,O
TOLZSJI,O,X,O,X,O,O,O
TOJILSZ,X,X,O,O,O,X,X
TOJILZS,X,X,O,O,O,X,X
TOJISLZ,X,X,O,O,O,O,X
TOJISZL,X,X,O,O,O,O,X
TOJIZLS,X,X,O,O,X,O,X
TOJIZSL,X,X,O,O,X,O,X
TOJLISZ,O,X,O,O,O,X,X
TOJLIZS,O,X,O,O,O,X,X
TOJLSIZ,O,X,O,X,O,O,X
TOJLSZI,X,X,O,X,O,O,X
TOJLZIS,O,X,O,O,O,O,X
TOJLZSI,X,X,O,X,O,O,X
TOJSILZ,O,X,O,O,O,O,X
TOJSIZL,O,X,O,O,O,O,X
TOJSLIZ,O,X,O,X,O,O,X
TOJSLZI,X,X,O,X,O,O,X
TOJSZIL,O,X,O,X,O,O,X
TOJSZLI,O,X,O,X,O,O,X
TOJZILS,O,X,O,O,X,O,X
TOJZISL,O,X,O,O,X,O,X
TOJZLIS,O,X,O,X,O,O,X
TOJZLSI,O,X,O,X,O,O,X
TOJZSIL,O,X,O,X,O,O,X
TOJZSLI,O,X,O,X,O,O,X
TOSILJZ,X,O,X,X,O,O,X
TOSILZJ,X,O,X,X,O,O,X
TOSIJLZ,O,O,O,O,O,O,X
TOSIJZL,O,X,O,O,O,O,X
TOSIZLJ,O,O,X,X,X,O,X
TOSIZJL,O,X,O,O,X,O,X
TOSLIJZ,X,O,X,X,O,O,X
TOSLIZJ,X,O,X,X,O,O,X
TOSLJIZ,O,O,O,X,O,O,X
TOSLJZI,X,O,O,X,O,O,X
TOSLZIJ,O,X,X,X,O,O,O
TOSLZJI,O,O,X,X,O,O,O
TOSJILZ,O,O,O,O,O,O,X
TOSJIZL,O,X,O,O,O,O,X
TOSJLIZ,O,O,O,X,O,O,X
TOSJLZI,X,O,O,X,O,O,X
TOSJZIL,O,X,O,X,O,O,X
TOSJZLI,O,X,O,X,O,O,X
TOSZILJ,O,O,X,X,X,O,X
TOSZIJL,O,X,O,X,X,O,X
TOSZLIJ,O,X,X,X,O,O,O
TOSZLJI,O,O,O,X,O,O,O
TOSZJIL,O,X,O,X,O,O,X
TOSZJLI,O,X,O,X,O,O,X
TOZILJS,O,X,O,O,X,O,O
TOZILSJ,O,X,X,X,X,O,O
TOZIJLS,O,X,O,O,X,O,X
TOZIJSL,O,X,O,O,X,O,X
TOZISLJ,O,X,X,X,X,O,X
TOZISJL,O,X,O,O,X,O,X
TOZLIJS,O,X,O,X,O,O,O
TOZLISJ,O,X,X,X,X,O,O
TOZLJIS,O,X,O,X,O,O,O
TOZLJSI,O,X,O,X,O,O,O
TOZLSIJ,O,X,X,X,O,O,O
TOZLSJI,O,X,O,X,O,O,O
TOZJILS,O,X,O,O,X,O,X
TOZJISL,O,X,O,O,X,O,X
TOZJLIS,O,X,O,X,O,O,O
TOZJLSI,O,X,O,X,O,O,O
TOZJSIL,O,X,O,X,O,O,X
TOZJSLI,O,X,O,X,O,O,X
TOZSILJ,O,X,X,X,X,O,X
TOZSIJL,O,X,O,X,X,O,X
TOZSLIJ,O,X,X,X,O,O,O
TOZSLJI,O,X,O,X,O,O,O
TOZSJIL,O,X,O,X,O,O,X
TOZSJLI,O,X,O,X,O,O,X
ITLJSZO,X,O,X,O,O,X,X
ITLJSOZ,O,O,O,O,O,X,X
ITLJZSO,X,O,O,O,X,X,X
ITLJZOS,O,O,O,O,O,X,X
ITLJOSZ,O,O,O,O,O,X,X
ITLJOZS,O,O,O,O,O,X,X
ITLSJZO,X,O,X,X,O,X,X
ITLSJOZ,X,O,X,X,O,X,X
ITLSZJO,X,O,X,X,O,X,X
ITLSZOJ,X,O,X,X,O,X,X
ITLSOJZ,X,O,X,X,O,X,X
ITLSOZJ,X,O,X,X,O,X,X
ITLZJSO,X,O,O,O,X,X,X
ITLZJOS,X,O,O,O,O,X,X
ITLZSJO,X,O,X,X,X,X,X
ITLZSOJ,X,O,X,X,X,X,X
ITLZOJS,X,O,O,O,O,X,X
ITLZOSJ,X,O,X,X,X,X,X
ITLOJSZ,O,O,O,O,O,X,X
ITLOJZS,O,O,O,O,O,X,X
ITLOSJZ,X,O,X,X,O,X,X
ITLOSZJ,X,O,X,X,O,X,X
ITLOZJS,X,O,O,O,O,X,X
ITLOZSJ,X,O,X,X,X,X,X
ITJLSZO,X,O,X,O,O,X,X
ITJLSOZ,X,O,O,O,O,X,X
ITJLZSO,X,O,O,O,X,X,X
ITJLZOS,X,O,O,O,O,X,X
ITJLOSZ,X,O,O,O,O,X,X
ITJLOZS,X,O,O,O,O,X,X
ITJSLZO,X,O,X,O,O,O,X
ITJSLOZ,X,O,O,O,O,O,X
ITJSZLO,X,X,O,O,O,O,X
ITJSZOL,X,X,O,O,O,O,X
ITJSOLZ,X,O,O,O,O,O,X
ITJSOZL,X,X,O,O,O,O,X
ITJZLSO,X,X,O,O,X,O,X
ITJZLOS,X,X,O,O,X,O,X
ITJZSLO,X,X,O,O,X,O,X
ITJZSOL,X,X,O,O,X,O,X
ITJZOLS,X,X,O,O,X,O,X
ITJZOSL,X,X,O,O,X,O,X
ITJOLSZ,X,O,O,O,O,X,X
ITJOLZS,X,O,O,O,O,X,X
ITJOSLZ,X,O,O,O,O,O,X
ITJOSZL,X,X,O,O,O,O,X
ITJOZLS,X,X,O,O,X,O,X
ITJOZSL,X,X,O,O,X,O,X
ITSLJZO,X,O,X,X,O,O,X
ITSLJOZ,X,O,X,X,O,O,X
ITSLZJO,X,O,X,X,O,O,X
ITSLZOJ,X,O,X,X,O,O,X
ITSLOJZ,X,O,X,X,O,O,X
ITSLOZJ,X,O,X,X,O,O,X
ITSJLZO,X,O,X,O,O,O,X
ITSJLOZ,O,O,O,O,O,O,X
ITSJZLO,X,X,O,O,O,O,X
ITSJZOL,O,X,O,O,O,O,X
ITSJOLZ,O,O,O,O,O,O,X
ITSJOZL,O,X,O,O,O,O,X
ITSZLJO,X,O,X,X,X,O,X
ITSZLOJ,O,O,X,X,X,O,X
ITSZJLO,O,X,O,O,X,O,X
ITSZJOL,O,X,O,O,X,O,X
ITSZOLJ,O,O,X,X,X,O,X
ITSZOJL,O,X,O,O,X,O,X
ITSOLJZ,X,O,X,X,O,O,X
ITSOLZJ,X,O,X,X,O,O,X
ITSOJLZ,O,O,O,O,O,O,X
ITSOJZL,O,X,O,O,O,O,X
ITSOZLJ,O,O,X,X,X,O,X
ITSOZJL,O,X,O,O,X,O,X
ITZLJSO,O,O,O,O,X,O,X
ITZLJOS,O,O,O,O,X,O,X
ITZLSJO,X,O,X,X,X,O,X
ITZLSOJ,O,O,X,X,X,O,X
ITZLOJS,O,O,O,O,X,O,X
ITZLOSJ,O,O,X,X,X,O,X
ITZJLSO,X,X,O,O,X,O,X
ITZJLOS,X,X,O,O,X,O,X
ITZJSLO,X,X,O,O,X,O,X
ITZJSOL,X,X,O,O,X,O,X
ITZJOLS,O,X,O,O,X,O,X
ITZJOSL,O,X,O,O,X,O,X
ITZSLJO,X,O,X,X,X,O,X
ITZSLOJ,O,O,X,X,X,O,X
ITZSJLO,O,X,O,O,X,O,X
ITZSJOL,O,X,O,O,X,O,X
ITZSOLJ,O,O,X,X,X,O,X
ITZSOJL,O,X,O,O,X,O,X
ITZOLJS,O,O,O,O,X,O,X
ITZOLSJ,O,O,X,X,X,O,X
ITZOJLS,O,X,O,O,X,O,X
ITZOJSL,O,X,O,O,X,O,X
ITZOSLJ,O,O,X,X,X,O,X
ITZOSJL,O,X,O,O,X,O,X
ITOLJSZ,O,O,O,O,O,X,X
ITOLJZS,O,O,O,O,O,X,X
ITOLSJZ,X,O,X,X,O,X,X
ITOLSZJ,X,O,X,X,O,X,X
ITOLZJS,X,O,O,O,O,X,X
ITOLZSJ,X,O,X,X,X,X,X
ITOJLSZ,X,O,O,O,O,X,X
ITOJLZS,X,O,O,O,O,X,X
ITOJSLZ,X,O,O,O,O,O,X
ITOJSZL,X,X,O,O,O,O,X
ITOJZLS,X,X,O,O,X,O,X
ITOJZSL,X,X,O,O,X,O,X
ITOSLJZ,X,O,X,X,O,O,X
ITOSLZJ,X,O,X,X,O,O,X
ITOSJLZ,O,O,O,O,O,O,X
ITOSJZL,O,X,O,O,O,O,X
ITOSZLJ,O,O,X,X,X,O,X
ITOSZJL,O,X,O,O,X,O,X
ITOZLJS,O,O,O,O,X,O,X
ITOZLSJ,O,O,X,X,X,O,X
ITOZJLS,O,X,O,O,X,O,X
ITOZJSL,O,X,O,O,X,O,X
ITOZSLJ,O,O,X,X,X,O,X
ITOZSJL,O,X,O,O,X,O,X
ILTJSZO,X,O,X,O,X,X,X
ILTJSOZ,O,O,O,O,X,X,X
ILTJZSO,X,O,O,O,X,X,X
ILTJZOS,O,O,O,O,X,X,X
ILTJOSZ,O,O,O,O,X,X,X
ILTJOZS,O,O,O,O,X,X,X
ILTSJZO,X,O,X,X,X,X,X
ILTSJOZ,X,O,X,X,X,X,X
ILTSZJO,X,O,X,X,X,X,X
ILTSZOJ,X,O,X,X,X,X,X
ILTSOJZ,X,O,X,X,X,X,X
ILTSOZJ,X,O,X,X,X,X,X
ILTZJSO,X,O,O,O,X,X,X
ILTZJOS,X,O,O,O,X,X,X
ILTZSJO,X,O,X,X,X,X,X
ILTZSOJ,X,O,X,X,X,X,X
ILTZOJS,X,O,O,O,X,X,X
ILTZOSJ,X,O,X,X,X,X,X
ILTOJSZ,O,O,O,O,X,X,X
ILTOJZS,O,O,O,O,X,X,X
ILTOSJZ,X,O,X,X,X,X,X
ILTOSZJ,X,O,X,X,X,X,X
ILTOZJS,X,O,O,O,X,X,X
ILTOZSJ,X,O,X,X,X,X,X
ILJTSZO,X,O,X,O,X,X,X
ILJTSOZ,O,O,O,O,X,X,X
ILJTZSO,O,O,O,O,X,X,X
ILJTZOS,O,O,O,O,X,X,X
ILJTOSZ,O,O,O,O,X,X,X
ILJTOZS,O,O,O,O,X,X,X
ILJSTZO,X,O,X,O,X,X,X
ILJSTOZ,O,O,X,O,X,X,X
ILJSZTO,O,O,X,O,X,X,X
ILJSZOT,O,O,X,O,X,X,X
ILJSOTZ,O,O,X,O,X,X,X
ILJSOZT,O,O,X,O,X,X,X
ILJZTSO,O,O,X,O,X,X,X
ILJZTOS,O,O,X,O,X,X,X
ILJZSTO,O,O,X,O,X,X,X
ILJZSOT,O,O,X,O,X,X,X
ILJZOTS,O,O,X,O,X,X,X
ILJZOST,O,O,X,O,X,X,X
ILJOTSZ,O,O,O,O,X,X,X
ILJOTZS,O,O,O,O,X,X,X
ILJOSTZ,O,O,X,O,X,X,X
ILJOSZT,O,O,X,O,X,X,X
ILJOZTS,O,O,X,O,X,X,X
ILJOZST,O,O,X,O,X,X,X
ILSTJZO,X,O,X,X,X,X,X
ILSTJOZ,X,O,X,X,X,X,X
ILSTZJO,X,O,X,X,X,X,X
ILSTZOJ,X,O,X,X,X,X,X
ILSTOJZ,X,O,X,X,X,X,X
ILSTOZJ,X,O,X,X,X,X,X
ILSJTZO,X,O,X,X,X,X,X
ILSJTOZ,X,O,X,X,X,X,X
ILSJZTO,X,O,X,X,X,X,X
ILSJZOT,X,O,X,X,X,X,X
ILSJOTZ,X,O,X,X,X,X,X
ILSJOZT,X,O,X,X,X,X,X
ILSZTJO,X,O,X,X,X,X,O
ILSZTOJ,X,O,X,X,X,X,O
ILSZJTO,X,O,X,X,X,X,X
ILSZJOT,X,O,X,X,X,X,X
ILSZOTJ,X,O,X,X,X,X,O
ILSZOJT,X,O,X,X,X,X,X
ILSOTJZ,X,O,X,X,X,X,X
ILSOTZJ,X,O,X,X,X,X,X
ILSOJTZ,X,O,X,X,X,X,X
ILSOJZT,X,O,X,X,X,X,X
ILSOZTJ,X,O,X,X,X,X,O
ILSOZJT,X,O,X,X,X,X,X
ILZTJSO,O,O,O,O,X,X,O
ILZTJOS,O,O,O,O,X,X,O
ILZTSJO,X,O,X,X,X,X,O
ILZTSOJ,O,O,X,X,X,X,O
ILZTOJS,O,O,O,O,X,X,O
ILZTOSJ,O,O,X,X,X,X,O
ILZJTSO,O,O,X,O,X,X,X
ILZJTOS,O,O,X,O,X,X,X
ILZJSTO,O,O,X,O,X,X,X
ILZJSOT,O,O,X,O,X,X,X
ILZJOTS,O,O,X,O,X,X,X
ILZJOST,O,O,X,O,X,X,X
ILZSTJO,X,O,X,X,X,X,O
ILZSTOJ,O,O,X,X,X,X,O
ILZSJTO,X,O,X,X,X,X,X
ILZSJOT,X,O,X,X,X,X,X
ILZSOTJ,O,O,X,X,X,X,O
ILZSOJT,X,O,X,X,X,X,X
ILZOTJS,O,O,O,O,X,X,O
ILZOTSJ,O,O,X,X,X,X,O
ILZOJTS,O,O,X,O,X,X,X
ILZOJST,O,O,X,O,X,X,X
ILZOSTJ,O,O,X,X,X,X,O
ILZOSJT,X,O,X,X,X,X,X
ILOTJSZ,O,O,O,O,X,X,X
ILOTJZS,O,O,O,O,X,X,X
ILOTSJZ,X,O,X,X,X,X,X
ILOTSZJ,X,O,X,X,X,X,X
ILOTZJS,X,O,O,O,X,X,X
ILOTZSJ,X,O,X,X,X,X,X
ILOJTSZ,O,O,O,O,X,X,X
ILOJTZS,O,O,O,O,X,X,X
ILOJSTZ,O,O,X,O,X,X,X
ILOJSZT,O,O,X,O,X,X,X
ILOJZTS,O,O,X,O,X,X,X
ILOJZST,O,O,X,O,X,X,X
ILOSTJZ,X,O,X,X,X,X,X
ILOSTZJ,X,O,X,X,X,X,X
ILOSJTZ,X,O,X,X,X,X,X
ILOSJZT,X,O,X,X,X,X,X
ILOSZTJ,X,O,X,X,X,X,O
ILOSZJT,X,O,X,X,X,X,X
ILOZTJS,O,O,O,O,X,X,O
ILOZTSJ,O,O,X,X,X,X,O
ILOZJTS,O,O,X,O,X,X,X
ILOZJST,O,O,X,O,X,X,X
ILOZSTJ,O,O,X,X,X,X,O
ILOZSJT,X,O,X,X,X,X,X
IJTLSZO,X,O,X,O,O,X,X
IJTLSOZ,X,O,O,O,O,X,X
IJTLZSO,X,O,O,O,X,X,X
IJTLZOS,X,O,O,O,O,X,X
IJTLOSZ,X,O,O,O,O,X,X
IJTLOZS,X,O,O,O,O,X,X
IJTSLZO,X,O,X,O,O,O,X
IJTSLOZ,X,O,O,O,O,O,X
IJTSZLO,X,X,O,O,O,O,X
IJTSZOL,X,X,O,O,O,O,X
IJTSOLZ,X,O,O,O,O,O,X
IJTSOZL,X,X,O,O,O,O,X
IJTZLSO,X,X,O,O,X,O,X
IJTZLOS,X,X,O,O,X,O,X
IJTZSLO,X,X,O,O,X,O,X
IJTZSOL,X,X,O,O,X,O,X
IJTZOLS,X,X,O,O,X,O,X
IJTZOSL,X,X,O,O,X,O,X
IJTOLSZ,X,O,O,O,O,X,X
IJTOLZS,X,O,O,O,O,X,X
IJTOSLZ,X,O,O,O,O,O,X
IJTOSZL,X,X,O,O,O,O,X
IJTOZLS,X,X,O,O,X,O,X
IJTOZSL,X,X,O,O,X,O,X
IJLTSZO,X,O,X,O,X,X,X
IJLTSOZ,X,O,O,O,X,X,X
IJLTZSO,X,O,O,O,X,X,X
IJLTZOS,X,O,O,O,X,X,X
IJLTOSZ,X,O,O,O,X,X,X
IJLTOZS,X,O,O,O,X,X,X
IJLSTZO,X,O,X,O,X,X,X
IJLSTOZ,X,O,X,O,X,X,X
IJLSZTO,X,O,X,O,X,X,X
IJLSZOT,X,O,X,O,X,X,X
IJLSOTZ,X,O,X,O,X,X,X
IJLSOZT,X,O,X,O,X,X,X
IJLZTSO,X,O,X,O,X,X,X
IJLZTOS,X,O,X,O,X,X,X
IJLZSTO,X,O,X,O,X,X,X
IJLZSOT,X,O,X,O,X,X,X
IJLZOTS,X,O,X,O,X,X,X
IJLZOST,X,O,X,O,X,X,X
IJLOTSZ,X,O,O,O,X,X,X
IJLOTZS,X,O,O,O,X,X,X
IJLOSTZ,X,O,X,O,X,X,X
IJLOSZT,X,O,X,O,X,X,X
IJLOZTS,X,O,X,O,X,X,X
IJLOZST,X,O,X,O,X,X,X
IJSTLZO,X,O,X,O,O,X,X
IJSTLOZ,X,O,O,O,O,X,X
IJSTZLO,X,X,O,O,O,X,X
IJSTZOL,X,X,O,O,O,X,X
IJSTOLZ,X,O,O,O,O,X,X
IJSTOZL,X,X,O,O,O,X,X
IJSLTZO,X,O,X,O,X,X,X
IJSLTOZ,X,O,X,O,X,X,X
IJSLZTO,X,O,X,O,X,X,X
IJSLZOT,X,O,X,O,X,X,X
IJSLOTZ,X,O,X,O,X,X,X
IJSLOZT,X,O,X,O,X,X,X
IJSZTLO,X,X,X,O,X,X,X
IJSZTOL,X,X,X,O,X,X,X
IJSZLTO,X,X,X,O,X,X,X
IJSZLOT,X,X,X,O,X,X,X
IJSZOTL,X,X,X,O,X,X,X
IJSZOLT,X,X,X,O,X,X,X
IJSOTLZ,X,O,O,O,O,X,X
IJSOTZL,X,X,O,O,O,X,X
IJSOLTZ,X,O,X,O,X,X,X
IJSOLZT,X,O,X,O,X,X,X
IJSOZTL,X,X,X,O,X,X,X
IJSOZLT,X,X,X,O,X,X,X
IJZTLSO,X,X,O,O,X,X,X
IJZTLOS,X,X,O,O,X,X,X
IJZTSLO,X,X,O,O,X,X,X
IJZTSOL,X,X,O,O,X,X,X
IJZTOLS,X,X,O,O,X,X,X
IJZTOSL,X,X,O,O,X,X,X
IJZLTSO,X,X,X,O,X,X,X
IJZLTOS,X,X,X,O,X,X,X
IJZLSTO,X,X,X,O,X,X,X
IJZLSOT,X,X,X,O,X,X,X
IJZLOTS,X,X,O,O,X,X,X
IJZLOST,X,X,X,O,X,X,X
IJZSTLO,X,X,X,O,X,X,X
IJZSTOL,X,X,X,O,X,X,X
IJZSLTO,X,X,X,O,X,X,X
IJZSLOT,X,X,X,O,X,X,X
IJZSOTL,X,X,X,O,X,X,X
IJZSOLT,X,X,X,O,X,X,X
IJZOTLS,X,X,O,O,X,X,X
IJZOTSL,X,X,O,O,X,X,X
IJZOLTS,X,X,O,O,X,X,X
IJZOLST,X,X,X,O,X,X,X
IJZOSTL,X,X,X,O,X,X,X
IJZOSLT,X,X,X,O,X,X,X
IJOTLSZ,X,O,O,O,O,X,X
IJOTLZS,X,O,O,O,O,X,X
IJOTSLZ,X,O,O,O,O,O,X
IJOTSZL,X,X,O,O,O,O,X
IJOTZLS,X,X,O,O,X,O,X
IJOTZSL,X,X,O,O,X,O,X
IJOLTSZ,X,O,O,O,X,X,X
IJOLTZS,X,O,O,O,X,X,X
IJOLSTZ,X,O,X,O,X,X,X
IJOLSZT,X,O,X,O,X,X,X
IJOLZTS,X,O,X,O,X,X,X
IJOLZST,X,O,X,O,X,X,X
IJOSTLZ,X,O,O,O,O,X,X
IJOSTZL,X,X,O,O,O,X,X
IJOSLTZ,X,O,X,O,X,X,X
IJOSLZT,X,O,X,O,X,X,X
IJOSZTL,X,X,X,O,X,X,X
IJOSZLT,X,X,X,O,X,X,X
IJOZTLS,X,X,O,O,X,X,X
IJOZTSL,X,X,O,O,X,X,X
IJOZLTS,X,X,O,O,X,X,X
IJOZLST,X,X,X,O,X,X,X
IJOZSTL,X,X,X,O,X,X,X
IJOZSLT,X,X,X,O,X,X,X
ISTLJZO,X,O,X,X,O,X,X
ISTLJOZ,X,O,X,X,O,X,X
ISTLZJO,X,O,X,X,O,X,X
ISTLZOJ,X,O,X,X,O,X,X
ISTLOJZ,X,O,X,X,O,X,X
ISTLOZJ,X,O,X,X,O,X,X
ISTJLZO,X,O,X,O,O,X,X
ISTJLOZ,O,O,O,O,O,X,X
ISTJZLO,X,X,O,O,O,X,X
ISTJZOL,O,X,O,O,O,X,X
ISTJOLZ,O,O,O,O,O,X,X
ISTJOZL,O,X,O,O,O,X,X
ISTZLJO,X,O,X,X,X,X,X
ISTZLOJ,O,O,X,X,X,X,X
ISTZJLO,O,X,O,O,X,X,X
ISTZJOL,O,X,O,O,X,X,X
ISTZOLJ,O,O,X,X,X,X,X
ISTZOJL,O,X,O,O,X,X,X
ISTOLJZ,X,O,X,X,O,X,X
ISTOLZJ,X,O,X,X,O,X,X
ISTOJLZ,O,O,O,O,O,X,X
ISTOJZL,O,X,O,O,O,X,X
ISTOZLJ,O,O,X,X,X,X,X
ISTOZJL,O,X,O,O,X,X,X
ISLTJZO,X,O,X,X,X,X,X
ISLTJOZ,X,O,X,X,X,X,X
ISLTZJO,X,O,X,X,X,X,X
ISLTZOJ,X,O,X,X,X,X,X
ISLTOJZ,X,O,X,X,X,X,X
ISLTOZJ,X,O,X,X,X,X,X
ISLJTZO,X,O,X,X,X,X,X
ISLJTOZ,X,O,X,X,X,X,X
ISLJZTO,X,O,X,X,X,X,X
ISLJZOT,X,O,X,X,X,X,X
ISLJOTZ,X,O,X,X,X,X,X
ISLJOZT,X,O,X,X,X,X,X
ISLZTJO,X,O,X,X,X,X,O
ISLZTOJ,X,O,X,X,X,X,O
ISLZJTO,X,O,X,X,X,X,X
ISLZJOT,X,O,X,X,X,X,X
ISLZOTJ,X,O,X,X,X,X,O
ISLZOJT,X,O,X,X,X,X,X
ISLOTJZ,X,O,X,X,X,X,X
ISLOTZJ,X,O,X,X,X,X,X
ISLOJTZ,X,O,X,X,X,X,X
ISLOJZT,X,O,X,X,X,X,X
ISLOZTJ,X,O,X,X,X,X,O
ISLOZJT,X,O,X,X,X,X,X
ISJTLZO,X,O,X,O,O,X,X
ISJTLOZ,O,O,O,O,O,X,X
ISJTZLO,O,X,O,O,O,X,X
ISJTZOL,O,X,O,O,O,X,X
ISJTOLZ,O,O,O,O,O,X,X
ISJTOZL,O,X,O,O,O,X,X
ISJLTZO,X,O,X,O,X,X,X
ISJLTOZ,O,O,X,O,X,X,X
ISJLZTO,O,O,X,O,X,X,X
ISJLZOT,O,O,X,O,X,X,X
ISJLOTZ,O,O,X,O,X,X,X
ISJLOZT,O,O,X,O,X,X,X
ISJZTLO,O,X,X,O,X,X,X
ISJZTOL,O,X,X,O,X,X,X
ISJZLTO,O,X,X,O,X,X,X
ISJZLOT,O,X,X,O,X,X,X
ISJZOTL,O,X,X,O,X,X,X
ISJZOLT,O,X,X,O,X,X,X
ISJOTLZ,O,O,O,O,O,X,X
ISJOTZL,O,X,O,O,O,X,X
ISJOLTZ,O,O,X,O,X,X,X
ISJOLZT,O,O,X,O,X,X,X
ISJOZTL,O,X,X,O,X,X,X
ISJOZLT,O,X,X,O,X,X,X
ISZTLJO,X,O,X,X,X,X,X
ISZTLOJ,O,O,X,X,X,X,X
ISZTJLO,O,X,O,O,X,X,X
ISZTJOL,O,X,O,O,X,X,X
ISZTOLJ,O,O,X,X,X,X,X
ISZTOJL,O,X,O,O,X,X,X
ISZLTJO,X,O,X,X,X,X,O
ISZLTOJ,O,O,X,X,X,X,O
ISZLJTO,X,O,X,X,X,X,X
ISZLJOT,X,O,X,X,X,X,X
ISZLOTJ,O,O,X,X,X,X,O
ISZLOJT,X,O,X,X,X,X,X
ISZJTLO,O,X,X,O,X,X,X
ISZJTOL,O,X,X,O,X,X,X
ISZJLTO,O,X,X,O,X,X,X
ISZJLOT,O,X,X,O,X,X,X
ISZJOTL,O,X,X,O,X,X,X
ISZJOLT,O,X,X,O,X,X,X
ISZOTLJ,O,O,X,X,X,X,X
ISZOTJL,O,X,O,O,X,X,X
ISZOLTJ,O,O,X,X,X,X,O
ISZOLJT,X,O,X,X,X,X,X
ISZOJTL,O,X,X,O,X,X,X
ISZOJLT,O,X,X,O,X,X,X
ISOTLJZ,X,O,X,X,O,X,X
ISOTLZJ,X,O,X,X,O,X,X
ISOTJLZ,O,O,O,O,O,X,X
ISOTJZL,O,X,O,O,O,X,X
ISOTZLJ,O,O,X,X,X,X,X
ISOTZJL,O,X,O,O,X,X,X
ISOLTJZ,X,O,X,X,X,X,X
ISOLTZJ,X,O,X,X,X,X,X
ISOLJTZ,X,O,X,X,X,X,X
ISOLJZT,X,O,X,X,X,X,X
ISOLZTJ,X,O,X,X,X,X,O
ISOLZJT,X,O,X,X,X,X,X
ISOJTLZ,O,O,O,O,O,X,X
ISOJTZL,O,X,O,O,O,X,X
ISOJLTZ,O,O,X,O,X,X,X
ISOJLZT,O,O,X,O,X,X,X
ISOJZTL,O,X,X,O,X,X,X
ISOJZLT,O,X,X,O,X,X,X
ISOZTLJ,O,O,X,X,X,X,X
ISOZTJL,O,X,O,O,X,X,X
ISOZLTJ,O,O,X,X,X,X,O
ISOZLJT,X,O,X,X,X,X,X
ISOZJTL,O,X,X,O,X,X,X
ISOZJLT,O,X,X,O,X,X,X
IZTLJSO,O,O,O,O,X,X,O
IZTLJOS,O,O,O,O,X,X,O
IZTLSJO,X,O,X,X,X,X,O
IZTLSOJ,O,O,X,X,X,X,O
IZTLOJS,O,O,O,O,X,X,O
IZTLOSJ,O,O,X,X,X,X,O
IZTJLSO,X,X,O,O,X,X,X
IZTJLOS,X,X,O,O,X,X,X
IZTJSLO,X,X,O,O,X,X,X
IZTJSOL,X,X,O,O,X,X,X
