sequence,v115@MhA8DeC8BeB8CeF8Ne2EJvhFRgBUiBzlB6tB3sBFtB,v115@MhA8DeC8BeB8CeF8Ne2EJvhFRgBFiB6oBzlBUtB3sB,v115@MhA8DeC8BeB8CeF8NeT/IvhFmgBFiBXjB0lBStBxxB,v115@MhA8DeC8BeB8CeF8Nei/IvhFUiBFjBRlB+tBzlB3sB,v115@MhA8DeC8BeB8CeF8Nei/IvhFUiBGjBRlB/tBzlB1xB,v115@MhA8DeC8BeB8CeF8NeT/IvhFylBFiBGoB0lBXoBxxB
TJSOILZ,O,X,X,O,O,X
TJSOIZL,O,O,X,O,O,X
TJSOLIZ,O,X,X,O,O,X
TJSOLZI,O,X,X,O,O,X
TJSOZIL,O,O,X,O,O,X
TJSOZLI,O,O,X,O,O,X
TJZILSO,X,O,O,O,O,X
TJZILOS,X,O,O,O,X,X
TJZISLO,X,O,O,O,O,X
TJZISOL,X,X,O,X,O,X
TJZIOLS,X,O,O,O,X,X
TJZIOSL,X,O,O,X,X,X
TJZLISO,X,O,O,O,O,X
TJZLIOS,X,O,O,O,X,X
TJZLSIO,X,O,X,O,O,X
TJZLSOI,X,O,X,X,O,X
TJZLOIS,O,O,O,O,X,X
TJZLOSI,O,O,X,X,X,X
TJZSILO,X,O,O,O,O,X
TJZSIOL,X,X,O,X,O,X
TJZSLIO,X,O,X,O,O,X
TJZSLOI,O,O,X,X,O,X
TJZSOIL,O,O,O,X,O,X
TJZSOLI,O,O,X,X,O,X
TJZOILS,O,O,O,O,X,X
TJZOISL,O,O,O,X,X,X
TJZOLIS,O,O,O,O,X,X
TJZOLSI,O,O,X,X,X,X
TJZOSIL,O,O,O,X,X,X
TJZOSLI,O,O,X,X,X,X
TJOILSZ,O,X,O,X,X,O
TJOILZS,O,O,O,O,X,O
TJOISLZ,O,X,X,X,X,O
TJOISZL,O,O,X,X,X,X
TJOIZLS,O,O,O,O,X,O
TJOIZSL,O,O,O,X,X,X
TJOLISZ,O,X,X,X,X,O
TJOLIZS,O,O,X,O,X,O
TJOLSIZ,O,X,X,X,X,X
TJOLSZI,O,X,X,X,X,X
TJOLZIS,O,O,X,O,X,X
TJOLZSI,O,O,X,X,X,X
TJOSILZ,O,X,X,X,X,X
TJOSIZL,O,O,X,X,X,X
TJOSLIZ,O,X,X,X,X,X
TJOSLZI,O,X,X,X,X,X
TJOSZIL,O,O,X,X,X,X
TJOSZLI,O,O,X,X,X,X
TJOZILS,O,O,O,O,X,X
TJOZISL,O,O,O,X,X,X
TJOZLIS,O,O,O,O,X,X
TJOZLSI,O,O,X,X,X,X
TJOZSIL,O,O,O,X,X,X
TJOZSLI,O,O,X,X,X,X
TSILJZO,X,X,O,X,O,X
TSILJOZ,X,X,O,X,O,O
TSILZJO,X,X,O,X,O,X
TSILZOJ,X,X,O,X,O,X
TSILOJZ,X,X,O,X,O,O
TSILOZJ,X,X,O,X,O,X
TSIJLZO,X,X,X,X,O,X
TSIJLOZ,X,X,X,X,O,O
TSIJZLO,X,X,X,X,O,X
TSIJZOL,X,X,X,X,O,X
TSIJOLZ,X,X,X,X,O,O
TSIJOZL,X,X,X,X,O,X
TSIZLJO,X,X,O,X,O,X
TSIZLOJ,X,X,O,X,O,X
TSIZJLO,X,X,O,X,O,X
TSIZJOL,X,X,O,X,O,X
TSIZOLJ,X,X,O,X,O,X
TSIZOJL,X,X,O,X,O,X
TSIOLJZ,X,X,O,X,O,O
TSIOLZJ,X,X,O,X,O,X
TSIOJLZ,X,X,X,X,O,O
TSIOJZL,X,X,X,X,O,X
TSIOZLJ,X,X,O,X,O,X
TSIOZJL,X,X,O,X,O,X
TSLIJZO,X,X,X,X,O,X
TSLIJOZ,X,X,X,X,O,O
TSLIZJO,X,X,X,X,O,X
TSLIZOJ,X,X,X,X,O,X
TSLIOJZ,X,X,X,X,O,O
TSLIOZJ,X,X,X,X,O,X
TSLJIZO,X,X,X,X,O,X
TSLJIOZ,X,X,X,X,O,X
TSLJZIO,X,X,X,X,O,X
TSLJZOI,O,X,X,X,O,X
TSLJOIZ,O,X,X,X,O,X
TSLJOZI,O,X,X,X,O,X
TSLZIJO,X,X,X,X,O,X
TSLZIOJ,X,X,X,X,O,X
TSLZJIO,X,X,X,X,O,X
TSLZJOI,O,X,X,X,O,X
TSLZOIJ,O,X,X,X,O,X
TSLZOJI,O,X,X,X,O,X
TSLOIJZ,O,X,X,X,O,O
TSLOIZJ,O,X,X,X,O,X
TSLOJIZ,O,X,X,X,O,X
TSLOJZI,O,X,X,X,O,X
TSLOZIJ,O,X,X,X,O,X
TSLOZJI,O,X,X,X,O,X
TSJILZO,X,X,X,X,O,X
TSJILOZ,X,X,X,X,O,X
TSJIZLO,X,O,X,X,O,X
TSJIZOL,X,X,X,X,O,X
TSJIOLZ,X,X,X,X,O,X
TSJIOZL,X,X,X,X,O,X
TSJLIZO,X,X,X,X,O,X
TSJLIOZ,X,X,X,X,O,X
TSJLZIO,X,X,X,X,O,X
TSJLZOI,O,X,X,X,O,X
TSJLOIZ,O,X,X,X,O,X
TSJLOZI,O,X,X,X,O,X
TSJZILO,X,O,X,X,O,X
TSJZIOL,X,X,X,X,O,X
