sequence,v115@JhA8EeA8AeC8BeA8BeA8AeC8DeB8KeT/IvhF6lB0hB?liB5oBerBXsB,v115@JhA8EeA8AeC8BeA8BeA8AeC8DeB8KeT/IvhFlgBunB?5oB8qBasB3rB
IJTZOLS,O,X
IJTZOSL,X,X
IJTOLSZ,X,X
IJTOLZS,O,X
IJTOSLZ,X,X
IJTOSZL,X,X
IJTOZLS,O,X
IJTOZSL,X,X
IJLTSZO,X,X
IJLTSOZ,X,X
IJLTZSO,X,X
IJLTZOS,O,X
IJLTOSZ,X,X
IJLTOZS,O,X
IJLSTZO,O,X
IJLSTOZ,O,X
IJLSZTO,O,X
IJLSZOT,O,X
IJLSOTZ,O,X
IJLSOZT,O,X
IJLZTSO,X,X
IJLZTOS,O,O
IJLZSTO,X,X
IJLZSOT,X,X
IJLZOTS,O,O
IJLZOST,X,X
IJLOTSZ,X,X
IJLOTZS,O,X
IJLOSTZ,O,X
IJLOSZT,O,X
IJLOZTS,O,O
IJLOZST,X,X
IJSTLZO,O,X
IJSTLOZ,O,X
IJSTZLO,O,X
IJSTZOL,O,X
IJSTOLZ,O,X
IJSTOZL,O,X
IJSLTZO,O,X
IJSLTOZ,O,X
IJSLZTO,O,X
IJSLZOT,O,X
IJSLOTZ,O,X
IJSLOZT,O,X
IJSZTLO,O,X
IJSZTOL,O,X
IJSZLTO,O,X
IJSZLOT,O,X
IJSZOTL,O,X
IJSZOLT,O,X
IJSOTLZ,O,X
IJSOTZL,O,X
IJSOLTZ,O,X
IJSOLZT,O,X
IJSOZTL,O,X
IJSOZLT,O,X
IJZTLSO,X,X
IJZTLOS,O,O
IJZTSLO,X,X
IJZTSOL,X,X
IJZTOLS,O,O
IJZTOSL,X,X
IJZLTSO,X,X
IJZLTOS,O,O
IJZLSTO,X,X
IJZLSOT,X,X
IJZLOTS,O,O
IJZLOST,X,X
IJZSTLO,X,X
IJZSTOL,X,X
IJZSLTO,X,X
IJZSLOT,X,X
IJZSOTL,X,X
IJZSOLT,X,X
IJZOTLS,O,O
IJZOTSL,X,X
IJZOLTS,O,O
IJZOLST,X,X
IJZOSTL,X,X
IJZOSLT,X,X
IJOTLSZ,X,X
IJOTLZS,O,X
IJOTSLZ,X,X
IJOTSZL,X,X
IJOTZLS,O,X
IJOTZSL,X,X
IJOLTSZ,X,X
IJOLTZS,O,X
IJOLSTZ,O,X
IJOLSZT,O,X
IJOLZTS,O,O
IJOLZST,X,X
IJOSTLZ,O,X
IJOSTZL,O,X
IJOSLTZ,O,X
IJOSLZT,O,X
IJOSZTL,O,X
IJOSZLT,O,X
IJOZTLS,O,O
IJOZTSL,X,X
IJOZLTS,O,O
IJOZLST,X,X
IJOZSTL,X,X
IJOZSLT,X,X
ISTLJZO,O,X
ISTLJOZ,O,X
ISTLZJO,X,X
ISTLZOJ,X,X
ISTLOJZ,O,X
ISTLOZJ,X,X
ISTJLZO,O,X
ISTJLOZ,O,X
ISTJZLO,O,X
ISTJZOL,O,X
ISTJOLZ,O,X
ISTJOZL,O,X
ISTZLJO,X,X
ISTZLOJ,X,X
ISTZJLO,X,X
ISTZJOL,X,X
ISTZOLJ,X,X
ISTZOJL,X,X
ISTOLJZ,O,X
ISTOLZJ,X,X
ISTOJLZ,O,X
ISTOJZL,O,X
ISTOZLJ,X,X
