sequence,v115@GhA8AeA8GeA8AeD8DeA8AeB8EeB8JeZEJvhFFgBXhB?TiBeoBUsBSwB,v115@GhA8AeA8GeA8AeD8DeA8AeB8EeB8JeZEJvhFUgBFhB?enBziB3sBSwB,v115@GhA8AeA8GeA8AeD8DeA8AeB8EeB8JeZEJvhFFgB/mB?UiBaoBTsBWwB,v115@GhA8AeA8GeA8AeD8DeA8AeB8EeB8JeZEJvhFFgBiiB?znBUsBGrBXrB,v115@GhA8AeA8GeA8AeD8DeA8AeB8EeB8JeZEJvhFFgBaoB?zmB+sB8qB3rB,v115@GhA8AeA8GeA8AeD8DeA8AeB8EeB8JeZEJvhFFgBzhB?aoB+sB3rB8qB
IOTSJLZ,X,O,O,X,X,X
IOTSJZL,O,O,O,X,X,X
IOTSZLJ,X,O,O,O,X,X
IOTSZJL,O,O,O,O,X,X
IOTZLJS,X,X,X,O,X,X
IOTZLSJ,X,X,O,O,X,X
IOTZJLS,O,X,X,O,X,X
IOTZJSL,O,X,X,O,X,X
IOTZSLJ,X,O,O,O,X,X
IOTZSJL,O,O,O,O,X,X
IOLTJSZ,X,X,O,X,O,X
IOLTJZS,X,X,X,X,O,X
IOLTSJZ,X,X,O,X,X,X
IOLTSZJ,X,X,O,X,X,X
IOLTZJS,X,X,X,O,X,X
IOLTZSJ,X,X,O,O,X,X
IOLJTSZ,X,X,O,X,O,X
IOLJTZS,X,X,X,X,O,X
IOLJSTZ,X,X,O,X,O,O
IOLJSZT,X,X,O,X,O,O
IOLJZTS,X,X,X,X,O,X
IOLJZST,X,X,X,X,O,X
IOLSTJZ,X,X,O,X,X,X
IOLSTZJ,X,X,O,X,X,X
IOLSJTZ,X,X,O,X,X,X
IOLSJZT,X,X,O,X,X,X
IOLSZTJ,X,X,O,X,X,X
IOLSZJT,X,X,O,X,X,X
IOLZTJS,X,X,X,O,X,X
IOLZTSJ,X,X,O,O,X,X
IOLZJTS,X,X,X,O,X,X
IOLZJST,X,X,X,O,X,X
IOLZSTJ,X,X,O,O,X,X
IOLZSJT,X,X,O,O,X,X
IOJTLSZ,X,X,O,X,O,X
IOJTLZS,X,X,X,X,O,X
IOJTSLZ,X,X,O,X,O,X
IOJTSZL,O,X,O,X,X,X
IOJTZLS,O,X,X,O,O,X
IOJTZSL,O,X,X,O,X,X
IOJLTSZ,X,X,O,X,O,X
IOJLTZS,X,X,X,X,O,X
IOJLSTZ,X,X,O,X,O,O
IOJLSZT,X,X,O,X,O,O
IOJLZTS,X,X,X,X,O,X
IOJLZST,X,X,X,X,O,X
IOJSTLZ,X,X,O,X,O,O
IOJSTZL,O,X,O,X,X,X
IOJSLTZ,X,X,O,X,O,O
IOJSLZT,X,X,O,X,O,O
IOJSZTL,O,X,O,X,X,X
IOJSZLT,O,X,O,X,X,O
IOJZTLS,O,X,X,O,O,X
IOJZTSL,O,X,X,O,X,X
IOJZLTS,O,X,X,O,O,X
IOJZLST,O,X,X,O,O,X
IOJZSTL,O,X,X,O,X,X
IOJZSLT,O,X,X,O,X,X
IOSTLJZ,X,O,O,X,X,X
IOSTLZJ,X,O,O,X,X,X
IOSTJLZ,X,O,O,X,X,O
IOSTJZL,O,O,O,X,X,X
IOSTZLJ,X,O,O,O,X,X
IOSTZJL,O,O,O,O,X,X
IOSLTJZ,X,O,O,X,X,X
IOSLTZJ,X,O,O,X,X,X
IOSLJTZ,X,O,O,X,X,O
IOSLJZT,X,O,O,X,X,O
IOSLZTJ,X,O,O,X,X,X
IOSLZJT,X,O,O,X,X,X
IOSJTLZ,X,O,O,X,X,O
IOSJTZL,O,O,O,X,X,X
IOSJLTZ,X,O,O,X,X,O
IOSJLZT,X,O,O,X,X,O
IOSJZTL,O,O,O,X,X,X
IOSJZLT,O,O,O,X,X,O
IOSZTLJ,X,O,O,O,X,X
IOSZTJL,O,O,O,O,X,X
IOSZLTJ,X,O,O,O,X,X
IOSZLJT,X,O,O,O,X,X
IOSZJTL,O,O,O,O,X,X
IOSZJLT,O,O,O,O,X,O
IOZTLJS,X,X,X,O,X,X
IOZTLSJ,X,X,O,O,X,X
IOZTJLS,O,X,X,O,X,X
IOZTJSL,O,X,X,O,X,X
IOZTSLJ,X,O,O,O,X,X
IOZTSJL,O,O,O,O,X,X
IOZLTJS,X,X,X,O,X,X
IOZLTSJ,X,X,O,O,X,X
IOZLJTS,X,X,X,O,X,X
IOZLJST,X,X,X,O,X,X
IOZLSTJ,X,X,O,O,X,X
IOZLSJT,X,X,O,O,X,X
IOZJTLS,O,X,X,O,X,X
IOZJTSL,O,X,X,O,X,X
IOZJLTS,O,X,X,O,X,X
IOZJLST,O,X,X,O,X,X
IOZJSTL,O,X,X,O,X,X
IOZJSLT,O,X,X,O,X,X
IOZSTLJ,X,O,O,O,X,X
IOZSTJL,O,O,O,O,X,X
IOZSLTJ,X,O,O,O,X,X
IOZSLJT,X,O,O,O,X,X
IOZSJTL,O,O,O,O,X,X
IOZSJLT,O,O,O,O,X,X
LTIJSZO,O,X,X,X,X,O
LTIJSOZ,X,X,X,X,O,O
LTIJZSO,O,X,X,X,X,X
LTIJZOS,O,X,X,X,O,X
LTIJOSZ,X,X,O,X,O,X
LTIJOZS,X,X,X,X,O,X
LTISJZO,O,O,X,X,X,X
LTISJOZ,X,O,X,X,O,X
LTISZJO,O,O,X,X,X,X
LTISZOJ,X,O,X,X,X,X
LTISOJZ,X,O,O,X,X,X
LTISOZJ,X,O,O,X,X,X
LTIZJSO,O,X,X,X,X,X
LTIZJOS,O,X,X,X,O,X
LTIZSJO,O,O,X,X,X,X
LTIZSOJ,X,O,X,X,X,X
LTIZOJS,X,X,X,O,X,X
LTIZOSJ,X,X,O,O,X,X
LTIOJSZ,X,X,O,X,O,X
LTIOJZS,X,X,X,X,O,X
LTIOSJZ,X,X,O,X,X,X
LTIOSZJ,X,X,O,X,X,X
LTIOZJS,X,X,X,O,X,X
LTIOZSJ,X,X,O,O,X,X
LTJISZO,O,X,X,X,X,O
LTJISOZ,X,X,X,X,O,O
LTJIZSO,O,X,X,X,X,X
LTJIZOS,O,X,X,X,O,X
LTJIOSZ,X,X,O,X,O,X
LTJIOZS,X,X,X,X,O,X
LTJSIZO,O,X,X,X,X,O
LTJSIOZ,X,X,X,X,O,O
LTJSZIO,O,X,X,X,X,X
LTJSZOI,O,X,X,X,X,X
LTJSOIZ,X,X,X,X,O,O
LTJSOZI,X,X,X,X,X,X
LTJZISO,O,X,X,X,X,X
LTJZIOS,O,X,X,X,O,X
LTJZSIO,O,X,X,X,X,X
LTJZSOI,O,X,X,X,X,X
LTJZOIS,O,X,X,X,O,X
LTJZOSI,O,X,X,X,X,X
LTJOISZ,X,X,O,X,O,X
LTJOIZS,X,X,X,X,O,X
LTJOSIZ,X,X,O,X,O,X
LTJOSZI,X,X,O,X,X,X
LTJOZIS,X,X,X,X,O,X
LTJOZSI,X,X,X,X,X,X
LTSIJZO,O,O,X,X,X,X
LTSIJOZ,X,O,X,X,O,X
LTSIZJO,O,O,X,X,X,X
LTSIZOJ,X,O,X,X,X,X
LTSIOJZ,X,O,O,X,X,X
LTSIOZJ,X,O,O,X,X,X
LTSJIZO,O,O,X,X,X,X
LTSJIOZ,X,O,X,X,O,X
LTSJZIO,O,O,X,X,X,X
LTSJZOI,O,O,X,X,X,X
LTSJOIZ,X,O,X,X,O,X
LTSJOZI,X,O,X,X,X,X
LTSZIJO,O,O,X,X,X,X
LTSZIOJ,X,O,X,X,X,X
LTSZJIO,O,O,X,X,X,X
LTSZJOI,O,O,X,X,X,X
LTSZOIJ,X,O,X,X,X,X
LTSZOJI,X,O,X,X,X,X
LTSOIJZ,X,O,O,X,X,X
LTSOIZJ,X,O,O,X,X,X
LTSOJIZ,X,O,O,X,X,X
LTSOJZI,X,O,O,X,X,X
LTSOZIJ,X,O,O,X,X,X
LTSOZJI,X,O,O,X,X,X
LTZIJSO,O,X,X,X,X,X
LTZIJOS,O,X,X,X,O,X
LTZISJO,O,O,X,X,X,X
LTZISOJ,X,O,X,X,X,X
LTZIOJS,X,X,X,O,X,X
LTZIOSJ,X,X,O,O,X,X
LTZJISO,O,X,X,X,X,X
LTZJIOS,O,X,X,X,O,X
LTZJSIO,O,X,X,X,X,X
LTZJSOI,O,X,X,X,X,X
LTZJOIS,O,X,X,X,O,X
LTZJOSI,O,X,X,X,X,X
LTZSIJO,O,O,X,X,X,X
LTZSIOJ,X,O,X,X,X,X
LTZSJIO,O,O,X,X,X,X
LTZSJOI,O,O,X,X,X,X
LTZSOIJ,X,O,X,X,X,X
LTZSOJI,X,O,X,X,X,X
LTZOIJS,X,X,X,O,X,X
LTZOISJ,X,X,O,O,X,X
LTZOJIS,X,X,X,O,X,X
LTZOJSI,X,X,X,X,X,X
LTZOSIJ,X,X,O,O,X,X
LTZOSJI,X,X,O,X,X,X
LTOIJSZ,X,X,O,X,O,X
LTOIJZS,X,X,X,X,O,X
LTOISJZ,X,X,O,X,X,X
LTOISZJ,X,X,O,X,X,X
LTOIZJS,X,X,X,O,X,X
LTOIZSJ,X,X,O,O,X,X
LTOJISZ,X,X,O,X,O,X
LTOJIZS,X,X,X,X,O,X
LTOJSIZ,X,X,O,X,O,X
LTOJSZI,X,X,O,X,X,X
LTOJZIS,X,X,X,X,O,X
LTOJZSI,X,X,X,X,X,X
LTOSIJZ,X,X,O,X,X,X
LTOSIZJ,X,X,O,X,X,X
LTOSJIZ,X,X,O,X,X,X
LTOSJZI,X,X,O,X,X,X
LTOSZIJ,X,X,O,X,X,X
LTOSZJI,X,X,O,X,X,X
LTOZIJS,X,X,X,O,X,X
LTOZISJ,X,X,O,O,X,X
LTOZJIS,X,X,X,O,X,X
LTOZJSI,X,X,X,X,X,X
LTOZSIJ,X,X,O,O,X,X
LTOZSJI,X,X,O,X,X,X
LITJSZO,O,X,X,X,X,O
LITJSOZ,X,X,X,X,O,O
LITJZSO,O,X,X,X,X,X
LITJZOS,O,X,X,X,O,X
LITJOSZ,X,X,O,X,O,X
LITJOZS,X,X,X,X,O,X
LITSJZO,O,O,X,X,X,X
LITSJOZ,X,O,X,X,O,X
LITSZJO,O,O,X,X,X,X
LITSZOJ,X,O,X,X,X,X
LITSOJZ,X,O,O,X,X,X
LITSOZJ,X,O,O,X,X,X
LITZJSO,O,X,X,X,X,X
LITZJOS,O,X,X,X,O,X
LITZSJO,O,O,X,X,X,X
LITZSOJ,X,O,X,X,X,X
LITZOJS,X,X,X,O,X,X
LITZOSJ,X,X,O,O,X,X
LITOJSZ,X,X,O,X,O,X
LITOJZS,X,X,X,X,O,X
LITOSJZ,X,X,O,X,X,X
LITOSZJ,X,X,O,X,X,X
LITOZJS,X,X,X,O,X,X
LITOZSJ,X,X,O,O,X,X
LIJTSZO,O,X,X,X,X,O
LIJTSOZ,X,X,X,X,O,O
LIJTZSO,O,X,X,X,X,X
LIJTZOS,O,X,X,X,O,X
LIJTOSZ,X,X,O,X,O,X
LIJTOZS,X,X,X,X,O,X
LIJSTZO,O,X,X,X,X,O
LIJSTOZ,X,X,X,X,O,O
LIJSZTO,O,X,X,X,X,O
LIJSZOT,O,X,X,X,X,O
LIJSOTZ,X,X,X,X,O,O
LIJSOZT,X,X,X,X,O,O
LIJZTSO,O,X,X,X,X,X
LIJZTOS,O,X,X,X,O,X
LIJZSTO,O,X,X,X,X,O
LIJZSOT,O,X,X,X,X,O
LIJZOTS,O,X,X,X,O,X
LIJZOST,O,X,X,X,O,X
LIJOTSZ,X,X,O,X,O,X
LIJOTZS,X,X,X,X,O,X
LIJOSTZ,X,X,O,X,O,O
LIJOSZT,X,X,O,X,O,O
LIJOZTS,X,X,X,X,O,X
LIJOZST,X,X,X,X,O,X
LISTJZO,O,O,X,X,X,X
LISTJOZ,X,O,X,X,O,X
LISTZJO,O,O,X,X,X,X
LISTZOJ,X,O,X,X,X,X
LISTOJZ,X,O,O,X,X,X
LISTOZJ,X,O,O,X,X,X
LISJTZO,O,O,X,X,X,O
LISJTOZ,X,O,X,X,O,O
LISJZTO,O,O,X,X,X,O
LISJZOT,O,O,X,X,X,O
LISJOTZ,X,O,X,X,O,O
LISJOZT,X,O,X,X,O,O
LISZTJO,O,O,X,X,X,X
LISZTOJ,X,O,X,X,X,X
LISZJTO,O,O,X,X,X,X
LISZJOT,O,O,X,X,X,X
LISZOTJ,X,O,X,X,X,X
LISZOJT,X,O,X,X,X,X
LISOTJZ,X,O,O,X,X,X
LISOTZJ,X,O,O,X,X,X
LISOJTZ,X,O,O,X,X,O
LISOJZT,X,O,O,X,X,O
LISOZTJ,X,O,O,X,X,X
LISOZJT,X,O,O,X,X,X
LIZTJSO,O,X,X,X,X,X
LIZTJOS,O,X,X,X,O,X
LIZTSJO,O,O,X,X,X,X
LIZTSOJ,X,O,X,X,X,X
LIZTOJS,X,X,X,O,X,X
LIZTOSJ,X,X,O,O,X,X
LIZJTSO,O,X,X,X,X,X
LIZJTOS,O,X,X,X,O,X
LIZJSTO,O,X,X,X,X,O
LIZJSOT,O,X,X,X,X,O
LIZJOTS,O,X,X,X,O,X
LIZJOST,O,X,X,X,O,X
LIZSTJO,O,O,X,X,X,X
LIZSTOJ,X,O,X,X,X,X
LIZSJTO,O,O,X,X,X,X
LIZSJOT,O,O,X,X,X,X
LIZSOTJ,X,O,X,X,X,X
LIZSOJT,X,O,X,X,X,X
LIZOTJS,X,X,X,O,X,X
LIZOTSJ,X,X,O,O,X,X
LIZOJTS,X,X,X,O,X,X
LIZOJST,X,X,X,O,X,X
LIZOSTJ,X,X,O,O,X,X
LIZOSJT,X,X,O,O,X,X
LIOTJSZ,X,X,O,X,O,X
LIOTJZS,X,X,X,X,O,X
LIOTSJZ,X,X,O,X,X,X
LIOTSZJ,X,X,O,X,X,X
LIOTZJS,X,X,X,O,X,X
LIOTZSJ,X,X,O,O,X,X
LIOJTSZ,X,X,O,X,O,X
LIOJTZS,X,X,X,X,O,X
LIOJSTZ,X,X,O,X,O,O
LIOJSZT,X,X,O,X,O,O
LIOJZTS,X,X,X,X,O,X
LIOJZST,X,X,X,X,O,X
LIOSTJZ,X,X,O,X,X,X
LIOSTZJ,X,X,O,X,X,X
LIOSJTZ,X,X,O,X,X,X
LIOSJZT,X,X,O,X,X,X
LIOSZTJ,X,X,O,X,X,X
LIOSZJT,X,X,O,X,X,X
LIOZTJS,X,X,X,O,X,X
LIOZTSJ,X,X,O,O,X,X
LIOZJTS,X,X,X,O,X,X
LIOZJST,X,X,X,O,X,X
LIOZSTJ,X,X,O,O,X,X
LIOZSJT,X,X,O,O,X,X
LJTISZO,O,X,X,X,X,O
LJTISOZ,X,X,X,X,O,O
LJTIZSO,O,X,X,X,X,X
LJTIZOS,O,X,X,X,O,X
LJTIOSZ,X,X,O,X,O,X
LJTIOZS,X,X,X,X,O,X
LJTSIZO,O,X,X,X,X,O
LJTSIOZ,X,X,X,X,O,O
LJTSZIO,O,X,X,X,X,X
LJTSZOI,O,X,X,X,X,X
LJTSOIZ,X,X,X,X,O,O
LJTSOZI,X,X,X,X,X,X
LJTZISO,O,X,X,X,X,X
LJTZIOS,O,X,X,X,O,X
LJTZSIO,O,X,X,X,X,X
LJTZSOI,O,X,X,X,X,X
LJTZOIS,O,X,X,X,O,X
LJTZOSI,O,X,X,X,X,X
LJTOISZ,X,X,O,X,O,X
LJTOIZS,X,X,X,X,O,X
LJTOSIZ,X,X,O,X,O,X
LJTOSZI,X,X,O,X,X,X
LJTOZIS,X,X,X,X,O,X
LJTOZSI,X,X,X,X,X,X
LJITSZO,O,X,X,X,X,O
LJITSOZ,X,X,X,X,O,O
LJITZSO,O,X,X,X,X,X
LJITZOS,O,X,X,X,O,X
LJITOSZ,X,X,O,X,O,X
LJITOZS,X,X,X,X,O,X
LJISTZO,O,X,X,X,X,O
LJISTOZ,X,X,X,X,O,O
LJISZTO,O,X,X,X,X,O
LJISZOT,O,X,X,X,X,O
LJISOTZ,X,X,X,X,O,O
LJISOZT,X,X,X,X,O,O
LJIZTSO,O,X,X,X,X,X
LJIZTOS,O,X,X,X,O,X
LJIZSTO,O,X,X,X,X,O
LJIZSOT,O,X,X,X,X,O
LJIZOTS,O,X,X,X,O,X
LJIZOST,O,X,X,X,O,X
LJIOTSZ,X,X,O,X,O,X
LJIOTZS,X,X,X,X,O,X
LJIOSTZ,X,X,O,X,O,O
LJIOSZT,X,X,O,X,O,O
LJIOZTS,X,X,X,X,O,X
LJIOZST,X,X,X,X,O,X
LJSTIZO,O,X,X,X,X,O
LJSTIOZ,X,X,X,X,O,O
LJSTZIO,O,X,X,X,X,X
LJSTZOI,O,X,X,X,X,X
LJSTOIZ,X,X,X,X,O,O
LJSTOZI,X,X,X,X,X,X
LJSITZO,O,X,X,X,X,O
LJSITOZ,X,X,X,X,O,O
LJSIZTO,O,X,X,X,X,O
LJSIZOT,O,X,X,X,X,O
LJSIOTZ,X,X,X,X,O,O
LJSIOZT,X,X,X,X,O,O
LJSZTIO,O,X,X,X,X,X
LJSZTOI,O,X,X,X,X,X
LJSZITO,O,X,X,X,X,O
LJSZIOT,O,X,X,X,X,O
LJSZOTI,O,X,X,X,X,X
LJSZOIT,O,X,X,X,X,O
LJSOTIZ,X,X,X,X,O,O
LJSOTZI,X,X,X,X,X,X
LJSOITZ,X,X,X,X,O,O
LJSOIZT,X,X,X,X,O,O
LJSOZTI,X,X,X,X,X,X
LJSOZIT,X,X,X,X,X,O
LJZTISO,O,X,X,X,X,X
LJZTIOS,O,X,X,X,O,X
LJZTSIO,O,X,X,X,X,X
LJZTSOI,O,X,X,X,X,X
LJZTOIS,O,X,X,X,O,X
LJZTOSI,O,X,X,X,X,X
LJZITSO,O,X,X,X,X,X
LJZITOS,O,X,X,X,O,X
LJZISTO,O,X,X,X,X,O
LJZISOT,O,X,X,X,X,O
LJZIOTS,O,X,X,X,O,X
LJZIOST,O,X,X,X,O,X
LJZSTIO,O,X,X,X,X,X
LJZSTOI,O,X,X,X,X,X
LJZSITO,O,X,X,X,X,O
LJZSIOT,O,X,X,X,X,O
LJZSOTI,O,X,X,X,X,X
LJZSOIT,O,X,X,X,X,O
LJZOTIS,O,X,X,X,O,X
LJZOTSI,O,X,X,X,X,X
LJZOITS,O,X,X,X,O,X
LJZOIST,O,X,X,X,O,X
LJZOSTI,O,X,X,X,X,X
LJZOSIT,O,X,X,X,X,X
LJOTISZ,X,X,O,X,O,X
LJOTIZS,X,X,X,X,O,X
LJOTSIZ,X,X,O,X,O,X
LJOTSZI,X,X,O,X,X,X
LJOTZIS,X,X,X,X,O,X
LJOTZSI,X,X,X,X,X,X
LJOITSZ,X,X,O,X,O,X
LJOITZS,X,X,X,X,O,X
LJOISTZ,X,X,O,X,O,O
LJOISZT,X,X,O,X,O,O
LJOIZTS,X,X,X,X,O,X
LJOIZST,X,X,X,X,O,X
LJOSTIZ,X,X,O,X,O,O
LJOSTZI,X,X,O,X,X,X
LJOSITZ,X,X,O,X,O,O
LJOSIZT,X,X,O,X,O,O
LJOSZTI,X,X,O,X,X,X
LJOSZIT,X,X,O,X,X,O
LJOZTIS,X,X,X,X,O,X
LJOZTSI,X,X,X,X,X,X
LJOZITS,X,X,X,X,O,X
LJOZIST,X,X,X,X,O,X
LJOZSTI,X,X,X,X,X,X
LJOZSIT,X,X,X,X,X,X
LSTIJZO,O,O,X,X,X,X
LSTIJOZ,X,O,X,X,O,X
LSTIZJO,O,O,X,X,X,X
LSTIZOJ,X,O,X,X,X,X
LSTIOJZ,X,O,O,X,X,X
LSTIOZJ,X,O,O,X,X,X
LSTJIZO,O,O,X,X,X,X
LSTJIOZ,X,O,X,X,O,X
LSTJZIO,O,O,X,X,X,X
LSTJZOI,O,O,X,X,X,X
LSTJOIZ,X,O,X,X,O,X
LSTJOZI,X,O,X,X,X,X
LSTZIJO,O,O,X,X,X,X
LSTZIOJ,X,O,X,X,X,X
LSTZJIO,O,O,X,X,X,X
LSTZJOI,O,O,X,X,X,X
LSTZOIJ,X,O,X,X,X,X
LSTZOJI,X,O,X,X,X,X
LSTOIJZ,X,O,O,X,X,X
LSTOIZJ,X,O,O,X,X,X
LSTOJIZ,X,O,O,X,X,X
LSTOJZI,X,O,O,X,X,X
LSTOZIJ,X,O,O,X,X,X
LSTOZJI,X,O,O,X,X,X
LSITJZO,O,O,X,X,X,X
LSITJOZ,X,O,X,X,O,X
LSITZJO,O,O,X,X,X,X
LSITZOJ,X,O,X,X,X,X
LSITOJZ,X,O,O,X,X,X
LSITOZJ,X,O,O,X,X,X
LSIJTZO,O,O,X,X,X,O
LSIJTOZ,X,O,X,X,O,O
LSIJZTO,O,O,X,X,X,O
LSIJZOT,O,O,X,X,X,O
LSIJOTZ,X,O,X,X,O,O
LSIJOZT,X,O,X,X,O,O
LSIZTJO,O,O,X,X,X,X
LSIZTOJ,X,O,X,X,X,X
LSIZJTO,O,O,X,X,X,X
LSIZJOT,O,O,X,X,X,X
LSIZOTJ,X,O,X,X,X,X
LSIZOJT,X,O,X,X,X,X
LSIOTJZ,X,O,O,X,X,X
LSIOTZJ,X,O,O,X,X,X
LSIOJTZ,X,O,O,X,X,O
LSIOJZT,X,O,O,X,X,O
LSIOZTJ,X,O,O,X,X,X
LSIOZJT,X,O,O,X,X,X
LSJTIZO,O,O,X,X,X,O
LSJTIOZ,X,O,X,X,O,O
LSJTZIO,O,O,X,X,X,X
LSJTZOI,O,O,X,X,X,X
LSJTOIZ,X,O,X,X,O,O
LSJTOZI,X,O,X,X,X,X
LSJITZO,O,O,X,X,X,O
LSJITOZ,X,O,X,X,O,O
LSJIZTO,O,O,X,X,X,O
LSJIZOT,O,O,X,X,X,O
LSJIOTZ,X,O,X,X,O,O
LSJIOZT,X,O,X,X,O,O
LSJZTIO,O,O,X,X,X,X
LSJZTOI,O,O,X,X,X,X
LSJZITO,O,O,X,X,X,O
LSJZIOT,O,O,X,X,X,O
LSJZOTI,O,O,X,X,X,X
LSJZOIT,O,O,X,X,X,O
LSJOTIZ,X,O,X,X,O,O
LSJOTZI,X,O,X,X,X,X
LSJOITZ,X,O,X,X,O,O
LSJOIZT,X,O,X,X,O,O
LSJOZTI,X,O,X,X,X,X
LSJOZIT,X,O,X,X,X,O
LSZTIJO,O,O,X,X,X,X
LSZTIOJ,X,O,X,X,X,X
LSZTJIO,O,O,X,X,X,X
LSZTJOI,O,O,X,X,X,X
LSZTOIJ,X,O,X,X,X,X
LSZTOJI,X,O,X,X,X,X
LSZITJO,O,O,X,X,X,X
LSZITOJ,X,O,X,X,X,X
LSZIJTO,O,O,X,X,X,X
LSZIJOT,O,O,X,X,X,X
LSZIOTJ,X,O,X,X,X,X
LSZIOJT,X,O,X,X,X,X
LSZJTIO,O,O,X,X,X,X
LSZJTOI,O,O,X,X,X,X
LSZJITO,O,O,X,X,X,X
LSZJIOT,O,O,X,X,X,X
LSZJOTI,O,O,X,X,X,X
LSZJOIT,O,O,X,X,X,X
LSZOTIJ,X,O,X,X,X,X
LSZOTJI,X,O,X,X,X,X
LSZOITJ,X,O,X,X,X,X
LSZOIJT,X,O,X,X,X,X
LSZOJTI,X,O,X,X,X,X
LSZOJIT,X,O,X,X,X,X
LSOTIJZ,X,O,O,X,X,X
LSOTIZJ,X,O,O,X,X,X
LSOTJIZ,X,O,O,X,X,X
LSOTJZI,X,O,O,X,X,X
LSOTZIJ,X,O,O,X,X,X
LSOTZJI,X,O,O,X,X,X
LSOITJZ,X,O,O,X,X,X
LSOITZJ,X,O,O,X,X,X
LSOIJTZ,X,O,O,X,X,O
LSOIJZT,X,O,O,X,X,O
LSOIZTJ,X,O,O,X,X,X
LSOIZJT,X,O,O,X,X,X
LSOJTIZ,X,O,O,X,X,O
LSOJTZI,X,O,O,X,X,X
LSOJITZ,X,O,O,X,X,O
LSOJIZT,X,O,O,X,X,O
LSOJZTI,X,O,O,X,X,X
LSOJZIT,X,O,O,X,X,O
LSOZTIJ,X,O,O,X,X,X
LSOZTJI,X,O,O,X,X,X
LSOZITJ,X,O,O,X,X,X
LSOZIJT,X,O,O,X,X,X
LSOZJTI,X,O,O,X,X,X
LSOZJIT,X,O,O,X,X,X
LZTIJSO,O,X,X,X,X,X
LZTIJOS,O,X,X,X,O,X
LZTISJO,O,O,X,X,X,X
LZTISOJ,X,O,X,X,X,X
LZTIOJS,X,X,X,O,X,X
LZTIOSJ,X,X,O,O,X,X
LZTJISO,O,X,X,X,X,X
LZTJIOS,O,X,X,X,O,X
LZTJSIO,O,X,X,X,X,X
LZTJSOI,O,X,X,X,X,X
LZTJOIS,O,X,X,X,O,X
LZTJOSI,O,X,X,X,X,X
LZTSIJO,O,O,X,X,X,X
LZTSIOJ,X,O,X,X,X,X
LZTSJIO,O,O,X,X,X,X
LZTSJOI,O,O,X,X,X,X
LZTSOIJ,X,O,X,X,X,X
LZTSOJI,X,O,X,X,X,X
LZTOIJS,X,X,X,O,X,X
LZTOISJ,X,X,O,O,X,X
LZTOJIS,X,X,X,O,X,X
LZTOJSI,X,X,X,X,X,X
LZTOSIJ,X,X,O,O,X,X
LZTOSJI,X,X,O,X,X,X
LZITJSO,O,X,X,X,X,X
LZITJOS,O,X,X,X,O,X
LZITSJO,O,O,X,X,X,X
LZITSOJ,X,O,X,X,X,X
LZITOJS,X,X,X,O,X,X
LZITOSJ,X,X,O,O,X,X
LZIJTSO,O,X,X,X,X,X
LZIJTOS,O,X,X,X,O,X
LZIJSTO,O,X,X,X,X,O
LZIJSOT,O,X,X,X,X,O
LZIJOTS,O,X,X,X,O,X
LZIJOST,O,X,X,X,O,X
LZISTJO,O,O,X,X,X,X
LZISTOJ,X,O,X,X,X,X
LZISJTO,O,O,X,X,X,X
LZISJOT,O,O,X,X,X,X
LZISOTJ,X,O,X,X,X,X
LZISOJT,X,O,X,X,X,X
LZIOTJS,X,X,X,O,X,X
LZIOTSJ,X,X,O,O,X,X
LZIOJTS,X,X,X,O,X,X
LZIOJST,X,X,X,O,X,X
LZIOSTJ,X,X,O,O,X,X
LZIOSJT,X,X,O,O,X,X
LZJTISO,O,X,X,X,X,X
LZJTIOS,O,X,X,X,O,X
LZJTSIO,O,X,X,X,X,X
LZJTSOI,O,X,X,X,X,X
LZJTOIS,O,X,X,X,O,X
LZJTOSI,O,X,X,X,X,X
LZJITSO,O,X,X,X,X,X
LZJITOS,O,X,X,X,O,X
LZJISTO,O,X,X,X,X,O
LZJISOT,O,X,X,X,X,O
LZJIOTS,O,X,X,X,O,X
LZJIOST,O,X,X,X,O,X
LZJSTIO,O,X,X,X,X,X
LZJSTOI,O,X,X,X,X,X
LZJSITO,O,X,X,X,X,O
LZJSIOT,O,X,X,X,X,O
LZJSOTI,O,X,X,X,X,X
LZJSOIT,O,X,X,X,X,O
LZJOTIS,O,X,X,X,O,X
LZJOTSI,O,X,X,X,X,X
LZJOITS,O,X,X,X,O,X
LZJOIST,O,X,X,X,O,X
LZJOSTI,O,X,X,X,X,X
LZJOSIT,O,X,X,X,X,X
LZSTIJO,O,O,X,X,X,X
LZSTIOJ,X,O,X,X,X,X
LZSTJIO,O,O,X,X,X,X
LZSTJOI,O,O,X,X,X,X
LZSTOIJ,X,O,X,X,X,X
LZSTOJI,X,O,X,X,X,X
LZSITJO,O,O,X,X,X,X
LZSITOJ,X,O,X,X,X,X
LZSIJTO,O,O,X,X,X,X
LZSIJOT,O,O,X,X,X,X
LZSIOTJ,X,O,X,X,X,X
LZSIOJT,X,O,X,X,X,X
LZSJTIO,O,O,X,X,X,X
LZSJTOI,O,O,X,X,X,X
LZSJITO,O,O,X,X,X,X
LZSJIOT,O,O,X,X,X,X
LZSJOTI,O,O,X,X,X,X
LZSJOIT,O,O,X,X,X,X
LZSOTIJ,X,O,X,X,X,X
LZSOTJI,X,O,X,X,X,X
LZSOITJ,X,O,X,X,X,X
