sequence,v115@RhD8FeE8BeC8Jei/IvhF8mBziB+oBRlBFmBXsB,v115@RhD8FeE8BeC8Jei/IvhFXiB8nB+oBRlBFmBzrB,v115@RhD8FeE8BeC8JeT/IvhFigBRmBGoBFnBXoB0rB,v115@RhD8FeE8BeC8JeT/IvhFxgBfoB6oBmlBFsB8rB,v115@RhD8FeE8BeC8Jei/IvhFzhBRlBFoBUmBGoBXsB,v115@RhD8FeE8BeC8JeT/IvhFXjBxlB8rBStBmlBFsB
IOLTZSJ,X,X,X,X,X,X
IOLJTSZ,O,X,O,X,X,X
IOLJTZS,X,O,O,X,X,X
IOLJSTZ,O,X,O,O,X,X
IOLJSZT,O,O,O,X,X,X
IOLJZTS,X,O,O,X,X,X
IOLJZST,O,O,O,X,X,X
IOLSTJZ,X,X,X,O,O,X
IOLSTZJ,X,X,X,X,O,X
IOLSJTZ,O,X,O,O,O,X
IOLSJZT,O,O,O,X,X,X
IOLSZTJ,X,X,X,X,O,O
IOLSZJT,O,X,X,X,X,O
IOLZTJS,X,X,O,X,X,X
IOLZTSJ,X,X,X,X,X,O
IOLZJTS,X,O,O,X,X,X
IOLZJST,X,O,O,X,X,O
IOLZSTJ,X,X,X,X,X,O
IOLZSJT,X,X,O,X,X,O
IOJTLSZ,O,X,O,X,X,X
IOJTLZS,X,O,O,X,X,X
IOJTSLZ,O,X,X,O,X,X
IOJTSZL,O,X,X,X,X,X
IOJTZLS,X,O,X,X,X,X
IOJTZSL,X,O,X,X,X,X
IOJLTSZ,O,X,O,X,X,X
IOJLTZS,X,O,O,X,X,X
IOJLSTZ,O,X,O,O,X,X
IOJLSZT,O,O,O,X,X,X
IOJLZTS,X,O,O,X,X,X
IOJLZST,O,O,O,X,X,X
IOJSTLZ,O,X,X,O,X,X
IOJSTZL,O,X,X,X,X,X
IOJSLTZ,O,X,O,O,X,X
IOJSLZT,O,O,O,X,X,X
IOJSZTL,O,O,X,X,X,X
IOJSZLT,O,O,X,X,X,X
IOJZTLS,X,O,O,X,X,X
IOJZTSL,X,O,X,X,X,X
IOJZLTS,X,O,O,X,X,X
IOJZLST,O,O,O,X,X,O
IOJZSTL,O,O,X,X,X,X
IOJZSLT,O,O,O,X,X,X
IOSTLJZ,X,X,X,O,O,X
IOSTLZJ,X,X,X,X,O,X
IOSTJLZ,X,X,X,O,O,X
IOSTJZL,X,X,X,X,X,X
IOSTZLJ,X,X,X,X,O,X
IOSTZJL,X,X,X,X,X,X
IOSLTJZ,X,X,X,O,O,X
IOSLTZJ,X,X,X,X,O,X
IOSLJTZ,O,X,O,O,O,X
IOSLJZT,O,O,O,X,X,X
IOSLZTJ,X,X,X,X,O,X
IOSLZJT,O,X,X,X,X,X
IOSJTLZ,O,X,X,O,O,X
IOSJTZL,O,X,X,X,X,X
IOSJLTZ,O,X,O,O,O,X
IOSJLZT,O,O,O,X,X,X
IOSJZTL,O,O,X,X,X,X
IOSJZLT,O,O,X,X,X,X
IOSZTLJ,X,X,X,X,O,X
IOSZTJL,X,X,X,X,X,X
IOSZLTJ,X,X,X,X,O,O
IOSZLJT,O,X,X,X,X,O
IOSZJTL,O,X,X,X,X,X
IOSZJLT,O,X,X,X,X,X
IOZTLJS,X,X,O,X,X,X
IOZTLSJ,X,X,X,X,X,O
IOZTJLS,X,X,O,X,X,X
IOZTJSL,X,X,X,X,X,X
IOZTSLJ,X,X,X,X,X,X
IOZTSJL,X,X,X,X,X,X
IOZLTJS,X,X,O,X,X,X
IOZLTSJ,X,X,X,X,X,O
IOZLJTS,X,O,O,X,X,X
IOZLJST,X,O,O,X,X,O
IOZLSTJ,X,X,X,X,X,O
IOZLSJT,X,X,O,X,X,O
IOZJTLS,X,O,O,X,X,X
IOZJTSL,X,O,X,X,X,X
IOZJLTS,X,O,O,X,X,X
IOZJLST,X,O,O,X,X,O
IOZJSTL,X,O,X,X,X,X
IOZJSLT,X,O,O,X,X,X
IOZSTLJ,X,X,X,X,X,X
IOZSTJL,X,X,X,X,X,X
IOZSLTJ,X,X,X,X,X,O
IOZSLJT,X,X,O,X,X,O
IOZSJTL,X,X,X,X,X,X
IOZSJLT,X,X,O,X,X,X
LTIJSZO,O,X,X,X,X,X
LTIJSOZ,O,X,X,X,O,X
LTIJZSO,X,O,X,X,X,X
LTIJZOS,X,O,X,X,X,X
LTIJOSZ,O,X,O,X,X,X
LTIJOZS,X,O,O,X,X,X
LTISJZO,O,X,X,X,X,X
LTISJOZ,O,X,X,X,O,X
LTISZJO,O,X,X,X,X,X
LTISZOJ,X,X,X,X,O,X
LTISOJZ,X,X,X,X,O,X
LTISOZJ,X,X,X,X,O,X
LTIZJSO,X,X,X,X,X,X
LTIZJOS,X,X,X,X,X,X
LTIZSJO,X,X,X,X,X,X
LTIZSOJ,X,X,X,X,O,X
LTIZOJS,X,X,X,X,X,X
LTIZOSJ,X,X,X,X,X,X
LTIOJSZ,X,X,O,X,X,X
LTIOJZS,X,O,O,X,X,X
LTIOSJZ,X,X,X,X,O,X
LTIOSZJ,X,X,X,X,O,X
LTIOZJS,X,X,X,X,X,X
LTIOZSJ,X,X,X,X,X,X
LTJISZO,O,X,X,X,X,X
LTJISOZ,O,X,X,X,O,X
LTJIZSO,X,O,X,X,X,X
LTJIZOS,X,O,X,X,X,X
LTJIOSZ,O,X,O,X,X,X
LTJIOZS,X,O,O,X,X,X
LTJSIZO,O,X,X,O,X,X
LTJSIOZ,O,X,X,O,O,X
LTJSZIO,O,X,X,O,X,X
LTJSZOI,O,X,X,O,X,X
LTJSOIZ,O,X,X,O,O,X
LTJSOZI,O,X,X,O,X,X
LTJZISO,X,O,X,X,X,X
LTJZIOS,X,O,O,X,X,X
LTJZSIO,X,O,X,X,X,X
LTJZSOI,X,X,X,X,X,X
LTJZOIS,X,O,O,X,X,X
LTJZOSI,X,O,X,X,X,X
LTJOISZ,O,X,O,X,X,X
LTJOIZS,X,O,O,X,X,X
LTJOSIZ,O,X,X,O,X,X
LTJOSZI,O,X,X,O,X,X
LTJOZIS,X,O,O,X,X,X
LTJOZSI,X,O,X,X,X,X
LTSIJZO,O,X,X,O,X,X
LTSIJOZ,O,X,X,O,O,X
LTSIZJO,O,X,X,X,X,X
LTSIZOJ,X,X,X,X,O,X
LTSIOJZ,X,X,X,O,O,X
LTSIOZJ,X,X,X,X,O,X
LTSJIZO,O,X,X,O,X,X
LTSJIOZ,O,X,X,O,O,X
LTSJZIO,O,X,X,O,X,X
LTSJZOI,O,X,X,O,X,X
LTSJOIZ,O,X,X,O,O,X
LTSJOZI,O,X,X,O,X,X
LTSZIJO,O,X,X,X,X,X
LTSZIOJ,X,X,X,X,O,O
LTSZJIO,O,X,X,O,X,X
LTSZJOI,O,X,X,O,X,X
LTSZOIJ,X,X,X,X,O,O
LTSZOJI,X,X,X,O,X,X
LTSOIJZ,X,X,X,O,O,X
LTSOIZJ,X,X,X,X,O,X
LTSOJIZ,X,X,X,O,O,X
LTSOJZI,X,X,X,O,X,X
LTSOZIJ,X,X,X,X,O,O
LTSOZJI,X,X,X,O,X,X
LTZIJSO,X,X,X,X,X,X
LTZIJOS,X,X,O,X,X,X
LTZISJO,X,X,X,X,X,X
LTZISOJ,X,X,X,X,O,O
LTZIOJS,X,X,O,X,X,X
LTZIOSJ,X,X,X,X,X,O
LTZJISO,X,X,X,X,X,X
LTZJIOS,X,X,O,X,X,X
LTZJSIO,X,X,X,X,X,X
LTZJSOI,X,X,X,X,X,X
LTZJOIS,X,X,O,X,X,X
LTZJOSI,X,X,X,X,X,X
LTZSIJO,X,X,X,X,X,X
LTZSIOJ,X,X,X,X,O,O
LTZSJIO,X,X,X,X,X,X
LTZSJOI,X,X,X,X,X,X
LTZSOIJ,X,X,X,X,O,O
LTZSOJI,X,X,X,X,X,X
LTZOIJS,X,X,O,X,X,X
LTZOISJ,X,X,X,X,X,O
LTZOJIS,X,X,O,X,X,X
LTZOJSI,X,X,X,X,X,X
LTZOSIJ,X,X,X,X,X,O
LTZOSJI,X,X,X,X,X,X
LTOIJSZ,X,X,O,X,X,X
LTOIJZS,X,O,O,X,X,X
LTOISJZ,X,X,X,X,O,X
LTOISZJ,X,X,X,X,O,X
LTOIZJS,X,X,X,X,X,X
LTOIZSJ,X,X,X,X,X,X
LTOJISZ,X,X,O,X,X,X
LTOJIZS,X,O,O,X,X,X
LTOJSIZ,X,X,X,O,X,X
LTOJSZI,X,X,X,O,X,X
LTOJZIS,X,O,O,X,X,X
LTOJZSI,X,O,X,X,X,X
LTOSIJZ,X,X,X,O,O,X
LTOSIZJ,X,X,X,X,O,X
LTOSJIZ,X,X,X,O,O,X
LTOSJZI,X,X,X,O,X,X
LTOSZIJ,X,X,X,X,O,O
LTOSZJI,X,X,X,O,X,X
LTOZIJS,X,X,O,X,X,X
LTOZISJ,X,X,X,X,X,O
LTOZJIS,X,X,O,X,X,X
LTOZJSI,X,X,X,X,X,X
LTOZSIJ,X,X,X,X,X,O
LTOZSJI,X,X,X,X,X,X
LITJSZO,O,X,X,X,X,X
LITJSOZ,O,X,X,X,O,X
LITJZSO,X,O,X,X,X,X
LITJZOS,X,O,X,X,X,X
LITJOSZ,O,X,O,X,X,X
LITJOZS,X,O,O,X,X,X
LITSJZO,O,X,X,X,X,X
LITSJOZ,O,X,X,X,O,X
LITSZJO,O,X,X,X,X,X
LITSZOJ,X,X,X,X,O,X
LITSOJZ,X,X,X,X,O,X
LITSOZJ,X,X,X,X,O,X
LITZJSO,X,X,X,X,X,X
LITZJOS,X,X,X,X,X,X
LITZSJO,X,X,X,X,X,X
LITZSOJ,X,X,X,X,O,X
LITZOJS,X,X,X,X,X,X
LITZOSJ,X,X,X,X,X,X
LITOJSZ,X,X,O,X,X,X
LITOJZS,X,O,O,X,X,X
LITOSJZ,X,X,X,X,O,X
LITOSZJ,X,X,X,X,O,X
LITOZJS,X,X,X,X,X,X
LITOZSJ,X,X,X,X,X,X
LIJTSZO,O,X,X,X,X,X
LIJTSOZ,O,X,X,X,O,X
LIJTZSO,X,O,X,X,X,X
LIJTZOS,X,O,X,X,X,X
LIJTOSZ,O,X,O,X,X,X
LIJTOZS,X,O,O,X,X,X
LIJSTZO,O,X,X,O,X,X
LIJSTOZ,O,X,X,O,O,X
LIJSZTO,O,O,X,X,X,X
LIJSZOT,O,O,X,X,X,X
LIJSOTZ,O,X,O,O,O,X
LIJSOZT,O,O,O,X,X,X
LIJZTSO,X,O,X,X,X,X
LIJZTOS,X,O,O,X,X,X
LIJZSTO,O,O,X,X,X,X
LIJZSOT,O,O,O,X,X,X
LIJZOTS,X,O,O,X,X,X
LIJZOST,O,O,O,X,X,X
LIJOTSZ,O,X,O,X,X,X
LIJOTZS,X,O,O,X,X,X
LIJOSTZ,O,X,O,O,X,X
LIJOSZT,O,O,O,X,X,X
LIJOZTS,X,O,O,X,X,X
LIJOZST,O,O,O,X,X,X
LISTJZO,O,X,X,O,X,X
LISTJOZ,O,X,X,O,O,X
LISTZJO,O,X,X,X,X,X
LISTZOJ,X,X,X,X,O,X
LISTOJZ,X,X,X,O,O,X
LISTOZJ,X,X,X,X,O,X
LISJTZO,O,X,X,O,X,X
LISJTOZ,O,X,X,O,O,X
LISJZTO,O,O,X,X,X,X
LISJZOT,O,O,X,X,X,X
LISJOTZ,O,X,O,O,O,X
LISJOZT,O,O,O,X,X,X
LISZTJO,O,X,X,X,X,X
LISZTOJ,X,X,X,X,O,O
LISZJTO,O,X,X,X,X,X
LISZJOT,O,X,X,X,X,O
LISZOTJ,X,X,X,X,O,O
LISZOJT,O,X,X,X,X,O
LISOTJZ,X,X,X,O,O,X
LISOTZJ,X,X,X,X,O,X
LISOJTZ,O,X,O,O,O,X
LISOJZT,O,O,O,X,X,X
LISOZTJ,X,X,X,X,O,O
LISOZJT,O,X,X,X,X,O
LIZTJSO,X,X,X,X,X,X
LIZTJOS,X,X,O,X,X,X
LIZTSJO,X,X,X,X,X,X
LIZTSOJ,X,X,X,X,O,O
LIZTOJS,X,X,O,X,X,X
LIZTOSJ,X,X,X,X,X,O
LIZJTSO,X,O,X,X,X,X
LIZJTOS,X,O,O,X,X,X
LIZJSTO,O,O,X,X,X,X
LIZJSOT,O,O,O,X,X,O
LIZJOTS,X,O,O,X,X,X
LIZJOST,O,O,O,X,X,O
LIZSTJO,O,X,X,X,X,X
LIZSTOJ,X,X,X,X,O,O
LIZSJTO,O,X,X,X,X,X
LIZSJOT,O,X,O,X,X,O
LIZSOTJ,X,X,X,X,O,O
LIZSOJT,O,X,O,X,X,O
LIZOTJS,X,X,O,X,X,X
LIZOTSJ,X,X,X,X,X,O
LIZOJTS,X,O,O,X,X,X
LIZOJST,X,O,O,X,X,O
LIZOSTJ,X,X,X,X,X,O
LIZOSJT,X,X,O,X,X,O
LIOTJSZ,X,X,O,X,X,X
LIOTJZS,X,O,O,X,X,X
LIOTSJZ,X,X,X,X,O,X
LIOTSZJ,X,X,X,X,O,X
LIOTZJS,X,X,X,X,X,X
LIOTZSJ,X,X,X,X,X,X
LIOJTSZ,O,X,O,X,X,X
LIOJTZS,X,O,O,X,X,X
LIOJSTZ,O,X,O,O,X,X
LIOJSZT,O,O,O,X,X,X
LIOJZTS,X,O,O,X,X,X
LIOJZST,O,O,O,X,X,X
LIOSTJZ,X,X,X,O,O,X
LIOSTZJ,X,X,X,X,O,X
LIOSJTZ,O,X,O,O,O,X
LIOSJZT,O,O,O,X,X,X
LIOSZTJ,X,X,X,X,O,O
LIOSZJT,O,X,X,X,X,O
LIOZTJS,X,X,O,X,X,X
LIOZTSJ,X,X,X,X,X,O
LIOZJTS,X,O,O,X,X,X
LIOZJST,X,O,O,X,X,O
LIOZSTJ,X,X,X,X,X,O
LIOZSJT,X,X,O,X,X,O
LJTISZO,O,X,X,X,X,X
LJTISOZ,O,X,X,X,O,X
LJTIZSO,X,O,X,X,X,X
LJTIZOS,X,O,X,X,X,X
LJTIOSZ,O,X,O,X,X,X
LJTIOZS,X,O,O,X,X,X
LJTSIZO,O,X,X,O,X,X
LJTSIOZ,O,X,X,O,O,X
LJTSZIO,O,X,X,O,X,X
LJTSZOI,O,X,X,O,X,X
LJTSOIZ,O,X,X,O,O,X
LJTSOZI,O,X,X,O,X,X
LJTZISO,X,O,X,X,X,X
LJTZIOS,X,O,O,X,X,X
LJTZSIO,X,O,X,X,X,X
LJTZSOI,X,X,X,X,X,X
LJTZOIS,X,O,O,X,X,X
LJTZOSI,X,O,X,X,X,X
LJTOISZ,O,X,O,X,X,X
LJTOIZS,X,O,O,X,X,X
LJTOSIZ,O,X,X,O,X,X
LJTOSZI,O,X,X,O,X,X
LJTOZIS,X,O,O,X,X,X
LJTOZSI,X,O,X,X,X,X
LJITSZO,O,X,X,X,X,X
LJITSOZ,O,X,X,X,O,X
LJITZSO,X,O,X,X,X,X
LJITZOS,X,O,X,X,X,X
LJITOSZ,O,X,O,X,X,X
LJITOZS,X,O,O,X,X,X
LJISTZO,O,X,X,O,X,X
LJISTOZ,O,X,X,O,O,X
LJISZTO,O,O,X,X,X,X
LJISZOT,O,O,X,X,X,X
LJISOTZ,O,X,O,O,O,X
LJISOZT,O,O,O,X,X,X
LJIZTSO,X,O,X,X,X,X
LJIZTOS,X,O,O,X,X,X
LJIZSTO,O,O,X,X,X,X
LJIZSOT,O,O,O,X,X,X
LJIZOTS,X,O,O,X,X,X
LJIZOST,O,O,O,X,X,X
LJIOTSZ,O,X,O,X,X,X
LJIOTZS,X,O,O,X,X,X
LJIOSTZ,O,X,O,O,X,X
LJIOSZT,O,O,O,X,X,X
LJIOZTS,X,O,O,X,X,X
LJIOZST,O,O,O,X,X,X
LJSTIZO,O,X,X,O,X,X
LJSTIOZ,O,X,X,O,O,X
LJSTZIO,O,X,X,O,X,X
LJSTZOI,O,X,X,O,X,X
LJSTOIZ,O,X,X,O,O,X
LJSTOZI,O,X,X,O,X,X
LJSITZO,O,X,X,O,X,X
LJSITOZ,O,X,X,O,O,X
LJSIZTO,O,O,X,X,X,X
LJSIZOT,O,O,X,X,X,X
LJSIOTZ,O,X,O,O,O,X
LJSIOZT,O,O,O,X,X,X
LJSZTIO,O,O,X,O,X,X
LJSZTOI,O,X,X,O,X,X
LJSZITO,O,O,X,X,X,X
LJSZIOT,O,O,O,X,X,O
LJSZOTI,O,O,X,O,X,X
LJSZOIT,O,O,O,X,X,O
LJSOTIZ,O,X,X,O,O,X
LJSOTZI,O,X,X,O,X,X
LJSOITZ,O,X,O,O,O,X
LJSOIZT,O,O,O,X,X,X
LJSOZTI,O,O,X,O,X,X
LJSOZIT,O,O,O,X,X,O
LJZTISO,X,O,X,X,X,X
LJZTIOS,X,O,O,X,X,X
LJZTSIO,X,O,X,X,X,X
LJZTSOI,X,X,X,X,X,X
LJZTOIS,X,O,O,X,X,X
LJZTOSI,X,O,X,X,X,X
LJZITSO,X,O,X,X,X,X
LJZITOS,X,O,O,X,X,X
LJZISTO,O,O,X,X,X,X
LJZISOT,O,O,O,X,X,O
LJZIOTS,X,O,O,X,X,X
LJZIOST,O,O,O,X,X,O
LJZSTIO,O,O,X,O,X,X
LJZSTOI,O,X,X,O,X,X
LJZSITO,O,O,X,X,X,X
LJZSIOT,O,O,O,X,X,O
LJZSOTI,O,O,X,O,X,X
LJZSOIT,O,O,O,X,X,O
LJZOTIS,X,O,O,X,X,X
LJZOTSI,X,O,X,X,X,X
LJZOITS,X,O,O,X,X,X
LJZOIST,O,O,O,X,X,O
LJZOSTI,O,O,X,O,X,X
LJZOSIT,O,O,O,X,X,O
LJOTISZ,O,X,O,X,X,X
LJOTIZS,X,O,O,X,X,X
LJOTSIZ,O,X,X,O,X,X
LJOTSZI,O,X,X,O,X,X
LJOTZIS,X,O,O,X,X,X
LJOTZSI,X,O,X,X,X,X
LJOITSZ,O,X,O,X,X,X
LJOITZS,X,O,O,X,X,X
LJOISTZ,O,X,O,O,X,X
LJOISZT,O,O,O,X,X,X
LJOIZTS,X,O,O,X,X,X
LJOIZST,O,O,O,X,X,X
LJOSTIZ,O,X,X,O,X,X
LJOSTZI,O,X,X,O,X,X
LJOSITZ,O,X,O,O,X,X
LJOSIZT,O,O,O,X,X,X
LJOSZTI,O,O,X,O,X,X
LJOSZIT,O,O,O,X,X,O
LJOZTIS,X,O,O,X,X,X
LJOZTSI,X,O,X,X,X,X
LJOZITS,X,O,O,X,X,X
LJOZIST,O,O,O,X,X,O
LJOZSTI,O,O,X,O,X,X
LJOZSIT,O,O,O,X,X,O
LSTIJZO,O,X,X,O,X,X
LSTIJOZ,O,X,X,O,O,X
LSTIZJO,O,X,X,X,X,X
LSTIZOJ,X,X,X,X,O,X
LSTIOJZ,X,X,X,O,O,X
LSTIOZJ,X,X,X,X,O,X
LSTJIZO,O,X,X,O,X,X
LSTJIOZ,O,X,X,O,O,X
LSTJZIO,O,X,X,O,X,X
LSTJZOI,O,X,X,O,X,X
LSTJOIZ,O,X,X,O,O,X
LSTJOZI,O,X,X,O,X,X
LSTZIJO,O,X,X,X,X,X
LSTZIOJ,X,X,X,X,O,O
LSTZJIO,O,X,X,O,X,X
LSTZJOI,O,X,X,O,X,X
LSTZOIJ,X,X,X,X,O,O
LSTZOJI,X,X,X,O,X,X
LSTOIJZ,X,X,X,O,O,X
LSTOIZJ,X,X,X,X,O,X
LSTOJIZ,X,X,X,O,O,X
LSTOJZI,X,X,X,O,X,X
LSTOZIJ,X,X,X,X,O,O
LSTOZJI,X,X,X,O,X,X
LSITJZO,O,X,X,O,X,X
LSITJOZ,O,X,X,O,O,X
LSITZJO,O,X,X,X,X,X
LSITZOJ,X,X,X,X,O,X
LSITOJZ,X,X,X,O,O,X
LSITOZJ,X,X,X,X,O,X
LSIJTZO,O,X,X,O,X,X
LSIJTOZ,O,X,X,O,O,X
LSIJZTO,O,O,X,X,X,X
LSIJZOT,O,O,X,X,X,X
LSIJOTZ,O,X,O,O,O,X
LSIJOZT,O,O,O,X,X,X
LSIZTJO,O,X,X,X,X,X
LSIZTOJ,X,X,X,X,O,O
LSIZJTO,O,X,X,X,X,X
LSIZJOT,O,X,X,X,X,O
LSIZOTJ,X,X,X,X,O,O
LSIZOJT,O,X,X,X,X,O
LSIOTJZ,X,X,X,O,O,X
LSIOTZJ,X,X,X,X,O,X
LSIOJTZ,O,X,O,O,O,X
LSIOJZT,O,O,O,X,X,X
LSIOZTJ,X,X,X,X,O,O
LSIOZJT,O,X,X,X,X,O
LSJTIZO,O,X,X,O,X,X
LSJTIOZ,O,X,X,O,O,X
LSJTZIO,O,X,X,O,X,X
LSJTZOI,O,X,X,O,X,X
LSJTOIZ,O,X,X,O,O,X
LSJTOZI,O,X,X,O,X,X
LSJITZO,O,X,X,O,X,X
LSJITOZ,O,X,X,O,O,X
LSJIZTO,O,O,X,X,X,X
LSJIZOT,O,O,X,X,X,X
LSJIOTZ,O,X,O,O,O,X
LSJIOZT,O,O,O,X,X,X
LSJZTIO,O,O,X,O,X,X
LSJZTOI,O,X,X,O,X,X
LSJZITO,O,O,X,X,X,X
LSJZIOT,O,O,O,X,X,O
LSJZOTI,O,O,X,O,X,X
LSJZOIT,O,O,O,X,X,O
LSJOTIZ,O,X,X,O,O,X
LSJOTZI,O,X,X,O,X,X
LSJOITZ,O,X,O,O,O,X
LSJOIZT,O,O,O,X,X,X
LSJOZTI,O,O,X,O,X,X
LSJOZIT,O,O,O,X,X,O
LSZTIJO,O,X,X,X,X,X
LSZTIOJ,X,X,X,X,O,O
LSZTJIO,O,X,X,O,X,X
LSZTJOI,O,X,X,O,X,X
LSZTOIJ,X,X,X,X,O,O
LSZTOJI,X,X,X,O,X,X
LSZITJO,O,X,X,X,X,X
LSZITOJ,X,X,X,X,O,O
LSZIJTO,O,X,X,X,X,X
LSZIJOT,O,X,O,X,X,O
LSZIOTJ,X,X,X,X,O,O
LSZIOJT,O,X,O,X,X,O
LSZJTIO,O,X,X,O,X,X
LSZJTOI,O,X,X,O,X,X
LSZJITO,O,X,X,X,X,X
LSZJIOT,O,X,O,X,X,O
LSZJOTI,O,X,X,O,X,X
LSZJOIT,O,X,O,X,X,O
LSZOTIJ,X,X,X,X,O,O
LSZOTJI,X,X,X,O,X,X
LSZOITJ,X,X,X,X,O,O
LSZOIJT,O,X,O,X,X,O
LSZOJTI,O,X,X,O,X,X
LSZOJIT,O,X,O,X,X,O
LSOTIJZ,X,X,X,O,O,X
LSOTIZJ,X,X,X,X,O,X
LSOTJIZ,X,X,X,O,O,X
LSOTJZI,X,X,X,O,X,X
LSOTZIJ,X,X,X,X,O,O
LSOTZJI,X,X,X,O,X,X
LSOITJZ,X,X,X,O,O,X
LSOITZJ,X,X,X,X,O,X
LSOIJTZ,O,X,O,O,O,X
LSOIJZT,O,O,O,X,X,X
LSOIZTJ,X,X,X,X,O,O
LSOIZJT,O,X,X,X,X,O
LSOJTIZ,O,X,X,O,O,X
LSOJTZI,O,X,X,O,X,X
LSOJITZ,O,X,O,O,O,X
LSOJIZT,O,O,O,X,X,X
LSOJZTI,O,O,X,O,X,X
LSOJZIT,O,O,O,X,X,O
LSOZTIJ,X,X,X,X,O,O
LSOZTJI,X,X,X,O,X,X
LSOZITJ,X,X,X,X,O,O
LSOZIJT,O,X,O,X,X,O
LSOZJTI,O,X,X,O,X,X
LSOZJIT,O,X,O,X,X,O
LZTIJSO,X,X,X,X,X,X
LZTIJOS,X,X,O,X,X,X
LZTISJO,X,X,X,X,X,X
LZTISOJ,X,X,X,X,O,O
LZTIOJS,X,X,O,X,X,X
LZTIOSJ,X,X,X,X,X,O
LZTJISO,X,X,X,X,X,X
LZTJIOS,X,X,O,X,X,X
LZTJSIO,X,X,X,X,X,X
LZTJSOI,X,X,X,X,X,X
LZTJOIS,X,X,O,X,X,X
LZTJOSI,X,X,X,X,X,X
LZTSIJO,X,X,X,X,X,X
LZTSIOJ,X,X,X,X,O,O
LZTSJIO,X,X,X,X,X,X
LZTSJOI,X,X,X,X,X,X
LZTSOIJ,X,X,X,X,O,O
LZTSOJI,X,X,X,X,X,X
LZTOIJS,X,X,O,X,X,X
LZTOISJ,X,X,X,X,X,O
LZTOJIS,X,X,O,X,X,X
LZTOJSI,X,X,X,X,X,X
LZTOSIJ,X,X,X,X,X,O
LZTOSJI,X,X,X,X,X,X
LZITJSO,X,X,X,X,X,X
LZITJOS,X,X,O,X,X,X
LZITSJO,X,X,X,X,X,X
LZITSOJ,X,X,X,X,O,O
LZITOJS,X,X,O,X,X,X
LZITOSJ,X,X,X,X,X,O
LZIJTSO,X,O,X,X,X,X
LZIJTOS,X,O,O,X,X,X
LZIJSTO,O,O,X,X,X,X
LZIJSOT,O,O,O,X,X,O
LZIJOTS,X,O,O,X,X,X
LZIJOST,O,O,O,X,X,O
LZISTJO,O,X,X,X,X,X
LZISTOJ,X,X,X,X,O,O
LZISJTO,O,X,X,X,X,X
LZISJOT,O,X,O,X,X,O
LZISOTJ,X,X,X,X,O,O
LZISOJT,O,X,O,X,X,O
LZIOTJS,X,X,O,X,X,X
LZIOTSJ,X,X,X,X,X,O
LZIOJTS,X,O,O,X,X,X
LZIOJST,X,O,O,X,X,O
LZIOSTJ,X,X,X,X,X,O
LZIOSJT,X,X,O,X,X,O
LZJTISO,X,O,X,X,X,X
LZJTIOS,X,O,O,X,X,X
LZJTSIO,X,O,X,X,X,X
LZJTSOI,X,X,X,X,X,X
LZJTOIS,X,O,O,X,X,X
LZJTOSI,X,O,X,X,X,X
LZJITSO,X,O,X,X,X,X
LZJITOS,X,O,O,X,X,X
LZJISTO,O,O,X,X,X,X
LZJISOT,O,O,O,X,X,O
LZJIOTS,X,O,O,X,X,X
LZJIOST,O,O,O,X,X,O
LZJSTIO,O,O,X,O,X,X
LZJSTOI,O,X,X,O,X,X
LZJSITO,O,O,X,X,X,X
LZJSIOT,O,O,O,X,X,O
LZJSOTI,O,O,X,O,X,X
LZJSOIT,O,O,O,X,X,O
LZJOTIS,X,O,O,X,X,X
LZJOTSI,X,O,X,X,X,X
LZJOITS,X,O,O,X,X,X
LZJOIST,O,O,O,X,X,O
LZJOSTI,O,O,X,O,X,X
LZJOSIT,O,O,O,X,X,O
LZSTIJO,O,X,X,X,X,X
LZSTIOJ,X,X,X,X,O,O
LZSTJIO,O,X,X,O,X,X
LZSTJOI,O,X,X,O,X,X
LZSTOIJ,X,X,X,X,O,O
LZSTOJI,X,X,X,O,X,X
LZSITJO,O,X,X,X,X,X
LZSITOJ,X,X,X,X,O,O
LZSIJTO,O,X,X,X,X,X
LZSIJOT,O,X,O,X,X,O
LZSIOTJ,X,X,X,X,O,O
LZSIOJT,O,X,O,X,X,O
LZSJTIO,O,X,X,O,X,X
LZSJTOI,O,X,X,O,X,X
LZSJITO,O,X,X,X,X,X
LZSJIOT,O,X,O,X,X,O
LZSJOTI,O,X,X,O,X,X
LZSJOIT,O,X,O,X,X,O
LZSOTIJ,X,X,X,X,O,O
LZSOTJI,X,X,X,O,X,X
LZSOITJ,X,X,X,X,O,O
LZSOIJT,O,X,O,X,X,O
LZSOJTI,O,X,X,O,X,X
LZSOJIT,O,X,O,X,X,O
LZOTIJS,X,X,O,X,X,X
LZOTISJ,X,X,X,X,X,O
LZOTJIS,X,X,O,X,X,X
LZOTJSI,X,X,X,X,X,X
LZOTSIJ,X,X,X,X,X,O
LZOTSJI,X,X,X,X,X,X
LZOITJS,X,X,O,X,X,X
LZOITSJ,X,X,X,X,X,O
LZOIJTS,X,O,O,X,X,X
LZOIJST,X,O,O,X,X,O
LZOISTJ,X,X,X,X,X,O
LZOISJT,X,X,O,X,X,O
LZOJTIS,X,O,O,X,X,X
LZOJTSI,X,O,X,X,X,X
LZOJITS,X,O,O,X,X,X
LZOJIST,X,O,O,X,X,O
LZOJSTI,X,O,X,O,X,X
