sequence,v115@9gA8IeB8FeD8FeD8GeA8JeFAJvhFXhBxiBCnBTqB2w?B0sB,v115@9gA8IeB8FeD8FeD8GeA8JeUAJvhFFhBxiBqsBTqBmr?B3rB,v115@9gA8IeB8FeD8FeD8GeA8JeFAJvhF6mBxiBzlB2vBXs?B0sB,v115@9gA8IeB8FeD8FeD8GeA8JeGAJvhFThBxiBKqBFrBXs?B0sB,v115@9gA8IeB8FeD8FeD8GeA8JeaFJvhFzgB+mBxiB1vBXs?B0sB,v115@9gA8IeB8FeD8FeD8GeA8JeUAJvhFRhBXmB6sB2vBzr?BFtB,v115@9gA8IeB8FeD8FeD8GeA8JeUAJvhFFhBTiBWsBiqBXt?BRwB,v115@9gA8IeB8FeD8FeD8GeA8JeRAJvhFOqBlmBcsBzqBCs?BXtB
TZJOISL,O,O,X,X,X,X,X,O
TZJOLIS,O,O,O,X,O,X,X,O
TZJOLSI,O,O,O,X,O,O,X,O
TZJOSIL,O,O,O,X,O,X,X,O
TZJOSLI,O,O,O,X,O,O,X,O
TZSILJO,O,X,O,X,O,X,O,X
TZSILOJ,O,O,X,X,X,X,X,X
TZSIJLO,O,X,O,X,O,X,X,X
TZSIJOL,O,X,O,X,O,X,X,X
TZSIOLJ,O,O,X,X,X,X,X,X
TZSIOJL,O,O,X,X,X,X,X,X
TZSLIJO,O,X,O,X,O,X,O,X
TZSLIOJ,O,O,X,X,X,X,X,X
TZSLJIO,O,X,X,X,O,X,X,X
TZSLJOI,O,X,X,X,O,X,X,X
TZSLOIJ,O,X,X,X,X,X,X,X
TZSLOJI,X,X,X,X,O,X,X,X
TZSJILO,O,X,O,X,O,X,X,X
TZSJIOL,O,X,O,X,O,X,X,X
TZSJLIO,O,X,O,X,O,X,X,X
TZSJLOI,O,X,X,X,O,X,X,X
TZSJOIL,O,X,O,X,O,X,X,O
TZSJOLI,X,X,O,X,O,X,X,O
TZSOILJ,O,O,X,X,X,X,X,X
TZSOIJL,O,O,X,X,X,X,X,X
TZSOLIJ,O,O,X,X,X,X,X,X
TZSOLJI,O,O,X,X,O,X,X,X
TZSOJIL,O,O,X,X,O,X,X,O
TZSOJLI,O,O,X,X,O,X,X,O
TZOILJS,O,O,X,X,X,X,O,X
TZOILSJ,O,O,X,X,X,X,X,X
TZOIJLS,O,O,X,X,X,X,X,O
TZOIJSL,O,O,X,X,X,X,X,O
TZOISLJ,O,O,X,X,X,X,X,X
TZOISJL,O,O,X,X,X,X,X,X
TZOLIJS,O,O,X,X,X,X,O,X
TZOLISJ,O,O,X,X,X,X,X,X
TZOLJIS,O,O,X,X,O,X,X,O
TZOLJSI,O,O,X,X,O,O,X,O
TZOLSIJ,O,O,X,X,X,X,X,X
TZOLSJI,O,O,X,X,O,X,X,X
TZOJILS,O,O,X,X,O,X,X,O
TZOJISL,O,O,X,X,X,X,X,O
TZOJLIS,O,O,X,X,O,X,X,O
TZOJLSI,O,O,X,X,O,O,X,O
TZOJSIL,O,O,X,X,O,X,X,O
TZOJSLI,O,O,X,X,O,O,X,O
TZOSILJ,O,O,X,X,X,X,X,X
TZOSIJL,O,O,X,X,X,X,X,X
TZOSLIJ,O,O,X,X,X,X,X,X
TZOSLJI,O,O,X,X,O,X,X,X
TZOSJIL,O,O,X,X,O,X,X,O
TZOSJLI,O,O,X,X,O,X,X,O
TOILJSZ,O,O,X,X,O,X,X,X
TOILJZS,O,O,X,X,O,X,X,X
TOILSJZ,O,X,X,X,O,X,X,X
TOILSZJ,O,X,X,X,X,X,X,X
TOILZJS,O,O,X,X,X,X,X,X
TOILZSJ,O,O,X,X,X,X,X,X
TOIJLSZ,O,X,O,X,O,X,X,X
TOIJLZS,O,O,O,X,O,X,X,X
TOIJSLZ,O,X,O,X,O,X,X,X
TOIJSZL,O,O,O,X,O,X,X,X
TOIJZLS,O,O,O,X,O,X,X,X
TOIJZSL,O,O,X,X,X,X,X,X
TOISLJZ,O,X,O,X,O,X,X,X
TOISLZJ,O,X,X,X,X,X,X,X
TOISJLZ,O,X,O,X,O,X,X,X
TOISJZL,O,X,O,X,O,X,X,X
TOISZLJ,O,X,X,X,X,X,X,X
TOISZJL,O,X,X,X,X,X,X,X
TOIZLJS,O,O,X,X,X,X,X,X
TOIZLSJ,O,O,X,X,X,X,X,X
TOIZJLS,O,O,X,X,X,X,X,X
TOIZJSL,O,O,X,X,X,X,X,X
TOIZSLJ,O,O,X,X,X,X,X,X
TOIZSJL,O,O,X,X,X,X,X,X
TOLIJSZ,O,O,X,X,O,X,X,X
TOLIJZS,O,O,X,X,O,X,X,X
TOLISJZ,O,X,X,X,O,X,X,X
TOLISZJ,O,X,X,X,X,X,X,X
TOLIZJS,O,O,X,X,X,X,X,X
TOLIZSJ,O,O,X,X,X,X,X,X
TOLJISZ,O,O,X,X,O,X,X,X
TOLJIZS,O,O,X,X,O,X,X,X
TOLJSIZ,O,O,X,X,O,O,X,X
TOLJSZI,O,O,X,X,O,O,X,X
TOLJZIS,O,O,X,X,O,X,X,X
TOLJZSI,O,O,X,X,O,O,X,X
TOLSIJZ,O,X,X,X,O,X,X,X
TOLSIZJ,O,X,X,X,X,X,X,X
TOLSJIZ,O,X,X,X,O,O,X,X
TOLSJZI,O,X,X,X,O,O,X,X
TOLSZIJ,O,X,X,X,X,X,X,X
TOLSZJI,X,X,X,X,O,X,X,X
TOLZIJS,O,O,X,X,X,X,X,X
TOLZISJ,O,O,X,X,X,X,X,X
TOLZJIS,O,O,X,X,O,X,X,X
TOLZJSI,O,O,X,X,O,O,X,X
TOLZSIJ,O,O,X,X,X,X,X,X
TOLZSJI,O,O,X,X,O,X,X,X
TOJILSZ,O,O,O,X,O,X,X,X
TOJILZS,O,O,O,X,O,X,X,X
TOJISLZ,O,X,O,X,O,X,X,X
TOJISZL,O,O,O,X,O,X,X,X
TOJIZLS,O,O,O,X,O,X,X,O
TOJIZSL,O,O,X,X,X,X,X,O
TOJLISZ,O,O,O,X,O,X,X,X
TOJLIZS,O,O,O,X,O,X,X,X
TOJLSIZ,O,O,O,X,O,O,X,X
TOJLSZI,O,O,O,X,O,O,X,X
TOJLZIS,O,O,O,X,O,X,X,X
TOJLZSI,O,O,O,X,O,O,X,X
TOJSILZ,O,X,O,X,O,X,X,X
TOJSIZL,O,O,O,X,O,X,X,X
TOJSLIZ,O,O,O,X,O,O,X,X
TOJSLZI,O,O,O,X,O,O,X,X
TOJSZIL,O,O,O,X,O,X,X,X
TOJSZLI,O,O,O,X,O,O,X,X
TOJZILS,O,O,O,X,O,X,X,O
TOJZISL,O,O,X,X,X,X,X,O
TOJZLIS,O,O,O,X,O,X,X,O
TOJZLSI,O,O,O,X,O,O,X,O
TOJZSIL,O,O,O,X,O,X,X,O
TOJZSLI,O,O,O,X,O,O,X,O
TOSILJZ,O,X,O,X,O,X,X,X
TOSILZJ,O,X,X,X,X,X,X,X
TOSIJLZ,O,X,O,X,O,X,X,X
TOSIJZL,O,X,O,X,O,X,X,X
TOSIZLJ,O,X,X,X,X,X,X,X
TOSIZJL,O,X,X,X,X,X,X,X
TOSLIJZ,O,X,O,X,O,X,X,X
TOSLIZJ,O,X,X,X,X,X,X,X
TOSLJIZ,O,X,X,X,O,O,X,X
TOSLJZI,O,X,X,X,O,O,X,X
TOSLZIJ,O,X,X,X,X,X,X,X
TOSLZJI,X,X,X,X,O,X,X,X
TOSJILZ,O,X,O,X,O,X,X,X
TOSJIZL,O,X,O,X,O,X,X,X
TOSJLIZ,O,X,O,X,O,O,X,X
TOSJLZI,O,X,O,X,O,O,X,X
TOSJZIL,O,X,O,X,O,X,X,X
TOSJZLI,O,X,O,X,O,O,X,X
TOSZILJ,O,X,X,X,X,X,X,X
TOSZIJL,O,X,X,X,X,X,X,X
TOSZLIJ,O,X,X,X,X,X,X,X
TOSZLJI,O,X,X,X,O,X,X,X
TOSZJIL,O,X,X,X,O,X,X,X
TOSZJLI,O,X,X,X,O,X,X,X
TOZILJS,O,O,X,X,X,X,X,X
TOZILSJ,O,O,X,X,X,X,X,X
TOZIJLS,O,O,X,X,X,X,X,O
TOZIJSL,O,O,X,X,X,X,X,O
TOZISLJ,O,O,X,X,X,X,X,X
TOZISJL,O,O,X,X,X,X,X,X
TOZLIJS,O,O,X,X,X,X,X,X
TOZLISJ,O,O,X,X,X,X,X,X
TOZLJIS,O,O,X,X,O,X,X,O
TOZLJSI,O,O,X,X,O,O,X,O
TOZLSIJ,O,O,X,X,X,X,X,X
TOZLSJI,O,O,X,X,O,X,X,X
TOZJILS,O,O,X,X,O,X,X,O
TOZJISL,O,O,X,X,X,X,X,O
TOZJLIS,O,O,X,X,O,X,X,O
TOZJLSI,O,O,X,X,O,O,X,O
TOZJSIL,O,O,X,X,O,X,X,O
TOZJSLI,O,O,X,X,O,O,X,O
TOZSILJ,O,O,X,X,X,X,X,X
TOZSIJL,O,O,X,X,X,X,X,X
TOZSLIJ,O,O,X,X,X,X,X,X
TOZSLJI,O,O,X,X,O,X,X,X
TOZSJIL,O,O,X,X,O,X,X,O
TOZSJLI,O,O,X,X,O,X,X,O
ITLJSZO,O,X,O,O,O,X,O,X
ITLJSOZ,O,X,O,O,O,X,O,X
ITLJZSO,O,X,X,X,X,X,O,X
ITLJZOS,X,X,X,O,O,X,O,X
ITLJOSZ,O,O,O,O,O,X,O,X
ITLJOZS,X,O,O,O,O,X,O,X
ITLSJZO,X,X,O,O,O,X,O,X
ITLSJOZ,X,X,O,O,O,X,O,X
ITLSZJO,X,X,O,O,O,X,O,X
ITLSZOJ,X,X,X,O,X,X,X,X
ITLSOJZ,X,X,O,O,O,X,X,X
ITLSOZJ,X,X,X,O,X,X,X,X
ITLZJSO,O,X,X,X,X,X,O,X
ITLZJOS,O,O,X,O,O,X,O,X
ITLZSJO,O,X,X,X,O,X,O,X
ITLZSOJ,O,O,X,X,X,X,X,X
ITLZOJS,O,O,X,O,X,X,O,X
ITLZOSJ,O,O,X,X,X,X,X,X
ITLOJSZ,O,O,X,O,O,X,O,X
ITLOJZS,O,O,X,O,O,X,O,X
ITLOSJZ,O,X,X,O,O,X,X,X
ITLOSZJ,O,X,X,X,X,X,X,X
ITLOZJS,O,O,X,O,X,X,O,X
ITLOZSJ,O,O,X,X,X,X,X,X
ITJLSZO,O,X,O,O,O,X,O,X
ITJLSOZ,O,X,O,O,O,X,O,X
ITJLZSO,O,X,X,X,X,X,O,X
ITJLZOS,X,X,X,O,O,X,O,X
ITJLOSZ,O,X,O,O,O,X,O,X
ITJLOZS,O,X,O,O,O,X,O,X
ITJSLZO,O,X,O,O,O,X,O,X
ITJSLOZ,O,X,O,O,O,X,O,X
ITJSZLO,O,X,O,X,O,X,X,X
ITJSZOL,X,X,O,X,O,X,X,X
ITJSOLZ,O,X,O,X,O,X,O,X
ITJSOZL,X,X,O,X,O,X,X,X
ITJZLSO,O,X,X,X,X,X,O,X
ITJZLOS,O,X,X,X,O,X,O,X
ITJZSLO,O,X,O,X,X,X,X,X
ITJZSOL,O,X,O,X,X,X,X,X
ITJZOLS,O,X,O,X,O,X,O,X
ITJZOSL,O,X,X,X,X,X,X,X
ITJOLSZ,O,X,O,X,O,X,O,X
ITJOLZS,O,O,O,X,O,X,O,X
ITJOSLZ,O,X,O,X,O,X,O,X
ITJOSZL,O,O,O,X,O,X,X,X
ITJOZLS,O,O,O,X,O,X,O,O
ITJOZSL,O,O,X,X,X,X,X,O
ITSLJZO,X,X,O,O,O,X,X,X
ITSLJOZ,X,X,O,O,O,X,X,X
ITSLZJO,X,X,O,O,O,X,X,X
ITSLZOJ,X,X,X,O,X,X,X,X
ITSLOJZ,X,X,O,O,O,X,X,X
ITSLOZJ,X,X,X,O,X,X,X,X
ITSJLZO,O,X,O,O,O,X,X,X
ITSJLOZ,O,X,O,O,O,X,X,X
ITSJZLO,O,X,O,X,O,X,X,X
ITSJZOL,X,X,O,X,O,X,X,X
ITSJOLZ,O,X,O,X,O,X,X,X
ITSJOZL,X,X,O,X,O,X,X,X
ITSZLJO,O,X,O,X,O,X,X,X
ITSZLOJ,O,X,X,X,X,X,X,X
ITSZJLO,O,X,O,X,O,X,X,X
ITSZJOL,O,X,O,X,O,X,X,X
ITSZOLJ,O,X,X,X,X,X,X,X
ITSZOJL,O,X,X,X,X,X,X,X
ITSOLJZ,O,X,O,X,O,X,X,X
ITSOLZJ,O,X,X,X,X,X,X,X
ITSOJLZ,O,X,O,X,O,X,X,X
ITSOJZL,O,X,O,X,O,X,X,X
ITSOZLJ,O,X,X,X,X,X,X,X
ITSOZJL,O,X,X,X,X,X,X,X
ITZLJSO,O,X,X,X,X,X,O,X
ITZLJOS,O,O,X,X,O,X,O,X
ITZLSJO,O,X,X,X,O,X,O,X
ITZLSOJ,O,O,X,X,X,X,X,X
ITZLOJS,O,O,X,X,X,X,O,X
ITZLOSJ,O,O,X,X,X,X,X,X
ITZJLSO,O,X,X,X,X,X,O,X
ITZJLOS,O,O,X,X,O,X,O,X
ITZJSLO,O,X,O,X,X,X,X,X
ITZJSOL,O,X,O,X,X,X,X,X
ITZJOLS,O,O,O,X,O,X,O,X
ITZJOSL,O,O,X,X,X,X,X,X
ITZSLJO,O,X,O,X,O,X,O,X
ITZSLOJ,O,O,X,X,X,X,X,X
ITZSJLO,O,X,O,X,O,X,X,X
ITZSJOL,O,X,O,X,O,X,X,X
ITZSOLJ,O,O,X,X,X,X,X,X
ITZSOJL,O,O,X,X,X,X,X,X
ITZOLJS,O,O,X,X,X,X,O,X
ITZOLSJ,O,O,X,X,X,X,X,X
ITZOJLS,O,O,X,X,X,X,X,X
ITZOJSL,O,O,X,X,X,X,X,X
ITZOSLJ,O,O,X,X,X,X,X,X
ITZOSJL,O,O,X,X,X,X,X,X
ITOLJSZ,O,O,X,X,O,X,X,X
ITOLJZS,O,O,X,X,O,X,X,X
ITOLSJZ,O,X,X,X,O,X,X,X
ITOLSZJ,O,X,X,X,X,X,X,X
ITOLZJS,O,O,X,X,X,X,X,X
ITOLZSJ,O,O,X,X,X,X,X,X
ITOJLSZ,O,X,O,X,O,X,X,X
ITOJLZS,O,O,O,X,O,X,X,X
ITOJSLZ,O,X,O,X,O,X,X,X
ITOJSZL,O,O,O,X,O,X,X,X
ITOJZLS,O,O,O,X,O,X,X,X
ITOJZSL,O,O,X,X,X,X,X,X
ITOSLJZ,O,X,O,X,O,X,X,X
ITOSLZJ,O,X,X,X,X,X,X,X
ITOSJLZ,O,X,O,X,O,X,X,X
ITOSJZL,O,X,O,X,O,X,X,X
ITOSZLJ,O,X,X,X,X,X,X,X
ITOSZJL,O,X,X,X,X,X,X,X
ITOZLJS,O,O,X,X,X,X,X,X
ITOZLSJ,O,O,X,X,X,X,X,X
ITOZJLS,O,O,X,X,X,X,X,X
ITOZJSL,O,O,X,X,X,X,X,X
ITOZSLJ,O,O,X,X,X,X,X,X
ITOZSJL,O,O,X,X,X,X,X,X
ILTJSZO,O,X,O,O,O,X,O,X
ILTJSOZ,O,X,O,O,O,X,O,X
ILTJZSO,O,X,X,X,X,X,O,X
ILTJZOS,X,X,X,O,O,X,O,X
ILTJOSZ,O,O,O,O,O,X,O,X
ILTJOZS,X,O,O,O,O,X,O,X
ILTSJZO,X,X,O,O,O,X,O,X
ILTSJOZ,X,X,O,O,O,X,O,X
ILTSZJO,X,X,O,O,O,X,O,X
ILTSZOJ,X,X,X,O,X,X,X,X
ILTSOJZ,X,X,O,O,O,X,X,X
ILTSOZJ,X,X,X,O,X,X,X,X
ILTZJSO,O,X,X,X,X,X,O,X
ILTZJOS,O,O,X,O,O,X,O,X
ILTZSJO,O,X,X,X,O,X,O,X
ILTZSOJ,O,O,X,X,X,X,X,X
ILTZOJS,O,O,X,O,X,X,O,X
ILTZOSJ,O,O,X,X,X,X,X,X
ILTOJSZ,O,O,X,O,O,X,O,X
ILTOJZS,O,O,X,O,O,X,O,X
ILTOSJZ,O,X,X,O,O,X,X,X
ILTOSZJ,O,X,X,O,X,X,X,X
ILTOZJS,O,O,X,O,X,X,O,X
ILTOZSJ,O,O,X,X,X,X,X,X
ILJTSZO,O,X,O,O,O,X,O,X
ILJTSOZ,O,X,O,O,O,X,O,X
ILJTZSO,O,X,X,X,X,X,O,X
ILJTZOS,X,X,X,O,O,X,O,X
ILJTOSZ,O,O,O,O,O,X,O,X
ILJTOZS,O,O,O,O,O,X,O,X
ILJSTZO,O,X,O,O,X,X,O,X
ILJSTOZ,O,X,O,O,X,X,O,X
ILJSZTO,O,X,O,O,X,X,O,X
ILJSZOT,X,X,X,X,X,O,O,X
ILJSOTZ,O,O,O,O,X,X,O,X
ILJSOZT,O,O,O,X,X,X,O,X
ILJZTSO,O,X,X,X,X,X,O,X
ILJZTOS,X,O,X,O,X,X,O,X
ILJZSTO,O,X,X,O,X,X,O,X
ILJZSOT,X,X,X,X,X,O,O,X
ILJZOTS,O,O,X,X,X,X,O,X
ILJZOST,O,O,X,X,X,X,O,X
ILJOTSZ,O,O,O,O,X,X,O,X
ILJOTZS,O,O,O,O,X,X,O,X
ILJOSTZ,O,O,O,O,X,X,O,X
ILJOSZT,O,O,X,X,X,X,O,X
ILJOZTS,O,O,O,X,X,X,O,O
ILJOZST,O,O,X,X,X,X,O,X
ILSTJZO,X,X,O,O,O,X,O,X
ILSTJOZ,X,X,O,O,O,X,O,X
ILSTZJO,X,X,O,O,O,X,O,X
ILSTZOJ,X,X,X,O,X,X,X,X
ILSTOJZ,X,X,O,O,O,X,X,X
ILSTOZJ,X,X,X,O,X,X,X,X
ILSJTZO,X,X,O,O,O,X,O,X
ILSJTOZ,X,X,O,O,O,X,O,X
ILSJZTO,X,X,O,O,X,X,O,X
ILSJZOT,X,X,X,X,X,X,O,X
ILSJOTZ,X,O,O,O,X,X,O,X
ILSJOZT,X,O,O,X,X,X,O,X
ILSZTJO,X,X,O,O,X,X,O,X
ILSZTOJ,X,O,X,O,X,X,X,X
ILSZJTO,X,X,O,O,X,X,O,X
ILSZJOT,X,X,X,X,X,X,O,X
ILSZOTJ,X,O,X,X,X,X,X,X
ILSZOJT,X,O,X,X,X,X,X,X
ILSOTJZ,X,X,O,O,X,X,X,X
ILSOTZJ,X,X,X,O,X,X,X,X
ILSOJTZ,X,O,O,O,X,X,X,X
ILSOJZT,X,O,X,X,X,X,X,X
ILSOZTJ,X,O,X,X,X,X,X,X
ILSOZJT,X,O,X,X,X,X,X,X
ILZTJSO,O,X,X,X,X,X,O,X
ILZTJOS,O,O,X,O,O,X,O,X
ILZTSJO,O,X,X,X,O,X,O,X
ILZTSOJ,O,O,X,X,X,X,X,X
ILZTOJS,O,O,X,O,X,X,O,X
ILZTOSJ,O,O,X,X,X,X,X,X
ILZJTSO,O,X,X,X,X,X,O,X
ILZJTOS,O,O,X,O,X,X,O,X
ILZJSTO,O,X,X,O,X,X,O,X
ILZJSOT,O,X,X,X,X,O,O,X
ILZJOTS,O,O,X,X,X,X,O,X
ILZJOST,O,O,X,X,X,X,O,X
ILZSTJO,O,X,X,O,X,X,O,X
ILZSTOJ,O,O,X,O,X,X,X,X
ILZSJTO,O,X,X,O,X,X,O,X
ILZSJOT,O,X,X,X,X,X,O,X
ILZSOTJ,O,O,X,X,X,X,X,X
ILZSOJT,O,O,X,X,X,X,X,X
ILZOTJS,O,O,X,X,X,X,O,X
ILZOTSJ,O,O,X,X,X,X,X,X
ILZOJTS,O,O,X,X,X,X,O,X
ILZOJST,O,O,X,X,X,O,O,X
ILZOSTJ,O,O,X,X,X,X,X,X
ILZOSJT,O,O,X,X,X,X,X,X
ILOTJSZ,O,O,X,O,O,X,O,X
ILOTJZS,O,O,X,O,O,X,O,X
ILOTSJZ,O,X,X,O,O,X,X,X
ILOTSZJ,O,X,X,X,X,X,X,X
ILOTZJS,O,O,X,O,X,X,O,X
ILOTZSJ,O,O,X,X,X,X,X,X
ILOJTSZ,O,O,X,O,X,X,O,X
ILOJTZS,O,O,X,O,X,X,O,X
ILOJSTZ,O,O,X,O,X,O,O,X
ILOJSZT,O,O,X,X,X,O,O,X
ILOJZTS,O,O,X,X,X,X,O,X
ILOJZST,O,O,X,X,X,O,O,X
ILOSTJZ,O,X,X,O,X,X,X,X
ILOSTZJ,O,X,X,O,X,X,X,X
ILOSJTZ,X,O,X,O,X,O,X,X
ILOSJZT,X,O,X,X,X,O,X,X
ILOSZTJ,X,O,X,X,X,X,X,X
ILOSZJT,X,O,X,X,X,X,X,X
ILOZTJS,O,O,X,X,X,X,O,X
ILOZTSJ,O,O,X,X,X,X,X,X
ILOZJTS,O,O,X,X,X,X,O,X
ILOZJST,O,O,X,X,X,O,O,X
ILOZSTJ,O,O,X,X,X,X,X,X
ILOZSJT,O,O,X,X,X,X,X,X
IJTLSZO,O,X,O,O,O,X,O,X
IJTLSOZ,O,X,O,O,O,X,O,X
IJTLZSO,O,X,X,X,X,X,O,X
IJTLZOS,X,X,X,O,O,X,O,X
IJTLOSZ,O,X,O,O,O,X,O,X
IJTLOZS,O,X,O,O,O,X,O,X
IJTSLZO,O,X,O,O,O,X,O,X
IJTSLOZ,O,X,O,O,O,X,O,X
IJTSZLO,O,X,O,X,O,X,X,X
IJTSZOL,X,X,O,X,O,X,X,X
IJTSOLZ,O,X,O,X,O,X,O,X
IJTSOZL,X,X,O,X,O,X,X,X
IJTZLSO,O,X,X,X,X,X,O,X
IJTZLOS,O,X,X,X,O,X,O,X
IJTZSLO,O,X,O,X,X,X,X,X
IJTZSOL,O,X,O,X,X,X,X,X
IJTZOLS,O,X,O,X,O,X,O,X
IJTZOSL,O,X,X,X,X,X,X,X
IJTOLSZ,O,X,O,X,O,X,O,X
IJTOLZS,O,O,O,X,O,X,O,X
IJTOSLZ,O,X,O,X,O,X,O,X
IJTOSZL,O,O,O,X,X,X,X,X
IJTOZLS,O,O,O,X,O,X,O,O
IJTOZSL,O,O,X,X,X,X,X,O
IJLTSZO,O,X,O,O,O,X,O,X
IJLTSOZ,O,X,O,O,O,X,O,X
IJLTZSO,O,X,X,X,X,X,O,X
IJLTZOS,X,X,X,O,O,X,O,X
IJLTOSZ,O,O,O,O,O,X,O,X
IJLTOZS,O,O,O,O,O,X,O,X
IJLSTZO,O,X,O,O,X,X,O,X
IJLSTOZ,O,X,O,O,X,X,O,X
IJLSZTO,O,X,O,O,X,X,O,X
IJLSZOT,X,X,X,X,X,O,O,X
IJLSOTZ,O,O,O,O,X,X,O,X
IJLSOZT,O,O,O,X,X,X,O,X
IJLZTSO,O,X,X,X,X,X,O,X
IJLZTOS,X,O,X,O,X,X,O,X
IJLZSTO,O,X,X,O,X,X,O,X
IJLZSOT,X,X,X,X,X,O,O,X
IJLZOTS,O,O,X,X,X,X,O,X
IJLZOST,O,O,X,X,X,X,O,X
IJLOTSZ,O,O,O,O,X,X,O,X
IJLOTZS,O,O,O,O,X,X,O,X
IJLOSTZ,O,O,O,O,X,X,O,X
IJLOSZT,O,O,X,X,X,X,O,X
IJLOZTS,O,O,O,X,X,X,O,O
IJLOZST,O,O,X,X,X,X,O,X
IJSTLZO,O,X,O,O,O,X,O,X
IJSTLOZ,O,X,O,O,O,X,O,X
IJSTZLO,O,X,O,X,O,X,X,X
IJSTZOL,X,X,O,X,O,X,X,X
IJSTOLZ,O,X,O,X,O,X,O,X
IJSTOZL,X,X,O,X,O,X,X,X
IJSLTZO,O,X,O,O,O,X,O,X
IJSLTOZ,O,X,O,O,O,X,O,X
IJSLZTO,O,X,O,O,X,X,O,X
IJSLZOT,X,X,X,X,X,O,O,X
IJSLOTZ,O,X,O,O,X,X,O,X
IJSLOZT,O,X,O,X,X,X,O,X
IJSZTLO,O,X,O,X,O,X,X,X
IJSZTOL,X,X,O,X,O,X,X,X
IJSZLTO,X,X,O,O,X,X,O,X
IJSZLOT,X,X,X,X,X,O,O,X
IJSZOTL,X,X,O,X,X,X,X,X
IJSZOLT,X,X,O,X,X,O,O,X
IJSOTLZ,O,X,O,X,O,X,O,X
IJSOTZL,O,O,O,X,O,X,X,X
IJSOLTZ,O,X,O,O,X,O,O,X
IJSOLZT,O,X,O,X,X,O,O,X
IJSOZTL,O,O,O,X,X,X,X,O
IJSOZLT,X,X,O,X,X,O,O,X
IJZTLSO,O,X,X,X,X,X,O,X
IJZTLOS,O,O,X,X,X,X,O,X
IJZTSLO,O,X,O,X,X,X,X,X
IJZTSOL,O,X,O,X,X,X,X,X
IJZTOLS,O,O,O,X,X,X,O,O
IJZTOSL,O,O,X,X,X,X,X,O
IJZLTSO,O,X,X,X,X,X,O,X
IJZLTOS,O,O,X,O,X,X,O,X
IJZLSTO,O,X,X,O,X,X,O,X
IJZLSOT,O,X,X,X,X,O,O,X
IJZLOTS,O,O,X,X,X,X,O,X
IJZLOST,O,O,X,X,X,X,O,X
IJZSTLO,O,X,O,X,X,X,X,X
IJZSTOL,O,X,O,X,X,X,X,X
IJZSLTO,O,X,O,O,X,X,O,X
IJZSLOT,O,X,X,X,X,O,O,X
IJZSOTL,O,X,O,X,X,X,X,X
IJZSOLT,O,X,O,X,X,O,O,X
IJZOTLS,O,O,O,X,X,X,O,O
IJZOTSL,O,O,X,X,X,X,X,O
IJZOLTS,O,O,O,X,X,X,O,O
IJZOLST,O,O,X,X,X,O,O,X
IJZOSTL,O,O,X,X,X,X,X,O
IJZOSLT,O,X,X,X,X,O,O,X
IJOTLSZ,O,O,O,X,X,X,O,X
IJOTLZS,O,O,O,X,X,X,O,X
IJOTSLZ,O,X,O,X,X,X,O,X
IJOTSZL,O,O,O,X,X,X,X,X
IJOTZLS,O,O,O,X,X,X,O,O
IJOTZSL,O,O,X,X,X,X,X,O
IJOLTSZ,O,O,O,O,X,X,O,X
IJOLTZS,O,O,O,O,X,X,O,X
IJOLSTZ,O,O,O,O,X,O,O,X
IJOLSZT,O,O,O,X,X,O,O,X
IJOLZTS,O,O,O,X,X,X,O,O
IJOLZST,O,O,X,X,X,O,O,X
IJOSTLZ,O,X,O,X,X,X,O,X
IJOSTZL,O,O,O,X,X,X,X,X
IJOSLTZ,O,X,O,O,X,O,O,X
IJOSLZT,O,X,O,X,X,O,O,X
IJOSZTL,O,O,O,X,X,X,X,O
IJOSZLT,X,X,O,X,X,O,O,X
IJOZTLS,O,O,O,X,X,X,O,O
IJOZTSL,O,O,X,X,X,X,X,O
IJOZLTS,O,O,O,X,X,X,O,O
IJOZLST,O,O,X,X,X,O,O,X
IJOZSTL,O,O,X,X,X,X,X,O
IJOZSLT,O,X,X,X,X,O,O,X
ISTLJZO,X,X,O,O,O,X,X,X
ISTLJOZ,X,X,O,O,O,X,X,X
ISTLZJO,X,X,O,O,O,X,X,X
ISTLZOJ,X,X,X,O,X,X,X,X
ISTLOJZ,X,X,O,O,O,X,X,X
ISTLOZJ,X,X,X,O,X,X,X,X
ISTJLZO,O,X,O,O,O,X,X,X
ISTJLOZ,O,X,O,O,O,X,X,X
ISTJZLO,O,X,O,X,O,X,X,X
ISTJZOL,X,X,O,X,O,X,X,X
ISTJOLZ,O,X,O,X,O,X,X,X
ISTJOZL,X,X,O,X,O,X,X,X
ISTZLJO,O,X,O,X,O,X,X,X
ISTZLOJ,O,X,X,X,X,X,X,X
ISTZJLO,O,X,O,X,O,X,X,X
ISTZJOL,O,X,O,X,O,X,X,X
ISTZOLJ,O,X,X,X,X,X,X,X
ISTZOJL,O,X,X,X,X,X,X,X
ISTOLJZ,O,X,O,X,O,X,X,X
ISTOLZJ,O,X,X,X,X,X,X,X
ISTOJLZ,O,X,O,X,O,X,X,X
ISTOJZL,O,X,O,X,O,X,X,X
ISTOZLJ,O,X,X,X,X,X,X,X
ISTOZJL,O,X,X,X,X,X,X,X
ISLTJZO,X,X,O,O,O,X,O,X
ISLTJOZ,X,X,O,O,O,X,O,X
ISLTZJO,X,X,O,O,O,X,O,X
