sequence,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhFThB/nBGjBClB0q?BlrB,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhFlhBGjBClB/rBTn?B0qB,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhF/nBGjBzkBCmB0m?BVwB,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhF8lBqmB/nBGjBzk?BVwB
TSOLIJZ,O,O,O,O
TSOLIZJ,O,O,O,O
TSOLJIZ,O,O,O,O
TSOLJZI,O,O,O,O
TSOLZIJ,O,O,O,O
TSOLZJI,O,O,O,O
TSOJILZ,O,O,O,O
TSOJIZL,O,O,O,X
TSOJLIZ,O,O,O,O
TSOJLZI,O,O,O,O
TSOJZIL,O,O,O,X
TSOJZLI,O,O,O,O
TSOZILJ,O,X,O,O
TSOZIJL,O,O,O,X
TSOZLIJ,O,O,O,O
TSOZLJI,O,O,O,O
TSOZJIL,O,O,O,X
TSOZJLI,O,O,O,O
TZILJSO,O,O,X,O
TZILJOS,O,O,X,X
TZILSJO,O,O,X,O
TZILSOJ,O,O,X,O
TZILOJS,O,O,X,O
TZILOSJ,O,O,X,O
TZIJLSO,O,O,X,O
TZIJLOS,O,O,X,X
TZIJSLO,O,O,X,X
TZIJSOL,O,O,X,X
TZIJOLS,X,O,X,X
TZIJOSL,O,O,X,X
TZISLJO,O,O,X,O
TZISLOJ,O,X,X,O
TZISJLO,O,O,X,X
TZISJOL,O,O,X,X
TZISOLJ,O,O,X,X
TZISOJL,O,O,X,X
TZIOLJS,O,O,X,O
TZIOLSJ,O,O,X,O
TZIOJLS,X,O,X,O
TZIOJSL,O,O,X,X
TZIOSLJ,O,O,X,O
TZIOSJL,O,O,X,X
TZLIJSO,O,O,X,O
TZLIJOS,O,O,X,X
TZLISJO,O,O,X,O
TZLISOJ,O,O,X,O
TZLIOJS,O,O,X,O
TZLIOSJ,O,O,X,O
TZLJISO,O,O,X,O
TZLJIOS,O,O,X,X
TZLJSIO,O,O,X,O
TZLJSOI,O,O,O,O
TZLJOIS,O,O,O,O
TZLJOSI,O,O,O,O
TZLSIJO,O,O,X,O
TZLSIOJ,O,O,X,O
TZLSJIO,O,O,X,O
TZLSJOI,O,O,O,O
TZLSOIJ,O,O,O,O
TZLSOJI,O,O,O,O
TZLOIJS,O,O,O,O
TZLOISJ,O,O,O,O
TZLOJIS,O,O,O,O
TZLOJSI,O,O,O,O
TZLOSIJ,O,O,O,O
TZLOSJI,O,O,O,O
TZJILSO,O,O,X,O
TZJILOS,O,O,X,X
TZJISLO,O,O,X,X
TZJISOL,O,O,X,X
TZJIOLS,X,O,X,X
TZJIOSL,O,O,X,X
TZJLISO,O,O,X,O
TZJLIOS,O,O,X,X
TZJLSIO,O,O,X,O
TZJLSOI,O,O,O,O
TZJLOIS,O,O,O,O
TZJLOSI,O,O,O,O
TZJSILO,O,O,X,X
TZJSIOL,O,O,X,X
TZJSLIO,O,O,X,O
TZJSLOI,O,O,O,O
TZJSOIL,O,O,O,X
TZJSOLI,O,O,O,O
TZJOILS,X,O,O,O
TZJOISL,O,O,O,X
TZJOLIS,O,O,O,O
TZJOLSI,O,O,O,O
TZJOSIL,O,O,O,X
TZJOSLI,O,O,O,O
TZSILJO,O,O,X,O
TZSILOJ,O,O,X,O
TZSIJLO,O,O,X,X
TZSIJOL,O,O,X,X
TZSIOLJ,O,O,X,X
TZSIOJL,O,O,X,X
TZSLIJO,O,O,X,O
TZSLIOJ,O,O,X,O
TZSLJIO,O,O,X,O
TZSLJOI,O,O,O,O
TZSLOIJ,O,O,O,O
TZSLOJI,O,O,O,O
TZSJILO,O,O,X,X
TZSJIOL,O,O,X,X
TZSJLIO,O,O,X,O
TZSJLOI,O,O,O,O
TZSJOIL,O,O,O,X
TZSJOLI,O,O,O,O
TZSOILJ,O,O,O,O
TZSOIJL,O,O,O,X
TZSOLIJ,O,O,O,O
TZSOLJI,O,O,O,O
TZSOJIL,O,O,O,X
TZSOJLI,O,O,O,O
TZOILJS,O,O,O,O
TZOILSJ,O,O,O,O
TZOIJLS,X,O,O,O
TZOIJSL,O,O,O,X
TZOISLJ,O,O,O,O
TZOISJL,O,O,O,X
TZOLIJS,O,O,O,O
TZOLISJ,O,O,O,O
TZOLJIS,O,O,O,O
TZOLJSI,O,O,O,O
TZOLSIJ,O,O,O,O
TZOLSJI,O,O,O,O
TZOJILS,X,O,O,O
TZOJISL,O,O,O,X
TZOJLIS,O,O,O,O
TZOJLSI,O,O,O,O
TZOJSIL,O,O,O,X
TZOJSLI,O,O,O,O
TZOSILJ,O,O,O,O
TZOSIJL,O,O,O,X
TZOSLIJ,O,O,O,O
TZOSLJI,O,O,O,O
TZOSJIL,O,O,O,X
TZOSJLI,O,O,O,O
TOILJSZ,O,O,O,X
TOILJZS,X,O,O,X
TOILSJZ,O,O,O,O
TOILSZJ,O,O,O,O
TOILZJS,X,O,O,O
TOILZSJ,O,O,O,O
TOIJLSZ,X,O,O,X
TOIJLZS,X,O,O,X
TOIJSLZ,O,O,O,O
TOIJSZL,O,O,O,X
TOIJZLS,X,O,O,X
TOIJZSL,X,O,O,X
TOISLJZ,O,O,O,O
TOISLZJ,O,O,O,O
TOISJLZ,O,O,O,O
TOISJZL,O,O,O,X
TOISZLJ,X,X,O,X
TOISZJL,O,O,O,X
TOIZLJS,X,O,O,O
TOIZLSJ,X,O,O,O
TOIZJLS,X,O,O,O
TOIZJSL,X,O,O,X
TOIZSLJ,X,O,O,O
TOIZSJL,O,O,O,X
TOLIJSZ,O,O,O,X
TOLIJZS,X,O,O,X
TOLISJZ,O,O,O,O
TOLISZJ,O,O,O,O
TOLIZJS,X,O,O,O
TOLIZSJ,O,O,O,O
TOLJISZ,O,O,O,X
TOLJIZS,X,O,O,X
TOLJSIZ,O,O,O,O
TOLJSZI,O,O,O,O
TOLJZIS,X,O,O,O
TOLJZSI,X,O,O,O
TOLSIJZ,O,O,O,O
TOLSIZJ,O,O,O,O
TOLSJIZ,O,O,O,O
TOLSJZI,O,O,O,O
TOLSZIJ,O,O,O,O
TOLSZJI,O,O,O,O
TOLZIJS,X,O,O,O
TOLZISJ,O,O,O,O
TOLZJIS,X,O,O,O
TOLZJSI,X,O,O,O
TOLZSIJ,O,O,O,O
TOLZSJI,O,O,O,O
TOJILSZ,X,O,O,X
TOJILZS,X,O,O,X
TOJISLZ,O,O,O,O
TOJISZL,O,O,O,X
TOJIZLS,X,O,O,X
TOJIZSL,X,O,O,X
TOJLISZ,O,O,O,X
TOJLIZS,X,O,O,X
TOJLSIZ,O,O,O,O
