sequence,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhF0gBxhBeqBFnBCr?B3sB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFOlBxhBUmBFnBSv?B3sB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFmhBqnBxlBlqBUs?BXqB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFlgBeqB8qBRsBfs?B6sB,v115@FhB8HeD8GeB8CeB8BeB8Jei/IvhFRhBcnBGlBTmBVv?B3sB,v115@FhB8HeD8GeB8CeB8BeB8Jei/IvhFRhBcnBGmBlqB3s?BzpB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhF2lBlhBcnBxqB3s?BSvB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFylBGiBlqBRsBUs?BXqB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFGiByqBRsBXqBUs?BlqB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFmgBSnBlqBRsBXq?BUsB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhF/lBRhBqnB2rBVv?BUsB
TSJOIZL,O,O,X,X,X,X,X,X,X,X,X
TSJOLIZ,O,X,X,X,X,X,X,X,X,X,X
TSJOLZI,O,X,X,X,X,O,X,X,X,X,X
TSJOZIL,O,O,X,X,X,O,X,X,X,X,X
TSJOZLI,O,O,X,X,X,O,X,X,X,X,X
TSZILJO,O,O,O,X,X,O,O,X,X,X,X
TSZILOJ,O,O,O,X,O,O,O,X,X,X,X
TSZIJLO,O,O,X,X,X,O,O,X,X,X,X
TSZIJOL,O,O,X,X,X,O,O,X,X,X,X
TSZIOLJ,O,O,O,X,X,O,O,X,X,X,X
TSZIOJL,O,O,X,X,X,O,O,X,X,X,X
TSZLIJO,O,O,O,X,X,O,O,X,X,X,X
TSZLIOJ,O,O,O,X,O,O,O,X,X,X,X
TSZLJIO,O,O,O,X,X,O,X,X,X,X,X
TSZLJOI,O,O,O,X,X,O,X,X,X,X,X
TSZLOIJ,O,O,O,X,O,O,O,X,X,X,X
TSZLOJI,O,O,O,X,X,O,X,X,X,X,X
TSZJILO,O,O,X,X,X,O,O,X,X,X,X
TSZJIOL,O,O,X,X,X,O,O,X,X,X,X
TSZJLIO,O,O,X,X,X,O,X,X,X,X,X
TSZJLOI,O,O,X,X,X,O,X,X,X,X,X
TSZJOIL,O,O,X,X,X,O,O,X,X,X,X
TSZJOLI,O,O,X,X,X,O,X,X,X,X,X
TSZOILJ,O,O,O,X,O,O,O,X,X,X,X
TSZOIJL,O,O,X,X,O,O,O,X,X,X,X
TSZOLIJ,O,O,O,X,O,O,O,X,X,X,X
TSZOLJI,O,O,O,X,O,O,X,X,X,X,X
TSZOJIL,O,O,X,X,O,O,O,X,X,X,X
TSZOJLI,O,O,X,X,O,O,X,X,X,X,X
TSOILJZ,O,X,X,X,O,X,X,X,X,X,X
TSOILZJ,O,O,X,X,O,X,X,O,X,X,X
TSOIJLZ,O,X,X,X,O,X,X,X,X,X,X
TSOIJZL,O,O,X,X,O,X,O,X,X,X,X
TSOIZLJ,O,O,O,X,O,X,O,O,X,X,X
TSOIZJL,O,O,X,X,O,X,O,O,X,X,X
TSOLIJZ,O,X,X,X,O,X,X,X,X,X,X
TSOLIZJ,O,O,X,X,O,X,X,O,X,X,X
TSOLJIZ,O,X,X,X,O,X,X,X,X,X,X
TSOLJZI,O,X,X,X,O,O,X,X,X,X,X
TSOLZIJ,O,O,X,X,O,O,X,X,X,X,X
TSOLZJI,O,O,X,X,O,O,X,X,X,X,X
TSOJILZ,O,X,X,X,O,X,X,X,X,X,X
TSOJIZL,O,O,X,X,O,X,X,X,X,X,X
TSOJLIZ,O,X,X,X,O,X,X,X,X,X,X
TSOJLZI,O,X,X,X,O,O,X,X,X,X,X
TSOJZIL,O,O,X,X,O,O,X,X,X,X,X
TSOJZLI,O,O,X,X,O,O,X,X,X,X,X
TSOZILJ,O,O,O,X,O,O,O,X,X,X,X
TSOZIJL,O,O,X,X,O,O,O,X,X,X,X
TSOZLIJ,O,O,O,X,O,O,O,X,X,X,X
TSOZLJI,O,O,O,X,O,O,X,X,X,X,X
TSOZJIL,O,O,X,X,O,O,O,X,X,X,X
TSOZJLI,O,O,X,X,O,O,X,X,X,X,X
TZILJSO,X,X,O,X,X,X,X,O,X,O,X
TZILJOS,X,O,O,X,X,X,X,O,X,X,X
TZILSJO,X,X,O,X,X,X,X,O,X,O,X
TZILSOJ,X,X,O,X,X,X,X,O,X,O,X
TZILOJS,X,O,O,X,X,X,X,O,X,X,X
TZILOSJ,X,X,O,X,X,X,X,O,X,X,X
TZIJLSO,X,X,O,O,X,X,X,O,X,O,X
TZIJLOS,X,O,O,O,X,X,X,O,X,X,X
TZIJSLO,X,X,X,O,X,X,X,O,X,O,X
TZIJSOL,X,O,X,O,X,X,X,O,X,O,X
TZIJOLS,X,O,O,O,X,X,X,O,X,X,X
TZIJOSL,X,O,X,O,X,X,X,O,X,X,X
TZISLJO,X,X,O,X,X,X,X,O,X,O,X
TZISLOJ,X,X,O,X,X,X,X,O,X,O,X
TZISJLO,X,X,X,X,X,X,X,O,X,O,X
TZISJOL,X,O,X,X,X,X,X,O,X,O,X
TZISOLJ,X,X,O,X,X,X,X,O,X,O,X
TZISOJL,X,O,X,X,X,X,X,O,X,O,X
TZIOLJS,X,O,O,X,X,X,X,O,X,X,X
TZIOLSJ,X,X,O,X,X,X,X,O,X,X,X
TZIOJLS,X,O,O,O,X,X,X,O,X,X,X
TZIOJSL,X,O,X,O,X,X,X,O,X,X,X
TZIOSLJ,X,X,O,X,X,X,X,O,X,X,X
TZIOSJL,X,O,X,X,X,X,X,O,X,X,X
TZLIJSO,X,X,O,X,X,X,X,O,X,X,X
TZLIJOS,X,O,O,X,X,X,X,O,X,X,X
TZLISJO,X,X,O,X,X,X,X,O,X,X,X
TZLISOJ,X,X,O,X,X,X,X,O,X,X,X
TZLIOJS,X,O,O,X,X,X,X,O,X,X,X
TZLIOSJ,X,X,O,X,X,X,X,O,X,X,X
TZLJISO,X,X,O,X,X,X,X,X,X,X,X
TZLJIOS,X,O,O,X,X,X,X,X,X,X,X
TZLJSIO,X,X,O,X,X,O,X,X,X,X,X
TZLJSOI,X,X,O,X,X,O,X,X,X,X,X
TZLJOIS,X,O,O,X,X,X,X,X,X,X,X
TZLJOSI,X,O,O,X,X,X,X,X,X,X,X
TZLSIJO,X,X,O,X,X,O,X,X,X,X,X
TZLSIOJ,X,X,O,X,X,O,X,X,X,X,X
TZLSJIO,X,X,O,X,X,O,X,X,X,X,X
TZLSJOI,X,X,O,X,X,O,X,X,X,X,X
TZLSOIJ,X,X,O,X,X,O,X,X,X,X,X
TZLSOJI,X,X,O,X,X,O,X,X,X,X,X
TZLOIJS,X,O,O,X,X,X,X,O,X,X,X
TZLOISJ,X,X,O,X,X,X,X,O,X,X,X
TZLOJIS,X,O,O,X,X,X,X,X,X,X,X
TZLOJSI,X,O,O,X,X,X,X,X,X,X,X
TZLOSIJ,X,X,O,X,X,X,X,X,X,X,X
TZLOSJI,X,X,O,X,X,X,X,X,X,X,X
TZJILSO,X,X,O,O,X,X,X,X,X,O,X
TZJILOS,X,O,O,O,X,X,X,X,X,X,X
TZJISLO,X,X,X,O,X,X,X,X,X,O,X
TZJISOL,X,O,X,O,X,X,X,X,X,O,X
TZJIOLS,X,O,O,O,X,X,X,X,X,X,X
TZJIOSL,X,O,X,O,X,X,X,X,X,X,X
TZJLISO,X,X,O,O,X,X,X,X,X,X,X
TZJLIOS,X,O,O,O,X,X,X,X,X,X,X
TZJLSIO,X,X,O,X,X,O,X,X,X,X,X
TZJLSOI,X,X,O,X,X,O,X,X,X,X,X
TZJLOIS,X,O,O,O,X,X,X,X,X,X,X
TZJLOSI,X,O,O,X,X,X,X,X,X,X,X
TZJSILO,X,O,X,O,X,O,X,X,X,X,X
TZJSIOL,X,O,X,O,X,O,X,X,X,X,X
TZJSLIO,X,O,X,X,X,O,X,X,X,X,X
TZJSLOI,X,O,X,X,X,O,X,X,X,X,X
TZJSOIL,X,O,X,O,X,O,X,X,X,X,X
TZJSOLI,X,O,X,X,X,O,X,X,X,X,X
TZJOILS,X,O,O,O,X,X,X,X,X,X,X
TZJOISL,X,O,X,O,X,X,X,X,X,X,X
TZJOLIS,X,O,O,O,X,X,X,X,X,X,X
TZJOLSI,X,O,O,X,X,X,X,X,X,X,X
TZJOSIL,X,O,X,O,X,X,X,X,X,X,X
TZJOSLI,X,O,X,X,X,X,X,X,X,X,X
TZSILJO,X,O,O,X,X,O,X,X,X,X,X
TZSILOJ,X,O,O,X,X,O,X,X,X,X,X
TZSIJLO,X,O,X,X,X,O,X,X,X,X,X
TZSIJOL,X,O,X,X,X,O,X,X,X,X,X
TZSIOLJ,X,O,O,X,X,O,X,X,X,X,X
TZSIOJL,X,O,X,X,X,O,X,X,X,X,X
TZSLIJO,X,O,O,X,X,O,X,X,X,X,X
TZSLIOJ,X,O,O,X,X,O,X,X,X,X,X
TZSLJIO,X,O,O,X,X,O,X,X,X,X,X
TZSLJOI,X,O,O,X,X,O,X,X,X,X,X
TZSLOIJ,X,O,O,X,X,O,X,X,X,X,X
TZSLOJI,X,O,O,X,X,O,X,X,X,X,X
TZSJILO,X,O,X,X,X,O,X,X,X,X,X
TZSJIOL,X,O,X,X,X,O,X,X,X,X,X
TZSJLIO,X,O,X,X,X,O,X,X,X,X,X
TZSJLOI,X,O,X,X,X,O,X,X,X,X,X
TZSJOIL,X,O,X,X,X,O,X,X,X,X,X
TZSJOLI,X,O,X,X,X,O,X,X,X,X,X
TZSOILJ,X,O,O,X,X,O,X,X,X,X,X
TZSOIJL,X,O,X,X,X,O,X,X,X,X,X
TZSOLIJ,X,O,O,X,X,O,X,X,X,X,X
TZSOLJI,X,O,O,X,X,O,X,X,X,X,X
TZSOJIL,X,O,X,X,X,O,X,X,X,X,X
TZSOJLI,X,O,X,X,X,O,X,X,X,X,X
TZOILJS,X,O,O,X,X,X,X,O,X,X,X
TZOILSJ,X,X,O,X,X,X,X,O,X,X,X
TZOIJLS,X,O,O,O,X,X,X,O,X,X,X
TZOIJSL,X,O,X,O,X,X,X,O,X,X,X
TZOISLJ,X,X,O,X,X,X,X,O,X,X,X
TZOISJL,X,O,X,X,X,X,X,O,X,X,X
TZOLIJS,X,O,O,X,X,X,X,O,X,X,X
TZOLISJ,X,X,O,X,X,X,X,O,X,X,X
TZOLJIS,X,O,O,X,X,X,X,X,X,X,X
TZOLJSI,X,O,O,X,X,X,X,X,X,X,X
TZOLSIJ,X,X,O,X,X,X,X,X,X,X,X
TZOLSJI,X,X,O,X,X,X,X,X,X,X,X
TZOJILS,X,O,O,O,X,X,X,X,X,X,X
TZOJISL,X,O,X,O,X,X,X,X,X,X,X
TZOJLIS,X,O,O,O,X,X,X,X,X,X,X
TZOJLSI,X,O,O,X,X,X,X,X,X,X,X
TZOJSIL,X,O,X,O,X,X,X,X,X,X,X
TZOJSLI,X,O,X,X,X,X,X,X,X,X,X
TZOSILJ,X,O,O,X,X,X,X,X,X,X,X
TZOSIJL,X,O,X,X,X,X,X,X,X,X,X
TZOSLIJ,X,O,O,X,X,X,X,X,X,X,X
TZOSLJI,X,O,O,X,X,X,X,X,X,X,X
TZOSJIL,X,O,X,X,X,X,X,X,X,X,X
TZOSJLI,X,O,X,X,X,X,X,X,X,X,X
TOILJSZ,X,X,X,X,O,X,X,X,X,O,X
TOILJZS,X,X,X,X,X,X,X,O,X,X,X
TOILSJZ,X,X,X,X,O,X,X,X,X,O,X
TOILSZJ,X,X,X,X,O,X,X,O,O,O,X
TOILZJS,X,X,O,X,X,X,X,O,O,X,X
TOILZSJ,X,X,O,X,X,X,X,O,O,X,X
TOIJLSZ,X,X,X,X,O,X,X,X,X,O,X
TOIJLZS,X,X,X,X,X,X,X,O,X,X,X
TOIJSLZ,X,X,X,X,O,X,X,X,X,O,X
TOIJSZL,X,X,X,X,O,X,O,X,X,O,X
TOIJZLS,X,X,O,O,X,X,X,O,X,X,X
TOIJZSL,X,X,X,O,X,X,X,O,X,X,X
TOISLJZ,X,X,X,X,O,X,X,X,X,O,X
TOISLZJ,X,X,X,X,O,X,X,O,X,O,X
TOISJLZ,X,X,X,X,O,X,X,X,X,O,X
TOISJZL,X,X,X,X,O,X,O,X,X,O,X
TOISZLJ,X,X,O,X,O,X,O,O,X,O,X
TOISZJL,X,X,X,X,O,X,O,O,X,O,X
TOIZLJS,X,X,O,X,X,X,X,O,X,X,X
TOIZLSJ,X,X,O,X,X,X,X,O,X,X,X
TOIZJLS,X,X,O,O,X,X,X,O,X,X,X
TOIZJSL,X,X,X,O,X,X,X,O,X,X,X
TOIZSLJ,X,X,O,X,X,X,X,O,X,X,X
TOIZSJL,X,X,X,X,X,X,X,O,X,X,X
TOLIJSZ,O,X,X,X,O,X,X,X,X,X,X
TOLIJZS,O,X,X,X,X,X,X,O,X,X,X
TOLISJZ,O,X,X,X,O,X,X,X,X,X,X
TOLISZJ,X,X,X,X,O,X,X,O,O,X,X
TOLIZJS,O,X,O,X,X,X,X,O,O,X,X
TOLIZSJ,X,X,O,X,X,X,X,O,O,X,X
TOLJISZ,O,X,X,X,O,X,X,X,X,X,O
TOLJIZS,O,X,X,X,X,X,X,O,X,X,X
TOLJSIZ,O,X,X,X,O,X,X,X,X,X,O
TOLJSZI,O,X,X,X,O,O,X,X,X,X,O
TOLJZIS,O,X,X,X,X,X,X,X,X,X,X
TOLJZSI,O,X,X,X,O,X,X,X,X,X,O
TOLSIJZ,O,X,X,X,O,X,X,X,X,X,X
TOLSIZJ,O,X,X,X,O,X,X,O,X,X,X
TOLSJIZ,O,X,X,X,O,X,X,X,X,X,X
TOLSJZI,O,X,X,X,O,O,X,X,X,X,X
TOLSZIJ,O,X,X,X,O,O,X,X,X,X,X
TOLSZJI,O,X,X,X,O,O,X,X,X,X,X
TOLZIJS,O,X,O,X,X,X,X,O,X,X,X
TOLZISJ,X,X,O,X,X,X,X,O,X,X,X
TOLZJIS,O,X,O,X,X,X,X,X,X,X,X
TOLZJSI,O,X,O,X,O,X,X,X,X,X,X
TOLZSIJ,X,X,O,X,O,X,X,X,X,X,X
TOLZSJI,X,X,O,X,O,X,X,X,X,X,X
TOJILSZ,X,X,X,X,O,X,X,X,X,O,O
TOJILZS,X,X,X,X,X,X,X,O,X,X,X
TOJISLZ,X,X,X,X,O,X,X,X,X,O,O
TOJISZL,X,X,X,X,O,X,X,X,X,O,X
TOJIZLS,X,X,O,O,X,X,X,O,X,X,X
TOJIZSL,X,X,X,O,X,X,X,O,X,X,X
TOJLISZ,O,X,X,X,O,X,X,X,X,X,O
TOJLIZS,O,X,X,X,X,X,X,O,X,X,X
TOJLSIZ,O,X,X,X,O,X,X,X,X,X,O
TOJLSZI,O,X,X,X,O,O,X,X,X,X,O
TOJLZIS,O,X,X,X,X,X,X,X,X,X,X
TOJLZSI,O,X,X,X,O,X,X,X,X,X,O
TOJSILZ,O,X,X,X,O,X,X,X,X,X,O
TOJSIZL,O,X,X,X,O,X,X,X,X,X,X
TOJSLIZ,O,X,X,X,O,X,X,X,X,X,O
TOJSLZI,O,X,X,X,O,O,X,X,X,X,O
TOJSZIL,O,X,X,X,O,O,X,X,X,X,X
TOJSZLI,O,X,X,X,O,O,X,X,X,X,O
TOJZILS,O,X,O,O,X,X,X,X,X,X,X
TOJZISL,O,X,X,O,X,X,X,X,X,X,X
TOJZLIS,O,X,O,O,X,X,X,X,X,X,X
TOJZLSI,O,X,O,X,O,X,X,X,X,X,O
TOJZSIL,O,X,X,O,O,X,X,X,X,X,X
TOJZSLI,O,X,X,X,O,X,X,X,X,X,O
TOSILJZ,O,X,X,X,O,X,X,X,X,X,X
TOSILZJ,O,O,X,X,O,X,X,O,X,X,X
TOSIJLZ,O,X,X,X,O,X,X,X,X,X,X
TOSIJZL,O,O,X,X,O,X,O,X,X,X,X
TOSIZLJ,O,O,O,X,O,X,O,O,X,X,X
TOSIZJL,O,O,X,X,O,X,O,O,X,X,X
TOSLIJZ,O,X,X,X,O,X,X,X,X,X,X
TOSLIZJ,O,O,X,X,O,X,X,O,X,X,X
TOSLJIZ,O,X,X,X,O,X,X,X,X,X,X
TOSLJZI,O,X,X,X,O,O,X,X,X,X,X
TOSLZIJ,O,O,X,X,O,O,X,X,X,X,X
TOSLZJI,O,O,X,X,O,O,X,X,X,X,X
TOSJILZ,O,X,X,X,O,X,X,X,X,X,X
TOSJIZL,O,O,X,X,O,X,X,X,X,X,X
TOSJLIZ,O,X,X,X,O,X,X,X,X,X,X
TOSJLZI,O,X,X,X,O,O,X,X,X,X,X
TOSJZIL,O,O,X,X,O,O,X,X,X,X,X
TOSJZLI,O,O,X,X,O,O,X,X,X,X,X
TOSZILJ,O,O,O,X,O,O,O,X,X,X,X
TOSZIJL,O,O,X,X,O,O,O,X,X,X,X
TOSZLIJ,O,O,O,X,O,O,O,X,X,X,X
TOSZLJI,O,O,O,X,O,O,X,X,X,X,X
TOSZJIL,O,O,X,X,O,O,O,X,X,X,X
TOSZJLI,O,O,X,X,O,O,X,X,X,X,X
TOZILJS,X,O,O,X,X,X,X,O,X,X,X
TOZILSJ,X,X,O,X,X,X,X,O,X,X,X
TOZIJLS,X,O,O,O,X,X,X,O,X,X,X
TOZIJSL,X,O,X,O,X,X,X,O,X,X,X
TOZISLJ,X,X,O,X,X,X,X,O,X,X,X
TOZISJL,X,O,X,X,X,X,X,O,X,X,X
TOZLIJS,X,O,O,X,X,X,X,O,X,X,X
TOZLISJ,X,X,O,X,X,X,X,O,X,X,X
TOZLJIS,X,O,O,X,X,X,X,X,X,X,X
TOZLJSI,X,O,O,X,O,X,X,X,X,X,X
TOZLSIJ,X,X,O,X,O,X,X,X,X,X,X
TOZLSJI,X,X,O,X,O,X,X,X,X,X,X
TOZJILS,X,O,O,O,X,X,X,X,X,X,X
TOZJISL,X,O,X,O,X,X,X,X,X,X,X
TOZJLIS,X,O,O,O,X,X,X,X,X,X,X
TOZJLSI,X,O,O,X,O,X,X,X,X,X,X
TOZJSIL,X,O,X,O,O,X,X,X,X,X,X
TOZJSLI,X,O,X,X,O,X,X,X,X,X,X
TOZSILJ,X,O,O,X,O,X,X,X,X,X,X
TOZSIJL,X,O,X,X,O,X,X,X,X,X,X
TOZSLIJ,X,O,O,X,O,X,X,X,X,X,X
TOZSLJI,X,O,O,X,O,X,X,X,X,X,X
TOZSJIL,X,O,X,X,O,X,X,X,X,X,X
TOZSJLI,X,O,X,X,O,X,X,X,X,X,X
ITLJSZO,X,X,X,X,X,O,X,X,X,O,X
ITLJSOZ,X,X,X,X,X,X,X,X,X,O,X
ITLJZSO,X,X,X,X,X,X,X,O,X,O,X
ITLJZOS,X,X,X,X,X,X,X,O,X,X,X
ITLJOSZ,X,X,X,X,X,X,X,X,X,O,X
ITLJOZS,X,X,X,X,X,X,X,O,X,X,X
ITLSJZO,X,X,X,X,X,O,X,X,X,O,X
ITLSJOZ,X,X,X,X,X,X,X,X,X,O,X
ITLSZJO,X,X,X,X,X,O,X,O,O,O,X
ITLSZOJ,X,X,X,X,X,O,X,O,O,O,X
ITLSOJZ,X,X,X,X,X,X,X,X,X,O,X
ITLSOZJ,X,X,X,X,X,X,X,O,O,O,X
ITLZJSO,X,X,O,X,X,X,X,O,O,O,X
ITLZJOS,X,X,O,X,X,X,X,O,O,X,X
ITLZSJO,X,X,O,X,X,X,X,O,O,O,X
ITLZSOJ,X,X,O,X,X,X,X,O,O,O,X
ITLZOJS,X,X,O,X,X,X,X,O,O,X,X
ITLZOSJ,X,X,O,X,X,X,X,O,O,X,X
ITLOJSZ,X,X,X,X,X,X,X,X,X,O,X
ITLOJZS,X,X,X,X,X,X,X,O,X,X,X
ITLOSJZ,X,X,X,X,X,X,X,X,X,O,X
ITLOSZJ,X,X,X,X,X,X,X,O,O,O,X
ITLOZJS,X,X,O,X,X,X,X,O,O,X,X
ITLOZSJ,X,X,O,X,X,X,X,O,O,X,X
ITJLSZO,X,X,X,X,X,O,X,X,X,O,X
ITJLSOZ,X,X,X,X,X,X,X,X,X,O,X
ITJLZSO,X,X,X,X,X,X,X,O,X,O,X
ITJLZOS,X,X,X,X,X,X,X,O,X,X,X
ITJLOSZ,X,X,X,X,X,X,X,X,X,O,X
ITJLOZS,X,X,X,X,X,X,X,O,X,X,X
ITJSLZO,X,X,X,X,X,O,X,X,X,O,X
ITJSLOZ,X,X,X,X,X,X,X,X,X,O,X
ITJSZLO,X,X,X,X,X,O,O,X,X,O,X
ITJSZOL,X,X,X,X,X,O,O,X,X,O,X
ITJSOLZ,X,X,X,X,X,X,X,X,X,O,X
ITJSOZL,X,X,X,X,X,X,O,X,X,O,X
ITJZLSO,X,X,O,O,X,X,X,O,X,O,X
ITJZLOS,X,X,O,O,X,X,X,O,X,X,X
ITJZSLO,X,X,X,O,X,X,X,O,X,O,X
ITJZSOL,X,X,X,O,X,X,X,O,X,O,X
ITJZOLS,X,X,O,O,X,X,X,O,X,X,X
ITJZOSL,X,X,X,O,X,X,X,O,X,X,X
ITJOLSZ,X,X,X,X,X,X,X,X,X,O,X
ITJOLZS,X,X,X,X,X,X,X,O,X,X,X
ITJOSLZ,X,X,X,X,X,X,X,X,X,O,X
ITJOSZL,X,X,X,X,X,X,O,X,X,O,X
ITJOZLS,X,X,O,O,X,X,X,O,X,X,X
ITJOZSL,X,X,X,O,X,X,X,O,X,X,X
ITSLJZO,X,X,X,X,X,O,X,X,X,O,X
ITSLJOZ,X,X,X,X,X,X,X,X,X,O,X
ITSLZJO,X,X,X,X,X,O,X,O,X,O,X
ITSLZOJ,X,X,X,X,X,O,X,O,X,O,X
ITSLOJZ,X,X,X,X,X,X,X,X,X,O,X
ITSLOZJ,X,X,X,X,X,X,X,O,X,O,X
ITSJLZO,X,X,X,X,X,O,X,X,X,O,X
ITSJLOZ,X,X,X,X,X,X,X,X,X,O,X
ITSJZLO,X,X,X,X,X,O,O,X,X,O,X
ITSJZOL,X,X,X,X,X,O,O,X,X,O,X
ITSJOLZ,X,X,X,X,X,X,X,X,X,O,X
ITSJOZL,X,X,X,X,X,X,O,X,X,O,X
ITSZLJO,X,X,O,X,X,O,O,O,X,O,X
ITSZLOJ,X,X,O,X,X,O,O,O,X,O,X
ITSZJLO,X,X,X,X,X,O,O,O,X,O,X
ITSZJOL,X,X,X,X,X,O,O,O,X,O,X
ITSZOLJ,X,X,O,X,X,O,O,O,X,O,X
ITSZOJL,X,X,X,X,X,O,O,O,X,O,X
ITSOLJZ,X,X,X,X,X,X,X,X,X,O,X
ITSOLZJ,X,X,X,X,X,X,X,O,X,O,X
ITSOJLZ,X,X,X,X,X,X,X,X,X,O,X
ITSOJZL,X,X,X,X,X,X,O,X,X,O,X
ITSOZLJ,X,X,O,X,X,X,O,O,X,O,X
ITSOZJL,X,X,X,X,X,X,O,O,X,O,X
ITZLJSO,X,X,O,X,X,X,X,O,X,O,X
ITZLJOS,X,X,O,X,X,X,X,O,X,X,X
ITZLSJO,X,X,O,X,X,X,X,O,X,O,X
ITZLSOJ,X,X,O,X,X,X,X,O,X,O,X
ITZLOJS,X,X,O,X,X,X,X,O,X,X,X
ITZLOSJ,X,X,O,X,X,X,X,O,X,X,X
ITZJLSO,X,X,O,O,X,X,X,O,X,O,X
ITZJLOS,X,X,O,O,X,X,X,O,X,X,X
ITZJSLO,X,X,X,O,X,X,X,O,X,O,X
ITZJSOL,X,X,X,O,X,X,X,O,X,O,X
ITZJOLS,X,X,O,O,X,X,X,O,X,X,X
ITZJOSL,X,X,X,O,X,X,X,O,X,X,X
ITZSLJO,X,X,O,X,X,X,X,O,X,O,X
ITZSLOJ,X,X,O,X,X,X,X,O,X,O,X
ITZSJLO,X,X,X,X,X,X,X,O,X,O,X
ITZSJOL,X,X,X,X,X,X,X,O,X,O,X
ITZSOLJ,X,X,O,X,X,X,X,O,X,O,X
ITZSOJL,X,X,X,X,X,X,X,O,X,O,X
ITZOLJS,X,X,O,X,X,X,X,O,X,X,X
ITZOLSJ,X,X,O,X,X,X,X,O,X,X,X
ITZOJLS,X,X,O,O,X,X,X,O,X,X,X
ITZOJSL,X,X,X,O,X,X,X,O,X,X,X
ITZOSLJ,X,X,O,X,X,X,X,O,X,X,X
ITZOSJL,X,X,X,X,X,X,X,O,X,X,X
ITOLJSZ,X,X,X,X,X,X,X,X,X,O,X
ITOLJZS,X,X,X,X,X,X,X,O,X,X,X
ITOLSJZ,X,X,X,X,X,X,X,X,X,O,X
ITOLSZJ,X,X,X,X,X,X,X,O,O,O,X
ITOLZJS,X,X,O,X,X,X,X,O,O,X,X
ITOLZSJ,X,X,O,X,X,X,X,O,O,X,X
ITOJLSZ,X,X,X,X,X,X,X,X,X,O,X
ITOJLZS,X,X,X,X,X,X,X,O,X,X,X
ITOJSLZ,X,X,X,X,X,X,X,X,X,O,X
ITOJSZL,X,X,X,X,X,X,O,X,X,O,X
ITOJZLS,X,X,O,O,X,X,X,O,X,X,X
ITOJZSL,X,X,X,O,X,X,X,O,X,X,X
ITOSLJZ,X,X,X,X,X,X,X,X,X,O,X
ITOSLZJ,X,X,X,X,X,X,X,O,X,O,X
ITOSJLZ,X,X,X,X,X,X,X,X,X,O,X
ITOSJZL,X,X,X,X,X,X,O,X,X,O,X
ITOSZLJ,X,X,O,X,X,X,O,O,X,O,X
ITOSZJL,X,X,X,X,X,X,O,O,X,O,X
ITOZLJS,X,X,O,X,X,X,X,O,X,X,X
ITOZLSJ,X,X,O,X,X,X,X,O,X,X,X
ITOZJLS,X,X,O,O,X,X,X,O,X,X,X
ITOZJSL,X,X,X,O,X,X,X,O,X,X,X
ITOZSLJ,X,X,O,X,X,X,X,O,X,X,X
ITOZSJL,X,X,X,X,X,X,X,O,X,X,X
ILTJSZO,O,X,X,X,X,O,X,X,X,O,X
ILTJSOZ,O,X,X,X,X,X,X,X,X,O,X
ILTJZSO,O,X,X,X,X,X,X,O,X,O,X
ILTJZOS,O,X,X,X,X,X,X,O,X,X,X
ILTJOSZ,O,X,X,X,X,X,X,X,X,O,X
ILTJOZS,O,X,X,X,X,X,X,O,X,X,X
ILTSJZO,O,X,X,X,X,O,X,X,X,O,X
ILTSJOZ,O,X,X,X,X,X,X,X,X,O,X
ILTSZJO,X,X,X,X,X,O,X,O,O,O,X
ILTSZOJ,X,X,X,X,X,O,X,O,O,O,X
ILTSOJZ,O,X,X,X,X,X,X,X,X,O,X
ILTSOZJ,X,X,X,X,X,X,X,O,O,O,X
ILTZJSO,O,X,X,X,X,X,X,O,O,O,X
ILTZJOS,O,X,X,X,X,X,X,O,O,X,X
ILTZSJO,X,X,X,X,X,X,X,O,O,O,X
ILTZSOJ,X,X,X,X,X,X,X,O,O,O,X
ILTZOJS,O,X,X,X,X,X,X,O,O,X,X
ILTZOSJ,X,X,X,X,X,X,X,O,O,X,X
ILTOJSZ,O,X,X,X,X,X,X,X,X,O,X
ILTOJZS,O,X,X,X,X,X,X,O,X,X,X
ILTOSJZ,O,X,X,X,X,X,X,X,X,O,X
ILTOSZJ,X,X,X,X,X,X,X,O,O,O,X
ILTOZJS,O,X,X,X,X,X,X,O,O,X,X
ILTOZSJ,X,X,X,X,X,X,X,O,O,X,X
ILJTSZO,O,X,X,X,X,X,X,X,X,O,O
ILJTSOZ,O,X,X,X,X,X,X,X,X,O,O
ILJTZSO,O,X,X,X,X,X,X,X,X,O,X
ILJTZOS,O,X,X,X,X,X,X,X,X,X,X
ILJTOSZ,O,X,X,X,X,X,X,X,X,O,O
ILJTOZS,O,X,X,X,X,X,X,X,X,X,X
ILJSTZO,O,X,X,X,X,X,X,X,X,X,X
ILJSTOZ,O,X,X,X,X,X,X,X,X,X,X
