sequence,v115@9gC8GeB8HeB8HeB8EeC8JeFBJvhFxiBOqBcsBToBCr?B3rB,v115@9gC8GeB8HeB8HeB8EeC8JeFBJvhFxiB0lBCnBToB2v?BXsB,v115@9gC8GeB8HeB8HeB8EeC8JeUCJvhFGjBxlBVtB3lByv?BzrB,v115@9gC8GeB8HeB8HeB8EeC8Je3AJvhFFiBTjB0mBWtBiq?BRwB,v115@9gC8GeB8HeB8HeB8EeC8JeRBJvhFfoB6oBmlBUnBTq?B1wB,v115@9gC8GeB8HeB8HeB8EeC8JeWHJvhFxiBilBToBUmB1v?BXsB,v115@9gC8GeB8HeB8HeB8EeC8Je3AJvhFzhBGjByqBUoBFs?BxvB,v115@9gC8GeB8HeB8HeB8EeC8JexCJvhFKqBfrBlmBcsBTo?BGrB,v115@9gC8GeB8HeB8HeB8EeC8JecFJvhFemBzhBfoB6oBFs?BxvB,v115@9gC8GeB8HeB8HeB8EeC8JecFJvhFymBziB+oBXmBFs?BxvB,v115@9gC8GeB8HeB8HeB8EeC8JecFJvhFmhBCjBXmBToBFs?BxvB
TSJOLIZ,X,O,O,X,O,O,X,X,X,X,X
TSJOLZI,X,O,O,X,X,O,X,X,X,X,X
TSJOZIL,X,O,O,X,X,O,X,X,X,X,X
TSJOZLI,X,O,O,X,X,O,X,X,X,X,X
TSZILJO,X,X,X,X,O,X,X,X,X,X,X
TSZILOJ,X,X,X,X,O,X,X,X,X,X,X
TSZIJLO,X,X,X,X,O,X,X,X,X,X,X
TSZIJOL,X,X,X,X,O,X,X,X,X,X,X
TSZIOLJ,X,X,X,X,O,X,X,X,X,X,X
TSZIOJL,X,X,X,X,O,X,X,X,X,X,X
TSZLIJO,X,X,O,X,O,X,X,X,X,X,X
TSZLIOJ,X,X,X,X,O,X,X,X,X,X,X
TSZLJIO,X,X,O,X,O,X,X,X,X,X,X
TSZLJOI,X,X,X,X,O,O,X,X,X,X,X
TSZLOIJ,X,X,X,X,O,O,X,X,X,X,X
TSZLOJI,X,X,X,X,O,O,X,X,X,X,X
TSZJILO,X,X,X,X,O,X,X,X,X,X,X
TSZJIOL,X,X,X,X,O,X,X,X,X,X,X
TSZJLIO,X,X,O,X,O,X,X,X,X,X,X
TSZJLOI,X,X,X,X,O,O,X,X,X,X,X
TSZJOIL,X,X,O,X,O,O,X,X,X,X,X
TSZJOLI,X,X,O,X,O,O,X,X,X,X,X
TSZOILJ,X,X,X,X,O,O,X,X,X,X,X
TSZOIJL,X,X,O,X,O,O,X,X,X,X,X
TSZOLIJ,X,X,O,X,O,O,X,X,X,X,X
TSZOLJI,X,X,O,X,O,O,X,X,X,X,X
TSZOJIL,X,X,O,X,O,O,X,X,X,X,X
TSZOJLI,X,X,O,X,O,O,X,X,X,X,X
TSOILJZ,X,O,X,X,X,O,X,X,X,X,X
TSOILZJ,X,O,X,X,X,O,X,X,X,X,X
TSOIJLZ,X,O,X,X,X,O,X,X,X,X,X
TSOIJZL,X,O,O,X,X,O,X,X,X,X,X
TSOIZLJ,X,X,X,X,X,O,X,X,X,X,X
TSOIZJL,X,X,O,X,X,O,X,X,X,X,X
TSOLIJZ,X,O,O,X,X,O,X,X,X,X,X
TSOLIZJ,X,O,O,X,X,O,X,X,X,X,X
TSOLJIZ,X,O,O,X,O,O,X,X,X,X,X
TSOLJZI,X,O,O,X,X,O,X,X,X,X,X
TSOLZIJ,X,O,O,X,X,O,X,X,X,X,X
TSOLZJI,X,X,O,X,X,O,X,X,X,X,X
TSOJILZ,X,O,X,X,O,O,X,X,X,X,X
TSOJIZL,X,O,O,X,X,O,X,X,X,X,X
TSOJLIZ,X,O,O,X,O,O,X,X,X,X,X
TSOJLZI,X,O,O,X,X,O,X,X,X,X,X
TSOJZIL,X,O,O,X,X,O,X,X,X,X,X
TSOJZLI,X,O,O,X,X,O,X,X,X,X,X
TSOZILJ,X,X,X,X,O,O,X,X,X,X,X
TSOZIJL,X,X,O,X,O,O,X,X,X,X,X
TSOZLIJ,X,X,O,X,O,O,X,X,X,X,X
TSOZLJI,X,X,O,X,O,O,X,X,X,X,X
TSOZJIL,X,X,O,X,O,O,X,X,X,X,X
TSOZJLI,X,X,O,X,O,O,X,X,X,X,X
TZILJSO,O,X,O,X,X,X,O,X,X,X,X
TZILJOS,O,X,O,X,X,X,O,X,X,X,X
TZILSJO,O,X,O,X,O,X,O,X,X,X,X
TZILSOJ,O,X,X,X,O,X,O,X,X,X,X
TZILOJS,O,X,O,X,X,X,O,X,X,X,X
TZILOSJ,O,X,X,X,X,X,O,X,X,X,X
TZIJLSO,O,X,O,X,O,X,O,X,X,X,X
TZIJLOS,O,X,O,X,X,X,O,X,X,X,X
TZIJSLO,O,X,X,X,O,X,O,X,X,X,X
TZIJSOL,O,X,X,X,O,X,O,X,X,X,X
TZIJOLS,O,X,O,X,X,X,O,X,X,X,X
TZIJOSL,O,X,O,X,O,X,O,X,X,X,X
TZISLJO,X,X,X,X,O,X,O,X,X,X,X
TZISLOJ,X,X,X,X,O,X,O,X,X,X,X
TZISJLO,X,X,X,X,O,X,O,X,X,X,X
TZISJOL,X,X,X,X,O,X,O,X,X,X,X
TZISOLJ,X,X,X,X,O,X,O,X,X,X,X
TZISOJL,X,X,X,X,O,X,O,X,X,X,X
TZIOLJS,X,X,O,X,X,X,O,X,X,X,X
TZIOLSJ,X,X,O,X,O,X,O,X,X,X,X
TZIOJLS,X,X,O,X,O,X,O,X,X,X,X
TZIOJSL,X,X,O,X,O,X,O,X,X,X,X
TZIOSLJ,X,X,X,X,O,X,O,X,X,X,X
TZIOSJL,X,X,O,X,O,X,O,X,X,X,X
TZLIJSO,O,X,O,X,X,X,X,X,X,X,X
TZLIJOS,O,X,O,X,X,X,X,X,X,X,X
TZLISJO,O,X,O,X,O,X,X,X,X,X,X
TZLISOJ,O,X,X,X,O,X,X,X,X,X,X
TZLIOJS,O,X,O,X,X,X,X,X,X,X,X
TZLIOSJ,O,X,X,X,X,X,X,X,X,X,X
TZLJISO,O,X,O,X,O,X,X,X,X,X,X
TZLJIOS,O,X,O,X,X,X,X,X,X,X,X
TZLJSIO,X,X,O,X,O,X,X,X,X,X,X
TZLJSOI,X,X,X,X,O,X,X,X,X,X,X
TZLJOIS,O,X,O,X,X,X,X,X,X,X,X
TZLJOSI,X,X,O,X,X,X,X,X,X,X,X
TZLSIJO,O,X,O,X,O,X,X,X,X,X,X
TZLSIOJ,O,X,X,X,O,X,X,O,X,X,X
TZLSJIO,X,X,O,X,O,X,X,X,X,X,X
TZLSJOI,X,X,X,X,O,O,X,O,X,X,X
TZLSOIJ,O,X,X,X,O,O,X,O,X,X,X
TZLSOJI,X,X,X,X,O,O,X,O,X,X,X
TZLOIJS,O,X,O,X,X,X,X,X,X,X,X
TZLOISJ,O,X,O,X,O,O,X,O,X,X,X
TZLOJIS,O,X,O,X,O,X,X,X,X,X,X
TZLOJSI,X,X,O,X,O,X,X,X,X,X,X
TZLOSIJ,O,X,O,X,O,O,X,O,X,X,X
TZLOSJI,X,X,O,X,O,O,X,O,X,X,X
TZJILSO,O,X,O,X,O,X,O,X,X,X,X
TZJILOS,O,X,O,X,X,X,O,X,X,X,X
TZJISLO,O,X,X,X,O,X,O,X,X,X,X
TZJISOL,O,X,X,X,O,X,O,X,X,X,X
TZJIOLS,O,X,O,X,X,X,O,X,X,X,X
TZJIOSL,O,X,O,X,O,X,O,X,X,X,X
TZJLISO,O,X,O,X,O,X,X,X,X,X,X
TZJLIOS,O,X,O,X,X,X,X,X,X,X,X
TZJLSIO,O,X,O,X,O,X,X,X,X,X,X
TZJLSOI,O,X,X,X,O,X,X,X,X,X,X
TZJLOIS,O,X,O,X,X,X,X,X,X,X,X
TZJLOSI,O,X,O,X,X,X,X,X,X,X,X
TZJSILO,O,X,X,X,O,X,X,X,X,X,X
TZJSIOL,O,X,X,X,O,X,X,X,X,X,X
TZJSLIO,X,X,O,X,O,X,X,X,X,X,X
TZJSLOI,X,X,X,X,O,X,X,X,X,X,X
TZJSOIL,O,X,O,X,O,X,X,X,X,X,X
TZJSOLI,X,X,O,X,O,X,X,X,X,X,X
TZJOILS,O,X,O,X,O,X,X,X,X,X,X
TZJOISL,O,X,O,X,O,X,X,X,X,X,X
TZJOLIS,O,X,O,X,O,X,X,X,X,X,X
TZJOLSI,O,X,O,X,O,X,X,X,X,X,X
TZJOSIL,O,X,O,X,O,X,X,X,X,X,X
TZJOSLI,X,X,O,X,O,X,X,X,X,X,X
TZSILJO,X,X,X,X,O,X,X,X,X,X,X
TZSILOJ,X,X,X,X,O,X,X,X,X,X,X
TZSIJLO,X,X,X,X,O,X,X,X,X,X,X
TZSIJOL,X,X,X,X,O,X,X,X,X,X,X
TZSIOLJ,X,X,X,X,O,X,X,X,X,X,X
TZSIOJL,X,X,X,X,O,X,X,X,X,X,X
TZSLIJO,X,X,O,X,O,X,X,X,X,X,X
TZSLIOJ,X,X,X,X,O,X,X,X,X,X,X
TZSLJIO,X,X,O,X,O,X,X,X,X,X,X
TZSLJOI,X,X,X,X,O,O,X,X,X,X,X
TZSLOIJ,X,X,X,X,O,O,X,X,X,X,X
TZSLOJI,X,X,X,X,O,O,X,X,X,X,X
TZSJILO,X,X,X,X,O,X,X,X,X,X,X
TZSJIOL,X,X,X,X,O,X,X,X,X,X,X
TZSJLIO,X,X,O,X,O,X,X,X,X,X,X
TZSJLOI,X,X,X,X,O,O,X,X,X,X,X
TZSJOIL,X,X,O,X,O,O,X,X,X,X,X
TZSJOLI,X,X,O,X,O,O,X,X,X,X,X
TZSOILJ,X,X,X,X,O,O,X,X,X,X,X
TZSOIJL,X,X,O,X,O,O,X,X,X,X,X
TZSOLIJ,X,X,O,X,O,O,X,X,X,X,X
TZSOLJI,X,X,O,X,O,O,X,X,X,X,X
TZSOJIL,X,X,O,X,O,O,X,X,X,X,X
TZSOJLI,X,X,O,X,O,O,X,X,X,X,X
TZOILJS,O,X,O,X,X,X,X,X,X,X,X
TZOILSJ,O,X,O,X,O,O,X,O,X,X,X
TZOIJLS,O,X,O,X,O,X,X,X,X,X,X
TZOIJSL,O,X,O,X,O,X,X,X,X,X,X
TZOISLJ,X,X,X,X,O,O,X,X,X,X,X
TZOISJL,X,X,O,X,O,O,X,X,X,X,X
TZOLIJS,O,X,O,X,X,X,X,X,X,X,X
TZOLISJ,O,X,O,X,O,O,X,O,X,X,X
TZOLJIS,O,X,O,X,O,X,X,X,X,X,X
TZOLJSI,X,X,O,X,O,X,X,X,X,X,X
TZOLSIJ,O,X,O,X,O,O,X,O,X,X,X
TZOLSJI,X,X,O,X,O,O,X,O,X,X,X
TZOJILS,O,X,O,X,O,X,X,X,X,X,X
TZOJISL,O,X,O,X,O,X,X,X,X,X,X
TZOJLIS,O,X,O,X,O,X,X,X,X,X,X
TZOJLSI,O,X,O,X,O,X,X,X,X,X,X
TZOJSIL,O,X,O,X,O,X,X,X,X,X,X
TZOJSLI,X,X,O,X,O,X,X,X,X,X,X
TZOSILJ,X,X,X,X,O,O,X,X,X,X,X
TZOSIJL,X,X,O,X,O,O,X,X,X,X,X
TZOSLIJ,X,X,O,X,O,O,X,X,X,X,X
TZOSLJI,X,X,O,X,O,O,X,X,X,X,X
TZOSJIL,X,X,O,X,O,O,X,X,X,X,X
TZOSJLI,X,X,O,X,O,O,X,X,X,X,X
TOILJSZ,O,X,O,X,X,O,X,X,X,X,X
TOILJZS,O,X,O,X,X,X,X,X,X,X,O
TOILSJZ,O,X,O,X,X,O,X,X,X,X,X
TOILSZJ,O,X,O,X,X,O,X,O,X,X,O
TOILZJS,O,X,O,X,X,X,X,X,X,X,O
TOILZSJ,O,X,O,X,X,O,X,O,X,X,O
TOIJLSZ,O,X,O,X,X,O,X,X,X,X,X
TOIJLZS,O,X,O,X,X,X,X,X,X,X,O
TOIJSLZ,O,O,X,X,X,O,X,X,X,X,X
TOIJSZL,O,O,O,X,X,O,X,X,X,X,X
TOIJZLS,O,O,O,X,X,X,X,X,X,X,O
TOIJZSL,O,O,O,X,X,X,X,X,X,X,O
TOISLJZ,X,O,X,X,X,O,X,X,X,X,X
TOISLZJ,X,O,X,X,X,O,X,X,X,X,O
TOISJLZ,X,O,X,X,X,O,X,X,X,X,X
TOISJZL,X,O,O,X,X,O,X,X,X,X,X
TOISZLJ,X,X,X,X,X,O,X,X,X,X,O
TOISZJL,X,X,O,X,X,O,X,X,X,X,O
TOIZLJS,O,X,O,X,X,X,X,X,X,X,O
TOIZLSJ,O,X,O,X,O,O,X,O,X,X,O
TOIZJLS,O,X,O,X,O,X,X,X,X,X,O
TOIZJSL,O,X,O,X,O,X,X,X,X,X,O
TOIZSLJ,X,X,X,X,O,O,X,X,X,X,O
TOIZSJL,X,X,O,X,O,O,X,X,X,X,O
TOLIJSZ,O,X,O,X,X,O,X,X,X,X,X
TOLIJZS,O,X,O,X,X,X,X,X,X,X,O
TOLISJZ,O,X,O,X,X,O,X,X,X,X,X
TOLISZJ,O,X,O,X,X,O,X,O,X,X,O
TOLIZJS,O,X,O,X,X,X,X,X,X,X,O
TOLIZSJ,O,X,O,X,X,O,X,O,X,X,O
TOLJISZ,O,X,O,X,X,O,X,X,X,X,X
TOLJIZS,O,X,O,X,X,X,X,X,X,X,X
TOLJSIZ,X,X,O,X,O,O,X,X,X,X,X
TOLJSZI,X,X,O,X,X,O,X,X,X,X,X
TOLJZIS,O,X,O,X,X,X,X,X,X,X,X
TOLJZSI,X,X,O,X,X,X,X,X,X,X,X
TOLSIJZ,O,X,O,X,X,O,X,X,X,X,X
TOLSIZJ,O,X,O,X,X,O,X,O,X,X,X
TOLSJIZ,X,X,O,X,O,O,X,X,X,X,X
TOLSJZI,X,X,O,X,X,O,X,X,X,X,X
TOLSZIJ,O,X,O,X,X,O,X,O,X,X,X
TOLSZJI,X,X,O,X,X,O,X,O,X,X,X
TOLZIJS,O,X,O,X,X,X,X,X,X,X,X
TOLZISJ,O,X,O,X,O,O,X,O,X,X,X
TOLZJIS,O,X,O,X,O,X,X,X,X,X,X
TOLZJSI,X,X,O,X,O,X,X,X,X,X,X
TOLZSIJ,O,X,O,X,O,O,X,O,X,X,X
TOLZSJI,X,X,O,X,O,O,X,O,X,X,X
TOJILSZ,O,X,O,X,X,O,X,X,X,X,X
TOJILZS,O,X,O,X,X,X,X,X,X,X,X
TOJISLZ,O,O,X,X,O,O,X,X,X,X,X
TOJISZL,O,O,O,X,X,O,X,X,X,X,X
TOJIZLS,O,O,O,X,X,X,X,X,X,X,X
TOJIZSL,O,O,O,X,O,X,X,X,X,X,X
TOJLISZ,O,X,O,X,X,O,X,X,X,X,X
TOJLIZS,O,X,O,X,X,X,X,X,X,X,X
TOJLSIZ,O,X,O,X,O,O,X,X,X,X,X
TOJLSZI,O,X,O,X,X,O,X,X,X,X,X
TOJLZIS,O,X,O,X,X,X,X,X,X,X,X
TOJLZSI,O,X,O,X,X,X,X,X,X,X,X
TOJSILZ,O,O,X,X,O,O,X,X,X,X,X
TOJSIZL,O,O,O,X,X,O,X,X,X,X,X
TOJSLIZ,O,O,O,X,O,O,X,X,X,X,X
TOJSLZI,O,O,O,X,X,O,X,X,X,X,X
TOJSZIL,O,O,O,X,X,O,X,X,X,X,X
TOJSZLI,X,O,O,X,X,O,X,X,X,X,X
TOJZILS,O,O,O,X,O,X,X,X,X,X,X
TOJZISL,O,O,O,X,O,X,X,X,X,X,X
TOJZLIS,O,O,O,X,O,X,X,X,X,X,X
TOJZLSI,O,O,O,X,O,X,X,X,X,X,X
TOJZSIL,O,O,O,X,O,X,X,X,X,X,X
TOJZSLI,X,O,O,X,O,X,X,X,X,X,X
TOSILJZ,X,O,X,X,X,O,X,X,X,X,X
TOSILZJ,X,O,X,X,X,O,X,X,X,X,X
TOSIJLZ,X,O,X,X,X,O,X,X,X,X,X
TOSIJZL,X,O,O,X,X,O,X,X,X,X,X
TOSIZLJ,X,X,X,X,X,O,X,X,X,X,X
TOSIZJL,X,X,O,X,X,O,X,X,X,X,X
TOSLIJZ,X,O,O,X,X,O,X,X,X,X,X
TOSLIZJ,X,O,O,X,X,O,X,X,X,X,X
TOSLJIZ,X,O,O,X,O,O,X,X,X,X,X
TOSLJZI,X,O,O,X,X,O,X,X,X,X,X
TOSLZIJ,X,O,O,X,X,O,X,X,X,X,X
TOSLZJI,X,X,O,X,X,O,X,X,X,X,X
TOSJILZ,X,O,X,X,O,O,X,X,X,X,X
TOSJIZL,X,O,O,X,X,O,X,X,X,X,X
TOSJLIZ,X,O,O,X,O,O,X,X,X,X,X
TOSJLZI,X,O,O,X,X,O,X,X,X,X,X
TOSJZIL,X,O,O,X,X,O,X,X,X,X,X
TOSJZLI,X,O,O,X,X,O,X,X,X,X,X
TOSZILJ,X,X,X,X,O,O,X,X,X,X,X
TOSZIJL,X,X,O,X,O,O,X,X,X,X,X
TOSZLIJ,X,X,O,X,O,O,X,X,X,X,X
TOSZLJI,X,X,O,X,O,O,X,X,X,X,X
TOSZJIL,X,X,O,X,O,O,X,X,X,X,X
TOSZJLI,X,X,O,X,O,O,X,X,X,X,X
TOZILJS,O,X,O,X,X,X,X,X,X,X,X
TOZILSJ,O,X,O,X,O,O,X,O,X,X,X
TOZIJLS,O,X,O,X,O,X,X,X,X,X,X
TOZIJSL,O,X,O,X,O,X,X,X,X,X,X
TOZISLJ,X,X,X,X,O,O,X,X,X,X,X
TOZISJL,X,X,O,X,O,O,X,X,X,X,X
TOZLIJS,O,X,O,X,X,X,X,X,X,X,X
TOZLISJ,O,X,O,X,O,O,X,O,X,X,X
TOZLJIS,O,X,O,X,O,X,X,X,X,X,X
TOZLJSI,X,X,O,X,O,X,X,X,X,X,X
TOZLSIJ,O,X,O,X,O,O,X,O,X,X,X
TOZLSJI,X,X,O,X,O,O,X,O,X,X,X
TOZJILS,O,X,O,X,O,X,X,X,X,X,X
TOZJISL,O,X,O,X,O,X,X,X,X,X,X
TOZJLIS,O,X,O,X,O,X,X,X,X,X,X
TOZJLSI,O,X,O,X,O,X,X,X,X,X,X
TOZJSIL,O,X,O,X,O,X,X,X,X,X,X
TOZJSLI,X,X,O,X,O,X,X,X,X,X,X
TOZSILJ,X,X,X,X,O,O,X,X,X,X,X
TOZSIJL,X,X,O,X,O,O,X,X,X,X,X
TOZSLIJ,X,X,O,X,O,O,X,X,X,X,X
TOZSLJI,X,X,O,X,O,O,X,X,X,X,X
TOZSJIL,X,X,O,X,O,O,X,X,X,X,X
TOZSJLI,X,X,O,X,O,O,X,X,X,X,X
ITLJSZO,X,X,O,O,O,X,O,X,X,O,X
ITLJSOZ,X,X,X,O,O,X,O,X,X,O,X
ITLJZSO,X,X,O,O,X,X,O,X,X,O,O
ITLJZOS,X,X,O,O,X,X,O,X,X,O,O
ITLJOSZ,X,X,O,O,X,X,O,X,X,O,X
ITLJOZS,X,X,O,O,X,X,O,X,X,O,X
ITLSJZO,X,X,O,O,O,X,O,X,O,O,X
ITLSJOZ,X,X,X,O,O,O,O,X,X,O,X
ITLSZJO,X,X,O,O,X,X,O,X,O,O,O
ITLSZOJ,X,X,X,O,X,X,O,X,O,X,X
ITLSOJZ,X,X,X,X,X,O,O,X,X,X,X
ITLSOZJ,X,X,X,X,X,O,O,X,O,X,X
ITLZJSO,X,X,O,O,X,X,O,X,O,O,O
ITLZJOS,X,X,O,O,X,X,O,X,O,O,O
ITLZSJO,X,X,O,O,X,X,O,X,O,O,O
ITLZSOJ,X,X,X,O,X,X,O,X,O,X,X
ITLZOJS,X,X,O,O,X,X,O,X,X,O,O
ITLZOSJ,X,X,X,O,X,X,O,X,X,X,O
ITLOJSZ,X,X,O,X,X,O,O,X,X,O,X
ITLOJZS,X,X,O,X,X,X,O,X,X,O,O
ITLOSJZ,X,X,O,X,X,O,O,X,X,X,X
ITLOSZJ,X,X,O,X,X,O,O,X,X,X,O
ITLOZJS,X,X,O,X,X,X,O,X,X,O,O
ITLOZSJ,X,X,O,X,X,O,O,X,X,X,O
ITJLSZO,X,X,O,O,O,X,O,X,X,O,X
ITJLSOZ,X,X,X,O,O,X,O,X,X,O,X
ITJLZSO,X,X,O,O,O,X,O,X,X,O,O
ITJLZOS,X,X,O,O,X,X,O,X,X,O,O
ITJLOSZ,X,X,O,O,X,X,O,X,X,O,X
ITJLOZS,X,X,O,O,X,X,O,X,X,O,X
ITJSLZO,X,X,X,O,O,X,X,X,O,O,X
ITJSLOZ,X,X,X,O,O,X,X,X,X,O,X
ITJSZLO,X,X,X,O,O,X,X,X,O,O,X
ITJSZOL,X,X,X,O,O,X,X,X,O,O,X
ITJSOLZ,X,X,X,O,O,X,X,X,X,O,X
ITJSOZL,X,X,X,O,X,X,X,X,X,O,X
ITJZLSO,X,X,O,O,O,X,O,X,O,O,O
ITJZLOS,X,X,O,O,X,X,O,X,O,O,O
ITJZSLO,X,X,X,O,O,X,O,X,O,O,O
ITJZSOL,X,X,X,O,O,X,O,X,O,O,O
ITJZOLS,X,X,O,O,X,X,O,X,O,O,O
ITJZOSL,X,X,O,O,O,X,O,X,O,O,O
ITJOLSZ,X,X,O,O,X,X,O,X,X,O,X
ITJOLZS,X,X,O,O,X,X,O,X,X,O,O
ITJOSLZ,X,X,X,O,O,X,X,X,X,O,X
ITJOSZL,X,X,O,O,X,X,X,X,X,O,X
ITJOZLS,X,X,O,O,X,X,O,X,X,O,O
ITJOZSL,X,X,O,O,O,X,O,X,X,O,O
ITSLJZO,X,X,X,X,O,X,O,X,O,O,X
ITSLJOZ,X,X,X,X,O,O,O,X,X,O,X
ITSLZJO,X,X,X,X,X,X,O,X,O,O,O
ITSLZOJ,X,X,X,X,X,X,O,X,O,X,X
ITSLOJZ,X,X,X,X,X,O,O,X,X,X,X
ITSLOZJ,X,X,X,X,X,O,O,X,O,X,X
ITSJLZO,X,X,X,X,O,X,X,X,O,O,X
ITSJLOZ,X,X,X,X,O,O,X,X,X,O,X
ITSJZLO,X,X,X,X,O,X,X,X,O,O,X
ITSJZOL,X,X,X,X,X,X,X,X,O,O,X
ITSJOLZ,X,X,X,X,O,O,X,X,X,O,X
ITSJOZL,X,X,X,X,X,O,X,X,X,O,X
ITSZLJO,X,X,X,X,X,X,O,X,O,O,O
ITSZLOJ,X,X,X,X,X,X,O,X,O,X,X
ITSZJLO,X,X,X,X,X,X,O,X,O,O,O
ITSZJOL,X,X,X,X,X,X,O,X,O,O,O
ITSZOLJ,X,X,X,X,X,X,O,X,O,X,O
ITSZOJL,X,X,X,X,X,X,O,X,O,X,O
ITSOLJZ,X,X,X,X,X,O,O,X,X,X,X
ITSOLZJ,X,X,X,X,X,O,O,X,O,X,O
ITSOJLZ,X,X,X,X,X,O,X,X,X,X,X
ITSOJZL,X,X,X,X,X,O,X,X,X,X,X
ITSOZLJ,X,X,X,X,X,O,O,X,O,X,O
ITSOZJL,X,X,X,X,X,O,O,X,O,X,O
ITZLJSO,X,X,O,O,X,X,O,X,O,O,O
ITZLJOS,X,X,O,O,X,X,O,X,O,O,O
ITZLSJO,X,X,O,O,O,X,O,X,O,O,O
ITZLSOJ,X,X,X,X,O,X,O,X,O,X,X
ITZLOJS,X,X,O,X,X,X,O,X,X,O,O
ITZLOSJ,X,X,X,X,X,X,O,X,X,X,O
ITZJLSO,X,X,O,O,O,X,O,X,O,O,O
ITZJLOS,X,X,O,O,X,X,O,X,O,O,O
ITZJSLO,X,X,X,O,O,X,O,X,O,O,O
ITZJSOL,X,X,X,O,O,X,O,X,O,O,O
ITZJOLS,X,X,O,O,X,X,O,X,O,O,O
ITZJOSL,X,X,O,O,O,X,O,X,O,O,O
ITZSLJO,X,X,X,O,O,X,O,X,O,O,O
ITZSLOJ,X,X,X,X,O,X,O,X,O,X,O
ITZSJLO,X,X,X,O,O,X,O,X,O,O,O
ITZSJOL,X,X,X,O,O,X,O,X,O,O,O
ITZSOLJ,X,X,X,X,O,X,O,X,O,X,O
ITZSOJL,X,X,X,O,O,X,O,X,O,X,O
ITZOLJS,X,X,O,X,X,X,O,X,X,O,O
ITZOLSJ,X,X,O,X,O,X,O,X,X,X,O
ITZOJLS,X,X,O,O,O,X,O,X,O,O,O
ITZOJSL,X,X,O,O,O,X,O,X,O,O,O
ITZOSLJ,X,X,X,X,O,X,O,X,O,X,O
ITZOSJL,X,X,O,O,O,X,O,X,O,X,O
ITOLJSZ,X,X,O,X,X,O,O,X,X,O,X
ITOLJZS,X,X,O,X,X,X,O,X,X,O,O
ITOLSJZ,X,X,O,X,X,O,O,X,X,X,X
ITOLSZJ,X,X,O,X,X,O,O,X,X,X,O
ITOLZJS,X,X,O,X,X,X,O,X,X,O,O
ITOLZSJ,X,X,O,X,X,O,O,X,X,X,O
ITOJLSZ,X,X,O,X,X,O,O,X,X,O,X
ITOJLZS,X,X,O,X,X,X,O,X,X,O,O
ITOJSLZ,X,X,X,X,X,O,X,X,X,O,X
ITOJSZL,X,X,O,X,X,O,X,X,X,O,X
ITOJZLS,X,X,O,X,X,X,O,X,X,O,O
ITOJZSL,X,X,O,X,X,X,O,X,X,O,O
ITOSLJZ,X,X,X,X,X,O,O,X,X,X,X
ITOSLZJ,X,X,X,X,X,O,O,X,O,X,O
ITOSJLZ,X,X,X,X,X,O,X,X,X,X,X
ITOSJZL,X,X,O,X,X,O,X,X,X,X,X
ITOSZLJ,X,X,X,X,X,O,O,X,O,X,O
ITOSZJL,X,X,O,X,X,O,O,X,O,X,O
ITOZLJS,X,X,O,X,X,X,O,X,X,O,O
ITOZLSJ,X,X,O,X,O,O,O,X,X,X,O
ITOZJLS,X,X,O,X,O,X,O,X,O,O,O
ITOZJSL,X,X,O,X,O,X,O,X,O,O,O
ITOZSLJ,X,X,X,X,O,O,O,X,O,X,O
ITOZSJL,X,X,O,X,O,O,O,X,O,X,O
ILTJSZO,X,X,O,O,O,X,O,X,X,O,X
ILTJSOZ,X,X,X,O,O,X,O,X,X,O,X
ILTJZSO,X,X,O,O,X,X,O,X,X,O,O
ILTJZOS,X,X,O,O,X,X,O,X,X,O,O
ILTJOSZ,X,X,O,O,X,X,O,X,X,O,X
ILTJOZS,X,X,O,O,X,X,O,X,X,O,X
ILTSJZO,X,X,O,O,O,X,O,X,O,O,X
ILTSJOZ,X,X,X,O,O,X,O,X,X,O,X
ILTSZJO,X,X,O,O,X,X,O,X,O,O,O
ILTSZOJ,X,X,X,O,X,X,O,X,O,X,X
ILTSOJZ,X,X,X,X,X,X,O,X,X,X,X
ILTSOZJ,X,X,X,X,X,X,O,X,O,X,X
ILTZJSO,O,X,O,O,X,X,O,X,O,O,O
ILTZJOS,O,X,O,O,X,X,O,X,O,O,O
ILTZSJO,O,X,O,O,X,X,O,X,O,O,O
ILTZSOJ,O,X,X,O,X,X,O,X,O,X,X
ILTZOJS,O,X,O,O,X,X,O,X,X,O,O
ILTZOSJ,O,X,X,O,X,X,O,X,X,X,O
ILTOJSZ,O,X,O,X,X,X,O,X,X,O,X
ILTOJZS,O,X,O,X,X,X,O,X,X,O,O
ILTOSJZ,O,X,O,X,X,X,O,X,X,X,X
ILTOSZJ,O,X,O,X,X,X,O,X,X,X,O
ILTOZJS,O,X,O,X,X,X,O,X,X,O,O
ILTOZSJ,O,X,O,X,X,X,O,X,X,X,O
ILJTSZO,X,X,O,O,X,X,O,X,X,O,X
ILJTSOZ,X,X,X,O,X,X,O,X,X,O,X
ILJTZSO,X,X,O,O,X,X,O,X,X,O,X
ILJTZOS,X,X,O,O,X,X,O,X,X,O,X
ILJTOSZ,X,X,X,O,X,X,O,X,X,O,X
ILJTOZS,X,X,O,O,X,X,O,X,X,O,X
ILJSTZO,X,X,X,O,X,X,O,X,O,X,X
ILJSTOZ,X,X,X,O,X,X,O,X,X,X,X
ILJSZTO,X,X,X,O,X,X,O,X,O,X,X
