sequence,v115@EhC8HeB8HeE8EeB8Jex/IvhFlhBTkB/qB6sBmrBUrB,v115@EhC8HeB8HeE8EeB8Jex/IvhFlhBTkBmlBXnB0qBSxB,v115@EhC8HeB8HeE8EeB8Jei/IvhF3gB1pBxmBUnBzqBWxB,v115@EhC8HeB8HeE8EeB8JeT/IvhFlgBUiBypBXmBGsBRwB,v115@EhC8HeB8HeE8EeB8JeOEJvhF8kBRhB3lBCnBVwBTsB,v115@EhC8HeB8HeE8EeB8Jex/IvhFylBTkBGnB3mB0qBVxB,v115@EhC8HeB8HeE8EeB8Jei/IvhFzgBUiB3kBWsBlqBxwB,v115@EhC8HeB8HeE8EeB8Jex/IvhFTkB/qBFmB8rB+sBirB,v115@EhC8HeB8HeE8EeB8JeOEJvhF8kBzgBqmB/nBlqBxwB,v115@EhC8HeB8HeE8EeB8JeKEJvhFzfBWmB/nB0mBlqBxwB,v115@EhC8HeB8HeE8EeB8Jem/IvhFChB/nBTkB0mBlqBxwB
TSJOZLI,X,X,O,X,O,O,X,O,X,X,X
TSZILJO,X,X,X,X,O,X,X,X,X,X,X
TSZILOJ,X,X,X,X,O,X,X,X,X,X,X
TSZIJLO,X,X,X,X,O,X,X,X,X,X,X
TSZIJOL,X,X,X,X,O,X,X,X,X,X,X
TSZIOLJ,X,X,X,X,O,X,X,X,X,X,X
TSZIOJL,X,X,X,X,O,X,X,X,X,X,X
TSZLIJO,X,X,X,X,O,X,X,X,X,X,X
TSZLIOJ,X,X,X,X,O,X,X,X,X,X,X
TSZLJIO,X,X,O,X,O,X,X,X,X,X,X
TSZLJOI,X,X,X,X,O,O,X,X,X,X,X
TSZLOIJ,X,X,O,X,O,O,X,X,X,X,X
TSZLOJI,X,X,O,X,O,O,X,X,X,X,X
TSZJILO,X,X,O,X,O,X,X,X,X,X,X
TSZJIOL,X,X,X,X,O,X,X,X,X,X,X
TSZJLIO,X,X,O,X,O,X,X,X,X,X,X
TSZJLOI,X,X,X,X,O,O,X,X,X,X,X
TSZJOIL,X,X,X,X,O,O,X,X,X,X,X
TSZJOLI,X,X,X,X,O,O,X,X,X,X,X
TSZOILJ,X,X,O,X,O,O,X,X,X,X,X
TSZOIJL,X,X,X,X,O,O,X,X,X,X,X
TSZOLIJ,X,X,O,X,O,O,X,X,X,X,X
TSZOLJI,X,X,O,X,O,O,X,X,X,X,X
TSZOJIL,X,X,O,X,O,O,X,X,X,X,X
TSZOJLI,X,X,O,X,O,O,X,X,X,X,X
TSOILJZ,O,X,O,X,O,X,X,X,X,X,X
TSOILZJ,O,X,O,X,O,X,X,X,X,X,X
TSOIJLZ,O,X,O,X,X,X,X,X,X,X,X
TSOIJZL,O,X,O,X,O,O,X,O,X,X,X
TSOIZLJ,X,X,O,X,O,O,X,X,X,X,X
TSOIZJL,X,X,X,X,O,O,X,X,X,X,X
TSOLIJZ,O,X,O,X,O,X,X,X,X,X,X
TSOLIZJ,O,X,O,X,O,X,X,X,X,X,X
TSOLJIZ,O,X,O,X,O,X,X,X,X,X,X
TSOLJZI,O,X,O,X,O,X,X,X,X,X,X
TSOLZIJ,O,X,O,X,O,X,X,X,X,X,X
TSOLZJI,X,X,O,X,O,X,X,X,X,X,X
TSOJILZ,O,X,O,X,X,X,X,X,X,X,X
TSOJIZL,O,X,O,X,O,O,X,O,X,X,X
TSOJLIZ,O,X,O,X,O,X,X,X,X,X,X
TSOJLZI,X,X,O,X,O,X,X,X,X,X,X
TSOJZIL,O,X,O,X,O,O,X,O,X,X,X
TSOJZLI,X,X,O,X,O,O,X,O,X,X,X
TSOZILJ,X,X,O,X,O,O,X,X,X,X,X
TSOZIJL,X,X,X,X,O,O,X,X,X,X,X
TSOZLIJ,X,X,O,X,O,O,X,X,X,X,X
TSOZLJI,X,X,O,X,O,O,X,X,X,X,X
TSOZJIL,X,X,O,X,O,O,X,X,X,X,X
TSOZJLI,X,X,O,X,O,O,X,X,X,X,X
TZILJSO,X,X,X,X,O,X,X,X,O,X,X
TZILJOS,X,X,X,X,O,O,X,X,X,X,X
TZILSJO,X,X,X,X,O,X,X,X,O,X,X
TZILSOJ,X,X,X,X,X,X,X,X,O,X,X
TZILOJS,X,X,X,X,O,O,X,X,X,X,X
TZILOSJ,X,X,X,X,X,O,X,X,X,X,X
TZIJLSO,X,X,X,X,O,X,X,X,O,X,X
TZIJLOS,X,X,X,X,O,O,X,X,X,X,X
TZIJSLO,X,X,X,X,X,X,X,X,O,X,X
TZIJSOL,X,X,X,X,X,X,X,X,O,X,X
TZIJOLS,X,X,X,X,X,O,X,X,X,X,X
TZIJOSL,X,X,X,X,X,O,X,X,O,X,X
TZISLJO,X,X,X,X,X,X,X,X,O,X,X
TZISLOJ,X,X,X,X,X,X,X,X,O,X,X
TZISJLO,X,X,X,X,X,X,X,X,O,X,X
TZISJOL,X,X,X,X,X,X,X,X,O,X,X
TZISOLJ,X,X,X,X,X,X,X,X,O,X,X
TZISOJL,X,X,X,X,X,X,X,X,O,X,X
TZIOLJS,X,X,X,X,X,O,X,X,X,X,X
TZIOLSJ,X,X,X,X,X,O,X,X,X,X,X
TZIOJLS,X,X,X,X,X,O,X,X,X,X,X
TZIOJSL,X,X,X,X,X,O,X,X,O,X,X
TZIOSLJ,X,X,X,X,X,O,X,X,O,X,X
TZIOSJL,X,X,X,X,X,O,X,X,O,X,X
TZLIJSO,X,X,X,X,O,X,X,X,X,X,X
TZLIJOS,X,X,X,X,O,O,X,X,X,X,X
TZLISJO,X,X,X,X,O,X,X,X,X,X,X
TZLISOJ,X,X,X,X,O,X,X,X,X,X,X
TZLIOJS,X,X,X,X,O,O,X,X,X,X,X
TZLIOSJ,X,X,X,X,X,O,X,X,X,X,X
TZLJISO,X,O,O,X,O,X,X,X,X,X,X
TZLJIOS,X,O,X,X,O,O,X,X,X,X,X
TZLJSIO,X,O,O,X,O,X,X,X,X,X,X
TZLJSOI,X,O,X,X,X,O,X,X,X,X,X
TZLJOIS,X,O,O,X,O,O,X,X,X,X,X
TZLJOSI,X,O,O,X,X,O,X,X,X,X,X
TZLSIJO,X,O,X,X,O,X,X,X,X,X,X
TZLSIOJ,X,O,X,X,O,X,X,X,X,X,X
TZLSJIO,X,O,O,X,O,X,X,X,X,X,X
TZLSJOI,X,O,X,X,O,O,X,X,X,X,X
TZLSOIJ,X,O,O,X,O,O,X,X,X,X,X
TZLSOJI,X,O,O,X,O,O,X,X,X,X,X
TZLOIJS,X,O,X,X,O,O,X,X,X,X,X
TZLOISJ,X,O,O,X,X,O,X,X,X,X,X
TZLOJIS,X,O,O,X,O,O,X,X,X,X,X
TZLOJSI,X,O,O,X,X,O,X,X,X,X,X
TZLOSIJ,X,O,O,X,X,O,X,X,X,X,X
TZLOSJI,X,O,O,X,X,O,X,X,X,X,X
TZJILSO,X,O,O,X,O,X,X,X,O,X,X
TZJILOS,X,O,X,X,O,O,X,X,X,X,X
TZJISLO,X,O,O,X,X,X,X,X,O,X,X
TZJISOL,X,O,X,X,X,X,X,X,O,X,X
TZJIOLS,X,O,X,X,X,O,X,X,X,X,X
TZJIOSL,X,O,X,X,X,O,X,X,O,X,X
TZJLISO,X,O,O,X,O,X,X,X,X,X,X
TZJLIOS,X,O,X,X,O,O,X,X,X,X,X
TZJLSIO,X,O,O,X,O,X,X,X,X,X,X
TZJLSOI,X,O,X,X,X,O,X,X,X,X,X
TZJLOIS,X,O,O,X,O,O,X,X,X,X,X
TZJLOSI,X,O,O,X,X,O,X,X,X,X,X
TZJSILO,X,O,O,X,O,X,X,X,X,X,X
TZJSIOL,X,O,X,X,O,X,X,X,X,X,X
TZJSLIO,X,X,O,X,O,X,X,X,X,X,X
TZJSLOI,X,X,X,X,O,O,X,X,X,X,X
TZJSOIL,X,O,X,X,O,O,X,X,X,X,X
TZJSOLI,X,X,X,X,O,O,X,X,X,X,X
TZJOILS,X,O,O,X,X,O,X,X,X,X,X
TZJOISL,X,O,O,X,X,O,X,X,X,X,X
TZJOLIS,X,O,O,X,O,O,X,X,X,X,X
TZJOLSI,X,O,O,X,X,O,X,X,X,X,X
TZJOSIL,X,O,O,X,X,O,X,X,X,X,X
TZJOSLI,X,X,O,X,X,O,X,X,X,X,X
TZSILJO,X,X,X,X,O,X,X,X,X,X,X
TZSILOJ,X,X,X,X,O,X,X,X,X,X,X
TZSIJLO,X,X,X,X,O,X,X,X,X,X,X
TZSIJOL,X,X,X,X,O,X,X,X,X,X,X
TZSIOLJ,X,X,X,X,O,X,X,X,X,X,X
TZSIOJL,X,X,X,X,O,X,X,X,X,X,X
TZSLIJO,X,X,X,X,O,X,X,X,X,X,X
TZSLIOJ,X,X,X,X,O,X,X,X,X,X,X
TZSLJIO,X,X,O,X,O,X,X,X,X,X,X
TZSLJOI,X,X,X,X,O,O,X,X,X,X,X
TZSLOIJ,X,X,O,X,O,O,X,X,X,X,X
TZSLOJI,X,X,O,X,O,O,X,X,X,X,X
TZSJILO,X,X,O,X,O,X,X,X,X,X,X
TZSJIOL,X,X,X,X,O,X,X,X,X,X,X
TZSJLIO,X,X,O,X,O,X,X,X,X,X,X
TZSJLOI,X,X,X,X,O,O,X,X,X,X,X
TZSJOIL,X,X,X,X,O,O,X,X,X,X,X
TZSJOLI,X,X,X,X,O,O,X,X,X,X,X
TZSOILJ,X,X,O,X,O,O,X,X,X,X,X
TZSOIJL,X,X,X,X,O,O,X,X,X,X,X
TZSOLIJ,X,X,O,X,O,O,X,X,X,X,X
TZSOLJI,X,X,O,X,O,O,X,X,X,X,X
TZSOJIL,X,X,O,X,O,O,X,X,X,X,X
TZSOJLI,X,X,O,X,O,O,X,X,X,X,X
TZOILJS,X,O,X,X,X,O,X,X,X,X,X
TZOILSJ,X,O,O,X,X,O,X,X,X,X,X
TZOIJLS,X,O,X,X,X,O,X,X,X,X,X
TZOIJSL,X,O,X,X,X,O,X,X,X,X,X
TZOISLJ,X,X,O,X,X,O,X,X,X,X,X
TZOISJL,X,X,X,X,X,O,X,X,X,X,X
TZOLIJS,X,O,X,X,O,O,X,X,X,X,X
TZOLISJ,X,O,O,X,X,O,X,X,X,X,X
TZOLJIS,X,O,O,X,O,O,X,X,X,X,X
TZOLJSI,X,O,O,X,X,O,X,X,X,X,X
TZOLSIJ,X,O,O,X,X,O,X,X,X,X,X
TZOLSJI,X,O,O,X,X,O,X,X,X,X,X
TZOJILS,X,O,O,X,X,O,X,X,X,X,X
TZOJISL,X,O,O,X,X,O,X,X,X,X,X
TZOJLIS,X,O,O,X,O,O,X,X,X,X,X
TZOJLSI,X,O,O,X,X,O,X,X,X,X,X
TZOJSIL,X,O,O,X,X,O,X,X,X,X,X
TZOJSLI,X,X,O,X,X,O,X,X,X,X,X
TZOSILJ,X,X,O,X,O,O,X,X,X,X,X
TZOSIJL,X,X,X,X,O,O,X,X,X,X,X
TZOSLIJ,X,X,O,X,O,O,X,X,X,X,X
TZOSLJI,X,X,O,X,O,O,X,X,X,X,X
TZOSJIL,X,X,O,X,O,O,X,X,X,X,X
TZOSJLI,X,X,O,X,O,O,X,X,X,X,X
TOILJSZ,O,X,O,X,X,X,X,X,X,X,O
TOILJZS,O,X,O,X,X,O,X,X,X,X,X
TOILSJZ,O,O,O,X,X,X,X,X,X,X,O
TOILSZJ,O,O,O,X,X,X,X,X,X,X,O
TOILZJS,O,O,X,X,X,O,X,X,X,X,X
TOILZSJ,O,O,O,X,X,O,X,X,X,X,X
TOIJLSZ,O,X,O,X,X,X,X,X,X,X,O
TOIJLZS,O,X,O,X,X,O,X,X,X,X,X
TOIJSLZ,O,X,O,X,X,X,X,X,X,X,O
TOIJSZL,O,X,O,X,X,O,X,O,X,X,O
TOIJZLS,O,X,O,X,X,O,X,X,X,X,X
TOIJZSL,O,X,O,X,X,O,X,O,X,X,O
TOISLJZ,O,X,O,X,O,X,X,X,X,X,O
TOISLZJ,O,X,O,X,O,X,X,X,X,X,O
TOISJLZ,O,X,O,X,X,X,X,X,X,X,O
TOISJZL,O,X,O,X,O,O,X,O,X,X,O
TOISZLJ,X,X,O,X,O,O,X,X,X,X,O
TOISZJL,X,X,X,X,O,O,X,X,X,X,O
TOIZLJS,X,O,X,X,X,O,X,X,X,X,X
TOIZLSJ,X,O,O,X,X,O,X,X,X,X,X
TOIZJLS,X,O,X,X,X,O,X,X,X,X,X
TOIZJSL,X,O,X,X,X,O,X,X,X,X,O
TOIZSLJ,X,X,O,X,X,O,X,X,X,X,O
TOIZSJL,X,X,X,X,X,O,X,X,X,X,O
TOLIJSZ,O,X,O,X,X,X,X,X,X,X,X
TOLIJZS,O,X,O,X,X,O,X,X,X,X,X
TOLISJZ,O,O,O,X,X,X,X,X,X,X,X
TOLISZJ,O,O,O,X,O,X,X,X,X,X,X
TOLIZJS,O,O,X,X,O,O,X,X,X,X,X
TOLIZSJ,O,O,O,X,X,O,X,X,X,X,X
TOLJISZ,O,X,O,X,X,X,X,X,X,X,X
TOLJIZS,O,X,O,X,X,O,X,X,X,X,X
TOLJSIZ,O,X,O,X,X,X,X,X,X,X,X
TOLJSZI,O,X,O,X,X,X,X,X,X,X,X
TOLJZIS,O,X,O,X,O,O,X,X,X,X,X
TOLJZSI,O,X,O,X,X,O,X,X,X,X,X
TOLSIJZ,O,O,O,X,O,X,X,X,X,X,X
TOLSIZJ,O,O,O,X,O,X,X,X,X,X,X
TOLSJIZ,O,O,O,X,O,X,X,X,X,X,X
TOLSJZI,O,O,O,X,O,X,X,X,X,X,X
TOLSZIJ,O,O,O,X,O,X,X,X,X,X,X
TOLSZJI,X,O,O,X,O,X,X,X,X,X,X
TOLZIJS,O,O,X,X,O,O,X,X,X,X,X
TOLZISJ,O,O,O,X,X,O,X,X,X,X,X
TOLZJIS,O,O,O,X,O,O,X,X,X,X,X
TOLZJSI,O,O,O,X,X,O,X,X,X,X,X
TOLZSIJ,O,O,O,X,X,O,X,X,X,X,X
TOLZSJI,X,O,O,X,X,O,X,X,X,X,X
TOJILSZ,O,X,O,X,X,X,X,X,X,X,O
TOJILZS,O,X,O,X,X,O,X,X,X,X,X
TOJISLZ,O,X,O,X,X,X,X,X,X,X,O
TOJISZL,O,X,O,X,X,O,X,O,X,X,O
TOJIZLS,O,X,O,X,X,O,X,X,X,X,X
TOJIZSL,O,X,O,X,X,O,X,O,X,X,O
TOJLISZ,O,X,O,X,X,X,X,X,X,X,X
TOJLIZS,O,X,O,X,X,O,X,X,X,X,X
TOJLSIZ,O,X,O,X,X,X,X,X,X,X,X
TOJLSZI,X,X,O,X,X,X,X,X,X,X,X
TOJLZIS,X,X,O,X,O,O,X,X,X,X,X
TOJLZSI,X,X,O,X,X,O,X,X,X,X,X
TOJSILZ,O,X,O,X,X,X,X,X,X,X,X
TOJSIZL,O,X,O,X,O,O,X,O,X,X,X
TOJSLIZ,O,X,O,X,O,X,X,X,X,X,X
TOJSLZI,X,X,O,X,O,X,X,X,X,X,X
TOJSZIL,O,X,O,X,O,O,X,O,X,X,X
TOJSZLI,X,X,O,X,O,O,X,O,X,X,X
TOJZILS,O,X,O,X,X,O,X,X,X,X,X
TOJZISL,O,X,O,X,X,O,X,O,X,X,X
TOJZLIS,X,X,O,X,O,O,X,X,X,X,X
TOJZLSI,X,X,O,X,X,O,X,X,X,X,X
TOJZSIL,O,X,O,X,X,O,X,O,X,X,X
TOJZSLI,X,X,O,X,X,O,X,O,X,X,X
TOSILJZ,O,X,O,X,O,X,X,X,X,X,X
TOSILZJ,O,X,O,X,O,X,X,X,X,X,X
TOSIJLZ,O,X,O,X,X,X,X,X,X,X,X
TOSIJZL,O,X,O,X,O,O,X,O,X,X,X
TOSIZLJ,X,X,O,X,O,O,X,X,X,X,X
TOSIZJL,X,X,X,X,O,O,X,X,X,X,X
TOSLIJZ,O,X,O,X,O,X,X,X,X,X,X
TOSLIZJ,O,X,O,X,O,X,X,X,X,X,X
TOSLJIZ,O,X,O,X,O,X,X,X,X,X,X
TOSLJZI,O,X,O,X,O,X,X,X,X,X,X
TOSLZIJ,O,X,O,X,O,X,X,X,X,X,X
TOSLZJI,X,X,O,X,O,X,X,X,X,X,X
TOSJILZ,O,X,O,X,X,X,X,X,X,X,X
TOSJIZL,O,X,O,X,O,O,X,O,X,X,X
TOSJLIZ,O,X,O,X,O,X,X,X,X,X,X
TOSJLZI,X,X,O,X,O,X,X,X,X,X,X
TOSJZIL,O,X,O,X,O,O,X,O,X,X,X
TOSJZLI,X,X,O,X,O,O,X,O,X,X,X
TOSZILJ,X,X,O,X,O,O,X,X,X,X,X
TOSZIJL,X,X,X,X,O,O,X,X,X,X,X
TOSZLIJ,X,X,O,X,O,O,X,X,X,X,X
TOSZLJI,X,X,O,X,O,O,X,X,X,X,X
TOSZJIL,X,X,O,X,O,O,X,X,X,X,X
TOSZJLI,X,X,O,X,O,O,X,X,X,X,X
TOZILJS,X,O,X,X,X,O,X,X,X,X,X
TOZILSJ,X,O,O,X,X,O,X,X,X,X,X
TOZIJLS,X,O,X,X,X,O,X,X,X,X,X
TOZIJSL,X,O,X,X,X,O,X,X,X,X,X
TOZISLJ,X,X,O,X,X,O,X,X,X,X,X
TOZISJL,X,X,X,X,X,O,X,X,X,X,X
TOZLIJS,X,O,X,X,O,O,X,X,X,X,X
TOZLISJ,X,O,O,X,X,O,X,X,X,X,X
TOZLJIS,X,O,O,X,O,O,X,X,X,X,X
TOZLJSI,X,O,O,X,X,O,X,X,X,X,X
TOZLSIJ,X,O,O,X,X,O,X,X,X,X,X
TOZLSJI,X,O,O,X,X,O,X,X,X,X,X
TOZJILS,X,O,O,X,X,O,X,X,X,X,X
TOZJISL,X,O,O,X,X,O,X,X,X,X,X
TOZJLIS,X,O,O,X,O,O,X,X,X,X,X
TOZJLSI,X,O,O,X,X,O,X,X,X,X,X
TOZJSIL,X,O,O,X,X,O,X,X,X,X,X
TOZJSLI,X,X,O,X,X,O,X,X,X,X,X
TOZSILJ,X,X,O,X,O,O,X,X,X,X,X
TOZSIJL,X,X,X,X,O,O,X,X,X,X,X
TOZSLIJ,X,X,O,X,O,O,X,X,X,X,X
TOZSLJI,X,X,O,X,O,O,X,X,X,X,X
TOZSJIL,X,X,O,X,O,O,X,X,X,X,X
TOZSJLI,X,X,O,X,O,O,X,X,X,X,X
ITLJSZO,X,X,O,O,O,X,O,X,X,O,O
ITLJSOZ,X,X,O,O,X,X,O,X,X,O,O
ITLJZSO,X,X,O,O,O,X,O,X,X,O,X
ITLJZOS,X,X,X,O,O,X,O,X,X,O,X
ITLJOSZ,X,X,O,O,X,X,O,X,X,O,X
ITLJOZS,X,X,O,O,X,X,O,X,X,O,X
ITLSJZO,X,X,O,O,O,X,O,X,O,O,O
ITLSJOZ,X,X,O,O,X,X,O,X,O,O,O
ITLSZJO,X,X,X,O,O,X,O,X,O,O,O
ITLSZOJ,X,X,X,O,O,X,O,X,O,O,O
ITLSOJZ,X,X,O,O,X,X,O,X,O,O,O
ITLSOZJ,X,X,O,O,O,X,O,X,O,O,O
ITLZJSO,X,X,X,O,O,X,X,X,O,O,X
ITLZJOS,X,X,X,O,O,X,X,X,X,O,X
ITLZSJO,X,X,X,O,O,X,X,X,O,O,X
ITLZSOJ,X,X,X,O,O,X,X,X,O,O,X
ITLZOJS,X,X,X,O,O,X,X,X,X,O,X
ITLZOSJ,X,X,X,O,X,X,X,X,X,O,X
ITLOJSZ,X,X,O,O,X,X,O,X,X,O,O
ITLOJZS,X,X,O,O,X,X,O,X,X,O,X
ITLOSJZ,X,X,O,O,X,X,O,X,X,O,O
ITLOSZJ,X,X,O,O,O,X,O,X,X,O,O
ITLOZJS,X,X,X,O,O,X,X,X,X,O,X
ITLOZSJ,X,X,O,O,X,X,X,X,X,O,X
ITJLSZO,X,X,O,O,X,X,O,X,X,O,O
ITJLSOZ,X,X,O,O,X,X,O,X,X,O,O
ITJLZSO,X,X,O,O,O,X,O,X,X,O,X
ITJLZOS,X,X,X,O,O,X,O,X,X,O,X
ITJLOSZ,X,X,O,O,X,X,O,X,X,O,X
ITJLOZS,X,X,O,O,X,X,O,X,X,O,X
ITJSLZO,X,X,O,O,X,X,O,X,O,O,O
ITJSLOZ,X,X,O,O,X,X,O,X,O,O,O
ITJSZLO,X,X,O,O,X,X,O,X,O,O,O
ITJSZOL,X,X,X,O,X,X,O,X,O,X,X
ITJSOLZ,X,X,O,O,X,X,O,X,X,O,O
ITJSOZL,X,X,X,O,X,X,O,X,X,X,O
ITJZLSO,X,X,O,O,O,X,O,X,O,O,X
ITJZLOS,X,X,X,O,O,O,O,X,X,O,X
ITJZSLO,X,X,O,O,X,X,O,X,O,O,O
ITJZSOL,X,X,X,O,X,X,O,X,O,X,X
ITJZOLS,X,X,X,X,X,O,O,X,X,X,X
ITJZOSL,X,X,X,X,X,O,O,X,O,X,X
ITJOLSZ,X,X,O,X,X,X,O,X,X,O,O
ITJOLZS,X,X,O,X,X,O,O,X,X,O,X
ITJOSLZ,X,X,O,X,X,X,O,X,X,O,O
ITJOSZL,X,X,O,X,X,O,O,X,X,X,O
ITJOZLS,X,X,O,X,X,O,O,X,X,X,X
ITJOZSL,X,X,O,X,X,O,O,X,X,X,O
ITSLJZO,X,X,O,O,O,X,O,X,O,O,O
ITSLJOZ,X,X,O,O,X,X,O,X,O,O,O
ITSLZJO,X,X,X,O,O,X,O,X,O,O,O
ITSLZOJ,X,X,X,O,O,X,O,X,O,O,O
ITSLOJZ,X,X,O,O,X,X,O,X,O,O,O
ITSLOZJ,X,X,O,O,O,X,O,X,O,O,O
ITSJLZO,X,X,O,O,X,X,O,X,O,O,O
ITSJLOZ,X,X,O,O,X,X,O,X,O,O,O
ITSJZLO,X,X,O,O,O,X,O,X,O,O,O
ITSJZOL,X,X,X,X,O,X,O,X,O,X,X
ITSJOLZ,X,X,O,X,X,X,O,X,X,O,O
ITSJOZL,X,X,X,X,X,X,O,X,X,X,O
ITSZLJO,X,X,X,O,O,X,O,X,O,O,O
ITSZLOJ,X,X,X,O,O,X,O,X,O,O,O
ITSZJLO,X,X,X,O,O,X,O,X,O,O,O
ITSZJOL,X,X,X,X,O,X,O,X,O,X,O
ITSZOLJ,X,X,X,O,O,X,O,X,O,X,O
ITSZOJL,X,X,X,X,O,X,O,X,O,X,O
ITSOLJZ,X,X,O,O,O,X,O,X,O,O,O
ITSOLZJ,X,X,O,O,O,X,O,X,O,O,O
ITSOJLZ,X,X,O,X,X,X,O,X,X,O,O
ITSOJZL,X,X,O,X,O,X,O,X,X,X,O
ITSOZLJ,X,X,O,O,O,X,O,X,O,X,O
ITSOZJL,X,X,X,X,O,X,O,X,O,X,O
ITZLJSO,X,X,X,X,O,X,X,X,O,O,X
ITZLJOS,X,X,X,X,O,O,X,X,X,O,X
ITZLSJO,X,X,X,X,O,X,X,X,O,O,X
ITZLSOJ,X,X,X,X,X,X,X,X,O,O,X
ITZLOJS,X,X,X,X,O,O,X,X,X,O,X
ITZLOSJ,X,X,X,X,X,O,X,X,X,O,X
ITZJLSO,X,X,X,X,O,X,O,X,O,O,X
ITZJLOS,X,X,X,X,O,O,O,X,X,O,X
ITZJSLO,X,X,X,X,X,X,O,X,O,O,O
ITZJSOL,X,X,X,X,X,X,O,X,O,X,X
ITZJOLS,X,X,X,X,X,O,O,X,X,X,X
ITZJOSL,X,X,X,X,X,O,O,X,O,X,X
ITZSLJO,X,X,X,X,X,X,O,X,O,O,O
ITZSLOJ,X,X,X,X,X,X,O,X,O,O,O
ITZSJLO,X,X,X,X,X,X,O,X,O,O,O
ITZSJOL,X,X,X,X,X,X,O,X,O,X,X
ITZSOLJ,X,X,X,X,X,X,O,X,O,X,O
ITZSOJL,X,X,X,X,X,X,O,X,O,X,O
ITZOLJS,X,X,X,X,X,O,X,X,X,X,X
ITZOLSJ,X,X,X,X,X,O,X,X,X,X,X
ITZOJLS,X,X,X,X,X,O,O,X,X,X,X
ITZOJSL,X,X,X,X,X,O,O,X,O,X,O
ITZOSLJ,X,X,X,X,X,O,O,X,O,X,O
ITZOSJL,X,X,X,X,X,O,O,X,O,X,O
ITOLJSZ,X,X,O,X,X,X,O,X,X,O,O
ITOLJZS,X,X,O,X,X,O,O,X,X,O,X
ITOLSJZ,X,X,O,X,X,X,O,X,X,O,O
ITOLSZJ,X,X,O,X,X,X,O,X,X,O,O
ITOLZJS,X,X,X,X,X,O,X,X,X,O,X
ITOLZSJ,X,X,O,X,X,O,X,X,X,O,X
ITOJLSZ,X,X,O,X,X,X,O,X,X,O,O
ITOJLZS,X,X,O,X,X,O,O,X,X,O,X
ITOJSLZ,X,X,O,X,X,X,O,X,X,O,O
ITOJSZL,X,X,O,X,X,O,O,X,X,X,O
ITOJZLS,X,X,O,X,X,O,O,X,X,X,X
ITOJZSL,X,X,O,X,X,O,O,X,X,X,O
ITOSLJZ,X,X,O,X,O,X,O,X,O,O,O
ITOSLZJ,X,X,O,X,O,X,O,X,O,O,O
ITOSJLZ,X,X,O,X,X,X,O,X,X,O,O
ITOSJZL,X,X,O,X,O,O,O,X,X,X,O
ITOSZLJ,X,X,O,X,O,O,O,X,O,X,O
ITOSZJL,X,X,X,X,O,O,O,X,O,X,O
ITOZLJS,X,X,X,X,X,O,X,X,X,X,X
ITOZLSJ,X,X,O,X,X,O,X,X,X,X,X
ITOZJLS,X,X,X,X,X,O,O,X,X,X,X
ITOZJSL,X,X,X,X,X,O,O,X,O,X,O
ITOZSLJ,X,X,O,X,X,O,O,X,O,X,O
ITOZSJL,X,X,X,X,X,O,O,X,O,X,O
ILTJSZO,O,X,X,O,X,X,O,X,X,O,O
ILTJSOZ,O,X,X,O,X,X,O,X,X,O,O
ILTJZSO,X,X,X,O,X,X,O,X,X,O,X
ILTJZOS,X,X,X,O,X,X,O,X,X,O,X
ILTJOSZ,O,X,X,O,X,X,O,X,X,O,X
ILTJOZS,O,X,X,O,X,X,O,X,X,O,X
ILTSJZO,O,X,X,O,X,X,O,X,O,O,O
ILTSJOZ,O,X,X,O,X,X,O,X,O,O,O
ILTSZJO,O,X,X,O,X,X,O,X,O,O,O
ILTSZOJ,O,X,X,O,X,X,O,X,O,O,O
ILTSOJZ,O,X,X,O,X,X,O,X,O,O,O
ILTSOZJ,O,X,X,O,X,X,O,X,O,O,O
ILTZJSO,X,X,X,O,X,X,X,X,O,O,X
ILTZJOS,X,X,X,O,X,X,X,X,X,O,X
ILTZSJO,X,X,X,O,X,X,X,X,O,O,X
ILTZSOJ,X,X,X,O,X,X,X,X,O,O,X
ILTZOJS,X,X,X,O,X,X,X,X,X,O,X
ILTZOSJ,X,X,X,O,X,X,X,X,X,O,X
ILTOJSZ,O,X,X,O,X,X,O,X,X,O,O
ILTOJZS,O,X,X,O,X,X,O,X,X,O,X
ILTOSJZ,O,X,X,O,X,X,O,X,X,O,O
ILTOSZJ,O,X,X,O,X,X,O,X,X,O,O
ILTOZJS,O,X,X,O,X,X,X,X,X,O,X
ILTOZSJ,O,X,X,O,X,X,X,X,X,O,X
ILJTSZO,O,X,X,O,X,X,O,X,X,O,X
ILJTSOZ,O,X,X,O,X,X,O,X,X,O,X
ILJTZSO,X,X,X,O,X,X,O,X,X,O,X
ILJTZOS,X,X,X,O,X,X,O,X,X,O,X
ILJTOSZ,O,X,X,O,X,X,O,X,X,O,X
ILJTOZS,O,X,X,O,X,X,O,X,X,O,X
ILJSTZO,O,X,X,O,X,X,O,X,O,O,X
ILJSTOZ,O,X,X,O,X,X,O,X,X,O,X
ILJSZTO,O,X,X,O,X,X,O,X,O,X,X
ILJSZOT,X,X,X,O,X,X,O,X,O,X,X
ILJSOTZ,O,X,X,O,X,X,O,X,X,O,X
ILJSOZT,O,X,X,O,X,X,O,X,O,X,X
ILJZTSO,X,X,X,O,X,X,O,X,O,X,X
ILJZTOS,X,X,X,O,X,X,O,X,X,X,X
