sequence,v115@RhC8AeA8DeG8CeA8JeT/IvhF/lBRhBGjB0mBlnByxB,v115@RhC8AeA8DeG8CeA8Je2EJvhFRgBFiBTjBCmBftBUsB,v115@RhC8AeA8DeG8CeA8JeT/IvhFxgB8mBGjBllB3nByxB,v115@RhC8AeA8DeG8CeA8JeT/IvhFxgB8mBCjBllBXoB2xB,v115@RhC8AeA8DeG8CeA8JeT/IvhFxgBcoBllBfsB6sBmsB
TJLIZOS,O,O,O,X,X
TJLIOSZ,O,O,O,X,X
TJLIOZS,O,O,O,X,X
TJLSIZO,O,O,O,O,X
TJLSIOZ,O,O,O,O,X
TJLSZIO,O,O,O,O,X
TJLSZOI,O,O,O,O,X
TJLSOIZ,O,O,O,O,X
TJLSOZI,O,O,O,O,X
TJLZISO,O,O,O,O,X
TJLZIOS,O,O,O,O,X
TJLZSIO,O,O,O,O,X
TJLZSOI,O,O,O,O,X
TJLZOIS,O,O,O,O,X
TJLZOSI,O,O,O,O,X
TJLOISZ,O,O,O,X,X
TJLOIZS,O,O,O,X,X
TJLOSIZ,O,O,O,O,X
TJLOSZI,O,O,O,O,X
TJLOZIS,O,O,O,O,X
TJLOZSI,O,O,O,O,X
TJSILZO,X,O,X,O,O
TJSILOZ,X,O,X,O,O
TJSIZLO,X,X,X,O,O
TJSIZOL,X,O,X,O,O
TJSIOLZ,O,O,X,O,O
TJSIOZL,O,O,X,O,O
TJSLIZO,O,O,O,O,O
TJSLIOZ,O,O,O,O,O
TJSLZIO,O,O,O,O,O
TJSLZOI,O,O,O,O,O
TJSLOIZ,O,O,O,O,O
TJSLOZI,O,O,O,O,O
TJSZILO,X,X,X,O,O
TJSZIOL,O,O,O,O,O
TJSZLIO,X,O,X,O,O
TJSZLOI,X,O,X,O,O
TJSZOIL,O,O,O,O,O
TJSZOLI,X,O,X,O,O
TJSOILZ,O,O,X,O,O
TJSOIZL,O,O,X,O,O
TJSOLIZ,O,O,O,O,O
TJSOLZI,O,O,O,O,O
TJSOZIL,O,O,O,O,O
TJSOZLI,X,O,X,O,O
TJZILSO,X,O,O,O,X
TJZILOS,X,O,O,O,X
TJZISLO,X,O,X,O,O
TJZISOL,X,O,O,O,O
TJZIOLS,X,X,O,O,X
TJZIOSL,X,O,O,O,O
TJZLISO,X,O,O,O,X
TJZLIOS,X,O,O,O,X
TJZLSIO,X,O,O,O,X
TJZLSOI,X,O,O,O,X
TJZLOIS,X,O,O,O,X
TJZLOSI,X,O,O,O,X
TJZSILO,X,O,X,O,O
TJZSIOL,O,O,O,O,O
TJZSLIO,X,O,X,O,O
TJZSLOI,X,O,X,O,O
TJZSOIL,O,O,O,O,O
