sequence,v115@HhA8IeB8GeC8BeF8Jex/IvhFmhBqnBTjBFlB0mB3qB,v115@HhA8IeB8GeC8BeF8Jel/IvhFRhB3iBcoBKqBzqBWxB,v115@HhA8IeB8GeC8BeF8Jex/IvhFihBunBcoBFlBzmB3qB,v115@HhA8IeB8GeC8BeF8Jex/IvhFThBenBCjB1qBXoBUqB,v115@HhA8IeB8GeC8BeF8JeRBJvhFCjBFlB8qBzmBXoBmpB
TOIJLSZ,X,X,X,X,X
TOIJLZS,X,X,X,X,X
TOIJSLZ,X,X,X,O,X
TOIJSZL,X,X,X,X,X
TOIJZLS,X,X,X,X,X
TOIJZSL,X,X,X,X,X
TOISLJZ,X,X,X,X,X
TOISLZJ,X,X,X,X,X
TOISJLZ,X,X,X,O,X
TOISJZL,X,X,X,X,X
TOISZLJ,X,X,X,X,X
TOISZJL,X,X,X,X,X
TOIZLJS,O,X,O,X,X
TOIZLSJ,X,X,X,X,X
TOIZJLS,X,X,O,X,X
TOIZJSL,X,X,X,X,X
TOIZSLJ,X,X,X,X,X
TOIZSJL,X,X,X,X,X
TOLIJSZ,X,X,X,X,X
TOLIJZS,X,X,X,X,X
TOLISJZ,X,X,X,X,X
TOLISZJ,X,X,X,X,X
TOLIZJS,O,X,O,X,X
TOLIZSJ,X,X,X,X,X
TOLJISZ,X,X,X,X,X
TOLJIZS,X,X,X,X,X
TOLJSIZ,X,X,X,X,X
TOLJSZI,X,X,X,X,X
TOLJZIS,X,X,X,X,X
TOLJZSI,X,X,X,X,X
TOLSIJZ,X,X,X,X,X
TOLSIZJ,X,X,X,X,X
TOLSJIZ,X,X,X,X,X
TOLSJZI,X,X,X,X,X
TOLSZIJ,X,X,X,X,X
TOLSZJI,X,X,X,X,X
TOLZIJS,O,X,O,X,X
TOLZISJ,X,X,X,X,X
TOLZJIS,O,X,O,X,X
TOLZJSI,O,X,O,X,X
TOLZSIJ,X,X,X,X,X
TOLZSJI,X,X,X,X,X
TOJILSZ,X,X,X,X,X
TOJILZS,X,X,X,X,X
TOJISLZ,X,X,X,O,X
TOJISZL,X,X,X,X,X
TOJIZLS,X,X,X,X,X
TOJIZSL,X,X,X,X,X
TOJLISZ,X,X,X,X,X
TOJLIZS,X,X,X,X,X
TOJLSIZ,X,X,X,X,X
TOJLSZI,X,X,X,X,X
TOJLZIS,X,X,X,X,X
TOJLZSI,X,X,X,X,X
TOJSILZ,X,X,X,O,X
TOJSIZL,X,X,X,X,X
TOJSLIZ,X,X,X,O,X
TOJSLZI,X,X,X,O,X
TOJSZIL,X,X,X,O,X
TOJSZLI,X,X,X,O,X
TOJZILS,X,X,X,X,X
TOJZISL,X,X,X,X,X
TOJZLIS,X,X,X,X,X
TOJZLSI,X,X,X,X,X
TOJZSIL,X,X,X,X,X
TOJZSLI,X,X,X,X,X
TOSILJZ,X,X,X,X,X
TOSILZJ,X,X,X,X,X
TOSIJLZ,X,X,X,O,X
TOSIJZL,X,X,X,X,X
TOSIZLJ,X,X,X,X,X
TOSIZJL,X,X,X,X,X
TOSLIJZ,X,X,X,X,X
TOSLIZJ,X,X,X,X,X
TOSLJIZ,X,X,X,X,X
TOSLJZI,X,X,X,X,X
TOSLZIJ,X,X,X,X,X
TOSLZJI,X,X,X,X,X
TOSJILZ,X,X,X,O,X
TOSJIZL,X,X,X,X,X
TOSJLIZ,X,X,X,O,X
TOSJLZI,X,X,X,O,X
TOSJZIL,X,X,X,O,X
TOSJZLI,X,X,X,O,X
TOSZILJ,X,X,X,X,X
TOSZIJL,X,X,X,X,X
TOSZLIJ,X,X,X,X,X
TOSZLJI,X,X,X,X,X
TOSZJIL,X,X,X,X,X
TOSZJLI,X,X,X,X,X
TOZILJS,O,X,O,X,X
TOZILSJ,X,X,X,X,X
TOZIJLS,X,X,O,X,X
TOZIJSL,X,X,X,X,X
TOZISLJ,X,X,X,X,X
TOZISJL,X,X,X,X,X
TOZLIJS,O,X,O,X,X
TOZLISJ,X,X,X,X,X
TOZLJIS,O,X,O,X,X
TOZLJSI,O,X,O,X,X
TOZLSIJ,X,X,X,X,X
TOZLSJI,X,X,X,X,X
TOZJILS,X,X,O,X,X
TOZJISL,X,X,X,X,X
TOZJLIS,X,X,O,X,X
TOZJLSI,X,X,O,X,X
TOZJSIL,X,X,X,X,X
TOZJSLI,X,X,X,X,X
TOZSILJ,X,X,X,X,X
TOZSIJL,X,X,X,X,X
TOZSLIJ,X,X,X,X,X
TOZSLJI,X,X,X,X,X
TOZSJIL,X,X,X,X,X
TOZSJLI,X,X,X,X,X
ITLJSZO,X,X,X,X,X
ITLJSOZ,X,X,X,X,X
ITLJZSO,X,X,X,X,X
