sequence,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhFFgB0hB?6nB3lBWvBzrB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeOEJvhF0hB6nB?llBXlBzrBxuB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF1lB6mB?TiBUlBWvBXsB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF3gBFiB?6rBcsBGqBzpB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF6mBTiB?8pBuqBXsBFqB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF0hBllB?SsBzpBGqBXsB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhFUgB6rB?TnB3lBWvBFsB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF3gBlmB?csBGqBzpBCsB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF3gB+nB?lmBCqBUqBzrB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF3gBlmB?csBupBTqBCsB
TSOILJZ,O,O,O,X,O,X,X,X,X,X
TSOILZJ,O,O,O,X,X,X,X,X,X,X
TSOIJLZ,O,O,O,X,O,X,X,X,X,X
TSOIJZL,O,O,O,X,O,X,X,X,X,X
TSOIZLJ,O,O,O,X,X,X,X,X,X,X
TSOIZJL,O,O,X,X,O,X,X,X,X,X
TSOLIJZ,O,O,O,X,O,X,X,X,X,X
TSOLIZJ,O,O,O,X,X,X,X,X,X,X
TSOLJIZ,O,X,O,X,O,X,X,X,X,X
TSOLJZI,O,O,O,X,X,X,X,X,X,X
TSOLZIJ,O,O,O,X,X,X,X,X,X,X
TSOLZJI,O,O,O,X,X,X,X,X,X,X
TSOJILZ,O,X,O,X,O,X,X,X,X,X
TSOJIZL,O,X,O,X,O,X,X,X,X,X
TSOJLIZ,O,X,O,X,O,X,X,X,X,X
TSOJLZI,O,O,O,X,X,X,X,X,X,X
TSOJZIL,O,X,O,X,X,X,X,X,X,X
TSOJZLI,O,O,O,X,X,X,X,X,X,X
TSOZILJ,O,O,O,X,X,X,X,X,X,X
TSOZIJL,O,O,X,X,O,X,X,X,X,X
TSOZLIJ,O,O,O,X,X,X,X,X,X,X
TSOZLJI,O,O,O,X,X,X,X,X,X,X
TSOZJIL,O,X,O,X,O,X,X,X,X,X
TSOZJLI,O,O,O,X,O,X,X,X,X,X
TZILJSO,X,O,X,O,X,X,X,O,X,X
TZILJOS,X,O,X,O,X,O,X,X,X,X
TZILSJO,X,O,X,O,X,X,X,O,X,X
TZILSOJ,X,X,O,O,X,O,X,X,X,O
TZILOJS,X,O,X,O,X,O,O,X,X,X
TZILOSJ,X,X,X,O,X,O,X,X,X,O
TZIJLSO,X,O,X,O,O,X,X,O,X,X
TZIJLOS,X,O,X,O,X,O,X,X,X,X
TZIJSLO,X,O,X,X,O,X,X,O,X,X
TZIJSOL,X,X,X,X,O,X,X,O,X,O
TZIJOLS,X,O,X,X,X,X,X,X,X,X
TZIJOSL,X,O,X,X,X,X,X,O,X,O
TZISLJO,X,O,X,X,X,X,X,O,X,X
TZISLOJ,X,X,O,X,X,O,X,X,X,O
TZISJLO,X,O,X,X,O,X,X,O,X,X
TZISJOL,X,X,X,X,O,X,X,O,X,O
TZISOLJ,X,X,O,X,X,X,X,X,X,O
TZISOJL,X,X,X,X,O,X,X,O,X,O
TZIOLJS,O,O,X,X,X,O,O,X,X,X
TZIOLSJ,O,O,X,X,X,O,X,X,X,O
TZIOJLS,O,O,X,X,X,X,X,X,X,X
TZIOJSL,X,O,X,X,X,X,X,O,X,O
TZIOSLJ,O,O,X,X,X,X,X,X,X,O
TZIOSJL,X,O,X,X,X,X,X,O,X,O
TZLIJSO,X,O,X,O,X,X,X,O,X,X
TZLIJOS,X,O,X,O,X,O,X,X,X,X
TZLISJO,X,O,X,O,X,X,X,O,X,X
TZLISOJ,X,X,O,O,X,O,X,X,X,O
TZLIOJS,X,O,X,O,X,O,O,X,X,X
TZLIOSJ,X,X,X,O,X,O,X,X,X,O
TZLJISO,X,O,O,O,X,X,X,O,X,X
TZLJIOS,X,O,X,O,X,O,X,X,X,X
TZLJSIO,X,O,O,O,X,X,X,O,X,X
TZLJSOI,X,O,O,O,X,X,X,X,X,X
TZLJOIS,X,X,X,O,X,X,X,X,X,X
TZLJOSI,X,O,X,O,X,X,X,X,X,X
TZLSIJO,X,O,X,O,X,X,X,O,X,X
TZLSIOJ,X,X,O,O,X,O,X,X,X,O
TZLSJIO,X,O,O,O,X,X,X,O,X,X
TZLSJOI,X,O,O,O,X,X,X,X,X,X
TZLSOIJ,X,X,O,O,X,X,X,X,X,X
TZLSOJI,X,X,O,O,X,X,X,X,X,X
TZLOIJS,X,O,X,O,X,O,O,X,X,X
TZLOISJ,X,X,X,O,X,O,X,X,X,O
TZLOJIS,X,X,X,O,X,X,X,X,X,X
TZLOJSI,X,O,X,O,X,X,X,X,X,X
TZLOSIJ,X,X,X,O,X,X,X,X,X,O
TZLOSJI,X,X,X,O,X,X,X,X,X,X
TZJILSO,X,O,O,O,O,X,X,O,X,X
TZJILOS,X,O,X,O,X,O,X,X,X,X
TZJISLO,X,O,O,X,O,X,X,O,X,X
TZJISOL,X,X,O,X,O,X,X,O,X,O
TZJIOLS,X,O,X,X,X,X,X,X,X,X
TZJIOSL,X,X,X,X,X,X,X,O,X,O
TZJLISO,X,O,O,O,O,X,X,O,X,X
TZJLIOS,X,O,X,O,X,O,X,X,X,X
TZJLSIO,X,O,O,O,O,X,X,O,X,X
TZJLSOI,X,O,O,O,O,X,X,X,X,X
TZJLOIS,X,X,X,O,X,X,X,X,X,X
TZJLOSI,X,O,X,O,X,X,X,X,X,X
TZJSILO,X,X,O,X,O,X,X,O,X,X
TZJSIOL,X,X,O,X,O,X,X,O,X,O
TZJSLIO,X,O,O,X,O,X,X,O,X,X
TZJSLOI,X,O,O,X,O,X,X,X,X,X
TZJSOIL,X,X,O,X,O,X,X,O,X,X
TZJSOLI,X,X,O,X,O,X,X,X,X,X
TZJOILS,X,O,X,X,X,X,X,X,X,X
TZJOISL,X,X,X,X,X,X,X,O,X,O
TZJOLIS,X,O,X,X,X,X,X,X,X,X
TZJOLSI,X,O,X,X,X,X,X,X,X,X
TZJOSIL,X,X,X,X,X,X,X,O,X,O
TZJOSLI,X,O,X,X,X,X,X,X,X,X
TZSILJO,X,O,X,X,X,X,X,O,X,X
TZSILOJ,X,X,O,X,X,O,X,X,X,O
TZSIJLO,X,O,X,X,O,X,X,O,X,X
TZSIJOL,X,X,X,X,O,X,X,O,X,O
TZSIOLJ,X,X,O,X,X,X,X,X,X,O
TZSIOJL,X,X,X,X,O,X,X,O,X,O
TZSLIJO,X,O,X,X,X,X,X,O,X,X
TZSLIOJ,X,X,O,X,X,O,X,X,X,O
TZSLJIO,X,O,O,X,X,X,X,O,X,X
TZSLJOI,X,O,O,X,X,X,X,X,X,X
TZSLOIJ,X,X,O,X,X,X,X,X,X,X
TZSLOJI,X,X,O,X,X,X,X,X,X,X
TZSJILO,X,X,O,X,O,X,X,O,X,X
TZSJIOL,X,X,O,X,O,X,X,O,X,O
TZSJLIO,X,O,O,X,O,X,X,O,X,X
TZSJLOI,X,O,O,X,O,X,X,X,X,X
TZSJOIL,X,X,O,X,O,X,X,O,X,X
TZSJOLI,X,X,O,X,O,X,X,X,X,X
TZSOILJ,X,X,O,X,X,X,X,X,X,O
TZSOIJL,X,X,X,X,O,X,X,O,X,O
TZSOLIJ,X,X,O,X,X,X,X,X,X,O
TZSOLJI,X,X,O,X,X,X,X,X,X,X
TZSOJIL,X,X,O,X,O,X,X,O,X,O
TZSOJLI,X,X,O,X,O,X,X,X,X,X
TZOILJS,O,O,X,X,X,O,O,X,X,X
TZOILSJ,O,O,X,X,X,O,X,X,X,O
TZOIJLS,O,O,X,X,X,X,X,X,X,X
TZOIJSL,X,O,X,X,X,X,X,O,X,O
TZOISLJ,O,O,X,X,X,X,X,X,X,O
TZOISJL,X,O,X,X,X,X,X,O,X,O
TZOLIJS,O,O,X,X,X,O,O,X,X,X
TZOLISJ,O,O,X,X,X,O,X,X,X,O
TZOLJIS,O,O,X,X,X,X,X,X,X,X
TZOLJSI,X,O,X,X,X,X,X,X,X,X
TZOLSIJ,O,O,X,X,X,X,X,X,X,O
TZOLSJI,X,O,X,X,X,X,X,X,X,X
TZOJILS,O,O,X,X,X,X,X,X,X,X
TZOJISL,X,O,X,X,X,X,X,O,X,O
TZOJLIS,O,O,X,X,X,X,X,X,X,X
TZOJLSI,X,O,X,X,X,X,X,X,X,X
TZOJSIL,X,X,X,X,X,X,X,O,X,O
TZOJSLI,X,O,X,X,X,X,X,X,X,X
TZOSILJ,O,O,X,X,X,X,X,X,X,O
TZOSIJL,X,O,X,X,X,X,X,O,X,O
TZOSLIJ,O,O,X,X,X,X,X,X,X,O
TZOSLJI,X,O,X,X,X,X,X,X,X,X
TZOSJIL,X,X,X,X,X,X,X,O,X,O
TZOSJLI,X,O,X,X,X,X,X,X,X,X
TOILJSZ,O,O,X,X,X,X,X,X,X,X
TOILJZS,O,O,X,X,X,O,O,X,X,X
TOILSJZ,O,O,O,X,X,X,X,X,X,X
TOILSZJ,O,O,O,X,X,O,X,X,X,X
TOILZJS,O,O,X,X,X,O,O,X,X,X
TOILZSJ,O,O,X,X,X,O,X,X,X,X
TOIJLSZ,O,O,X,X,X,X,X,X,X,X
TOIJLZS,O,O,X,X,X,O,O,X,X,X
TOIJSLZ,O,O,X,X,X,X,X,X,X,X
TOIJSZL,O,O,X,X,X,X,X,X,X,X
TOIJZLS,O,O,X,X,X,O,O,X,X,X
TOIJZSL,O,O,X,X,X,X,X,X,X,X
TOISLJZ,O,O,O,X,X,X,X,X,X,X
TOISLZJ,O,O,O,X,X,O,X,X,X,X
TOISJLZ,O,O,O,X,X,X,X,X,X,X
TOISJZL,O,O,X,X,X,X,X,X,X,X
TOISZLJ,O,O,O,X,X,O,X,X,X,O
TOISZJL,O,O,X,X,X,X,X,X,X,O
TOIZLJS,O,O,X,X,X,O,O,X,X,X
TOIZLSJ,O,O,X,X,X,O,X,X,X,O
TOIZJLS,O,O,X,X,X,O,X,X,X,X
TOIZJSL,O,O,X,X,X,X,X,X,X,O
TOIZSLJ,O,O,X,X,X,O,X,X,X,O
TOIZSJL,O,O,X,X,X,X,X,X,X,O
TOLIJSZ,O,O,X,X,X,X,X,X,X,X
TOLIJZS,O,O,X,X,X,O,O,X,X,X
TOLISJZ,O,O,O,X,X,X,X,X,X,X
TOLISZJ,O,O,O,X,X,O,X,X,X,X
TOLIZJS,O,O,X,X,X,O,O,X,X,X
TOLIZSJ,O,O,X,X,X,O,X,X,X,X
TOLJISZ,O,O,O,X,X,X,X,X,X,X
TOLJIZS,O,O,X,X,X,O,O,X,X,X
TOLJSIZ,O,X,O,X,X,X,X,X,X,X
TOLJSZI,O,O,O,X,X,X,X,X,X,X
TOLJZIS,O,O,X,X,X,O,O,X,X,X
TOLJZSI,O,O,X,X,X,X,X,X,X,X
TOLSIJZ,O,O,O,X,X,X,X,X,X,X
TOLSIZJ,O,O,O,X,X,O,X,X,X,X
TOLSJIZ,O,X,O,X,X,X,X,X,X,X
TOLSJZI,O,O,O,X,X,X,X,X,X,X
TOLSZIJ,O,O,O,X,X,O,X,X,X,X
TOLSZJI,O,O,O,X,X,X,X,X,X,X
TOLZIJS,O,O,X,X,X,O,O,X,X,X
TOLZISJ,O,O,X,X,X,O,X,X,X,X
TOLZJIS,O,O,X,X,X,O,X,X,X,X
TOLZJSI,O,O,X,X,X,X,X,X,X,X
TOLZSIJ,O,O,X,X,X,O,X,X,X,X
TOLZSJI,O,O,X,X,X,X,X,X,X,X
TOJILSZ,O,O,O,X,X,X,X,X,X,X
TOJILZS,O,O,X,X,X,O,O,X,X,X
TOJISLZ,O,O,O,X,X,X,X,X,X,X
TOJISZL,O,O,O,X,X,X,X,X,X,X
TOJIZLS,O,O,X,X,X,O,O,X,X,X
TOJIZSL,O,O,X,X,X,X,X,X,X,X
TOJLISZ,O,O,O,X,X,X,X,X,X,X
TOJLIZS,O,O,X,X,X,O,O,X,X,X
TOJLSIZ,O,X,O,X,X,X,X,X,X,X
TOJLSZI,O,O,O,X,X,X,X,X,X,X
TOJLZIS,O,O,X,X,X,O,O,X,X,X
TOJLZSI,O,O,X,X,X,X,X,X,X,X
TOJSILZ,O,X,O,X,X,X,X,X,X,X
TOJSIZL,O,X,O,X,X,X,X,X,X,X
TOJSLIZ,O,X,O,X,X,X,X,X,X,X
TOJSLZI,O,O,O,X,X,X,X,X,X,X
TOJSZIL,O,X,O,X,X,X,X,X,X,X
TOJSZLI,O,O,O,X,X,X,X,X,X,X
TOJZILS,O,O,X,X,X,O,O,X,X,X
TOJZISL,O,O,X,X,X,X,X,X,X,X
TOJZLIS,O,O,X,X,X,O,O,X,X,X
TOJZLSI,O,O,X,X,X,X,X,X,X,X
TOJZSIL,O,X,X,X,X,X,X,X,X,X
TOJZSLI,O,O,X,X,X,X,X,X,X,X
TOSILJZ,O,O,O,X,X,X,X,X,X,X
TOSILZJ,O,O,O,X,X,O,X,X,X,X
TOSIJLZ,O,O,O,X,X,X,X,X,X,X
TOSIJZL,O,O,O,X,X,X,X,X,X,X
TOSIZLJ,O,O,O,X,X,O,X,X,X,O
TOSIZJL,O,O,X,X,X,X,X,X,X,O
TOSLIJZ,O,O,O,X,X,X,X,X,X,X
TOSLIZJ,O,O,O,X,X,O,X,X,X,X
TOSLJIZ,O,X,O,X,X,X,X,X,X,X
TOSLJZI,O,O,O,X,X,X,X,X,X,X
TOSLZIJ,O,O,O,X,X,O,X,X,X,X
TOSLZJI,O,O,O,X,X,X,X,X,X,X
TOSJILZ,O,X,O,X,X,X,X,X,X,X
TOSJIZL,O,X,O,X,X,X,X,X,X,X
TOSJLIZ,O,X,O,X,X,X,X,X,X,X
TOSJLZI,O,O,O,X,X,X,X,X,X,X
TOSJZIL,O,X,O,X,X,X,X,X,X,X
TOSJZLI,O,O,O,X,X,X,X,X,X,X
TOSZILJ,O,O,O,X,X,O,X,X,X,O
TOSZIJL,O,O,X,X,X,X,X,X,X,O
TOSZLIJ,O,O,O,X,X,O,X,X,X,O
TOSZLJI,O,O,O,X,X,X,X,X,X,X
TOSZJIL,O,X,O,X,X,X,X,X,X,O
TOSZJLI,O,O,O,X,X,X,X,X,X,X
TOZILJS,O,O,X,X,X,O,O,X,X,X
TOZILSJ,O,O,X,X,X,O,X,X,X,O
TOZIJLS,O,O,X,X,X,O,X,X,X,X
TOZIJSL,O,O,X,X,X,X,X,X,X,O
TOZISLJ,O,O,X,X,X,O,X,X,X,O
TOZISJL,O,O,X,X,X,X,X,X,X,O
TOZLIJS,O,O,X,X,X,O,O,X,X,X
TOZLISJ,O,O,X,X,X,O,X,X,X,O
TOZLJIS,O,O,X,X,X,O,X,X,X,X
TOZLJSI,O,O,X,X,X,X,X,X,X,X
TOZLSIJ,O,O,X,X,X,O,X,X,X,O
TOZLSJI,O,O,X,X,X,X,X,X,X,X
TOZJILS,O,O,X,X,X,O,X,X,X,X
TOZJISL,O,O,X,X,X,X,X,X,X,O
TOZJLIS,O,O,X,X,X,O,X,X,X,X
TOZJLSI,O,O,X,X,X,X,X,X,X,X
TOZJSIL,O,X,X,X,X,X,X,X,X,O
TOZJSLI,O,O,X,X,X,X,X,X,X,X
TOZSILJ,O,O,X,X,X,O,X,X,X,O
TOZSIJL,O,O,X,X,X,X,X,X,X,O
TOZSLIJ,O,O,X,X,X,O,X,X,X,O
TOZSLJI,O,O,X,X,X,X,X,X,X,X
TOZSJIL,O,X,X,X,X,X,X,X,X,O
TOZSJLI,O,O,X,X,X,X,X,X,X,X
ITLJSZO,O,O,O,O,X,X,X,X,O,X
ITLJSOZ,O,X,O,X,X,X,X,X,O,X
ITLJZSO,X,O,O,O,X,X,X,X,O,X
ITLJZOS,X,O,X,O,X,O,O,X,X,X
ITLJOSZ,X,O,O,X,X,X,X,X,O,X
ITLJOZS,X,O,X,X,X,X,O,X,X,X
ITLSJZO,O,O,O,X,X,X,X,X,O,X
ITLSJOZ,X,X,O,X,X,X,X,X,O,X
ITLSZJO,O,O,X,O,X,X,X,X,X,X
ITLSZOJ,O,X,O,O,X,O,X,X,X,X
ITLSOJZ,X,X,O,X,X,X,X,X,X,X
ITLSOZJ,O,X,O,X,X,X,X,X,X,X
ITLZJSO,X,O,X,O,X,X,X,X,X,X
ITLZJOS,X,O,X,O,X,O,X,X,X,X
ITLZSJO,X,O,X,O,X,X,X,X,X,X
ITLZSOJ,X,X,O,O,X,O,X,X,X,X
ITLZOJS,X,O,X,O,X,O,O,X,X,X
ITLZOSJ,X,X,X,O,X,O,X,X,X,X
ITLOJSZ,X,O,X,X,X,X,X,X,X,X
ITLOJZS,O,O,X,X,X,O,O,X,X,X
ITLOSJZ,X,O,O,X,X,X,X,X,X,X
ITLOSZJ,O,O,O,X,X,O,X,X,X,X
ITLOZJS,O,O,X,X,X,O,O,X,X,X
ITLOZSJ,O,O,X,X,X,O,X,X,X,X
ITJLSZO,O,O,O,O,O,X,X,X,O,X
ITJLSOZ,O,X,O,X,O,X,X,X,O,X
ITJLZSO,X,O,O,O,O,X,X,X,O,X
ITJLZOS,X,O,X,O,X,O,O,X,X,X
ITJLOSZ,O,O,O,X,X,X,X,X,O,X
ITJLOZS,O,O,X,X,X,X,O,X,X,X
ITJSLZO,O,O,O,O,O,X,X,X,O,X
ITJSLOZ,O,X,O,X,O,X,X,X,O,X
ITJSZLO,O,O,O,X,O,X,X,O,O,X
ITJSZOL,O,X,O,X,O,X,X,O,X,X
ITJSOLZ,O,O,O,X,O,X,X,X,O,X
ITJSOZL,O,O,O,X,O,X,X,X,X,X
ITJZLSO,X,O,O,O,O,X,X,O,O,X
ITJZLOS,X,O,X,O,X,O,O,X,X,X
ITJZSLO,X,O,O,X,O,X,X,O,O,X
ITJZSOL,X,X,O,X,O,X,X,O,X,X
ITJZOLS,O,O,X,X,X,X,O,X,X,X
ITJZOSL,O,O,X,X,X,X,X,O,X,X
ITJOLSZ,O,O,O,X,X,X,X,X,O,X
ITJOLZS,O,O,X,X,X,X,O,X,X,X
ITJOSLZ,O,O,O,X,X,X,X,X,O,X
ITJOSZL,O,O,O,X,X,X,X,X,X,X
ITJOZLS,O,O,X,X,X,X,O,X,X,X
ITJOZSL,O,O,X,X,X,X,X,X,X,X
ITSLJZO,O,O,O,X,O,X,X,X,X,X
ITSLJOZ,X,X,O,X,O,X,X,X,X,X
ITSLZJO,O,O,X,X,X,X,X,X,X,X
ITSLZOJ,O,X,O,X,X,O,X,X,X,X
ITSLOJZ,O,X,O,X,O,X,X,X,X,X
ITSLOZJ,O,X,O,X,X,X,X,X,X,X
ITSJLZO,O,O,O,X,O,X,X,X,X,X
ITSJLOZ,X,X,O,X,O,X,X,X,X,X
ITSJZLO,O,O,O,X,O,X,X,X,X,X
ITSJZOL,X,X,O,X,O,X,X,X,X,X
ITSJOLZ,O,O,O,X,O,X,X,X,X,X
ITSJOZL,O,O,O,X,O,X,X,X,X,X
ITSZLJO,O,O,X,X,X,X,X,X,X,X
ITSZLOJ,O,X,O,X,X,O,X,X,X,X
ITSZJLO,O,O,X,X,O,X,X,X,X,X
ITSZJOL,X,X,X,X,O,X,X,X,X,X
ITSZOLJ,O,X,O,X,X,X,X,X,X,X
ITSZOJL,O,X,X,X,O,X,X,X,X,X
ITSOLJZ,O,O,O,X,O,X,X,X,X,X
ITSOLZJ,O,O,O,X,X,X,X,X,X,X
ITSOJLZ,O,O,O,X,O,X,X,X,X,X
ITSOJZL,O,O,O,X,O,X,X,X,X,X
ITSOZLJ,O,O,O,X,X,X,X,X,X,X
ITSOZJL,O,O,X,X,O,X,X,X,X,X
ITZLJSO,X,O,X,O,X,X,X,O,X,X
ITZLJOS,X,O,X,O,X,O,X,X,X,X
ITZLSJO,X,O,X,O,X,X,X,O,X,X
ITZLSOJ,X,X,O,O,X,O,X,X,X,O
ITZLOJS,X,O,X,O,X,O,O,X,X,X
ITZLOSJ,X,X,X,O,X,O,X,X,X,O
ITZJLSO,X,O,X,O,O,X,X,O,X,X
ITZJLOS,X,O,X,O,X,O,X,X,X,X
ITZJSLO,X,O,X,X,O,X,X,O,X,X
ITZJSOL,X,X,X,X,O,X,X,O,X,O
ITZJOLS,X,O,X,X,X,X,X,X,X,X
ITZJOSL,X,O,X,X,X,X,X,O,X,O
ITZSLJO,X,O,X,X,X,X,X,O,X,X
ITZSLOJ,X,X,O,X,X,O,X,X,X,O
ITZSJLO,X,O,X,X,O,X,X,O,X,X
ITZSJOL,X,X,X,X,O,X,X,O,X,O
ITZSOLJ,X,X,O,X,X,X,X,X,X,O
ITZSOJL,X,X,X,X,O,X,X,O,X,O
ITZOLJS,O,O,X,X,X,O,O,X,X,X
ITZOLSJ,O,O,X,X,X,O,X,X,X,O
ITZOJLS,O,O,X,X,X,X,X,X,X,X
ITZOJSL,X,O,X,X,X,X,X,O,X,O
ITZOSLJ,O,O,X,X,X,X,X,X,X,O
ITZOSJL,X,O,X,X,X,X,X,O,X,O
ITOLJSZ,O,O,X,X,X,X,X,X,X,X
ITOLJZS,O,O,X,X,X,O,O,X,X,X
ITOLSJZ,O,O,O,X,X,X,X,X,X,X
ITOLSZJ,O,O,O,X,X,O,X,X,X,X
ITOLZJS,O,O,X,X,X,O,O,X,X,X
ITOLZSJ,O,O,X,X,X,O,X,X,X,X
ITOJLSZ,O,O,X,X,X,X,X,X,X,X
ITOJLZS,O,O,X,X,X,O,O,X,X,X
ITOJSLZ,O,O,X,X,X,X,X,X,X,X
ITOJSZL,O,O,X,X,X,X,X,X,X,X
ITOJZLS,O,O,X,X,X,O,O,X,X,X
ITOJZSL,O,O,X,X,X,X,X,X,X,X
ITOSLJZ,O,O,O,X,X,X,X,X,X,X
ITOSLZJ,O,O,O,X,X,O,X,X,X,X
ITOSJLZ,O,O,O,X,X,X,X,X,X,X
ITOSJZL,O,O,X,X,X,X,X,X,X,X
ITOSZLJ,O,O,O,X,X,O,X,X,X,O
ITOSZJL,O,O,X,X,X,X,X,X,X,O
ITOZLJS,O,O,X,X,X,O,O,X,X,X
ITOZLSJ,O,O,X,X,X,O,X,X,X,O
ITOZJLS,O,O,X,X,X,O,X,X,X,X
ITOZJSL,O,O,X,X,X,X,X,X,X,O
ITOZSLJ,O,O,X,X,X,O,X,X,X,O
ITOZSJL,O,O,X,X,X,X,X,X,X,O
ILTJSZO,O,O,X,O,X,X,X,X,O,X
ILTJSOZ,O,X,O,X,X,X,X,X,O,X
ILTJZSO,X,O,X,O,X,X,X,X,O,X
ILTJZOS,X,O,X,O,X,O,O,X,X,X
ILTJOSZ,X,O,X,X,X,X,X,X,O,X
ILTJOZS,X,O,X,X,X,X,O,X,X,X
ILTSJZO,O,O,X,X,X,X,X,X,O,X
ILTSJOZ,X,X,O,X,X,X,X,X,O,X
ILTSZJO,O,O,X,O,X,X,X,X,X,X
ILTSZOJ,O,X,O,O,X,O,X,X,X,X
ILTSOJZ,X,X,O,X,X,X,X,X,X,X
ILTSOZJ,O,X,O,X,X,X,X,X,X,X
ILTZJSO,X,O,X,O,X,X,X,X,X,X
ILTZJOS,X,O,X,O,X,O,X,X,X,X
ILTZSJO,X,O,X,O,X,X,X,X,X,X
ILTZSOJ,X,X,O,O,X,O,X,X,X,X
ILTZOJS,X,O,X,O,X,O,O,X,X,X
ILTZOSJ,X,X,X,O,X,O,X,X,X,X
ILTOJSZ,X,O,X,X,X,X,X,X,X,X
ILTOJZS,O,O,X,X,X,O,O,X,X,X
ILTOSJZ,X,O,O,X,X,X,X,X,X,X
ILTOSZJ,O,O,O,X,X,O,X,X,X,X
ILTOZJS,O,O,X,X,X,O,O,X,X,X
ILTOZSJ,O,O,X,X,X,O,X,X,X,X
ILJTSZO,O,O,O,O,O,X,X,X,O,X
ILJTSOZ,O,X,O,X,O,X,X,X,O,X
ILJTZSO,X,O,O,O,O,X,X,X,O,X
ILJTZOS,X,O,X,O,X,O,O,X,X,X
ILJTOSZ,O,O,O,X,X,X,X,X,O,X
ILJTOZS,O,O,X,X,X,X,O,X,X,X
ILJSTZO,O,O,O,O,O,X,X,X,O,X
ILJSTOZ,O,X,O,X,O,X,X,X,O,X
ILJSZTO,O,X,O,O,O,X,X,O,O,X
ILJSZOT,O,X,O,O,O,X,O,X,X,X
ILJSOTZ,O,X,O,X,O,X,X,X,O,X
ILJSOZT,O,X,O,O,O,X,O,X,X,X
ILJZTSO,X,O,X,O,O,X,X,O,O,X
ILJZTOS,X,O,X,O,X,O,O,X,X,X
ILJZSTO,O,X,X,O,O,X,X,O,O,X
ILJZSOT,O,X,X,O,O,X,O,X,X,X
ILJZOTS,X,X,X,O,X,O,O,X,X,X
ILJZOST,X,X,X,O,O,X,O,X,X,X
ILJOTSZ,O,O,X,X,X,X,X,X,O,X
ILJOTZS,O,O,X,X,X,O,O,X,X,X
ILJOSTZ,O,O,X,X,O,X,X,X,O,X
ILJOSZT,O,O,X,O,O,X,O,X,X,X
ILJOZTS,O,O,X,O,X,O,O,X,X,X
ILJOZST,O,O,X,O,O,X,O,X,X,X
ILSTJZO,O,O,O,X,O,X,X,X,O,X
ILSTJOZ,X,X,O,X,O,X,X,X,O,X
ILSTZJO,O,O,X,O,X,X,X,X,X,X
ILSTZOJ,O,X,O,O,X,O,X,X,X,X
ILSTOJZ,O,X,O,X,O,X,X,X,X,X
ILSTOZJ,O,X,O,X,X,X,X,X,X,X
ILSJTZO,O,O,O,O,O,X,X,X,O,X
ILSJTOZ,O,X,O,X,O,X,X,X,O,X
ILSJZTO,O,X,O,O,O,X,X,X,O,X
ILSJZOT,O,X,O,O,O,X,O,X,X,X
ILSJOTZ,O,X,O,X,O,X,X,X,O,X
ILSJOZT,O,X,O,O,O,X,O,X,X,X
ILSZTJO,O,X,X,O,X,X,X,X,X,X
ILSZTOJ,O,X,O,O,X,O,X,X,X,X
ILSZJTO,O,X,O,O,O,X,X,X,O,X
ILSZJOT,X,X,O,O,O,X,X,X,X,X
ILSZOTJ,O,X,O,O,X,O,X,X,X,X
ILSZOJT,X,X,O,X,O,X,O,X,X,X
ILSOTJZ,O,X,O,X,O,X,X,X,X,X
ILSOTZJ,O,X,O,X,X,O,X,X,X,X
ILSOJTZ,O,X,O,X,O,X,X,X,O,X
ILSOJZT,O,X,O,X,O,X,O,X,X,X
ILSOZTJ,O,X,O,O,X,O,X,X,X,X
ILSOZJT,O,X,O,X,O,X,O,X,X,X
ILZTJSO,X,O,X,O,X,X,X,O,X,X
ILZTJOS,X,O,X,O,X,O,X,X,X,X
ILZTSJO,X,O,X,O,X,X,X,O,X,X
ILZTSOJ,X,X,X,O,X,O,X,X,X,O
ILZTOJS,X,O,X,O,X,O,O,X,X,X
ILZTOSJ,X,X,X,O,X,O,X,X,X,O
ILZJTSO,X,O,X,O,O,X,X,O,O,X
ILZJTOS,X,O,X,O,X,O,O,X,X,X
ILZJSTO,O,X,X,O,O,X,X,O,O,X
ILZJSOT,O,X,X,O,O,X,O,X,X,X
ILZJOTS,X,X,X,O,X,O,O,X,X,X
ILZJOST,X,X,X,O,O,X,O,X,X,X
ILZSTJO,O,X,X,O,X,X,X,X,X,X
ILZSTOJ,O,X,X,O,X,O,X,X,X,X
ILZSJTO,O,X,X,O,O,X,X,X,O,X
ILZSJOT,X,X,X,O,O,X,X,X,X,X
ILZSOTJ,O,X,X,O,X,O,X,X,X,X
ILZSOJT,X,X,X,X,O,X,O,X,X,X
ILZOTJS,X,X,X,O,X,O,O,X,X,X
