sequence,v115@RhC8AeA8AeA8CeG8MeT/IvhF/lBFhB8mB5nB6tBOtB,v115@RhC8AeA8AeA8CeG8MeT/IvhF/lBRhBGjBlmBCtBUtB,v115@RhC8AeA8AeA8CeG8MeT/IvhFxgB8mBCjBllBGtBXtB,v115@RhC8AeA8AeA8CeG8MeT/IvhFxgB8mBWoBllBXoBSyB,v115@RhC8AeA8AeA8CeG8MeT/IvhF/lBRhBSoBlmBUoBWyB
TOSLJIZ,X,O,X,X,O
TOSLJZI,X,O,X,O,O
TOSLZIJ,O,O,X,O,X
TOSLZJI,O,O,X,O,X
TOSJILZ,X,O,X,X,O
TOSJIZL,X,X,X,X,O
TOSJLIZ,X,O,X,X,O
TOSJLZI,X,O,O,X,O
TOSJZIL,X,X,O,X,O
TOSJZLI,X,X,O,X,O
TOSZILJ,O,O,X,O,X
TOSZIJL,O,X,O,X,O
TOSZLIJ,O,O,X,O,X
TOSZLJI,O,O,X,O,X
TOSZJIL,O,X,O,X,O
TOSZJLI,O,X,O,X,O
TOZILJS,X,X,O,O,X
TOZILSJ,O,X,X,O,X
TOZIJLS,X,X,O,O,X
TOZIJSL,X,X,O,X,X
TOZISLJ,O,X,X,O,X
TOZISJL,O,X,O,X,X
TOZLIJS,X,X,O,O,X
TOZLISJ,O,X,X,O,X
TOZLJIS,X,X,O,O,X
TOZLJSI,X,O,O,O,X
TOZLSIJ,O,O,X,O,X
TOZLSJI,O,O,X,O,X
TOZJILS,X,X,O,O,X
TOZJISL,X,X,O,X,X
TOZJLIS,X,X,O,O,X
TOZJLSI,X,X,O,O,O
TOZJSIL,X,X,O,X,O
TOZJSLI,X,X,O,X,O
TOZSILJ,O,O,X,O,X
TOZSIJL,O,X,O,X,O
TOZSLIJ,O,O,X,O,X
TOZSLJI,O,O,X,O,X
TOZSJIL,O,X,O,X,O
TOZSJLI,O,X,O,X,O
ITLJSZO,X,O,X,X,X
ITLJSOZ,X,O,X,X,X
ITLJZSO,X,X,X,O,X
