sequence,v115@RhC8AeA8AeA8CeG8MeT/IvhF/lBFhB8mB5nB6tBOtB,v115@RhC8AeA8AeA8CeG8MeT/IvhF/lBRhBGjBlmBCtBUtB,v115@RhC8AeA8AeA8CeG8MeT/IvhFxgB8mBCjBllBGtBXtB,v115@RhC8AeA8AeA8CeG8MeT/IvhFxgB8mBWoBllBXoBSyB,v115@RhC8AeA8AeA8CeG8MeT/IvhF/lBRhBSoBlmBUoBWyB
JTZLIOS,X,X,O,O,X
JTZLSIO,X,X,O,O,O
JTZLSOI,X,X,O,O,O
JTZLOIS,X,X,O,O,X
JTZLOSI,X,X,O,O,O
JTZSILO,X,X,O,X,O
JTZSIOL,X,X,O,X,O
JTZSLIO,X,X,O,X,O
JTZSLOI,X,X,O,X,O
JTZSOIL,X,X,O,X,O
JTZSOLI,X,X,O,X,O
JTZOILS,X,X,O,O,X
JTZOISL,X,X,O,X,X
JTZOLIS,X,X,O,O,X
JTZOLSI,X,X,O,O,O
JTZOSIL,X,X,O,X,O
JTZOSLI,X,X,O,X,O
JTOILSZ,X,X,X,X,O
JTOILZS,X,X,O,X,X
JTOISLZ,X,X,X,X,O
JTOISZL,X,X,X,X,O
JTOIZLS,X,X,O,X,X
JTOIZSL,X,X,O,X,X
JTOLISZ,X,O,X,X,O
JTOLIZS,X,X,O,O,X
JTOLSIZ,X,O,X,X,O
JTOLSZI,X,O,O,O,O
JTOLZIS,X,X,O,O,X
JTOLZSI,X,O,O,O,O
JTOSILZ,X,O,X,X,O
JTOSIZL,X,X,X,X,O
JTOSLIZ,X,O,X,X,O
JTOSLZI,X,O,O,X,O
JTOSZIL,X,X,O,X,O
JTOSZLI,X,X,O,X,O
JTOZILS,X,X,O,O,X
JTOZISL,X,X,O,X,X
JTOZLIS,X,X,O,O,X
JTOZLSI,X,X,O,O,O
JTOZSIL,X,X,O,X,O
JTOZSLI,X,X,O,X,O
JITLSZO,X,X,X,X,O
JITLSOZ,X,X,X,X,O
JITLZSO,X,X,O,X,X
JITLZOS,X,X,O,X,X
JITLOSZ,X,X,X,X,O
JITLOZS,X,X,O,X,X
JITSLZO,X,X,X,X,O
JITSLOZ,X,X,X,X,O
JITSZLO,X,X,X,X,O
JITSZOL,X,X,X,X,O
JITSOLZ,X,X,X,X,O
JITSOZL,X,X,X,X,O
JITZLSO,X,X,O,X,X
JITZLOS,X,X,O,X,X
JITZSLO,X,X,O,X,X
JITZSOL,X,X,O,X,X
JITZOLS,X,X,O,X,X
JITZOSL,X,X,O,X,X
JITOLSZ,X,X,X,X,O
JITOLZS,X,X,O,X,X
JITOSLZ,X,X,X,X,O
JITOSZL,X,X,X,X,O
JITOZLS,X,X,O,X,X
JITOZSL,X,X,O,X,X
JILTSZO,X,X,X,X,O
JILTSOZ,X,X,X,X,O
JILTZSO,X,X,O,X,X
JILTZOS,X,X,O,X,X
JILTOSZ,X,X,X,X,O
JILTOZS,X,X,O,X,X
JILSTZO,X,X,X,X,O
JILSTOZ,X,X,X,X,O
JILSZTO,O,X,X,X,X
JILSZOT,O,X,X,X,X
JILSOTZ,X,X,X,X,O
JILSOZT,O,X,X,X,X
JILZTSO,X,X,O,X,X
JILZTOS,X,X,O,X,X
JILZSTO,O,X,X,X,X
JILZSOT,O,X,O,X,X
JILZOTS,X,X,O,X,X
JILZOST,O,X,O,X,X
JILOTSZ,X,X,X,X,O
JILOTZS,X,X,O,X,X
JILOSTZ,X,X,X,X,O
JILOSZT,O,X,X,X,X
JILOZTS,X,X,O,X,X
JILOZST,O,X,O,X,X
JISTLZO,X,X,X,X,O
JISTLOZ,X,X,X,X,O
JISTZLO,X,X,X,X,O
JISTZOL,X,X,X,X,O
JISTOLZ,X,X,X,X,O
JISTOZL,X,X,X,X,O
JISLTZO,X,X,X,X,O
JISLTOZ,X,X,X,X,O
JISLZTO,O,X,X,X,X
JISLZOT,O,X,X,X,X
JISLOTZ,X,X,X,X,O
JISLOZT,O,X,X,X,X
JISZTLO,O,X,X,X,X
JISZTOL,O,X,X,X,X
JISZLTO,O,X,X,X,X
JISZLOT,O,X,X,X,X
JISZOTL,O,X,X,X,X
JISZOLT,O,X,X,X,X
JISOTLZ,X,X,X,X,O
JISOTZL,X,X,X,X,O
JISOLTZ,X,X,X,X,O
JISOLZT,O,X,X,X,X
JISOZTL,O,X,X,X,X
JISOZLT,O,X,X,X,X
JIZTLSO,X,X,O,X,X
JIZTLOS,X,X,O,X,X
JIZTSLO,X,X,O,X,X
JIZTSOL,X,X,O,X,X
JIZTOLS,X,X,O,X,X
JIZTOSL,X,X,O,X,X
JIZLTSO,X,X,O,X,X
JIZLTOS,X,X,O,X,X
JIZLSTO,O,X,X,X,X
JIZLSOT,O,X,O,X,X
JIZLOTS,X,X,O,X,X
JIZLOST,O,X,O,X,X
JIZSTLO,O,X,X,X,X
JIZSTOL,O,X,X,X,X
JIZSLTO,O,X,X,X,X
JIZSLOT,O,X,O,X,X
JIZSOTL,O,X,X,X,X
JIZSOLT,O,X,O,X,X
JIZOTLS,X,X,O,X,X
JIZOTSL,X,X,O,X,X
JIZOLTS,X,X,O,X,X
JIZOLST,O,X,O,X,X
JIZOSTL,O,X,X,X,X
JIZOSLT,O,X,O,X,X
JIOTLSZ,X,X,X,X,O
JIOTLZS,X,X,O,X,X
JIOTSLZ,X,X,X,X,O
JIOTSZL,X,X,X,X,O
JIOTZLS,X,X,O,X,X
JIOTZSL,X,X,O,X,X
JIOLTSZ,X,X,X,X,O
JIOLTZS,X,X,O,X,X
JIOLSTZ,X,X,X,X,O
JIOLSZT,O,X,X,X,X
JIOLZTS,X,X,O,X,X
JIOLZST,O,X,O,X,X
JIOSTLZ,X,X,X,X,O
JIOSTZL,X,X,X,X,O
JIOSLTZ,X,X,X,X,O
JIOSLZT,O,X,X,X,X
JIOSZTL,O,X,X,X,X
JIOSZLT,O,X,X,X,X
JIOZTLS,X,X,O,X,X
JIOZTSL,X,X,O,X,X
JIOZLTS,X,X,O,X,X
JIOZLST,O,X,O,X,X
JIOZSTL,O,X,X,X,X
JIOZSLT,O,X,O,X,X
JLTISZO,X,O,X,X,O
JLTISOZ,X,O,X,X,O
JLTIZSO,X,X,O,O,X
JLTIZOS,X,X,O,O,X
JLTIOSZ,X,O,X,X,O
JLTIOZS,X,X,O,O,X
JLTSIZO,X,O,X,X,O
JLTSIOZ,X,O,X,X,O
JLTSZIO,X,O,O,O,O
JLTSZOI,X,O,O,O,O
JLTSOIZ,X,O,X,X,O
JLTSOZI,X,O,O,O,O
JLTZISO,X,X,O,O,X
JLTZIOS,X,X,O,O,X
JLTZSIO,X,O,O,O,O
JLTZSOI,X,O,O,O,O
JLTZOIS,X,X,O,O,X
JLTZOSI,X,O,O,O,O
JLTOISZ,X,O,X,X,O
JLTOIZS,X,X,O,O,X
JLTOSIZ,X,O,X,X,O
JLTOSZI,X,O,O,O,O
JLTOZIS,X,X,O,O,X
JLTOZSI,X,O,O,O,O
JLITSZO,X,O,X,X,O
JLITSOZ,X,O,X,X,O
JLITZSO,X,X,O,O,X
JLITZOS,X,X,O,O,X
JLITOSZ,X,O,X,X,O
JLITOZS,X,X,O,O,X
JLISTZO,X,O,X,X,O
JLISTOZ,X,O,X,X,O
JLISZTO,O,X,X,X,X
JLISZOT,O,O,X,X,X
JLISOTZ,X,O,X,X,O
JLISOZT,O,O,X,X,X
JLIZTSO,X,X,O,O,X
JLIZTOS,X,X,O,O,X
JLIZSTO,O,X,X,X,X
JLIZSOT,O,X,O,X,X
JLIZOTS,X,X,O,O,X
JLIZOST,O,X,O,X,X
JLIOTSZ,X,O,X,X,O
JLIOTZS,X,X,O,O,X
JLIOSTZ,X,O,X,X,O
JLIOSZT,O,O,X,X,X
JLIOZTS,X,X,O,O,X
JLIOZST,O,X,O,X,X
JLSTIZO,X,O,X,X,O
JLSTIOZ,X,O,X,X,O
JLSTZIO,X,O,O,O,O
JLSTZOI,X,O,O,O,O
JLSTOIZ,X,O,X,X,O
JLSTOZI,X,O,O,O,O
JLSITZO,X,O,X,X,O
JLSITOZ,X,O,X,X,O
JLSIZTO,O,X,X,X,X
JLSIZOT,O,O,X,X,X
JLSIOTZ,X,O,X,X,O
JLSIOZT,O,O,X,X,X
JLSZTIO,O,O,O,O,O
JLSZTOI,O,O,O,O,O
JLSZITO,O,X,X,X,X
JLSZIOT,O,O,O,X,X
JLSZOTI,O,O,O,O,O
JLSZOIT,O,O,O,X,X
JLSOTIZ,X,O,X,X,O
JLSOTZI,X,O,O,O,O
JLSOITZ,X,O,X,X,O
JLSOIZT,O,O,X,X,X
JLSOZTI,O,O,O,O,O
JLSOZIT,O,O,O,X,X
JLZTISO,X,X,O,O,X
JLZTIOS,X,X,O,O,X
JLZTSIO,X,O,O,O,O
JLZTSOI,X,O,O,O,O
JLZTOIS,X,X,O,O,X
JLZTOSI,X,O,O,O,O
JLZITSO,X,X,O,O,X
JLZITOS,X,X,O,O,X
JLZISTO,O,X,X,X,X
JLZISOT,O,X,O,X,X
JLZIOTS,X,X,O,O,X
JLZIOST,O,X,O,X,X
JLZSTIO,O,O,O,O,O
JLZSTOI,O,O,O,O,O
JLZSITO,O,X,X,X,X
JLZSIOT,O,O,O,X,X
JLZSOTI,O,O,O,O,O
JLZSOIT,O,O,O,X,X
JLZOTIS,X,X,O,O,X
JLZOTSI,X,O,O,O,O
JLZOITS,X,X,O,O,X
JLZOIST,O,X,O,X,X
JLZOSTI,O,O,O,O,O
JLZOSIT,O,O,O,X,X
JLOTISZ,X,O,X,X,O
JLOTIZS,X,X,O,O,X
JLOTSIZ,X,O,X,X,O
JLOTSZI,X,O,O,O,O
JLOTZIS,X,X,O,O,X
JLOTZSI,X,O,O,O,O
JLOITSZ,X,O,X,X,O
JLOITZS,X,X,O,O,X
JLOISTZ,X,O,X,X,O
JLOISZT,O,O,X,X,X
JLOIZTS,X,X,O,O,X
JLOIZST,O,X,O,X,X
JLOSTIZ,X,O,X,X,O
JLOSTZI,X,O,O,O,O
JLOSITZ,X,O,X,X,O
JLOSIZT,O,O,X,X,X
JLOSZTI,O,O,O,O,O
JLOSZIT,O,O,O,X,X
JLOZTIS,X,X,O,O,X
JLOZTSI,X,O,O,O,O
JLOZITS,X,X,O,O,X
JLOZIST,O,X,O,X,X
JLOZSTI,O,O,O,O,O
JLOZSIT,O,O,O,X,X
JSTILZO,X,O,X,X,O
JSTILOZ,X,O,X,X,O
JSTIZLO,X,X,X,X,O
JSTIZOL,X,X,X,X,O
JSTIOLZ,X,O,X,X,O
JSTIOZL,X,X,X,X,O
JSTLIZO,X,O,X,X,O
JSTLIOZ,X,O,X,X,O
JSTLZIO,X,O,O,X,O
JSTLZOI,X,O,O,X,O
JSTLOIZ,X,O,X,X,O
JSTLOZI,X,O,O,X,O
JSTZILO,X,X,O,X,O
JSTZIOL,X,X,O,X,O
JSTZLIO,X,X,O,X,O
JSTZLOI,X,X,O,X,O
JSTZOIL,X,X,O,X,O
JSTZOLI,X,X,O,X,O
JSTOILZ,X,O,X,X,O
JSTOIZL,X,X,X,X,O
JSTOLIZ,X,O,X,X,O
JSTOLZI,X,O,O,X,O
JSTOZIL,X,X,O,X,O
JSTOZLI,X,X,O,X,O
JSITLZO,X,X,X,X,O
JSITLOZ,X,X,X,X,O
JSITZLO,X,X,X,X,O
JSITZOL,X,X,X,X,O
JSITOLZ,X,X,X,X,O
JSITOZL,X,X,X,X,O
JSILTZO,X,X,X,X,O
JSILTOZ,X,O,X,X,O
JSILZTO,O,X,X,X,X
JSILZOT,O,O,X,X,X
JSILOTZ,X,O,X,X,O
JSILOZT,O,O,X,X,X
JSIZTLO,O,X,X,X,X
JSIZTOL,O,X,X,X,X
JSIZLTO,O,X,X,X,X
JSIZLOT,O,X,X,X,X
JSIZOTL,O,X,X,X,X
JSIZOLT,O,X,X,X,X
JSIOTLZ,X,X,X,X,O
JSIOTZL,X,X,X,X,O
JSIOLTZ,X,O,X,X,O
JSIOLZT,O,O,X,X,X
JSIOZTL,O,X,X,X,X
JSIOZLT,O,X,X,X,X
JSLTIZO,X,O,X,X,O
JSLTIOZ,X,O,X,X,O
JSLTZIO,X,O,O,X,O
JSLTZOI,X,O,O,X,O
JSLTOIZ,X,O,X,X,O
JSLTOZI,X,O,O,X,O
JSLITZO,X,O,X,X,O
JSLITOZ,X,O,X,X,O
JSLIZTO,O,X,X,X,X
JSLIZOT,O,O,X,X,X
JSLIOTZ,X,O,X,X,O
JSLIOZT,O,O,X,X,X
JSLZTIO,O,O,O,X,O
JSLZTOI,O,O,O,X,O
JSLZITO,O,X,X,X,X
JSLZIOT,O,O,O,X,X
JSLZOTI,O,O,O,X,O
JSLZOIT,O,O,O,X,X
JSLOTIZ,X,O,X,X,O
JSLOTZI,X,O,O,X,O
JSLOITZ,X,O,X,X,O
JSLOIZT,O,O,X,X,X
JSLOZTI,O,O,O,X,O
JSLOZIT,O,O,O,X,X
JSZTILO,O,X,O,X,O
JSZTIOL,O,X,O,X,O
JSZTLIO,O,X,O,X,O
JSZTLOI,O,X,O,X,O
JSZTOIL,O,X,O,X,O
JSZTOLI,O,X,O,X,O
JSZITLO,O,X,X,X,X
JSZITOL,O,X,X,X,X
JSZILTO,O,X,X,X,X
JSZILOT,O,X,O,X,X
JSZIOTL,O,X,X,X,X
JSZIOLT,O,X,O,X,X
JSZLTIO,O,X,O,X,O
JSZLTOI,O,X,O,X,O
JSZLITO,O,X,X,X,X
JSZLIOT,O,X,O,X,X
JSZLOTI,O,X,O,X,O
JSZLOIT,O,X,O,X,X
JSZOTIL,O,X,O,X,O
JSZOTLI,O,X,O,X,O
JSZOITL,O,X,X,X,X
JSZOILT,O,X,O,X,X
JSZOLTI,O,X,O,X,O
JSZOLIT,O,X,O,X,X
JSOTILZ,X,O,X,X,O
JSOTIZL,X,X,X,X,O
JSOTLIZ,X,O,X,X,O
JSOTLZI,X,O,O,X,O
JSOTZIL,X,X,O,X,O
JSOTZLI,X,X,O,X,O
JSOITLZ,X,X,X,X,O
JSOITZL,X,X,X,X,O
JSOILTZ,X,O,X,X,O
JSOILZT,O,O,X,X,X
JSOIZTL,O,X,X,X,X
JSOIZLT,O,X,X,X,X
JSOLTIZ,X,O,X,X,O
JSOLTZI,X,O,O,X,O
JSOLITZ,X,O,X,X,O
JSOLIZT,O,O,X,X,X
JSOLZTI,O,O,O,X,O
JSOLZIT,O,O,O,X,X
JSOZTIL,O,X,O,X,O
JSOZTLI,O,X,O,X,O
JSOZITL,O,X,X,X,X
JSOZILT,O,X,O,X,X
JSOZLTI,O,X,O,X,O
JSOZLIT,O,X,O,X,X
JZTILSO,X,X,O,O,X
JZTILOS,X,X,O,O,X
JZTISLO,X,X,O,X,X
JZTISOL,X,X,O,X,X
JZTIOLS,X,X,O,O,X
JZTIOSL,X,X,O,X,X
JZTLISO,X,X,O,O,X
JZTLIOS,X,X,O,O,X
JZTLSIO,X,X,O,O,O
JZTLSOI,X,X,O,O,O
JZTLOIS,X,X,O,O,X
JZTLOSI,X,X,O,O,O
JZTSILO,X,X,O,X,O
JZTSIOL,X,X,O,X,O
JZTSLIO,X,X,O,X,O
JZTSLOI,X,X,O,X,O
JZTSOIL,X,X,O,X,O
JZTSOLI,X,X,O,X,O
JZTOILS,X,X,O,O,X
JZTOISL,X,X,O,X,X
JZTOLIS,X,X,O,O,X
JZTOLSI,X,X,O,O,O
JZTOSIL,X,X,O,X,O
JZTOSLI,X,X,O,X,O
JZITLSO,X,X,O,X,X
JZITLOS,X,X,O,X,X
JZITSLO,X,X,O,X,X
JZITSOL,X,X,O,X,X
JZITOLS,X,X,O,X,X
JZITOSL,X,X,O,X,X
JZILTSO,X,X,O,X,X
JZILTOS,X,X,O,X,X
JZILSTO,O,X,X,X,X
JZILSOT,O,X,O,X,X
JZILOTS,X,X,O,X,X
JZILOST,O,X,O,X,X
JZISTLO,O,X,X,X,X
JZISTOL,O,X,X,X,X
JZISLTO,O,X,X,X,X
JZISLOT,O,X,O,X,X
JZISOTL,O,X,X,X,X
JZISOLT,O,X,O,X,X
JZIOTLS,X,X,O,X,X
JZIOTSL,X,X,O,X,X
JZIOLTS,X,X,O,X,X
JZIOLST,O,X,O,X,X
JZIOSTL,O,X,X,X,X
JZIOSLT,O,X,O,X,X
JZLTISO,X,X,O,O,X
JZLTIOS,X,X,O,O,X
JZLTSIO,X,X,O,O,O
JZLTSOI,X,X,O,O,O
JZLTOIS,X,X,O,O,X
JZLTOSI,X,X,O,O,O
JZLITSO,X,X,O,O,X
JZLITOS,X,X,O,O,X
JZLISTO,O,X,X,X,X
JZLISOT,O,X,O,X,X
JZLIOTS,X,X,O,O,X
JZLIOST,O,X,O,X,X
JZLSTIO,O,X,O,O,O
JZLSTOI,O,X,O,O,O
JZLSITO,O,X,X,X,X
JZLSIOT,O,X,O,X,X
JZLSOTI,O,X,O,O,O
JZLSOIT,O,X,O,X,X
JZLOTIS,X,X,O,O,X
JZLOTSI,X,X,O,O,O
JZLOITS,X,X,O,O,X
JZLOIST,O,X,O,X,X
JZLOSTI,O,X,O,O,O
JZLOSIT,O,X,O,X,X
JZSTILO,O,X,O,X,O
JZSTIOL,O,X,O,X,O
JZSTLIO,O,X,O,X,O
JZSTLOI,O,X,O,X,O
JZSTOIL,O,X,O,X,O
JZSTOLI,O,X,O,X,O
JZSITLO,O,X,X,X,X
JZSITOL,O,X,X,X,X
JZSILTO,O,X,X,X,X
JZSILOT,O,X,O,X,X
JZSIOTL,O,X,X,X,X
JZSIOLT,O,X,O,X,X
JZSLTIO,O,X,O,X,O
JZSLTOI,O,X,O,X,O
JZSLITO,O,X,X,X,X
JZSLIOT,O,X,O,X,X
JZSLOTI,O,X,O,X,O
JZSLOIT,O,X,O,X,X
JZSOTIL,O,X,O,X,O
JZSOTLI,O,X,O,X,O
JZSOITL,O,X,X,X,X
JZSOILT,O,X,O,X,X
JZSOLTI,O,X,O,X,O
JZSOLIT,O,X,O,X,X
JZOTILS,X,X,O,O,X
JZOTISL,X,X,O,X,X
JZOTLIS,X,X,O,O,X
JZOTLSI,X,X,O,O,O
JZOTSIL,X,X,O,X,O
JZOTSLI,X,X,O,X,O
JZOITLS,X,X,O,X,X
JZOITSL,X,X,O,X,X
JZOILTS,X,X,O,X,X
JZOILST,O,X,O,X,X
JZOISTL,O,X,X,X,X
JZOISLT,O,X,O,X,X
JZOLTIS,X,X,O,O,X
JZOLTSI,X,X,O,O,O
JZOLITS,X,X,O,O,X
JZOLIST,O,X,O,X,X
JZOLSTI,O,X,O,O,O
JZOLSIT,O,X,O,X,X
JZOSTIL,O,X,O,X,O
JZOSTLI,O,X,O,X,O
JZOSITL,O,X,X,X,X
JZOSILT,O,X,O,X,X
JZOSLTI,O,X,O,X,O
JZOSLIT,O,X,O,X,X
JOTILSZ,X,X,X,X,O
JOTILZS,X,X,O,X,X
JOTISLZ,X,X,X,X,O
JOTISZL,X,X,X,X,O
JOTIZLS,X,X,O,X,X
JOTIZSL,X,X,O,X,X
JOTLISZ,X,O,X,X,O
JOTLIZS,X,X,O,O,X
JOTLSIZ,X,O,X,X,O
JOTLSZI,X,O,O,O,O
JOTLZIS,X,X,O,O,X
JOTLZSI,X,O,O,O,O
JOTSILZ,X,O,X,X,O
JOTSIZL,X,X,X,X,O
JOTSLIZ,X,O,X,X,O
JOTSLZI,X,O,O,X,O
JOTSZIL,X,X,O,X,O
JOTSZLI,X,X,O,X,O
JOTZILS,X,X,O,O,X
JOTZISL,X,X,O,X,X
JOTZLIS,X,X,O,O,X
JOTZLSI,X,X,O,O,O
JOTZSIL,X,X,O,X,O
JOTZSLI,X,X,O,X,O
JOITLSZ,X,X,X,X,O
JOITLZS,X,X,O,X,X
JOITSLZ,X,X,X,X,O
JOITSZL,X,X,X,X,O
JOITZLS,X,X,O,X,X
JOITZSL,X,X,O,X,X
JOILTSZ,X,X,X,X,O
JOILTZS,X,X,O,X,X
JOILSTZ,X,X,X,X,O
JOILSZT,O,X,X,X,X
JOILZTS,X,X,O,X,X
JOILZST,O,X,O,X,X
JOISTLZ,X,X,X,X,O
JOISTZL,X,X,X,X,O
JOISLTZ,X,X,X,X,O
JOISLZT,O,X,X,X,X
JOISZTL,O,X,X,X,X
JOISZLT,O,X,X,X,X
JOIZTLS,X,X,O,X,X
JOIZTSL,X,X,O,X,X
JOIZLTS,X,X,O,X,X
JOIZLST,O,X,O,X,X
JOIZSTL,O,X,X,X,X
JOIZSLT,O,X,O,X,X
JOLTISZ,X,O,X,X,O
JOLTIZS,X,X,O,O,X
JOLTSIZ,X,O,X,X,O
JOLTSZI,X,O,O,O,O
JOLTZIS,X,X,O,O,X
JOLTZSI,X,O,O,O,O
JOLITSZ,X,O,X,X,O
JOLITZS,X,X,O,O,X
JOLISTZ,X,O,X,X,O
JOLISZT,O,O,X,X,X
JOLIZTS,X,X,O,O,X
JOLIZST,O,X,O,X,X
JOLSTIZ,X,O,X,X,O
JOLSTZI,X,O,O,O,O
JOLSITZ,X,O,X,X,O
JOLSIZT,O,O,X,X,X
JOLSZTI,O,O,O,O,O
JOLSZIT,O,O,O,X,X
JOLZTIS,X,X,O,O,X
JOLZTSI,X,O,O,O,O
JOLZITS,X,X,O,O,X
JOLZIST,O,X,O,X,X
JOLZSTI,O,O,O,O,O
JOLZSIT,O,O,O,X,X
JOSTILZ,X,O,X,X,O
JOSTIZL,X,X,X,X,O
JOSTLIZ,X,O,X,X,O
JOSTLZI,X,O,O,X,O
JOSTZIL,X,X,O,X,O
JOSTZLI,X,X,O,X,O
JOSITLZ,X,X,X,X,O
JOSITZL,X,X,X,X,O
JOSILTZ,X,O,X,X,O
JOSILZT,O,O,X,X,X
JOSIZTL,O,X,X,X,X
JOSIZLT,O,X,X,X,X
JOSLTIZ,X,O,X,X,O
JOSLTZI,X,O,O,X,O
JOSLITZ,X,O,X,X,O
JOSLIZT,O,O,X,X,X
JOSLZTI,O,O,O,X,O
JOSLZIT,O,O,O,X,X
JOSZTIL,O,X,O,X,O
JOSZTLI,O,X,O,X,O
JOSZITL,O,X,X,X,X
JOSZILT,O,X,O,X,X
JOSZLTI,O,X,O,X,O
JOSZLIT,O,X,O,X,X
JOZTILS,X,X,O,O,X
JOZTISL,X,X,O,X,X
JOZTLIS,X,X,O,O,X
JOZTLSI,X,X,O,O,O
JOZTSIL,X,X,O,X,O
JOZTSLI,X,X,O,X,O
JOZITLS,X,X,O,X,X
JOZITSL,X,X,O,X,X
JOZILTS,X,X,O,X,X
JOZILST,O,X,O,X,X
JOZISTL,O,X,X,X,X
JOZISLT,O,X,O,X,X
JOZLTIS,X,X,O,O,X
JOZLTSI,X,X,O,O,O
JOZLITS,X,X,O,O,X
JOZLIST,O,X,O,X,X
JOZLSTI,O,X,O,O,O
JOZLSIT,O,X,O,X,X
JOZSTIL,O,X,O,X,O
JOZSTLI,O,X,O,X,O
JOZSITL,O,X,X,X,X
JOZSILT,O,X,O,X,X
JOZSLTI,O,X,O,X,O
JOZSLIT,O,X,O,X,X
STILJZO,X,O,X,X,O
STILJOZ,X,O,X,X,O
STILZJO,O,O,X,X,X
STILZOJ,O,O,X,X,X
STILOJZ,X,O,X,X,O
STILOZJ,O,O,X,X,X
STIJLZO,X,O,X,X,O
STIJLOZ,X,O,X,X,O
STIJZLO,X,X,X,X,O
STIJZOL,X,X,X,X,O
STIJOLZ,X,O,X,X,O
STIJOZL,X,X,X,X,O
STIZLJO,O,O,X,X,X
STIZLOJ,O,O,X,X,X
STIZJLO,O,X,X,X,O
STIZJOL,O,X,X,X,O
STIZOLJ,O,O,X,X,X
STIZOJL,O,X,X,X,O
STIOLJZ,X,O,X,X,O
STIOLZJ,O,O,X,X,X
STIOJLZ,X,O,X,X,O
STIOJZL,X,X,X,X,O
STIOZLJ,O,O,X,X,X
STIOZJL,O,X,X,X,O
STLIJZO,X,O,X,X,O
STLIJOZ,X,O,X,X,O
STLIZJO,O,O,X,X,X
STLIZOJ,O,O,X,X,X
STLIOJZ,X,O,X,X,O
STLIOZJ,O,O,X,X,X
STLJIZO,X,O,X,X,O
STLJIOZ,X,O,X,X,O
STLJZIO,X,O,X,O,O
STLJZOI,X,O,X,O,O
STLJOIZ,X,O,X,X,O
STLJOZI,X,O,X,O,O
STLZIJO,O,O,X,O,X
STLZIOJ,O,O,X,O,X
STLZJIO,O,O,X,O,X
STLZJOI,O,O,X,O,X
STLZOIJ,O,O,X,O,X
STLZOJI,O,O,X,O,X
STLOIJZ,X,O,X,X,O
STLOIZJ,O,O,X,X,X
STLOJIZ,X,O,X,X,O
STLOJZI,X,O,X,O,O
STLOZIJ,O,O,X,O,X
STLOZJI,O,O,X,O,X
STJILZO,X,O,X,X,O
STJILOZ,X,O,X,X,O
STJIZLO,X,X,X,X,O
STJIZOL,X,X,X,X,O
STJIOLZ,X,O,X,X,O
STJIOZL,X,X,X,X,O
STJLIZO,X,O,X,X,O
STJLIOZ,X,O,X,X,O
STJLZIO,X,O,O,X,O
STJLZOI,X,O,O,X,O
STJLOIZ,X,O,X,X,O
STJLOZI,X,O,O,X,O
STJZILO,X,X,O,X,O
STJZIOL,X,X,O,X,O
STJZLIO,X,X,O,X,O
STJZLOI,X,X,O,X,O
STJZOIL,X,X,O,X,O
STJZOLI,X,X,O,X,O
STJOILZ,X,O,X,X,O
STJOIZL,X,X,X,X,O
STJOLIZ,X,O,X,X,O
STJOLZI,X,O,O,X,O
STJOZIL,X,X,O,X,O
STJOZLI,X,X,O,X,O
STZILJO,O,O,X,O,X
STZILOJ,O,O,X,O,X
STZIJLO,O,X,O,X,O
STZIJOL,O,X,O,X,O
STZIOLJ,O,O,X,O,X
STZIOJL,O,X,O,X,O
STZLIJO,O,O,X,O,X
STZLIOJ,O,O,X,O,X
STZLJIO,O,O,X,O,X
STZLJOI,O,O,X,O,X
STZLOIJ,O,O,X,O,X
STZLOJI,O,O,X,O,X
STZJILO,O,X,O,X,O
STZJIOL,O,X,O,X,O
STZJLIO,O,X,O,X,O
STZJLOI,O,X,O,X,O
STZJOIL,O,X,O,X,O
STZJOLI,O,X,O,X,O
STZOILJ,O,O,X,O,X
STZOIJL,O,X,O,X,O
STZOLIJ,O,O,X,O,X
STZOLJI,O,O,X,O,X
STZOJIL,O,X,O,X,O
STZOJLI,O,X,O,X,O
STOILJZ,X,O,X,X,O
STOILZJ,O,O,X,X,X
STOIJLZ,X,O,X,X,O
STOIJZL,X,X,X,X,O
STOIZLJ,O,O,X,X,X
STOIZJL,O,X,X,X,O
STOLIJZ,X,O,X,X,O
STOLIZJ,O,O,X,X,X
STOLJIZ,X,O,X,X,O
STOLJZI,X,O,X,O,O
STOLZIJ,O,O,X,O,X
STOLZJI,O,O,X,O,X
STOJILZ,X,O,X,X,O
STOJIZL,X,X,X,X,O
STOJLIZ,X,O,X,X,O
STOJLZI,X,O,O,X,O
STOJZIL,X,X,O,X,O
STOJZLI,X,X,O,X,O
STOZILJ,O,O,X,O,X
STOZIJL,O,X,O,X,O
STOZLIJ,O,O,X,O,X
STOZLJI,O,O,X,O,X
STOZJIL,O,X,O,X,O
STOZJLI,O,X,O,X,O
SITLJZO,X,O,X,X,O
SITLJOZ,X,O,X,X,O
SITLZJO,O,O,X,X,X
SITLZOJ,O,O,X,X,X
SITLOJZ,X,O,X,X,O
SITLOZJ,O,O,X,X,X
SITJLZO,X,O,X,X,O
SITJLOZ,X,O,X,X,O
SITJZLO,X,X,X,X,O
SITJZOL,X,X,X,X,O
SITJOLZ,X,O,X,X,O
SITJOZL,X,X,X,X,O
SITZLJO,O,O,X,X,X
SITZLOJ,O,O,X,X,X
SITZJLO,O,X,X,X,O
SITZJOL,O,X,X,X,O
SITZOLJ,O,O,X,X,X
SITZOJL,O,X,X,X,O
SITOLJZ,X,O,X,X,O
