sequence,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeOFJvhFXhBVnBaoB5?oBzqB0sB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeTAJvhFxhBXjBimB+?tB0qBlsB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MexAJvhFVnBGjBilB/?tBzqB0sB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeTAJvhFOmBxiBFnBX?oB0qBSyB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MelAJvhFUiB5oB/qBO?rBysBzsB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeXBJvhFxiB2qBFnB6?tBzsB0qB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MexAJvhFTjB/qBarBF?nBGtB0sB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeUCJvhF5oB/qBFmBy?sBmqBzsB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeRCJvhFcoB/qBFmBT?nBSyBmqB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MexBJvhFXjBTlBimB+?tBlsB0qB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeXBJvhFxiB2qBFnBC?tBTtB0qB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeUCJvhF/qBFmBxsBT?tBmqBCtB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeKFJvhFUiBFmBxsBX?tBzqBGtB
TSIJZOL,O,X,O,O,O,X,X,X,X,X,X,O,X
TSIJOLZ,O,X,O,X,O,O,O,X,X,X,X,X,X
TSIJOZL,O,X,O,X,O,X,X,X,X,X,X,O,X
TSIZLJO,O,X,O,X,X,X,X,O,X,X,X,X,X
TSIZLOJ,O,X,X,X,X,X,X,O,X,X,X,O,X
TSIZJLO,O,X,O,X,X,X,X,O,X,X,X,X,X
TSIZJOL,O,X,O,O,X,X,X,X,X,X,X,O,X
TSIZOLJ,O,X,X,X,X,X,X,O,X,X,X,O,X
TSIZOJL,O,X,O,O,X,X,X,X,X,X,X,O,X
TSIOLJZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TSIOLZJ,O,X,O,X,X,O,X,O,O,X,X,O,X
TSIOJLZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TSIOJZL,O,X,O,X,X,X,X,X,X,X,X,O,X
TSIOZLJ,O,X,X,X,X,X,X,O,X,X,X,O,X
TSIOZJL,O,X,O,X,X,X,X,X,X,X,X,O,X
TSLIJZO,O,X,O,O,O,X,O,O,X,X,X,X,X
TSLIJOZ,O,X,O,O,O,O,O,X,X,X,O,X,X
TSLIZJO,O,X,O,O,X,X,O,O,X,X,X,X,X
TSLIZOJ,O,X,O,O,X,X,X,O,O,X,X,O,X
TSLIOJZ,O,X,O,O,X,X,O,X,X,X,X,X,X
TSLIOZJ,O,X,X,O,X,X,X,O,O,X,X,O,X
TSLJIZO,O,X,O,O,O,X,O,O,X,X,X,X,X
TSLJIOZ,O,X,O,O,O,O,O,X,X,X,O,X,X
TSLJZIO,O,X,O,O,O,X,O,O,X,X,X,X,X
TSLJZOI,O,X,O,O,O,O,O,X,O,X,O,X,X
TSLJOIZ,O,X,O,O,O,O,O,X,X,X,O,X,X
TSLJOZI,X,X,O,O,O,O,O,X,O,X,O,X,X
TSLZIJO,O,X,O,O,X,X,O,O,X,X,X,X,X
TSLZIOJ,O,X,O,O,X,X,X,O,O,X,X,O,X
TSLZJIO,O,X,O,O,X,X,O,O,X,X,X,X,X
TSLZJOI,O,X,O,O,X,O,O,X,O,X,O,X,X
TSLZOIJ,O,X,O,O,X,X,X,O,O,X,X,X,X
TSLZOJI,O,X,O,O,X,X,X,X,O,X,X,X,X
TSLOIJZ,O,X,O,O,X,O,O,X,X,X,X,X,X
TSLOIZJ,O,X,O,O,X,O,X,O,O,X,X,X,X
TSLOJIZ,O,X,O,O,X,O,O,X,X,X,O,X,X
TSLOJZI,O,X,O,O,X,O,O,X,O,X,O,X,X
TSLOZIJ,O,X,O,O,X,O,X,O,O,X,X,X,X
TSLOZJI,O,X,O,O,X,O,X,X,O,X,X,X,X
TSJILZO,O,X,O,X,O,X,O,O,X,X,X,X,X
TSJILOZ,O,X,O,X,O,O,O,X,X,X,O,X,X
TSJIZLO,O,X,O,X,O,X,X,O,X,X,X,X,X
TSJIZOL,O,X,O,O,O,X,X,X,X,X,X,O,X
TSJIOLZ,O,X,O,X,O,O,O,X,X,X,X,X,X
TSJIOZL,O,X,O,X,O,X,X,X,X,X,X,O,X
TSJLIZO,O,X,O,O,O,X,O,O,X,X,X,X,X
TSJLIOZ,O,X,O,O,O,O,O,X,X,X,O,X,X
TSJLZIO,O,X,O,O,O,X,O,O,X,X,X,X,X
TSJLZOI,O,X,O,O,O,O,O,X,O,X,O,X,X
TSJLOIZ,O,X,O,O,O,O,O,X,X,X,O,X,X
TSJLOZI,X,X,O,O,O,O,O,X,O,X,O,X,X
TSJZILO,O,X,O,X,O,X,X,O,X,X,X,X,X
TSJZIOL,O,X,O,O,O,X,X,X,X,X,X,O,X
TSJZLIO,O,X,O,O,O,X,O,O,X,X,X,X,X
TSJZLOI,O,X,O,O,O,O,O,X,X,X,O,X,X
TSJZOIL,O,X,O,O,O,X,X,X,X,X,X,X,X
TSJZOLI,O,X,O,O,O,O,O,X,X,X,X,X,X
TSJOILZ,O,X,O,X,O,O,O,X,X,X,X,X,X
TSJOIZL,O,X,O,X,O,X,X,X,X,X,X,X,X
TSJOLIZ,O,X,O,X,O,O,O,X,X,X,O,X,X
TSJOLZI,X,X,O,X,O,O,O,X,O,X,O,X,X
TSJOZIL,O,X,O,X,O,X,X,X,X,X,X,X,X
TSJOZLI,O,X,O,X,O,O,O,X,X,X,X,X,X
TSZILJO,O,X,O,X,X,X,X,O,X,X,X,X,X
TSZILOJ,O,X,O,X,X,X,X,O,X,X,X,O,X
TSZIJLO,O,X,O,X,X,X,X,O,X,X,X,X,X
TSZIJOL,O,X,O,O,X,X,X,X,X,X,X,O,X
TSZIOLJ,O,X,O,X,X,X,X,O,X,X,X,O,X
TSZIOJL,O,X,O,O,X,X,X,X,X,X,X,O,X
TSZLIJO,O,X,O,O,X,X,O,O,X,X,X,X,X
TSZLIOJ,O,X,O,O,X,X,X,O,O,X,X,O,X
TSZLJIO,O,X,O,O,X,X,O,O,X,X,X,X,X
TSZLJOI,O,X,O,O,X,O,O,X,O,X,O,X,X
TSZLOIJ,O,X,O,O,X,X,X,O,O,X,X,X,X
TSZLOJI,O,X,O,O,X,X,X,X,O,X,X,X,X
TSZJILO,O,X,O,X,X,X,X,O,X,X,X,X,X
TSZJIOL,O,X,O,O,X,X,X,X,X,X,X,O,X
TSZJLIO,O,X,O,O,X,X,O,O,X,X,X,X,X
TSZJLOI,O,X,O,O,X,O,O,X,X,X,O,X,X
TSZJOIL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZJOLI,O,X,O,O,X,O,O,X,X,X,X,X,X
TSZOILJ,O,X,O,X,X,X,X,O,X,X,X,O,X
TSZOIJL,O,X,O,O,X,X,X,X,X,X,X,O,X
TSZOLIJ,O,X,O,O,X,O,X,O,O,X,X,X,X
TSZOLJI,O,X,O,O,X,O,X,X,O,X,X,X,X
TSZOJIL,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZOJLI,O,X,O,O,X,O,X,X,X,X,X,X,X
TSOILJZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TSOILZJ,O,X,O,X,X,O,X,O,O,X,X,O,X
TSOIJLZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TSOIJZL,O,X,O,X,X,X,X,X,X,X,X,O,X
TSOIZLJ,O,X,O,X,X,X,X,O,X,X,X,O,X
TSOIZJL,O,X,O,X,X,X,X,X,X,X,X,O,X
TSOLIJZ,O,X,O,X,X,O,O,X,X,X,X,X,X
TSOLIZJ,O,X,O,X,X,O,X,O,O,X,X,X,X
TSOLJIZ,O,X,O,X,X,O,O,X,X,X,O,X,X
TSOLJZI,O,X,O,X,X,O,O,X,O,X,O,X,X
TSOLZIJ,O,X,O,X,X,O,X,O,O,X,X,X,X
TSOLZJI,O,X,O,X,X,O,X,X,O,X,X,X,X
TSOJILZ,O,X,O,X,X,O,O,X,X,X,X,X,X
TSOJIZL,O,X,O,X,X,X,X,X,X,X,X,X,X
TSOJLIZ,O,X,O,X,X,O,O,X,X,X,O,X,X
TSOJLZI,O,X,O,X,X,O,O,X,O,X,O,X,X
TSOJZIL,O,X,O,X,X,X,X,X,X,X,X,X,X
TSOJZLI,O,X,O,X,X,O,O,X,X,X,X,X,X
TSOZILJ,O,X,O,X,X,X,X,O,X,X,X,O,X
TSOZIJL,O,X,O,X,X,X,X,X,X,X,X,O,X
TSOZLIJ,O,X,O,X,X,O,X,O,O,X,X,X,X
TSOZLJI,O,X,O,X,X,O,X,X,O,X,X,X,X
TSOZJIL,O,X,O,X,X,X,X,X,X,X,X,X,X
TSOZJLI,O,X,O,X,X,O,X,X,X,X,X,X,X
TZILJSO,O,X,O,O,X,X,X,X,X,X,X,X,X
TZILJOS,O,X,X,O,X,X,X,X,X,X,X,X,X
TZILSJO,O,X,O,O,X,X,X,X,X,X,X,X,X
TZILSOJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TZILOJS,O,X,X,O,X,X,X,X,X,X,X,X,X
TZILOSJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TZIJLSO,O,X,X,O,X,X,X,X,X,X,X,X,X
TZIJLOS,O,X,X,O,X,X,X,X,X,X,X,X,X
TZIJSLO,O,X,O,X,X,X,X,X,X,X,X,X,X
TZIJSOL,O,X,O,O,X,X,X,X,X,X,X,X,X
TZIJOLS,O,X,X,O,X,X,X,X,X,X,X,X,X
TZIJOSL,O,X,X,O,X,X,X,X,X,X,X,X,X
TZISLJO,O,X,O,X,X,X,X,X,X,X,X,X,X
TZISLOJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TZISJLO,O,X,O,X,X,X,X,X,X,X,X,X,X
TZISJOL,O,X,O,O,X,X,X,X,X,X,X,X,X
TZISOLJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TZISOJL,O,X,O,O,X,X,X,X,X,X,X,X,X
TZIOLJS,O,X,O,O,X,X,X,X,X,X,X,X,X
TZIOLSJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TZIOJLS,O,X,X,O,X,X,X,X,X,X,X,X,X
TZIOJSL,O,X,O,O,X,X,X,X,X,X,X,X,X
TZIOSLJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TZIOSJL,O,X,O,O,X,X,X,X,X,X,X,X,X
TZLIJSO,O,O,O,O,X,X,X,X,X,X,X,X,X
TZLIJOS,O,O,X,O,X,X,X,X,X,X,X,X,X
TZLISJO,O,X,O,O,X,X,X,X,X,X,X,X,X
TZLISOJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TZLIOJS,O,O,X,O,X,X,X,X,X,X,X,X,X
TZLIOSJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TZLJISO,O,O,O,O,X,X,X,X,X,X,X,X,X
TZLJIOS,O,O,X,O,X,X,X,X,X,X,X,X,X
TZLJSIO,O,O,O,O,X,X,X,X,X,X,X,X,X
TZLJSOI,O,O,O,O,X,O,X,X,X,X,O,X,X
TZLJOIS,O,O,X,O,X,X,X,X,X,X,O,X,X
TZLJOSI,O,O,X,O,X,X,X,X,X,X,O,X,X
TZLSIJO,O,X,O,O,X,X,X,X,X,X,X,X,X
TZLSIOJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TZLSJIO,O,X,O,O,X,X,X,X,X,X,X,X,X
TZLSJOI,O,X,O,O,X,O,X,X,X,X,O,X,X
TZLSOIJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TZLSOJI,O,X,O,O,X,X,X,X,X,X,X,X,X
TZLOIJS,O,O,O,O,X,X,X,X,X,X,X,X,X
TZLOISJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TZLOJIS,O,O,O,O,X,X,X,X,X,X,X,X,X
TZLOJSI,O,O,O,O,X,X,X,X,X,X,X,X,X
TZLOSIJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TZLOSJI,O,X,O,O,X,X,X,X,X,X,X,X,X
TZJILSO,O,O,X,O,X,X,X,X,X,X,X,X,X
TZJILOS,O,O,X,O,X,X,X,X,X,X,X,X,X
TZJISLO,O,O,O,X,X,X,X,X,X,X,X,X,X
TZJISOL,O,O,O,O,X,X,X,X,X,X,X,X,X
TZJIOLS,O,O,X,O,X,X,X,X,X,X,X,X,X
TZJIOSL,O,O,X,O,X,X,X,X,X,X,X,X,X
TZJLISO,O,O,O,O,X,X,X,X,X,X,X,X,X
TZJLIOS,O,O,X,O,X,X,X,X,X,X,X,X,X
TZJLSIO,O,O,O,O,X,X,X,X,X,X,X,X,X
TZJLSOI,O,O,O,O,X,O,X,X,X,X,O,X,X
TZJLOIS,O,O,X,O,X,X,X,X,X,X,O,X,X
TZJLOSI,O,O,X,O,X,X,X,X,X,X,O,X,X
TZJSILO,O,O,O,X,X,X,X,X,X,X,X,X,X
TZJSIOL,O,O,O,O,X,X,X,X,X,X,X,X,X
TZJSLIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TZJSLOI,O,O,O,O,X,O,O,X,X,X,O,X,X
TZJSOIL,O,O,O,O,X,X,X,X,X,X,X,X,X
TZJSOLI,O,O,O,O,X,O,O,X,X,X,X,X,X
TZJOILS,O,O,X,O,X,X,X,X,X,X,X,X,X
TZJOISL,O,O,O,O,X,X,X,X,X,X,X,X,X
TZJOLIS,O,O,O,O,X,O,X,X,X,X,X,X,X
TZJOLSI,O,O,O,O,X,O,X,X,X,X,X,X,X
TZJOSIL,O,O,O,O,X,X,X,X,X,X,X,X,X
TZJOSLI,O,O,O,O,X,O,O,X,X,X,X,X,X
TZSILJO,O,X,O,X,X,X,X,X,X,X,X,X,X
TZSILOJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TZSIJLO,O,X,O,X,X,X,X,X,X,X,X,X,X
TZSIJOL,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSIOLJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TZSIOJL,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSLIJO,O,X,O,O,X,X,O,X,X,X,X,X,X
TZSLIOJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSLJIO,O,X,O,O,X,X,O,X,X,X,X,X,X
TZSLJOI,O,X,O,O,X,O,O,X,X,X,O,X,X
TZSLOIJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSLOJI,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSJILO,O,X,O,X,X,X,X,X,X,X,X,X,X
TZSJIOL,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSJLIO,O,X,O,O,X,X,O,X,X,X,X,X,X
TZSJLOI,O,X,O,O,X,O,O,X,X,X,O,X,X
TZSJOIL,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSJOLI,O,X,O,O,X,O,O,X,X,X,X,X,X
TZSOILJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TZSOIJL,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSOLIJ,O,X,O,O,X,O,X,X,X,X,X,X,X
TZSOLJI,O,X,O,O,X,O,X,X,X,X,X,X,X
TZSOJIL,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSOJLI,O,X,O,O,X,O,X,X,X,X,X,X,X
TZOILJS,O,X,O,O,X,X,X,X,X,X,X,X,X
TZOILSJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TZOIJLS,O,X,X,O,X,X,X,X,X,X,X,X,X
TZOIJSL,O,X,O,O,X,X,X,X,X,X,X,X,X
TZOISLJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TZOISJL,O,X,O,O,X,X,X,X,X,X,X,X,X
TZOLIJS,O,O,O,O,X,O,X,X,X,X,X,X,X
TZOLISJ,O,X,O,O,X,O,X,X,X,X,X,X,X
TZOLJIS,O,O,O,O,X,O,X,X,X,X,X,X,X
TZOLJSI,O,O,O,O,X,O,X,X,X,X,X,X,X
TZOLSIJ,O,X,O,O,X,O,X,X,X,X,X,X,X
TZOLSJI,O,X,O,O,X,O,X,X,X,X,X,X,X
TZOJILS,O,O,X,O,X,X,X,X,X,X,X,X,X
TZOJISL,O,O,O,O,X,X,X,X,X,X,X,X,X
TZOJLIS,O,O,O,O,X,O,X,X,X,X,X,X,X
TZOJLSI,O,O,O,O,X,O,X,X,X,X,X,X,X
TZOJSIL,O,O,O,O,X,X,X,X,X,X,X,X,X
TZOJSLI,O,O,O,O,X,O,X,X,X,X,X,X,X
TZOSILJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TZOSIJL,O,X,O,O,X,X,X,X,X,X,X,X,X
TZOSLIJ,O,X,O,O,X,O,X,X,X,X,X,X,X
TZOSLJI,O,X,O,O,X,O,X,X,X,X,X,X,X
TZOSJIL,O,X,O,O,X,X,X,X,X,X,X,X,X
TZOSJLI,O,X,O,O,X,O,X,X,X,X,X,X,X
TOILJSZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TOILJZS,O,X,O,X,X,O,X,X,X,X,X,X,X
TOILSJZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TOILSZJ,O,X,O,X,X,O,X,X,X,X,X,X,X
TOILZJS,O,X,O,X,X,O,X,X,X,X,X,X,X
TOILZSJ,O,X,O,X,X,O,X,X,X,X,X,X,X
TOIJLSZ,O,X,X,X,X,O,X,X,X,X,X,X,X
TOIJLZS,O,X,X,X,X,O,X,X,X,X,X,X,X
TOIJSLZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TOIJSZL,O,X,O,X,X,X,X,X,X,X,X,X,X
TOIJZLS,O,X,X,O,X,X,X,X,X,X,X,X,X
TOIJZSL,O,X,O,O,X,X,X,X,X,X,X,X,X
TOISLJZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TOISLZJ,O,X,O,X,X,O,X,X,X,X,X,X,X
TOISJLZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TOISJZL,O,X,O,X,X,X,X,X,X,X,X,X,X
TOISZLJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOISZJL,O,X,O,X,X,X,X,X,X,X,X,X,X
TOIZLJS,O,X,O,O,X,X,X,X,X,X,X,X,X
TOIZLSJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOIZJLS,O,X,X,O,X,X,X,X,X,X,X,X,X
TOIZJSL,O,X,O,O,X,X,X,X,X,X,X,X,X
TOIZSLJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOIZSJL,O,X,O,O,X,X,X,X,X,X,X,X,X
TOLIJSZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TOLIJZS,O,X,O,O,X,O,X,X,X,X,X,X,X
TOLISJZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TOLISZJ,O,X,O,X,X,O,X,X,X,X,X,X,X
TOLIZJS,O,X,O,O,X,O,X,X,X,X,X,X,X
TOLIZSJ,O,X,O,O,X,O,X,X,X,X,X,X,X
TOLJISZ,O,X,O,X,X,O,X,X,X,O,O,X,X
TOLJIZS,O,X,O,O,X,O,X,X,X,O,O,X,X
TOLJSIZ,O,X,O,O,X,O,X,X,X,O,O,X,X
TOLJSZI,O,X,O,O,X,O,X,X,X,O,O,X,X
TOLJZIS,O,X,O,O,X,O,X,X,X,O,O,X,X
TOLJZSI,O,X,O,O,X,O,X,X,X,O,O,X,X
TOLSIJZ,O,X,O,O,X,O,X,X,X,X,X,X,X
TOLSIZJ,O,X,O,O,X,O,X,X,O,X,X,X,X
TOLSJIZ,O,X,O,O,X,O,X,X,X,X,O,X,X
TOLSJZI,O,X,O,O,X,O,X,X,O,X,O,X,X
TOLSZIJ,O,X,O,O,X,O,X,X,O,X,X,X,X
TOLSZJI,O,X,O,O,X,O,X,X,O,X,X,X,X
TOLZIJS,O,X,O,O,X,O,X,X,X,X,X,X,X
TOLZISJ,O,X,O,O,X,O,X,X,O,X,X,X,X
TOLZJIS,O,X,O,O,X,O,X,X,X,X,X,X,X
TOLZJSI,O,X,O,O,X,O,X,X,X,X,X,X,X
TOLZSIJ,O,X,O,O,X,O,X,X,O,X,X,X,X
TOLZSJI,O,X,O,O,X,O,X,X,O,X,X,X,X
TOJILSZ,O,X,X,X,X,O,X,X,X,O,X,X,X
TOJILZS,O,X,X,X,X,O,X,X,X,O,X,X,X
TOJISLZ,O,X,O,X,X,O,O,X,X,O,X,X,X
TOJISZL,O,X,O,X,X,X,X,X,X,X,X,X,X
TOJIZLS,O,X,X,O,X,X,X,X,X,X,X,X,X
TOJIZSL,O,X,O,O,X,X,X,X,X,X,X,X,X
TOJLISZ,O,X,O,X,X,O,X,X,X,O,O,X,X
TOJLIZS,O,X,O,O,X,O,X,X,X,O,O,X,X
TOJLSIZ,O,X,O,O,X,O,O,X,X,O,O,X,X
TOJLSZI,O,X,O,O,X,O,O,X,X,O,O,X,X
TOJLZIS,O,X,O,O,X,O,X,X,X,O,O,X,X
TOJLZSI,O,X,O,O,X,O,X,X,X,O,O,X,X
TOJSILZ,O,X,O,X,X,O,O,X,X,O,X,X,X
TOJSIZL,O,X,O,X,X,X,X,X,X,X,X,X,X
TOJSLIZ,O,X,O,X,X,O,O,X,X,O,O,X,X
TOJSLZI,O,X,O,X,X,O,O,X,X,O,O,X,X
TOJSZIL,O,X,O,X,X,X,X,X,X,X,X,X,X
TOJSZLI,O,X,O,X,X,O,O,X,X,O,X,X,X
TOJZILS,O,X,X,O,X,X,X,X,X,X,X,X,X
TOJZISL,O,X,O,O,X,X,X,X,X,X,X,X,X
TOJZLIS,O,X,O,O,X,O,X,X,X,O,X,X,X
TOJZLSI,O,X,O,O,X,O,X,X,X,O,X,X,X
TOJZSIL,O,X,O,O,X,X,X,X,X,X,X,X,X
TOJZSLI,O,X,O,O,X,O,O,X,X,O,X,X,X
TOSILJZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TOSILZJ,O,X,O,X,X,O,X,X,O,X,X,X,X
TOSIJLZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TOSIJZL,O,X,O,X,X,X,X,X,X,X,X,X,X
TOSIZLJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOSIZJL,O,X,O,X,X,X,X,X,X,X,X,X,X
TOSLIJZ,O,X,O,X,X,O,O,X,X,X,X,X,X
TOSLIZJ,O,X,O,X,X,O,X,X,O,X,X,X,X
TOSLJIZ,O,X,O,X,X,O,O,X,X,X,O,X,X
TOSLJZI,O,X,O,X,X,O,O,X,O,X,O,X,X
TOSLZIJ,O,X,O,X,X,O,X,X,O,X,X,X,X
TOSLZJI,O,X,O,X,X,O,X,X,O,X,X,X,X
TOSJILZ,O,X,O,X,X,O,O,X,X,X,X,X,X
TOSJIZL,O,X,O,X,X,X,X,X,X,X,X,X,X
TOSJLIZ,O,X,O,X,X,O,O,X,X,X,O,X,X
TOSJLZI,O,X,O,X,X,O,O,X,O,X,O,X,X
TOSJZIL,O,X,O,X,X,X,X,X,X,X,X,X,X
TOSJZLI,O,X,O,X,X,O,O,X,X,X,X,X,X
TOSZILJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOSZIJL,O,X,O,X,X,X,X,X,X,X,X,X,X
TOSZLIJ,O,X,O,X,X,O,X,X,O,X,X,X,X
TOSZLJI,O,X,O,X,X,O,X,X,O,X,X,X,X
TOSZJIL,O,X,O,X,X,X,X,X,X,X,X,X,X
TOSZJLI,O,X,O,X,X,O,X,X,X,X,X,X,X
TOZILJS,O,X,O,O,X,X,X,X,X,X,X,X,X
TOZILSJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOZIJLS,O,X,X,O,X,X,X,X,X,X,X,X,X
TOZIJSL,O,X,O,O,X,X,X,X,X,X,X,X,X
TOZISLJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOZISJL,O,X,O,O,X,X,X,X,X,X,X,X,X
TOZLIJS,O,X,O,O,X,O,X,X,X,X,X,X,X
TOZLISJ,O,X,O,O,X,O,X,X,X,X,X,X,X
TOZLJIS,O,X,O,O,X,O,X,X,X,X,X,X,X
TOZLJSI,O,X,O,O,X,O,X,X,X,X,X,X,X
TOZLSIJ,O,X,O,O,X,O,X,X,X,X,X,X,X
TOZLSJI,O,X,O,O,X,O,X,X,X,X,X,X,X
TOZJILS,O,X,X,O,X,X,X,X,X,X,X,X,X
TOZJISL,O,X,O,O,X,X,X,X,X,X,X,X,X
TOZJLIS,O,X,O,O,X,O,X,X,X,X,X,X,X
TOZJLSI,O,X,O,O,X,O,X,X,X,X,X,X,X
TOZJSIL,O,X,O,O,X,X,X,X,X,X,X,X,X
TOZJSLI,O,X,O,O,X,O,X,X,X,X,X,X,X
TOZSILJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOZSIJL,O,X,O,O,X,X,X,X,X,X,X,X,X
TOZSLIJ,O,X,O,O,X,O,X,X,X,X,X,X,X
TOZSLJI,O,X,O,O,X,O,X,X,X,X,X,X,X
TOZSJIL,O,X,O,O,X,X,X,X,X,X,X,X,X
TOZSJLI,O,X,O,O,X,O,X,X,X,X,X,X,X
ITLJSZO,O,X,O,O,O,X,X,X,X,X,X,X,O
ITLJSOZ,O,X,O,O,O,O,X,X,X,X,O,X,X
ITLJZSO,O,X,O,O,O,X,X,X,X,X,X,X,O
ITLJZOS,O,X,X,O,X,X,X,X,X,X,X,X,X
ITLJOSZ,O,X,X,X,X,X,X,X,X,X,O,X,X
ITLJOZS,O,X,X,O,X,X,X,X,X,X,O,X,X
ITLSJZO,O,X,O,O,O,X,X,O,X,X,X,X,O
ITLSJOZ,O,X,O,O,O,O,X,X,X,X,O,X,X
ITLSZJO,O,X,O,O,X,X,X,O,X,X,X,X,O
ITLSZOJ,O,X,O,O,X,X,X,O,X,X,X,X,O
ITLSOJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
ITLSOZJ,O,X,X,O,X,X,X,O,X,X,X,X,O
ITLZJSO,O,X,O,O,O,X,X,X,X,X,X,X,O
ITLZJOS,O,X,X,O,X,X,X,X,X,X,X,X,X
ITLZSJO,O,X,O,O,X,X,X,O,X,X,X,X,O
ITLZSOJ,O,X,O,O,X,X,X,O,X,X,X,X,O
ITLZOJS,O,X,X,O,X,X,X,X,X,X,X,X,X
ITLZOSJ,O,X,O,O,X,X,X,X,X,X,X,X,O
ITLOJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITLOJZS,O,X,X,O,X,X,X,X,X,X,X,X,X
ITLOSJZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITLOSZJ,O,X,X,X,X,X,X,X,X,X,X,X,O
ITLOZJS,O,X,X,O,X,X,X,X,X,X,X,X,X
ITLOZSJ,O,X,O,O,X,X,X,X,X,X,X,X,O
ITJLSZO,O,X,X,O,O,X,X,X,X,X,X,X,X
ITJLSOZ,O,X,X,O,O,O,X,X,X,X,O,X,X
ITJLZSO,O,X,X,O,O,X,X,X,X,X,X,X,X
ITJLZOS,O,X,X,O,X,X,X,X,X,X,X,X,X
ITJLOSZ,O,X,X,X,X,X,X,X,X,X,O,X,X
ITJLOZS,O,X,X,O,X,X,X,X,X,X,O,X,X
ITJSLZO,O,X,O,X,O,X,O,X,X,X,X,X,X
ITJSLOZ,O,X,O,X,O,O,O,X,X,X,O,X,X
ITJSZLO,O,X,O,X,O,X,X,X,X,X,X,X,X
ITJSZOL,O,X,O,O,O,X,X,X,X,X,X,X,X
ITJSOLZ,O,X,O,X,O,O,O,X,X,X,X,X,X
ITJSOZL,O,X,O,X,O,X,X,X,X,X,X,X,X
ITJZLSO,O,X,X,O,O,X,X,X,X,X,X,X,X
ITJZLOS,O,X,X,O,X,X,X,X,X,X,X,X,X
