sequence,v115@FhB8HeC8HeC8DeD8Jei/IvhFGhBTiBfqBUrBRsBlqB,v115@FhB8HeC8HeC8DeD8JeT/IvhF0gBqnBVqB3mBmmBxvB,v115@FhB8HeC8HeC8DeD8JeT/IvhFelBRhBqnB8rB3qBFrB,v115@FhB8HeC8HeC8DeD8JeT/IvhFigBGiBfrBUqBRsBlrB,v115@FhB8HeC8HeC8DeD8JeT/IvhFCiBXlB2rB0nBllBxvB,v115@FhB8HeC8HeC8DeD8JeT/IvhFcmBenBqnBXlBllBxvB,v115@FhB8HeC8HeC8DeD8JeT/IvhFelBRmB1sBCnB3qBUrB,v115@FhB8HeC8HeC8DeD8Je2EJvhFRmB1sBzkBCnB3qBUrB,v115@FhB8HeC8HeC8DeD8Jei/IvhFfqBxlB0nBuqBFnBTrB
TJLOIZS,X,O,X,X,X,X,O,X,X
TJLOSIZ,X,X,X,X,X,X,O,X,X
TJLOSZI,X,X,O,X,X,X,X,X,X
TJLOZIS,X,O,O,X,X,X,X,X,X
TJLOZSI,X,X,O,X,X,X,X,X,X
TJSILZO,X,X,X,X,X,X,X,O,X
TJSILOZ,X,X,X,X,X,X,O,O,X
TJSIZLO,X,X,X,X,X,X,X,O,X
TJSIZOL,X,X,X,X,X,X,O,O,X
TJSIOLZ,X,X,X,X,X,X,O,O,X
TJSIOZL,X,X,X,X,X,X,O,O,X
TJSLIZO,X,X,X,X,X,X,X,O,X
TJSLIOZ,X,X,X,X,X,X,O,O,X
TJSLZIO,X,X,O,X,X,X,X,X,X
TJSLZOI,X,X,O,X,X,X,X,X,X
TJSLOIZ,X,X,X,X,X,X,O,X,X
TJSLOZI,X,X,O,X,X,X,X,X,X
TJSZILO,X,X,X,X,X,X,X,O,X
TJSZIOL,X,X,X,X,X,X,O,O,X
TJSZLIO,X,X,O,X,X,X,X,X,X
TJSZLOI,X,X,O,X,X,X,X,X,X
TJSZOIL,X,X,X,X,X,X,O,X,X
TJSZOLI,X,X,O,X,X,X,X,X,X
TJSOILZ,X,X,X,X,X,X,O,O,X
TJSOIZL,X,X,X,X,X,X,O,O,X
TJSOLIZ,X,X,X,X,X,X,O,X,X
TJSOLZI,X,X,O,X,X,X,X,X,X
TJSOZIL,X,X,X,X,X,X,O,X,X
TJSOZLI,X,X,O,X,X,X,X,X,X
TJZILSO,X,O,X,X,X,X,X,O,X
TJZILOS,X,O,X,X,X,X,X,O,X
TJZISLO,X,O,X,X,X,X,X,O,X
TJZISOL,X,O,X,X,X,X,X,O,X
TJZIOLS,X,O,X,X,X,X,O,O,X
TJZIOSL,X,O,X,X,X,X,O,O,X
TJZLISO,X,O,X,X,X,X,X,X,X
TJZLIOS,X,O,O,X,X,X,X,X,X
TJZLSIO,X,X,O,X,X,X,X,X,X
TJZLSOI,X,X,O,X,X,X,X,X,X
TJZLOIS,X,O,O,X,X,X,X,X,X
TJZLOSI,X,X,O,X,X,X,X,X,X
TJZSILO,X,X,X,X,X,X,X,O,X
TJZSIOL,X,X,X,X,X,X,O,O,X
TJZSLIO,X,X,O,X,X,X,X,X,X
TJZSLOI,X,X,O,X,X,X,X,X,X
TJZSOIL,X,X,X,X,X,X,O,X,X
TJZSOLI,X,X,O,X,X,X,X,X,X
TJZOILS,X,O,X,X,X,X,O,X,X
TJZOISL,X,O,X,X,X,X,O,X,X
TJZOLIS,X,O,O,X,X,X,X,X,X
TJZOLSI,X,X,O,X,X,X,X,X,X
TJZOSIL,X,X,X,X,X,X,O,X,X
TJZOSLI,X,X,O,X,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X,O,O,X
TJOILZS,X,X,X,X,X,X,O,O,X
TJOISLZ,X,X,X,X,X,X,O,O,X
TJOISZL,X,X,X,X,X,X,O,O,X
TJOIZLS,X,X,X,X,X,X,O,O,X
TJOIZSL,X,X,X,X,X,X,O,O,X
TJOLISZ,X,O,X,X,X,X,O,X,X
TJOLIZS,X,O,X,X,X,X,O,X,X
TJOLSIZ,X,X,X,X,X,X,O,X,X
TJOLSZI,X,X,O,X,X,X,X,X,X
TJOLZIS,X,O,O,X,X,X,X,X,X
TJOLZSI,X,X,O,X,X,X,X,X,X
TJOSILZ,X,X,X,X,X,X,O,O,X
TJOSIZL,X,X,X,X,X,X,O,O,X
TJOSLIZ,X,X,X,X,X,X,O,X,X
TJOSLZI,X,X,O,X,X,X,X,X,X
TJOSZIL,X,X,X,X,X,X,O,X,X
TJOSZLI,X,X,O,X,X,X,X,X,X
TJOZILS,X,O,X,X,X,X,O,X,X
TJOZISL,X,O,X,X,X,X,O,X,X
TJOZLIS,X,O,O,X,X,X,X,X,X
TJOZLSI,X,X,O,X,X,X,X,X,X
TJOZSIL,X,X,X,X,X,X,O,X,X
TJOZSLI,X,X,O,X,X,X,X,X,X
TSILJZO,X,X,X,X,X,O,X,O,X
TSILJOZ,O,X,X,X,X,O,O,O,X
TSILZJO,O,X,X,X,X,X,X,X,O
TSILZOJ,O,X,X,X,X,X,X,X,O
TSILOJZ,O,X,X,X,X,O,O,X,X
TSILOZJ,O,X,X,X,X,X,X,X,X
TSIJLZO,X,X,X,X,X,X,X,O,X
TSIJLOZ,O,X,X,X,X,X,O,O,X
TSIJZLO,X,X,X,X,X,X,X,O,X
TSIJZOL,X,X,X,X,X,X,O,O,X
TSIJOLZ,O,X,X,X,X,X,O,O,X
TSIJOZL,X,X,X,X,X,X,O,O,X
TSIZLJO,O,X,X,X,X,X,X,X,O
TSIZLOJ,O,X,X,X,X,X,X,X,O
TSIZJLO,O,X,X,X,O,X,X,O,X
TSIZJOL,O,X,X,X,O,X,O,O,X
TSIZOLJ,O,X,X,X,X,X,X,X,X
TSIZOJL,O,X,X,X,O,X,O,X,X
TSIOLJZ,O,X,X,X,X,O,O,X,X
TSIOLZJ,O,X,X,X,X,X,X,X,X
TSIOJLZ,O,X,X,X,X,X,O,O,X
TSIOJZL,X,X,X,X,X,X,O,O,X
TSIOZLJ,O,X,X,X,X,X,X,X,X
TSIOZJL,O,X,X,X,O,X,O,X,X
TSLIJZO,X,O,X,X,X,O,X,O,X
TSLIJOZ,O,O,X,X,X,O,O,O,X
TSLIZJO,O,O,X,X,X,X,X,X,O
TSLIZOJ,O,O,X,X,X,X,X,X,O
TSLIOJZ,O,O,X,X,X,O,O,X,X
TSLIOZJ,O,O,X,X,X,X,X,X,X
TSLJIZO,X,X,X,X,X,X,X,O,X
TSLJIOZ,X,X,X,X,X,X,O,O,X
TSLJZIO,X,X,O,X,X,X,X,X,X
TSLJZOI,X,X,O,X,X,O,X,X,X
TSLJOIZ,X,X,X,X,X,X,O,X,X
TSLJOZI,X,X,O,X,X,O,X,X,X
TSLZIJO,X,O,O,X,X,X,X,X,O
TSLZIOJ,X,O,X,X,X,X,X,X,O
TSLZJIO,X,X,O,X,X,X,X,X,X
TSLZJOI,X,X,O,X,X,X,X,X,X
TSLZOIJ,X,O,X,X,X,X,X,X,O
TSLZOJI,X,X,O,X,X,X,X,X,X
TSLOIJZ,X,O,X,X,X,O,O,X,X
TSLOIZJ,X,O,X,X,X,X,X,X,O
TSLOJIZ,X,X,X,X,X,X,O,X,X
TSLOJZI,X,X,O,X,X,O,X,X,X
TSLOZIJ,X,O,X,X,X,X,X,X,O
TSLOZJI,X,X,O,X,X,X,X,X,X
TSJILZO,X,X,X,X,X,X,X,O,X
TSJILOZ,X,X,X,X,X,X,O,O,X
TSJIZLO,X,X,X,X,X,X,X,O,X
TSJIZOL,X,X,X,X,X,X,O,O,X
TSJIOLZ,X,X,X,X,X,X,O,O,X
TSJIOZL,X,X,X,X,X,X,O,O,X
TSJLIZO,X,X,X,X,X,X,X,O,X
TSJLIOZ,X,X,X,X,X,X,O,O,X
TSJLZIO,X,X,O,X,X,X,X,X,X
TSJLZOI,X,X,O,X,X,X,X,X,X
TSJLOIZ,X,X,X,X,X,X,O,X,X
TSJLOZI,X,X,O,X,X,X,X,X,X
TSJZILO,X,X,X,X,X,X,X,O,X
TSJZIOL,X,X,X,X,X,X,O,O,X
TSJZLIO,X,X,O,X,X,X,X,X,X
TSJZLOI,X,X,O,X,X,X,X,X,X
TSJZOIL,X,X,X,X,X,X,O,X,X
TSJZOLI,X,X,O,X,X,X,X,X,X
TSJOILZ,X,X,X,X,X,X,O,O,X
TSJOIZL,X,X,X,X,X,X,O,O,X
TSJOLIZ,X,X,X,X,X,X,O,X,X
TSJOLZI,X,X,O,X,X,X,X,X,X
TSJOZIL,X,X,X,X,X,X,O,X,X
TSJOZLI,X,X,O,X,X,X,X,X,X
TSZILJO,X,O,X,X,X,X,X,X,O
TSZILOJ,X,O,X,X,X,X,X,X,O
TSZIJLO,X,O,X,X,O,X,X,O,X
TSZIJOL,X,O,X,X,O,X,O,O,X
TSZIOLJ,X,O,X,X,X,X,X,X,X
TSZIOJL,X,O,X,X,O,X,O,X,X
TSZLIJO,X,O,O,X,X,X,X,X,O
TSZLIOJ,X,O,X,X,X,X,X,X,O
TSZLJIO,X,X,O,X,X,X,X,X,X
