sequence,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFFiBTjB?GmBUrBisB3qB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFFiBTjB?GmB3qBisBUrB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFzgB+mB?iiBcoB1vBXsB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFamBfnB?TjB+qB0nB1wB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFiiBcoB?+qBTmBXsBFrB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFWmBiiB?coB3qBFsBTrB
TSJOILZ,X,O,O,O,X,X
TSJOIZL,X,X,O,O,O,O
TSJOLIZ,X,O,O,O,X,X
TSJOLZI,X,O,O,O,X,X
TSJOZIL,X,X,O,O,O,O
TSJOZLI,X,X,O,O,O,O
TSZILJO,X,X,O,X,O,O
TSZILOJ,X,X,O,X,X,O
TSZIJLO,X,X,O,O,O,O
TSZIJOL,X,X,O,O,O,O
TSZIOLJ,X,X,O,X,X,O
TSZIOJL,X,X,O,O,X,O
TSZLIJO,X,X,O,X,O,O
TSZLIOJ,X,X,O,X,X,O
TSZLJIO,X,X,O,X,O,O
TSZLJOI,X,X,O,X,O,O
TSZLOIJ,X,X,O,X,X,O
TSZLOJI,X,X,O,X,X,O
TSZJILO,X,X,O,O,O,O
TSZJIOL,X,X,O,O,O,O
TSZJLIO,X,X,O,O,O,O
TSZJLOI,X,X,O,O,O,O
TSZJOIL,X,X,O,O,O,O
TSZJOLI,X,X,O,O,O,O
TSZOILJ,X,X,O,X,X,O
TSZOIJL,X,X,O,O,X,O
TSZOLIJ,X,X,O,X,X,O
TSZOLJI,X,X,O,X,X,O
TSZOJIL,X,X,O,O,X,O
TSZOJLI,X,X,O,O,X,O
TSOILJZ,X,O,O,O,X,X
TSOILZJ,O,O,O,X,X,X
TSOIJLZ,X,O,O,O,X,X
TSOIJZL,X,X,O,O,X,O
TSOIZLJ,X,X,O,X,X,O
TSOIZJL,X,X,O,O,X,O
TSOLIJZ,X,O,O,O,X,X
TSOLIZJ,O,O,O,X,X,X
TSOLJIZ,X,O,O,O,X,X
TSOLJZI,X,O,O,O,X,X
TSOLZIJ,O,O,O,X,X,X
TSOLZJI,O,O,O,X,X,X
