sequence,v115@QhA8GeC8AeC8AeE8JeZEJvhFukBUhBFiBXjBTlBirB,v115@QhA8GeC8AeC8AeE8JeZEJvhFzfBFhBOnBXjBSqBcrB,v115@QhA8GeC8AeC8AeE8JecFJvhFxhBXjBTkBmmBFrBipB
TOJZSLI,O,X,O
TOSILJZ,O,X,O
TOSILZJ,O,X,X
TOSIJLZ,O,X,O
TOSIJZL,O,X,O
TOSIZLJ,O,X,X
TOSIZJL,O,X,O
TOSLIJZ,O,X,O
TOSLIZJ,O,X,X
TOSLJIZ,O,X,O
TOSLJZI,O,X,O
TOSLZIJ,O,X,X
TOSLZJI,O,X,O
TOSJILZ,O,X,O
TOSJIZL,O,X,O
TOSJLIZ,O,X,O
TOSJLZI,O,X,O
TOSJZIL,O,X,O
TOSJZLI,O,X,O
TOSZILJ,O,X,X
TOSZIJL,O,X,O
TOSZLIJ,O,X,X
TOSZLJI,O,X,O
TOSZJIL,O,X,O
TOSZJLI,O,X,O
TOZILJS,O,X,X
TOZILSJ,O,X,X
TOZIJLS,O,X,O
TOZIJSL,O,X,O
TOZISLJ,O,X,X
TOZISJL,O,X,O
TOZLIJS,O,X,X
TOZLISJ,O,X,X
TOZLJIS,O,X,O
TOZLJSI,O,X,O
TOZLSIJ,O,X,X
TOZLSJI,O,X,O
TOZJILS,O,X,O
TOZJISL,O,X,O
TOZJLIS,O,X,O
TOZJLSI,O,X,O
TOZJSIL,O,X,O
TOZJSLI,O,X,O
TOZSILJ,O,X,X
TOZSIJL,O,X,O
TOZSLIJ,O,X,X
TOZSLJI,O,X,O
TOZSJIL,O,X,O
TOZSJLI,O,X,O
ITLJSZO,O,O,X
ITLJSOZ,O,O,X
ITLJZSO,O,O,X
ITLJZOS,O,O,X
ITLJOSZ,O,O,X
ITLJOZS,O,O,X
ITLSJZO,O,O,X
ITLSJOZ,O,O,X
ITLSZJO,O,O,X
ITLSZOJ,O,O,X
ITLSOJZ,O,O,X
ITLSOZJ,O,O,X
ITLZJSO,O,O,X
ITLZJOS,O,O,X
ITLZSJO,O,O,X
ITLZSOJ,O,O,X
ITLZOJS,O,O,X
ITLZOSJ,O,O,X
ITLOJSZ,O,O,X
ITLOJZS,O,O,X
ITLOSJZ,O,O,X
ITLOSZJ,O,O,X
ITLOZJS,O,O,X
ITLOZSJ,O,O,X
ITJLSZO,O,O,O
ITJLSOZ,O,O,O
ITJLZSO,O,O,O
ITJLZOS,O,O,O
ITJLOSZ,O,O,O
ITJLOZS,O,O,O
ITJSLZO,O,O,O
ITJSLOZ,O,O,O
ITJSZLO,X,O,O
ITJSZOL,O,O,O
ITJSOLZ,O,X,O
ITJSOZL,O,X,O
ITJZLSO,X,O,O
ITJZLOS,X,O,O
ITJZSLO,X,O,O
ITJZSOL,X,O,O
ITJZOLS,X,O,O
ITJZOSL,X,O,O
ITJOLSZ,O,X,O
ITJOLZS,O,X,O
ITJOSLZ,O,X,O
ITJOSZL,O,X,O
ITJOZLS,O,X,O
ITJOZSL,O,X,O
ITSLJZO,O,O,O
ITSLJOZ,O,O,O
ITSLZJO,O,O,X
ITSLZOJ,O,O,X
ITSLOJZ,O,O,O
ITSLOZJ,O,O,X
ITSJLZO,O,O,O
ITSJLOZ,O,O,O
ITSJZLO,X,O,O
ITSJZOL,O,O,O
ITSJOLZ,O,X,O
ITSJOZL,O,X,O
ITSZLJO,X,O,X
ITSZLOJ,X,O,X
ITSZJLO,X,O,O
ITSZJOL,O,O,O
ITSZOLJ,O,O,X
ITSZOJL,O,O,O
ITSOLJZ,O,X,O
ITSOLZJ,O,X,X
ITSOJLZ,O,X,O
ITSOJZL,O,X,O
ITSOZLJ,O,X,X
ITSOZJL,O,X,O
ITZLJSO,X,O,X
ITZLJOS,X,O,X
ITZLSJO,X,O,X
ITZLSOJ,X,O,X
ITZLOJS,X,O,X
ITZLOSJ,X,O,X
ITZJLSO,X,O,O
ITZJLOS,X,O,O
ITZJSLO,X,O,O
ITZJSOL,X,O,O
ITZJOLS,X,O,O
ITZJOSL,X,O,O
ITZSLJO,X,O,X
ITZSLOJ,X,O,X
ITZSJLO,X,O,O
ITZSJOL,X,O,O
ITZSOLJ,X,O,X
ITZSOJL,X,O,O
ITZOLJS,X,O,X
ITZOLSJ,X,O,X
ITZOJLS,X,O,O
ITZOJSL,X,O,O
ITZOSLJ,X,O,X
ITZOSJL,X,O,O
ITOLJSZ,O,X,X
ITOLJZS,O,X,X
ITOLSJZ,O,X,X
ITOLSZJ,O,X,X
ITOLZJS,O,X,X
ITOLZSJ,O,X,X
ITOJLSZ,O,X,O
ITOJLZS,O,X,O
ITOJSLZ,O,X,O
ITOJSZL,O,X,O
ITOJZLS,O,X,O
ITOJZSL,O,X,O
ITOSLJZ,O,X,O
ITOSLZJ,O,X,X
ITOSJLZ,O,X,O
ITOSJZL,O,X,O
ITOSZLJ,O,X,X
ITOSZJL,O,X,O
ITOZLJS,O,X,X
ITOZLSJ,O,X,X
ITOZJLS,O,X,O
ITOZJSL,O,X,O
ITOZSLJ,O,X,X
ITOZSJL,O,X,O
ILTJSZO,O,O,X
ILTJSOZ,O,O,X
ILTJZSO,O,O,X
ILTJZOS,O,O,X
ILTJOSZ,O,O,X
ILTJOZS,O,O,X
ILTSJZO,O,O,X
ILTSJOZ,O,O,X
ILTSZJO,O,O,X
ILTSZOJ,O,O,X
ILTSOJZ,O,O,X
ILTSOZJ,O,O,X
ILTZJSO,O,O,X
ILTZJOS,O,O,X
ILTZSJO,O,O,X
ILTZSOJ,O,O,X
ILTZOJS,O,O,X
ILTZOSJ,O,O,X
ILTOJSZ,O,O,X
ILTOJZS,O,O,X
ILTOSJZ,O,O,X
ILTOSZJ,O,O,X
ILTOZJS,O,O,X
ILTOZSJ,O,O,X
ILJTSZO,O,O,X
ILJTSOZ,O,O,X
ILJTZSO,O,O,X
ILJTZOS,O,O,X
ILJTOSZ,O,O,X
ILJTOZS,O,O,X
ILJSTZO,O,O,X
ILJSTOZ,O,O,X
ILJSZTO,O,O,X
ILJSZOT,O,O,X
ILJSOTZ,O,O,X
ILJSOZT,O,O,X
ILJZTSO,O,O,X
ILJZTOS,O,O,X
ILJZSTO,O,O,X
ILJZSOT,O,O,X
ILJZOTS,O,O,X
ILJZOST,O,O,X
ILJOTSZ,O,O,X
ILJOTZS,O,O,X
ILJOSTZ,O,O,X
ILJOSZT,O,O,X
ILJOZTS,O,O,X
ILJOZST,O,O,X
ILSTJZO,O,O,X
ILSTJOZ,O,O,X
ILSTZJO,O,O,X
ILSTZOJ,O,O,X
ILSTOJZ,O,O,X
ILSTOZJ,O,O,X
ILSJTZO,O,O,X
ILSJTOZ,O,O,X
ILSJZTO,O,O,X
ILSJZOT,O,O,X
ILSJOTZ,O,O,X
ILSJOZT,O,O,X
ILSZTJO,O,O,X
ILSZTOJ,O,O,X
ILSZJTO,O,O,X
ILSZJOT,O,O,X
ILSZOTJ,O,O,X
ILSZOJT,O,O,X
ILSOTJZ,O,O,X
ILSOTZJ,O,O,X
ILSOJTZ,O,O,X
ILSOJZT,O,O,X
ILSOZTJ,O,O,X
ILSOZJT,O,O,X
ILZTJSO,O,O,X
ILZTJOS,O,O,X
ILZTSJO,O,O,X
ILZTSOJ,O,O,X
ILZTOJS,O,O,X
ILZTOSJ,O,O,X
ILZJTSO,O,O,X
ILZJTOS,O,O,X
ILZJSTO,O,O,X
ILZJSOT,O,O,X
ILZJOTS,O,O,X
ILZJOST,O,O,X
ILZSTJO,O,O,X
ILZSTOJ,O,O,X
ILZSJTO,O,O,X
ILZSJOT,O,O,X
ILZSOTJ,O,O,X
ILZSOJT,O,O,X
ILZOTJS,O,O,X
ILZOTSJ,O,O,X
ILZOJTS,O,O,X
ILZOJST,O,O,X
ILZOSTJ,O,O,X
ILZOSJT,O,O,X
ILOTJSZ,O,O,X
ILOTJZS,O,O,X
ILOTSJZ,O,O,X
ILOTSZJ,O,O,X
ILOTZJS,O,O,X
ILOTZSJ,O,O,X
ILOJTSZ,O,O,X
ILOJTZS,O,O,X
ILOJSTZ,O,O,X
ILOJSZT,O,O,X
ILOJZTS,O,O,X
ILOJZST,O,O,X
ILOSTJZ,O,O,X
ILOSTZJ,O,O,X
