sequence,v115@OhA8HeE8CeF8Je0/IvhFxgBXiBTjB2pBVrBSvB,v115@OhA8HeE8CeF8JeFBJvhFXiBTjBxkBmkB0pBCrB,v115@OhA8HeE8CeF8JeKEJvhFclBxhBTjBlmB3qBupB,v115@OhA8HeE8CeF8Jei/IvhFXiBTjBRlBGmB0pBlqB,v115@OhA8HeE8CeF8Jei/IvhFFhBXiBTjB0pBxqBGqB,v115@OhA8HeE8CeF8JeKEJvhFUgBFhBXiBTjBxqBWvB
TOSILJZ,O,O,O,O,X,O
TOSILZJ,X,O,O,O,O,O
TOSIJLZ,O,X,O,O,X,O
TOSIJZL,O,X,O,X,O,X
TOSIZLJ,X,O,O,O,O,O
TOSIZJL,O,O,O,O,O,X
TOSLIJZ,O,O,O,O,X,O
TOSLIZJ,X,O,O,O,O,O
TOSLJIZ,O,O,O,X,X,O
TOSLJZI,O,O,O,X,X,X
TOSLZIJ,X,O,O,O,O,O
TOSLZJI,X,O,O,X,O,X
TOSJILZ,O,X,O,O,X,O
TOSJIZL,O,X,O,X,O,X
TOSJLIZ,O,O,O,X,X,O
TOSJLZI,O,O,O,X,X,X
TOSJZIL,O,O,O,O,O,X
TOSJZLI,O,X,O,X,O,X
TOSZILJ,X,O,O,O,O,O
TOSZIJL,O,O,O,O,O,X
TOSZLIJ,X,O,O,O,O,O
TOSZLJI,X,O,O,X,O,X
TOSZJIL,O,O,O,O,O,X
TOSZJLI,O,X,O,X,O,X
TOZILJS,X,O,X,O,O,X
TOZILSJ,X,O,O,O,O,X
TOZIJLS,O,X,X,O,O,X
TOZIJSL,O,O,X,O,O,X
TOZISLJ,X,O,O,O,O,X
TOZISJL,O,O,O,O,O,X
TOZLIJS,X,O,X,O,O,X
TOZLISJ,X,O,O,O,O,X
TOZLJIS,X,O,X,O,X,X
TOZLJSI,X,O,X,X,X,X
TOZLSIJ,X,O,O,O,O,X
TOZLSJI,X,O,O,X,O,X
TOZJILS,O,X,X,O,X,X
TOZJISL,O,X,X,O,X,X
TOZJLIS,O,X,X,O,X,X
TOZJLSI,O,X,X,X,X,X
TOZJSIL,O,X,X,O,X,X
TOZJSLI,O,X,X,X,X,X
TOZSILJ,X,O,O,O,O,X
TOZSIJL,O,O,O,O,O,X
TOZSLIJ,X,O,O,O,O,X
TOZSLJI,X,X,O,X,O,X
TOZSJIL,O,O,O,O,O,X
TOZSJLI,O,X,O,X,O,X
ITLJSZO,O,X,O,X,X,O
ITLJSOZ,O,X,O,O,X,O
ITLJZSO,O,X,X,X,X,O
ITLJZOS,O,X,X,X,X,O
ITLJOSZ,O,X,O,O,X,O
ITLJOZS,O,X,X,X,X,O
ITLSJZO,O,X,O,X,X,O
ITLSJOZ,O,X,O,O,X,O
ITLSZJO,X,X,O,X,O,O
ITLSZOJ,X,X,O,O,O,O
ITLSOJZ,O,X,O,O,X,O
ITLSOZJ,X,X,O,O,O,O
ITLZJSO,X,X,X,X,O,O
ITLZJOS,X,X,X,X,O,O
ITLZSJO,X,X,O,X,O,O
ITLZSOJ,X,X,O,O,O,O
ITLZOJS,X,X,X,X,O,O
ITLZOSJ,X,X,O,O,O,O
ITLOJSZ,O,X,O,O,X,O
ITLOJZS,O,X,X,X,X,O
ITLOSJZ,O,X,O,O,X,O
ITLOSZJ,X,X,O,O,O,O
ITLOZJS,X,X,X,X,O,O
ITLOZSJ,X,X,O,O,O,O
ITJLSZO,O,X,O,X,X,O
ITJLSOZ,O,X,O,O,X,O
ITJLZSO,O,X,X,X,X,O
ITJLZOS,O,X,X,X,X,O
ITJLOSZ,O,X,O,O,X,O
ITJLOZS,O,X,X,X,X,O
ITJSLZO,O,X,O,X,X,O
ITJSLOZ,O,X,O,O,X,O
ITJSZLO,O,X,O,X,O,X
ITJSZOL,O,X,O,X,O,X
ITJSOLZ,O,X,O,O,X,O
ITJSOZL,O,X,O,X,O,X
ITJZLSO,O,X,X,X,O,X
ITJZLOS,O,X,X,X,O,X
ITJZSLO,O,X,X,X,O,X
ITJZSOL,O,X,X,X,O,X
ITJZOLS,O,X,X,X,O,X
ITJZOSL,O,X,X,X,O,X
ITJOLSZ,O,X,O,O,X,O
ITJOLZS,O,X,X,X,X,O
ITJOSLZ,O,X,O,O,X,O
ITJOSZL,O,X,O,X,O,X
ITJOZLS,O,X,X,X,O,X
ITJOZSL,O,X,X,X,O,X
ITSLJZO,O,X,O,X,X,O
ITSLJOZ,O,X,O,O,X,O
ITSLZJO,X,X,O,X,O,O
ITSLZOJ,X,X,O,O,O,O
ITSLOJZ,O,X,O,O,X,O
ITSLOZJ,X,X,O,O,O,O
ITSJLZO,O,X,O,X,X,O
ITSJLOZ,O,X,O,O,X,O
ITSJZLO,O,X,O,X,O,X
ITSJZOL,O,X,O,X,O,X
ITSJOLZ,O,X,O,O,X,O
ITSJOZL,O,X,O,X,O,X
ITSZLJO,X,X,O,O,O,O
ITSZLOJ,X,X,O,O,O,O
ITSZJLO,O,X,O,O,O,X
ITSZJOL,O,X,O,O,O,X
ITSZOLJ,X,X,O,O,O,O
ITSZOJL,O,X,O,O,O,X
ITSOLJZ,O,X,O,O,X,O
ITSOLZJ,X,X,O,O,O,O
ITSOJLZ,O,X,O,O,X,O
ITSOJZL,O,X,O,X,O,X
ITSOZLJ,X,X,O,O,O,O
ITSOZJL,O,X,O,O,O,X
ITZLJSO,X,X,X,O,O,O
ITZLJOS,X,X,X,O,O,O
ITZLSJO,X,X,O,O,O,O
ITZLSOJ,X,X,O,O,O,O
ITZLOJS,X,X,X,O,O,O
ITZLOSJ,X,X,O,O,O,O
ITZJLSO,O,X,X,O,O,X
ITZJLOS,O,X,X,O,O,X
ITZJSLO,O,X,X,O,O,X
ITZJSOL,O,X,X,O,O,X
ITZJOLS,O,X,X,O,O,X
ITZJOSL,O,X,X,O,O,X
ITZSLJO,X,X,O,O,O,O
ITZSLOJ,X,X,O,O,O,O
ITZSJLO,O,X,O,O,O,X
ITZSJOL,O,X,O,O,O,X
ITZSOLJ,X,X,O,O,O,O
ITZSOJL,O,X,O,O,O,X
ITZOLJS,X,X,X,O,O,O
ITZOLSJ,X,X,O,O,O,O
ITZOJLS,O,X,X,O,O,X
ITZOJSL,O,X,X,O,O,X
ITZOSLJ,X,X,O,O,O,O
ITZOSJL,O,X,O,O,O,X
ITOLJSZ,O,X,O,O,X,O
ITOLJZS,O,X,X,X,X,O
ITOLSJZ,O,X,O,O,X,O
ITOLSZJ,X,X,O,O,O,O
ITOLZJS,X,X,X,X,O,O
ITOLZSJ,X,X,O,O,O,O
ITOJLSZ,O,X,O,O,X,O
ITOJLZS,O,X,X,X,X,O
ITOJSLZ,O,X,O,O,X,O
ITOJSZL,O,X,O,X,O,X
ITOJZLS,O,X,X,X,O,X
ITOJZSL,O,X,X,X,O,X
ITOSLJZ,O,X,O,O,X,O
ITOSLZJ,X,X,O,O,O,O
ITOSJLZ,O,X,O,O,X,O
ITOSJZL,O,X,O,X,O,X
ITOSZLJ,X,X,O,O,O,O
ITOSZJL,O,X,O,O,O,X
ITOZLJS,X,X,X,O,O,O
ITOZLSJ,X,X,O,O,O,O
ITOZJLS,O,X,X,O,O,X
ITOZJSL,O,X,X,O,O,X
ITOZSLJ,X,X,O,O,O,O
ITOZSJL,O,X,O,O,O,X
ILTJSZO,X,X,O,X,X,O
ILTJSOZ,X,O,O,X,X,O
ILTJZSO,X,X,X,X,X,O
ILTJZOS,X,X,X,X,X,O
ILTJOSZ,X,O,O,X,X,O
ILTJOZS,X,X,X,X,X,O
ILTSJZO,X,X,O,X,X,O
ILTSJOZ,X,O,O,X,X,O
ILTSZJO,X,O,O,X,O,O
ILTSZOJ,X,O,O,X,O,O
ILTSOJZ,X,O,O,X,X,O
ILTSOZJ,X,O,O,X,O,O
ILTZJSO,X,O,X,X,O,O
ILTZJOS,X,O,X,X,O,O
ILTZSJO,X,O,O,X,O,O
ILTZSOJ,X,O,O,X,O,O
ILTZOJS,X,O,X,X,O,O
ILTZOSJ,X,O,O,X,O,O
ILTOJSZ,X,O,O,X,X,O
ILTOJZS,X,X,X,X,X,O
ILTOSJZ,X,O,O,X,X,O
ILTOSZJ,X,O,O,X,O,O
ILTOZJS,X,O,X,X,O,O
ILTOZSJ,X,O,O,X,O,O
ILJTSZO,X,X,O,X,X,O
ILJTSOZ,X,O,O,X,X,O
ILJTZSO,X,X,X,X,X,O
ILJTZOS,X,X,X,X,X,O
ILJTOSZ,X,O,O,X,X,O
ILJTOZS,X,X,X,X,X,O
ILJSTZO,X,X,X,X,X,O
ILJSTOZ,X,O,X,X,X,O
ILJSZTO,X,X,X,X,X,O
ILJSZOT,X,X,X,X,X,O
ILJSOTZ,X,O,X,X,X,O
ILJSOZT,X,X,X,X,X,O
ILJZTSO,X,X,X,X,X,O
ILJZTOS,X,X,X,X,X,O
ILJZSTO,X,X,X,X,X,O
ILJZSOT,X,X,X,X,X,O
ILJZOTS,X,X,X,X,X,O
ILJZOST,X,X,X,X,X,O
ILJOTSZ,X,O,O,X,X,O
ILJOTZS,X,X,X,X,X,O
ILJOSTZ,X,O,X,X,X,O
ILJOSZT,X,X,X,X,X,O
ILJOZTS,X,X,X,X,X,O
ILJOZST,X,X,X,X,X,O
ILSTJZO,X,X,O,X,X,O
ILSTJOZ,X,O,O,X,X,O
ILSTZJO,X,O,O,X,O,O
ILSTZOJ,X,O,O,X,O,O
ILSTOJZ,X,O,O,X,X,O
ILSTOZJ,X,O,O,X,O,O
ILSJTZO,X,X,X,X,X,O
ILSJTOZ,X,O,X,X,X,O
ILSJZTO,X,X,X,X,X,O
ILSJZOT,X,X,X,X,X,O
ILSJOTZ,X,O,X,X,X,O
ILSJOZT,X,X,X,X,X,O
ILSZTJO,X,O,O,X,O,O
ILSZTOJ,X,O,O,X,O,O
ILSZJTO,X,O,X,X,O,O
ILSZJOT,X,O,X,X,O,O
ILSZOTJ,X,O,O,X,O,O
ILSZOJT,X,O,X,X,O,O
ILSOTJZ,X,O,O,X,X,O
ILSOTZJ,X,O,O,X,O,O
ILSOJTZ,X,O,X,X,X,O
ILSOJZT,X,X,X,X,X,O
ILSOZTJ,X,O,O,X,O,O
ILSOZJT,X,O,X,X,O,O
ILZTJSO,X,O,X,X,O,O
ILZTJOS,X,O,X,X,O,O
ILZTSJO,X,O,O,X,O,O
ILZTSOJ,X,O,O,X,O,O
ILZTOJS,X,O,X,X,O,O
ILZTOSJ,X,O,O,X,O,O
ILZJTSO,X,O,X,X,O,O
ILZJTOS,X,O,X,X,O,O
ILZJSTO,X,O,X,X,O,O
ILZJSOT,X,O,X,X,O,O
ILZJOTS,X,O,X,X,O,O
ILZJOST,X,O,X,X,O,O
ILZSTJO,X,O,X,X,O,O
ILZSTOJ,X,O,X,X,O,O
ILZSJTO,X,O,X,X,O,O
ILZSJOT,X,O,X,X,O,O
ILZSOTJ,X,O,X,X,O,O
ILZSOJT,X,O,X,X,O,O
ILZOTJS,X,O,X,X,O,O
ILZOTSJ,X,O,O,X,O,O
ILZOJTS,X,O,X,X,O,O
ILZOJST,X,O,X,X,O,O
ILZOSTJ,X,O,X,X,O,O
ILZOSJT,X,O,X,X,O,O
ILOTJSZ,X,O,O,X,X,O
ILOTJZS,X,X,X,X,X,O
ILOTSJZ,X,O,O,X,X,O
ILOTSZJ,X,O,O,X,O,O
ILOTZJS,X,O,X,X,O,O
ILOTZSJ,X,O,O,X,O,O
ILOJTSZ,X,O,O,X,X,O
ILOJTZS,X,X,X,X,X,O
ILOJSTZ,X,O,X,X,X,O
ILOJSZT,X,X,X,X,X,O
ILOJZTS,X,X,X,X,X,O
ILOJZST,X,X,X,X,X,O
ILOSTJZ,X,O,O,X,X,O
ILOSTZJ,X,O,O,X,O,O
ILOSJTZ,X,O,X,X,X,O
ILOSJZT,X,X,X,X,X,O
ILOSZTJ,X,O,O,X,O,O
ILOSZJT,X,O,X,X,O,O
ILOZTJS,X,O,X,X,O,O
ILOZTSJ,X,O,O,X,O,O
ILOZJTS,X,O,X,X,O,O
ILOZJST,X,O,X,X,O,O
ILOZSTJ,X,O,X,X,O,O
ILOZSJT,X,O,X,X,O,O
IJTLSZO,O,X,O,X,X,O
IJTLSOZ,O,X,O,X,X,O
IJTLZSO,O,X,X,X,X,O
IJTLZOS,O,X,X,X,X,O
IJTLOSZ,O,X,O,X,X,O
IJTLOZS,O,X,X,X,X,O
IJTSLZO,O,X,O,X,X,O
IJTSLOZ,O,X,O,X,X,O
IJTSZLO,O,X,O,X,O,X
IJTSZOL,O,X,O,X,O,X
IJTSOLZ,O,X,O,X,X,O
IJTSOZL,O,X,O,X,O,X
IJTZLSO,O,X,X,X,O,X
IJTZLOS,O,X,X,X,O,X
IJTZSLO,O,X,X,X,O,X
IJTZSOL,O,X,X,X,O,X
IJTZOLS,O,X,X,X,O,X
IJTZOSL,O,X,X,X,O,X
IJTOLSZ,O,X,O,X,X,O
IJTOLZS,O,X,X,X,X,O
IJTOSLZ,O,X,O,X,X,O
IJTOSZL,O,X,O,X,O,X
IJTOZLS,O,X,X,X,O,X
IJTOZSL,O,X,X,X,O,X
IJLTSZO,X,X,O,X,X,O
IJLTSOZ,X,X,O,X,X,O
IJLTZSO,X,X,X,X,X,O
IJLTZOS,X,X,X,X,X,O
IJLTOSZ,X,X,O,X,X,O
IJLTOZS,X,X,X,X,X,O
IJLSTZO,X,X,X,X,X,O
IJLSTOZ,X,X,X,X,X,O
IJLSZTO,X,X,X,X,X,O
IJLSZOT,X,X,X,X,X,O
IJLSOTZ,X,X,X,X,X,O
IJLSOZT,X,X,X,X,X,O
IJLZTSO,X,X,X,X,X,O
IJLZTOS,X,X,X,X,X,O
IJLZSTO,X,X,X,X,X,O
IJLZSOT,X,X,X,X,X,O
IJLZOTS,X,X,X,X,X,O
IJLZOST,X,X,X,X,X,O
IJLOTSZ,X,X,O,X,X,O
IJLOTZS,X,X,X,X,X,O
IJLOSTZ,X,X,X,X,X,O
IJLOSZT,X,X,X,X,X,O
IJLOZTS,X,X,X,X,X,O
IJLOZST,X,X,X,X,X,O
IJSTLZO,O,X,X,X,X,O
IJSTLOZ,O,X,X,X,X,O
IJSTZLO,O,X,X,X,O,X
IJSTZOL,O,X,X,X,O,X
IJSTOLZ,O,X,X,X,X,O
IJSTOZL,O,X,X,X,O,X
IJSLTZO,X,X,X,X,X,O
IJSLTOZ,X,X,X,X,X,O
IJSLZTO,X,X,X,X,X,O
IJSLZOT,O,X,X,X,X,O
IJSLOTZ,X,X,X,X,X,O
IJSLOZT,O,X,X,X,X,O
IJSZTLO,O,X,X,X,O,X
IJSZTOL,O,X,X,X,O,X
IJSZLTO,X,X,X,X,O,X
IJSZLOT,O,X,X,X,O,X
IJSZOTL,O,X,X,X,O,X
IJSZOLT,O,X,X,X,O,X
IJSOTLZ,O,X,X,X,X,O
IJSOTZL,O,X,X,X,O,X
IJSOLTZ,X,X,X,X,X,O
IJSOLZT,O,X,X,X,X,O
IJSOZTL,O,X,X,X,O,X
IJSOZLT,O,X,X,X,O,X
IJZTLSO,O,X,X,X,O,X
IJZTLOS,O,X,X,X,O,X
IJZTSLO,O,X,X,X,O,X
IJZTSOL,O,X,X,X,O,X
IJZTOLS,O,X,X,X,O,X
IJZTOSL,O,X,X,X,O,X
IJZLTSO,X,X,X,X,O,X
IJZLTOS,X,X,X,X,O,X
IJZLSTO,X,X,X,X,O,X
IJZLSOT,O,X,X,X,O,X
IJZLOTS,X,X,X,X,O,X
IJZLOST,O,X,X,X,O,X
IJZSTLO,O,X,X,X,O,X
IJZSTOL,O,X,X,X,O,X
IJZSLTO,X,X,X,X,O,X
IJZSLOT,O,X,X,X,O,X
IJZSOTL,O,X,X,X,O,X
IJZSOLT,O,X,X,X,O,X
IJZOTLS,O,X,X,X,O,X
IJZOTSL,O,X,X,X,O,X
IJZOLTS,X,X,X,X,O,X
IJZOLST,O,X,X,X,O,X
IJZOSTL,O,X,X,X,O,X
IJZOSLT,O,X,X,X,O,X
IJOTLSZ,O,X,O,X,X,O
IJOTLZS,O,X,X,X,X,O
IJOTSLZ,O,X,O,X,X,O
IJOTSZL,O,X,O,X,O,X
IJOTZLS,O,X,X,X,O,X
IJOTZSL,O,X,X,X,O,X
IJOLTSZ,X,X,O,X,X,O
IJOLTZS,X,X,X,X,X,O
IJOLSTZ,X,X,X,X,X,O
IJOLSZT,X,X,X,X,X,O
IJOLZTS,X,X,X,X,X,O
IJOLZST,X,X,X,X,X,O
IJOSTLZ,O,X,X,X,X,O
IJOSTZL,O,X,X,X,O,X
IJOSLTZ,X,X,X,X,X,O
IJOSLZT,O,X,X,X,X,O
IJOSZTL,O,X,X,X,O,X
IJOSZLT,O,X,X,X,O,X
IJOZTLS,O,X,X,X,O,X
IJOZTSL,O,X,X,X,O,X
IJOZLTS,X,X,X,X,O,X
IJOZLST,O,X,X,X,O,X
IJOZSTL,O,X,X,X,O,X
IJOZSLT,O,X,X,X,O,X
ISTLJZO,O,X,O,X,X,O
ISTLJOZ,O,O,O,O,X,O
ISTLZJO,X,O,O,X,O,O
ISTLZOJ,X,O,O,O,O,O
ISTLOJZ,O,O,O,O,X,O
ISTLOZJ,X,O,O,O,O,O
ISTJLZO,O,X,O,X,X,O
ISTJLOZ,O,X,O,O,X,O
ISTJZLO,O,X,O,X,O,X
ISTJZOL,O,X,O,X,O,X
ISTJOLZ,O,X,O,O,X,O
ISTJOZL,O,X,O,X,O,X
ISTZLJO,X,X,O,O,O,O
ISTZLOJ,X,O,O,O,O,O
ISTZJLO,O,X,O,O,O,X
ISTZJOL,O,O,O,O,O,X
ISTZOLJ,X,O,O,O,O,O
ISTZOJL,O,O,O,O,O,X
ISTOLJZ,O,O,O,O,X,O
ISTOLZJ,X,O,O,O,O,O
ISTOJLZ,O,X,O,O,X,O
ISTOJZL,O,X,O,X,O,X
ISTOZLJ,X,O,O,O,O,O
ISTOZJL,O,O,O,O,O,X
ISLTJZO,O,X,O,X,X,O
ISLTJOZ,O,O,O,X,X,O
ISLTZJO,X,O,O,X,O,O
ISLTZOJ,X,O,O,X,O,O
ISLTOJZ,O,O,O,X,X,O
ISLTOZJ,X,O,O,X,O,O
ISLJTZO,X,X,X,X,X,O
ISLJTOZ,X,O,X,X,X,O
ISLJZTO,X,X,X,X,X,O
ISLJZOT,O,X,X,X,X,O
ISLJOTZ,X,O,X,X,X,O
ISLJOZT,O,X,X,X,X,O
ISLZTJO,X,O,O,X,O,O
ISLZTOJ,X,O,O,X,O,O
ISLZJTO,X,O,X,X,O,O
ISLZJOT,X,O,X,X,O,O
ISLZOTJ,X,O,O,X,O,O
ISLZOJT,X,O,X,X,O,O
ISLOTJZ,O,O,O,X,X,O
ISLOTZJ,X,O,O,X,O,O
ISLOJTZ,X,O,X,X,X,O
ISLOJZT,O,X,X,X,X,O
ISLOZTJ,X,O,O,X,O,O
ISLOZJT,X,O,X,X,O,O
ISJTLZO,O,X,X,X,X,O
ISJTLOZ,O,X,X,X,X,O
ISJTZLO,O,X,X,X,O,X
ISJTZOL,O,X,X,X,O,X
ISJTOLZ,O,X,X,X,X,O
ISJTOZL,O,X,X,X,O,X
ISJLTZO,X,X,X,X,X,O
ISJLTOZ,X,X,X,X,X,O
ISJLZTO,X,X,X,X,X,O
ISJLZOT,O,X,X,X,X,O
ISJLOTZ,X,X,X,X,X,O
ISJLOZT,O,X,X,X,X,O
ISJZTLO,O,X,X,X,O,X
ISJZTOL,O,X,X,X,O,X
ISJZLTO,X,X,X,X,O,X
ISJZLOT,O,X,X,X,O,X
ISJZOTL,O,X,X,X,O,X
ISJZOLT,O,X,X,X,O,X
ISJOTLZ,O,X,X,X,X,O
ISJOTZL,O,X,X,X,O,X
ISJOLTZ,X,X,X,X,X,O
ISJOLZT,O,X,X,X,X,O
ISJOZTL,O,X,X,X,O,X
ISJOZLT,O,X,X,X,O,X
ISZTLJO,X,O,O,O,O,O
ISZTLOJ,X,O,O,O,O,O
ISZTJLO,O,X,O,O,O,X
ISZTJOL,O,O,O,O,O,X
ISZTOLJ,X,O,O,O,O,O
ISZTOJL,O,O,O,O,O,X
ISZLTJO,X,O,O,X,O,O
ISZLTOJ,X,O,O,O,O,O
ISZLJTO,X,O,X,X,O,O
ISZLJOT,X,O,X,O,O,O
ISZLOTJ,X,O,O,O,O,O
ISZLOJT,X,O,X,O,O,O
ISZJTLO,X,X,X,X,O,X
ISZJTOL,O,O,X,X,O,X
ISZJLTO,X,O,X,X,O,X
ISZJLOT,O,O,X,O,O,X
ISZJOTL,O,O,X,X,O,X
ISZJOLT,O,O,X,O,O,X
ISZOTLJ,X,O,O,O,O,O
ISZOTJL,O,O,O,O,O,X
ISZOLTJ,X,O,O,O,O,O
ISZOLJT,X,O,X,O,O,O
ISZOJTL,O,O,X,X,O,X
ISZOJLT,O,O,X,O,O,X
ISOTLJZ,O,O,O,O,X,O
ISOTLZJ,X,O,O,O,O,O
ISOTJLZ,O,X,O,O,X,O
ISOTJZL,O,X,O,X,O,X
ISOTZLJ,X,O,O,O,O,O
ISOTZJL,O,O,O,O,O,X
ISOLTJZ,O,O,O,X,X,O
ISOLTZJ,X,O,O,X,O,O
ISOLJTZ,X,O,X,X,X,O
ISOLJZT,O,X,X,X,X,O
ISOLZTJ,X,O,O,X,O,O
ISOLZJT,X,O,X,X,O,O
ISOJTLZ,O,X,X,X,X,O
ISOJTZL,O,X,X,X,O,X
ISOJLTZ,X,X,X,X,X,O
ISOJLZT,O,X,X,X,X,O
ISOJZTL,O,X,X,X,O,X
ISOJZLT,O,X,X,X,O,X
ISOZTLJ,X,O,O,O,O,O
ISOZTJL,O,O,O,O,O,X
ISOZLTJ,X,O,O,O,O,O
ISOZLJT,X,O,X,O,O,O
ISOZJTL,O,O,X,X,O,X
ISOZJLT,O,O,X,O,O,X
IZTLJSO,X,O,X,O,O,O
IZTLJOS,X,O,X,O,O,O
IZTLSJO,X,O,O,O,O,O
IZTLSOJ,X,O,O,O,O,O
IZTLOJS,X,O,X,O,O,O
IZTLOSJ,X,O,O,O,O,O
IZTJLSO,X,X,X,O,O,X
IZTJLOS,X,X,X,O,O,X
IZTJSLO,X,X,X,O,O,X
IZTJSOL,X,O,X,O,O,X
IZTJOLS,X,X,X,O,O,X
IZTJOSL,X,O,X,O,O,X
IZTSLJO,X,O,O,O,O,O
IZTSLOJ,X,O,O,O,O,O
IZTSJLO,X,X,O,O,O,X
IZTSJOL,X,O,O,O,O,X
IZTSOLJ,X,O,O,O,O,O
IZTSOJL,X,O,O,O,O,X
IZTOLJS,X,O,X,O,O,O
IZTOLSJ,X,O,O,O,O,O
IZTOJLS,X,X,X,O,O,X
IZTOJSL,X,O,X,O,O,X
IZTOSLJ,X,O,O,O,O,O
IZTOSJL,X,O,O,O,O,X
IZLTJSO,X,O,X,O,O,O
IZLTJOS,X,O,X,O,O,O
IZLTSJO,X,O,O,O,O,O
IZLTSOJ,X,O,O,O,O,O
IZLTOJS,X,O,X,O,O,O
IZLTOSJ,X,O,O,O,O,O
IZLJTSO,X,O,X,X,O,O
IZLJTOS,X,O,X,X,O,O
IZLJSTO,X,O,X,X,O,O
IZLJSOT,X,O,X,O,O,O
IZLJOTS,X,O,X,X,O,O
IZLJOST,X,O,X,O,O,O
IZLSTJO,X,O,X,X,O,O
IZLSTOJ,X,O,X,O,O,O
IZLSJTO,X,O,X,X,O,O
IZLSJOT,X,O,X,O,O,O
IZLSOTJ,X,O,X,O,O,O
IZLSOJT,X,O,X,O,O,O
IZLOTJS,X,O,X,O,O,O
IZLOTSJ,X,O,O,O,O,O
IZLOJTS,X,O,X,X,O,O
IZLOJST,X,O,X,O,O,O
IZLOSTJ,X,O,X,O,O,O
IZLOSJT,X,O,X,O,O,O
IZJTLSO,X,X,X,X,O,X
IZJTLOS,X,X,X,X,O,X
IZJTSLO,X,X,X,X,O,X
IZJTSOL,X,O,X,X,O,X
IZJTOLS,X,X,X,X,O,X
IZJTOSL,X,O,X,X,O,X
IZJLTSO,X,O,X,X,O,X
IZJLTOS,X,O,X,X,O,X
IZJLSTO,X,O,X,X,O,X
IZJLSOT,X,O,X,O,O,X
IZJLOTS,X,O,X,X,O,X
IZJLOST,X,O,X,O,O,X
IZJSTLO,X,X,X,X,O,X
IZJSTOL,X,O,X,X,O,X
IZJSLTO,X,O,X,X,O,X
IZJSLOT,X,O,X,O,O,X
IZJSOTL,X,O,X,X,O,X
IZJSOLT,X,O,X,O,O,X
IZJOTLS,X,X,X,X,O,X
IZJOTSL,X,O,X,X,O,X
IZJOLTS,X,O,X,X,O,X
IZJOLST,X,O,X,O,O,X
IZJOSTL,X,O,X,X,O,X
IZJOSLT,X,O,X,O,O,X
IZSTLJO,X,O,X,O,O,O
IZSTLOJ,X,O,X,O,O,O
IZSTJLO,X,X,X,O,O,X
IZSTJOL,X,O,X,O,O,X
IZSTOLJ,X,O,X,O,O,O
IZSTOJL,X,O,X,O,O,X
IZSLTJO,X,O,X,X,O,O
IZSLTOJ,X,O,X,O,O,O
IZSLJTO,X,O,X,X,O,O
IZSLJOT,X,O,X,O,O,O
IZSLOTJ,X,O,X,O,O,O
IZSLOJT,X,O,X,O,O,O
IZSJTLO,X,X,X,X,O,X
IZSJTOL,X,O,X,X,O,X
IZSJLTO,X,O,X,X,O,X
IZSJLOT,X,O,X,O,O,X
IZSJOTL,X,O,X,X,O,X
IZSJOLT,X,O,X,O,O,X
IZSOTLJ,X,O,X,O,O,O
IZSOTJL,X,O,X,O,O,X
IZSOLTJ,X,O,X,O,O,O
IZSOLJT,X,O,X,O,O,O
IZSOJTL,X,O,X,X,O,X
IZSOJLT,X,O,X,O,O,X
IZOTLJS,X,O,X,O,O,O
IZOTLSJ,X,O,O,O,O,O
IZOTJLS,X,X,X,O,O,X
IZOTJSL,X,O,X,O,O,X
IZOTSLJ,X,O,O,O,O,O
IZOTSJL,X,O,O,O,O,X
IZOLTJS,X,O,X,O,O,O
IZOLTSJ,X,O,O,O,O,O
IZOLJTS,X,O,X,X,O,O
IZOLJST,X,O,X,O,O,O
IZOLSTJ,X,O,X,O,O,O
IZOLSJT,X,O,X,O,O,O
IZOJTLS,X,X,X,X,O,X
IZOJTSL,X,O,X,X,O,X
IZOJLTS,X,O,X,X,O,X
IZOJLST,X,O,X,O,O,X
IZOJSTL,X,O,X,X,O,X
IZOJSLT,X,O,X,O,O,X
IZOSTLJ,X,O,X,O,O,O
IZOSTJL,X,O,X,O,O,X
IZOSLTJ,X,O,X,O,O,O
IZOSLJT,X,O,X,O,O,O
IZOSJTL,X,O,X,X,O,X
IZOSJLT,X,O,X,O,O,X
IOTLJSZ,O,X,O,O,X,O
IOTLJZS,O,X,X,X,X,O
IOTLSJZ,O,X,O,O,X,O
IOTLSZJ,X,X,O,O,O,O
IOTLZJS,X,X,X,X,O,O
IOTLZSJ,X,X,O,O,O,O
IOTJLSZ,O,X,O,O,X,O
IOTJLZS,O,X,X,X,X,O
IOTJSLZ,O,X,O,O,X,O
IOTJSZL,O,X,O,X,O,X
IOTJZLS,O,X,X,X,O,X
IOTJZSL,O,X,X,X,O,X
IOTSLJZ,O,X,O,O,X,O
IOTSLZJ,X,X,O,O,O,O
IOTSJLZ,O,X,O,O,X,O
IOTSJZL,O,X,O,X,O,X
IOTSZLJ,X,X,O,O,O,O
IOTSZJL,O,X,O,O,O,X
IOTZLJS,X,X,X,O,O,O
IOTZLSJ,X,X,O,O,O,O
IOTZJLS,O,X,X,O,O,X
IOTZJSL,O,X,X,O,O,X
IOTZSLJ,X,X,O,O,O,O
IOTZSJL,O,X,O,O,O,X
IOLTJSZ,X,O,O,X,X,O
IOLTJZS,X,X,X,X,X,O
IOLTSJZ,X,O,O,X,X,O
IOLTSZJ,X,O,O,X,O,O
IOLTZJS,X,O,X,X,O,O
