sequence,v115@QhA8BeA8CeD8AeB8CeD8JeZEJvhFukBUhBFiBXjB6q?BTrB,v115@QhA8BeA8CeD8AeB8CeD8JeZEJvhFukB3gBUiBFjB6r?BzqB
ILJZOTS,X,X
ILJZOST,X,X
ILJOTSZ,O,X
ILJOTZS,O,X
ILJOSTZ,O,X
ILJOSZT,O,X
ILJOZTS,O,X
ILJOZST,O,X
ILSTJZO,O,O
ILSTJOZ,X,X
ILSTZJO,O,O
ILSTZOJ,X,X
ILSTOJZ,X,X
ILSTOZJ,X,X
ILSJTZO,O,O
ILSJTOZ,X,X
ILSJZTO,O,O
ILSJZOT,X,X
ILSJOTZ,O,X
ILSJOZT,O,X
ILSZTJO,O,O
ILSZTOJ,X,X
ILSZJTO,O,O
ILSZJOT,X,X
ILSZOTJ,X,X
ILSZOJT,X,X
ILSOTJZ,O,X
ILSOTZJ,O,X
ILSOJTZ,O,X
ILSOJZT,O,X
ILSOZTJ,O,X
ILSOZJT,O,X
ILZTJSO,O,O
ILZTJOS,X,X
ILZTSJO,O,O
ILZTSOJ,X,X
ILZTOJS,X,X
ILZTOSJ,X,X
ILZJTSO,O,O
ILZJTOS,X,X
ILZJSTO,O,O
ILZJSOT,X,X
ILZJOTS,X,X
ILZJOST,X,X
ILZSTJO,O,O
ILZSTOJ,X,X
ILZSJTO,O,O
ILZSJOT,X,X
ILZSOTJ,X,X
ILZSOJT,X,X
ILZOTJS,X,X
ILZOTSJ,X,X
ILZOJTS,X,X
ILZOJST,X,X
ILZOSTJ,X,X
ILZOSJT,X,X
ILOTJSZ,O,X
ILOTJZS,O,X
ILOTSJZ,O,X
ILOTSZJ,O,X
ILOTZJS,O,X
ILOTZSJ,O,X
ILOJTSZ,O,X
ILOJTZS,O,X
ILOJSTZ,O,X
ILOJSZT,O,X
ILOJZTS,O,X
ILOJZST,O,X
ILOSTJZ,O,X
ILOSTZJ,O,X
ILOSJTZ,O,X
ILOSJZT,O,X
ILOSZTJ,O,X
ILOSZJT,O,X
ILOZTJS,O,X
ILOZTSJ,O,X
ILOZJTS,O,X
ILOZJST,O,X
ILOZSTJ,O,X
ILOZSJT,O,X
IJTLSZO,O,O
IJTLSOZ,X,X
IJTLZSO,O,O
IJTLZOS,X,X
IJTLOSZ,X,X
IJTLOZS,X,X
IJTSLZO,O,X
IJTSLOZ,X,X
IJTSZLO,X,O
IJTSZOL,X,O
IJTSOLZ,X,X
IJTSOZL,O,X
IJTZLSO,X,O
IJTZLOS,X,X
IJTZSLO,X,O
IJTZSOL,X,O
IJTZOLS,X,X
IJTZOSL,X,O
IJTOLSZ,X,O
IJTOLZS,X,O
IJTOSLZ,X,X
