sequence,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jel/IvhF3gBcmBZoBO?sB6sBTqB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jel/IvhF3gBcmBZoB6?sBOsBTqB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBOnB8nBF?lB3qByxB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBiiBFlBc?sBetB3qB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBmiB1qBK?sBftBUqB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBiiB1qBm?sBUqB3sB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBFlBmnB3?qB0sBisB
TOILJSZ,X,X,X,X,O,O,X
TOILJZS,O,O,O,O,X,X,X
TOILSJZ,X,X,X,X,O,X,X
TOILSZJ,X,O,O,X,O,X,X
TOILZJS,O,O,O,X,X,X,X
TOILZSJ,O,O,O,X,O,X,X
TOIJLSZ,X,X,X,X,O,O,X
TOIJLZS,O,O,O,O,X,O,X
TOIJSLZ,X,X,X,X,X,O,X
TOIJSZL,O,X,X,O,X,O,X
TOIJZLS,O,O,X,O,X,O,X
TOIJZSL,O,O,X,O,X,O,X
TOISLJZ,X,X,X,X,O,X,X
TOISLZJ,X,O,O,X,O,X,X
TOISJLZ,X,X,X,X,X,O,X
TOISJZL,O,X,X,O,X,O,X
TOISZLJ,O,O,X,X,X,X,X
TOISZJL,O,O,X,X,X,X,X
TOIZLJS,O,O,O,X,X,X,X
TOIZLSJ,O,O,O,X,O,X,X
TOIZJLS,O,O,X,O,X,X,X
TOIZJSL,O,O,X,O,X,O,O
TOIZSLJ,O,O,X,X,X,X,X
TOIZSJL,O,O,X,X,X,X,X
TOLIJSZ,X,X,X,X,O,O,X
TOLIJZS,O,O,O,O,X,X,X
TOLISJZ,X,X,X,X,O,X,X
TOLISZJ,X,O,O,X,O,X,X
TOLIZJS,O,O,O,X,X,X,X
TOLIZSJ,O,O,O,X,O,X,X
TOLJISZ,X,X,X,X,O,O,X
TOLJIZS,O,O,O,O,X,X,X
TOLJSIZ,X,X,X,X,O,O,X
TOLJSZI,X,X,X,X,O,O,X
TOLJZIS,O,O,O,O,X,O,X
TOLJZSI,O,O,O,O,X,O,X
TOLSIJZ,X,X,O,X,O,X,X
TOLSIZJ,X,O,O,X,O,X,X
TOLSJIZ,X,X,O,X,O,X,X
TOLSJZI,X,X,O,X,O,X,X
TOLSZIJ,X,O,O,X,O,X,X
TOLSZJI,X,O,O,X,O,X,X
TOLZIJS,O,O,O,X,X,X,X
TOLZISJ,O,O,O,X,O,X,X
TOLZJIS,O,O,O,X,X,X,X
TOLZJSI,O,O,O,X,X,X,O
TOLZSIJ,O,O,O,X,O,X,X
TOLZSJI,O,O,O,X,O,X,X
TOJILSZ,X,X,X,X,O,O,X
TOJILZS,O,O,O,O,X,O,X
TOJISLZ,X,X,X,X,X,O,X
TOJISZL,O,X,X,O,X,O,X
TOJIZLS,O,O,X,O,X,O,X
TOJIZSL,O,O,X,O,X,O,X
TOJLISZ,X,X,X,X,O,O,X
TOJLIZS,O,O,O,O,X,O,X
TOJLSIZ,X,X,X,X,O,O,X
TOJLSZI,X,X,X,X,O,O,X
TOJLZIS,O,O,O,O,X,O,X
TOJLZSI,O,O,O,O,X,O,X
TOJSILZ,X,X,X,O,X,O,X
TOJSIZL,O,X,X,O,X,O,X
TOJSLIZ,X,X,X,O,X,O,X
TOJSLZI,X,X,X,O,X,O,X
TOJSZIL,O,X,X,O,X,O,X
TOJSZLI,O,X,X,O,X,O,X
TOJZILS,O,O,X,O,X,O,X
TOJZISL,O,O,X,O,X,O,O
TOJZLIS,O,O,X,O,X,O,X
TOJZLSI,O,O,X,O,X,O,O
TOJZSIL,O,O,X,O,X,O,O
TOJZSLI,O,O,X,O,X,O,O
TOSILJZ,X,X,O,O,O,X,X
TOSILZJ,X,O,O,X,O,X,O
TOSIJLZ,X,X,O,O,X,O,X
TOSIJZL,O,X,X,O,X,O,O
TOSIZLJ,O,O,O,X,X,X,O
TOSIZJL,O,O,X,O,X,X,O
TOSLIJZ,X,X,O,O,O,X,X
TOSLIZJ,X,O,O,X,O,X,O
TOSLJIZ,X,X,O,O,O,X,X
TOSLJZI,X,X,O,O,O,X,X
TOSLZIJ,X,O,O,X,O,X,O
TOSLZJI,X,O,O,X,O,X,O
TOSJILZ,X,X,O,O,X,O,X
TOSJIZL,O,X,X,O,X,O,O
TOSJLIZ,X,X,O,O,X,O,X
TOSJLZI,X,X,O,O,X,O,X
TOSJZIL,O,X,X,O,X,O,O
TOSJZLI,O,X,X,O,X,O,O
TOSZILJ,O,O,O,X,X,X,O
TOSZIJL,O,O,X,O,X,X,O
TOSZLIJ,O,O,O,X,X,X,O
TOSZLJI,O,O,O,X,X,X,O
TOSZJIL,O,O,X,O,X,X,O
TOSZJLI,O,O,X,O,X,X,O
TOZILJS,O,O,O,X,X,X,X
TOZILSJ,O,O,O,X,O,X,X
TOZIJLS,O,O,X,O,X,X,X
TOZIJSL,O,O,X,O,X,O,O
TOZISLJ,O,O,X,X,X,X,X
TOZISJL,O,O,X,X,X,X,X
TOZLIJS,O,O,O,X,X,X,X
TOZLISJ,O,O,O,X,O,X,X
TOZLJIS,O,O,O,X,X,X,X
TOZLJSI,O,O,O,X,X,X,O
TOZLSIJ,O,O,O,X,O,X,X
TOZLSJI,O,O,O,X,O,X,X
TOZJILS,O,O,X,O,X,O,X
TOZJISL,O,O,X,O,X,O,O
TOZJLIS,O,O,X,O,X,O,X
TOZJLSI,O,O,X,O,X,O,O
TOZJSIL,O,O,X,O,X,O,O
TOZJSLI,O,O,X,O,X,O,O
TOZSILJ,O,O,X,X,X,X,O
TOZSIJL,O,O,X,X,X,X,O
TOZSLIJ,O,O,X,X,X,X,O
TOZSLJI,O,O,X,X,X,X,O
TOZSJIL,O,O,X,X,X,X,O
TOZSJLI,O,O,X,X,X,X,O
ITLJSZO,X,X,X,X,O,O,X
ITLJSOZ,X,X,X,X,O,O,X
ITLJZSO,O,O,O,O,X,X,X
ITLJZOS,X,X,O,O,X,X,X
ITLJOSZ,X,X,X,X,O,O,X
ITLJOZS,O,O,O,O,X,X,X
ITLSJZO,X,X,X,X,O,X,X
ITLSJOZ,X,X,X,X,O,X,X
ITLSZJO,X,O,O,X,O,X,X
ITLSZOJ,X,O,O,X,O,X,X
ITLSOJZ,X,X,X,X,O,X,X
ITLSOZJ,X,O,O,X,O,X,X
ITLZJSO,O,O,O,X,X,X,X
ITLZJOS,X,X,O,X,X,X,X
ITLZSJO,O,O,O,X,O,X,X
ITLZSOJ,X,O,O,X,O,X,X
ITLZOJS,X,O,O,X,X,X,X
ITLZOSJ,X,O,O,X,O,X,X
ITLOJSZ,X,X,X,X,O,O,X
ITLOJZS,O,O,O,O,X,X,X
ITLOSJZ,X,X,X,X,O,X,X
ITLOSZJ,X,O,O,X,O,X,X
ITLOZJS,O,O,O,X,X,X,X
ITLOZSJ,O,O,O,X,O,X,X
ITJLSZO,X,X,X,X,O,O,X
ITJLSOZ,X,X,X,X,O,O,X
ITJLZSO,O,O,O,O,X,X,X
ITJLZOS,X,X,O,O,X,O,X
ITJLOSZ,X,X,X,X,O,O,X
ITJLOZS,O,O,O,O,X,O,X
ITJSLZO,X,X,X,X,O,O,X
ITJSLOZ,X,X,X,X,O,O,X
ITJSZLO,O,X,X,O,X,O,X
ITJSZOL,O,X,X,O,X,O,X
ITJSOLZ,X,X,X,X,X,O,X
ITJSOZL,O,X,X,O,X,O,X
ITJZLSO,O,O,X,O,X,O,X
ITJZLOS,X,X,X,O,X,O,X
ITJZSLO,O,O,X,O,X,O,X
ITJZSOL,O,X,X,O,X,O,X
ITJZOLS,O,X,X,O,X,O,X
ITJZOSL,O,X,X,O,X,O,X
ITJOLSZ,X,X,X,X,O,O,X
ITJOLZS,O,O,O,O,X,O,X
ITJOSLZ,X,X,X,X,X,O,X
ITJOSZL,O,X,X,O,X,O,X
ITJOZLS,O,O,X,O,X,O,X
ITJOZSL,O,O,X,O,X,O,X
ITSLJZO,X,X,X,X,O,X,X
ITSLJOZ,X,X,X,X,O,X,X
ITSLZJO,X,O,O,X,O,X,X
ITSLZOJ,X,O,O,X,O,X,X
ITSLOJZ,X,X,X,X,O,X,X
ITSLOZJ,X,O,O,X,O,X,X
ITSJLZO,X,X,X,X,O,O,X
ITSJLOZ,X,X,X,X,O,O,X
ITSJZLO,O,X,X,O,X,O,X
ITSJZOL,O,X,X,O,X,O,X
ITSJOLZ,X,X,X,X,X,O,X
ITSJOZL,O,X,X,O,X,O,X
ITSZLJO,O,O,X,X,O,X,X
ITSZLOJ,X,O,X,X,O,X,X
ITSZJLO,O,O,X,X,X,X,X
ITSZJOL,O,X,X,X,X,X,X
ITSZOLJ,X,O,X,X,X,X,X
ITSZOJL,O,X,X,X,X,X,X
ITSOLJZ,X,X,X,X,O,X,X
ITSOLZJ,X,O,O,X,O,X,X
ITSOJLZ,X,X,X,X,X,O,X
ITSOJZL,O,X,X,O,X,O,X
ITSOZLJ,O,O,X,X,X,X,X
ITSOZJL,O,O,X,X,X,X,X
ITZLJSO,O,O,O,X,X,X,X
ITZLJOS,X,X,O,X,X,X,X
ITZLSJO,O,O,O,X,O,X,X
ITZLSOJ,X,O,O,X,O,X,X
ITZLOJS,X,O,O,X,X,X,X
ITZLOSJ,X,O,O,X,O,X,X
ITZJLSO,O,O,X,O,X,X,X
ITZJLOS,X,X,X,O,X,X,X
ITZJSLO,O,O,X,O,X,O,X
ITZJSOL,O,X,X,O,X,O,X
ITZJOLS,O,X,X,O,X,X,X
ITZJOSL,O,X,X,O,X,O,O
ITZSLJO,O,O,X,X,O,X,X
ITZSLOJ,X,O,X,X,O,X,X
ITZSJLO,O,O,X,X,X,X,X
ITZSJOL,O,X,X,X,X,X,X
ITZSOLJ,X,O,X,X,X,X,X
ITZSOJL,O,X,X,X,X,X,X
ITZOLJS,O,O,O,X,X,X,X
ITZOLSJ,O,O,O,X,O,X,X
ITZOJLS,O,O,X,O,X,X,X
ITZOJSL,O,O,X,O,X,O,O
ITZOSLJ,O,O,X,X,X,X,X
ITZOSJL,O,O,X,X,X,X,X
ITOLJSZ,X,X,X,X,O,O,X
ITOLJZS,O,O,O,O,X,X,X
ITOLSJZ,X,X,X,X,O,X,X
ITOLSZJ,X,O,O,X,O,X,X
ITOLZJS,O,O,O,X,X,X,X
ITOLZSJ,O,O,O,X,O,X,X
ITOJLSZ,X,X,X,X,O,O,X
ITOJLZS,O,O,O,O,X,O,X
ITOJSLZ,X,X,X,X,X,O,X
ITOJSZL,O,X,X,O,X,O,X
ITOJZLS,O,O,X,O,X,O,X
ITOJZSL,O,O,X,O,X,O,X
ITOSLJZ,X,X,X,X,O,X,X
ITOSLZJ,X,O,O,X,O,X,X
ITOSJLZ,X,X,X,X,X,O,X
ITOSJZL,O,X,X,O,X,O,X
ITOSZLJ,O,O,X,X,X,X,X
ITOSZJL,O,O,X,X,X,X,X
ITOZLJS,O,O,O,X,X,X,X
ITOZLSJ,O,O,O,X,O,X,X
ITOZJLS,O,O,X,O,X,X,X
ITOZJSL,O,O,X,O,X,O,O
ITOZSLJ,O,O,X,X,X,X,X
ITOZSJL,O,O,X,X,X,X,X
ILTJSZO,X,X,X,X,O,O,X
ILTJSOZ,X,X,X,X,O,O,X
ILTJZSO,O,O,O,O,X,X,X
ILTJZOS,X,X,O,O,X,X,X
ILTJOSZ,X,X,X,X,O,O,X
ILTJOZS,O,O,O,O,X,X,X
ILTSJZO,X,X,X,X,O,X,X
ILTSJOZ,X,X,X,X,O,X,X
ILTSZJO,X,O,O,X,O,X,X
ILTSZOJ,X,O,O,X,O,X,X
ILTSOJZ,X,X,X,X,O,X,X
ILTSOZJ,X,O,O,X,O,X,X
ILTZJSO,O,O,O,X,X,X,X
ILTZJOS,X,X,O,X,X,X,X
ILTZSJO,O,O,O,X,O,X,X
ILTZSOJ,X,O,O,X,O,X,X
ILTZOJS,X,O,O,X,X,X,X
ILTZOSJ,X,O,O,X,O,X,X
ILTOJSZ,X,X,X,X,O,O,X
ILTOJZS,O,O,O,O,X,X,X
ILTOSJZ,X,X,X,X,O,X,X
ILTOSZJ,X,O,O,X,O,X,X
ILTOZJS,O,O,O,X,X,X,X
ILTOZSJ,O,O,O,X,O,X,X
ILJTSZO,X,X,X,X,O,O,X
ILJTSOZ,X,X,X,X,O,O,X
ILJTZSO,O,O,O,O,X,X,X
ILJTZOS,X,X,O,O,X,O,X
ILJTOSZ,X,X,X,X,O,O,X
ILJTOZS,O,O,O,O,X,O,X
ILJSTZO,X,X,X,X,O,X,X
ILJSTOZ,X,X,X,X,O,O,X
ILJSZTO,X,X,O,O,O,X,X
ILJSZOT,X,X,O,O,O,X,X
ILJSOTZ,X,X,X,X,O,O,X
ILJSOZT,X,X,O,O,O,X,X
ILJZTSO,O,O,O,O,X,X,X
ILJZTOS,X,X,O,O,X,O,X
ILJZSTO,O,O,O,O,X,X,X
ILJZSOT,X,X,O,O,X,X,X
ILJZOTS,O,O,O,O,X,O,X
ILJZOST,O,O,O,O,X,X,X
ILJOTSZ,X,X,X,X,X,O,X
ILJOTZS,O,O,X,X,X,O,X
ILJOSTZ,X,X,X,X,O,O,X
ILJOSZT,X,X,X,X,O,X,X
ILJOZTS,O,O,O,O,X,O,X
ILJOZST,O,O,O,O,X,X,X
ILSTJZO,X,X,O,X,O,X,X
ILSTJOZ,X,X,O,X,O,X,X
ILSTZJO,X,O,O,X,O,X,X
ILSTZOJ,X,O,O,X,O,X,X
ILSTOJZ,X,X,O,X,O,X,X
ILSTOZJ,X,O,O,X,O,X,X
ILSJTZO,X,X,X,X,O,X,X
ILSJTOZ,X,X,X,X,O,X,X
ILSJZTO,X,X,O,O,O,X,X
ILSJZOT,X,X,O,O,O,X,X
ILSJOTZ,X,X,X,X,O,X,X
ILSJOZT,X,X,O,O,O,X,X
ILSZTJO,X,O,O,X,O,X,X
ILSZTOJ,X,O,O,X,O,X,X
ILSZJTO,X,O,O,X,O,X,X
ILSZJOT,X,X,O,X,O,X,X
ILSZOTJ,X,O,O,X,X,X,X
ILSZOJT,X,O,O,X,O,X,X
ILSOTJZ,X,X,O,X,O,X,X
ILSOTZJ,X,O,O,X,O,X,X
ILSOJTZ,X,X,X,X,O,X,X
ILSOJZT,X,X,O,O,O,X,X
ILSOZTJ,X,O,O,X,X,X,X
ILSOZJT,X,O,O,X,O,X,X
ILZTJSO,O,O,O,X,X,X,X
ILZTJOS,X,X,O,X,X,X,X
ILZTSJO,O,O,O,X,O,X,X
ILZTSOJ,X,O,O,X,O,X,X
ILZTOJS,X,O,O,X,X,X,X
ILZTOSJ,X,O,O,X,O,X,X
ILZJTSO,O,O,O,X,X,X,X
ILZJTOS,X,X,O,X,X,X,X
ILZJSTO,O,O,O,X,X,X,X
ILZJSOT,X,X,O,X,X,X,X
ILZJOTS,O,O,O,X,X,X,X
ILZJOST,O,O,O,X,X,X,X
ILZSTJO,O,O,O,X,O,X,X
ILZSTOJ,X,O,O,X,O,X,X
ILZSJTO,O,O,O,X,O,X,X
ILZSJOT,X,X,O,X,O,X,X
ILZSOTJ,X,O,O,X,X,X,X
ILZSOJT,X,O,O,X,O,X,X
ILZOTJS,O,O,O,X,X,X,X
ILZOTSJ,O,O,O,X,X,X,X
ILZOJTS,O,O,O,X,X,X,X
ILZOJST,O,O,O,X,X,X,X
ILZOSTJ,O,O,O,X,X,X,X
ILZOSJT,O,O,O,X,O,X,X
ILOTJSZ,X,X,X,X,O,X,X
ILOTJZS,O,O,O,X,X,X,X
ILOTSJZ,X,X,X,X,O,X,X
ILOTSZJ,X,O,O,X,O,X,X
ILOTZJS,O,O,O,X,X,X,X
ILOTZSJ,O,O,O,X,O,X,X
ILOJTSZ,X,X,X,X,X,O,X
ILOJTZS,O,O,X,X,X,O,X
ILOJSTZ,X,X,X,X,O,O,X
ILOJSZT,X,X,X,X,O,X,X
ILOJZTS,O,O,O,O,X,O,X
ILOJZST,O,O,O,O,X,X,X
ILOSTJZ,X,X,O,X,O,X,X
ILOSTZJ,X,O,O,X,O,X,X
ILOSJTZ,X,X,X,X,O,X,X
ILOSJZT,X,X,O,X,O,X,X
ILOSZTJ,X,O,O,X,X,X,X
ILOSZJT,X,O,O,X,O,X,X
ILOZTJS,O,O,O,X,X,X,X
ILOZTSJ,O,O,O,X,X,X,X
ILOZJTS,O,O,O,X,X,X,X
ILOZJST,O,O,O,X,X,X,X
ILOZSTJ,O,O,O,X,X,X,X
ILOZSJT,O,O,O,X,O,X,X
IJTLSZO,X,X,X,X,O,O,X
IJTLSOZ,X,X,X,X,O,O,X
IJTLZSO,O,O,O,O,X,X,X
IJTLZOS,X,X,O,O,X,O,X
IJTLOSZ,X,X,X,X,O,O,X
IJTLOZS,O,O,O,O,X,O,X
IJTSLZO,X,X,X,X,O,O,X
IJTSLOZ,X,X,X,X,O,O,X
IJTSZLO,O,X,X,O,X,O,X
IJTSZOL,O,X,X,O,X,O,X
IJTSOLZ,X,X,X,X,X,O,X
IJTSOZL,O,X,X,O,X,O,X
IJTZLSO,O,O,X,O,X,O,X
IJTZLOS,X,X,X,O,X,O,X
IJTZSLO,O,O,X,O,X,O,X
IJTZSOL,O,X,X,O,X,O,X
IJTZOLS,O,X,X,O,X,O,X
IJTZOSL,O,X,X,O,X,O,X
IJTOLSZ,X,X,X,X,O,O,X
IJTOLZS,O,O,O,O,X,O,X
IJTOSLZ,X,X,X,X,X,O,X
IJTOSZL,O,X,X,O,X,O,X
IJTOZLS,O,O,X,O,X,O,X
IJTOZSL,O,O,X,O,X,O,X
IJLTSZO,X,X,X,X,O,O,X
IJLTSOZ,X,X,X,X,O,O,X
IJLTZSO,O,O,O,O,X,O,X
IJLTZOS,X,X,O,O,X,O,X
IJLTOSZ,X,X,X,X,O,O,X
IJLTOZS,O,O,O,O,X,O,X
IJLSTZO,X,X,X,X,O,X,X
IJLSTOZ,X,X,X,X,O,O,X
IJLSZTO,X,X,O,O,O,X,X
IJLSZOT,X,X,O,O,O,X,X
IJLSOTZ,X,X,X,X,O,O,X
IJLSOZT,X,X,O,O,O,X,X
IJLZTSO,O,O,O,O,X,X,X
IJLZTOS,X,X,O,O,X,O,X
IJLZSTO,O,O,O,O,X,X,X
IJLZSOT,X,X,O,O,X,X,X
IJLZOTS,O,O,O,O,X,O,X
IJLZOST,O,O,O,O,X,X,X
IJLOTSZ,X,X,X,X,X,O,X
IJLOTZS,O,O,X,X,X,O,X
IJLOSTZ,X,X,X,X,O,O,X
IJLOSZT,X,X,X,X,O,X,X
IJLOZTS,O,O,O,O,X,O,X
IJLOZST,O,O,O,O,X,X,X
IJSTLZO,X,X,X,O,O,O,X
IJSTLOZ,X,X,X,O,O,O,X
IJSTZLO,O,X,X,O,X,O,X
IJSTZOL,O,X,X,O,X,O,X
IJSTOLZ,X,X,X,O,X,O,X
IJSTOZL,O,X,X,O,X,O,X
IJSLTZO,X,X,X,X,O,X,X
IJSLTOZ,X,X,X,X,O,O,X
IJSLZTO,X,X,O,O,O,X,X
IJSLZOT,X,X,O,O,O,X,X
IJSLOTZ,X,X,X,X,O,O,X
IJSLOZT,X,X,O,O,O,X,X
IJSZTLO,O,X,X,O,X,X,X
IJSZTOL,O,X,X,O,X,X,X
IJSZLTO,O,X,X,O,X,X,X
IJSZLOT,X,X,X,O,X,X,X
IJSZOTL,O,X,X,O,X,X,X
IJSZOLT,O,X,X,O,X,X,X
IJSOTLZ,X,X,X,O,X,X,X
IJSOTZL,O,X,X,O,X,X,X
IJSOLTZ,X,X,X,X,X,O,X
IJSOLZT,X,X,O,O,X,X,X
IJSOZTL,O,X,X,O,X,X,X
IJSOZLT,O,X,X,O,X,X,X
IJZTLSO,O,O,X,O,X,X,X
IJZTLOS,X,X,X,O,X,X,X
IJZTSLO,O,O,X,O,X,O,X
IJZTSOL,O,X,X,O,X,O,X
IJZTOLS,O,X,X,O,X,X,X
IJZTOSL,O,X,X,O,X,O,X
IJZLTSO,O,O,X,O,X,X,X
IJZLTOS,X,X,X,O,X,O,X
IJZLSTO,O,O,X,O,X,X,X
IJZLSOT,X,X,X,O,X,X,X
IJZLOTS,O,O,X,O,X,O,X
IJZLOST,O,O,X,O,X,X,X
IJZSTLO,O,O,X,O,X,X,X
IJZSTOL,O,X,X,O,X,X,X
IJZSLTO,O,O,X,O,X,X,X
IJZSLOT,X,X,X,O,X,X,X
IJZSOTL,O,X,X,O,X,X,X
IJZSOLT,O,X,X,O,X,X,X
IJZOTLS,O,O,X,O,X,X,X
IJZOTSL,O,O,X,O,X,X,X
IJZOLTS,O,O,X,O,X,O,X
IJZOLST,O,O,X,O,X,X,X
IJZOSTL,O,O,X,O,X,X,X
IJZOSLT,O,O,X,O,X,X,X
IJOTLSZ,X,X,X,X,X,O,X
IJOTLZS,O,O,X,O,X,O,X
IJOTSLZ,X,X,X,X,X,O,X
IJOTSZL,O,X,X,O,X,O,X
IJOTZLS,O,O,X,O,X,O,X
IJOTZSL,O,O,X,O,X,O,X
IJOLTSZ,X,X,X,X,X,O,X
IJOLTZS,O,O,X,X,X,O,X
IJOLSTZ,X,X,X,X,O,O,X
IJOLSZT,X,X,X,X,O,X,X
IJOLZTS,O,O,O,O,X,O,X
IJOLZST,O,O,O,O,X,X,X
IJOSTLZ,X,X,X,O,X,X,X
IJOSTZL,O,X,X,O,X,X,X
IJOSLTZ,X,X,X,X,X,O,X
IJOSLZT,X,X,X,O,X,X,X
IJOSZTL,O,X,X,O,X,X,X
IJOSZLT,O,X,X,O,X,X,X
IJOZTLS,O,O,X,O,X,X,X
IJOZTSL,O,O,X,O,X,X,X
IJOZLTS,O,O,X,O,X,O,X
IJOZLST,O,O,X,O,X,X,X
IJOZSTL,O,O,X,O,X,X,X
IJOZSLT,O,O,X,O,X,X,X
ISTLJZO,X,X,O,O,O,X,X
ISTLJOZ,X,X,O,O,O,X,X
ISTLZJO,X,O,O,X,O,X,O
ISTLZOJ,X,O,O,X,O,X,O
ISTLOJZ,X,X,O,O,O,X,X
ISTLOZJ,X,O,O,X,O,X,O
ISTJLZO,X,X,O,O,O,O,X
ISTJLOZ,X,X,O,O,O,O,X
ISTJZLO,O,X,X,O,X,O,O
ISTJZOL,O,X,X,O,X,O,O
ISTJOLZ,X,X,O,O,X,O,X
ISTJOZL,O,X,X,O,X,O,O
ISTZLJO,O,O,O,X,O,X,O
ISTZLOJ,X,O,O,X,O,X,O
ISTZJLO,O,O,X,O,X,X,O
ISTZJOL,O,X,X,O,X,X,O
ISTZOLJ,X,O,O,X,X,X,O
ISTZOJL,O,X,X,O,X,X,O
ISTOLJZ,X,X,O,O,O,X,X
ISTOLZJ,X,O,O,X,O,X,O
ISTOJLZ,X,X,O,O,X,O,X
ISTOJZL,O,X,X,O,X,O,O
ISTOZLJ,O,O,O,X,X,X,O
ISTOZJL,O,O,X,O,X,X,O
ISLTJZO,X,X,O,X,O,X,X
ISLTJOZ,X,X,O,X,O,X,X
ISLTZJO,X,O,O,X,O,X,X
ISLTZOJ,X,O,O,X,O,X,X
ISLTOJZ,X,X,O,X,O,X,X
ISLTOZJ,X,O,O,X,O,X,X
ISLJTZO,X,X,X,X,O,X,X
ISLJTOZ,X,X,X,X,O,X,X
ISLJZTO,X,X,O,O,O,X,X
ISLJZOT,X,X,O,O,O,X,X
ISLJOTZ,X,X,X,X,O,X,X
ISLJOZT,X,X,O,O,O,X,X
ISLZTJO,X,O,O,X,O,X,X
ISLZTOJ,X,O,O,X,O,X,X
ISLZJTO,X,O,O,X,O,X,X
ISLZJOT,X,X,O,X,O,X,X
ISLZOTJ,X,O,O,X,X,X,X
ISLZOJT,X,O,O,X,O,X,X
ISLOTJZ,X,X,O,X,O,X,X
ISLOTZJ,X,O,O,X,O,X,X
ISLOJTZ,X,X,X,X,O,X,X
ISLOJZT,X,X,O,O,O,X,X
ISLOZTJ,X,O,O,X,X,X,X
ISLOZJT,X,O,O,X,O,X,X
ISJTLZO,X,X,X,O,O,O,X
ISJTLOZ,X,X,X,O,O,O,X
ISJTZLO,O,X,X,O,X,O,X
ISJTZOL,O,X,X,O,X,O,X
ISJTOLZ,X,X,X,O,X,O,X
ISJTOZL,O,X,X,O,X,O,X
ISJLTZO,X,X,X,X,O,X,X
ISJLTOZ,X,X,X,X,O,O,X
ISJLZTO,X,X,O,O,O,X,X
ISJLZOT,X,X,O,O,O,X,X
ISJLOTZ,X,X,X,X,O,O,X
ISJLOZT,X,X,O,O,O,X,X
ISJZTLO,O,X,X,O,X,X,X
ISJZTOL,O,X,X,O,X,X,X
ISJZLTO,O,X,X,O,X,X,X
ISJZLOT,X,X,X,O,X,X,X
ISJZOTL,O,X,X,O,X,X,X
ISJZOLT,O,X,X,O,X,X,X
ISJOTLZ,X,X,X,O,X,X,X
ISJOTZL,O,X,X,O,X,X,X
ISJOLTZ,X,X,X,X,X,O,X
ISJOLZT,X,X,O,O,X,X,X
ISJOZTL,O,X,X,O,X,X,X
ISJOZLT,O,X,X,O,X,X,X
ISZTLJO,O,O,X,X,O,X,O
ISZTLOJ,X,O,X,X,O,X,O
ISZTJLO,O,O,X,X,X,X,O
ISZTJOL,O,X,X,X,X,X,O
ISZTOLJ,X,O,X,X,X,X,O
ISZTOJL,O,X,X,X,X,X,O
ISZLTJO,O,O,O,X,O,X,X
ISZLTOJ,X,O,O,X,O,X,X
ISZLJTO,O,O,O,X,O,X,X
ISZLJOT,X,X,O,X,O,X,X
ISZLOTJ,X,O,O,X,X,X,X
ISZLOJT,X,O,O,X,O,X,X
ISZJTLO,O,O,X,O,X,X,O
ISZJTOL,O,X,X,O,X,X,O
ISZJLTO,O,O,X,O,X,X,X
ISZJLOT,X,X,X,O,X,X,X
ISZJOTL,O,X,X,O,X,X,O
ISZJOLT,O,X,X,O,X,X,X
ISZOTLJ,O,O,X,X,X,X,O
ISZOTJL,O,O,X,X,X,X,O
ISZOLTJ,O,O,O,X,X,X,X
ISZOLJT,O,O,O,X,X,X,X
ISZOJTL,O,O,X,O,X,X,O
ISZOJLT,O,O,X,O,X,X,X
ISOTLJZ,X,X,O,O,O,X,X
ISOTLZJ,X,O,O,X,O,X,O
ISOTJLZ,X,X,O,O,X,X,X
ISOTJZL,O,X,X,O,X,X,O
ISOTZLJ,O,O,O,X,X,X,O
ISOTZJL,O,O,X,O,X,X,O
ISOLTJZ,X,X,O,X,O,X,X
ISOLTZJ,X,O,O,X,O,X,X
ISOLJTZ,X,X,X,X,O,X,X
ISOLJZT,X,X,O,O,O,X,X
ISOLZTJ,X,O,O,X,X,X,X
ISOLZJT,X,O,O,X,O,X,X
ISOJTLZ,X,X,X,O,X,X,X
ISOJTZL,O,X,X,O,X,X,X
ISOJLTZ,X,X,X,X,X,O,X
ISOJLZT,X,X,O,O,X,X,X
ISOJZTL,O,X,X,O,X,X,X
ISOJZLT,O,X,X,O,X,X,X
ISOZTLJ,O,O,X,X,X,X,O
ISOZTJL,O,O,X,X,X,X,O
ISOZLTJ,O,O,O,X,X,X,X
ISOZLJT,O,O,O,X,X,X,X
ISOZJTL,O,O,X,O,X,X,O
ISOZJLT,O,O,X,O,X,X,X
IZTLJSO,O,O,O,X,X,X,X
IZTLJOS,X,X,O,X,X,X,X
IZTLSJO,O,O,O,X,O,X,X
IZTLSOJ,X,O,O,X,O,X,X
IZTLOJS,X,O,O,X,X,X,X
IZTLOSJ,X,O,O,X,O,X,X
IZTJLSO,O,O,X,O,X,X,X
IZTJLOS,X,X,X,O,X,X,X
IZTJSLO,O,O,X,O,X,O,X
IZTJSOL,O,X,X,O,X,O,X
IZTJOLS,O,X,X,O,X,X,X
