sequence,v115@GhA8GeC8CeA8EeA8AeD8CeB8JeZEJvhFukBclBThBi?iBlrB3sB,v115@GhA8GeC8CeA8EeA8AeD8CeB8Jex/IvhFThBiiBOpBX?lB0rBlsB,v115@GhA8GeC8CeA8EeA8AeD8CeB8JeZEJvhFWlBThBiiBX?lB0rBlsB,v115@GhA8GeC8CeA8EeA8AeD8CeB8JeZEJvhFGgB0hBzkB/?rBlsBisB,v115@GhA8GeC8CeA8EeA8AeD8CeB8JeZEJvhFGgB0hBzkB/?rBisBlsB,v115@GhA8GeC8CeA8EeA8AeD8CeB8Jex/IvhFiiBOpBXlBT?mBlsB0rB
LZOTJSI,O,O,X,X,X,X
LZOTSIJ,O,O,X,X,X,X
LZOTSJI,O,O,X,X,X,X
LZOITJS,O,X,O,X,X,X
LZOITSJ,O,X,X,X,X,X
LZOIJTS,O,O,O,X,X,X
LZOIJST,O,O,O,X,O,X
LZOISTJ,O,O,X,X,O,X
LZOISJT,O,O,O,X,O,X
LZOJTIS,O,O,O,X,X,X
LZOJTSI,O,O,X,X,X,X
LZOJITS,O,O,O,X,X,X
LZOJIST,O,O,O,X,O,X
LZOJSTI,O,O,X,X,O,X
LZOJSIT,O,O,O,X,O,X
LZOSTIJ,O,O,X,X,O,X
LZOSTJI,O,O,X,X,O,X
LZOSITJ,O,O,X,X,O,X
LZOSIJT,O,O,O,X,O,X
LZOSJTI,O,O,X,X,O,X
LZOSJIT,O,O,O,X,O,X
LOTIJSZ,X,X,X,O,O,O
LOTIJZS,O,X,O,X,X,X
LOTISJZ,X,X,X,O,O,O
LOTISZJ,O,X,X,O,O,X
LOTIZJS,O,X,X,X,X,X
LOTIZSJ,O,X,X,X,X,X
LOTJISZ,X,X,X,O,O,O
LOTJIZS,O,X,O,X,X,X
LOTJSIZ,X,O,X,O,O,O
LOTJSZI,X,O,X,O,O,O
LOTJZIS,O,X,O,X,X,X
LOTJZSI,O,X,O,X,X,O
LOTSIJZ,X,X,X,O,O,O
LOTSIZJ,O,O,X,O,O,X
LOTSJIZ,X,O,X,O,O,O
LOTSJZI,X,O,X,O,O,O
LOTSZIJ,O,O,X,O,O,X
LOTSZJI,O,O,X,O,O,O
LOTZIJS,O,X,X,X,X,X
LOTZISJ,O,X,X,X,X,X
LOTZJIS,O,X,X,X,X,X
LOTZJSI,O,X,X,X,X,O
LOTZSIJ,O,X,X,X,X,X
LOTZSJI,O,X,X,X,X,O
LOITJSZ,X,X,X,O,O,X
LOITJZS,O,X,O,X,X,X
LOITSJZ,X,X,X,O,O,X
LOITSZJ,O,X,X,O,O,X
LOITZJS,O,X,X,X,X,X
LOITZSJ,O,X,X,X,X,X
LOIJTSZ,X,X,X,O,O,X
LOIJTZS,X,X,O,X,X,X
LOIJSTZ,X,X,X,X,O,X
LOIJSZT,X,X,X,O,O,X
LOIJZTS,X,X,O,X,X,X
LOIJZST,X,X,O,X,O,X
LOISTJZ,O,X,X,X,O,X
LOISTZJ,O,X,X,X,O,X
LOISJTZ,X,X,X,X,O,X
LOISJZT,X,X,X,O,O,X
LOISZTJ,O,X,X,X,O,X
LOISZJT,O,X,X,O,O,X
LOIZTJS,O,X,O,X,X,X
LOIZTSJ,O,X,X,X,X,X
LOIZJTS,O,X,O,X,X,X
LOIZJST,O,X,O,X,O,X
LOIZSTJ,O,X,X,X,O,X
LOIZSJT,O,X,O,X,O,X
LOJTISZ,X,X,X,O,O,O
LOJTIZS,X,X,O,X,X,X
LOJTSIZ,X,O,X,O,O,O
LOJTSZI,X,O,X,O,O,O
LOJTZIS,X,X,O,X,X,X
LOJTZSI,X,X,O,X,X,O
LOJITSZ,X,X,X,O,O,X
LOJITZS,X,X,O,X,X,X
LOJISTZ,X,X,X,X,O,X
LOJISZT,X,X,X,O,O,X
LOJIZTS,X,O,O,X,X,X
LOJIZST,X,O,O,X,O,X
LOJSTIZ,X,O,X,X,O,O
LOJSTZI,X,O,X,X,O,O
LOJSITZ,X,O,X,X,O,O
LOJSIZT,X,O,X,O,O,X
LOJSZTI,X,O,X,X,O,X
LOJSZIT,X,O,X,O,O,X
LOJZTIS,X,O,O,X,X,X
LOJZTSI,X,O,X,X,X,X
LOJZITS,X,O,O,X,X,X
LOJZIST,X,O,O,X,O,X
LOJZSTI,X,O,X,X,O,X
LOJZSIT,X,O,O,X,O,X
LOSTIJZ,O,X,X,X,O,O
LOSTIZJ,O,O,X,X,O,X
LOSTJIZ,O,O,X,X,O,O
LOSTJZI,O,O,X,X,O,O
LOSTZIJ,O,O,X,X,O,X
LOSTZJI,O,O,X,X,O,O
LOSITJZ,O,X,X,X,O,X
LOSITZJ,O,O,X,X,O,X
LOSIJTZ,X,X,X,X,O,X
LOSIJZT,X,X,X,O,O,X
LOSIZTJ,O,O,X,X,O,X
LOSIZJT,O,O,X,O,O,X
LOSJTIZ,X,O,X,X,O,O
LOSJTZI,X,O,X,X,O,O
LOSJITZ,X,O,X,X,O,O
LOSJIZT,X,O,X,O,O,X
LOSJZTI,X,O,X,X,O,X
LOSJZIT,X,O,X,O,O,X
LOSZTIJ,O,O,X,X,O,X
LOSZTJI,O,O,X,X,O,X
LOSZITJ,O,O,X,X,O,X
LOSZIJT,O,O,X,O,O,X
LOSZJTI,O,O,X,X,O,X
LOSZJIT,O,O,X,O,O,X
LOZTIJS,O,X,O,X,X,X
LOZTISJ,O,X,X,X,X,X
LOZTJIS,O,O,O,X,X,X
LOZTJSI,O,O,X,X,X,X
LOZTSIJ,O,O,X,X,X,X
LOZTSJI,O,O,X,X,X,X
LOZITJS,O,X,O,X,X,X
LOZITSJ,O,X,X,X,X,X
LOZIJTS,O,O,O,X,X,X
LOZIJST,O,O,O,X,O,X
LOZISTJ,O,O,X,X,O,X
LOZISJT,O,O,O,X,O,X
LOZJTIS,O,O,O,X,X,X
LOZJTSI,O,O,X,X,X,X
LOZJITS,O,O,O,X,X,X
LOZJIST,O,O,O,X,O,X
LOZJSTI,O,O,X,X,O,X
LOZJSIT,O,O,O,X,O,X
LOZSTIJ,O,O,X,X,O,X
LOZSTJI,O,O,X,X,O,X
LOZSITJ,O,O,X,X,O,X
LOZSIJT,O,O,O,X,O,X
LOZSJTI,O,O,X,X,O,X
LOZSJIT,O,O,O,X,O,X
JTILSZO,X,O,O,X,X,O
JTILSOZ,X,O,X,X,X,O
JTILZSO,O,O,O,X,X,X
JTILZOS,O,O,O,X,X,X
JTILOSZ,X,X,X,X,X,O
JTILOZS,O,X,O,X,X,X
JTISLZO,X,O,O,X,X,O
JTISLOZ,X,O,X,X,X,O
JTISZLO,X,O,O,X,X,O
JTISZOL,X,O,O,O,X,O
JTISOLZ,X,O,X,O,X,O
JTISOZL,X,O,X,O,X,O
JTIZLSO,O,O,O,X,X,X
JTIZLOS,O,O,O,X,X,X
JTIZSLO,O,O,O,X,X,X
JTIZSOL,O,O,O,X,X,X
JTIZOLS,O,O,O,X,X,X
JTIZOSL,O,O,O,X,X,X
JTIOLSZ,X,X,X,O,X,O
JTIOLZS,O,X,O,X,X,X
JTIOSLZ,X,X,X,O,X,O
JTIOSZL,X,X,X,O,X,O
JTIOZLS,O,O,O,X,X,X
JTIOZSL,O,O,O,O,X,X
JTLISZO,X,O,O,X,X,O
JTLISOZ,X,O,X,X,X,O
JTLIZSO,O,O,O,X,X,X
JTLIZOS,O,O,O,X,X,X
JTLIOSZ,X,X,X,X,X,O
JTLIOZS,O,X,O,X,X,X
JTLSIZO,X,O,O,X,X,O
JTLSIOZ,X,O,X,X,X,O
JTLSZIO,X,O,O,X,X,O
JTLSZOI,X,O,O,X,X,O
JTLSOIZ,X,O,X,X,X,O
JTLSOZI,X,O,X,X,X,O
JTLZISO,O,O,O,X,X,X
JTLZIOS,O,O,O,X,X,X
JTLZSIO,O,O,O,X,X,O
JTLZSOI,O,O,O,X,X,O
JTLZOIS,O,O,O,X,X,X
JTLZOSI,O,O,O,X,X,O
JTLOISZ,X,X,X,X,X,O
JTLOIZS,O,X,O,X,X,X
JTLOSIZ,X,O,X,X,X,O
JTLOSZI,X,O,X,X,X,O
JTLOZIS,O,X,O,X,X,X
JTLOZSI,O,X,O,X,X,O
JTSILZO,X,O,O,X,X,O
JTSILOZ,X,O,X,X,X,O
JTSIZLO,X,O,O,X,X,O
JTSIZOL,X,O,O,O,X,O
JTSIOLZ,X,O,X,O,X,O
JTSIOZL,X,O,X,O,X,O
JTSLIZO,X,O,O,X,X,O
JTSLIOZ,X,O,X,X,X,O
JTSLZIO,X,O,O,X,X,O
JTSLZOI,X,O,O,X,X,O
JTSLOIZ,X,O,X,X,X,O
JTSLOZI,X,O,X,X,X,O
JTSZILO,X,O,O,X,X,O
JTSZIOL,X,O,O,O,X,O
JTSZLIO,X,O,O,X,X,O
JTSZLOI,X,O,O,X,X,O
JTSZOIL,X,O,O,O,X,O
JTSZOLI,X,O,O,O,X,O
JTSOILZ,X,O,X,O,X,O
JTSOIZL,X,O,X,O,X,O
JTSOLIZ,X,O,X,O,X,O
JTSOLZI,X,O,X,O,X,O
JTSOZIL,X,O,X,O,X,O
JTSOZLI,X,O,X,O,X,O
JTZILSO,O,O,O,X,X,X
JTZILOS,O,O,O,X,X,X
JTZISLO,O,O,O,X,X,X
JTZISOL,O,O,O,X,X,X
JTZIOLS,O,O,O,X,X,X
JTZIOSL,O,O,O,X,X,X
JTZLISO,O,O,O,X,X,X
JTZLIOS,O,O,O,X,X,X
JTZLSIO,O,O,O,X,X,O
JTZLSOI,O,O,O,X,X,O
JTZLOIS,O,O,O,X,X,X
JTZLOSI,O,O,O,X,X,O
JTZSILO,O,O,O,X,X,O
JTZSIOL,O,O,O,X,X,O
JTZSLIO,O,O,O,X,X,O
JTZSLOI,O,O,O,X,X,O
JTZSOIL,O,O,O,X,X,O
JTZSOLI,O,O,O,X,X,O
JTZOILS,O,O,O,X,X,X
JTZOISL,O,O,O,X,X,X
JTZOLIS,O,O,O,X,X,X
JTZOLSI,O,O,O,X,X,O
JTZOSIL,O,O,O,X,X,O
JTZOSLI,O,O,O,X,X,O
JTOILSZ,X,X,X,O,X,O
JTOILZS,O,X,O,X,X,X
JTOISLZ,X,X,X,O,X,O
JTOISZL,X,X,X,O,X,O
JTOIZLS,O,O,O,X,X,X
JTOIZSL,O,O,O,O,X,X
JTOLISZ,X,X,X,O,X,O
JTOLIZS,O,X,O,X,X,X
JTOLSIZ,X,O,X,O,X,O
JTOLSZI,X,O,X,O,X,O
JTOLZIS,O,X,O,X,X,X
JTOLZSI,O,X,O,X,X,O
JTOSILZ,X,O,X,O,X,O
JTOSIZL,X,O,X,O,X,O
JTOSLIZ,X,O,X,O,X,O
JTOSLZI,X,O,X,O,X,O
JTOSZIL,X,O,X,O,X,O
JTOSZLI,X,O,X,O,X,O
JTOZILS,O,O,O,X,X,X
JTOZISL,O,O,O,O,X,X
JTOZLIS,O,O,O,X,X,X
JTOZLSI,O,O,O,X,X,O
JTOZSIL,O,O,O,O,X,O
JTOZSLI,O,O,O,O,X,O
JITLSZO,X,O,O,X,X,O
JITLSOZ,X,O,X,X,X,O
JITLZSO,O,O,O,X,X,X
JITLZOS,O,O,O,X,X,X
JITLOSZ,X,X,X,X,X,O
JITLOZS,O,X,O,X,X,X
JITSLZO,X,O,O,X,X,O
JITSLOZ,X,O,X,X,X,O
JITSZLO,X,O,O,X,X,O
JITSZOL,X,O,O,O,X,O
JITSOLZ,X,O,X,O,X,O
JITSOZL,X,O,X,O,X,O
JITZLSO,O,O,O,X,X,X
JITZLOS,O,O,O,X,X,X
JITZSLO,O,O,O,X,X,X
JITZSOL,O,O,O,X,X,X
JITZOLS,O,O,O,X,X,X
JITZOSL,O,O,O,X,X,X
JITOLSZ,X,X,X,O,X,O
JITOLZS,O,X,O,X,X,X
JITOSLZ,X,X,X,O,X,O
JITOSZL,X,X,X,O,X,O
JITOZLS,O,O,O,X,X,X
JITOZSL,O,O,O,O,X,X
JILTSZO,X,O,O,X,X,O
JILTSOZ,X,O,X,X,X,O
JILTZSO,O,O,O,X,X,X
JILTZOS,O,O,O,X,X,X
JILTOSZ,X,X,X,X,X,O
JILTOZS,O,X,O,X,X,X
JILSTZO,O,O,O,X,X,O
JILSTOZ,O,O,X,X,X,O
JILSZTO,O,O,X,X,X,O
JILSZOT,O,O,O,X,O,X
JILSOTZ,X,O,X,X,O,O
JILSOZT,X,O,X,X,O,X
JILZTSO,O,X,O,X,X,X
JILZTOS,O,O,O,X,X,X
JILZSTO,O,O,X,X,X,X
JILZSOT,O,O,O,X,X,X
JILZOTS,O,O,O,X,X,X
JILZOST,O,O,O,X,X,X
JILOTSZ,X,X,X,X,O,X
JILOTZS,X,X,O,X,X,X
JILOSTZ,X,X,X,X,O,X
JILOSZT,X,X,X,X,O,X
JILOZTS,X,O,O,X,X,X
JILOZST,X,O,O,X,O,X
JISTLZO,O,O,O,X,X,O
JISTLOZ,O,O,X,X,X,O
JISTZLO,O,O,O,X,X,O
JISTZOL,O,O,O,X,X,O
JISTOLZ,O,O,X,X,X,O
JISTOZL,O,O,X,X,X,O
JISLTZO,O,O,O,X,X,O
JISLTOZ,O,O,X,X,X,O
JISLZTO,O,O,X,X,X,O
JISLZOT,O,O,O,X,O,X
JISLOTZ,X,O,X,X,O,O
JISLOZT,X,O,X,X,O,X
JISZTLO,O,O,X,X,X,O
JISZTOL,O,O,X,X,X,O
JISZLTO,O,O,X,X,X,O
JISZLOT,O,O,O,X,X,X
JISZOTL,O,O,X,O,O,X
JISZOLT,O,O,O,O,O,X
JISOTLZ,X,O,X,X,O,O
JISOTZL,X,O,X,O,O,O
JISOLTZ,X,O,X,X,O,O
JISOLZT,X,O,X,O,O,X
JISOZTL,X,O,X,O,O,X
JISOZLT,X,O,X,O,O,X
JIZTLSO,O,O,O,X,X,X
JIZTLOS,O,O,O,X,X,X
JIZTSLO,O,O,O,X,X,X
JIZTSOL,O,O,O,X,X,X
JIZTOLS,O,O,O,X,X,X
JIZTOSL,O,O,O,X,X,X
JIZLTSO,O,X,O,X,X,X
JIZLTOS,O,O,O,X,X,X
JIZLSTO,O,O,X,X,X,X
JIZLSOT,O,O,O,X,X,X
JIZLOTS,O,O,O,X,X,X
JIZLOST,O,O,O,X,X,X
JIZSTLO,O,O,X,X,X,X
JIZSTOL,O,O,X,X,X,X
JIZSLTO,O,O,X,X,X,X
JIZSLOT,O,O,O,X,X,X
JIZSOTL,O,O,X,X,X,X
JIZSOLT,O,O,O,X,X,X
JIZOTLS,O,O,O,X,X,X
JIZOTSL,O,X,X,X,X,X
JIZOLTS,O,O,O,X,X,X
JIZOLST,O,O,O,X,X,X
JIZOSTL,O,O,X,X,X,X
JIZOSLT,O,O,O,X,X,X
JIOTLSZ,X,X,X,O,O,X
JIOTLZS,X,X,O,X,X,X
JIOTSLZ,X,X,X,O,O,X
JIOTSZL,X,X,X,O,O,X
JIOTZLS,X,O,O,X,X,X
JIOTZSL,X,O,O,O,X,X
JIOLTSZ,X,X,X,O,O,X
JIOLTZS,X,X,O,X,X,X
JIOLSTZ,X,X,X,X,O,X
JIOLSZT,X,X,X,O,O,X
JIOLZTS,X,O,O,X,X,X
JIOLZST,X,O,O,X,O,X
JIOSTLZ,X,X,X,O,O,X
JIOSTZL,X,X,X,O,O,X
JIOSLTZ,X,X,X,X,O,X
JIOSLZT,X,X,X,O,O,X
JIOSZTL,X,X,X,O,O,X
JIOSZLT,X,X,X,O,O,X
JIOZTLS,X,O,O,X,X,X
JIOZTSL,X,X,X,O,X,X
JIOZLTS,X,O,O,X,X,X
JIOZLST,X,O,O,X,O,X
JIOZSTL,X,X,X,O,O,X
JIOZSLT,X,O,O,O,O,X
JLTISZO,X,O,O,X,X,O
JLTISOZ,X,O,X,X,X,O
JLTIZSO,O,O,O,X,X,X
JLTIZOS,O,O,O,X,X,X
JLTIOSZ,X,X,X,X,X,O
JLTIOZS,O,X,O,X,X,X
JLTSIZO,X,O,O,X,X,O
JLTSIOZ,X,O,X,X,X,O
JLTSZIO,X,O,O,X,X,O
JLTSZOI,X,O,O,X,X,O
JLTSOIZ,X,O,X,X,X,O
JLTSOZI,X,O,X,X,X,O
JLTZISO,O,O,O,X,X,X
JLTZIOS,O,O,O,X,X,X
JLTZSIO,O,O,O,X,X,O
JLTZSOI,O,O,O,X,X,O
JLTZOIS,O,O,O,X,X,X
JLTZOSI,O,O,O,X,X,O
JLTOISZ,X,X,X,X,X,O
JLTOIZS,O,X,O,X,X,X
JLTOSIZ,X,O,X,X,X,O
JLTOSZI,X,O,X,X,X,O
JLTOZIS,O,X,O,X,X,X
JLTOZSI,O,X,O,X,X,O
JLITSZO,X,O,O,X,X,O
JLITSOZ,X,O,X,X,X,O
JLITZSO,O,O,O,X,X,X
JLITZOS,O,O,O,X,X,X
JLITOSZ,X,X,X,X,X,O
JLITOZS,O,X,O,X,X,X
JLISTZO,O,O,O,X,X,O
JLISTOZ,O,O,X,X,X,O
JLISZTO,O,O,X,X,X,O
JLISZOT,O,O,O,X,O,X
JLISOTZ,X,O,X,X,O,O
JLISOZT,X,O,X,X,O,X
JLIZTSO,O,X,O,X,X,X
JLIZTOS,O,O,O,X,X,X
JLIZSTO,O,O,X,X,X,X
JLIZSOT,O,O,O,X,X,X
JLIZOTS,O,O,O,X,X,X
JLIZOST,O,O,O,X,X,X
JLIOTSZ,X,X,X,X,O,X
JLIOTZS,X,X,O,X,X,X
JLIOSTZ,X,X,X,X,O,X
JLIOSZT,X,X,X,X,O,X
JLIOZTS,X,O,O,X,X,X
JLIOZST,X,O,O,X,O,X
JLSTIZO,O,O,O,X,X,O
JLSTIOZ,O,O,X,X,X,O
JLSTZIO,O,O,O,X,X,O
JLSTZOI,O,O,O,X,X,O
JLSTOIZ,O,O,X,X,X,O
JLSTOZI,O,O,X,X,X,O
JLSITZO,O,O,O,X,X,O
JLSITOZ,O,O,X,X,X,O
JLSIZTO,O,O,X,X,X,O
JLSIZOT,O,O,O,X,O,X
JLSIOTZ,X,O,X,X,O,O
JLSIOZT,X,O,X,X,O,X
JLSZTIO,O,O,X,X,X,O
JLSZTOI,O,O,X,X,X,O
JLSZITO,O,O,X,X,X,O
JLSZIOT,O,O,O,X,O,X
JLSZOTI,O,O,X,X,O,X
JLSZOIT,O,O,O,X,O,X
JLSOTIZ,X,O,X,X,O,O
JLSOTZI,X,O,X,X,O,O
JLSOITZ,X,O,X,X,O,O
JLSOIZT,X,O,X,X,O,X
JLSOZTI,X,O,X,X,O,X
JLSOZIT,X,O,X,X,O,X
JLZTISO,O,X,O,X,X,X
JLZTIOS,O,O,O,X,X,X
JLZTSIO,O,O,O,X,X,O
JLZTSOI,O,O,O,X,X,O
JLZTOIS,O,O,O,X,X,X
JLZTOSI,O,O,O,X,X,O
JLZITSO,O,X,O,X,X,X
JLZITOS,O,O,O,X,X,X
JLZISTO,O,O,X,X,X,X
JLZISOT,O,O,O,X,X,X
JLZIOTS,O,O,O,X,X,X
JLZIOST,O,O,O,X,X,X
JLZSTIO,O,O,X,X,X,O
JLZSTOI,O,O,X,X,X,O
JLZSITO,O,O,X,X,X,O
JLZSIOT,O,O,O,X,X,X
JLZSOTI,O,O,X,X,X,X
JLZSOIT,O,O,O,X,X,X
JLZOTIS,O,O,O,X,X,X
JLZOTSI,O,O,X,X,X,X
JLZOITS,O,O,O,X,X,X
JLZOIST,O,O,O,X,X,X
JLZOSTI,O,O,X,X,X,X
JLZOSIT,O,O,O,X,X,X
JLOTISZ,X,X,X,X,O,O
JLOTIZS,X,X,O,X,X,X
JLOTSIZ,X,O,X,X,O,O
JLOTSZI,X,O,X,X,O,O
JLOTZIS,X,X,O,X,X,X
JLOTZSI,X,X,O,X,X,O
JLOITSZ,X,X,X,X,O,X
JLOITZS,X,X,O,X,X,X
JLOISTZ,X,X,X,X,O,X
JLOISZT,X,X,X,X,O,X
JLOIZTS,X,O,O,X,X,X
JLOIZST,X,O,O,X,O,X
JLOSTIZ,X,O,X,X,O,O
JLOSTZI,X,O,X,X,O,O
JLOSITZ,X,O,X,X,O,O
JLOSIZT,X,O,X,X,O,X
JLOSZTI,X,O,X,X,O,X
JLOSZIT,X,O,X,X,O,X
JLOZTIS,X,O,O,X,X,X
JLOZTSI,X,O,X,X,X,X
JLOZITS,X,O,O,X,X,X
JLOZIST,X,O,O,X,O,X
JLOZSTI,X,O,X,X,O,X
JLOZSIT,X,O,O,X,O,X
JSTILZO,O,O,O,X,X,O
JSTILOZ,O,O,X,X,X,O
JSTIZLO,O,O,O,X,X,O
JSTIZOL,O,O,O,X,X,O
JSTIOLZ,O,O,X,X,X,O
JSTIOZL,O,O,X,X,X,O
JSTLIZO,O,O,O,X,X,O
JSTLIOZ,O,O,X,X,X,O
JSTLZIO,O,O,O,X,X,O
JSTLZOI,O,O,O,X,X,O
JSTLOIZ,O,O,X,X,X,O
JSTLOZI,O,O,X,X,X,O
JSTZILO,O,O,O,X,X,O
JSTZIOL,O,O,O,X,X,O
JSTZLIO,O,O,O,X,X,O
JSTZLOI,O,O,O,X,X,O
JSTZOIL,O,O,O,X,X,O
JSTZOLI,O,O,O,X,X,O
JSTOILZ,O,O,X,X,X,O
JSTOIZL,O,O,X,X,X,O
JSTOLIZ,O,O,X,X,X,O
JSTOLZI,O,O,X,X,X,O
JSTOZIL,O,O,X,X,X,O
JSTOZLI,O,O,X,X,X,O
JSITLZO,O,O,O,X,X,O
JSITLOZ,O,O,X,X,X,O
JSITZLO,O,O,O,X,X,O
JSITZOL,O,O,O,X,X,O
JSITOLZ,O,O,X,X,X,O
JSITOZL,O,O,X,X,X,O
JSILTZO,O,O,O,X,X,O
JSILTOZ,O,O,X,X,X,O
JSILZTO,O,O,X,X,X,O
JSILZOT,O,O,O,X,O,X
JSILOTZ,X,O,X,X,O,O
JSILOZT,X,O,X,X,O,X
JSIZTLO,O,O,X,X,X,O
JSIZTOL,O,O,X,X,X,O
JSIZLTO,O,O,X,X,X,O
JSIZLOT,O,O,O,X,X,X
JSIZOTL,O,O,X,O,O,X
JSIZOLT,O,O,O,O,O,X
JSIOTLZ,X,O,X,X,O,O
JSIOTZL,X,O,X,O,O,O
JSIOLTZ,X,O,X,X,O,O
JSIOLZT,X,O,X,O,O,X
JSIOZTL,X,O,X,O,O,X
JSIOZLT,X,O,X,O,O,X
JSLTIZO,O,O,O,X,X,O
JSLTIOZ,O,O,X,X,X,O
JSLTZIO,O,O,O,X,X,O
JSLTZOI,O,O,O,X,X,O
JSLTOIZ,O,O,X,X,X,O
JSLTOZI,O,O,X,X,X,O
JSLITZO,O,O,O,X,X,O
JSLITOZ,O,O,X,X,X,O
JSLIZTO,O,O,X,X,X,O
JSLIZOT,O,O,O,X,O,X
JSLIOTZ,X,O,X,X,O,O
JSLIOZT,X,O,X,X,O,X
JSLZTIO,O,O,X,X,X,O
JSLZTOI,O,O,X,X,X,O
JSLZITO,O,O,X,X,X,O
JSLZIOT,O,O,O,X,O,X
JSLZOTI,O,O,X,X,O,X
JSLZOIT,O,O,O,X,O,X
JSLOTIZ,X,O,X,X,O,O
JSLOTZI,X,O,X,X,O,O
JSLOITZ,X,O,X,X,O,O
JSLOIZT,X,O,X,X,O,X
JSLOZTI,X,O,X,X,O,X
JSLOZIT,X,O,X,X,O,X
JSZTILO,O,O,X,X,X,O
JSZTIOL,O,O,X,X,X,O
JSZTLIO,O,O,X,X,X,O
JSZTLOI,O,O,X,X,X,O
JSZTOIL,O,O,X,X,X,O
JSZTOLI,O,O,X,X,X,O
JSZITLO,O,O,X,X,X,O
JSZITOL,O,O,X,X,X,O
JSZILTO,O,O,X,X,X,O
JSZILOT,O,O,O,X,X,X
JSZIOTL,O,O,X,O,O,X
JSZIOLT,O,O,O,O,O,X
JSZLTIO,O,O,X,X,X,O
JSZLTOI,O,O,X,X,X,O
JSZLITO,O,O,X,X,X,O
JSZLIOT,O,O,O,X,X,X
JSZLOTI,O,O,X,X,X,X
JSZLOIT,O,O,O,X,X,X
JSZOTIL,O,O,X,O,O,X
JSZOTLI,O,O,X,X,X,X
JSZOITL,O,O,X,O,O,X
JSZOILT,O,O,O,O,O,X
JSZOLTI,O,O,X,X,X,X
JSZOLIT,O,O,O,O,O,X
JSOTILZ,X,O,X,X,O,O
JSOTIZL,X,O,X,O,O,O
JSOTLIZ,X,O,X,X,O,O
JSOTLZI,X,O,X,X,O,O
JSOTZIL,X,O,X,O,O,O
JSOTZLI,X,O,X,X,X,O
JSOITLZ,X,O,X,X,O,O
JSOITZL,X,O,X,O,O,O
JSOILTZ,X,O,X,X,O,O
JSOILZT,X,O,X,O,O,X
JSOIZTL,X,O,X,O,O,X
JSOIZLT,X,O,X,O,O,X
JSOLTIZ,X,O,X,X,O,O
JSOLTZI,X,O,X,X,O,O
JSOLITZ,X,O,X,X,O,O
JSOLIZT,X,O,X,O,O,X
JSOLZTI,X,O,X,X,O,X
JSOLZIT,X,O,X,O,O,X
JSOZTIL,X,O,X,O,O,X
JSOZTLI,X,O,X,X,X,X
JSOZITL,X,O,X,O,O,X
JSOZILT,X,O,X,O,O,X
JSOZLTI,X,O,X,X,O,X
JSOZLIT,X,O,X,O,O,X
JZTILSO,O,O,O,X,X,X
JZTILOS,O,O,O,X,X,X
JZTISLO,O,O,O,X,X,X
JZTISOL,O,O,O,X,X,X
JZTIOLS,O,O,O,X,X,X
JZTIOSL,O,O,O,X,X,X
JZTLISO,O,O,O,X,X,X
JZTLIOS,O,O,O,X,X,X
JZTLSIO,O,O,O,X,X,O
JZTLSOI,O,O,O,X,X,O
JZTLOIS,O,O,O,X,X,X
JZTLOSI,O,O,O,X,X,O
JZTSILO,O,O,O,X,X,O
JZTSIOL,O,O,O,X,X,O
JZTSLIO,O,O,O,X,X,O
JZTSLOI,O,O,O,X,X,O
JZTSOIL,O,O,O,X,X,O
JZTSOLI,O,O,O,X,X,O
JZTOILS,O,O,O,X,X,X
JZTOISL,O,O,O,X,X,X
JZTOLIS,O,O,O,X,X,X
JZTOLSI,O,O,O,X,X,O
JZTOSIL,O,O,O,X,X,O
JZTOSLI,O,O,O,X,X,O
JZITLSO,O,O,O,X,X,X
JZITLOS,O,O,O,X,X,X
JZITSLO,O,O,O,X,X,X
JZITSOL,O,O,O,X,X,X
JZITOLS,O,O,O,X,X,X
JZITOSL,O,O,O,X,X,X
JZILTSO,O,X,O,X,X,X
JZILTOS,O,O,O,X,X,X
JZILSTO,O,O,X,X,X,X
JZILSOT,O,O,O,X,X,X
JZILOTS,O,O,O,X,X,X
JZILOST,O,O,O,X,X,X
JZISTLO,O,O,X,X,X,X
JZISTOL,O,O,X,X,X,X
JZISLTO,O,O,X,X,X,X
JZISLOT,O,O,O,X,X,X
JZISOTL,O,O,X,X,X,X
JZISOLT,O,O,O,X,X,X
JZIOTLS,O,O,O,X,X,X
JZIOTSL,O,X,X,X,X,X
JZIOLTS,O,O,O,X,X,X
JZIOLST,O,O,O,X,X,X
JZIOSTL,O,O,X,X,X,X
JZIOSLT,O,O,O,X,X,X
JZLTISO,O,X,O,X,X,X
JZLTIOS,O,O,O,X,X,X
JZLTSIO,O,O,O,X,X,O
JZLTSOI,O,O,O,X,X,O
JZLTOIS,O,O,O,X,X,X
JZLTOSI,O,O,O,X,X,O
JZLITSO,O,X,O,X,X,X
JZLITOS,O,O,O,X,X,X
JZLISTO,O,O,X,X,X,X
JZLISOT,O,O,O,X,X,X
JZLIOTS,O,O,O,X,X,X
JZLIOST,O,O,O,X,X,X
JZLSTIO,O,O,X,X,X,O
JZLSTOI,O,O,X,X,X,O
JZLSITO,O,O,X,X,X,O
JZLSIOT,O,O,O,X,X,X
JZLSOTI,O,O,X,X,X,X
JZLSOIT,O,O,O,X,X,X
JZLOTIS,O,O,O,X,X,X
JZLOTSI,O,O,X,X,X,X
