sequence,v115@FhA8IeA8AeA8FeB8AeD8BeC8KeT/IvhFmgB5oBXlBF?nBCnBUrB,v115@FhA8IeA8AeA8FeB8AeD8BeC8KeT/IvhFumBcnB5oBX?lBKrBlqB,v115@FhA8IeA8AeA8FeB8AeD8BeC8Ke2EJvhFlhBcnB5oB3?lBClBTrB,v115@FhA8IeA8AeA8FeB8AeD8BeC8Ke/EJvhFalBzgBcnB5?oBFrBurB,v115@FhA8IeA8AeA8FeB8AeD8BeC8KezAJvhFCiB5oBmkBX?nBlkBUrB,v115@FhA8IeA8AeA8FeB8AeD8BeC8Kei/IvhF3gBTiB5oBW?qBlrBcrB
LZSIOTJ,O,O,X,O,O,X
LZSIOJT,O,O,X,X,O,X
LZSJTIO,O,O,O,O,O,X
LZSJTOI,O,O,X,O,O,X
LZSJITO,O,O,O,O,O,X
LZSJIOT,O,O,X,X,O,X
LZSJOTI,O,O,X,X,O,X
LZSJOIT,O,O,X,X,O,X
LZSOTIJ,O,O,X,O,O,X
LZSOTJI,O,O,X,O,O,X
LZSOITJ,O,O,X,O,O,X
LZSOIJT,O,O,X,X,O,X
LZSOJTI,O,O,X,X,O,X
LZSOJIT,O,O,X,X,O,X
LZOTIJS,X,O,O,X,X,O
LZOTISJ,X,O,O,X,X,X
LZOTJIS,X,O,O,X,X,O
LZOTJSI,X,O,O,X,X,X
LZOTSIJ,X,O,O,X,X,X
LZOTSJI,X,O,O,X,X,X
LZOITJS,X,O,O,X,X,O
LZOITSJ,X,O,O,X,X,X
LZOIJTS,X,O,O,X,X,O
LZOIJST,X,O,O,X,O,X
LZOISTJ,X,O,O,X,O,X
LZOISJT,X,O,O,X,O,X
LZOJTIS,X,O,O,X,X,O
LZOJTSI,X,O,O,X,X,X
LZOJITS,X,O,O,X,X,O
LZOJIST,X,O,O,X,O,X
LZOJSTI,X,O,O,X,O,X
LZOJSIT,X,O,O,X,O,X
LZOSTIJ,X,O,O,X,O,X
LZOSTJI,X,O,O,X,O,X
LZOSITJ,X,O,O,X,O,X
LZOSIJT,X,O,O,X,O,X
LZOSJTI,X,O,O,X,O,X
LZOSJIT,X,O,O,X,O,X
LOTIJSZ,X,X,X,X,X,O
LOTIJZS,X,X,X,X,X,O
LOTISJZ,O,X,X,X,X,O
LOTISZJ,X,O,X,X,X,X
LOTIZJS,X,O,X,X,X,O
LOTIZSJ,X,O,X,X,X,X
LOTJISZ,X,X,X,X,X,O
LOTJIZS,X,X,X,X,X,O
LOTJSIZ,X,X,X,X,X,O
LOTJSZI,X,X,X,X,X,X
LOTJZIS,X,X,X,X,X,O
LOTJZSI,X,X,X,X,X,X
LOTSIJZ,O,X,X,X,X,O
LOTSIZJ,X,O,X,X,X,X
LOTSJIZ,O,X,X,X,X,O
LOTSJZI,X,X,X,X,X,X
LOTSZIJ,X,O,X,X,X,X
LOTSZJI,X,O,X,X,X,X
LOTZIJS,X,O,X,X,X,O
LOTZISJ,X,O,X,X,X,X
LOTZJIS,X,O,X,X,X,O
LOTZJSI,X,O,X,X,X,X
LOTZSIJ,X,O,X,X,X,X
LOTZSJI,X,O,X,X,X,X
LOITJSZ,X,X,X,X,X,O
LOITJZS,X,X,X,X,X,O
LOITSJZ,O,X,X,X,X,O
LOITSZJ,X,O,X,X,X,X
LOITZJS,X,O,X,X,X,O
LOITZSJ,X,O,X,X,X,X
LOIJTSZ,X,X,X,X,X,O
LOIJTZS,X,X,X,X,X,O
LOIJSTZ,X,X,X,X,X,O
LOIJSZT,X,O,O,X,X,X
LOIJZTS,X,O,O,X,X,O
LOIJZST,X,O,O,X,X,X
LOISTJZ,O,X,X,X,X,O
LOISTZJ,X,O,X,X,X,X
LOISJTZ,O,X,X,X,X,O
LOISJZT,O,O,O,X,X,X
LOISZTJ,O,O,O,X,X,X
LOISZJT,O,O,O,X,X,X
LOIZTJS,X,O,O,X,X,O
LOIZTSJ,X,O,O,X,X,X
LOIZJTS,X,O,O,X,X,O
LOIZJST,X,O,O,X,X,X
LOIZSTJ,X,O,O,X,X,X
LOIZSJT,X,O,O,X,X,X
LOJTISZ,X,X,X,X,X,O
LOJTIZS,X,X,X,X,X,O
LOJTSIZ,X,X,X,X,X,O
LOJTSZI,X,X,X,X,X,X
LOJTZIS,X,X,X,X,X,O
LOJTZSI,X,X,X,X,X,X
LOJITSZ,X,X,X,X,X,O
LOJITZS,X,X,X,X,X,O
LOJISTZ,X,X,X,X,X,O
LOJISZT,X,O,O,X,X,X
LOJIZTS,X,O,O,X,X,O
LOJIZST,X,O,O,X,X,X
LOJSTIZ,X,X,X,X,X,O
LOJSTZI,X,X,X,X,X,X
LOJSITZ,X,X,X,X,X,O
LOJSIZT,X,O,O,X,X,X
LOJSZTI,X,O,O,X,X,X
LOJSZIT,X,O,O,X,X,X
LOJZTIS,X,O,O,X,X,O
LOJZTSI,X,O,O,X,X,X
LOJZITS,X,O,O,X,X,O
LOJZIST,X,O,O,X,X,X
LOJZSTI,X,O,O,X,X,X
LOJZSIT,X,O,O,X,X,X
LOSTIJZ,O,X,X,X,X,O
LOSTIZJ,X,O,X,X,X,X
LOSTJIZ,O,X,X,X,X,O
LOSTJZI,X,X,X,X,X,X
LOSTZIJ,X,O,X,X,X,X
LOSTZJI,X,O,X,X,X,X
LOSITJZ,O,X,X,X,X,O
LOSITZJ,X,O,X,X,X,X
LOSIJTZ,O,X,X,X,X,O
LOSIJZT,O,O,O,X,X,X
LOSIZTJ,O,O,O,X,X,X
LOSIZJT,O,O,O,X,X,X
LOSJTIZ,O,X,X,X,X,O
LOSJTZI,X,X,X,X,X,X
LOSJITZ,O,X,X,X,X,O
LOSJIZT,O,O,O,X,X,X
LOSJZTI,O,O,O,X,X,X
LOSJZIT,O,O,O,X,X,X
LOSZTIJ,O,O,O,X,X,X
LOSZTJI,O,O,O,X,X,X
LOSZITJ,O,O,O,X,X,X
LOSZIJT,O,O,O,X,X,X
LOSZJTI,O,O,O,X,X,X
LOSZJIT,O,O,O,X,X,X
LOZTIJS,X,O,O,X,X,O
LOZTISJ,X,O,O,X,X,X
LOZTJIS,X,O,O,X,X,O
LOZTJSI,X,O,O,X,X,X
LOZTSIJ,X,O,O,X,X,X
LOZTSJI,X,O,O,X,X,X
LOZITJS,X,O,O,X,X,O
LOZITSJ,X,O,O,X,X,X
LOZIJTS,X,O,O,X,X,O
LOZIJST,X,O,O,X,X,X
LOZISTJ,X,O,O,X,X,X
LOZISJT,X,O,O,X,X,X
LOZJTIS,X,O,O,X,X,O
LOZJTSI,X,O,O,X,X,X
LOZJITS,X,O,O,X,X,O
LOZJIST,X,O,O,X,X,X
LOZJSTI,X,O,O,X,X,X
LOZJSIT,X,O,O,X,X,X
LOZSTIJ,X,O,O,X,X,X
LOZSTJI,X,O,O,X,X,X
LOZSITJ,X,O,O,X,X,X
LOZSIJT,X,O,O,X,X,X
LOZSJTI,X,O,O,X,X,X
LOZSJIT,X,O,O,X,X,X
JTILSZO,X,X,X,X,X,O
JTILSOZ,X,X,X,X,X,O
JTILZSO,X,X,X,X,X,O
JTILZOS,X,X,X,X,X,O
JTILOSZ,X,X,X,X,X,O
JTILOZS,X,X,X,X,X,O
JTISLZO,X,X,X,O,O,O
JTISLOZ,O,X,X,O,X,O
JTISZLO,X,X,O,O,O,O
JTISZOL,O,X,O,O,O,O
JTISOLZ,O,X,X,O,X,O
JTISOZL,O,X,X,O,X,O
JTIZLSO,O,X,O,X,X,O
JTIZLOS,X,X,X,X,X,O
JTIZSLO,O,X,O,O,O,O
JTIZSOL,O,X,O,O,O,O
JTIZOLS,X,X,O,X,X,O
JTIZOSL,O,X,O,O,O,O
JTIOLSZ,X,X,X,X,X,O
JTIOLZS,X,X,X,X,X,O
JTIOSLZ,O,X,X,O,X,O
JTIOSZL,O,X,O,O,X,O
JTIOZLS,X,X,O,X,X,O
JTIOZSL,X,X,O,O,X,O
JTLISZO,X,X,X,X,X,O
JTLISOZ,X,X,X,X,X,O
JTLIZSO,X,X,X,X,X,O
JTLIZOS,X,X,X,X,X,O
JTLIOSZ,X,X,X,X,X,O
JTLIOZS,X,X,X,X,X,O
JTLSIZO,X,X,X,X,X,O
JTLSIOZ,X,X,X,X,X,O
JTLSZIO,X,X,X,X,X,X
JTLSZOI,X,X,X,X,X,X
JTLSOIZ,X,X,X,X,X,O
JTLSOZI,X,X,X,X,X,X
JTLZISO,X,X,X,X,X,O
JTLZIOS,X,X,X,X,X,O
JTLZSIO,X,X,X,X,X,X
JTLZSOI,X,X,X,X,X,X
JTLZOIS,X,X,X,X,X,O
JTLZOSI,X,X,X,X,X,X
JTLOISZ,X,X,X,X,X,O
JTLOIZS,X,X,X,X,X,O
JTLOSIZ,X,X,X,X,X,O
JTLOSZI,X,X,X,X,X,X
JTLOZIS,X,X,X,X,X,O
JTLOZSI,X,X,X,X,X,X
JTSILZO,X,X,X,O,O,O
JTSILOZ,O,X,X,O,X,O
JTSIZLO,X,X,O,O,O,O
JTSIZOL,O,X,O,O,O,O
JTSIOLZ,O,X,X,O,X,O
JTSIOZL,O,X,X,O,X,O
JTSLIZO,X,X,X,O,O,O
JTSLIOZ,O,X,X,O,X,O
JTSLZIO,X,X,X,O,O,X
JTSLZOI,X,X,X,O,O,X
JTSLOIZ,O,X,X,O,X,O
JTSLOZI,X,X,X,O,X,X
JTSZILO,X,X,O,O,O,X
JTSZIOL,O,X,O,O,O,X
JTSZLIO,X,X,O,O,O,X
JTSZLOI,X,X,X,O,O,X
JTSZOIL,O,X,O,O,O,X
JTSZOLI,X,X,X,O,O,X
JTSOILZ,O,X,X,O,X,O
JTSOIZL,O,X,X,O,X,O
JTSOLIZ,O,X,X,O,X,O
JTSOLZI,X,X,X,O,X,X
JTSOZIL,O,X,X,O,X,X
JTSOZLI,X,X,X,O,X,X
JTZILSO,O,X,O,X,X,O
JTZILOS,X,X,X,X,X,O
JTZISLO,O,X,O,O,O,O
JTZISOL,O,X,O,O,O,O
JTZIOLS,X,X,O,X,X,O
JTZIOSL,O,X,O,O,O,O
JTZLISO,O,X,O,X,X,O
JTZLIOS,X,X,X,X,X,O
JTZLSIO,O,X,O,X,X,X
JTZLSOI,O,X,X,X,X,X
JTZLOIS,X,X,X,X,X,O
JTZLOSI,X,X,X,X,X,X
JTZSILO,O,X,O,O,O,X
JTZSIOL,O,X,O,O,O,X
JTZSLIO,O,X,O,O,O,X
JTZSLOI,O,X,X,O,O,X
JTZSOIL,O,X,O,O,O,X
JTZSOLI,O,X,X,O,O,X
JTZOILS,X,X,O,X,X,O
JTZOISL,O,X,O,O,O,O
JTZOLIS,X,X,O,X,X,O
JTZOLSI,X,X,O,X,X,X
JTZOSIL,O,X,O,O,O,X
JTZOSLI,O,X,O,O,O,X
JTOILSZ,X,X,X,X,X,O
JTOILZS,X,X,X,X,X,O
JTOISLZ,O,X,X,O,X,O
JTOISZL,O,X,O,O,X,O
JTOIZLS,X,X,O,X,X,O
JTOIZSL,X,X,O,O,X,O
JTOLISZ,X,X,X,X,X,O
JTOLIZS,X,X,X,X,X,O
JTOLSIZ,X,X,X,X,X,O
JTOLSZI,X,X,X,X,X,X
JTOLZIS,X,X,X,X,X,O
JTOLZSI,X,X,X,X,X,X
JTOSILZ,O,X,X,O,X,O
JTOSIZL,O,X,O,O,X,O
JTOSLIZ,O,X,X,O,X,O
JTOSLZI,X,X,X,O,X,X
JTOSZIL,O,X,O,O,X,X
JTOSZLI,X,X,O,O,X,X
JTOZILS,X,X,O,X,X,O
JTOZISL,X,X,O,O,X,O
JTOZLIS,X,X,O,X,X,O
JTOZLSI,X,X,O,X,X,X
JTOZSIL,X,X,O,O,X,X
JTOZSLI,X,X,O,O,X,X
JITLSZO,X,X,X,X,X,O
JITLSOZ,X,X,X,X,X,O
JITLZSO,X,X,X,X,X,O
JITLZOS,X,X,X,X,X,O
JITLOSZ,X,X,X,X,X,O
JITLOZS,X,X,X,X,X,O
JITSLZO,X,X,X,O,O,O
JITSLOZ,O,X,X,O,X,O
JITSZLO,X,X,O,O,O,O
JITSZOL,O,X,O,O,O,O
JITSOLZ,O,X,X,O,X,O
JITSOZL,O,X,X,O,X,O
JITZLSO,O,X,O,X,X,O
JITZLOS,X,X,X,X,X,O
JITZSLO,O,X,O,O,O,O
JITZSOL,O,X,O,O,O,O
JITZOLS,X,X,O,X,X,O
JITZOSL,O,X,O,O,O,O
JITOLSZ,X,X,X,X,X,O
JITOLZS,X,X,X,X,X,O
JITOSLZ,O,X,X,O,X,O
JITOSZL,O,X,O,O,X,O
JITOZLS,X,X,O,X,X,O
JITOZSL,X,X,O,O,X,O
JILTSZO,X,X,X,X,X,O
JILTSOZ,X,X,X,X,X,O
JILTZSO,X,X,X,X,X,O
JILTZOS,X,X,X,X,X,O
JILTOSZ,X,X,X,X,X,O
JILTOZS,X,X,X,X,X,O
JILSTZO,X,X,X,X,O,O
JILSTOZ,X,X,X,X,X,O
JILSZTO,X,O,O,X,O,X
JILSZOT,X,O,X,X,O,X
JILSOTZ,X,X,X,X,X,O
JILSOZT,X,O,X,X,O,X
JILZTSO,X,O,O,X,X,O
JILZTOS,X,O,X,X,X,O
JILZSTO,X,O,O,X,O,X
JILZSOT,X,O,X,X,O,X
JILZOTS,X,O,O,X,X,O
JILZOST,X,O,O,X,O,X
JILOTSZ,X,X,X,X,X,O
JILOTZS,X,X,X,X,X,O
JILOSTZ,X,X,X,X,X,O
JILOSZT,X,O,O,X,X,X
JILOZTS,X,O,O,X,X,O
JILOZST,X,O,O,X,X,X
JISTLZO,X,X,X,O,O,O
JISTLOZ,O,X,X,O,X,O
JISTZLO,O,X,O,O,O,O
JISTZOL,O,X,O,O,O,O
JISTOLZ,O,X,X,O,X,O
JISTOZL,O,X,X,O,X,O
JISLTZO,X,X,X,O,O,O
JISLTOZ,O,X,X,O,X,O
JISLZTO,O,O,O,O,O,X
JISLZOT,O,O,X,X,O,X
JISLOTZ,O,X,X,X,X,O
JISLOZT,O,O,X,X,O,X
JISZTLO,O,X,O,O,O,X
JISZTOL,O,X,O,O,O,X
JISZLTO,O,O,O,O,O,X
JISZLOT,O,O,X,X,O,X
JISZOTL,O,X,O,X,O,X
JISZOLT,O,O,O,X,O,X
JISOTLZ,O,X,X,X,X,O
JISOTZL,O,X,O,X,X,O
JISOLTZ,O,X,X,X,X,O
JISOLZT,O,O,O,X,O,X
JISOZTL,O,X,O,X,O,X
JISOZLT,O,O,O,X,O,X
JIZTLSO,O,O,O,X,X,O
JIZTLOS,X,O,X,X,X,O
JIZTSLO,O,X,O,O,O,O
JIZTSOL,O,X,O,O,O,O
JIZTOLS,X,O,O,X,X,O
JIZTOSL,O,X,O,O,O,O
JIZLTSO,O,O,O,X,X,O
JIZLTOS,X,O,X,X,X,O
JIZLSTO,O,O,O,X,O,X
JIZLSOT,O,O,X,X,O,X
JIZLOTS,X,O,O,X,X,O
JIZLOST,X,O,O,X,O,X
JIZSTLO,O,X,O,O,O,X
JIZSTOL,O,X,O,O,O,X
JIZSLTO,O,O,O,O,O,X
JIZSLOT,O,O,X,X,O,X
JIZSOTL,O,X,O,X,O,X
JIZSOLT,O,O,O,X,O,X
JIZOTLS,X,O,O,X,X,O
JIZOTSL,O,X,O,X,O,O
JIZOLTS,X,O,O,X,X,O
JIZOLST,X,O,O,X,O,X
JIZOSTL,O,X,O,X,O,X
JIZOSLT,O,O,O,X,O,X
JIOTLSZ,X,X,X,X,X,O
JIOTLZS,X,X,X,X,X,O
JIOTSLZ,O,X,X,X,X,O
JIOTSZL,O,X,O,X,X,O
JIOTZLS,X,X,O,X,X,O
JIOTZSL,X,X,O,X,X,O
JIOLTSZ,X,X,X,X,X,O
JIOLTZS,X,X,X,X,X,O
JIOLSTZ,X,X,X,X,X,O
JIOLSZT,X,O,O,X,X,X
JIOLZTS,X,O,O,X,X,O
JIOLZST,X,O,O,X,X,X
JIOSTLZ,O,X,X,X,X,O
JIOSTZL,O,X,O,X,X,O
JIOSLTZ,O,X,X,X,X,O
JIOSLZT,O,O,O,X,O,X
JIOSZTL,O,X,O,X,O,X
JIOSZLT,O,O,O,X,O,X
JIOZTLS,X,O,O,X,X,O
JIOZTSL,X,X,O,X,O,O
JIOZLTS,X,O,O,X,X,O
JIOZLST,X,O,O,X,O,X
JIOZSTL,X,X,O,X,O,X
JIOZSLT,X,O,O,X,O,X
JLTISZO,X,X,X,X,X,O
JLTISOZ,X,X,X,X,X,O
JLTIZSO,X,X,X,X,X,O
JLTIZOS,X,X,X,X,X,O
JLTIOSZ,X,X,X,X,X,O
JLTIOZS,X,X,X,X,X,O
JLTSIZO,X,X,X,X,X,O
JLTSIOZ,X,X,X,X,X,O
JLTSZIO,X,X,X,X,X,X
JLTSZOI,X,X,X,X,X,X
JLTSOIZ,X,X,X,X,X,O
JLTSOZI,X,X,X,X,X,X
JLTZISO,X,X,X,X,X,O
JLTZIOS,X,X,X,X,X,O
JLTZSIO,X,X,X,X,X,X
JLTZSOI,X,X,X,X,X,X
JLTZOIS,X,X,X,X,X,O
JLTZOSI,X,X,X,X,X,X
JLTOISZ,X,X,X,X,X,O
JLTOIZS,X,X,X,X,X,O
JLTOSIZ,X,X,X,X,X,O
JLTOSZI,X,X,X,X,X,X
JLTOZIS,X,X,X,X,X,O
JLTOZSI,X,X,X,X,X,X
JLITSZO,X,X,X,X,X,O
JLITSOZ,X,X,X,X,X,O
JLITZSO,X,X,X,X,X,O
JLITZOS,X,X,X,X,X,O
JLITOSZ,X,X,X,X,X,O
JLITOZS,X,X,X,X,X,O
JLISTZO,X,X,X,X,O,O
JLISTOZ,X,X,X,X,X,O
JLISZTO,X,O,O,X,O,X
JLISZOT,X,O,X,X,O,X
JLISOTZ,X,X,X,X,X,O
JLISOZT,X,O,X,X,O,X
JLIZTSO,X,O,O,X,X,O
JLIZTOS,X,O,X,X,X,O
JLIZSTO,X,O,O,X,O,X
JLIZSOT,X,O,X,X,O,X
JLIZOTS,X,O,O,X,X,O
JLIZOST,X,O,O,X,O,X
JLIOTSZ,X,X,X,X,X,O
JLIOTZS,X,X,X,X,X,O
JLIOSTZ,X,X,X,X,X,O
JLIOSZT,X,O,O,X,X,X
JLIOZTS,X,O,O,X,X,O
JLIOZST,X,O,O,X,X,X
JLSTIZO,X,X,X,X,O,O
JLSTIOZ,X,X,X,X,X,O
JLSTZIO,X,X,X,X,O,X
JLSTZOI,X,X,X,X,O,X
JLSTOIZ,X,X,X,X,X,O
JLSTOZI,X,X,X,X,X,X
JLSITZO,X,X,X,X,O,O
JLSITOZ,X,X,X,X,X,O
JLSIZTO,X,O,O,X,O,X
JLSIZOT,X,O,X,X,O,X
JLSIOTZ,X,X,X,X,X,O
JLSIOZT,X,O,X,X,O,X
JLSZTIO,X,O,O,X,O,X
JLSZTOI,X,O,X,X,O,X
JLSZITO,X,O,O,X,O,X
JLSZIOT,X,O,X,X,O,X
JLSZOTI,X,O,X,X,O,X
JLSZOIT,X,O,X,X,O,X
JLSOTIZ,X,X,X,X,X,O
JLSOTZI,X,X,X,X,X,X
JLSOITZ,X,X,X,X,X,O
JLSOIZT,X,O,X,X,O,X
JLSOZTI,X,O,X,X,O,X
JLSOZIT,X,O,X,X,O,X
JLZTISO,X,O,O,X,X,O
JLZTIOS,X,O,X,X,X,O
JLZTSIO,X,O,O,X,X,X
JLZTSOI,X,O,X,X,X,X
JLZTOIS,X,O,X,X,X,O
JLZTOSI,X,O,X,X,X,X
JLZITSO,X,O,O,X,X,O
JLZITOS,X,O,X,X,X,O
JLZISTO,X,O,O,X,O,X
JLZISOT,X,O,X,X,O,X
JLZIOTS,X,O,O,X,X,O
JLZIOST,X,O,O,X,O,X
JLZSTIO,X,O,O,X,O,X
JLZSTOI,X,O,X,X,O,X
JLZSITO,X,O,O,X,O,X
JLZSIOT,X,O,X,X,O,X
JLZSOTI,X,O,X,X,O,X
JLZSOIT,X,O,X,X,O,X
JLZOTIS,X,O,O,X,X,O
JLZOTSI,X,O,O,X,X,X
JLZOITS,X,O,O,X,X,O
JLZOIST,X,O,O,X,O,X
JLZOSTI,X,O,O,X,O,X
JLZOSIT,X,O,O,X,O,X
JLOTISZ,X,X,X,X,X,O
JLOTIZS,X,X,X,X,X,O
JLOTSIZ,X,X,X,X,X,O
JLOTSZI,X,X,X,X,X,X
JLOTZIS,X,X,X,X,X,O
JLOTZSI,X,X,X,X,X,X
JLOITSZ,X,X,X,X,X,O
JLOITZS,X,X,X,X,X,O
JLOISTZ,X,X,X,X,X,O
JLOISZT,X,O,O,X,X,X
JLOIZTS,X,O,O,X,X,O
JLOIZST,X,O,O,X,X,X
JLOSTIZ,X,X,X,X,X,O
JLOSTZI,X,X,X,X,X,X
JLOSITZ,X,X,X,X,X,O
JLOSIZT,X,O,O,X,X,X
JLOSZTI,X,O,O,X,X,X
JLOSZIT,X,O,O,X,X,X
JLOZTIS,X,O,O,X,X,O
JLOZTSI,X,O,O,X,X,X
JLOZITS,X,O,O,X,X,O
JLOZIST,X,O,O,X,X,X
JLOZSTI,X,O,O,X,X,X
JLOZSIT,X,O,O,X,X,X
JSTILZO,X,X,X,O,O,O
JSTILOZ,O,X,X,O,X,O
JSTIZLO,O,X,O,O,O,O
JSTIZOL,O,X,O,O,O,O
JSTIOLZ,O,X,X,O,X,O
JSTIOZL,O,X,X,O,X,O
JSTLIZO,X,X,X,O,O,O
JSTLIOZ,O,X,X,O,X,O
JSTLZIO,X,X,X,O,O,X
JSTLZOI,X,X,X,O,O,X
JSTLOIZ,O,X,X,O,X,O
JSTLOZI,X,X,X,O,X,X
JSTZILO,O,X,O,O,O,X
JSTZIOL,O,X,O,O,O,X
JSTZLIO,O,X,O,O,O,X
JSTZLOI,O,X,X,O,O,X
JSTZOIL,O,X,O,O,O,X
JSTZOLI,O,X,X,O,O,X
JSTOILZ,O,X,X,O,X,O
JSTOIZL,O,X,X,O,X,O
JSTOLIZ,O,X,X,O,X,O
JSTOLZI,X,X,X,O,X,X
JSTOZIL,O,X,X,O,X,X
JSTOZLI,O,X,X,O,X,X
JSITLZO,X,X,X,O,O,O
JSITLOZ,O,X,X,O,X,O
JSITZLO,O,X,O,O,O,O
JSITZOL,O,X,O,O,O,O
JSITOLZ,O,X,X,O,X,O
JSITOZL,O,X,X,O,X,O
JSILTZO,X,X,X,O,O,O
JSILTOZ,O,X,X,O,X,O
JSILZTO,O,O,O,O,O,X
JSILZOT,O,O,X,X,O,X
JSILOTZ,O,X,X,X,X,O
JSILOZT,O,O,X,X,O,X
JSIZTLO,O,X,O,O,O,X
JSIZTOL,O,X,O,O,O,X
JSIZLTO,O,O,O,O,O,X
JSIZLOT,O,O,X,X,O,X
JSIZOTL,O,X,O,X,O,X
JSIZOLT,O,O,O,X,O,X
JSIOTLZ,O,X,X,X,X,O
JSIOTZL,O,X,O,X,X,O
JSIOLTZ,O,X,X,X,X,O
JSIOLZT,O,O,O,X,O,X
JSIOZTL,O,X,O,X,O,X
JSIOZLT,O,O,O,X,O,X
JSLTIZO,X,X,X,O,O,O
JSLTIOZ,O,X,X,O,X,O
JSLTZIO,X,X,X,O,O,X
JSLTZOI,X,X,X,O,O,X
JSLTOIZ,O,X,X,O,X,O
JSLTOZI,X,X,X,O,X,X
JSLITZO,X,X,X,O,O,O
JSLITOZ,O,X,X,O,X,O
JSLIZTO,O,O,O,O,O,X
JSLIZOT,O,O,X,X,O,X
JSLIOTZ,O,X,X,X,X,O
JSLIOZT,O,O,X,X,O,X
JSLZTIO,O,O,O,O,O,X
JSLZTOI,O,O,X,O,O,X
JSLZITO,O,O,O,O,O,X
JSLZIOT,O,O,X,X,O,X
JSLZOTI,O,O,X,X,O,X
JSLZOIT,O,O,X,X,O,X
JSLOTIZ,O,X,X,X,X,O
JSLOTZI,X,X,X,X,X,X
JSLOITZ,O,X,X,X,X,O
JSLOIZT,O,O,X,X,O,X
JSLOZTI,O,O,X,X,O,X
JSLOZIT,O,O,X,X,O,X
JSZTILO,O,X,O,O,O,X
JSZTIOL,O,X,O,O,O,X
JSZTLIO,O,X,O,O,O,X
JSZTLOI,O,X,X,O,O,X
JSZTOIL,O,X,O,O,O,X
JSZTOLI,O,X,X,O,O,X
JSZITLO,O,X,O,O,O,X
JSZITOL,O,X,O,O,O,X
JSZILTO,O,O,O,O,O,X
JSZILOT,O,O,X,X,O,X
JSZIOTL,O,X,O,X,O,X
JSZIOLT,O,O,O,X,O,X
JSZLTIO,O,O,O,O,O,X
JSZLTOI,O,O,X,O,O,X
JSZLITO,O,O,O,O,O,X
JSZLIOT,O,O,X,X,O,X
JSZLOTI,O,O,X,X,O,X
JSZLOIT,O,O,X,X,O,X
JSZOTIL,O,X,O,X,O,X
JSZOTLI,O,X,O,X,O,X
JSZOITL,O,X,O,X,O,X
JSZOILT,O,O,O,X,O,X
JSZOLTI,O,O,O,X,O,X
JSZOLIT,O,O,O,X,O,X
JSOTILZ,O,X,X,X,X,O
JSOTIZL,O,X,O,X,X,O
JSOTLIZ,O,X,X,X,X,O
JSOTLZI,X,X,X,X,X,X
JSOTZIL,O,X,O,X,X,X
JSOTZLI,O,X,O,X,X,X
JSOITLZ,O,X,X,X,X,O
JSOITZL,O,X,O,X,X,O
JSOILTZ,O,X,X,X,X,O
JSOILZT,O,O,O,X,O,X
JSOIZTL,O,X,O,X,O,X
JSOIZLT,O,O,O,X,O,X
JSOLTIZ,O,X,X,X,X,O
JSOLTZI,X,X,X,X,X,X
JSOLITZ,O,X,X,X,X,O
JSOLIZT,O,O,O,X,O,X
JSOLZTI,O,O,O,X,O,X
JSOLZIT,O,O,O,X,O,X
JSOZTIL,O,X,O,X,O,X
JSOZTLI,O,X,O,X,O,X
JSOZITL,O,X,O,X,O,X
JSOZILT,O,O,O,X,O,X
JSOZLTI,O,O,O,X,O,X
JSOZLIT,O,O,O,X,O,X
JZTILSO,O,O,O,X,X,O
JZTILOS,X,O,X,X,X,O
JZTISLO,O,X,O,O,O,O
JZTISOL,O,X,O,O,O,O
JZTIOLS,X,O,O,X,X,O
JZTIOSL,O,X,O,O,O,O
JZTLISO,O,O,O,X,X,O
JZTLIOS,X,O,X,X,X,O
JZTLSIO,O,O,O,X,X,X
JZTLSOI,O,O,X,X,X,X
JZTLOIS,X,O,X,X,X,O
JZTLOSI,X,O,X,X,X,X
JZTSILO,O,X,O,O,O,X
JZTSIOL,O,X,O,O,O,X
JZTSLIO,O,X,O,O,O,X
JZTSLOI,O,X,X,O,O,X
JZTSOIL,O,X,O,O,O,X
JZTSOLI,O,X,X,O,O,X
JZTOILS,X,O,O,X,X,O
JZTOISL,O,X,O,O,O,O
JZTOLIS,X,O,O,X,X,O
JZTOLSI,X,O,O,X,X,X
JZTOSIL,O,X,O,O,O,X
JZTOSLI,O,X,O,O,O,X
JZITLSO,O,O,O,X,X,O
JZITLOS,X,O,X,X,X,O
JZITSLO,O,X,O,O,O,O
JZITSOL,O,X,O,O,O,O
JZITOLS,X,O,O,X,X,O
JZITOSL,O,X,O,O,O,O
JZILTSO,O,O,O,X,X,O
JZILTOS,X,O,X,X,X,O
JZILSTO,O,O,O,X,O,X
JZILSOT,O,O,X,X,O,X
JZILOTS,X,O,O,X,X,O
JZILOST,X,O,O,X,O,X
JZISTLO,O,X,O,O,O,X
JZISTOL,O,X,O,O,O,X
JZISLTO,O,O,O,O,O,X
JZISLOT,O,O,X,X,O,X
JZISOTL,O,X,O,X,O,X
JZISOLT,O,O,O,X,O,X
JZIOTLS,X,O,O,X,X,O
JZIOTSL,O,X,O,X,O,O
JZIOLTS,X,O,O,X,X,O
JZIOLST,X,O,O,X,O,X
JZIOSTL,O,X,O,X,O,X
JZIOSLT,O,O,O,X,O,X
JZLTISO,O,O,O,X,X,O
JZLTIOS,X,O,X,X,X,O
JZLTSIO,O,O,O,X,X,X
