sequence,v115@HhA8FeB8AeB8EeE8FeB8Jex/IvhFXhB8mBGjBaqBzq?BVxB,v115@HhA8FeB8AeB8EeE8FeB8Jex/IvhFlhBGjBUlBKsBTr?B3qB,v115@HhA8FeB8AeB8EeE8FeB8Je0/IvhFlgB3hBGjByrBTq?BxwB,v115@HhA8FeB8AeB8EeE8FeB8Jel/IvhFRhBGjBKqBzlB3r?BUsB,v115@HhA8FeB8AeB8EeE8FeB8Jex/IvhFymBGjBFlB3qBUs?BTrB,v115@HhA8FeB8AeB8EeE8FeB8Jex/IvhFzhBGjBFlB3qBUs?BKrB,v115@HhA8FeB8AeB8EeE8FeB8Jel/IvhF3hBGjBTlBKsBUm?BxvB,v115@HhA8FeB8AeB8EeE8FeB8Je0/IvhFxgBGjBFmBTqB3r?BKsB,v115@HhA8FeB8AeB8EeE8FeB8Jel/IvhFzgBGjBKqBRrBUs?B3rB
TZIOJSL,O,X,X,X,X,X,X,X,X
TZIOSLJ,O,X,X,X,X,X,X,X,X
TZIOSJL,O,X,X,X,X,X,X,X,X
TZLIJSO,O,X,O,X,O,X,X,X,O
TZLIJOS,O,O,O,X,X,X,O,X,O
TZLISJO,O,X,O,X,X,X,X,X,O
TZLISOJ,O,X,O,X,X,X,X,X,O
TZLIOJS,O,O,O,X,X,X,O,X,O
TZLIOSJ,O,O,O,X,X,X,O,X,O
TZLJISO,O,X,O,X,O,X,X,X,O
TZLJIOS,O,O,O,X,X,X,O,X,O
TZLJSIO,O,X,X,X,O,X,X,X,X
TZLJSOI,O,X,X,O,O,X,X,X,X
TZLJOIS,O,O,X,O,X,X,X,X,X
TZLJOSI,O,O,X,O,O,X,X,X,X
TZLSIJO,O,X,X,X,O,X,X,X,X
TZLSIOJ,O,X,X,X,O,X,X,X,X
TZLSJIO,O,X,X,X,O,X,X,X,X
TZLSJOI,O,X,X,O,O,X,X,X,X
TZLSOIJ,O,X,X,O,O,X,X,X,X
TZLSOJI,O,X,X,O,O,X,X,X,X
TZLOIJS,O,O,X,O,X,X,X,X,X
TZLOISJ,O,O,X,X,X,X,X,X,X
TZLOJIS,O,O,X,O,X,X,X,X,X
TZLOJSI,O,O,X,O,O,X,X,X,X
TZLOSIJ,O,O,X,O,X,X,X,X,X
TZLOSJI,O,O,X,O,X,X,X,X,X
TZJILSO,O,X,O,X,O,X,X,X,X
TZJILOS,O,O,O,X,X,X,O,X,X
TZJISLO,O,X,O,X,O,O,X,X,X
TZJISOL,O,X,X,X,O,O,X,X,X
TZJIOLS,O,O,O,X,X,X,O,X,X
TZJIOSL,O,X,X,X,X,X,X,X,X
TZJLISO,O,X,O,X,O,X,X,X,O
TZJLIOS,O,O,O,X,X,X,O,X,O
TZJLSIO,O,X,X,X,O,X,X,X,X
TZJLSOI,O,X,X,O,O,X,X,X,X
TZJLOIS,O,O,X,O,X,X,X,X,X
TZJLOSI,O,O,X,O,O,X,X,X,X
TZJSILO,O,X,O,X,O,O,X,X,X
TZJSIOL,O,X,X,X,O,O,X,X,X
TZJSLIO,O,X,X,X,O,O,X,X,X
TZJSLOI,O,X,X,O,O,O,X,X,X
TZJSOIL,O,X,X,X,O,O,X,X,X
TZJSOLI,O,X,X,X,O,O,X,X,X
TZJOILS,O,O,O,X,X,X,X,X,X
TZJOISL,O,X,O,X,X,X,X,X,X
TZJOLIS,O,O,X,X,X,X,X,X,X
TZJOLSI,O,O,X,X,O,X,X,X,X
TZJOSIL,O,X,X,X,X,O,X,O,X
TZJOSLI,O,X,X,X,X,O,X,O,X
TZSILJO,O,X,O,X,O,O,X,X,X
TZSILOJ,O,X,O,X,O,O,X,X,X
TZSIJLO,O,X,O,X,O,O,X,X,X
TZSIJOL,O,X,X,X,O,O,X,X,X
TZSIOLJ,X,X,X,X,O,O,X,X,X
TZSIOJL,O,X,X,X,O,O,X,X,X
TZSLIJO,O,X,X,X,O,O,X,X,X
TZSLIOJ,O,X,X,X,O,O,X,X,X
TZSLJIO,O,X,X,X,O,O,X,X,X
TZSLJOI,O,X,X,O,O,O,X,X,X
TZSLOIJ,O,X,X,O,O,O,X,X,X
TZSLOJI,O,X,X,O,O,O,X,X,X
TZSJILO,O,X,O,X,O,O,X,X,X
TZSJIOL,O,X,X,X,O,O,X,X,X
TZSJLIO,O,X,X,X,O,O,X,X,X
TZSJLOI,O,X,X,O,O,O,X,X,X
TZSJOIL,O,X,X,X,O,O,X,X,X
TZSJOLI,O,X,X,X,O,O,X,X,X
TZSOILJ,O,X,X,X,O,O,X,X,X
TZSOIJL,O,X,X,X,O,O,X,X,X
TZSOLIJ,O,X,X,X,O,O,X,X,X
TZSOLJI,O,X,X,X,O,O,X,X,X
TZSOJIL,O,X,X,X,O,O,X,X,X
TZSOJLI,O,X,X,X,O,O,X,X,X
TZOILJS,O,O,O,X,X,X,X,X,X
TZOILSJ,O,O,O,X,X,X,X,X,X
TZOIJLS,O,O,O,X,X,X,X,X,X
TZOIJSL,O,X,O,X,X,X,X,X,X
TZOISLJ,O,X,O,X,X,X,X,X,X
TZOISJL,O,X,O,X,X,X,X,X,X
TZOLIJS,O,O,X,X,X,X,X,X,X
TZOLISJ,O,O,X,X,X,X,X,X,X
TZOLJIS,O,O,X,X,X,X,X,X,X
TZOLJSI,O,O,X,X,O,X,X,X,X
TZOLSIJ,O,O,X,X,X,X,X,X,X
TZOLSJI,O,O,X,X,X,X,X,X,X
TZOJILS,O,O,O,X,X,X,X,X,X
TZOJISL,O,X,O,X,X,X,X,X,X
TZOJLIS,O,O,X,X,X,X,X,X,X
TZOJLSI,O,O,X,X,O,X,X,X,X
TZOJSIL,O,X,X,X,X,O,X,O,X
TZOJSLI,O,X,X,X,X,O,X,O,X
TZOSILJ,O,X,X,X,X,O,X,O,X
TZOSIJL,O,X,X,X,X,O,X,O,X
TZOSLIJ,O,X,X,X,X,O,X,O,X
TZOSLJI,O,X,X,X,X,O,X,O,X
TZOSJIL,O,X,X,X,X,O,X,O,X
TZOSJLI,O,X,X,X,X,O,X,O,X
TOILJSZ,O,O,X,X,X,X,O,X,X
TOILJZS,O,O,X,X,X,X,O,X,X
TOILSJZ,O,O,X,X,X,X,O,X,X
TOILSZJ,O,X,X,X,X,X,O,X,X
TOILZJS,O,O,X,X,X,X,O,X,X
TOILZSJ,O,X,X,X,X,X,O,X,X
TOIJLSZ,O,O,X,X,X,X,O,X,X
TOIJLZS,O,O,X,X,X,X,O,X,X
TOIJSLZ,X,X,X,X,X,X,O,X,X
TOIJSZL,O,X,X,X,O,O,X,X,X
TOIJZLS,O,X,X,X,X,X,O,X,X
TOIJZSL,O,X,X,X,X,X,X,X,X
TOISLJZ,X,X,X,X,X,X,O,X,X
TOISLZJ,X,X,X,X,X,X,O,X,X
TOISJLZ,X,X,X,X,X,X,O,X,X
TOISJZL,O,X,X,X,O,O,X,X,X
TOISZLJ,O,X,X,X,O,O,X,X,X
TOISZJL,O,X,X,X,O,O,X,X,X
TOIZLJS,O,X,X,X,X,X,O,X,X
TOIZLSJ,O,X,X,X,X,X,O,X,X
TOIZJLS,O,X,X,X,X,X,O,X,X
TOIZJSL,O,X,X,X,X,X,X,X,X
TOIZSLJ,O,X,X,X,X,X,X,X,X
TOIZSJL,O,X,X,X,X,X,X,X,X
TOLIJSZ,O,O,X,O,X,X,O,X,O
TOLIJZS,O,O,X,O,X,X,O,X,O
TOLISJZ,O,O,X,O,X,X,O,X,O
TOLISZJ,O,X,X,O,X,X,O,X,O
TOLIZJS,O,O,X,O,X,X,O,X,O
TOLIZSJ,O,O,X,X,X,X,O,X,O
TOLJISZ,O,O,X,O,X,X,O,X,O
TOLJIZS,O,O,X,O,X,X,O,X,O
TOLJSIZ,O,O,X,O,X,X,X,X,X
TOLJSZI,O,O,X,O,X,X,X,X,X
TOLJZIS,O,O,X,O,X,X,X,X,X
TOLJZSI,O,O,X,O,X,X,X,X,X
TOLSIJZ,O,O,X,O,X,X,X,X,X
TOLSIZJ,O,X,X,O,X,X,X,X,X
TOLSJIZ,O,O,X,O,X,X,X,X,X
TOLSJZI,O,O,X,O,X,X,X,X,X
TOLSZIJ,O,O,X,O,X,X,X,X,X
TOLSZJI,O,O,X,O,X,X,X,X,X
TOLZIJS,O,O,X,O,X,X,X,X,X
TOLZISJ,O,O,X,X,X,X,X,X,X
TOLZJIS,O,O,X,O,X,X,X,X,X
TOLZJSI,O,O,X,O,X,X,X,X,X
TOLZSIJ,O,O,X,O,X,X,X,X,X
TOLZSJI,O,O,X,O,X,X,X,X,X
TOJILSZ,O,O,X,X,X,X,O,X,X
TOJILZS,O,O,X,X,X,X,O,X,X
TOJISLZ,X,X,X,X,X,X,O,X,X
TOJISZL,O,X,X,X,O,O,X,X,X
TOJIZLS,O,X,X,X,X,X,O,X,X
TOJIZSL,O,X,X,X,X,X,X,X,X
TOJLISZ,O,O,X,O,X,X,O,X,O
TOJLIZS,O,O,X,O,X,X,O,X,O
TOJLSIZ,O,O,X,O,X,X,X,X,X
TOJLSZI,O,O,X,O,X,X,X,X,X
TOJLZIS,O,O,X,O,X,X,X,X,X
TOJLZSI,O,O,X,O,X,X,X,X,X
TOJSILZ,X,X,X,X,X,X,X,O,X
TOJSIZL,O,X,X,X,O,O,X,O,X
TOJSLIZ,O,X,X,O,X,X,X,O,X
TOJSLZI,O,X,X,O,X,X,X,O,X
TOJSZIL,O,X,X,X,O,O,X,O,X
TOJSZLI,O,X,X,X,O,O,X,O,X
TOJZILS,O,O,O,X,X,X,X,X,X
TOJZISL,O,X,O,X,X,X,X,X,X
TOJZLIS,O,O,X,X,X,X,X,X,X
TOJZLSI,O,O,X,X,O,X,X,X,X
TOJZSIL,O,X,X,X,X,X,X,O,X
TOJZSLI,O,X,X,X,X,X,X,O,X
TOSILJZ,X,X,X,X,X,X,X,O,X
TOSILZJ,X,X,X,X,X,X,X,O,X
TOSIJLZ,X,X,X,X,X,X,X,O,X
TOSIJZL,O,X,X,X,O,O,X,O,X
TOSIZLJ,O,X,X,X,O,O,X,O,X
TOSIZJL,O,X,X,X,O,O,X,O,X
TOSLIJZ,O,X,X,O,X,X,X,O,X
TOSLIZJ,O,X,X,O,X,X,X,O,X
TOSLJIZ,O,X,X,O,X,X,X,O,X
TOSLJZI,O,X,X,O,X,X,X,O,X
TOSLZIJ,O,X,X,O,X,X,X,O,X
TOSLZJI,O,X,X,O,X,X,X,O,X
TOSJILZ,X,X,X,X,X,X,X,O,X
TOSJIZL,O,X,X,X,O,O,X,O,X
TOSJLIZ,O,X,X,O,X,X,X,O,X
TOSJLZI,O,X,X,O,X,X,X,O,X
TOSJZIL,O,X,X,X,O,O,X,O,X
TOSJZLI,O,X,X,X,O,O,X,O,X
TOSZILJ,O,X,X,X,O,O,X,O,X
TOSZIJL,O,X,X,X,O,O,X,O,X
TOSZLIJ,O,X,X,X,O,O,X,O,X
TOSZLJI,O,X,X,X,O,O,X,O,X
TOSZJIL,O,X,X,X,O,O,X,O,X
TOSZJLI,O,X,X,X,O,O,X,O,X
TOZILJS,O,O,O,X,X,X,X,X,X
TOZILSJ,O,O,O,X,X,X,X,X,X
TOZIJLS,O,O,O,X,X,X,X,X,X
TOZIJSL,O,X,O,X,X,X,X,X,X
TOZISLJ,O,X,O,X,X,X,X,X,X
TOZISJL,O,X,O,X,X,X,X,X,X
TOZLIJS,O,O,X,X,X,X,X,X,X
TOZLISJ,O,O,X,X,X,X,X,X,X
TOZLJIS,O,O,X,X,X,X,X,X,X
TOZLJSI,O,O,X,X,O,X,X,X,X
TOZLSIJ,O,O,X,X,X,X,X,X,X
TOZLSJI,O,O,X,X,X,X,X,X,X
TOZJILS,O,O,O,X,X,X,X,X,X
TOZJISL,O,X,O,X,X,X,X,X,X
TOZJLIS,O,O,X,X,X,X,X,X,X
TOZJLSI,O,O,X,X,O,X,X,X,X
TOZJSIL,O,X,X,X,X,X,X,O,X
TOZJSLI,O,X,X,X,X,X,X,O,X
TOZSILJ,O,X,X,X,X,X,X,O,X
TOZSIJL,O,X,X,X,X,X,X,O,X
TOZSLIJ,O,X,X,X,X,X,X,O,X
TOZSLJI,O,X,X,X,X,X,X,O,X
TOZSJIL,O,X,X,X,X,X,X,O,X
TOZSJLI,O,X,X,X,X,X,X,O,X
ITLJSZO,O,X,O,X,O,O,X,X,O
ITLJSOZ,O,O,O,O,X,X,O,X,O
ITLJZSO,O,X,O,X,X,X,X,X,O
ITLJZOS,O,O,O,X,X,X,O,X,O
ITLJOSZ,O,O,O,O,X,X,O,X,O
ITLJOZS,O,O,O,O,X,X,O,X,O
ITLSJZO,O,X,O,X,O,O,X,X,O
ITLSJOZ,O,O,O,O,X,X,O,X,O
ITLSZJO,O,X,O,X,O,O,X,X,O
ITLSZOJ,O,X,O,X,O,O,X,X,O
ITLSOJZ,O,X,O,O,X,X,O,X,O
ITLSOZJ,O,X,O,O,X,X,O,X,O
ITLZJSO,O,X,O,X,X,X,X,X,O
ITLZJOS,O,O,O,X,X,X,O,X,O
ITLZSJO,O,X,O,X,X,X,X,X,O
ITLZSOJ,O,X,O,X,X,X,X,X,O
ITLZOJS,O,O,O,X,X,X,O,X,O
ITLZOSJ,O,O,O,X,X,X,O,X,O
ITLOJSZ,O,O,O,O,X,X,O,X,O
ITLOJZS,O,O,O,O,X,X,O,X,O
ITLOSJZ,O,O,O,O,X,X,O,X,O
ITLOSZJ,O,X,O,O,X,X,O,X,O
ITLOZJS,O,O,O,O,X,X,O,X,O
ITLOZSJ,O,X,O,X,X,X,O,X,O
ITJLSZO,O,X,O,X,O,O,X,X,O
ITJLSOZ,O,O,O,O,X,X,O,X,O
ITJLZSO,O,X,O,X,X,X,X,X,O
ITJLZOS,O,O,O,X,X,X,O,X,O
ITJLOSZ,O,O,O,O,X,X,O,X,O
ITJLOZS,O,O,O,O,X,X,O,X,O
ITJSLZO,O,X,X,X,O,O,X,X,X
ITJSLOZ,O,X,X,O,X,X,O,X,X
ITJSZLO,O,X,X,X,O,O,X,X,X
ITJSZOL,O,X,X,X,O,O,X,X,X
ITJSOLZ,X,X,X,X,X,X,O,X,X
ITJSOZL,O,X,X,X,O,O,X,X,X
ITJZLSO,O,X,O,X,O,X,X,X,X
ITJZLOS,O,O,O,X,X,X,O,X,X
ITJZSLO,O,X,O,X,O,O,X,X,X
ITJZSOL,O,X,X,X,O,O,X,X,X
ITJZOLS,O,O,O,X,X,X,O,X,X
ITJZOSL,O,X,X,X,X,X,X,X,X
ITJOLSZ,O,O,O,X,X,X,O,X,X
ITJOLZS,O,O,O,X,X,X,O,X,X
ITJOSLZ,X,X,O,X,X,X,O,X,X
ITJOSZL,O,X,O,X,O,O,X,X,X
ITJOZLS,O,X,O,X,X,X,O,X,X
ITJOZSL,O,X,O,X,X,X,X,X,X
ITSLJZO,O,X,X,X,O,O,X,X,X
ITSLJOZ,O,X,X,O,X,X,O,X,X
ITSLZJO,O,X,X,X,O,O,X,X,X
ITSLZOJ,O,X,X,X,O,O,X,X,X
ITSLOJZ,O,X,X,O,X,X,O,X,X
ITSLOZJ,O,X,X,O,X,X,O,X,X
ITSJLZO,O,X,X,X,O,O,X,X,X
ITSJLOZ,O,X,X,O,X,X,O,X,X
ITSJZLO,O,X,X,X,O,O,X,X,X
ITSJZOL,O,X,X,X,O,O,X,X,X
ITSJOLZ,X,X,X,X,X,X,O,X,X
ITSJOZL,O,X,X,X,O,O,X,X,X
ITSZLJO,O,X,X,X,O,O,X,X,X
ITSZLOJ,O,X,X,X,O,O,X,X,X
ITSZJLO,O,X,X,X,O,O,X,X,X
ITSZJOL,O,X,X,X,O,O,X,X,X
ITSZOLJ,X,X,X,X,O,O,X,X,X
ITSZOJL,O,X,X,X,O,O,X,X,X
ITSOLJZ,X,X,X,X,X,X,O,X,X
ITSOLZJ,X,X,X,X,X,X,O,X,X
ITSOJLZ,X,X,X,X,X,X,O,X,X
ITSOJZL,O,X,X,X,O,O,X,X,X
ITSOZLJ,O,X,X,X,O,O,X,X,X
ITSOZJL,O,X,X,X,O,O,X,X,X
ITZLJSO,O,X,O,X,O,X,X,X,X
ITZLJOS,O,O,O,X,X,X,O,X,X
ITZLSJO,O,X,O,X,X,X,X,X,X
ITZLSOJ,O,X,O,X,X,X,X,X,X
ITZLOJS,O,O,O,X,X,X,O,X,X
ITZLOSJ,O,O,O,X,X,X,O,X,X
ITZJLSO,O,X,O,X,O,X,X,X,X
ITZJLOS,O,O,O,X,X,X,O,X,X
ITZJSLO,O,X,O,X,O,O,X,X,X
ITZJSOL,O,X,X,X,O,O,X,X,X
ITZJOLS,O,O,O,X,X,X,O,X,X
ITZJOSL,O,X,X,X,X,X,X,X,X
ITZSLJO,O,X,O,X,O,O,X,X,X
ITZSLOJ,O,X,O,X,O,O,X,X,X
ITZSJLO,O,X,O,X,O,O,X,X,X
ITZSJOL,O,X,X,X,O,O,X,X,X
ITZSOLJ,X,X,X,X,O,O,X,X,X
ITZSOJL,O,X,X,X,O,O,X,X,X
ITZOLJS,O,O,O,X,X,X,O,X,X
ITZOLSJ,O,O,O,X,X,X,O,X,X
ITZOJLS,O,O,O,X,X,X,O,X,X
ITZOJSL,O,X,X,X,X,X,X,X,X
ITZOSLJ,O,X,X,X,X,X,X,X,X
ITZOSJL,O,X,X,X,X,X,X,X,X
ITOLJSZ,O,O,O,X,X,X,O,X,X
ITOLJZS,O,O,O,X,X,X,O,X,X
ITOLSJZ,O,O,O,X,X,X,O,X,X
ITOLSZJ,O,X,O,X,X,X,O,X,X
ITOLZJS,O,O,O,X,X,X,O,X,X
ITOLZSJ,O,X,O,X,X,X,O,X,X
ITOJLSZ,O,O,O,X,X,X,O,X,X
ITOJLZS,O,O,O,X,X,X,O,X,X
ITOJSLZ,X,X,O,X,X,X,O,X,X
ITOJSZL,O,X,O,X,O,O,X,X,X
ITOJZLS,O,X,O,X,X,X,O,X,X
ITOJZSL,O,X,O,X,X,X,X,X,X
ITOSLJZ,X,X,O,X,X,X,O,X,X
ITOSLZJ,X,X,O,X,X,X,O,X,X
ITOSJLZ,X,X,O,X,X,X,O,X,X
ITOSJZL,O,X,O,X,O,O,X,X,X
ITOSZLJ,O,X,O,X,O,O,X,X,X
ITOSZJL,O,X,O,X,O,O,X,X,X
ITOZLJS,O,X,O,X,X,X,O,X,X
ITOZLSJ,O,X,O,X,X,X,O,X,X
ITOZJLS,O,X,O,X,X,X,O,X,X
ITOZJSL,O,X,O,X,X,X,X,X,X
ITOZSLJ,O,X,O,X,X,X,X,X,X
ITOZSJL,O,X,O,X,X,X,X,X,X
ILTJSZO,O,X,O,X,O,O,X,X,O
ILTJSOZ,O,O,O,O,X,X,O,X,O
ILTJZSO,O,X,O,X,X,X,X,X,O
ILTJZOS,O,O,O,X,X,X,O,X,O
ILTJOSZ,O,O,O,O,X,X,O,X,O
ILTJOZS,O,O,O,O,X,X,O,X,O
ILTSJZO,O,X,O,X,O,O,X,X,O
ILTSJOZ,O,O,O,O,X,X,O,X,O
ILTSZJO,O,X,O,X,O,O,X,X,O
ILTSZOJ,O,X,O,X,O,O,X,X,O
ILTSOJZ,O,X,O,O,X,X,O,X,O
ILTSOZJ,O,X,O,O,X,X,O,X,O
ILTZJSO,O,X,O,X,X,X,X,X,O
ILTZJOS,O,O,O,X,X,X,O,X,O
ILTZSJO,O,X,O,X,X,X,X,X,O
ILTZSOJ,O,X,O,X,X,X,X,X,O
ILTZOJS,O,O,O,X,X,X,O,X,O
ILTZOSJ,O,O,O,X,X,X,O,X,O
ILTOJSZ,O,O,O,O,X,X,O,X,O
ILTOJZS,O,O,O,O,X,X,O,X,O
ILTOSJZ,O,O,O,O,X,X,O,X,O
ILTOSZJ,O,X,O,O,X,X,O,X,O
ILTOZJS,O,O,O,O,X,X,O,X,O
ILTOZSJ,O,O,O,X,X,X,O,X,O
ILJTSZO,O,X,O,X,O,O,X,X,O
ILJTSOZ,O,O,O,O,X,X,O,X,O
ILJTZSO,O,X,O,X,X,X,X,X,O
ILJTZOS,O,O,O,X,X,X,O,X,O
ILJTOSZ,O,O,O,O,X,X,O,X,O
ILJTOZS,O,O,O,O,X,X,O,X,O
ILJSTZO,O,X,O,X,X,X,X,X,O
ILJSTOZ,O,O,O,O,X,X,O,X,O
ILJSZTO,X,X,O,X,X,X,X,X,O
ILJSZOT,X,O,O,X,X,X,O,X,O
ILJSOTZ,O,O,O,O,X,X,O,X,O
ILJSOZT,X,X,O,O,X,X,O,X,O
ILJZTSO,O,X,O,X,X,X,X,X,O
ILJZTOS,O,O,O,X,X,X,O,X,O
ILJZSTO,X,X,O,X,X,X,X,X,O
ILJZSOT,X,O,O,X,X,X,O,X,O
ILJZOTS,O,O,O,X,X,X,O,X,O
ILJZOST,X,O,O,X,X,X,O,X,O
ILJOTSZ,O,O,O,O,X,X,O,X,O
ILJOTZS,O,O,O,O,X,X,O,X,O
ILJOSTZ,O,O,O,O,X,X,O,X,O
ILJOSZT,X,X,O,O,X,X,O,X,O
ILJOZTS,O,O,O,O,X,X,O,X,O
ILJOZST,X,O,O,X,X,X,O,X,O
ILSTJZO,O,X,O,X,X,X,X,X,O
ILSTJOZ,O,O,O,O,X,X,O,X,O
ILSTZJO,O,X,O,X,X,X,X,X,O
ILSTZOJ,O,X,O,X,X,X,X,X,O
ILSTOJZ,O,X,O,O,X,X,O,X,O
ILSTOZJ,O,X,O,O,X,X,O,X,O
ILSJTZO,O,X,O,X,X,X,X,X,O
ILSJTOZ,O,O,O,O,X,X,O,X,O
ILSJZTO,X,X,O,X,X,X,X,X,O
ILSJZOT,X,O,O,X,X,X,O,X,O
ILSJOTZ,O,O,O,O,X,X,O,X,O
ILSJOZT,X,X,O,O,X,X,O,X,O
ILSZTJO,X,X,O,X,X,X,X,X,O
ILSZTOJ,X,X,O,X,X,X,X,X,O
ILSZJTO,X,X,O,X,X,X,X,X,O
ILSZJOT,X,O,O,X,X,X,O,X,O
ILSZOTJ,X,O,O,X,X,X,O,X,O
ILSZOJT,X,O,O,X,X,X,O,X,O
ILSOTJZ,O,O,O,O,X,X,O,X,O
ILSOTZJ,O,X,O,O,X,X,O,X,O
ILSOJTZ,O,O,O,O,X,X,O,X,O
ILSOJZT,X,X,O,O,X,X,O,X,O
ILSOZTJ,X,X,O,O,X,X,O,X,O
ILSOZJT,X,X,O,O,X,X,O,X,O
ILZTJSO,O,X,O,X,X,X,X,X,O
ILZTJOS,O,O,O,X,X,X,O,X,O
ILZTSJO,O,X,O,X,X,X,X,X,O
ILZTSOJ,O,X,O,X,X,X,X,X,O
ILZTOJS,O,O,O,X,X,X,O,X,O
ILZTOSJ,O,O,O,X,X,X,O,X,O
ILZJTSO,O,X,O,X,X,X,X,X,O
ILZJTOS,O,O,O,X,X,X,O,X,O
ILZJSTO,X,X,O,X,X,X,X,X,O
ILZJSOT,X,O,O,X,X,X,O,X,O
ILZJOTS,O,O,O,X,X,X,O,X,O
ILZJOST,X,O,O,X,X,X,O,X,O
ILZSTJO,X,X,O,X,X,X,X,X,O
ILZSTOJ,X,X,O,X,X,X,X,X,O
ILZSJTO,X,X,O,X,X,X,X,X,O
ILZSJOT,X,O,O,X,X,X,O,X,O
ILZSOTJ,X,O,O,X,X,X,O,X,O
ILZSOJT,X,O,O,X,X,X,O,X,O
ILZOTJS,O,O,O,X,X,X,O,X,O
ILZOTSJ,O,O,O,X,X,X,O,X,O
ILZOJTS,O,O,O,X,X,X,O,X,O
ILZOJST,X,O,O,X,X,X,O,X,O
ILZOSTJ,X,O,O,X,X,X,O,X,O
ILZOSJT,X,O,O,X,X,X,O,X,O
ILOTJSZ,O,O,O,O,X,X,O,X,O
ILOTJZS,O,O,O,O,X,X,O,X,O
ILOTSJZ,O,O,O,O,X,X,O,X,O
ILOTSZJ,O,X,O,O,X,X,O,X,O
ILOTZJS,O,O,O,O,X,X,O,X,O
ILOTZSJ,O,O,O,X,X,X,O,X,O
ILOJTSZ,O,O,O,O,X,X,O,X,O
ILOJTZS,O,O,O,O,X,X,O,X,O
ILOJSTZ,O,O,O,O,X,X,O,X,O
ILOJSZT,X,X,O,O,X,X,O,X,O
ILOJZTS,O,O,O,O,X,X,O,X,O
ILOJZST,X,O,O,X,X,X,O,X,O
ILOSTJZ,O,O,O,O,X,X,O,X,O
ILOSTZJ,O,X,O,O,X,X,O,X,O
ILOSJTZ,O,O,O,O,X,X,O,X,O
ILOSJZT,X,X,O,O,X,X,O,X,O
ILOSZTJ,X,X,O,O,X,X,O,X,O
ILOSZJT,X,X,O,O,X,X,O,X,O
ILOZTJS,O,O,O,O,X,X,O,X,O
ILOZTSJ,O,O,O,X,X,X,O,X,O
ILOZJTS,O,O,O,O,X,X,O,X,O
ILOZJST,X,O,O,X,X,X,O,X,O
ILOZSTJ,X,O,O,X,X,X,O,X,O
ILOZSJT,X,O,O,X,X,X,O,X,O
IJTLSZO,O,X,O,X,O,O,X,X,O
IJTLSOZ,O,O,O,O,X,X,O,X,O
IJTLZSO,O,X,O,X,X,X,X,X,O
IJTLZOS,O,O,O,X,X,X,O,X,O
IJTLOSZ,O,O,O,O,X,X,O,X,O
IJTLOZS,O,O,O,O,X,X,O,X,O
IJTSLZO,O,X,X,X,O,O,X,X,X
IJTSLOZ,O,X,X,O,X,X,O,X,X
IJTSZLO,O,X,X,X,O,O,X,X,X
IJTSZOL,O,X,X,X,O,O,X,X,X
IJTSOLZ,X,X,X,X,X,X,O,X,X
IJTSOZL,O,X,X,X,O,O,X,X,X
IJTZLSO,O,X,O,X,O,X,X,X,X
IJTZLOS,O,O,O,X,X,X,O,X,X
IJTZSLO,O,X,O,X,O,O,X,X,X
IJTZSOL,O,X,X,X,O,O,X,X,X
IJTZOLS,O,O,O,X,X,X,O,X,X
IJTZOSL,O,X,X,X,X,X,X,X,X
IJTOLSZ,O,O,O,X,X,X,O,X,X
IJTOLZS,O,O,O,X,X,X,O,X,X
IJTOSLZ,X,X,O,X,X,X,O,X,X
IJTOSZL,O,X,O,X,O,O,X,X,X
IJTOZLS,O,X,O,X,X,X,O,X,X
IJTOZSL,O,X,O,X,X,X,X,X,X
IJLTSZO,O,X,O,X,O,O,X,X,O
IJLTSOZ,O,O,O,O,X,X,O,X,O
IJLTZSO,O,X,O,X,X,X,X,X,O
IJLTZOS,O,O,O,X,X,X,O,X,O
IJLTOSZ,O,O,O,O,X,X,O,X,O
IJLTOZS,O,O,O,O,X,X,O,X,O
IJLSTZO,O,X,O,X,X,X,X,X,O
IJLSTOZ,O,O,O,O,X,X,O,X,O
IJLSZTO,X,X,O,X,X,X,X,X,O
IJLSZOT,X,O,O,X,X,X,O,X,O
IJLSOTZ,O,O,O,O,X,X,O,X,O
IJLSOZT,X,X,O,O,X,X,O,X,O
IJLZTSO,O,X,O,X,X,X,X,X,O
IJLZTOS,O,O,O,X,X,X,O,X,O
IJLZSTO,X,X,O,X,X,X,X,X,O
IJLZSOT,X,O,O,X,X,X,O,X,O
IJLZOTS,O,O,O,X,X,X,O,X,O
IJLZOST,X,O,O,X,X,X,O,X,O
IJLOTSZ,O,O,O,O,X,X,O,X,O
IJLOTZS,O,O,O,O,X,X,O,X,O
IJLOSTZ,O,O,O,O,X,X,O,X,O
IJLOSZT,X,X,O,O,X,X,O,X,O
IJLOZTS,O,O,O,O,X,X,O,X,O
IJLOZST,X,O,O,X,X,X,O,X,O
IJSTLZO,O,X,X,X,O,O,X,X,X
IJSTLOZ,O,X,X,O,X,X,O,X,X
IJSTZLO,O,X,X,X,O,O,X,X,X
IJSTZOL,O,X,X,X,O,O,X,X,X
IJSTOLZ,X,X,X,X,X,X,O,X,X
IJSTOZL,O,X,X,X,O,O,X,X,X
IJSLTZO,O,X,O,X,X,X,X,X,X
IJSLTOZ,O,O,O,O,X,X,O,X,X
IJSLZTO,X,X,O,X,X,X,X,X,X
