sequence,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhFTgBGjBlmB3?nBimB0qB,v115@9gA8IeA8IeA8GeC8AeA8BeE8JezAJvhFRiBSoBVqBU?nBXrBupB,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhF2lBXiBTjBS?sBFmB0qB,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhFlgBUiBTjB/?qBOrBSxB,v115@9gA8IeA8IeA8GeC8AeA8BeE8JeCAJvhFGjB8pBRmB3?nBlmBzqB,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhFUhBFiBTjBS?sBmqB/qB,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhF8mB+nBTjBy?qB/qBFrB,v115@9gA8IeA8IeA8GeC8AeA8BeE8JeUBJvhFRiBSoBXlBV?sBzqBupB
TZJSOLI,O,O,X,X,O,X,X,X
TZJOILS,X,X,O,X,X,X,O,X
TZJOISL,O,X,X,X,X,X,X,X
TZJOLIS,X,X,O,X,X,X,O,X
TZJOLSI,X,X,O,X,O,X,X,X
TZJOSIL,O,X,X,X,O,X,X,X
TZJOSLI,O,X,X,X,O,X,X,X
TZSILJO,O,O,X,X,O,X,X,X
TZSILOJ,O,O,X,X,X,X,X,X
TZSIJLO,O,O,X,X,O,X,X,X
TZSIJOL,O,O,X,X,X,X,X,X
TZSIOLJ,O,O,X,X,X,X,X,X
TZSIOJL,O,O,X,X,X,X,X,X
TZSLIJO,O,O,X,X,O,X,X,X
TZSLIOJ,O,O,X,X,X,X,X,X
TZSLJIO,O,O,X,X,O,X,X,X
TZSLJOI,O,O,X,X,O,X,X,X
TZSLOIJ,O,O,X,X,O,X,X,X
TZSLOJI,O,O,X,X,O,X,X,X
TZSJILO,O,O,X,X,O,X,X,X
TZSJIOL,O,O,X,X,X,X,X,X
TZSJLIO,O,O,X,X,O,X,X,X
TZSJLOI,O,O,X,X,O,X,X,X
TZSJOIL,O,O,X,X,O,X,X,X
TZSJOLI,O,O,X,X,O,X,X,X
TZSOILJ,O,O,X,X,O,X,X,X
TZSOIJL,O,O,X,X,O,X,X,X
TZSOLIJ,O,O,X,X,O,X,X,X
TZSOLJI,O,O,X,X,O,X,X,X
TZSOJIL,O,O,X,X,O,X,X,X
TZSOJLI,O,O,X,X,O,X,X,X
TZOILJS,X,X,O,X,X,X,X,O
TZOILSJ,O,O,O,X,O,X,X,O
TZOIJLS,X,X,O,X,X,X,X,O
TZOIJSL,O,X,X,X,X,X,X,O
TZOISLJ,O,O,X,X,O,X,X,O
TZOISJL,O,O,X,X,O,X,X,O
TZOLIJS,X,X,O,X,X,X,X,O
TZOLISJ,O,O,O,X,O,X,X,O
TZOLJIS,X,X,O,X,X,X,X,O
TZOLJSI,X,X,O,X,O,X,X,O
TZOLSIJ,O,O,O,X,O,X,X,O
TZOLSJI,O,O,O,X,O,X,X,O
TZOJILS,X,X,O,X,X,X,X,O
TZOJISL,O,X,X,X,X,X,X,O
TZOJLIS,X,X,O,X,X,X,X,O
TZOJLSI,X,X,O,X,O,X,X,O
TZOJSIL,O,X,X,X,O,X,X,O
TZOJSLI,O,X,X,X,O,X,X,O
TZOSILJ,O,O,X,X,O,X,X,O
TZOSIJL,O,O,X,X,O,X,X,O
TZOSLIJ,O,O,X,X,O,X,X,O
TZOSLJI,O,O,X,X,O,X,X,O
TZOSJIL,O,O,X,X,O,X,X,O
TZOSJLI,O,O,X,X,O,X,X,O
TOILJSZ,X,X,X,X,X,O,X,O
TOILJZS,X,X,X,X,X,O,O,O
TOILSJZ,X,X,X,X,X,O,X,O
TOILSZJ,X,X,O,X,X,X,X,O
TOILZJS,X,X,O,X,X,O,X,O
TOILZSJ,X,X,O,X,X,X,X,O
TOIJLSZ,X,X,X,X,X,O,X,O
TOIJLZS,X,X,X,X,X,O,O,O
TOIJSLZ,X,X,X,O,X,X,X,O
TOIJSZL,X,X,X,O,X,X,X,O
TOIJZLS,X,X,X,X,X,X,O,O
TOIJZSL,X,X,X,O,X,X,X,O
TOISLJZ,X,X,X,O,X,X,X,O
TOISLZJ,X,X,X,X,X,X,X,O
TOISJLZ,X,X,X,O,X,X,X,O
TOISJZL,O,X,X,O,O,X,X,O
TOISZLJ,O,X,X,X,O,X,X,O
TOISZJL,O,X,X,O,O,X,X,O
TOIZLJS,X,X,O,X,X,X,X,O
TOIZLSJ,O,X,O,X,O,X,X,O
TOIZJLS,X,X,O,X,X,X,X,O
TOIZJSL,O,X,X,X,X,X,X,O
TOIZSLJ,O,X,X,X,O,X,X,O
TOIZSJL,O,X,X,X,O,X,X,O
TOLIJSZ,X,X,X,X,X,O,X,O
TOLIJZS,X,X,X,X,X,O,O,O
TOLISJZ,X,X,X,X,X,O,X,O
TOLISZJ,X,X,O,X,X,X,X,O
TOLIZJS,X,X,O,X,X,O,X,O
TOLIZSJ,X,O,O,X,X,X,X,O
TOLJISZ,X,X,X,X,X,O,X,O
TOLJIZS,X,X,X,X,X,O,O,O
TOLJSIZ,X,X,X,X,X,O,X,O
TOLJSZI,X,X,X,X,X,X,X,O
TOLJZIS,X,X,X,X,X,O,O,O
TOLJZSI,X,X,X,X,X,X,X,O
TOLSIJZ,X,X,X,X,X,O,X,O
TOLSIZJ,X,O,O,X,X,X,X,O
TOLSJIZ,X,X,X,X,X,O,X,O
TOLSJZI,X,O,X,X,X,X,X,O
TOLSZIJ,X,O,O,X,X,X,X,O
TOLSZJI,X,O,O,X,X,X,X,O
TOLZIJS,X,X,O,X,X,O,X,O
TOLZISJ,X,O,O,X,X,X,X,O
TOLZJIS,X,X,O,X,X,O,X,O
TOLZJSI,X,X,O,X,X,X,X,O
TOLZSIJ,X,O,O,X,X,X,X,O
TOLZSJI,X,O,O,X,X,X,X,O
TOJILSZ,X,X,X,X,X,O,X,O
TOJILZS,X,X,X,X,X,O,O,O
TOJISLZ,X,X,X,O,X,X,X,O
TOJISZL,X,X,X,O,X,X,X,O
TOJIZLS,X,X,X,X,X,X,O,O
TOJIZSL,X,X,X,O,X,X,X,O
TOJLISZ,X,X,X,X,X,O,X,O
TOJLIZS,X,X,X,X,X,O,O,O
TOJLSIZ,X,X,X,X,X,O,X,O
TOJLSZI,X,X,X,X,X,X,X,O
TOJLZIS,X,X,X,X,X,O,O,O
TOJLZSI,X,X,X,X,X,X,X,O
TOJSILZ,X,X,X,O,X,X,X,O
TOJSIZL,X,X,X,O,O,X,X,O
TOJSLIZ,X,X,X,O,X,X,X,O
TOJSLZI,X,X,X,O,X,X,X,O
TOJSZIL,X,X,X,O,O,X,X,O
TOJSZLI,X,X,X,O,O,X,X,O
TOJZILS,X,X,X,X,X,X,O,O
TOJZISL,X,X,X,O,X,X,X,O
TOJZLIS,X,X,X,X,X,X,O,O
TOJZLSI,X,X,X,X,O,X,X,O
TOJZSIL,X,X,X,O,O,X,X,O
TOJZSLI,X,X,X,O,O,X,X,O
TOSILJZ,X,X,X,O,X,X,X,O
TOSILZJ,X,O,X,X,X,X,X,O
TOSIJLZ,X,X,X,O,X,X,X,O
TOSIJZL,O,X,X,O,O,X,X,O
TOSIZLJ,O,O,X,X,O,X,X,O
TOSIZJL,O,O,X,O,O,X,X,O
TOSLIJZ,X,X,X,O,X,X,X,O
TOSLIZJ,X,O,X,X,X,X,X,O
TOSLJIZ,X,X,X,O,X,X,X,O
TOSLJZI,X,O,X,O,X,X,X,O
TOSLZIJ,X,O,X,X,X,X,X,O
TOSLZJI,X,O,X,X,X,X,X,O
TOSJILZ,X,X,X,O,X,X,X,O
TOSJIZL,O,X,X,O,O,X,X,O
TOSJLIZ,X,X,X,O,X,X,X,O
TOSJLZI,X,O,X,O,X,X,X,O
TOSJZIL,O,O,X,O,O,X,X,O
TOSJZLI,O,O,X,O,O,X,X,O
TOSZILJ,O,O,X,X,O,X,X,O
TOSZIJL,O,O,X,O,O,X,X,O
TOSZLIJ,O,O,X,X,O,X,X,O
TOSZLJI,O,O,X,X,O,X,X,O
TOSZJIL,O,O,X,O,O,X,X,O
TOSZJLI,O,O,X,O,O,X,X,O
TOZILJS,X,X,O,X,X,X,X,O
TOZILSJ,O,O,O,X,O,X,X,O
TOZIJLS,X,X,O,X,X,X,X,O
TOZIJSL,O,X,X,X,X,X,X,O
TOZISLJ,O,O,X,X,O,X,X,O
TOZISJL,O,O,X,X,O,X,X,O
TOZLIJS,X,X,O,X,X,X,X,O
TOZLISJ,O,O,O,X,O,X,X,O
TOZLJIS,X,X,O,X,X,X,X,O
TOZLJSI,X,X,O,X,O,X,X,O
TOZLSIJ,O,O,O,X,O,X,X,O
TOZLSJI,O,O,O,X,O,X,X,O
TOZJILS,X,X,O,X,X,X,X,O
TOZJISL,O,X,X,X,X,X,X,O
TOZJLIS,X,X,O,X,X,X,X,O
TOZJLSI,X,X,O,X,O,X,X,O
TOZJSIL,O,X,X,X,O,X,X,O
TOZJSLI,O,X,X,X,O,X,X,O
TOZSILJ,O,O,X,X,O,X,X,O
TOZSIJL,O,O,X,X,O,X,X,O
TOZSLIJ,O,O,X,X,O,X,X,O
TOZSLJI,O,O,X,X,O,X,X,O
TOZSJIL,O,O,X,X,O,X,X,O
TOZSJLI,O,O,X,X,O,X,X,O
ITLJSZO,X,X,X,X,X,O,X,X
ITLJSOZ,X,X,X,X,X,O,X,X
ITLJZSO,X,O,X,X,X,O,O,X
ITLJZOS,X,X,X,X,X,O,O,X
ITLJOSZ,X,X,X,X,X,O,X,O
ITLJOZS,X,X,X,X,X,O,O,O
ITLSJZO,O,X,X,X,X,O,X,X
ITLSJOZ,X,X,X,X,X,O,X,X
ITLSZJO,O,O,O,X,X,X,X,X
ITLSZOJ,O,O,O,X,X,X,X,X
ITLSOJZ,X,X,X,X,X,O,X,O
ITLSOZJ,X,O,O,X,X,X,X,O
ITLZJSO,X,O,O,X,X,O,O,X
ITLZJOS,X,X,O,X,X,O,O,X
ITLZSJO,O,O,O,X,X,X,X,X
ITLZSOJ,O,O,O,X,X,X,X,X
ITLZOJS,X,X,O,X,X,O,X,O
ITLZOSJ,O,O,O,X,X,X,X,O
ITLOJSZ,X,X,X,X,X,O,X,O
ITLOJZS,X,X,X,X,X,O,O,O
ITLOSJZ,X,X,X,X,X,O,X,O
ITLOSZJ,X,X,O,X,X,X,X,O
ITLOZJS,X,X,O,X,X,O,X,O
ITLOZSJ,X,O,O,X,X,X,X,O
ITJLSZO,X,X,X,X,X,O,X,X
ITJLSOZ,X,X,X,X,X,O,X,X
ITJLZSO,X,X,X,X,X,O,O,X
ITJLZOS,X,X,X,X,X,O,O,X
ITJLOSZ,X,X,X,X,X,O,X,O
ITJLOZS,X,X,X,X,X,O,O,O
ITJSLZO,O,X,X,O,X,X,X,X
ITJSLOZ,X,X,X,O,X,X,X,X
ITJSZLO,O,X,X,O,X,X,X,X
ITJSZOL,O,X,X,O,X,X,X,X
ITJSOLZ,X,X,X,O,X,X,X,X
ITJSOZL,O,X,X,O,X,X,X,X
ITJZLSO,X,X,X,X,X,X,O,X
ITJZLOS,X,X,X,X,X,X,O,X
ITJZSLO,O,X,X,O,X,X,X,X
ITJZSOL,O,X,X,O,X,X,X,X
ITJZOLS,X,X,X,X,X,X,O,X
ITJZOSL,O,X,X,O,X,X,X,X
ITJOLSZ,X,X,X,X,X,O,X,O
ITJOLZS,X,X,X,X,X,O,O,O
ITJOSLZ,X,X,X,O,X,X,X,O
ITJOSZL,X,X,X,O,X,X,X,O
ITJOZLS,X,X,X,X,X,X,O,O
ITJOZSL,X,X,X,O,X,X,X,O
ITSLJZO,O,X,X,O,X,X,X,X
ITSLJOZ,X,X,X,O,X,X,X,X
ITSLZJO,O,O,X,X,X,X,X,X
ITSLZOJ,O,O,X,X,X,X,X,X
ITSLOJZ,X,X,X,O,X,X,X,O
ITSLOZJ,X,O,X,X,X,X,X,O
ITSJLZO,O,X,X,O,X,X,X,X
ITSJLOZ,X,X,X,O,X,X,X,X
ITSJZLO,O,X,X,O,X,X,X,X
ITSJZOL,O,X,X,O,X,X,X,X
ITSJOLZ,X,X,X,O,X,X,X,X
ITSJOZL,O,X,X,O,X,X,X,X
ITSZLJO,O,O,X,X,X,X,X,X
ITSZLOJ,O,O,X,X,X,X,X,X
ITSZJLO,O,O,X,O,X,X,X,X
ITSZJOL,O,O,X,O,X,X,X,X
ITSZOLJ,O,O,X,X,X,X,X,X
ITSZOJL,O,O,X,O,X,X,X,X
ITSOLJZ,X,X,X,O,X,X,X,O
ITSOLZJ,X,O,X,X,X,X,X,O
ITSOJLZ,X,X,X,O,X,X,X,O
ITSOJZL,O,X,X,O,X,X,X,O
ITSOZLJ,O,O,X,X,X,X,X,O
ITSOZJL,O,O,X,O,X,X,X,O
ITZLJSO,X,O,O,X,X,X,O,X
ITZLJOS,X,X,O,X,X,X,O,X
ITZLSJO,O,O,O,X,X,X,X,X
ITZLSOJ,O,O,O,X,X,X,X,X
ITZLOJS,X,X,O,X,X,X,X,O
ITZLOSJ,O,O,O,X,X,X,X,O
ITZJLSO,X,O,O,X,X,X,O,X
ITZJLOS,X,X,O,X,X,X,O,X
ITZJSLO,O,O,X,X,X,X,X,X
ITZJSOL,O,O,X,X,X,X,X,X
ITZJOLS,X,X,O,X,X,X,O,X
ITZJOSL,O,X,X,X,X,X,X,X
ITZSLJO,O,O,X,X,X,X,X,X
ITZSLOJ,O,O,X,X,X,X,X,X
ITZSJLO,O,O,X,X,X,X,X,X
ITZSJOL,O,O,X,X,X,X,X,X
ITZSOLJ,O,O,X,X,X,X,X,X
ITZSOJL,O,O,X,X,X,X,X,X
ITZOLJS,X,X,O,X,X,X,X,O
ITZOLSJ,O,O,O,X,X,X,X,O
ITZOJLS,X,X,O,X,X,X,X,O
ITZOJSL,O,X,X,X,X,X,X,O
ITZOSLJ,O,O,X,X,X,X,X,O
ITZOSJL,O,O,X,X,X,X,X,O
ITOLJSZ,X,X,X,X,X,O,X,O
ITOLJZS,X,X,X,X,X,O,O,O
ITOLSJZ,X,X,X,X,X,O,X,O
ITOLSZJ,X,X,O,X,X,X,X,O
ITOLZJS,X,X,O,X,X,O,X,O
ITOLZSJ,X,X,O,X,X,X,X,O
ITOJLSZ,X,X,X,X,X,O,X,O
ITOJLZS,X,X,X,X,X,O,O,O
ITOJSLZ,X,X,X,O,X,X,X,O
ITOJSZL,X,X,X,O,X,X,X,O
ITOJZLS,X,X,X,X,X,X,O,O
ITOJZSL,X,X,X,O,X,X,X,O
ITOSLJZ,X,X,X,O,X,X,X,O
ITOSLZJ,X,X,X,X,X,X,X,O
ITOSJLZ,X,X,X,O,X,X,X,O
ITOSJZL,O,X,X,O,X,X,X,O
ITOSZLJ,O,X,X,X,X,X,X,O
ITOSZJL,O,X,X,O,X,X,X,O
ITOZLJS,X,X,O,X,X,X,X,O
ITOZLSJ,O,X,O,X,X,X,X,O
ITOZJLS,X,X,O,X,X,X,X,O
ITOZJSL,O,X,X,X,X,X,X,O
ITOZSLJ,O,X,X,X,X,X,X,O
ITOZSJL,O,X,X,X,X,X,X,O
ILTJSZO,X,X,X,X,X,O,X,X
ILTJSOZ,X,X,X,X,X,O,X,X
ILTJZSO,X,O,X,X,X,O,O,X
ILTJZOS,X,X,X,X,X,O,O,X
ILTJOSZ,X,X,X,X,X,O,X,O
ILTJOZS,X,X,X,X,X,O,O,O
ILTSJZO,O,X,X,X,X,O,X,X
ILTSJOZ,X,X,X,X,X,O,X,X
ILTSZJO,O,O,O,X,X,X,X,X
ILTSZOJ,O,O,O,X,X,X,X,X
ILTSOJZ,X,X,X,X,X,O,X,O
ILTSOZJ,X,O,O,X,X,X,X,O
ILTZJSO,X,O,O,X,X,O,O,X
ILTZJOS,X,X,O,X,X,O,O,X
ILTZSJO,O,O,O,X,X,X,X,X
ILTZSOJ,O,O,O,X,X,X,X,X
ILTZOJS,X,X,O,X,X,O,X,O
ILTZOSJ,O,O,O,X,X,X,X,O
ILTOJSZ,X,X,X,X,X,O,X,O
ILTOJZS,X,X,X,X,X,O,O,O
ILTOSJZ,X,X,X,X,X,O,X,O
ILTOSZJ,X,X,O,X,X,X,X,O
ILTOZJS,X,X,O,X,X,O,X,O
ILTOZSJ,X,O,O,X,X,X,X,O
ILJTSZO,X,X,X,X,X,O,X,X
ILJTSOZ,X,X,X,X,X,O,X,X
ILJTZSO,X,O,X,X,X,O,O,X
ILJTZOS,X,X,X,X,X,O,O,X
ILJTOSZ,X,X,X,X,X,O,X,O
ILJTOZS,X,X,X,X,X,O,O,O
ILJSTZO,O,X,X,O,X,O,X,X
ILJSTOZ,X,X,X,O,X,O,X,X
ILJSZTO,O,X,O,O,X,O,O,X
ILJSZOT,O,X,O,O,X,O,O,X
ILJSOTZ,X,X,X,O,X,O,X,X
ILJSOZT,X,X,O,O,X,O,O,X
ILJZTSO,X,O,O,X,X,O,O,X
ILJZTOS,X,X,O,X,X,O,O,X
ILJZSTO,O,O,O,O,X,O,O,X
ILJZSOT,O,O,O,O,X,O,O,X
ILJZOTS,X,X,O,X,X,O,O,X
ILJZOST,O,X,O,O,X,O,O,X
ILJOTSZ,X,X,X,X,X,O,X,X
ILJOTZS,X,X,X,X,X,O,O,X
ILJOSTZ,X,X,X,O,X,O,X,X
ILJOSZT,X,X,O,O,X,O,O,X
ILJOZTS,X,X,O,X,X,O,O,X
ILJOZST,X,X,O,O,X,O,O,X
ILSTJZO,O,X,X,O,X,O,X,X
ILSTJOZ,X,X,X,O,X,O,X,X
ILSTZJO,O,O,O,X,X,X,X,X
ILSTZOJ,O,O,O,X,X,X,X,X
ILSTOJZ,X,X,X,O,X,O,X,O
ILSTOZJ,X,O,O,X,X,X,X,O
ILSJTZO,O,X,X,O,X,O,X,X
ILSJTOZ,X,X,X,O,X,O,X,X
ILSJZTO,O,X,O,O,X,O,O,X
ILSJZOT,O,X,O,O,X,O,O,X
ILSJOTZ,X,X,X,O,X,O,X,X
ILSJOZT,X,X,O,O,X,O,O,X
ILSZTJO,O,O,O,X,X,X,X,X
ILSZTOJ,O,O,O,X,X,X,X,X
ILSZJTO,O,O,O,X,X,X,O,X
ILSZJOT,O,O,O,X,X,X,O,X
ILSZOTJ,O,O,O,X,X,X,X,X
ILSZOJT,O,O,O,X,X,X,X,X
ILSOTJZ,X,X,X,O,X,O,X,X
ILSOTZJ,X,O,O,X,X,X,X,X
ILSOJTZ,X,X,X,O,X,O,X,X
ILSOJZT,X,X,O,O,X,O,O,X
ILSOZTJ,X,O,O,X,X,X,X,X
ILSOZJT,X,O,O,X,X,X,X,X
ILZTJSO,X,O,O,X,X,O,O,X
ILZTJOS,X,X,O,X,X,O,O,X
ILZTSJO,O,O,O,X,X,X,X,X
ILZTSOJ,O,O,O,X,X,X,X,X
ILZTOJS,X,X,O,X,X,O,X,O
ILZTOSJ,O,O,O,X,X,X,X,O
ILZJTSO,X,O,O,X,X,O,O,X
ILZJTOS,X,X,O,X,X,O,O,X
ILZJSTO,O,O,O,X,X,O,O,X
ILZJSOT,O,O,O,X,X,O,O,X
ILZJOTS,X,X,O,X,X,O,O,X
ILZJOST,O,X,O,X,X,O,O,X
ILZSTJO,O,O,O,X,X,X,X,X
ILZSTOJ,O,O,O,X,X,X,X,X
ILZSJTO,O,O,O,X,X,X,O,X
ILZSJOT,O,O,O,X,X,X,O,X
ILZSOTJ,O,O,O,X,X,X,X,X
ILZSOJT,O,O,O,X,X,X,X,X
ILZOTJS,X,X,O,X,X,O,X,X
ILZOTSJ,O,O,O,X,X,X,X,X
ILZOJTS,X,X,O,X,X,O,O,X
ILZOJST,O,X,O,X,X,O,O,X
ILZOSTJ,O,O,O,X,X,X,X,X
ILZOSJT,O,O,O,X,X,X,X,X
ILOTJSZ,X,X,X,X,X,O,X,O
ILOTJZS,X,X,X,X,X,O,O,O
ILOTSJZ,X,X,X,X,X,O,X,O
ILOTSZJ,X,X,O,X,X,X,X,O
ILOTZJS,X,X,O,X,X,O,X,O
ILOTZSJ,X,O,O,X,X,X,X,O
ILOJTSZ,X,X,X,X,X,O,X,X
ILOJTZS,X,X,X,X,X,O,O,X
ILOJSTZ,X,X,X,O,X,O,X,X
ILOJSZT,X,X,O,O,X,O,O,X
ILOJZTS,X,X,O,X,X,O,O,X
ILOJZST,X,X,O,O,X,O,O,X
ILOSTJZ,X,X,X,O,X,O,X,X
ILOSTZJ,X,X,O,X,X,X,X,X
ILOSJTZ,X,X,X,O,X,O,X,X
ILOSJZT,X,X,O,O,X,O,O,X
ILOSZTJ,X,X,O,X,X,X,X,X
ILOSZJT,X,X,O,X,X,X,X,X
ILOZTJS,X,X,O,X,X,O,X,X
ILOZTSJ,X,O,O,X,X,X,X,X
ILOZJTS,X,X,O,X,X,O,O,X
ILOZJST,X,X,O,X,X,O,O,X
ILOZSTJ,X,O,O,X,X,X,X,X
ILOZSJT,X,O,O,X,X,X,X,X
IJTLSZO,X,X,X,X,X,O,X,X
IJTLSOZ,X,X,X,X,X,O,X,X
IJTLZSO,X,X,X,X,X,O,O,X
IJTLZOS,X,X,X,X,X,O,O,X
IJTLOSZ,X,X,X,X,X,O,X,X
IJTLOZS,X,X,X,X,X,O,O,X
IJTSLZO,O,X,X,O,X,X,X,X
IJTSLOZ,X,X,X,O,X,X,X,X
IJTSZLO,O,X,X,O,X,X,X,X
IJTSZOL,O,X,X,O,X,X,X,X
IJTSOLZ,X,X,X,O,X,X,X,X
IJTSOZL,O,X,X,O,X,X,X,X
IJTZLSO,X,X,X,X,X,X,O,X
IJTZLOS,X,X,X,X,X,X,O,X
IJTZSLO,O,X,X,O,X,X,X,X
IJTZSOL,O,X,X,O,X,X,X,X
IJTZOLS,X,X,X,X,X,X,O,X
IJTZOSL,O,X,X,O,X,X,X,X
IJTOLSZ,X,X,X,X,X,O,X,X
IJTOLZS,X,X,X,X,X,O,O,X
IJTOSLZ,X,X,X,O,X,X,X,X
IJTOSZL,X,X,X,O,X,X,X,X
IJTOZLS,X,X,X,X,X,X,O,X
IJTOZSL,X,X,X,O,X,X,X,X
IJLTSZO,X,X,X,X,X,O,X,X
IJLTSOZ,X,X,X,X,X,O,X,X
IJLTZSO,X,X,X,X,X,O,O,X
IJLTZOS,X,X,X,X,X,O,O,X
IJLTOSZ,X,X,X,X,X,O,X,X
IJLTOZS,X,X,X,X,X,O,O,X
IJLSTZO,O,X,X,O,X,O,X,X
IJLSTOZ,X,X,X,O,X,O,X,X
IJLSZTO,O,X,O,O,X,O,O,X
IJLSZOT,O,X,O,O,X,O,O,X
IJLSOTZ,X,X,X,O,X,O,X,X
IJLSOZT,X,X,O,O,X,O,O,X
IJLZTSO,X,X,O,X,X,O,O,X
IJLZTOS,X,X,O,X,X,O,O,X
IJLZSTO,O,X,O,O,X,O,O,X
IJLZSOT,O,X,O,O,X,O,O,X
IJLZOTS,X,X,O,X,X,O,O,X
IJLZOST,O,X,O,O,X,O,O,X
IJLOTSZ,X,X,X,X,X,O,X,X
IJLOTZS,X,X,X,X,X,O,O,X
IJLOSTZ,X,X,X,O,X,O,X,X
IJLOSZT,X,X,O,O,X,O,O,X
IJLOZTS,X,X,O,X,X,O,O,X
IJLOZST,X,X,O,O,X,O,O,X
IJSTLZO,O,X,X,O,X,X,X,X
IJSTLOZ,X,X,X,O,X,X,X,X
IJSTZLO,O,X,X,O,O,X,X,X
IJSTZOL,O,X,X,O,X,X,X,X
IJSTOLZ,X,X,X,O,X,X,X,X
IJSTOZL,O,X,X,O,X,X,X,X
IJSLTZO,O,X,X,O,X,O,X,X
IJSLTOZ,X,X,X,O,X,O,X,X
IJSLZTO,O,X,X,O,O,O,O,X
IJSLZOT,O,X,X,O,O,O,O,X
IJSLOTZ,X,X,X,O,X,O,X,X
IJSLOZT,X,X,X,O,X,O,O,X
IJSZTLO,O,X,X,O,O,X,X,X
IJSZTOL,O,X,X,O,X,X,X,X
IJSZLTO,O,X,X,O,O,X,O,X
IJSZLOT,O,X,X,O,O,X,O,X
IJSZOTL,O,X,X,O,O,X,X,X
IJSZOLT,O,X,X,O,O,X,O,X
IJSOTLZ,X,X,X,O,X,X,X,X
IJSOTZL,O,X,X,O,O,X,X,X
IJSOLTZ,X,X,X,O,X,O,X,X
IJSOLZT,X,X,X,O,O,O,O,X
IJSOZTL,O,X,X,O,O,X,X,X
IJSOZLT,O,X,X,O,O,X,O,X
IJZTLSO,X,X,O,X,X,X,O,X
IJZTLOS,X,X,O,X,X,X,O,X
IJZTSLO,O,X,X,O,X,X,X,X
IJZTSOL,O,X,X,O,X,X,X,X
IJZTOLS,X,X,O,X,X,X,O,X
IJZTOSL,O,X,X,O,X,X,X,X
IJZLTSO,X,X,O,X,X,O,O,X
IJZLTOS,X,X,O,X,X,O,O,X
IJZLSTO,O,X,O,O,O,O,O,X
IJZLSOT,O,X,O,O,O,O,O,X
IJZLOTS,X,X,O,X,X,O,O,X
IJZLOST,O,X,O,O,O,O,O,X
IJZSTLO,O,X,X,O,O,X,X,X
IJZSTOL,O,X,X,O,X,X,X,X
IJZSLTO,O,X,O,O,O,X,O,X
IJZSLOT,O,X,O,O,O,X,O,X
IJZSOTL,O,X,X,O,O,X,X,X
IJZSOLT,O,X,O,O,O,X,O,X
IJZOTLS,X,X,O,X,X,X,O,X
IJZOTSL,O,X,X,O,X,X,X,X
IJZOLTS,X,X,O,X,X,O,O,X
IJZOLST,O,X,O,O,O,O,O,X
IJZOSTL,O,X,X,O,O,X,X,X
IJZOSLT,O,X,O,O,O,X,O,X
IJOTLSZ,X,X,X,X,X,O,X,X
IJOTLZS,X,X,X,X,X,O,O,X
IJOTSLZ,X,X,X,O,X,X,X,X
IJOTSZL,X,X,X,O,X,X,X,X
IJOTZLS,X,X,X,X,X,X,O,X
IJOTZSL,X,X,X,O,X,X,X,X
IJOLTSZ,X,X,X,X,X,O,X,X
IJOLTZS,X,X,X,X,X,O,O,X
IJOLSTZ,X,X,X,O,X,O,X,X
IJOLSZT,X,X,O,O,X,O,O,X
IJOLZTS,X,X,O,X,X,O,O,X
IJOLZST,X,X,O,O,X,O,O,X
IJOSTLZ,X,X,X,O,X,X,X,X
IJOSTZL,O,X,X,O,O,X,X,X
IJOSLTZ,X,X,X,O,X,O,X,X
IJOSLZT,X,X,X,O,O,O,O,X
IJOSZTL,O,X,X,O,O,X,X,X
IJOSZLT,O,X,X,O,O,X,O,X
IJOZTLS,X,X,O,X,X,X,O,X
IJOZTSL,O,X,X,O,X,X,X,X
IJOZLTS,X,X,O,X,X,O,O,X
IJOZLST,O,X,O,O,O,O,O,X
IJOZSTL,O,X,X,O,O,X,X,X
IJOZSLT,O,X,O,O,O,X,O,X
ISTLJZO,O,X,X,O,X,X,X,X
ISTLJOZ,X,X,X,O,X,X,X,X
ISTLZJO,O,O,X,X,X,X,X,X
ISTLZOJ,O,O,X,X,X,X,X,X
ISTLOJZ,X,X,X,O,X,X,X,X
ISTLOZJ,X,O,X,X,X,X,X,X
ISTJLZO,O,X,X,O,X,X,X,X
ISTJLOZ,X,X,X,O,X,X,X,X
ISTJZLO,O,X,X,O,O,X,X,X
ISTJZOL,O,X,X,O,X,X,X,X
ISTJOLZ,X,X,X,O,X,X,X,X
ISTJOZL,O,X,X,O,X,X,X,X
ISTZLJO,O,O,X,X,O,X,X,X
ISTZLOJ,O,O,X,X,X,X,X,X
ISTZJLO,O,O,X,O,O,X,X,X
ISTZJOL,O,O,X,O,X,X,X,X
ISTZOLJ,O,O,X,X,X,X,X,X
ISTZOJL,O,O,X,O,X,X,X,X
ISTOLJZ,X,X,X,O,X,X,X,X
ISTOLZJ,X,O,X,X,X,X,X,X
ISTOJLZ,X,X,X,O,X,X,X,X
ISTOJZL,O,X,X,O,X,X,X,X
ISTOZLJ,O,O,X,X,X,X,X,X
ISTOZJL,O,O,X,O,X,X,X,X
