sequence,v115@9gA8IeA8IeA8CeB8DeA8BeF8KeCAJvhF0hB5oBllB3?nBmnBzpB,v115@9gA8IeA8IeA8CeB8DeA8BeF8KeuEJvhF1lB0hB5oBz?nBinBXqB,v115@9gA8IeA8IeA8CeB8DeA8BeF8KelBJvhFcnBTjBRlBC?lBXqBGtB,v115@9gA8IeA8IeA8CeB8DeA8BeF8Ke0AJvhFlhBziB5oB2?sBCqBfqB,v115@9gA8IeA8IeA8CeB8DeA8BeF8KeRAJvhF3hBcnBTjBC?qBGtBFqB,v115@9gA8IeA8IeA8CeB8DeA8BeF8Ke0BJvhF5oBupB3lBz?nBinBFqB,v115@9gA8IeA8IeA8CeB8DeA8BeF8Ke0AJvhFxhBTjBFnBC?qBGtBfqB,v115@9gA8IeA8IeA8CeB8DeA8BeF8KeRAJvhF3hBupBcqBT?nB6tBFtB
TZJSOLI,X,O,O,X,O,X,X,O
TZJOILS,X,O,O,O,X,X,O,O
TZJOISL,X,O,O,X,X,O,X,O
TZJOLIS,X,O,O,O,O,X,O,O
TZJOLSI,X,X,O,X,O,X,O,O
TZJOSIL,X,O,O,X,O,O,X,O
TZJOSLI,X,O,O,X,O,X,X,O
TZSILJO,O,O,O,X,X,X,X,X
TZSILOJ,O,O,X,X,X,X,X,X
TZSIJLO,O,O,O,X,X,X,X,X
TZSIJOL,X,O,O,X,O,O,X,X
TZSIOLJ,O,O,X,X,X,X,X,X
TZSIOJL,O,O,O,X,X,O,X,X
TZSLIJO,O,O,O,X,O,X,X,X
TZSLIOJ,O,O,X,X,X,X,X,X
TZSLJIO,O,O,O,X,O,X,X,X
TZSLJOI,X,O,O,X,O,X,X,X
TZSLOIJ,O,O,X,X,X,X,X,X
TZSLOJI,X,O,X,X,X,X,X,X
TZSJILO,O,O,O,X,X,X,X,X
TZSJIOL,X,O,O,X,O,O,X,O
TZSJLIO,O,O,O,X,O,X,X,X
TZSJLOI,X,O,O,X,O,X,X,X
TZSJOIL,X,O,O,X,O,O,X,O
TZSJOLI,X,O,O,X,O,X,X,O
TZSOILJ,O,O,X,X,X,X,X,X
TZSOIJL,O,O,O,X,X,O,X,X
TZSOLIJ,O,O,X,X,X,X,X,X
TZSOLJI,O,O,X,X,X,X,X,O
TZSOJIL,O,O,O,X,X,O,X,O
TZSOJLI,O,O,O,X,X,X,X,O
TZOILJS,O,O,X,X,X,X,X,X
TZOILSJ,O,O,X,X,X,X,X,X
TZOIJLS,O,O,O,X,X,X,X,X
TZOIJSL,O,O,O,X,X,O,X,X
TZOISLJ,O,O,X,X,X,X,X,X
TZOISJL,O,O,X,X,X,O,X,X
TZOLIJS,O,O,X,X,X,X,X,X
TZOLISJ,O,O,X,X,X,X,X,X
TZOLJIS,O,O,X,X,X,X,X,O
TZOLJSI,O,X,X,X,X,X,X,O
TZOLSIJ,O,O,X,X,X,X,X,X
TZOLSJI,O,O,X,X,X,X,X,O
TZOJILS,O,O,O,X,X,X,X,O
TZOJISL,O,O,O,X,X,O,X,O
TZOJLIS,O,O,O,X,X,X,X,O
TZOJLSI,O,X,O,X,X,X,X,O
TZOJSIL,O,O,O,X,X,O,X,O
TZOJSLI,O,O,O,X,X,X,X,O
TZOSILJ,O,O,X,X,X,X,X,X
TZOSIJL,O,O,O,X,X,O,X,X
TZOSLIJ,O,O,X,X,X,X,X,X
TZOSLJI,O,O,X,X,X,X,X,O
TZOSJIL,O,O,O,X,X,O,X,O
TZOSJLI,O,O,O,X,X,X,X,O
TOILJSZ,O,X,X,O,X,X,O,X
TOILJZS,O,O,X,O,X,X,O,X
TOILSJZ,O,O,X,X,X,X,X,X
TOILSZJ,O,O,X,X,X,X,X,X
TOILZJS,O,O,X,X,X,X,X,X
TOILZSJ,O,O,X,X,X,X,X,X
TOIJLSZ,O,X,X,O,X,X,O,X
TOIJLZS,O,O,X,O,X,X,O,X
TOIJSLZ,O,O,X,O,X,X,O,X
TOIJSZL,O,O,X,X,X,O,X,X
TOIJZLS,O,O,X,O,X,X,O,X
TOIJZSL,O,O,X,X,X,O,X,X
TOISLJZ,O,O,X,X,X,X,X,X
TOISLZJ,O,O,X,X,X,X,X,X
TOISJLZ,O,O,X,X,X,X,X,X
TOISJZL,O,O,X,X,X,O,X,X
TOISZLJ,O,O,X,X,X,X,X,X
TOISZJL,O,O,X,X,X,O,X,X
TOIZLJS,O,O,X,X,X,X,X,X
TOIZLSJ,O,O,X,X,X,X,X,X
TOIZJLS,O,O,O,X,X,X,X,X
TOIZJSL,O,O,O,X,X,O,X,X
TOIZSLJ,O,O,X,X,X,X,X,X
TOIZSJL,O,O,X,X,X,O,X,X
TOLIJSZ,O,X,X,O,X,X,O,X
TOLIJZS,O,O,X,O,X,X,O,X
TOLISJZ,O,O,X,X,X,X,X,X
TOLISZJ,O,O,X,X,X,X,X,X
TOLIZJS,O,O,X,X,X,X,X,X
TOLIZSJ,O,O,X,X,X,X,X,X
TOLJISZ,O,X,X,O,X,X,O,X
TOLJIZS,O,O,X,O,X,X,O,X
TOLJSIZ,O,X,X,O,X,X,O,X
TOLJSZI,O,X,X,X,X,X,O,X
TOLJZIS,O,O,X,O,X,X,O,X
TOLJZSI,O,X,X,X,X,X,O,X
TOLSIJZ,O,O,X,X,X,X,X,X
TOLSIZJ,O,O,X,X,X,X,X,X
TOLSJIZ,O,O,X,X,X,X,X,X
TOLSJZI,O,O,X,X,X,X,X,X
TOLSZIJ,O,O,X,X,X,X,X,X
TOLSZJI,O,O,X,X,X,X,X,O
TOLZIJS,O,O,X,X,X,X,X,X
TOLZISJ,O,O,X,X,X,X,X,X
TOLZJIS,O,O,X,X,X,X,X,O
TOLZJSI,O,X,X,X,X,X,X,O
TOLZSIJ,O,O,X,X,X,X,X,X
TOLZSJI,O,O,X,X,X,X,X,O
TOJILSZ,O,X,X,O,X,X,O,X
TOJILZS,O,O,X,O,X,X,O,X
TOJISLZ,O,O,X,O,X,X,O,X
TOJISZL,O,O,X,X,X,O,X,X
TOJIZLS,O,O,X,O,X,X,O,X
TOJIZSL,O,O,X,X,X,O,X,X
TOJLISZ,O,X,X,O,X,X,O,X
TOJLIZS,O,O,X,O,X,X,O,X
TOJLSIZ,O,X,X,O,X,X,O,X
TOJLSZI,O,X,X,X,X,X,O,X
TOJLZIS,O,O,X,O,X,X,O,X
TOJLZSI,O,X,X,X,X,X,O,X
TOJSILZ,O,O,X,O,X,X,O,X
TOJSIZL,O,O,X,X,X,O,X,X
TOJSLIZ,O,O,X,O,X,X,O,X
TOJSLZI,O,O,X,X,X,X,O,X
TOJSZIL,O,O,X,X,X,O,X,X
TOJSZLI,O,O,X,X,X,X,X,X
TOJZILS,O,O,X,O,X,X,O,X
TOJZISL,O,O,X,X,X,O,X,X
TOJZLIS,O,O,X,O,X,X,O,X
TOJZLSI,O,X,X,X,X,X,O,X
TOJZSIL,O,O,X,X,X,O,X,X
TOJZSLI,O,O,X,X,X,X,X,X
TOSILJZ,O,O,X,X,X,X,X,X
TOSILZJ,O,O,X,X,X,X,X,X
TOSIJLZ,O,O,X,X,X,X,X,X
TOSIJZL,O,O,X,X,X,O,X,X
TOSIZLJ,O,O,X,X,X,X,X,X
TOSIZJL,O,O,O,X,X,O,X,X
TOSLIJZ,O,O,X,X,X,X,X,X
TOSLIZJ,O,O,X,X,X,X,X,X
TOSLJIZ,O,O,X,X,X,X,X,X
TOSLJZI,O,O,X,X,X,X,X,X
TOSLZIJ,O,O,X,X,X,X,X,X
TOSLZJI,O,O,X,X,X,X,X,O
TOSJILZ,O,O,X,X,X,X,X,X
TOSJIZL,O,O,X,X,X,O,X,X
TOSJLIZ,O,O,X,X,X,X,X,X
TOSJLZI,O,O,X,X,X,X,X,X
TOSJZIL,O,O,X,X,X,O,X,X
TOSJZLI,O,O,X,X,X,X,X,X
TOSZILJ,O,O,X,X,X,X,X,X
TOSZIJL,O,O,O,X,X,O,X,X
TOSZLIJ,O,O,X,X,X,X,X,X
TOSZLJI,O,O,X,X,X,X,X,O
TOSZJIL,O,O,O,X,X,O,X,O
TOSZJLI,O,O,O,X,X,X,X,O
TOZILJS,O,O,X,X,X,X,X,X
TOZILSJ,O,O,X,X,X,X,X,X
TOZIJLS,O,O,O,X,X,X,X,X
TOZIJSL,O,O,O,X,X,O,X,X
TOZISLJ,O,O,X,X,X,X,X,X
TOZISJL,O,O,X,X,X,O,X,X
TOZLIJS,O,O,X,X,X,X,X,X
TOZLISJ,O,O,X,X,X,X,X,X
TOZLJIS,O,O,X,X,X,X,X,O
TOZLJSI,O,X,X,X,X,X,X,O
TOZLSIJ,O,O,X,X,X,X,X,X
TOZLSJI,O,O,X,X,X,X,X,O
TOZJILS,O,O,O,X,X,X,X,O
TOZJISL,O,O,O,X,X,O,X,O
TOZJLIS,O,O,O,X,X,X,X,O
TOZJLSI,O,X,O,X,X,X,X,O
TOZJSIL,O,O,O,X,X,O,X,O
TOZJSLI,O,O,O,X,X,X,X,O
TOZSILJ,O,O,X,X,X,X,X,X
TOZSIJL,O,O,O,X,X,O,X,X
TOZSLIJ,O,O,X,X,X,X,X,X
TOZSLJI,O,O,X,X,X,X,X,O
TOZSJIL,O,O,O,X,X,O,X,O
TOZSJLI,O,O,O,X,X,X,X,O
ITLJSZO,O,X,X,O,X,X,O,X
ITLJSOZ,X,X,X,O,X,X,O,X
ITLJZSO,O,X,X,O,X,X,O,X
ITLJZOS,X,O,X,O,X,X,O,X
ITLJOSZ,X,X,X,O,X,X,O,X
ITLJOZS,X,O,X,O,X,X,O,X
ITLSJZO,O,O,X,O,X,X,O,X
ITLSJOZ,X,O,X,O,X,X,O,X
ITLSZJO,O,O,X,X,X,X,X,X
ITLSZOJ,O,O,X,X,X,X,X,X
ITLSOJZ,X,O,X,X,X,X,X,X
ITLSOZJ,O,O,X,X,X,X,X,X
ITLZJSO,O,X,X,O,X,X,O,X
ITLZJOS,X,O,O,O,X,X,O,X
ITLZSJO,O,O,X,X,X,X,X,X
ITLZSOJ,O,O,X,X,X,X,X,X
ITLZOJS,X,O,X,X,X,X,X,X
ITLZOSJ,O,O,X,X,X,X,X,X
ITLOJSZ,X,X,X,O,X,X,O,X
ITLOJZS,X,O,X,O,X,X,O,X
ITLOSJZ,X,O,X,X,X,X,X,X
ITLOSZJ,O,O,X,X,X,X,X,X
ITLOZJS,X,O,X,X,X,X,X,X
ITLOZSJ,O,O,X,X,X,X,X,X
ITJLSZO,O,X,X,O,X,X,O,X
ITJLSOZ,X,X,X,O,X,X,O,X
ITJLZSO,O,X,X,O,X,X,O,X
ITJLZOS,X,O,X,O,X,X,O,X
ITJLOSZ,X,X,X,O,X,X,O,X
ITJLOZS,X,O,X,O,X,X,O,X
ITJSLZO,O,O,X,O,X,X,O,X
ITJSLOZ,X,O,X,O,X,X,O,X
ITJSZLO,O,O,X,X,X,X,X,X
ITJSZOL,X,O,X,X,X,O,X,X
ITJSOLZ,X,O,X,O,X,X,O,X
ITJSOZL,X,O,X,X,X,O,X,X
ITJZLSO,O,X,X,O,X,X,O,X
ITJZLOS,X,O,O,O,X,X,O,X
ITJZSLO,O,O,X,X,X,X,X,X
ITJZSOL,X,O,O,X,X,O,X,X
ITJZOLS,X,O,O,O,X,X,O,X
ITJZOSL,X,O,O,X,X,O,X,X
ITJOLSZ,X,X,X,O,X,X,O,X
ITJOLZS,X,O,X,O,X,X,O,X
ITJOSLZ,X,O,X,O,X,X,O,X
ITJOSZL,X,O,X,X,X,O,X,X
ITJOZLS,X,O,O,O,X,X,O,X
ITJOZSL,X,O,O,X,X,O,X,X
ITSLJZO,O,O,X,O,X,X,O,X
ITSLJOZ,X,O,X,O,X,X,O,X
ITSLZJO,O,O,O,X,X,X,X,X
ITSLZOJ,O,O,X,X,X,X,X,X
ITSLOJZ,X,O,X,X,X,X,X,X
ITSLOZJ,O,O,X,X,X,X,X,X
ITSJLZO,O,O,X,O,X,X,O,X
ITSJLOZ,X,O,X,O,X,X,O,X
ITSJZLO,O,O,O,X,X,X,X,X
ITSJZOL,X,O,O,X,X,O,X,X
ITSJOLZ,X,O,X,O,X,X,O,X
ITSJOZL,X,O,X,X,X,O,X,X
ITSZLJO,O,O,O,X,X,X,X,X
ITSZLOJ,O,O,X,X,X,X,X,X
ITSZJLO,O,O,O,X,X,X,X,X
ITSZJOL,X,O,O,X,X,O,X,X
ITSZOLJ,O,O,X,X,X,X,X,X
ITSZOJL,O,O,O,X,X,O,X,X
ITSOLJZ,O,O,X,X,X,X,X,X
ITSOLZJ,O,O,X,X,X,X,X,X
ITSOJLZ,O,O,X,X,X,X,X,X
ITSOJZL,O,O,X,X,X,O,X,X
ITSOZLJ,O,O,X,X,X,X,X,X
ITSOZJL,O,O,O,X,X,O,X,X
ITZLJSO,O,X,X,O,X,X,O,X
ITZLJOS,X,O,O,O,X,X,O,X
ITZLSJO,O,O,X,X,X,X,X,X
ITZLSOJ,O,O,X,X,X,X,X,X
ITZLOJS,X,O,X,X,X,X,X,X
ITZLOSJ,O,O,X,X,X,X,X,X
ITZJLSO,O,X,X,O,X,X,O,X
ITZJLOS,X,O,O,O,X,X,O,X
ITZJSLO,O,O,O,X,X,X,X,X
ITZJSOL,X,O,O,X,X,O,X,X
ITZJOLS,X,O,O,O,X,X,O,X
ITZJOSL,X,O,O,X,X,O,X,X
ITZSLJO,O,O,O,X,X,X,X,X
ITZSLOJ,O,O,X,X,X,X,X,X
ITZSJLO,O,O,O,X,X,X,X,X
ITZSJOL,X,O,O,X,X,O,X,X
ITZSOLJ,O,O,X,X,X,X,X,X
ITZSOJL,O,O,O,X,X,O,X,X
ITZOLJS,O,O,X,X,X,X,X,X
ITZOLSJ,O,O,X,X,X,X,X,X
ITZOJLS,O,O,O,X,X,X,X,X
ITZOJSL,O,O,O,X,X,O,X,X
ITZOSLJ,O,O,X,X,X,X,X,X
ITZOSJL,O,O,X,X,X,O,X,X
ITOLJSZ,O,X,X,O,X,X,O,X
ITOLJZS,O,O,X,O,X,X,O,X
ITOLSJZ,O,O,X,X,X,X,X,X
ITOLSZJ,O,O,X,X,X,X,X,X
ITOLZJS,O,O,X,X,X,X,X,X
ITOLZSJ,O,O,X,X,X,X,X,X
ITOJLSZ,O,X,X,O,X,X,O,X
ITOJLZS,O,O,X,O,X,X,O,X
ITOJSLZ,O,O,X,O,X,X,O,X
ITOJSZL,O,O,X,X,X,O,X,X
ITOJZLS,O,O,X,O,X,X,O,X
ITOJZSL,O,O,X,X,X,O,X,X
ITOSLJZ,O,O,X,X,X,X,X,X
ITOSLZJ,O,O,X,X,X,X,X,X
ITOSJLZ,O,O,X,X,X,X,X,X
ITOSJZL,O,O,X,X,X,O,X,X
ITOSZLJ,O,O,X,X,X,X,X,X
ITOSZJL,O,O,X,X,X,O,X,X
ITOZLJS,O,O,X,X,X,X,X,X
ITOZLSJ,O,O,X,X,X,X,X,X
ITOZJLS,O,O,O,X,X,X,X,X
ITOZJSL,O,O,O,X,X,O,X,X
ITOZSLJ,O,O,X,X,X,X,X,X
ITOZSJL,O,O,X,X,X,O,X,X
ILTJSZO,O,X,X,O,X,X,O,X
ILTJSOZ,X,X,X,O,X,X,O,X
ILTJZSO,O,X,X,O,X,X,O,X
ILTJZOS,X,O,X,O,X,X,O,X
ILTJOSZ,X,X,X,O,X,X,O,X
ILTJOZS,X,O,X,O,X,X,O,X
ILTSJZO,O,O,X,O,X,X,O,X
ILTSJOZ,X,O,X,O,X,X,O,X
ILTSZJO,O,O,X,X,X,X,X,X
ILTSZOJ,O,O,X,X,X,X,X,X
ILTSOJZ,X,O,X,X,X,X,X,X
ILTSOZJ,O,O,X,X,X,X,X,X
ILTZJSO,O,X,X,O,X,X,O,X
ILTZJOS,X,O,O,O,X,X,O,X
ILTZSJO,O,O,X,X,X,X,X,X
ILTZSOJ,O,O,X,X,X,X,X,X
ILTZOJS,X,O,X,X,X,X,X,X
ILTZOSJ,O,O,X,X,X,X,X,X
ILTOJSZ,X,X,X,O,X,X,O,X
ILTOJZS,X,O,X,O,X,X,O,X
ILTOSJZ,X,O,X,X,X,X,X,X
ILTOSZJ,O,O,X,X,X,X,X,X
ILTOZJS,X,O,X,X,X,X,X,X
ILTOZSJ,O,O,X,X,X,X,X,X
ILJTSZO,X,X,X,O,X,X,O,X
ILJTSOZ,X,X,X,O,X,X,O,X
ILJTZSO,X,X,X,O,X,X,O,X
ILJTZOS,X,X,X,O,X,X,O,X
ILJTOSZ,X,X,X,O,X,X,O,X
ILJTOZS,X,X,X,O,X,X,O,X
ILJSTZO,X,X,X,O,X,X,X,X
ILJSTOZ,X,X,X,O,X,X,X,X
ILJSZTO,X,X,X,O,X,X,X,X
ILJSZOT,X,X,X,O,X,O,X,X
ILJSOTZ,X,X,X,O,X,X,X,X
ILJSOZT,X,X,X,O,X,O,X,X
ILJZTSO,X,X,X,O,O,X,X,X
ILJZTOS,X,X,O,O,O,X,X,X
ILJZSTO,X,X,X,O,O,X,X,X
ILJZSOT,X,X,X,O,O,O,X,X
ILJZOTS,X,X,O,O,O,X,X,X
ILJZOST,X,X,X,O,O,O,X,X
ILJOTSZ,X,X,X,O,X,X,O,X
ILJOTZS,X,X,X,O,X,X,O,X
ILJOSTZ,X,X,X,O,X,X,X,X
ILJOSZT,X,X,X,O,X,O,X,X
ILJOZTS,X,X,O,O,O,X,X,X
ILJOZST,X,X,X,O,O,O,X,X
ILSTJZO,O,O,X,O,X,X,X,X
ILSTJOZ,X,O,X,O,X,X,X,X
ILSTZJO,O,O,X,X,O,X,X,X
ILSTZOJ,O,O,X,X,X,X,X,X
ILSTOJZ,X,O,X,X,X,X,X,X
ILSTOZJ,O,O,X,X,X,X,X,X
ILSJTZO,X,O,X,O,X,X,X,X
ILSJTOZ,X,O,X,O,X,X,X,X
ILSJZTO,X,X,X,O,O,X,X,X
ILSJZOT,X,X,X,O,O,O,X,X
ILSJOTZ,X,O,X,O,X,X,X,X
ILSJOZT,X,X,X,O,X,O,X,X
ILSZTJO,O,O,X,X,O,X,X,X
ILSZTOJ,O,O,X,X,X,X,X,X
ILSZJTO,X,X,X,X,O,X,X,X
ILSZJOT,X,X,X,X,O,O,X,X
ILSZOTJ,O,O,X,X,X,X,X,X
ILSZOJT,X,X,X,X,O,O,X,X
ILSOTJZ,O,O,X,X,X,X,X,X
ILSOTZJ,O,O,X,X,X,X,X,X
ILSOJTZ,X,O,X,X,X,X,X,X
ILSOJZT,X,X,X,X,X,O,X,X
ILSOZTJ,O,O,X,X,X,X,X,X
ILSOZJT,X,X,X,X,O,O,X,X
ILZTJSO,O,X,X,O,X,X,X,X
ILZTJOS,X,O,O,O,X,X,X,X
ILZTSJO,O,O,X,X,X,X,X,X
ILZTSOJ,O,O,X,X,X,X,X,X
ILZTOJS,X,O,X,X,X,X,X,X
ILZTOSJ,O,O,X,X,X,X,X,X
ILZJTSO,X,X,X,O,O,X,X,X
ILZJTOS,X,X,O,O,O,X,X,O
ILZJSTO,X,X,X,O,O,X,X,X
ILZJSOT,X,X,X,O,O,O,X,O
ILZJOTS,X,X,O,O,O,X,X,O
ILZJOST,X,X,X,O,O,O,X,O
ILZSTJO,O,O,X,X,O,X,X,X
ILZSTOJ,O,O,X,X,X,X,X,X
ILZSJTO,X,X,X,X,O,X,X,X
ILZSJOT,X,X,X,X,O,O,X,X
ILZSOTJ,O,O,X,X,X,X,X,X
ILZSOJT,X,X,X,X,O,O,X,X
ILZOTJS,O,O,X,X,X,X,X,X
ILZOTSJ,O,O,X,X,X,X,X,X
ILZOJTS,X,X,X,X,X,X,X,O
ILZOJST,X,X,X,X,X,O,X,O
ILZOSTJ,O,O,X,X,X,X,X,X
ILZOSJT,X,X,X,X,X,O,X,O
ILOTJSZ,O,X,X,O,X,X,X,X
ILOTJZS,O,O,X,O,X,X,X,X
ILOTSJZ,O,O,X,X,X,X,X,X
ILOTSZJ,O,O,X,X,X,X,X,X
ILOTZJS,O,O,X,X,X,X,X,X
ILOTZSJ,O,O,X,X,X,X,X,X
ILOJTSZ,X,X,X,O,X,X,X,X
ILOJTZS,X,X,X,O,X,X,X,X
ILOJSTZ,X,X,X,O,X,X,X,X
ILOJSZT,X,X,X,O,X,O,X,X
ILOJZTS,X,X,X,O,X,X,X,X
ILOJZST,X,X,X,O,X,O,X,X
ILOSTJZ,O,O,X,X,X,X,X,X
ILOSTZJ,O,O,X,X,X,X,X,X
ILOSJTZ,X,O,X,X,X,X,X,X
ILOSJZT,X,X,X,X,X,O,X,X
ILOSZTJ,O,O,X,X,X,X,X,X
ILOSZJT,X,X,X,X,X,O,X,O
ILOZTJS,O,O,X,X,X,X,X,X
ILOZTSJ,O,O,X,X,X,X,X,X
ILOZJTS,X,X,X,X,X,X,X,O
ILOZJST,X,X,X,X,X,O,X,O
ILOZSTJ,O,O,X,X,X,X,X,X
ILOZSJT,X,X,X,X,X,O,X,O
IJTLSZO,O,X,X,O,X,X,O,X
IJTLSOZ,X,X,X,O,X,X,O,X
IJTLZSO,O,X,X,O,X,X,O,X
IJTLZOS,X,O,X,O,X,X,O,X
IJTLOSZ,X,X,X,O,X,X,O,X
IJTLOZS,X,O,X,O,X,X,O,X
IJTSLZO,O,O,X,O,X,X,O,X
IJTSLOZ,X,O,X,O,X,X,O,X
IJTSZLO,O,O,X,X,X,X,X,X
IJTSZOL,X,O,X,X,X,O,X,X
IJTSOLZ,X,O,X,O,X,X,O,X
IJTSOZL,X,O,X,X,X,O,X,X
IJTZLSO,O,X,X,O,X,X,O,X
IJTZLOS,X,O,O,O,X,X,O,X
IJTZSLO,O,O,X,X,X,X,X,X
IJTZSOL,X,O,O,X,X,O,X,X
IJTZOLS,X,O,O,O,X,X,O,X
IJTZOSL,X,O,O,X,X,O,X,X
IJTOLSZ,X,X,X,O,X,X,O,X
IJTOLZS,X,O,X,O,X,X,O,X
IJTOSLZ,X,O,X,O,X,X,O,X
IJTOSZL,X,O,X,X,X,O,X,X
IJTOZLS,X,O,O,O,X,X,O,X
IJTOZSL,X,O,O,X,X,O,X,X
IJLTSZO,X,X,X,O,X,X,O,X
IJLTSOZ,X,X,X,O,X,X,O,X
IJLTZSO,X,X,X,O,X,X,O,X
IJLTZOS,X,X,X,O,X,X,O,X
IJLTOSZ,X,X,X,O,X,X,O,X
IJLTOZS,X,X,X,O,X,X,O,X
IJLSTZO,X,X,X,O,X,X,X,X
IJLSTOZ,X,X,X,O,X,X,X,X
IJLSZTO,X,X,X,O,X,X,X,X
IJLSZOT,X,X,X,O,X,O,X,X
IJLSOTZ,X,X,X,O,X,X,X,X
IJLSOZT,X,X,X,O,X,O,X,X
IJLZTSO,X,X,X,O,O,X,X,X
IJLZTOS,X,X,O,O,O,X,X,X
IJLZSTO,X,X,X,O,O,X,X,X
IJLZSOT,X,X,X,O,O,O,X,X
IJLZOTS,X,X,O,O,O,X,X,X
IJLZOST,X,X,X,O,O,O,X,X
IJLOTSZ,X,X,X,O,X,X,O,X
IJLOTZS,X,X,X,O,X,X,O,X
IJLOSTZ,X,X,X,O,X,X,X,X
IJLOSZT,X,X,X,O,X,O,X,X
IJLOZTS,X,X,O,O,O,X,X,X
IJLOZST,X,X,X,O,O,O,X,X
IJSTLZO,O,O,X,O,X,X,X,X
IJSTLOZ,X,O,X,O,X,X,X,X
IJSTZLO,O,O,O,X,X,X,X,X
IJSTZOL,X,O,O,X,X,O,X,X
IJSTOLZ,X,O,X,O,X,X,X,X
IJSTOZL,X,O,O,X,X,O,X,X
IJSLTZO,X,O,X,O,X,X,X,X
IJSLTOZ,X,O,X,O,X,X,X,X
IJSLZTO,X,X,O,O,X,X,X,X
IJSLZOT,X,X,O,O,X,O,X,X
IJSLOTZ,X,O,X,O,X,X,X,X
IJSLOZT,X,X,O,O,X,O,X,X
IJSZTLO,O,O,O,X,X,X,X,X
IJSZTOL,X,O,O,X,X,O,X,X
IJSZLTO,X,X,O,X,X,X,X,X
IJSZLOT,X,X,O,X,X,O,X,X
IJSZOTL,O,O,O,X,X,O,X,X
IJSZOLT,X,X,O,X,X,O,X,X
IJSOTLZ,O,O,X,O,X,X,X,X
IJSOTZL,O,O,O,X,X,O,X,X
IJSOLTZ,X,O,X,O,X,X,X,X
IJSOLZT,X,X,O,O,X,O,X,X
IJSOZTL,O,O,O,X,X,O,X,X
IJSOZLT,X,X,O,X,X,O,X,X
IJZTLSO,O,X,X,O,X,X,X,X
IJZTLOS,X,O,O,O,X,X,X,X
IJZTSLO,O,O,O,X,X,X,X,X
IJZTSOL,X,O,O,X,X,O,X,X
IJZTOLS,X,O,O,O,X,X,X,X
IJZTOSL,X,O,O,X,X,O,X,X
IJZLTSO,X,X,X,O,O,X,X,X
IJZLTOS,X,X,O,O,O,X,X,X
IJZLSTO,X,X,X,O,O,X,X,X
IJZLSOT,X,X,X,O,O,O,X,X
IJZLOTS,X,X,O,O,O,X,X,X
IJZLOST,X,X,X,O,O,O,X,X
IJZSTLO,O,O,O,X,X,X,X,X
IJZSTOL,X,O,O,X,O,O,X,X
IJZSLTO,X,X,O,X,O,X,X,X
IJZSLOT,X,X,O,X,O,O,X,X
IJZSOTL,O,O,O,X,O,O,X,X
IJZSOLT,X,X,O,X,O,O,X,X
IJZOTLS,O,O,O,O,X,X,X,X
IJZOTSL,O,O,O,X,X,O,X,X
IJZOLTS,X,X,O,O,O,X,X,X
IJZOLST,X,X,X,O,O,O,X,X
IJZOSTL,O,O,O,X,O,O,X,X
IJZOSLT,X,X,O,X,O,O,X,X
IJOTLSZ,O,X,X,O,X,X,O,X
IJOTLZS,O,O,X,O,X,X,O,X
IJOTSLZ,O,O,X,O,X,X,O,X
IJOTSZL,O,O,X,X,X,O,X,X
IJOTZLS,O,O,O,O,X,X,O,X
IJOTZSL,O,O,O,X,X,O,X,X
IJOLTSZ,X,X,X,O,X,X,O,X
IJOLTZS,X,X,X,O,X,X,O,X
IJOLSTZ,X,X,X,O,X,X,X,X
IJOLSZT,X,X,X,O,X,O,X,X
IJOLZTS,X,X,O,O,O,X,X,X
IJOLZST,X,X,X,O,O,O,X,X
IJOSTLZ,O,O,X,O,X,X,X,X
IJOSTZL,O,O,O,X,X,O,X,X
IJOSLTZ,X,O,X,O,X,X,X,X
IJOSLZT,X,X,O,O,X,O,X,X
IJOSZTL,O,O,O,X,X,O,X,X
IJOSZLT,X,X,O,X,X,O,X,X
IJOZTLS,O,O,O,O,X,X,X,X
IJOZTSL,O,O,O,X,X,O,X,X
IJOZLTS,X,X,O,O,O,X,X,X
IJOZLST,X,X,X,O,O,O,X,X
IJOZSTL,O,O,O,X,O,O,X,X
IJOZSLT,X,X,O,X,O,O,X,X
ISTLJZO,O,O,X,O,X,X,X,X
ISTLJOZ,X,O,X,O,X,X,X,X
ISTLZJO,O,O,O,X,X,X,X,X
ISTLZOJ,O,O,X,X,X,X,X,X
ISTLOJZ,X,O,X,X,X,X,X,X
ISTLOZJ,O,O,X,X,X,X,X,X
ISTJLZO,O,O,X,O,X,X,X,X
ISTJLOZ,X,O,X,O,X,X,X,X
ISTJZLO,O,O,O,X,X,X,X,X
ISTJZOL,X,O,O,X,X,O,X,X
ISTJOLZ,X,O,X,O,X,X,X,X
ISTJOZL,X,O,O,X,X,O,X,X
ISTZLJO,O,O,O,X,X,X,X,X
ISTZLOJ,O,O,X,X,X,X,X,X
ISTZJLO,O,O,O,X,X,X,X,X
ISTZJOL,X,O,O,X,O,O,X,X
ISTZOLJ,O,O,X,X,X,X,X,X
ISTZOJL,O,O,O,X,X,O,X,X
ISTOLJZ,O,O,X,X,X,X,X,X
ISTOLZJ,O,O,X,X,X,X,X,X
ISTOJLZ,O,O,X,X,X,X,X,X
ISTOJZL,O,O,X,X,X,O,X,X
ISTOZLJ,O,O,X,X,X,X,X,X
ISTOZJL,O,O,O,X,X,O,X,X
