sequence,v115@GhA8IeA8CeA8EeB8BeG8JeOEJvhFXgBVmBUiBaoBzp?BxwB,v115@GhA8IeA8CeA8EeB8BeG8Jel/IvhFUhBRiB/pBOqByw?BzsB,v115@GhA8IeA8CeA8EeB8BeG8JeT/IvhFOlBXhBVnBaoB0p?BxwB,v115@GhA8IeA8CeA8EeB8BeG8Jei/IvhFRhBFlBTmBmnB3n?B0pB,v115@GhA8IeA8CeA8EeB8BeG8JexAJvhFmiBTkBilB3mB1s?B0pB,v115@GhA8IeA8CeA8EeB8BeG8JeUBJvhFRiB/pBFlByrBzn?BmpB
IOTZSLJ,O,X,O,O,X,X
IOTZSJL,O,X,O,O,X,X
IOLTJSZ,O,O,X,O,O,X
IOLTJZS,O,O,X,O,X,X
IOLTSJZ,O,O,O,O,O,O
IOLTSZJ,O,O,O,X,O,O
IOLTZJS,O,O,O,O,X,X
IOLTZSJ,O,O,O,X,X,O
IOLJTSZ,O,O,X,O,X,X
IOLJTZS,O,O,X,O,X,X
IOLJSTZ,O,O,X,X,O,O
IOLJSZT,O,O,X,X,X,O
IOLJZTS,O,O,X,O,X,X
IOLJZST,O,O,X,X,X,O
IOLSTJZ,O,O,X,X,O,O
IOLSTZJ,O,O,X,X,O,O
IOLSJTZ,O,O,X,X,O,O
IOLSJZT,O,O,X,X,X,O
IOLSZTJ,O,O,X,X,O,O
IOLSZJT,O,O,X,X,X,O
IOLZTJS,O,O,O,O,X,X
IOLZTSJ,O,O,O,O,X,O
IOLZJTS,O,O,O,O,X,X
IOLZJST,O,O,O,X,X,O
IOLZSTJ,O,O,O,X,O,O
IOLZSJT,O,O,O,X,X,O
IOJTLSZ,O,O,X,O,X,X
IOJTLZS,O,O,X,O,X,X
IOJTSLZ,O,O,X,O,X,X
IOJTSZL,O,O,X,X,X,X
IOJTZLS,O,X,X,O,X,X
IOJTZSL,O,O,X,O,X,X
IOJLTSZ,O,O,X,O,X,X
IOJLTZS,O,O,X,O,X,X
IOJLSTZ,O,O,X,X,X,O
IOJLSZT,O,O,X,X,X,O
IOJLZTS,O,O,X,O,X,X
IOJLZST,O,O,X,X,X,O
IOJSTLZ,O,O,X,O,X,O
IOJSTZL,O,O,X,X,X,X
IOJSLTZ,O,O,X,X,X,O
IOJSLZT,O,O,X,X,X,O
IOJSZTL,O,O,X,O,X,X
IOJSZLT,O,O,X,X,X,X
IOJZTLS,O,X,X,O,X,X
IOJZTSL,O,O,X,O,X,X
IOJZLTS,O,O,X,O,X,X
IOJZLST,O,O,X,X,X,X
IOJZSTL,O,O,X,O,X,X
IOJZSLT,O,O,X,X,X,X
IOSTLJZ,O,O,O,O,O,O
IOSTLZJ,O,O,O,X,O,O
IOSTJLZ,O,O,O,O,O,O
IOSTJZL,O,O,O,X,X,X
IOSTZLJ,O,O,O,X,X,O
IOSTZJL,O,X,O,X,X,X
IOSLTJZ,O,O,X,X,O,O
IOSLTZJ,O,O,X,X,O,O
IOSLJTZ,O,O,X,X,O,O
IOSLJZT,O,O,X,X,X,O
IOSLZTJ,O,O,X,X,O,O
IOSLZJT,O,O,X,X,X,O
IOSJTLZ,O,O,O,O,X,O
IOSJTZL,O,O,O,X,X,X
IOSJLTZ,O,O,X,X,X,O
IOSJLZT,O,O,X,X,X,O
IOSJZTL,O,O,O,O,X,X
IOSJZLT,O,O,O,X,X,X
IOSZTLJ,O,O,O,O,X,O
IOSZTJL,O,X,O,O,X,X
IOSZLTJ,O,O,O,X,X,O
IOSZLJT,O,O,O,X,X,O
IOSZJTL,O,O,O,O,X,X
IOSZJLT,O,O,O,X,X,X
IOZTLJS,O,X,O,O,X,X
IOZTLSJ,O,X,O,O,X,X
IOZTJLS,O,X,O,O,X,X
IOZTJSL,O,X,O,O,X,X
IOZTSLJ,O,X,O,O,X,X
IOZTSJL,O,X,O,O,X,X
IOZLTJS,O,O,O,O,X,X
IOZLTSJ,O,O,O,O,X,O
IOZLJTS,O,O,O,O,X,X
IOZLJST,O,O,O,X,X,O
IOZLSTJ,O,O,O,X,X,O
IOZLSJT,O,O,O,X,X,O
IOZJTLS,O,X,O,O,X,X
IOZJTSL,O,O,O,O,X,X
IOZJLTS,O,O,O,O,X,X
IOZJLST,O,O,O,X,X,X
IOZJSTL,O,O,O,O,X,X
IOZJSLT,O,O,O,X,X,X
IOZSTLJ,O,O,O,O,X,O
IOZSTJL,O,X,O,O,X,X
IOZSLTJ,O,O,O,X,X,O
IOZSLJT,O,O,O,X,X,O
IOZSJTL,O,O,O,O,X,X
IOZSJLT,O,O,O,X,X,X
LTIJSZO,O,O,O,X,O,X
LTIJSOZ,O,O,O,X,O,X
LTIJZSO,O,O,O,X,X,X
LTIJZOS,O,X,O,X,X,X
LTIJOSZ,O,X,X,O,O,X
LTIJOZS,O,X,X,O,X,X
LTISJZO,O,O,O,X,O,X
LTISJOZ,O,O,O,X,O,X
LTISZJO,O,O,O,X,O,X
LTISZOJ,O,O,O,X,O,X
LTISOJZ,O,X,O,O,O,X
LTISOZJ,O,O,O,X,O,X
LTIZJSO,O,O,O,X,X,X
LTIZJOS,O,X,O,X,X,X
LTIZSJO,O,O,O,X,X,X
LTIZSOJ,O,O,O,X,X,X
LTIZOJS,O,X,O,O,X,X
LTIZOSJ,O,X,O,X,X,X
LTIOJSZ,O,X,X,O,O,X
LTIOJZS,O,X,X,O,X,X
LTIOSJZ,O,X,O,O,O,X
LTIOSZJ,O,X,O,X,O,X
LTIOZJS,O,X,O,O,X,X
LTIOZSJ,O,X,O,X,X,X
LTJISZO,O,O,X,X,O,X
LTJISOZ,O,O,X,X,O,X
LTJIZSO,O,O,X,X,X,X
LTJIZOS,O,X,X,X,X,X
LTJIOSZ,O,X,X,O,O,X
LTJIOZS,O,X,X,O,X,X
LTJSIZO,O,O,X,X,O,X
LTJSIOZ,O,O,X,X,O,X
LTJSZIO,O,O,X,X,O,X
LTJSZOI,O,O,X,X,O,X
LTJSOIZ,X,O,X,O,O,X
LTJSOZI,O,O,X,O,O,X
LTJZISO,O,O,X,X,X,X
LTJZIOS,O,X,X,X,X,X
LTJZSIO,O,O,X,X,O,X
LTJZSOI,O,O,X,X,O,X
LTJZOIS,O,O,X,O,X,X
LTJZOSI,O,O,X,O,O,X
LTJOISZ,O,O,X,O,O,X
LTJOIZS,O,O,X,O,X,X
LTJOSIZ,O,O,X,O,O,X
LTJOSZI,O,O,X,O,O,X
LTJOZIS,O,O,X,O,X,X
LTJOZSI,O,O,X,O,O,X
LTSIJZO,O,O,X,X,O,X
LTSIJOZ,O,O,X,X,O,X
LTSIZJO,O,O,X,X,O,X
LTSIZOJ,O,O,X,X,O,O
LTSIOJZ,O,O,X,O,O,O
LTSIOZJ,O,O,X,X,O,O
LTSJIZO,O,O,X,X,O,X
LTSJIOZ,O,O,X,X,O,X
LTSJZIO,O,O,X,X,O,X
LTSJZOI,O,O,X,X,O,O
LTSJOIZ,X,O,X,O,O,O
LTSJOZI,O,O,X,O,O,O
LTSZIJO,O,O,X,X,O,X
LTSZIOJ,O,O,X,X,O,O
LTSZJIO,O,O,X,X,O,X
LTSZJOI,O,O,X,X,O,O
LTSZOIJ,O,O,X,X,O,O
LTSZOJI,O,O,X,X,O,O
LTSOIJZ,O,O,X,O,O,O
LTSOIZJ,O,O,X,X,O,O
LTSOJIZ,O,O,X,O,O,O
LTSOJZI,O,O,X,O,O,O
LTSOZIJ,O,O,X,X,O,O
LTSOZJI,O,O,X,X,O,O
LTZIJSO,O,O,O,X,X,X
LTZIJOS,O,X,O,X,X,X
LTZISJO,O,O,O,X,X,X
LTZISOJ,O,O,O,X,X,X
LTZIOJS,O,X,O,O,X,X
LTZIOSJ,O,X,O,X,X,X
LTZJISO,O,O,O,X,X,X
LTZJIOS,O,X,O,X,X,X
LTZJSIO,O,O,X,X,O,X
LTZJSOI,O,O,X,X,O,X
LTZJOIS,O,O,O,O,X,X
LTZJOSI,O,O,X,O,O,X
LTZSIJO,O,O,X,X,O,X
LTZSIOJ,O,O,X,X,O,O
LTZSJIO,O,O,X,X,O,X
LTZSJOI,O,O,X,X,O,O
LTZSOIJ,O,O,X,X,O,O
LTZSOJI,O,O,X,X,O,O
LTZOIJS,O,O,O,O,X,X
LTZOISJ,O,O,O,X,X,O
LTZOJIS,O,O,O,O,X,X
LTZOJSI,O,O,X,O,O,X
LTZOSIJ,O,O,X,X,O,O
LTZOSJI,O,O,X,X,O,O
LTOIJSZ,O,O,X,O,O,X
LTOIJZS,O,O,X,O,X,X
LTOISJZ,O,O,X,O,O,O
LTOISZJ,O,O,X,X,O,O
LTOIZJS,O,O,X,O,X,X
LTOIZSJ,O,O,X,X,X,O
LTOJISZ,O,O,X,O,O,X
LTOJIZS,O,O,X,O,X,X
LTOJSIZ,O,O,X,O,O,X
LTOJSZI,O,O,X,O,O,X
LTOJZIS,O,O,X,O,X,X
LTOJZSI,O,O,X,O,O,X
LTOSIJZ,O,O,X,O,O,O
LTOSIZJ,O,O,X,X,O,O
LTOSJIZ,O,O,X,O,O,O
LTOSJZI,O,O,X,O,O,O
LTOSZIJ,O,O,X,X,O,O
LTOSZJI,O,O,X,X,O,O
LTOZIJS,O,O,X,O,X,X
LTOZISJ,O,O,X,X,X,O
LTOZJIS,O,O,X,O,X,X
LTOZJSI,O,O,X,O,O,X
LTOZSIJ,O,O,X,X,O,O
LTOZSJI,O,O,X,X,O,O
LITJSZO,O,O,O,X,O,X
LITJSOZ,O,O,O,X,O,X
LITJZSO,O,O,O,X,X,X
LITJZOS,O,X,O,X,X,X
LITJOSZ,O,X,X,X,O,X
LITJOZS,O,X,X,X,X,X
LITSJZO,O,O,O,X,O,X
LITSJOZ,O,O,O,X,O,X
LITSZJO,O,O,O,X,O,X
LITSZOJ,O,O,O,X,O,X
LITSOJZ,O,X,O,X,O,X
LITSOZJ,O,O,O,X,O,X
LITZJSO,O,O,O,X,X,X
LITZJOS,O,X,O,X,X,X
LITZSJO,O,O,O,X,X,X
LITZSOJ,O,O,O,X,X,X
LITZOJS,O,X,O,X,X,X
LITZOSJ,O,X,O,X,X,X
LITOJSZ,O,X,X,X,O,X
LITOJZS,O,X,X,X,X,X
LITOSJZ,O,X,O,X,O,X
LITOSZJ,O,X,O,X,O,X
LITOZJS,O,X,O,X,X,X
LITOZSJ,O,X,O,X,X,X
LIJTSZO,O,O,O,X,X,X
LIJTSOZ,O,O,O,X,X,X
LIJTZSO,O,O,O,X,X,X
LIJTZOS,O,X,O,X,X,X
LIJTOSZ,O,X,X,X,X,X
LIJTOZS,O,X,X,X,X,X
LIJSTZO,O,O,X,X,O,X
LIJSTOZ,O,O,X,X,O,X
LIJSZTO,O,O,X,X,X,X
LIJSZOT,X,O,X,X,X,X
LIJSOTZ,X,O,X,X,O,X
LIJSOZT,X,O,X,X,X,X
LIJZTSO,O,O,O,X,X,X
LIJZTOS,O,X,O,X,X,X
LIJZSTO,O,O,O,X,X,X
LIJZSOT,X,O,O,X,X,X
LIJZOTS,O,O,O,X,X,X
LIJZOST,O,O,O,X,X,X
LIJOTSZ,O,O,X,X,X,X
LIJOTZS,O,O,X,X,X,X
LIJOSTZ,O,O,X,X,O,X
LIJOSZT,O,O,X,X,X,X
LIJOZTS,O,O,X,X,X,X
LIJOZST,O,O,X,X,X,X
LISTJZO,O,O,O,X,O,X
LISTJOZ,O,O,O,X,O,X
LISTZJO,O,O,O,X,O,X
LISTZOJ,O,O,O,X,O,O
LISTOJZ,O,O,O,X,O,O
LISTOZJ,O,O,O,X,O,O
LISJTZO,O,O,O,X,O,X
LISJTOZ,O,O,O,X,O,X
LISJZTO,O,O,O,X,X,X
LISJZOT,X,O,O,X,X,X
LISJOTZ,X,O,X,X,O,X
LISJOZT,X,O,X,X,X,X
LISZTJO,O,O,O,X,O,X
LISZTOJ,O,O,O,X,O,O
LISZJTO,O,O,O,X,X,X
LISZJOT,X,O,O,X,X,X
LISZOTJ,O,O,O,X,O,O
LISZOJT,O,O,O,X,X,O
LISOTJZ,O,O,X,X,O,O
LISOTZJ,O,O,X,X,O,O
LISOJTZ,O,O,X,X,O,O
LISOJZT,O,O,X,X,X,O
LISOZTJ,O,O,X,X,O,O
LISOZJT,O,O,X,X,X,O
LIZTJSO,O,O,O,X,X,X
LIZTJOS,O,X,O,X,X,X
LIZTSJO,O,O,O,X,X,X
LIZTSOJ,O,O,O,X,X,X
LIZTOJS,O,X,O,X,X,X
LIZTOSJ,O,X,O,X,X,X
LIZJTSO,O,O,O,X,X,X
LIZJTOS,O,X,O,X,X,X
LIZJSTO,O,O,O,X,X,X
LIZJSOT,X,O,O,X,X,X
LIZJOTS,O,O,O,X,X,X
LIZJOST,O,O,O,X,X,X
LIZSTJO,O,O,O,X,O,X
LIZSTOJ,O,O,O,X,O,O
LIZSJTO,O,O,O,X,X,X
LIZSJOT,X,O,O,X,X,X
LIZSOTJ,O,O,O,X,O,O
LIZSOJT,O,O,O,X,X,O
LIZOTJS,O,O,O,X,X,X
LIZOTSJ,O,O,O,X,X,O
LIZOJTS,O,O,O,X,X,X
LIZOJST,O,O,O,X,X,O
LIZOSTJ,O,O,O,X,O,O
LIZOSJT,O,O,O,X,X,O
LIOTJSZ,O,O,X,X,O,X
LIOTJZS,O,O,X,X,X,X
LIOTSJZ,O,O,O,X,O,O
LIOTSZJ,O,O,O,X,O,O
LIOTZJS,O,O,O,X,X,X
LIOTZSJ,O,O,O,X,X,O
LIOJTSZ,O,O,X,X,X,X
LIOJTZS,O,O,X,X,X,X
LIOJSTZ,O,O,X,X,O,O
LIOJSZT,O,O,X,X,X,O
LIOJZTS,O,O,X,X,X,X
LIOJZST,O,O,X,X,X,O
LIOSTJZ,O,O,X,X,O,O
LIOSTZJ,O,O,X,X,O,O
LIOSJTZ,O,O,X,X,O,O
LIOSJZT,O,O,X,X,X,O
LIOSZTJ,O,O,X,X,O,O
LIOSZJT,O,O,X,X,X,O
LIOZTJS,O,O,O,X,X,X
LIOZTSJ,O,O,O,X,X,O
LIOZJTS,O,O,O,X,X,X
LIOZJST,O,O,O,X,X,O
LIOZSTJ,O,O,O,X,O,O
LIOZSJT,O,O,O,X,X,O
LJTISZO,O,O,X,X,O,X
LJTISOZ,O,O,X,X,O,X
LJTIZSO,O,O,X,X,X,X
LJTIZOS,O,X,X,X,X,X
LJTIOSZ,O,X,X,O,O,X
LJTIOZS,O,X,X,O,X,X
LJTSIZO,O,O,X,X,O,X
LJTSIOZ,O,O,X,X,O,X
LJTSZIO,O,O,X,X,O,X
LJTSZOI,O,O,X,X,O,X
LJTSOIZ,X,O,X,O,O,X
LJTSOZI,O,O,X,O,O,X
LJTZISO,O,O,X,X,X,X
LJTZIOS,O,X,X,X,X,X
LJTZSIO,O,O,X,X,O,X
LJTZSOI,O,O,X,X,O,X
LJTZOIS,O,O,X,O,X,X
LJTZOSI,O,O,X,O,O,X
LJTOISZ,O,O,X,O,O,X
LJTOIZS,O,O,X,O,X,X
LJTOSIZ,O,O,X,O,O,X
LJTOSZI,O,O,X,O,O,X
LJTOZIS,O,O,X,O,X,X
LJTOZSI,O,O,X,O,O,X
LJITSZO,O,O,O,X,X,X
LJITSOZ,O,O,O,X,X,X
LJITZSO,O,O,O,X,X,X
LJITZOS,O,X,O,X,X,X
LJITOSZ,O,X,X,X,X,X
LJITOZS,O,X,X,X,X,X
LJISTZO,O,O,X,X,O,X
LJISTOZ,O,O,X,X,O,X
LJISZTO,O,O,X,X,X,X
LJISZOT,X,O,X,X,X,X
LJISOTZ,X,O,X,X,O,X
LJISOZT,X,O,X,X,X,X
LJIZTSO,O,O,O,X,X,X
LJIZTOS,O,X,O,X,X,X
LJIZSTO,O,O,O,X,X,X
LJIZSOT,X,O,O,X,X,X
LJIZOTS,O,O,O,X,X,X
LJIZOST,O,O,O,X,X,X
LJIOTSZ,O,O,X,X,X,X
LJIOTZS,O,O,X,X,X,X
LJIOSTZ,O,O,X,X,O,X
LJIOSZT,O,O,X,X,X,X
LJIOZTS,O,O,X,X,X,X
LJIOZST,O,O,X,X,X,X
LJSTIZO,O,O,X,X,O,X
LJSTIOZ,X,O,X,X,O,X
LJSTZIO,O,O,X,X,O,X
LJSTZOI,O,O,X,X,O,O
LJSTOIZ,X,O,X,X,O,O
LJSTOZI,O,O,X,X,O,O
LJSITZO,O,O,X,X,O,X
LJSITOZ,O,O,X,X,O,X
LJSIZTO,O,O,X,X,X,X
LJSIZOT,X,O,X,X,X,X
LJSIOTZ,X,O,X,X,O,X
LJSIOZT,X,O,X,X,X,X
LJSZTIO,X,O,X,X,X,X
LJSZTOI,X,O,X,X,X,O
LJSZITO,X,O,X,X,X,X
LJSZIOT,X,O,X,X,X,X
LJSZOTI,X,O,X,X,X,O
LJSZOIT,X,O,X,X,X,O
LJSOTIZ,X,O,X,X,O,O
LJSOTZI,X,O,X,X,O,O
LJSOITZ,X,O,X,X,O,O
LJSOIZT,X,O,X,X,X,O
LJSOZTI,X,O,X,X,X,O
LJSOZIT,X,O,X,X,X,O
LJZTISO,O,O,O,X,X,X
LJZTIOS,X,X,O,O,X,X
LJZTSIO,O,O,X,X,X,X
LJZTSOI,O,O,X,O,X,X
LJZTOIS,X,O,O,O,X,X
LJZTOSI,O,O,X,O,X,X
LJZITSO,O,O,O,X,X,X
LJZITOS,O,X,O,X,X,X
LJZISTO,O,O,O,X,X,X
LJZISOT,X,O,O,X,X,X
LJZIOTS,O,O,O,X,X,X
LJZIOST,X,O,O,X,X,X
LJZSTIO,X,O,X,X,X,X
LJZSTOI,X,O,X,X,X,O
LJZSITO,X,O,O,X,X,X
LJZSIOT,X,O,O,X,X,X
LJZSOTI,X,O,X,X,X,O
LJZSOIT,X,O,O,X,X,O
LJZOTIS,X,O,O,O,X,X
LJZOTSI,X,O,X,O,X,X
LJZOITS,X,O,O,O,X,X
LJZOIST,X,O,O,X,X,O
LJZOSTI,X,O,X,X,X,O
LJZOSIT,X,O,O,X,X,O
LJOTISZ,O,O,X,O,O,X
LJOTIZS,O,O,X,O,X,X
LJOTSIZ,O,O,X,O,O,X
LJOTSZI,O,O,X,O,O,X
LJOTZIS,O,O,X,O,X,X
LJOTZSI,O,O,X,O,O,X
LJOITSZ,O,O,X,O,X,X
LJOITZS,O,O,X,O,X,X
LJOISTZ,O,O,X,X,O,O
LJOISZT,O,O,X,X,X,O
LJOIZTS,O,O,X,O,X,X
LJOIZST,O,O,X,X,X,O
LJOSTIZ,O,O,X,X,O,O
LJOSTZI,O,O,X,X,O,O
LJOSITZ,O,O,X,X,O,O
LJOSIZT,O,O,X,X,X,O
LJOSZTI,O,O,X,X,X,O
LJOSZIT,O,O,X,X,X,O
LJOZTIS,O,O,X,O,X,X
LJOZTSI,O,O,X,O,X,X
LJOZITS,O,O,X,O,X,X
LJOZIST,O,O,X,X,X,O
LJOZSTI,O,O,X,X,X,O
LJOZSIT,O,O,X,X,X,O
LSTIJZO,O,O,X,X,O,X
LSTIJOZ,X,O,X,X,O,X
LSTIZJO,O,O,X,X,O,X
LSTIZOJ,X,O,X,X,O,O
LSTIOJZ,X,O,X,X,O,O
LSTIOZJ,X,O,X,X,O,O
LSTJIZO,O,O,X,X,O,X
LSTJIOZ,X,O,X,X,O,X
LSTJZIO,O,O,X,X,O,X
LSTJZOI,O,O,X,X,O,O
LSTJOIZ,X,O,X,X,O,O
LSTJOZI,O,O,X,X,O,O
LSTZIJO,O,O,X,X,O,X
LSTZIOJ,X,O,X,X,O,O
LSTZJIO,O,O,X,X,O,X
LSTZJOI,O,O,X,X,O,O
LSTZOIJ,O,O,X,X,O,O
LSTZOJI,O,O,X,X,O,O
LSTOIJZ,O,O,X,X,O,O
LSTOIZJ,O,O,X,X,O,O
LSTOJIZ,O,O,X,X,O,O
LSTOJZI,O,O,X,X,O,O
LSTOZIJ,O,O,X,X,O,O
LSTOZJI,O,O,X,X,O,O
LSITJZO,O,O,O,X,O,X
LSITJOZ,O,O,O,X,O,X
LSITZJO,O,O,O,X,O,X
LSITZOJ,O,O,O,X,O,O
LSITOJZ,O,O,O,X,O,O
LSITOZJ,O,O,O,X,O,O
LSIJTZO,O,O,O,X,O,X
LSIJTOZ,O,O,O,X,O,X
LSIJZTO,O,O,O,X,X,X
LSIJZOT,X,O,O,X,X,X
LSIJOTZ,X,O,X,X,O,X
LSIJOZT,X,O,X,X,X,X
LSIZTJO,O,O,O,X,O,X
LSIZTOJ,O,O,O,X,O,O
LSIZJTO,O,O,O,X,X,X
LSIZJOT,X,O,O,X,X,X
LSIZOTJ,O,O,O,X,O,O
LSIZOJT,O,O,O,X,X,O
LSIOTJZ,O,O,X,X,O,O
LSIOTZJ,O,O,X,X,O,O
LSIOJTZ,O,O,X,X,O,O
LSIOJZT,O,O,X,X,X,O
LSIOZTJ,O,O,X,X,O,O
LSIOZJT,O,O,X,X,X,O
LSJTIZO,O,O,X,X,O,X
LSJTIOZ,X,O,X,X,O,X
LSJTZIO,O,O,X,X,O,X
LSJTZOI,O,O,X,X,O,O
LSJTOIZ,X,O,X,X,O,O
LSJTOZI,O,O,X,X,O,O
LSJITZO,O,O,O,X,O,X
LSJITOZ,O,O,O,X,O,X
LSJIZTO,O,O,O,X,X,X
LSJIZOT,X,O,O,X,X,X
LSJIOTZ,X,O,X,X,O,X
LSJIOZT,X,O,X,X,X,X
LSJZTIO,X,O,X,X,X,X
LSJZTOI,X,O,X,X,X,O
LSJZITO,X,O,O,X,X,X
LSJZIOT,X,O,O,X,X,X
LSJZOTI,X,O,X,X,X,O
LSJZOIT,X,O,O,X,X,O
LSJOTIZ,X,O,X,X,O,O
LSJOTZI,X,O,X,X,O,O
LSJOITZ,X,O,X,X,O,O
LSJOIZT,X,O,X,X,X,O
LSJOZTI,X,O,X,X,X,O
LSJOZIT,X,O,X,X,X,O
LSZTIJO,X,O,X,X,O,X
LSZTIOJ,X,O,X,X,O,O
LSZTJIO,X,O,X,X,O,X
LSZTJOI,X,O,X,X,O,O
LSZTOIJ,X,O,X,X,O,O
LSZTOJI,X,O,X,X,O,O
LSZITJO,X,O,O,X,O,X
LSZITOJ,X,O,O,X,O,O
LSZIJTO,X,O,O,X,X,X
LSZIJOT,X,O,O,X,X,X
LSZIOTJ,X,O,O,X,O,O
LSZIOJT,X,O,O,X,X,O
LSZJTIO,X,O,X,X,X,X
LSZJTOI,X,O,X,X,X,O
LSZJITO,X,O,O,X,X,X
LSZJIOT,X,O,O,X,X,X
LSZJOTI,X,O,X,X,X,O
LSZJOIT,X,O,O,X,X,O
LSZOTIJ,X,O,X,X,O,O
LSZOTJI,X,O,X,X,O,O
LSZOITJ,X,O,O,X,O,O
LSZOIJT,X,O,O,X,X,O
LSZOJTI,X,O,X,X,X,O
LSZOJIT,X,O,O,X,X,O
LSOTIJZ,O,O,X,X,O,O
LSOTIZJ,O,O,X,X,O,O
LSOTJIZ,O,O,X,X,O,O
LSOTJZI,O,O,X,X,O,O
LSOTZIJ,O,O,X,X,O,O
LSOTZJI,O,O,X,X,O,O
LSOITJZ,O,O,X,X,O,O
LSOITZJ,O,O,X,X,O,O
LSOIJTZ,O,O,X,X,O,O
LSOIJZT,O,O,X,X,X,O
LSOIZTJ,O,O,X,X,O,O
LSOIZJT,O,O,X,X,X,O
LSOJTIZ,O,O,X,X,O,O
LSOJTZI,O,O,X,X,O,O
LSOJITZ,O,O,X,X,O,O
LSOJIZT,O,O,X,X,X,O
LSOJZTI,O,O,X,X,X,O
LSOJZIT,O,O,X,X,X,O
LSOZTIJ,O,O,X,X,O,O
LSOZTJI,O,O,X,X,O,O
LSOZITJ,O,O,X,X,O,O
LSOZIJT,O,O,X,X,X,O
LSOZJTI,O,O,X,X,X,O
LSOZJIT,O,O,X,X,X,O
LZTIJSO,O,O,O,X,X,X
LZTIJOS,X,X,O,O,X,X
LZTISJO,O,O,O,X,X,X
LZTISOJ,X,O,O,O,X,X
LZTIOJS,O,X,O,O,X,X
LZTIOSJ,O,X,O,O,X,X
LZTJISO,O,O,O,X,X,X
LZTJIOS,X,X,O,O,X,X
LZTJSIO,O,O,X,X,O,X
LZTJSOI,O,O,X,O,O,X
LZTJOIS,O,O,O,O,X,X
LZTJOSI,O,O,X,O,O,X
LZTSIJO,O,O,X,X,O,X
LZTSIOJ,X,O,X,O,O,O
LZTSJIO,O,O,X,X,O,X
LZTSJOI,O,O,X,O,O,O
LZTSOIJ,O,O,X,O,O,O
LZTSOJI,O,O,X,O,O,O
LZTOIJS,O,O,O,O,X,X
LZTOISJ,O,O,O,O,X,O
LZTOJIS,O,O,O,O,X,X
LZTOJSI,O,O,X,O,O,X
LZTOSIJ,O,O,X,O,O,O
LZTOSJI,O,O,X,O,O,O
LZITJSO,O,O,O,X,X,X
LZITJOS,O,X,O,X,X,X
LZITSJO,O,O,O,X,X,X
LZITSOJ,O,O,O,X,X,X
LZITOJS,O,X,O,X,X,X
LZITOSJ,O,X,O,X,X,X
LZIJTSO,O,O,O,X,X,X
LZIJTOS,O,X,O,X,X,X
LZIJSTO,O,O,O,X,X,X
LZIJSOT,X,O,O,X,X,X
LZIJOTS,O,O,O,X,X,X
LZIJOST,O,O,O,X,X,X
LZISTJO,O,O,O,X,O,X
LZISTOJ,O,O,O,X,O,O
LZISJTO,O,O,O,X,X,X
LZISJOT,X,O,O,X,X,X
LZISOTJ,O,O,O,X,O,O
LZISOJT,O,O,O,X,X,O
LZIOTJS,O,O,O,X,X,X
LZIOTSJ,O,O,O,X,X,O
LZIOJTS,O,O,O,X,X,X
LZIOJST,O,O,O,X,X,O
LZIOSTJ,O,O,O,X,O,O
LZIOSJT,O,O,O,X,X,O
LZJTISO,O,O,O,X,X,X
LZJTIOS,X,X,O,O,X,X
LZJTSIO,O,O,X,X,X,X
LZJTSOI,O,O,X,O,X,X
LZJTOIS,X,O,O,O,X,X
LZJTOSI,O,O,X,O,X,X
LZJITSO,O,O,O,X,X,X
LZJITOS,O,X,O,X,X,X
LZJISTO,O,O,O,X,X,X
LZJISOT,X,O,O,X,X,X
LZJIOTS,O,O,O,X,X,X
LZJIOST,X,O,O,X,X,X
LZJSTIO,X,O,X,X,X,X
LZJSTOI,X,O,X,X,X,O
LZJSITO,X,O,O,X,X,X
LZJSIOT,X,O,O,X,X,X
LZJSOTI,X,O,X,X,X,O
LZJSOIT,X,O,O,X,X,O
LZJOTIS,X,O,O,O,X,X
LZJOTSI,X,O,X,O,X,X
LZJOITS,X,O,O,O,X,X
LZJOIST,X,O,O,X,X,O
LZJOSTI,X,O,X,X,X,O
LZJOSIT,X,O,O,X,X,O
LZSTIJO,X,O,X,X,O,X
LZSTIOJ,X,O,X,X,O,O
LZSTJIO,X,O,X,X,O,X
LZSTJOI,X,O,X,X,O,O
LZSTOIJ,X,O,X,X,O,O
LZSTOJI,X,O,X,X,O,O
LZSITJO,X,O,O,X,O,X
LZSITOJ,X,O,O,X,O,O
LZSIJTO,X,O,O,X,X,X
LZSIJOT,X,O,O,X,X,X
LZSIOTJ,X,O,O,X,O,O
LZSIOJT,X,O,O,X,X,O
LZSJTIO,X,O,X,X,X,X
LZSJTOI,X,O,X,X,X,O
LZSJITO,X,O,O,X,X,X
LZSJIOT,X,O,O,X,X,X
LZSJOTI,X,O,X,X,X,O
LZSJOIT,X,O,O,X,X,O
LZSOTIJ,X,O,X,X,O,O
LZSOTJI,X,O,X,X,O,O
LZSOITJ,X,O,O,X,O,O
LZSOIJT,X,O,O,X,X,O
LZSOJTI,X,O,X,X,X,O
LZSOJIT,X,O,O,X,X,O
LZOTIJS,O,O,O,O,X,X
LZOTISJ,O,O,O,O,X,O
LZOTJIS,O,O,O,O,X,X
LZOTJSI,O,O,X,O,O,X
LZOTSIJ,O,O,X,O,O,O
LZOTSJI,O,O,X,O,O,O
LZOITJS,O,O,O,O,X,X
