sequence,v115@FhB8HeB8FeA8AeB8EeE8Jex/IvhF0hB6nBOpBllBzp?BXrB,v115@FhB8HeB8FeA8AeB8EeE8JeOEJvhFXgB0hB6nB1uBxq?BzqB,v115@FhB8HeB8FeA8AeB8EeE8Jex/IvhF0hB6nBllBmpBXr?BTpB,v115@FhB8HeB8FeA8AeB8EeE8Jex/IvhF6nBOpB0lBlmBzp?BXrB,v115@FhB8HeB8FeA8AeB8EeE8JexAJvhF6nBOpBXlBlmBzq?B0pB,v115@FhB8HeB8FeA8AeB8EeE8JecEJvhFxgB6nBXlBlmBzq?B2uB,v115@FhB8HeB8FeA8AeB8EeE8Je/EJvhFFgB0hB6nB2uBxq?BzqB,v115@FhB8HeB8FeA8AeB8EeE8Jex/IvhF6nB0lBlmBmpBTp?BXrB
TSOIJLZ,O,O,X,X,O,O,X,X
TSOIJZL,O,O,X,X,O,O,X,X
TSOIZLJ,O,O,O,X,O,O,X,X
TSOIZJL,O,O,X,X,O,O,X,X
TSOLIJZ,O,O,X,X,O,O,X,X
TSOLIZJ,O,O,O,X,O,O,X,X
TSOLJIZ,O,O,O,X,O,O,X,X
TSOLJZI,O,O,O,O,O,O,X,X
TSOLZIJ,O,X,O,X,O,O,X,X
TSOLZJI,O,O,O,O,O,O,X,X
TSOJILZ,O,O,O,X,O,O,X,X
TSOJIZL,O,O,O,X,O,O,X,X
TSOJLIZ,O,O,O,X,O,O,X,X
TSOJLZI,O,O,O,O,O,O,X,X
TSOJZIL,O,X,O,O,O,O,X,X
TSOJZLI,O,O,O,O,O,O,X,X
TSOZILJ,O,X,O,X,O,O,X,X
TSOZIJL,O,X,X,X,O,O,X,X
TSOZLIJ,O,X,O,X,O,O,X,X
TSOZLJI,O,O,O,O,O,O,X,X
TSOZJIL,O,X,O,O,O,O,X,X
TSOZJLI,O,O,O,O,O,O,X,X
TZILJSO,X,O,X,X,X,X,O,X
TZILJOS,X,O,X,X,X,X,X,X
TZILSJO,X,O,X,X,X,X,X,X
TZILSOJ,X,O,X,X,X,X,X,X
TZILOJS,X,O,X,X,X,X,X,X
TZILOSJ,X,O,X,X,O,O,X,X
TZIJLSO,X,O,X,X,X,X,O,X
TZIJLOS,X,O,X,X,X,X,X,X
TZIJSLO,X,O,X,X,X,X,O,X
TZIJSOL,X,O,X,X,X,X,O,X
TZIJOLS,X,O,X,X,X,X,X,X
TZIJOSL,X,O,X,X,X,X,X,X
TZISLJO,X,O,X,X,X,X,X,X
TZISLOJ,X,O,X,X,X,X,X,X
