sequence,v115@EhC8HeB8HeC8CeB8BeB8Jel/IvhFRhB/pBOqB8qBCn?BTsB,v115@EhC8HeB8HeC8CeB8BeB8Jex/IvhF/mBUiBikB1qBWv?BTsB,v115@EhC8HeB8HeC8CeB8BeB8JeT/IvhF2lBRhBfsB6sB0p?BlqB,v115@EhC8HeB8HeC8CeB8BeB8JeT/IvhF2lBRhBSsBlpB3q?BUsB,v115@EhC8HeB8HeC8CeB8BeB8Jex/IvhFihBTkBGnBlqBUs?BXqB,v115@EhC8HeB8HeC8CeB8BeB8Jel/IvhFzgB/pBKqBGnBRr?BUsB,v115@EhC8HeB8HeC8CeB8BeB8Jei/IvhFRhB1pB8qBzmB+s?BXqB,v115@EhC8HeB8HeC8CeB8BeB8Je0/IvhFlgB2pBxmB3mBSv?BTsB,v115@EhC8HeB8HeC8CeB8BeB8JeRBJvhF/pBFlB8qBCnBTs?BmpB,v115@EhC8HeB8HeC8CeB8BeB8JeT/IvhFRhByqB0pBGsB/q?BFsB,v115@EhC8HeB8HeC8CeB8BeB8Jel/IvhFanB/pBxlB+sBUm?BTqB,v115@EhC8HeB8HeC8CeB8BeB8Jel/IvhFUhBanB/pB+sBxq?BTqB,v115@EhC8HeB8HeC8CeB8BeB8JeRBJvhFypBzlBGsB/pBFs?BUqB
TLSJIZO,O,O,O,O,X,O,X,X,X,X,X,X,X
TLSJIOZ,X,O,O,O,X,O,X,X,X,X,X,X,X
TLSJZIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TLSJZOI,O,O,O,O,X,X,O,O,X,X,X,X,X
TLSJOIZ,X,O,O,O,X,X,O,O,X,X,X,X,X
TLSJOZI,O,O,O,O,X,X,O,O,X,X,X,X,X
TLSZIJO,O,O,O,X,X,O,O,X,X,X,X,X,X
TLSZIOJ,O,O,O,X,X,O,X,X,X,X,X,X,X
TLSZJIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TLSZJOI,O,O,O,O,X,X,O,X,X,X,X,X,X
TLSZOIJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TLSZOJI,X,O,O,O,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,O,O,O,X,O,X,O,X,X,X,X,X
TLSOIZJ,O,O,O,X,O,O,X,X,X,X,X,X,X
TLSOJIZ,X,O,O,O,X,X,X,O,X,X,X,X,X
TLSOJZI,O,O,O,O,X,X,X,O,X,X,X,X,X
TLSOZIJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TLSOZJI,X,O,O,O,X,X,X,X,X,X,X,X,X
TLZIJSO,O,X,O,X,X,X,O,X,X,X,X,X,X
TLZIJOS,X,X,O,X,X,X,O,X,X,X,X,X,X
TLZISJO,O,O,O,X,X,X,O,X,X,X,X,X,X
TLZISOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZIOJS,X,X,O,X,O,X,O,X,X,X,X,X,X
TLZIOSJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLZJISO,O,X,O,X,X,X,O,X,X,O,X,X,X
TLZJIOS,X,X,O,X,O,X,O,O,X,O,X,X,X
TLZJSIO,O,X,O,X,X,X,O,X,X,O,X,X,X
TLZJSOI,O,X,O,X,O,X,O,O,X,O,X,X,X
TLZJOIS,X,X,O,X,O,X,O,O,X,O,X,X,X
TLZJOSI,X,X,O,X,O,X,O,O,X,O,X,X,X
TLZSIJO,O,O,O,X,X,X,O,X,X,X,X,X,X
TLZSIOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZSJIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TLZSJOI,O,O,O,O,X,X,O,X,X,X,X,X,X
TLZSOIJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TLZSOJI,X,O,O,O,X,X,X,X,X,X,X,X,X
TLZOIJS,X,X,O,X,O,X,O,O,X,X,X,X,X
TLZOISJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLZOJIS,X,X,O,X,O,X,O,O,X,O,X,X,X
TLZOJSI,X,X,O,X,O,X,O,O,X,O,X,X,X
TLZOSIJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLZOSJI,X,O,O,O,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,O,X,X,X,X,X,O,X,X,X,X,X
TLOIJZS,X,O,X,X,O,X,X,O,X,X,X,X,X
TLOISJZ,X,O,X,O,X,X,X,O,X,X,X,X,X
TLOISZJ,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOIZJS,X,X,X,X,O,X,X,O,X,X,X,X,X
TLOIZSJ,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOJISZ,X,O,X,X,X,X,O,O,X,X,X,X,O
TLOJIZS,X,O,X,X,O,X,O,O,X,X,X,X,O
TLOJSIZ,X,O,O,O,X,X,O,O,X,X,X,X,O
TLOJSZI,X,O,O,O,X,X,O,O,X,X,X,X,O
TLOJZIS,X,O,O,X,X,X,O,O,X,X,X,X,O
TLOJZSI,X,O,O,X,X,X,O,O,X,X,X,X,O
TLOSIJZ,X,O,O,O,X,X,X,O,X,X,X,X,X
TLOSIZJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLOSJIZ,X,O,O,O,X,X,X,O,X,X,X,X,X
TLOSJZI,X,O,O,O,X,X,X,O,X,X,X,X,X
TLOSZIJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOSZJI,X,O,O,O,X,X,X,X,X,X,X,X,X
TLOZIJS,X,X,O,X,O,X,O,O,X,X,X,X,X
TLOZISJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLOZJIS,X,X,O,X,O,X,O,O,X,X,X,X,X
TLOZJSI,X,X,O,X,O,X,O,O,X,X,X,X,X
TLOZSIJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLOZSJI,X,O,O,O,X,X,X,X,X,X,X,X,X
TJILSZO,X,O,O,X,X,X,X,X,X,X,X,O,X
TJILSOZ,X,O,O,X,X,X,X,X,X,X,X,O,X
TJILZSO,X,O,O,X,X,X,O,X,X,X,X,O,X
TJILZOS,X,O,O,X,X,X,O,X,X,X,X,X,X
TJILOSZ,X,O,X,X,X,X,O,X,X,X,X,X,X
TJILOZS,X,O,X,X,X,X,O,X,X,X,X,X,X
TJISLZO,X,O,O,X,X,X,X,X,X,X,X,O,X
TJISLOZ,X,O,X,X,X,X,X,X,X,X,X,O,X
TJISZLO,X,O,O,X,X,X,X,X,X,X,X,O,X
TJISZOL,X,O,O,X,X,X,X,X,X,X,X,O,X
TJISOLZ,X,O,X,X,X,X,X,X,X,X,X,O,X
TJISOZL,X,O,O,X,X,X,X,X,X,X,X,O,X
TJIZLSO,X,X,O,X,X,X,O,X,X,X,X,O,X
TJIZLOS,X,X,O,X,X,X,O,X,X,X,X,X,X
TJIZSLO,X,O,O,X,X,X,O,X,X,X,X,O,X
TJIZSOL,X,O,O,X,X,X,X,X,X,X,X,O,X
TJIZOLS,X,X,O,X,X,X,O,X,X,X,X,X,X
TJIZOSL,X,O,O,X,X,X,O,X,X,X,X,X,X
TJIOLSZ,X,O,X,X,X,X,O,X,X,X,X,X,X
TJIOLZS,X,O,X,X,X,X,O,X,X,X,X,X,X
TJIOSLZ,X,O,X,X,X,X,O,X,X,X,X,X,X
TJIOSZL,X,O,X,X,X,X,X,X,X,X,X,X,X
TJIOZLS,X,X,O,X,X,X,O,X,X,X,X,X,X
TJIOZSL,X,O,O,X,X,X,O,X,X,X,X,X,X
TJLISZO,X,O,O,X,X,X,X,X,X,X,X,O,X
TJLISOZ,X,O,O,X,X,X,X,X,X,X,X,O,X
TJLIZSO,X,O,O,X,X,X,O,X,X,X,X,O,X
TJLIZOS,X,O,O,X,X,X,O,O,X,X,X,X,X
TJLIOSZ,X,O,X,X,X,X,O,O,X,X,X,X,X
TJLIOZS,X,O,X,X,X,X,O,O,X,X,X,X,X
TJLSIZO,O,O,O,O,X,X,X,X,X,X,X,O,X
TJLSIOZ,X,O,O,O,X,X,X,X,X,X,O,O,X
TJLSZIO,O,O,O,O,X,X,O,X,X,X,X,O,X
TJLSZOI,O,O,O,O,X,X,O,O,X,X,O,X,X
TJLSOIZ,X,O,O,O,X,X,O,O,X,X,O,O,X
TJLSOZI,O,O,O,O,X,X,O,O,X,X,O,X,X
TJLZISO,X,O,O,X,X,X,O,X,X,O,X,X,X
TJLZIOS,X,O,O,X,X,X,O,O,X,O,X,X,X
TJLZSIO,X,O,O,X,X,X,O,X,X,O,X,X,X
TJLZSOI,X,O,O,X,X,X,O,O,X,O,X,X,X
TJLZOIS,X,O,O,X,X,X,O,O,X,O,X,X,X
TJLZOSI,X,O,O,X,X,X,O,O,X,O,X,X,X
TJLOISZ,X,O,X,X,X,X,O,O,X,X,O,X,O
TJLOIZS,X,O,X,X,O,X,O,O,X,X,X,X,O
TJLOSIZ,X,O,O,O,X,X,O,O,X,X,O,X,O
TJLOSZI,X,O,O,O,X,X,O,O,X,X,O,X,O
TJLOZIS,X,O,O,X,X,X,O,O,X,X,X,X,O
TJLOZSI,X,O,O,X,X,X,O,O,X,X,X,X,O
TJSILZO,O,O,O,O,X,X,X,X,X,X,X,O,X
