sequence,v115@OhB8GeC8BeC8BeD8JeZEJvhFUgBFhBXiB6oBWqBTrB,v115@OhB8GeC8BeC8BeD8JeZEJvhFGgB/mBFiB6oBzkBUrB,v115@OhB8GeC8BeC8BeD8JeZEJvhFukBclBXiB6oBVrBTrB
STZIJLO,O,X,O
STZIJOL,O,X,O
STZIOLJ,X,X,O
STZIOJL,X,X,O
STZLIJO,O,X,O
STZLIOJ,X,X,O
STZLJIO,O,X,O
STZLJOI,O,X,O
STZLOIJ,X,X,O
STZLOJI,X,X,O
STZJILO,O,X,O
STZJIOL,O,X,O
STZJLIO,O,X,O
STZJLOI,O,X,O
STZJOIL,O,X,O
STZJOLI,O,X,O
STZOILJ,X,X,O
STZOIJL,X,X,O
STZOLIJ,X,X,O
STZOLJI,X,X,O
STZOJIL,X,X,O
STZOJLI,X,X,O
STOILJZ,O,X,X
STOILZJ,X,X,O
STOIJLZ,O,X,X
STOIJZL,O,X,X
STOIZLJ,X,X,O
STOIZJL,X,X,O
STOLIJZ,O,X,X
STOLIZJ,X,X,O
STOLJIZ,O,X,X
STOLJZI,O,X,X
STOLZIJ,X,X,O
STOLZJI,X,X,O
STOJILZ,O,X,X
STOJIZL,O,X,X
STOJLIZ,O,X,X
STOJLZI,O,X,X
STOJZIL,O,X,X
STOJZLI,O,X,X
STOZILJ,X,X,O
STOZIJL,X,X,O
STOZLIJ,X,X,O
STOZLJI,X,X,O
STOZJIL,X,X,O
STOZJLI,X,X,O
SITLJZO,O,X,O
SITLJOZ,O,X,X
SITLZJO,O,X,O
SITLZOJ,X,X,O
SITLOJZ,O,X,X
SITLOZJ,X,X,O
SITJLZO,O,X,O
SITJLOZ,O,X,X
SITJZLO,O,X,O
SITJZOL,O,X,O
SITJOLZ,O,X,X
SITJOZL,O,X,X
SITZLJO,O,X,O
SITZLOJ,X,X,O
SITZJLO,O,X,O
SITZJOL,O,X,O
SITZOLJ,X,X,O
SITZOJL,X,X,O
SITOLJZ,O,X,X
SITOLZJ,X,X,O
SITOJLZ,O,X,X
SITOJZL,O,X,X
SITOZLJ,X,X,O
SITOZJL,X,X,O
SILTJZO,O,X,O
SILTJOZ,O,X,X
SILTZJO,O,X,O
SILTZOJ,X,X,O
SILTOJZ,O,X,X
SILTOZJ,X,X,O
SILJTZO,O,X,O
SILJTOZ,O,X,X
SILJZTO,O,X,O
SILJZOT,O,X,X
SILJOTZ,O,X,X
SILJOZT,O,X,X
SILZTJO,O,O,O
SILZTOJ,X,O,O
SILZJTO,O,O,O
SILZJOT,O,O,X
SILZOTJ,X,O,X
SILZOJT,X,O,X
SILOTJZ,O,X,X
SILOTZJ,O,X,O
SILOJTZ,O,X,X
SILOJZT,O,O,X
SILOZTJ,O,O,X
SILOZJT,O,O,X
SIJTLZO,O,X,O
SIJTLOZ,O,X,X
SIJTZLO,O,X,O
SIJTZOL,O,X,O
SIJTOLZ,O,X,X
SIJTOZL,O,X,X
SIJLTZO,O,X,O
SIJLTOZ,O,X,X
SIJLZTO,O,X,O
SIJLZOT,O,X,X
SIJLOTZ,O,X,X
SIJLOZT,O,X,X
SIJZTLO,O,X,O
SIJZTOL,O,X,O
SIJZLTO,O,X,O
SIJZLOT,O,X,X
SIJZOTL,O,X,X
SIJZOLT,O,X,X
SIJOTLZ,O,X,X
SIJOTZL,O,X,X
SIJOLTZ,O,X,X
SIJOLZT,O,X,X
SIJOZTL,O,X,X
SIJOZLT,O,X,X
SIZTLJO,O,O,O
SIZTLOJ,X,O,O
SIZTJLO,O,O,O
SIZTJOL,O,O,O
SIZTOLJ,X,O,O
SIZTOJL,X,O,O
SIZLTJO,O,O,O
SIZLTOJ,X,O,O
SIZLJTO,O,O,O
SIZLJOT,O,O,X
SIZLOTJ,X,O,X
SIZLOJT,X,O,X
SIZJTLO,O,O,O
SIZJTOL,O,O,O
SIZJLTO,O,O,O
SIZJLOT,O,O,X
SIZJOTL,O,O,X
SIZJOLT,O,O,X
SIZOTLJ,X,O,X
SIZOTJL,X,O,X
SIZOLTJ,X,O,X
SIZOLJT,X,O,X
SIZOJTL,X,O,X
SIZOJLT,X,O,X
SIOTLJZ,O,X,X
SIOTLZJ,O,X,O
SIOTJLZ,O,X,X
SIOTJZL,O,X,X
SIOTZLJ,O,X,O
SIOTZJL,O,X,O
SIOLTJZ,O,X,X
SIOLTZJ,O,X,O
SIOLJTZ,O,X,X
SIOLJZT,O,O,X
SIOLZTJ,O,O,X
SIOLZJT,O,O,X
SIOJTLZ,O,X,X
SIOJTZL,O,X,X
SIOJLTZ,O,X,X
SIOJLZT,O,O,X
SIOJZTL,O,O,X
SIOJZLT,O,O,X
SIOZTLJ,O,O,X
SIOZTJL,O,O,X
SIOZLTJ,O,O,X
SIOZLJT,O,O,X
SIOZJTL,O,O,X
SIOZJLT,O,O,X
SLTIJZO,O,X,O
SLTIJOZ,O,X,X
SLTIZJO,O,X,O
SLTIZOJ,X,X,O
SLTIOJZ,O,X,X
SLTIOZJ,X,X,O
SLTJIZO,O,X,O
SLTJIOZ,O,X,X
SLTJZIO,O,X,O
SLTJZOI,O,X,O
SLTJOIZ,O,X,X
SLTJOZI,O,X,X
SLTZIJO,O,X,O
SLTZIOJ,X,X,O
SLTZJIO,O,X,O
SLTZJOI,O,X,O
SLTZOIJ,X,X,O
SLTZOJI,X,X,O
SLTOIJZ,O,X,X
SLTOIZJ,X,X,O
SLTOJIZ,O,X,X
SLTOJZI,O,X,X
SLTOZIJ,X,X,O
SLTOZJI,X,X,O
SLITJZO,O,X,O
SLITJOZ,O,X,X
SLITZJO,O,X,O
SLITZOJ,X,X,O
SLITOJZ,O,X,X
SLITOZJ,X,X,O
SLIJTZO,O,X,O
SLIJTOZ,O,X,X
SLIJZTO,O,X,O
SLIJZOT,O,X,X
SLIJOTZ,O,X,X
SLIJOZT,O,X,X
SLIZTJO,O,O,O
SLIZTOJ,X,O,O
SLIZJTO,O,O,O
SLIZJOT,O,O,X
SLIZOTJ,X,O,X
SLIZOJT,X,O,X
SLIOTJZ,O,X,X
SLIOTZJ,O,X,O
SLIOJTZ,O,X,X
SLIOJZT,O,O,X
SLIOZTJ,O,O,X
SLIOZJT,O,O,X
SLJTIZO,O,X,O
SLJTIOZ,O,X,X
SLJTZIO,O,X,O
SLJTZOI,O,X,O
SLJTOIZ,O,X,X
SLJTOZI,O,X,X
SLJITZO,O,X,O
SLJITOZ,O,X,X
SLJIZTO,O,X,O
SLJIZOT,O,X,X
SLJIOTZ,O,X,X
SLJIOZT,O,X,X
SLJZTIO,O,X,O
SLJZTOI,O,X,O
SLJZITO,O,X,O
SLJZIOT,O,X,X
SLJZOTI,O,X,X
SLJZOIT,O,X,X
SLJOTIZ,O,X,X
SLJOTZI,O,X,X
SLJOITZ,O,X,X
SLJOIZT,O,X,X
SLJOZTI,O,X,X
SLJOZIT,O,X,X
SLZTIJO,O,O,O
SLZTIOJ,X,O,O
SLZTJIO,O,O,O
SLZTJOI,O,O,O
SLZTOIJ,X,O,O
SLZTOJI,X,O,O
SLZITJO,O,O,O
SLZITOJ,X,O,O
SLZIJTO,O,O,O
SLZIJOT,O,O,X
SLZIOTJ,X,O,X
SLZIOJT,X,O,X
SLZJTIO,O,O,O
SLZJTOI,O,O,O
SLZJITO,O,O,O
SLZJIOT,O,O,X
SLZJOTI,O,O,X
SLZJOIT,O,O,X
SLZOTIJ,X,O,X
SLZOTJI,X,O,X
SLZOITJ,X,O,X
SLZOIJT,X,O,X
SLZOJTI,X,O,X
SLZOJIT,X,O,X
SLOTIJZ,O,X,X
SLOTIZJ,O,X,O
SLOTJIZ,O,X,X
SLOTJZI,O,X,X
SLOTZIJ,O,X,O
SLOTZJI,O,X,O
SLOITJZ,O,X,X
SLOITZJ,O,X,O
SLOIJTZ,O,X,X
SLOIJZT,O,O,X
SLOIZTJ,O,O,X
SLOIZJT,O,O,X
SLOJTIZ,O,X,X
SLOJTZI,O,X,X
SLOJITZ,O,X,X
SLOJIZT,O,O,X
SLOJZTI,O,O,X
SLOJZIT,O,O,X
SLOZTIJ,O,O,X
SLOZTJI,O,O,X
SLOZITJ,O,O,X
SLOZIJT,O,O,X
SLOZJTI,O,O,X
SLOZJIT,O,O,X
SJTILZO,O,X,O
SJTILOZ,O,X,X
SJTIZLO,O,X,O
SJTIZOL,O,X,O
SJTIOLZ,O,X,X
SJTIOZL,O,X,X
SJTLIZO,O,X,O
SJTLIOZ,O,X,X
SJTLZIO,O,X,O
SJTLZOI,O,X,O
SJTLOIZ,O,X,X
SJTLOZI,O,X,X
SJTZILO,O,X,O
SJTZIOL,O,X,O
SJTZLIO,O,X,O
SJTZLOI,O,X,O
SJTZOIL,O,X,O
SJTZOLI,O,X,O
SJTOILZ,O,X,X
SJTOIZL,O,X,X
SJTOLIZ,O,X,X
SJTOLZI,O,X,X
SJTOZIL,O,X,X
SJTOZLI,O,X,X
SJITLZO,O,X,O
SJITLOZ,O,X,X
SJITZLO,O,X,O
SJITZOL,O,X,O
SJITOLZ,O,X,X
SJITOZL,O,X,X
SJILTZO,O,X,O
SJILTOZ,O,X,X
SJILZTO,O,X,O
SJILZOT,O,X,X
SJILOTZ,O,X,X
SJILOZT,O,X,X
SJIZTLO,O,X,O
SJIZTOL,O,X,O
SJIZLTO,O,X,O
SJIZLOT,O,X,X
SJIZOTL,O,X,X
SJIZOLT,O,X,X
SJIOTLZ,O,X,X
SJIOTZL,O,X,X
SJIOLTZ,O,X,X
SJIOLZT,O,X,X
SJIOZTL,O,X,X
SJIOZLT,O,X,X
SJLTIZO,O,X,O
SJLTIOZ,O,X,X
SJLTZIO,O,X,O
SJLTZOI,O,X,O
SJLTOIZ,O,X,X
SJLTOZI,O,X,X
SJLITZO,O,X,O
SJLITOZ,O,X,X
SJLIZTO,O,X,O
SJLIZOT,O,X,X
SJLIOTZ,O,X,X
SJLIOZT,O,X,X
SJLZTIO,O,X,O
SJLZTOI,O,X,O
SJLZITO,O,X,O
SJLZIOT,O,X,X
SJLZOTI,O,X,X
SJLZOIT,O,X,X
SJLOTIZ,O,X,X
SJLOTZI,O,X,X
SJLOITZ,O,X,X
SJLOIZT,O,X,X
SJLOZTI,O,X,X
SJLOZIT,O,X,X
SJZTILO,O,X,O
SJZTIOL,O,X,O
SJZTLIO,O,X,O
SJZTLOI,O,X,O
SJZTOIL,O,X,O
SJZTOLI,O,X,O
SJZITLO,O,X,O
SJZITOL,O,X,O
SJZILTO,O,X,O
SJZILOT,O,X,X
SJZIOTL,O,X,X
SJZIOLT,O,X,X
SJZLTIO,O,X,O
SJZLTOI,O,X,O
SJZLITO,O,X,O
SJZLIOT,O,X,X
SJZLOTI,O,X,X
SJZLOIT,O,X,X
SJZOTIL,O,X,X
SJZOTLI,O,X,X
SJZOITL,O,X,X
SJZOILT,O,X,X
SJZOLTI,O,X,X
SJZOLIT,O,X,X
SJOTILZ,O,X,X
SJOTIZL,O,X,X
SJOTLIZ,O,X,X
SJOTLZI,O,X,X
SJOTZIL,O,X,X
SJOTZLI,O,X,X
SJOITLZ,O,X,X
SJOITZL,O,X,X
SJOILTZ,O,X,X
SJOILZT,O,X,X
SJOIZTL,O,X,X
SJOIZLT,O,X,X
SJOLTIZ,O,X,X
SJOLTZI,O,X,X
SJOLITZ,O,X,X
SJOLIZT,O,X,X
SJOLZTI,O,X,X
SJOLZIT,O,X,X
SJOZTIL,O,X,X
SJOZTLI,O,X,X
SJOZITL,O,X,X
SJOZILT,O,X,X
SJOZLTI,O,X,X
SJOZLIT,O,X,X
SZTILJO,O,O,O
SZTILOJ,X,O,O
SZTIJLO,O,O,O
SZTIJOL,O,O,O
SZTIOLJ,X,O,O
SZTIOJL,X,O,O
SZTLIJO,O,O,O
SZTLIOJ,X,O,O
SZTLJIO,O,O,O
SZTLJOI,O,O,O
SZTLOIJ,X,O,O
SZTLOJI,X,O,O
SZTJILO,O,O,O
SZTJIOL,O,O,O
SZTJLIO,O,O,O
SZTJLOI,O,O,O
SZTJOIL,O,O,O
SZTJOLI,O,O,O
SZTOILJ,X,O,O
SZTOIJL,X,O,O
SZTOLIJ,X,O,O
SZTOLJI,X,O,O
SZTOJIL,X,O,O
SZTOJLI,X,O,O
SZITLJO,O,O,O
SZITLOJ,X,O,O
SZITJLO,O,O,O
SZITJOL,O,O,O
SZITOLJ,X,O,O
SZITOJL,X,O,O
SZILTJO,O,O,O
SZILTOJ,X,O,O
SZILJTO,O,O,O
SZILJOT,O,O,X
SZILOTJ,X,O,X
SZILOJT,X,O,X
SZIJTLO,O,O,O
SZIJTOL,O,O,O
SZIJLTO,O,O,O
SZIJLOT,O,O,X
SZIJOTL,O,O,X
SZIJOLT,O,O,X
SZIOTLJ,X,O,X
SZIOTJL,X,O,X
SZIOLTJ,X,O,X
SZIOLJT,X,O,X
SZIOJTL,X,O,X
SZIOJLT,X,O,X
SZLTIJO,O,O,O
SZLTIOJ,X,O,O
SZLTJIO,O,O,O
SZLTJOI,O,O,O
SZLTOIJ,X,O,O
SZLTOJI,X,O,O
SZLITJO,O,O,O
SZLITOJ,X,O,O
SZLIJTO,O,O,O
SZLIJOT,O,O,X
SZLIOTJ,X,O,X
SZLIOJT,X,O,X
SZLJTIO,O,O,O
SZLJTOI,O,O,O
SZLJITO,O,O,O
SZLJIOT,O,O,X
SZLJOTI,O,O,X
SZLJOIT,O,O,X
SZLOTIJ,X,O,X
SZLOTJI,X,O,X
SZLOITJ,X,O,X
SZLOIJT,X,O,X
SZLOJTI,X,O,X
SZLOJIT,X,O,X
SZJTILO,O,O,O
SZJTIOL,O,O,O
SZJTLIO,O,O,O
SZJTLOI,O,O,O
SZJTOIL,O,O,O
SZJTOLI,O,O,O
SZJITLO,O,O,O
SZJITOL,O,O,O
SZJILTO,O,O,O
SZJILOT,O,O,X
SZJIOTL,O,O,X
SZJIOLT,O,O,X
SZJLTIO,O,O,O
SZJLTOI,O,O,O
SZJLITO,O,O,O
SZJLIOT,O,O,X
SZJLOTI,O,O,X
SZJLOIT,O,O,X
SZJOTIL,O,O,X
SZJOTLI,O,O,X
SZJOITL,O,O,X
SZJOILT,O,O,X
SZJOLTI,O,O,X
SZJOLIT,O,O,X
SZOTILJ,X,O,X
SZOTIJL,X,O,X
SZOTLIJ,X,O,X
SZOTLJI,X,O,X
SZOTJIL,X,O,X
SZOTJLI,X,O,X
SZOITLJ,X,O,X
SZOITJL,X,O,X
SZOILTJ,X,O,X
SZOILJT,X,O,X
SZOIJTL,X,O,X
SZOIJLT,X,O,X
SZOLTIJ,X,O,X
SZOLTJI,X,O,X
SZOLITJ,X,O,X
SZOLIJT,X,O,X
SZOLJTI,X,O,X
SZOLJIT,X,O,X
SZOJTIL,X,O,X
SZOJTLI,X,O,X
SZOJITL,X,O,X
SZOJILT,X,O,X
SZOJLTI,X,O,X
SZOJLIT,X,O,X
SOTILJZ,O,X,X
SOTILZJ,O,X,O
SOTIJLZ,O,X,X
SOTIJZL,O,X,X
SOTIZLJ,O,X,O
SOTIZJL,O,X,O
SOTLIJZ,O,X,X
SOTLIZJ,O,X,O
SOTLJIZ,O,X,X
SOTLJZI,O,X,X
SOTLZIJ,O,X,O
SOTLZJI,O,X,O
SOTJILZ,O,X,X
SOTJIZL,O,X,X
SOTJLIZ,O,X,X
SOTJLZI,O,X,X
SOTJZIL,O,X,X
SOTJZLI,O,X,X
SOTZILJ,O,X,O
SOTZIJL,O,X,O
SOTZLIJ,O,X,O
SOTZLJI,O,X,O
SOTZJIL,O,X,O
SOTZJLI,O,X,O
SOITLJZ,O,X,X
SOITLZJ,O,X,O
SOITJLZ,O,X,X
SOITJZL,O,X,X
SOITZLJ,O,X,O
SOITZJL,O,X,O
SOILTJZ,O,X,X
SOILTZJ,O,X,O
SOILJTZ,O,X,X
SOILJZT,O,O,X
SOILZTJ,O,O,X
SOILZJT,O,O,X
SOIJTLZ,O,X,X
SOIJTZL,O,X,X
SOIJLTZ,O,X,X
SOIJLZT,O,O,X
SOIJZTL,O,O,X
SOIJZLT,O,O,X
SOIZTLJ,O,O,X
SOIZTJL,O,O,X
SOIZLTJ,O,O,X
SOIZLJT,O,O,X
SOIZJTL,O,O,X
SOIZJLT,O,O,X
SOLTIJZ,O,X,X
SOLTIZJ,O,X,O
SOLTJIZ,O,X,X
SOLTJZI,O,X,X
SOLTZIJ,O,X,O
SOLTZJI,O,X,O
SOLITJZ,O,X,X
SOLITZJ,O,X,O
SOLIJTZ,O,X,X
SOLIJZT,O,O,X
SOLIZTJ,O,O,X
SOLIZJT,O,O,X
SOLJTIZ,O,X,X
SOLJTZI,O,X,X
SOLJITZ,O,X,X
SOLJIZT,O,O,X
SOLJZTI,O,O,X
SOLJZIT,O,O,X
SOLZTIJ,O,O,X
SOLZTJI,O,O,X
SOLZITJ,O,O,X
SOLZIJT,O,O,X
SOLZJTI,O,O,X
SOLZJIT,O,O,X
SOJTILZ,O,X,X
SOJTIZL,O,X,X
SOJTLIZ,O,X,X
SOJTLZI,O,X,X
SOJTZIL,O,X,X
SOJTZLI,O,X,X
SOJITLZ,O,X,X
SOJITZL,O,X,X
SOJILTZ,O,X,X
SOJILZT,O,O,X
SOJIZTL,O,O,X
SOJIZLT,O,O,X
SOJLTIZ,O,X,X
SOJLTZI,O,X,X
SOJLITZ,O,X,X
SOJLIZT,O,O,X
SOJLZTI,O,O,X
SOJLZIT,O,O,X
SOJZTIL,O,O,X
SOJZTLI,O,O,X
SOJZITL,O,O,X
SOJZILT,O,O,X
SOJZLTI,O,O,X
SOJZLIT,O,O,X
SOZTILJ,O,O,X
SOZTIJL,O,O,X
SOZTLIJ,O,O,X
SOZTLJI,O,O,X
SOZTJIL,O,O,X
SOZTJLI,O,O,X
SOZITLJ,O,O,X
SOZITJL,O,O,X
SOZILTJ,O,O,X
SOZILJT,O,O,X
SOZIJTL,O,O,X
SOZIJLT,O,O,X
SOZLTIJ,O,O,X
SOZLTJI,O,O,X
SOZLITJ,O,O,X
SOZLIJT,O,O,X
SOZLJTI,O,O,X
SOZLJIT,O,O,X
SOZJTIL,O,O,X
SOZJTLI,O,O,X
SOZJITL,O,O,X
SOZJILT,O,O,X
SOZJLTI,O,O,X
SOZJLIT,O,O,X
ZTILJSO,X,O,O
ZTILJOS,X,X,O
ZTILSJO,X,O,O
ZTILSOJ,X,O,O
ZTILOJS,X,O,O
ZTILOSJ,X,O,O
ZTIJLSO,X,O,O
ZTIJLOS,X,X,O
ZTIJSLO,X,O,O
ZTIJSOL,X,O,O
ZTIJOLS,X,X,O
ZTIJOSL,X,X,O
ZTISLJO,X,O,O
ZTISLOJ,X,O,O
ZTISJLO,X,O,O
ZTISJOL,X,O,O
ZTISOLJ,X,O,O
ZTISOJL,X,O,O
ZTIOLJS,X,O,O
ZTIOLSJ,X,O,O
ZTIOJLS,X,O,O
ZTIOJSL,X,O,O
ZTIOSLJ,X,O,O
ZTIOSJL,X,O,O
ZTLIJSO,X,O,O
ZTLIJOS,X,X,O
ZTLISJO,X,O,O
ZTLISOJ,X,O,O
ZTLIOJS,X,O,O
ZTLIOSJ,X,O,O
ZTLJISO,X,O,O
ZTLJIOS,X,X,O
ZTLJSIO,X,O,O
ZTLJSOI,X,O,O
ZTLJOIS,X,X,O
ZTLJOSI,X,X,O
ZTLSIJO,X,O,O
ZTLSIOJ,X,O,O
ZTLSJIO,X,O,O
ZTLSJOI,X,O,O
ZTLSOIJ,X,O,O
ZTLSOJI,X,O,O
ZTLOIJS,X,O,O
ZTLOISJ,X,O,O
ZTLOJIS,X,O,O
ZTLOJSI,X,O,O
ZTLOSIJ,X,O,O
ZTLOSJI,X,O,O
ZTJILSO,X,O,O
ZTJILOS,X,X,O
ZTJISLO,X,O,O
ZTJISOL,X,O,O
ZTJIOLS,X,X,O
ZTJIOSL,X,X,O
ZTJLISO,X,O,O
ZTJLIOS,X,X,O
ZTJLSIO,X,O,O
ZTJLSOI,X,O,O
ZTJLOIS,X,X,O
ZTJLOSI,X,X,O
ZTJSILO,X,O,O
ZTJSIOL,X,O,O
ZTJSLIO,X,O,O
ZTJSLOI,X,O,O
ZTJSOIL,X,O,O
ZTJSOLI,X,O,O
ZTJOILS,X,X,O
ZTJOISL,X,X,O
ZTJOLIS,X,X,O
ZTJOLSI,X,X,O
ZTJOSIL,X,X,O
ZTJOSLI,X,X,O
ZTSILJO,X,O,O
ZTSILOJ,X,O,O
ZTSIJLO,X,O,O
ZTSIJOL,X,O,O
ZTSIOLJ,X,O,O
ZTSIOJL,X,O,O
ZTSLIJO,X,O,O
ZTSLIOJ,X,O,O
ZTSLJIO,X,O,O
ZTSLJOI,X,O,O
ZTSLOIJ,X,O,O
ZTSLOJI,X,O,O
ZTSJILO,X,O,O
ZTSJIOL,X,O,O
ZTSJLIO,X,O,O
ZTSJLOI,X,O,O
ZTSJOIL,X,O,O
ZTSJOLI,X,O,O
ZTSOILJ,X,O,O
ZTSOIJL,X,O,O
ZTSOLIJ,X,O,O
ZTSOLJI,X,O,O
ZTSOJIL,X,O,O
ZTSOJLI,X,O,O
ZTOILJS,X,O,O
ZTOILSJ,X,O,O
ZTOIJLS,X,O,O
ZTOIJSL,X,O,O
ZTOISLJ,X,O,O
ZTOISJL,X,O,O
ZTOLIJS,X,O,O
ZTOLISJ,X,O,O
ZTOLJIS,X,O,O
ZTOLJSI,X,O,O
ZTOLSIJ,X,O,O
ZTOLSJI,X,O,O
ZTOJILS,X,O,O
ZTOJISL,X,O,O
ZTOJLIS,X,O,O
ZTOJLSI,X,O,O
ZTOJSIL,X,O,O
ZTOJSLI,X,O,O
ZTOSILJ,X,O,O
ZTOSIJL,X,O,O
ZTOSLIJ,X,O,O
ZTOSLJI,X,O,O
ZTOSJIL,X,O,O
ZTOSJLI,X,O,O
ZITLJSO,X,O,O
ZITLJOS,X,X,O
ZITLSJO,X,O,O
ZITLSOJ,X,O,O
ZITLOJS,X,O,O
ZITLOSJ,X,O,O
ZITJLSO,X,O,O
ZITJLOS,X,X,O
ZITJSLO,X,O,O
ZITJSOL,X,O,O
ZITJOLS,X,X,O
ZITJOSL,X,X,O
ZITSLJO,X,O,O
ZITSLOJ,X,O,O
ZITSJLO,X,O,O
ZITSJOL,X,O,O
ZITSOLJ,X,O,O
ZITSOJL,X,O,O
ZITOLJS,X,O,O
ZITOLSJ,X,O,O
ZITOJLS,X,O,O
ZITOJSL,X,O,O
ZITOSLJ,X,O,O
ZITOSJL,X,O,O
ZILTJSO,X,O,O
ZILTJOS,X,X,O
ZILTSJO,X,O,O
ZILTSOJ,X,O,O
ZILTOJS,X,O,O
ZILTOSJ,X,O,O
ZILJTSO,O,O,O
ZILJTOS,O,X,O
ZILJSTO,O,O,O
ZILJSOT,O,O,X
ZILJOTS,O,O,O
ZILJOST,O,O,X
ZILSTJO,O,O,O
ZILSTOJ,X,O,O
ZILSJTO,O,O,O
ZILSJOT,O,O,X
ZILSOTJ,X,O,X
ZILSOJT,X,O,X
ZILOTJS,O,O,O
ZILOTSJ,O,O,O
ZILOJTS,O,O,O
ZILOJST,O,O,X
ZILOSTJ,O,O,X
ZILOSJT,O,O,X
ZIJTLSO,O,O,O
ZIJTLOS,O,X,O
ZIJTSLO,O,O,O
ZIJTSOL,O,O,O
ZIJTOLS,O,X,O
ZIJTOSL,O,X,O
ZIJLTSO,O,O,O
ZIJLTOS,O,X,O
ZIJLSTO,O,O,O
ZIJLSOT,O,O,X
ZIJLOTS,O,O,O
ZIJLOST,O,O,X
ZIJSTLO,O,O,O
ZIJSTOL,O,O,O
ZIJSLTO,O,O,O
ZIJSLOT,O,O,X
ZIJSOTL,O,O,X
ZIJSOLT,O,O,X
ZIJOTLS,O,O,O
ZIJOTSL,O,O,O
ZIJOLTS,O,O,O
ZIJOLST,O,O,X
ZIJOSTL,O,O,X
ZIJOSLT,O,O,X
ZISTLJO,O,O,O
ZISTLOJ,X,O,O
ZISTJLO,O,O,O
ZISTJOL,O,O,O
ZISTOLJ,X,O,O
ZISTOJL,X,O,O
ZISLTJO,O,O,O
ZISLTOJ,X,O,O
ZISLJTO,O,O,O
ZISLJOT,O,O,X
ZISLOTJ,X,O,X
ZISLOJT,X,O,X
ZISJTLO,O,O,O
ZISJTOL,O,O,O
ZISJLTO,O,O,O
ZISJLOT,O,O,X
ZISJOTL,O,O,X
ZISJOLT,O,O,X
ZISOTLJ,X,O,X
ZISOTJL,X,O,X
ZISOLTJ,X,O,X
ZISOLJT,X,O,X
ZISOJTL,X,O,X
ZISOJLT,X,O,X
ZIOTLJS,O,O,O
ZIOTLSJ,O,O,O
ZIOTJLS,O,O,O
ZIOTJSL,O,O,O
ZIOTSLJ,O,O,O
ZIOTSJL,O,O,O
ZIOLTJS,O,O,O
ZIOLTSJ,O,O,O
ZIOLJTS,O,O,O
ZIOLJST,O,O,X
ZIOLSTJ,O,O,X
ZIOLSJT,O,O,X
ZIOJTLS,O,O,O
ZIOJTSL,O,O,O
ZIOJLTS,O,O,O
ZIOJLST,O,O,X
ZIOJSTL,O,O,X
ZIOJSLT,O,O,X
ZIOSTLJ,O,O,X
ZIOSTJL,O,O,X
ZIOSLTJ,O,O,X
ZIOSLJT,O,O,X
ZIOSJTL,O,O,X
ZIOSJLT,O,O,X
ZLTIJSO,X,O,O
ZLTIJOS,X,X,O
ZLTISJO,X,O,O
ZLTISOJ,X,O,O
ZLTIOJS,X,O,O
ZLTIOSJ,X,O,O
ZLTJISO,X,O,O
ZLTJIOS,X,X,O
ZLTJSIO,X,O,O
ZLTJSOI,X,O,O
ZLTJOIS,X,X,O
ZLTJOSI,X,X,O
ZLTSIJO,X,O,O
ZLTSIOJ,X,O,O
ZLTSJIO,X,O,O
ZLTSJOI,X,O,O
ZLTSOIJ,X,O,O
ZLTSOJI,X,O,O
ZLTOIJS,X,O,O
ZLTOISJ,X,O,O
ZLTOJIS,X,O,O
ZLTOJSI,X,O,O
ZLTOSIJ,X,O,O
ZLTOSJI,X,O,O
ZLITJSO,X,O,O
ZLITJOS,X,X,O
ZLITSJO,X,O,O
ZLITSOJ,X,O,O
ZLITOJS,X,O,O
ZLITOSJ,X,O,O
ZLIJTSO,O,O,O
ZLIJTOS,O,X,O
ZLIJSTO,O,O,O
ZLIJSOT,O,O,X
ZLIJOTS,O,O,O
ZLIJOST,O,O,X
ZLISTJO,O,O,O
ZLISTOJ,X,O,O
ZLISJTO,O,O,O
ZLISJOT,O,O,X
ZLISOTJ,X,O,X
ZLISOJT,X,O,X
ZLIOTJS,O,O,O
ZLIOTSJ,O,O,O
ZLIOJTS,O,O,O
ZLIOJST,O,O,X
ZLIOSTJ,O,O,X
ZLIOSJT,O,O,X
ZLJTISO,O,O,O
ZLJTIOS,O,X,O
ZLJTSIO,O,O,O
ZLJTSOI,O,O,O
ZLJTOIS,O,X,O
ZLJTOSI,O,X,O
ZLJITSO,O,O,O
ZLJITOS,O,X,O
ZLJISTO,O,O,O
ZLJISOT,O,O,X
ZLJIOTS,O,O,O
ZLJIOST,O,O,X
ZLJSTIO,O,O,O
ZLJSTOI,O,O,O
ZLJSITO,O,O,O
ZLJSIOT,O,O,X
ZLJSOTI,O,O,X
ZLJSOIT,O,O,X
ZLJOTIS,O,O,O
ZLJOTSI,O,O,O
ZLJOITS,O,O,O
ZLJOIST,O,O,X
ZLJOSTI,O,O,X
ZLJOSIT,O,O,X
ZLSTIJO,O,O,O
ZLSTIOJ,X,O,O
ZLSTJIO,O,O,O
ZLSTJOI,O,O,O
ZLSTOIJ,X,O,O
ZLSTOJI,X,O,O
ZLSITJO,O,O,O
ZLSITOJ,X,O,O
ZLSIJTO,O,O,O
ZLSIJOT,O,O,X
ZLSIOTJ,X,O,X
ZLSIOJT,X,O,X
ZLSJTIO,O,O,O
ZLSJTOI,O,O,O
ZLSJITO,O,O,O
