sequence,v115@ThA8EeB8AeI8JeZEJvhFupBFmBXnBToB0qBSxB,v115@ThA8EeB8AeI8Jei/IvhFRhB+nBTjBcpBlqB3rB,v115@ThA8EeB8AeI8JeZEJvhFupBfsB6sBToBlqBUrB
TSJZIOL,X,O,X
TSJZLIO,X,O,X
TSJZLOI,X,O,X
TSJZOIL,X,O,X
TSJZOLI,X,O,X
TSJOILZ,X,X,O
TSJOIZL,X,O,X
TSJOLIZ,X,X,O
TSJOLZI,X,X,X
TSJOZIL,X,O,X
TSJOZLI,X,O,X
TSZILJO,X,O,X
TSZILOJ,X,X,X
TSZIJLO,X,O,X
TSZIJOL,X,O,X
TSZIOLJ,X,X,X
TSZIOJL,X,X,X
TSZLIJO,X,O,X
TSZLIOJ,X,X,X
TSZLJIO,X,O,X
TSZLJOI,X,O,X
TSZLOIJ,X,X,X
TSZLOJI,X,X,X
TSZJILO,X,O,X
TSZJIOL,X,O,X
TSZJLIO,X,O,X
TSZJLOI,X,O,X
TSZJOIL,X,O,X
TSZJOLI,X,O,X
TSZOILJ,X,X,X
TSZOIJL,X,X,X
TSZOLIJ,X,X,X
TSZOLJI,X,X,X
TSZOJIL,X,X,X
TSZOJLI,X,X,X
TSOILJZ,X,X,O
TSOILZJ,X,X,X
TSOIJLZ,X,X,O
TSOIJZL,X,X,X
TSOIZLJ,X,X,X
TSOIZJL,X,X,X
TSOLIJZ,X,X,O
TSOLIZJ,X,X,X
TSOLJIZ,X,X,O
TSOLJZI,X,X,X
TSOLZIJ,X,X,X
TSOLZJI,X,X,X
TSOJILZ,X,X,O
TSOJIZL,X,X,X
TSOJLIZ,X,X,O
TSOJLZI,X,X,X
TSOJZIL,X,X,X
TSOJZLI,X,X,X
TSOZILJ,X,X,X
TSOZIJL,X,X,X
TSOZLIJ,X,X,X
TSOZLJI,X,X,X
TSOZJIL,X,X,X
TSOZJLI,X,X,X
TZILJSO,X,X,X
TZILJOS,X,O,X
TZILSJO,X,O,X
TZILSOJ,X,X,X
TZILOJS,X,O,X
TZILOSJ,X,X,X
TZIJLSO,X,X,X
TZIJLOS,X,O,X
TZIJSLO,X,X,X
TZIJSOL,X,X,X
TZIJOLS,X,O,X
TZIJOSL,X,X,X
TZISLJO,X,O,X
TZISLOJ,X,X,X
TZISJLO,X,O,X
TZISJOL,X,O,X
TZISOLJ,X,X,X
TZISOJL,X,X,X
