sequence,v115@QhA8FeD8AeF8BeA8JeZEJvhFukBamBtmBXjBTlB0sB,v115@QhA8FeD8AeF8BeA8JeZEJvhFqkBTgBemBtmBXoB0sB,v115@QhA8FeD8AeF8BeA8JeyEJvhFzgBtmB0iBOpBRqBXtB
STZIJOL,O,X,X
STZIOLJ,O,X,O
STZIOJL,O,X,X
STZLIJO,X,O,X
STZLIOJ,O,X,X
STZLJIO,X,O,X
STZLJOI,X,O,X
STZLOIJ,O,X,X
STZLOJI,O,X,X
STZJILO,X,O,X
STZJIOL,O,X,X
STZJLIO,X,O,X
STZJLOI,X,O,X
STZJOIL,O,X,X
STZJOLI,O,O,X
STZOILJ,O,X,X
STZOIJL,O,X,X
STZOLIJ,O,X,X
STZOLJI,O,X,X
STZOJIL,O,X,X
STZOJLI,O,X,X
STOILJZ,O,O,X
STOILZJ,O,X,X
STOIJLZ,O,O,X
STOIJZL,O,X,X
STOIZLJ,O,X,X
STOIZJL,O,X,X
STOLIJZ,O,O,X
STOLIZJ,O,X,X
STOLJIZ,O,O,X
STOLJZI,O,O,X
STOLZIJ,O,X,X
STOLZJI,O,X,X
STOJILZ,O,O,X
STOJIZL,O,X,X
STOJLIZ,O,O,X
STOJLZI,O,O,X
STOJZIL,O,X,X
STOJZLI,O,O,X
STOZILJ,O,X,X
STOZIJL,O,X,X
STOZLIJ,O,X,X
STOZLJI,O,X,X
STOZJIL,O,X,X
STOZJLI,O,X,X
SITLJZO,X,O,X
SITLJOZ,O,O,X
SITLZJO,X,O,X
SITLZOJ,O,X,O
SITLOJZ,O,O,X
SITLOZJ,O,X,O
SITJLZO,X,O,X
SITJLOZ,O,O,X
SITJZLO,X,O,X
SITJZOL,O,X,X
SITJOLZ,O,O,X
SITJOZL,O,X,X
SITZLJO,X,O,X
SITZLOJ,O,X,O
SITZJLO,X,O,X
SITZJOL,O,X,X
SITZOLJ,O,X,O
SITZOJL,O,X,X
SITOLJZ,O,O,X
SITOLZJ,O,X,O
SITOJLZ,O,O,X
SITOJZL,O,X,X
SITOZLJ,O,X,O
SITOZJL,O,X,X
SILTJZO,X,O,X
SILTJOZ,O,O,X
SILTZJO,X,O,X
SILTZOJ,O,X,O
SILTOJZ,O,O,X
SILTOZJ,O,X,O
SILJTZO,X,O,X
SILJTOZ,O,O,X
SILJZTO,X,O,X
SILJZOT,X,O,X
SILJOTZ,O,O,X
SILJOZT,O,O,X
SILZTJO,X,O,X
SILZTOJ,O,X,O
SILZJTO,X,O,X
SILZJOT,X,O,X
SILZOTJ,O,X,X
SILZOJT,O,O,X
SILOTJZ,O,O,X
SILOTZJ,O,X,O
SILOJTZ,O,O,X
SILOJZT,O,O,X
SILOZTJ,O,X,X
SILOZJT,O,O,X
SIJTLZO,X,O,X
SIJTLOZ,O,O,X
SIJTZLO,X,O,X
SIJTZOL,O,X,X
SIJTOLZ,O,O,X
SIJTOZL,O,X,X
SIJLTZO,X,O,X
SIJLTOZ,O,O,X
SIJLZTO,X,O,X
SIJLZOT,X,O,X
SIJLOTZ,O,O,X
SIJLOZT,O,O,X
SIJZTLO,X,O,X
SIJZTOL,O,X,X
SIJZLTO,X,O,X
SIJZLOT,X,O,X
SIJZOTL,O,X,X
SIJZOLT,O,X,X
SIJOTLZ,O,O,X
SIJOTZL,O,X,X
SIJOLTZ,O,O,X
SIJOLZT,O,O,X
SIJOZTL,O,X,X
SIJOZLT,O,X,X
SIZTLJO,X,O,X
SIZTLOJ,O,X,O
SIZTJLO,X,O,X
SIZTJOL,O,X,X
SIZTOLJ,O,X,O
SIZTOJL,O,X,X
SIZLTJO,X,O,X
SIZLTOJ,O,X,O
SIZLJTO,X,O,X
SIZLJOT,X,O,X
SIZLOTJ,O,X,X
SIZLOJT,O,O,X
SIZJTLO,X,O,X
SIZJTOL,O,X,X
SIZJLTO,X,O,X
SIZJLOT,X,O,X
SIZJOTL,O,X,X
SIZJOLT,O,X,X
SIZOTLJ,O,X,X
SIZOTJL,O,X,X
SIZOLTJ,O,X,X
SIZOLJT,O,X,X
SIZOJTL,O,X,X
SIZOJLT,O,X,X
SIOTLJZ,O,O,X
SIOTLZJ,O,X,O
SIOTJLZ,O,O,X
SIOTJZL,O,X,X
SIOTZLJ,O,X,O
SIOTZJL,O,X,X
SIOLTJZ,O,O,X
SIOLTZJ,O,X,O
SIOLJTZ,O,O,X
SIOLJZT,O,O,X
SIOLZTJ,O,X,X
SIOLZJT,O,O,X
SIOJTLZ,O,O,X
SIOJTZL,O,X,X
SIOJLTZ,O,O,X
SIOJLZT,O,O,X
SIOJZTL,O,X,X
SIOJZLT,O,X,X
SIOZTLJ,O,X,X
SIOZTJL,O,X,X
SIOZLTJ,O,X,X
SIOZLJT,O,X,X
SIOZJTL,O,X,X
SIOZJLT,O,X,X
SLTIJZO,X,O,X
SLTIJOZ,O,O,X
SLTIZJO,X,O,X
SLTIZOJ,O,X,X
SLTIOJZ,O,O,X
SLTIOZJ,O,X,X
SLTJIZO,X,O,X
SLTJIOZ,O,O,X
SLTJZIO,X,O,X
SLTJZOI,X,O,X
SLTJOIZ,O,O,X
SLTJOZI,O,O,X
SLTZIJO,X,O,X
SLTZIOJ,O,X,X
SLTZJIO,X,O,X
SLTZJOI,X,O,X
SLTZOIJ,O,X,X
SLTZOJI,O,X,X
SLTOIJZ,O,O,X
SLTOIZJ,O,X,X
SLTOJIZ,O,O,X
SLTOJZI,O,O,X
SLTOZIJ,O,X,X
SLTOZJI,O,X,X
SLITJZO,X,O,X
SLITJOZ,O,O,X
SLITZJO,X,O,X
SLITZOJ,O,X,X
SLITOJZ,O,O,X
SLITOZJ,O,X,X
SLIJTZO,X,O,X
SLIJTOZ,O,O,X
SLIJZTO,X,O,X
SLIJZOT,X,O,X
SLIJOTZ,O,O,X
SLIJOZT,O,O,X
SLIZTJO,X,O,X
SLIZTOJ,O,X,X
SLIZJTO,X,O,X
SLIZJOT,X,O,X
SLIZOTJ,O,X,X
SLIZOJT,O,O,X
SLIOTJZ,O,O,X
SLIOTZJ,O,X,X
SLIOJTZ,O,O,X
SLIOJZT,O,O,X
SLIOZTJ,O,X,X
SLIOZJT,O,O,X
SLJTIZO,X,O,X
SLJTIOZ,O,O,X
SLJTZIO,X,O,X
SLJTZOI,X,O,X
SLJTOIZ,O,O,X
SLJTOZI,O,O,X
SLJITZO,X,O,X
SLJITOZ,O,O,X
SLJIZTO,X,O,X
SLJIZOT,X,O,X
SLJIOTZ,O,O,X
SLJIOZT,O,O,X
SLJZTIO,X,O,X
SLJZTOI,X,O,X
SLJZITO,X,O,X
SLJZIOT,X,O,X
SLJZOTI,X,O,X
SLJZOIT,X,O,X
SLJOTIZ,O,O,X
SLJOTZI,O,O,X
SLJOITZ,O,O,X
SLJOIZT,O,O,X
SLJOZTI,O,O,X
SLJOZIT,O,O,X
SLZTIJO,X,O,X
SLZTIOJ,O,X,X
SLZTJIO,X,O,X
SLZTJOI,X,O,X
SLZTOIJ,O,X,X
SLZTOJI,O,X,X
SLZITJO,X,O,X
SLZITOJ,O,X,X
SLZIJTO,X,O,X
SLZIJOT,X,O,X
SLZIOTJ,O,X,X
SLZIOJT,O,O,X
SLZJTIO,X,O,X
SLZJTOI,X,O,X
SLZJITO,X,O,X
SLZJIOT,X,O,X
SLZJOTI,X,O,X
SLZJOIT,X,O,X
SLZOTIJ,O,X,X
SLZOTJI,O,X,X
SLZOITJ,O,X,X
SLZOIJT,O,O,X
SLZOJTI,O,O,X
SLZOJIT,O,O,X
SLOTIJZ,O,O,X
SLOTIZJ,O,X,X
SLOTJIZ,O,O,X
SLOTJZI,O,O,X
SLOTZIJ,O,X,X
SLOTZJI,O,X,X
SLOITJZ,O,O,X
SLOITZJ,O,X,X
SLOIJTZ,O,O,X
SLOIJZT,O,O,X
SLOIZTJ,O,X,X
SLOIZJT,O,O,X
SLOJTIZ,O,O,X
SLOJTZI,O,O,X
SLOJITZ,O,O,X
SLOJIZT,O,O,X
SLOJZTI,O,O,X
SLOJZIT,O,O,X
SLOZTIJ,O,X,X
SLOZTJI,O,X,X
SLOZITJ,O,X,X
SLOZIJT,O,O,X
SLOZJTI,O,O,X
SLOZJIT,O,O,X
SJTILZO,X,O,X
SJTILOZ,O,O,X
SJTIZLO,X,O,X
SJTIZOL,O,X,X
SJTIOLZ,O,O,X
SJTIOZL,O,X,X
SJTLIZO,X,O,X
SJTLIOZ,O,O,X
SJTLZIO,X,O,X
SJTLZOI,X,O,X
SJTLOIZ,O,O,X
SJTLOZI,O,O,X
SJTZILO,X,O,X
SJTZIOL,O,X,X
SJTZLIO,X,O,X
SJTZLOI,X,O,X
SJTZOIL,O,X,X
SJTZOLI,O,O,X
SJTOILZ,O,O,X
SJTOIZL,O,X,X
SJTOLIZ,O,O,X
SJTOLZI,O,O,X
SJTOZIL,O,X,X
SJTOZLI,O,O,X
SJITLZO,X,O,X
SJITLOZ,O,O,X
SJITZLO,X,O,X
SJITZOL,O,X,X
SJITOLZ,O,O,X
SJITOZL,O,X,X
SJILTZO,X,O,X
SJILTOZ,O,O,X
SJILZTO,X,O,X
SJILZOT,X,O,X
SJILOTZ,O,O,X
SJILOZT,O,O,X
SJIZTLO,X,O,X
SJIZTOL,O,X,X
SJIZLTO,X,O,X
SJIZLOT,X,O,X
SJIZOTL,O,X,X
SJIZOLT,O,X,X
SJIOTLZ,O,O,X
SJIOTZL,O,X,X
SJIOLTZ,O,O,X
SJIOLZT,O,O,X
SJIOZTL,O,X,X
SJIOZLT,O,X,X
SJLTIZO,X,O,X
SJLTIOZ,O,O,X
SJLTZIO,X,O,X
SJLTZOI,X,O,X
SJLTOIZ,O,O,X
SJLTOZI,O,O,X
SJLITZO,X,O,X
SJLITOZ,O,O,X
SJLIZTO,X,O,X
SJLIZOT,X,O,X
SJLIOTZ,O,O,X
SJLIOZT,O,O,X
SJLZTIO,X,O,X
SJLZTOI,X,O,X
SJLZITO,X,O,X
SJLZIOT,X,O,X
SJLZOTI,X,O,X
SJLZOIT,X,O,X
SJLOTIZ,O,O,X
SJLOTZI,O,O,X
SJLOITZ,O,O,X
SJLOIZT,O,O,X
SJLOZTI,O,O,X
SJLOZIT,O,O,X
SJZTILO,X,O,X
SJZTIOL,O,X,X
SJZTLIO,X,O,X
SJZTLOI,X,O,X
SJZTOIL,O,X,X
SJZTOLI,O,O,X
SJZITLO,X,O,X
SJZITOL,O,X,X
SJZILTO,X,O,X
SJZILOT,X,O,X
SJZIOTL,O,X,X
SJZIOLT,O,X,X
SJZLTIO,X,O,X
SJZLTOI,X,O,X
SJZLITO,X,O,X
SJZLIOT,X,O,X
SJZLOTI,X,O,X
SJZLOIT,X,O,X
SJZOTIL,O,X,X
SJZOTLI,O,O,X
SJZOITL,O,X,X
SJZOILT,O,X,X
SJZOLTI,O,O,X
SJZOLIT,O,O,X
SJOTILZ,O,O,X
SJOTIZL,O,X,X
SJOTLIZ,O,O,X
SJOTLZI,O,O,X
SJOTZIL,O,X,X
SJOTZLI,O,O,X
SJOITLZ,O,O,X
SJOITZL,O,X,X
SJOILTZ,O,O,X
SJOILZT,O,O,X
SJOIZTL,O,X,X
SJOIZLT,O,X,X
SJOLTIZ,O,O,X
SJOLTZI,O,O,X
SJOLITZ,O,O,X
SJOLIZT,O,O,X
SJOLZTI,O,O,X
SJOLZIT,O,O,X
SJOZTIL,O,X,X
SJOZTLI,O,O,X
SJOZITL,O,X,X
SJOZILT,O,X,X
SJOZLTI,O,O,X
SJOZLIT,O,O,X
SZTILJO,X,O,X
SZTILOJ,O,X,O
SZTIJLO,X,O,X
SZTIJOL,O,X,X
SZTIOLJ,O,X,O
SZTIOJL,O,X,X
SZTLIJO,X,O,X
SZTLIOJ,O,X,X
SZTLJIO,X,O,X
SZTLJOI,X,O,X
SZTLOIJ,O,X,X
SZTLOJI,O,X,X
SZTJILO,X,O,X
SZTJIOL,O,X,X
SZTJLIO,X,O,X
SZTJLOI,X,O,X
SZTJOIL,O,X,X
SZTJOLI,O,O,X
SZTOILJ,O,X,X
SZTOIJL,O,X,X
SZTOLIJ,O,X,X
SZTOLJI,O,X,X
SZTOJIL,O,X,X
SZTOJLI,O,X,X
SZITLJO,X,O,X
SZITLOJ,O,X,O
SZITJLO,X,O,X
SZITJOL,O,X,X
SZITOLJ,O,X,O
SZITOJL,O,X,X
SZILTJO,X,O,X
SZILTOJ,O,X,O
SZILJTO,X,O,X
SZILJOT,X,O,X
SZILOTJ,O,X,X
SZILOJT,O,O,X
SZIJTLO,X,O,X
SZIJTOL,O,X,X
SZIJLTO,X,O,X
SZIJLOT,X,O,X
SZIJOTL,O,X,X
SZIJOLT,O,X,X
SZIOTLJ,O,X,X
SZIOTJL,O,X,X
SZIOLTJ,O,X,X
SZIOLJT,O,X,X
SZIOJTL,O,X,X
SZIOJLT,O,X,X
SZLTIJO,X,O,X
SZLTIOJ,O,X,X
SZLTJIO,X,O,X
SZLTJOI,X,O,X
SZLTOIJ,O,X,X
SZLTOJI,O,X,X
SZLITJO,X,O,X
SZLITOJ,O,X,X
SZLIJTO,X,O,X
SZLIJOT,X,O,X
SZLIOTJ,O,X,X
SZLIOJT,O,O,X
SZLJTIO,X,O,X
SZLJTOI,X,O,X
SZLJITO,X,O,X
SZLJIOT,X,O,X
SZLJOTI,X,O,X
SZLJOIT,X,O,X
SZLOTIJ,O,X,X
SZLOTJI,O,X,X
SZLOITJ,O,X,X
SZLOIJT,O,O,X
SZLOJTI,O,O,X
SZLOJIT,O,O,X
SZJTILO,X,O,X
SZJTIOL,O,X,X
SZJTLIO,X,O,X
SZJTLOI,X,O,X
SZJTOIL,O,X,X
SZJTOLI,O,O,X
SZJITLO,X,O,X
SZJITOL,O,X,X
SZJILTO,X,O,X
SZJILOT,X,O,X
SZJIOTL,O,X,X
SZJIOLT,O,X,X
SZJLTIO,X,O,X
SZJLTOI,X,O,X
SZJLITO,X,O,X
SZJLIOT,X,O,X
SZJLOTI,X,O,X
SZJLOIT,X,O,X
SZJOTIL,O,X,X
SZJOTLI,O,O,X
SZJOITL,O,X,X
SZJOILT,O,X,X
SZJOLTI,O,O,X
SZJOLIT,O,O,X
SZOTILJ,O,X,X
SZOTIJL,O,X,X
SZOTLIJ,O,X,X
SZOTLJI,O,X,X
SZOTJIL,O,X,X
SZOTJLI,O,X,X
SZOITLJ,O,X,X
SZOITJL,O,X,X
SZOILTJ,O,X,X
SZOILJT,O,X,X
SZOIJTL,O,X,X
SZOIJLT,O,X,X
SZOLTIJ,O,X,X
SZOLTJI,O,X,X
SZOLITJ,O,X,X
SZOLIJT,O,X,X
SZOLJTI,O,X,X
SZOLJIT,O,X,X
SZOJTIL,O,X,X
SZOJTLI,O,X,X
SZOJITL,O,X,X
SZOJILT,O,X,X
SZOJLTI,O,X,X
SZOJLIT,O,X,X
SOTILJZ,O,O,X
SOTILZJ,O,X,X
SOTIJLZ,O,O,X
SOTIJZL,O,X,X
SOTIZLJ,O,X,X
SOTIZJL,O,X,X
SOTLIJZ,O,O,X
SOTLIZJ,O,X,X
SOTLJIZ,O,O,X
SOTLJZI,O,O,X
SOTLZIJ,O,X,X
SOTLZJI,O,X,X
SOTJILZ,O,O,X
SOTJIZL,O,X,X
SOTJLIZ,O,O,X
SOTJLZI,O,O,X
SOTJZIL,O,X,X
SOTJZLI,O,O,X
SOTZILJ,O,X,X
SOTZIJL,O,X,X
SOTZLIJ,O,X,X
SOTZLJI,O,X,X
SOTZJIL,O,X,X
SOTZJLI,O,X,X
SOITLJZ,O,O,X
SOITLZJ,O,X,X
SOITJLZ,O,O,X
SOITJZL,O,X,X
SOITZLJ,O,X,X
SOITZJL,O,X,X
SOILTJZ,O,O,X
SOILTZJ,O,X,X
SOILJTZ,O,O,X
SOILJZT,O,O,X
SOILZTJ,O,X,X
SOILZJT,O,O,X
SOIJTLZ,O,O,X
SOIJTZL,O,X,X
SOIJLTZ,O,O,X
SOIJLZT,O,O,X
SOIJZTL,O,X,X
SOIJZLT,O,X,X
SOIZTLJ,O,X,X
SOIZTJL,O,X,X
SOIZLTJ,O,X,X
SOIZLJT,O,X,X
SOIZJTL,O,X,X
SOIZJLT,O,X,X
SOLTIJZ,O,O,X
SOLTIZJ,O,X,X
SOLTJIZ,O,O,X
SOLTJZI,O,O,X
SOLTZIJ,O,X,X
SOLTZJI,O,X,X
SOLITJZ,O,O,X
SOLITZJ,O,X,X
SOLIJTZ,O,O,X
SOLIJZT,O,O,X
SOLIZTJ,O,X,X
SOLIZJT,O,O,X
SOLJTIZ,O,O,X
SOLJTZI,O,O,X
SOLJITZ,O,O,X
SOLJIZT,O,O,X
SOLJZTI,O,O,X
SOLJZIT,O,O,X
SOLZTIJ,O,X,X
SOLZTJI,O,X,X
SOLZITJ,O,X,X
SOLZIJT,O,O,X
SOLZJTI,O,O,X
SOLZJIT,O,O,X
SOJTILZ,O,O,X
SOJTIZL,O,X,X
SOJTLIZ,O,O,X
SOJTLZI,O,O,X
SOJTZIL,O,X,X
SOJTZLI,O,O,X
SOJITLZ,O,O,X
SOJITZL,O,X,X
SOJILTZ,O,O,X
SOJILZT,O,O,X
SOJIZTL,O,X,X
SOJIZLT,O,X,X
SOJLTIZ,O,O,X
SOJLTZI,O,O,X
SOJLITZ,O,O,X
SOJLIZT,O,O,X
SOJLZTI,O,O,X
SOJLZIT,O,O,X
SOJZTIL,O,X,X
SOJZTLI,O,O,X
SOJZITL,O,X,X
SOJZILT,O,X,X
SOJZLTI,O,O,X
SOJZLIT,O,O,X
SOZTILJ,O,X,X
SOZTIJL,O,X,X
SOZTLIJ,O,X,X
SOZTLJI,O,X,X
SOZTJIL,O,X,X
SOZTJLI,O,X,X
SOZITLJ,O,X,X
SOZITJL,O,X,X
SOZILTJ,O,X,X
SOZILJT,O,X,X
SOZIJTL,O,X,X
SOZIJLT,O,X,X
SOZLTIJ,O,X,X
SOZLTJI,O,X,X
SOZLITJ,O,X,X
SOZLIJT,O,X,X
SOZLJTI,O,X,X
SOZLJIT,O,X,X
SOZJTIL,O,X,X
SOZJTLI,O,X,X
SOZJITL,O,X,X
SOZJILT,O,X,X
SOZJLTI,O,X,X
SOZJLIT,O,X,X
ZTILJSO,X,O,X
ZTILJOS,X,O,O
ZTILSJO,X,O,X
ZTILSOJ,O,X,O
ZTILOJS,O,X,O
ZTILOSJ,O,X,O
ZTIJLSO,X,O,X
ZTIJLOS,X,O,O
ZTIJSLO,X,O,X
ZTIJSOL,O,X,X
ZTIJOLS,O,X,O
ZTIJOSL,O,X,X
ZTISLJO,X,O,X
ZTISLOJ,O,X,O
ZTISJLO,X,O,X
ZTISJOL,O,X,X
ZTISOLJ,O,X,O
ZTISOJL,O,X,X
ZTIOLJS,O,X,O
ZTIOLSJ,O,X,O
ZTIOJLS,O,X,O
ZTIOJSL,O,X,X
ZTIOSLJ,O,X,O
ZTIOSJL,O,X,X
ZTLIJSO,X,O,X
ZTLIJOS,X,O,O
ZTLISJO,X,O,X
ZTLISOJ,O,X,O
ZTLIOJS,O,X,O
ZTLIOSJ,O,X,O
ZTLJISO,X,O,X
ZTLJIOS,X,O,X
ZTLJSIO,X,O,X
ZTLJSOI,X,O,X
ZTLJOIS,X,O,X
ZTLJOSI,X,O,X
ZTLSIJO,X,O,X
ZTLSIOJ,O,X,X
ZTLSJIO,X,O,X
ZTLSJOI,X,O,X
ZTLSOIJ,O,X,X
ZTLSOJI,O,X,X
ZTLOIJS,O,X,X
ZTLOISJ,O,X,X
ZTLOJIS,O,X,X
ZTLOJSI,O,X,X
ZTLOSIJ,O,X,X
ZTLOSJI,O,X,X
ZTJILSO,X,O,X
ZTJILOS,X,O,O
ZTJISLO,X,O,X
ZTJISOL,O,X,X
ZTJIOLS,O,X,O
ZTJIOSL,O,X,X
ZTJLISO,X,O,X
ZTJLIOS,X,O,X
ZTJLSIO,X,O,X
ZTJLSOI,X,O,X
ZTJLOIS,X,O,X
ZTJLOSI,X,O,X
ZTJSILO,X,O,X
ZTJSIOL,O,X,X
ZTJSLIO,X,O,X
ZTJSLOI,X,O,X
ZTJSOIL,O,X,X
ZTJSOLI,O,O,X
ZTJOILS,O,X,X
ZTJOISL,O,X,X
ZTJOLIS,O,O,X
ZTJOLSI,O,O,X
ZTJOSIL,O,X,X
ZTJOSLI,O,O,X
ZTSILJO,X,O,X
ZTSILOJ,O,X,O
ZTSIJLO,X,O,X
ZTSIJOL,O,X,X
ZTSIOLJ,O,X,O
ZTSIOJL,O,X,X
ZTSLIJO,X,O,X
ZTSLIOJ,O,X,X
ZTSLJIO,X,O,X
ZTSLJOI,X,O,X
ZTSLOIJ,O,X,X
ZTSLOJI,O,X,X
ZTSJILO,X,O,X
ZTSJIOL,O,X,X
ZTSJLIO,X,O,X
ZTSJLOI,X,O,X
ZTSJOIL,O,X,X
ZTSJOLI,O,O,X
ZTSOILJ,O,X,X
ZTSOIJL,O,X,X
ZTSOLIJ,O,X,X
ZTSOLJI,O,X,X
ZTSOJIL,O,X,X
ZTSOJLI,O,X,X
ZTOILJS,O,X,O
ZTOILSJ,O,X,O
ZTOIJLS,O,X,O
ZTOIJSL,O,X,X
ZTOISLJ,O,X,O
ZTOISJL,O,X,X
ZTOLIJS,O,X,X
ZTOLISJ,O,X,X
ZTOLJIS,O,X,X
ZTOLJSI,O,X,X
ZTOLSIJ,O,X,X
ZTOLSJI,O,X,X
ZTOJILS,O,X,X
ZTOJISL,O,X,X
ZTOJLIS,O,X,X
ZTOJLSI,O,X,X
ZTOJSIL,O,X,X
ZTOJSLI,O,X,X
ZTOSILJ,O,X,X
ZTOSIJL,O,X,X
ZTOSLIJ,O,X,X
ZTOSLJI,O,X,X
ZTOSJIL,O,X,X
ZTOSJLI,O,X,X
ZITLJSO,X,O,X
ZITLJOS,X,O,O
ZITLSJO,X,O,X
ZITLSOJ,O,X,O
ZITLOJS,O,X,O
ZITLOSJ,O,X,O
ZITJLSO,X,O,X
ZITJLOS,X,O,O
ZITJSLO,X,O,X
ZITJSOL,O,X,X
ZITJOLS,O,X,O
ZITJOSL,O,X,X
ZITSLJO,X,O,X
ZITSLOJ,O,X,O
ZITSJLO,X,O,X
ZITSJOL,O,X,X
ZITSOLJ,O,X,O
ZITSOJL,O,X,X
ZITOLJS,O,X,O
ZITOLSJ,O,X,O
ZITOJLS,O,X,O
ZITOJSL,O,X,X
ZITOSLJ,O,X,O
ZITOSJL,O,X,X
ZILTJSO,X,O,X
ZILTJOS,X,O,O
ZILTSJO,X,O,X
ZILTSOJ,O,X,O
ZILTOJS,O,X,O
ZILTOSJ,O,X,O
ZILJTSO,X,O,X
ZILJTOS,X,O,O
ZILJSTO,X,O,X
ZILJSOT,X,O,X
ZILJOTS,X,O,X
ZILJOST,X,O,X
ZILSTJO,X,O,X
ZILSTOJ,O,X,O
ZILSJTO,X,O,X
ZILSJOT,X,O,X
ZILSOTJ,O,X,X
ZILSOJT,O,O,X
ZILOTJS,O,X,O
ZILOTSJ,O,X,O
ZILOJTS,O,O,X
ZILOJST,O,O,X
ZILOSTJ,O,X,X
ZILOSJT,O,O,X
ZIJTLSO,X,O,X
ZIJTLOS,X,O,O
ZIJTSLO,X,O,X
ZIJTSOL,O,X,X
ZIJTOLS,O,X,O
ZIJTOSL,O,X,X
ZIJLTSO,X,O,X
ZIJLTOS,X,O,O
ZIJLSTO,X,O,X
ZIJLSOT,X,O,X
ZIJLOTS,X,O,X
ZIJLOST,X,O,X
ZIJSTLO,X,O,X
ZIJSTOL,O,X,X
ZIJSLTO,X,O,X
ZIJSLOT,X,O,X
ZIJSOTL,O,X,X
ZIJSOLT,O,X,X
ZIJOTLS,O,X,X
ZIJOTSL,O,X,X
ZIJOLTS,O,X,X
ZIJOLST,O,X,X
ZIJOSTL,O,X,X
ZIJOSLT,O,X,X
ZISTLJO,X,O,X
ZISTLOJ,O,X,O
ZISTJLO,X,O,X
ZISTJOL,O,X,X
ZISTOLJ,O,X,O
ZISTOJL,O,X,X
ZISLTJO,X,O,X
ZISLTOJ,O,X,O
ZISLJTO,X,O,X
ZISLJOT,X,O,X
ZISLOTJ,O,X,X
ZISLOJT,O,O,X
ZISJTLO,X,O,X
ZISJTOL,O,X,X
ZISJLTO,X,O,X
ZISJLOT,X,O,X
ZISJOTL,O,X,X
ZISJOLT,O,X,X
ZISOTLJ,O,X,X
ZISOTJL,O,X,X
ZISOLTJ,O,X,X
ZISOLJT,O,X,X
ZISOJTL,O,X,X
ZISOJLT,O,X,X
ZIOTLJS,O,X,O
ZIOTLSJ,O,X,O
ZIOTJLS,O,X,O
ZIOTJSL,O,X,X
ZIOTSLJ,O,X,O
ZIOTSJL,O,X,X
ZIOLTJS,O,X,O
ZIOLTSJ,O,X,O
ZIOLJTS,O,X,X
ZIOLJST,O,X,X
ZIOLSTJ,O,X,X
ZIOLSJT,O,X,X
ZIOJTLS,O,X,X
ZIOJTSL,O,X,X
ZIOJLTS,O,X,X
ZIOJLST,O,X,X
ZIOJSTL,O,X,X
ZIOJSLT,O,X,X
ZIOSTLJ,O,X,X
ZIOSTJL,O,X,X
ZIOSLTJ,O,X,X
ZIOSLJT,O,X,X
ZIOSJTL,O,X,X
ZIOSJLT,O,X,X
ZLTIJSO,X,O,X
ZLTIJOS,X,O,O
ZLTISJO,X,O,X
ZLTISOJ,O,X,O
ZLTIOJS,O,X,O
ZLTIOSJ,O,X,O
ZLTJISO,X,O,X
ZLTJIOS,X,O,X
ZLTJSIO,X,O,X
ZLTJSOI,X,O,X
ZLTJOIS,X,O,X
ZLTJOSI,X,O,X
ZLTSIJO,X,O,X
ZLTSIOJ,O,X,X
ZLTSJIO,X,O,X
ZLTSJOI,X,O,X
ZLTSOIJ,O,X,X
ZLTSOJI,O,X,X
ZLTOIJS,O,X,X
ZLTOISJ,O,X,X
ZLTOJIS,O,X,X
ZLTOJSI,O,X,X
ZLTOSIJ,O,X,X
ZLTOSJI,O,X,X
ZLITJSO,X,O,X
ZLITJOS,X,O,O
ZLITSJO,X,O,X
ZLITSOJ,O,X,O
ZLITOJS,O,X,O
ZLITOSJ,O,X,O
ZLIJTSO,X,O,X
ZLIJTOS,X,O,O
ZLIJSTO,X,O,X
ZLIJSOT,X,O,X
ZLIJOTS,X,O,X
ZLIJOST,X,O,X
ZLISTJO,X,O,X
ZLISTOJ,O,X,O
ZLISJTO,X,O,X
ZLISJOT,X,O,X
ZLISOTJ,O,X,X
ZLISOJT,O,O,X
ZLIOTJS,O,X,O
ZLIOTSJ,O,X,O
ZLIOJTS,O,O,X
ZLIOJST,O,O,X
ZLIOSTJ,O,X,X
ZLIOSJT,O,O,X
ZLJTISO,X,O,X
ZLJTIOS,X,O,X
ZLJTSIO,X,O,X
ZLJTSOI,X,O,X
ZLJTOIS,X,O,X
ZLJTOSI,X,O,X
ZLJITSO,X,O,X
ZLJITOS,X,O,X
ZLJISTO,X,O,X
ZLJISOT,X,O,X
ZLJIOTS,X,O,X
ZLJIOST,X,O,X
ZLJSTIO,X,O,X
ZLJSTOI,X,O,X
ZLJSITO,X,O,X
ZLJSIOT,X,O,X
ZLJSOTI,X,O,X
ZLJSOIT,X,O,X
ZLJOTIS,X,O,X
ZLJOTSI,X,O,X
ZLJOITS,X,O,X
ZLJOIST,X,O,X
ZLJOSTI,X,O,X
ZLJOSIT,X,O,X
ZLSTIJO,X,O,X
ZLSTIOJ,O,X,X
ZLSTJIO,X,O,X
ZLSTJOI,X,O,X
ZLSTOIJ,O,X,X
ZLSTOJI,O,X,X
ZLSITJO,X,O,X
ZLSITOJ,O,X,X
ZLSIJTO,X,O,X
ZLSIJOT,X,O,X
ZLSIOTJ,O,X,X
ZLSIOJT,O,O,X
ZLSJTIO,X,O,X
ZLSJTOI,X,O,X
ZLSJITO,X,O,X
ZLSJIOT,X,O,X
