sequence,v115@HhA8GeA8AeA8GeG8CeB8Je0/IvhFlgB3hBGjB6sBRq?BzrB,v115@HhA8GeA8AeA8GeG8CeB8Je0/IvhFxgBVnBGjBSqB/r?BTsB,v115@HhA8GeA8AeA8GeG8CeB8Je0/IvhFxgB/nBGjBSqBTm?BVxB,v115@HhA8GeA8AeA8GeG8CeB8Jex/IvhF8lBGjBzkBFnB3m?BSxB
TSZJILO,X,O,O,X
TSZJIOL,X,O,O,X
TSZJLIO,X,O,O,X
TSZJLOI,X,O,O,X
TSZJOIL,X,O,O,X
TSZJOLI,X,O,O,X
TSZOILJ,X,O,O,X
TSZOIJL,X,O,O,X
TSZOLIJ,X,O,O,X
TSZOLJI,X,O,O,X
TSZOJIL,X,O,O,X
TSZOJLI,X,O,O,X
TSOILJZ,X,O,O,X
TSOILZJ,X,O,O,X
TSOIJLZ,X,O,O,X
TSOIJZL,X,O,O,X
TSOIZLJ,X,O,O,X
TSOIZJL,X,O,O,X
TSOLIJZ,X,O,O,X
TSOLIZJ,X,O,O,X
TSOLJIZ,X,O,O,X
TSOLJZI,X,O,O,X
TSOLZIJ,X,O,O,X
TSOLZJI,X,O,O,X
TSOJILZ,X,O,O,X
TSOJIZL,X,O,O,X
TSOJLIZ,X,O,O,X
TSOJLZI,X,O,O,X
TSOJZIL,X,O,O,X
TSOJZLI,X,O,O,X
TSOZILJ,X,O,O,X
TSOZIJL,X,O,O,X
TSOZLIJ,X,O,O,X
TSOZLJI,X,O,O,X
TSOZJIL,X,O,O,X
TSOZJLI,X,O,O,X
TZILJSO,O,X,O,X
TZILJOS,O,X,X,X
TZILSJO,O,O,O,X
TZILSOJ,O,O,O,X
TZILOJS,O,X,O,X
TZILOSJ,O,X,O,X
TZIJLSO,O,X,O,X
TZIJLOS,O,X,X,X
TZIJSLO,O,X,O,X
TZIJSOL,O,X,O,X
TZIJOLS,O,X,X,X
TZIJOSL,O,X,X,X
TZISLJO,O,O,O,X
TZISLOJ,O,X,O,X
TZISJLO,O,O,O,X
TZISJOL,O,O,O,X
TZISOLJ,O,X,O,X
TZISOJL,O,O,O,X
TZIOLJS,O,X,O,X
TZIOLSJ,O,X,O,X
TZIOJLS,O,X,X,X
TZIOJSL,O,X,O,X
TZIOSLJ,O,X,O,X
TZIOSJL,O,X,O,X
TZLIJSO,O,X,O,X
TZLIJOS,O,X,X,O
TZLISJO,O,O,O,X
TZLISOJ,O,O,O,X
TZLIOJS,O,X,O,O
TZLIOSJ,O,X,O,O
TZLJISO,O,X,O,X
TZLJIOS,O,X,X,O
TZLJSIO,O,O,O,X
TZLJSOI,O,O,O,O
TZLJOIS,O,O,O,O
TZLJOSI,O,O,O,O
TZLSIJO,O,O,O,X
TZLSIOJ,O,O,O,X
TZLSJIO,O,O,O,X
TZLSJOI,O,O,O,O
TZLSOIJ,X,O,O,O
TZLSOJI,O,O,O,O
TZLOIJS,O,O,O,O
TZLOISJ,O,O,O,O
TZLOJIS,O,O,O,O
TZLOJSI,O,O,O,O
TZLOSIJ,O,O,O,O
TZLOSJI,O,O,O,O
TZJILSO,O,X,O,X
TZJILOS,O,X,X,X
TZJISLO,O,X,O,X
TZJISOL,O,X,O,X
TZJIOLS,O,X,X,X
TZJIOSL,O,X,X,X
TZJLISO,O,X,O,X
TZJLIOS,O,X,X,O
TZJLSIO,O,O,O,X
TZJLSOI,O,O,O,O
TZJLOIS,O,O,O,O
TZJLOSI,O,O,O,O
TZJSILO,O,O,O,X
TZJSIOL,O,O,O,X
TZJSLIO,O,O,O,X
TZJSLOI,O,O,O,X
TZJSOIL,O,O,O,X
TZJSOLI,O,O,O,X
TZJOILS,O,O,X,O
TZJOISL,O,O,O,X
TZJOLIS,O,O,O,O
TZJOLSI,O,O,O,O
TZJOSIL,O,O,O,X
TZJOSLI,O,O,O,X
TZSILJO,O,O,O,X
TZSILOJ,O,O,O,X
TZSIJLO,O,O,O,X
TZSIJOL,O,O,O,X
TZSIOLJ,O,X,O,X
TZSIOJL,O,O,O,X
TZSLIJO,O,O,O,X
TZSLIOJ,O,O,O,X
TZSLJIO,O,O,O,X
TZSLJOI,O,O,O,X
TZSLOIJ,X,O,O,X
TZSLOJI,O,O,O,X
TZSJILO,O,O,O,X
TZSJIOL,O,O,O,X
TZSJLIO,O,O,O,X
TZSJLOI,O,O,O,X
TZSJOIL,O,O,O,X
TZSJOLI,O,O,O,X
TZSOILJ,X,O,O,X
TZSOIJL,O,O,O,X
TZSOLIJ,O,O,O,X
TZSOLJI,O,O,O,X
TZSOJIL,O,O,O,X
TZSOJLI,O,O,O,X
TZOILJS,O,O,O,O
TZOILSJ,O,O,O,O
TZOIJLS,O,O,X,O
TZOIJSL,O,O,O,X
TZOISLJ,O,O,O,X
TZOISJL,O,O,O,X
TZOLIJS,O,O,O,O
TZOLISJ,O,O,O,O
TZOLJIS,O,O,O,O
TZOLJSI,O,O,O,O
TZOLSIJ,O,O,O,O
TZOLSJI,O,O,O,O
TZOJILS,O,O,X,O
TZOJISL,O,O,O,X
TZOJLIS,O,O,O,O
TZOJLSI,O,O,O,O
TZOJSIL,O,O,O,X
TZOJSLI,O,O,O,X
TZOSILJ,X,O,O,X
TZOSIJL,O,O,O,X
TZOSLIJ,O,O,O,X
TZOSLJI,O,O,O,X
TZOSJIL,O,O,O,X
TZOSJLI,O,O,O,X
TOILJSZ,O,O,O,O
TOILJZS,O,O,O,O
TOILSJZ,O,O,O,O
TOILSZJ,O,O,O,O
TOILZJS,O,O,O,O
TOILZSJ,O,O,O,O
TOIJLSZ,O,O,O,O
TOIJLZS,O,O,O,O
TOIJSLZ,O,O,O,X
TOIJSZL,O,O,O,X
TOIJZLS,O,O,X,O
TOIJZSL,O,O,O,X
TOISLJZ,O,O,O,X
TOISLZJ,O,O,O,X
TOISJLZ,O,O,O,X
TOISJZL,O,O,O,X
TOISZLJ,O,O,O,X
TOISZJL,O,O,O,X
TOIZLJS,O,O,O,O
TOIZLSJ,O,O,O,O
TOIZJLS,O,O,X,O
TOIZJSL,O,O,O,X
TOIZSLJ,O,O,O,X
TOIZSJL,O,O,O,X
TOLIJSZ,O,O,O,O
TOLIJZS,O,O,O,O
TOLISJZ,O,O,O,O
TOLISZJ,O,O,O,O
TOLIZJS,O,O,O,O
TOLIZSJ,O,O,O,O
TOLJISZ,O,O,O,O
TOLJIZS,O,O,O,O
TOLJSIZ,O,O,O,O
TOLJSZI,O,O,O,O
TOLJZIS,O,O,O,O
TOLJZSI,O,O,O,O
TOLSIJZ,O,O,O,O
TOLSIZJ,O,O,O,O
TOLSJIZ,O,O,O,O
TOLSJZI,O,O,O,O
TOLSZIJ,O,O,O,O
TOLSZJI,O,O,O,O
TOLZIJS,O,O,O,O
TOLZISJ,O,O,O,O
TOLZJIS,O,O,O,O
TOLZJSI,O,O,O,O
TOLZSIJ,O,O,O,O
TOLZSJI,O,O,O,O
TOJILSZ,O,O,O,O
TOJILZS,O,O,O,O
TOJISLZ,O,O,O,X
TOJISZL,O,O,O,X
TOJIZLS,O,O,X,O
TOJIZSL,O,O,O,X
TOJLISZ,X,O,O,O
TOJLIZS,X,O,O,O
TOJLSIZ,X,O,O,O
TOJLSZI,X,O,O,O
TOJLZIS,X,O,O,O
TOJLZSI,X,O,O,O
TOJSILZ,O,O,O,X
TOJSIZL,O,O,O,X
TOJSLIZ,O,O,O,X
TOJSLZI,O,O,O,X
TOJSZIL,O,O,O,X
TOJSZLI,O,O,O,X
TOJZILS,X,O,X,O
TOJZISL,O,O,O,X
TOJZLIS,X,O,O,O
TOJZLSI,O,O,O,O
TOJZSIL,O,O,O,X
TOJZSLI,O,O,O,X
TOSILJZ,O,O,O,X
TOSILZJ,O,O,O,X
TOSIJLZ,O,O,O,X
TOSIJZL,O,O,O,X
TOSIZLJ,O,O,O,X
TOSIZJL,O,O,O,X
TOSLIJZ,O,O,O,X
TOSLIZJ,O,O,O,X
TOSLJIZ,O,O,O,X
TOSLJZI,O,O,O,X
TOSLZIJ,X,O,O,X
TOSLZJI,O,O,O,X
TOSJILZ,O,O,O,X
TOSJIZL,O,O,O,X
TOSJLIZ,O,O,O,X
TOSJLZI,O,O,O,X
TOSJZIL,O,O,O,X
TOSJZLI,O,O,O,X
TOSZILJ,O,O,O,X
TOSZIJL,O,O,O,X
TOSZLIJ,X,O,O,X
TOSZLJI,O,O,O,X
TOSZJIL,O,O,O,X
TOSZJLI,O,O,O,X
TOZILJS,O,O,O,O
TOZILSJ,O,O,O,O
TOZIJLS,X,O,X,O
TOZIJSL,O,O,O,X
TOZISLJ,X,O,O,X
TOZISJL,O,O,O,X
TOZLIJS,O,O,O,O
TOZLISJ,O,O,O,O
TOZLJIS,O,O,O,O
TOZLJSI,O,O,O,O
TOZLSIJ,O,O,O,O
TOZLSJI,O,O,O,O
TOZJILS,X,O,X,O
TOZJISL,O,O,O,X
TOZJLIS,O,O,O,O
TOZJLSI,O,O,O,O
TOZJSIL,O,O,O,X
TOZJSLI,O,O,O,X
TOZSILJ,X,O,O,X
TOZSIJL,O,O,O,X
TOZSLIJ,O,O,O,X
TOZSLJI,O,O,O,X
TOZSJIL,O,O,O,X
TOZSJLI,O,O,O,X
ITLJSZO,O,X,O,X
ITLJSOZ,O,X,O,X
ITLJZSO,O,X,O,X
ITLJZOS,O,X,X,X
ITLJOSZ,O,X,X,O
ITLJOZS,O,X,X,O
ITLSJZO,O,X,O,X
ITLSJOZ,O,X,O,X
ITLSZJO,O,X,O,X
ITLSZOJ,O,X,O,X
ITLSOJZ,O,X,O,X
ITLSOZJ,O,X,O,X
ITLZJSO,O,X,O,X
ITLZJOS,O,X,X,X
ITLZSJO,O,X,O,X
ITLZSOJ,O,X,O,X
ITLZOJS,O,X,O,X
ITLZOSJ,O,X,O,X
ITLOJSZ,O,X,O,O
ITLOJZS,O,X,O,O
ITLOSJZ,O,X,O,O
ITLOSZJ,O,X,O,O
ITLOZJS,O,X,O,O
ITLOZSJ,O,X,O,O
ITJLSZO,O,X,X,X
ITJLSOZ,O,X,X,X
ITJLZSO,O,X,X,X
ITJLZOS,O,X,X,X
ITJLOSZ,O,X,X,O
ITJLOZS,O,X,X,O
ITJSLZO,O,X,X,X
ITJSLOZ,O,X,X,X
ITJSZLO,O,X,X,X
ITJSZOL,O,X,X,X
ITJSOLZ,O,X,X,X
ITJSOZL,O,X,X,X
ITJZLSO,O,X,X,X
ITJZLOS,O,X,X,X
ITJZSLO,O,X,X,X
ITJZSOL,O,X,X,X
ITJZOLS,O,X,X,X
ITJZOSL,O,X,X,X
ITJOLSZ,O,X,X,O
ITJOLZS,O,X,X,O
ITJOSLZ,O,X,X,X
ITJOSZL,O,X,X,X
ITJOZLS,O,X,X,O
ITJOZSL,O,X,X,X
ITSLJZO,O,X,O,X
ITSLJOZ,O,X,O,X
ITSLZJO,O,X,O,X
ITSLZOJ,O,X,O,X
ITSLOJZ,O,X,O,X
ITSLOZJ,O,X,O,X
ITSJLZO,O,X,O,X
ITSJLOZ,O,X,O,X
ITSJZLO,O,X,O,X
ITSJZOL,O,X,O,X
ITSJOLZ,O,X,O,X
ITSJOZL,O,X,O,X
ITSZLJO,O,X,O,X
ITSZLOJ,O,X,O,X
ITSZJLO,O,X,O,X
ITSZJOL,O,X,O,X
ITSZOLJ,O,X,O,X
ITSZOJL,O,X,O,X
ITSOLJZ,O,X,O,X
ITSOLZJ,O,X,O,X
ITSOJLZ,O,X,O,X
ITSOJZL,O,X,O,X
ITSOZLJ,O,X,O,X
ITSOZJL,O,X,O,X
ITZLJSO,O,X,O,X
ITZLJOS,O,X,X,X
ITZLSJO,O,X,O,X
ITZLSOJ,O,X,O,X
ITZLOJS,O,X,O,X
ITZLOSJ,O,X,O,X
ITZJLSO,O,X,O,X
ITZJLOS,O,X,X,X
ITZJSLO,O,X,O,X
ITZJSOL,O,X,O,X
ITZJOLS,O,X,X,X
ITZJOSL,O,X,X,X
ITZSLJO,O,X,O,X
ITZSLOJ,O,X,O,X
ITZSJLO,O,X,O,X
ITZSJOL,O,X,O,X
ITZSOLJ,O,X,O,X
ITZSOJL,O,X,O,X
ITZOLJS,O,X,O,X
ITZOLSJ,O,X,O,X
ITZOJLS,O,X,X,X
ITZOJSL,O,X,O,X
ITZOSLJ,O,X,O,X
ITZOSJL,O,X,O,X
ITOLJSZ,O,X,O,O
