sequence,v115@GhA8IeB8EeA8AeD8DeD8JeT/IvhFxgBXiB8nBmlBFq?BSwB,v115@GhA8IeB8EeA8AeD8DeD8Jei/IvhFfmBxhB8nBzkBur?B1vB,v115@GhA8IeB8EeA8AeD8DeD8Je/EJvhFUgBamBRiB+rBln?BTqB,v115@GhA8IeB8EeA8AeD8DeD8Je/EJvhFRgBFiB8nBKqBzl?B+rB,v115@GhA8IeB8EeA8AeD8DeD8Je/EJvhFFgBxhB8nBarBur?BTqB,v115@GhA8IeB8EeA8AeD8DeD8Je/EJvhFUgBRiB6rBlnBzl?B2vB,v115@GhA8IeB8EeA8AeD8DeD8Je/EJvhFRgB8nBOqBlmBzq?BCsB,v115@GhA8IeB8EeA8AeD8DeD8JeT/IvhF3gB8nBlmBRqB2v?BCsB
TZJOISL,O,O,O,X,O,X,O,O
TZJOLIS,O,O,O,O,O,X,X,X
TZJOLSI,O,O,O,O,O,X,O,X
TZJOSIL,O,O,O,O,O,X,O,O
TZJOSLI,O,O,O,O,O,X,O,X
TZSILJO,O,O,X,O,O,O,X,X
TZSILOJ,O,O,X,O,O,O,X,O
TZSIJLO,O,O,O,O,O,O,X,X
TZSIJOL,O,O,O,O,O,X,O,O
TZSIOLJ,O,O,X,O,O,O,X,O
TZSIOJL,O,O,O,O,O,X,O,O
TZSLIJO,O,O,X,O,O,O,X,X
TZSLIOJ,O,O,X,O,O,O,X,O
TZSLJIO,O,O,O,O,O,O,X,X
TZSLJOI,O,O,O,O,O,O,O,X
TZSLOIJ,O,O,X,O,O,O,X,O
TZSLOJI,O,O,O,O,O,O,O,X
TZSJILO,O,O,O,O,O,O,X,X
TZSJIOL,O,O,O,O,O,X,O,O
TZSJLIO,O,O,O,O,O,O,X,X
TZSJLOI,O,O,O,O,O,O,O,X
TZSJOIL,O,O,O,O,O,X,O,O
TZSJOLI,O,O,O,O,O,O,O,X
TZSOILJ,O,O,X,O,O,O,X,O
TZSOIJL,O,O,O,O,O,X,O,O
TZSOLIJ,O,O,X,O,O,O,X,O
TZSOLJI,O,O,O,O,O,O,O,X
TZSOJIL,O,O,O,O,O,X,O,O
TZSOJLI,O,O,O,O,O,O,O,X
TZOILJS,O,O,X,X,X,X,X,X
TZOILSJ,O,O,X,X,X,X,X,O
TZOIJLS,O,O,X,X,X,X,X,X
TZOIJSL,O,O,X,X,X,X,O,O
TZOISLJ,O,O,X,X,O,X,X,O
TZOISJL,O,O,X,X,O,X,O,O
TZOLIJS,O,O,X,X,X,X,X,X
TZOLISJ,O,O,X,X,O,X,X,O
TZOLJIS,O,O,X,O,O,X,X,X
TZOLJSI,O,O,X,O,O,X,O,X
TZOLSIJ,O,O,X,O,O,X,X,O
TZOLSJI,O,O,X,O,O,X,O,X
TZOJILS,O,O,O,O,X,X,X,X
TZOJISL,O,O,O,X,O,X,O,O
TZOJLIS,O,O,O,O,O,X,X,X
TZOJLSI,O,O,O,O,O,X,O,X
TZOJSIL,O,O,O,O,O,X,O,O
TZOJSLI,O,O,O,O,O,X,O,X
TZOSILJ,O,O,X,O,O,X,X,O
TZOSIJL,O,O,O,O,O,X,O,O
TZOSLIJ,O,O,X,O,O,X,X,O
TZOSLJI,O,O,O,O,O,X,O,X
TZOSJIL,O,O,O,O,O,X,O,O
TZOSJLI,O,O,O,O,O,X,O,X
TOILJSZ,O,O,X,X,X,O,X,X
TOILJZS,O,O,X,X,X,X,X,X
TOILSJZ,X,O,X,X,X,O,X,X
TOILSZJ,X,O,X,X,X,O,X,O
TOILZJS,O,O,X,X,X,X,X,X
TOILZSJ,O,O,X,X,X,X,X,O
TOIJLSZ,X,O,O,X,X,O,X,X
TOIJLZS,O,O,O,X,X,X,X,X
TOIJSLZ,X,O,O,X,X,O,O,X
TOIJSZL,O,O,O,X,X,X,O,O
TOIJZLS,O,O,O,X,X,X,X,X
TOIJZSL,O,O,O,X,X,X,O,O
TOISLJZ,X,O,X,X,X,O,X,X
TOISLZJ,X,O,X,X,X,O,X,O
TOISJLZ,X,O,O,X,X,O,O,X
TOISJZL,X,O,O,X,X,X,O,O
TOISZLJ,X,O,X,X,X,O,X,O
TOISZJL,X,O,O,X,X,X,O,O
TOIZLJS,O,O,X,X,X,X,X,X
TOIZLSJ,O,O,X,X,X,X,X,O
TOIZJLS,O,O,X,X,X,X,X,X
TOIZJSL,O,O,X,X,X,X,O,O
TOIZSLJ,O,O,X,X,X,X,X,O
TOIZSJL,O,O,X,X,X,X,O,O
TOLIJSZ,O,O,X,X,X,O,X,X
TOLIJZS,O,O,X,X,X,X,X,X
TOLISJZ,X,O,X,X,X,O,X,X
TOLISZJ,X,O,X,X,X,O,X,O
TOLIZJS,O,O,X,X,X,X,X,X
TOLIZSJ,O,O,X,X,X,X,X,O
TOLJISZ,O,O,O,X,X,O,X,X
TOLJIZS,O,O,O,X,X,X,X,X
TOLJSIZ,O,O,O,X,O,O,O,X
TOLJSZI,O,O,O,X,O,O,O,X
TOLJZIS,O,O,O,X,O,X,X,X
TOLJZSI,O,O,O,X,O,X,O,X
TOLSIJZ,X,O,X,X,O,O,X,X
TOLSIZJ,X,O,X,X,O,O,X,X
TOLSJIZ,O,O,O,X,O,O,O,X
TOLSJZI,O,O,O,X,O,O,O,X
TOLSZIJ,O,O,X,X,O,O,X,O
TOLSZJI,O,O,O,X,O,O,O,X
TOLZIJS,O,O,X,X,X,X,X,X
TOLZISJ,O,O,X,X,O,X,X,O
TOLZJIS,O,O,X,X,O,X,X,X
TOLZJSI,O,O,X,X,O,X,O,X
TOLZSIJ,O,O,X,X,O,X,X,O
TOLZSJI,O,O,X,X,O,X,O,X
TOJILSZ,X,O,O,X,X,O,X,X
TOJILZS,O,O,O,X,X,X,X,X
TOJISLZ,X,O,O,X,X,O,O,X
TOJISZL,O,O,O,X,X,X,O,O
TOJIZLS,O,O,O,X,X,X,X,X
TOJIZSL,O,O,O,X,X,X,O,O
TOJLISZ,O,O,O,X,X,O,X,X
TOJLIZS,O,O,O,X,X,X,X,X
TOJLSIZ,O,O,O,X,O,O,O,X
TOJLSZI,O,O,O,X,O,O,O,X
TOJLZIS,O,O,O,X,O,X,X,X
TOJLZSI,O,O,O,X,O,X,O,X
TOJSILZ,X,O,O,X,X,O,O,X
TOJSIZL,O,O,O,X,O,X,O,X
TOJSLIZ,X,O,O,X,O,O,O,X
TOJSLZI,X,O,O,X,O,O,O,X
TOJSZIL,O,O,O,X,O,X,O,O
TOJSZLI,O,O,O,X,O,O,O,X
TOJZILS,O,O,O,X,X,X,X,X
TOJZISL,O,O,O,X,O,X,O,O
TOJZLIS,O,O,O,X,O,X,X,X
TOJZLSI,O,O,O,X,O,X,O,X
TOJZSIL,O,O,O,X,O,X,O,O
TOJZSLI,O,O,O,X,O,X,O,X
TOSILJZ,X,O,X,X,O,O,X,X
TOSILZJ,X,O,X,X,O,O,X,O
TOSIJLZ,X,O,O,X,X,O,O,X
TOSIJZL,X,O,O,X,O,X,O,O
TOSIZLJ,X,O,X,X,O,O,X,O
TOSIZJL,X,O,O,X,O,X,O,O
TOSLIJZ,X,O,X,X,O,O,X,X
TOSLIZJ,X,O,X,X,O,O,X,X
TOSLJIZ,O,O,O,X,O,O,O,X
TOSLJZI,O,O,O,X,O,O,O,X
TOSLZIJ,O,O,X,X,O,O,X,O
TOSLZJI,O,O,O,X,O,O,O,X
TOSJILZ,X,O,O,X,X,O,O,X
TOSJIZL,O,O,O,X,O,X,O,X
TOSJLIZ,X,O,O,X,O,O,O,X
TOSJLZI,X,O,O,X,O,O,O,X
TOSJZIL,O,O,O,X,O,X,O,O
TOSJZLI,O,O,O,X,O,O,O,X
TOSZILJ,O,O,X,X,O,O,X,O
TOSZIJL,O,O,O,X,O,X,O,O
TOSZLIJ,O,O,X,X,O,O,X,O
TOSZLJI,O,O,O,X,O,O,O,X
TOSZJIL,O,O,O,X,O,X,O,O
TOSZJLI,O,O,O,X,O,O,O,X
TOZILJS,O,O,X,X,X,X,X,X
TOZILSJ,O,O,X,X,X,X,X,O
TOZIJLS,O,O,X,X,X,X,X,X
TOZIJSL,O,O,X,X,X,X,O,O
TOZISLJ,O,O,X,X,O,X,X,O
TOZISJL,O,O,X,X,O,X,O,O
TOZLIJS,O,O,X,X,X,X,X,X
TOZLISJ,O,O,X,X,O,X,X,O
TOZLJIS,O,O,X,X,O,X,X,X
TOZLJSI,O,O,X,X,O,X,O,X
TOZLSIJ,O,O,X,X,O,X,X,O
TOZLSJI,O,O,X,X,O,X,O,X
TOZJILS,O,O,O,X,X,X,X,X
TOZJISL,O,O,O,X,O,X,O,O
TOZJLIS,O,O,O,X,O,X,X,X
TOZJLSI,O,O,O,X,O,X,O,X
TOZJSIL,O,O,O,X,O,X,O,O
TOZJSLI,O,O,O,X,O,X,O,X
TOZSILJ,O,O,X,X,O,X,X,O
TOZSIJL,O,O,O,X,O,X,O,O
TOZSLIJ,O,O,X,X,O,X,X,O
TOZSLJI,O,O,O,X,O,X,O,X
TOZSJIL,O,O,O,X,O,X,O,O
TOZSJLI,O,O,O,X,O,X,O,X
ITLJSZO,O,O,O,X,X,O,X,X
ITLJSOZ,O,X,O,X,X,O,X,X
ITLJZSO,O,O,O,X,X,O,X,X
ITLJZOS,O,X,O,X,X,X,X,X
ITLJOSZ,O,X,O,X,X,O,X,X
ITLJOZS,O,X,O,X,X,X,X,X
ITLSJZO,X,O,O,X,X,O,X,X
ITLSJOZ,X,X,O,X,X,O,X,X
ITLSZJO,X,O,X,X,X,O,X,X
ITLSZOJ,X,O,X,X,X,O,X,O
ITLSOJZ,X,X,X,X,X,O,X,X
ITLSOZJ,X,X,X,X,X,O,X,O
ITLZJSO,O,O,X,X,X,O,X,X
ITLZJOS,O,X,X,X,X,X,X,X
ITLZSJO,O,O,X,X,X,O,X,X
ITLZSOJ,O,O,X,X,X,O,X,O
ITLZOJS,O,X,X,X,X,X,X,X
ITLZOSJ,O,X,X,X,X,X,X,O
ITLOJSZ,O,X,X,X,X,O,X,X
ITLOJZS,O,X,X,X,X,X,X,X
ITLOSJZ,X,X,X,X,X,O,X,X
ITLOSZJ,X,X,X,X,X,O,X,O
ITLOZJS,O,X,X,X,X,X,X,X
ITLOZSJ,O,X,X,X,X,X,X,O
ITJLSZO,X,O,O,X,X,O,X,X
ITJLSOZ,X,X,O,X,X,O,X,X
ITJLZSO,O,O,O,X,X,O,X,X
ITJLZOS,O,X,O,X,X,X,X,X
ITJLOSZ,X,X,O,X,X,O,X,X
ITJLOZS,O,X,O,X,X,X,X,X
ITJSLZO,X,O,O,X,X,O,X,X
ITJSLOZ,X,X,O,X,X,O,X,X
ITJSZLO,O,O,O,X,X,O,X,X
ITJSZOL,O,O,O,X,X,X,O,O
ITJSOLZ,X,O,O,X,X,O,X,X
ITJSOZL,O,O,O,X,X,X,X,O
ITJZLSO,O,O,O,X,X,O,X,X
ITJZLOS,O,X,O,X,X,X,X,X
ITJZSLO,O,O,O,X,X,O,X,X
ITJZSOL,O,O,O,X,X,X,O,O
ITJZOLS,O,O,O,X,X,X,X,X
ITJZOSL,O,O,O,X,X,X,X,O
ITJOLSZ,X,O,O,X,X,O,X,X
ITJOLZS,O,O,O,X,X,X,X,X
ITJOSLZ,X,O,O,X,X,O,X,X
ITJOSZL,O,O,O,X,X,X,X,O
ITJOZLS,O,O,O,X,X,X,X,X
ITJOZSL,O,O,O,X,X,X,X,O
ITSLJZO,X,O,O,X,X,O,X,X
ITSLJOZ,X,X,O,X,X,O,X,X
ITSLZJO,X,O,X,X,X,O,X,X
ITSLZOJ,X,O,X,X,X,O,X,O
ITSLOJZ,X,X,X,X,X,O,X,X
ITSLOZJ,X,X,X,X,X,O,X,O
ITSJLZO,X,O,O,X,X,O,X,X
ITSJLOZ,X,X,O,X,X,O,X,X
ITSJZLO,X,O,O,X,X,O,X,X
ITSJZOL,X,O,O,X,X,X,O,O
ITSJOLZ,X,O,O,X,X,O,X,X
ITSJOZL,X,O,O,X,X,X,X,O
ITSZLJO,X,O,X,X,X,O,X,X
ITSZLOJ,X,O,X,X,X,O,X,O
ITSZJLO,X,O,O,X,X,O,X,X
ITSZJOL,X,O,O,X,X,X,O,O
ITSZOLJ,X,O,X,X,X,O,X,O
ITSZOJL,X,O,O,X,X,X,O,O
ITSOLJZ,X,O,X,X,X,O,X,X
ITSOLZJ,X,O,X,X,X,O,X,O
ITSOJLZ,X,O,O,X,X,O,O,X
ITSOJZL,X,O,O,X,X,X,O,O
ITSOZLJ,X,O,X,X,X,O,X,O
ITSOZJL,X,O,O,X,X,X,O,O
ITZLJSO,O,O,X,X,X,O,X,X
ITZLJOS,O,X,X,X,X,X,X,X
ITZLSJO,O,O,X,X,X,O,X,X
ITZLSOJ,O,O,X,X,X,O,X,O
ITZLOJS,O,X,X,X,X,X,X,X
ITZLOSJ,O,X,X,X,X,X,X,O
ITZJLSO,O,O,O,X,X,O,X,X
ITZJLOS,O,X,O,X,X,X,X,X
ITZJSLO,O,O,O,X,X,O,X,X
ITZJSOL,O,O,O,X,X,X,O,O
ITZJOLS,O,O,O,X,X,X,X,X
ITZJOSL,O,O,O,X,X,X,X,O
ITZSLJO,O,O,X,X,X,O,X,X
ITZSLOJ,O,O,X,X,X,O,X,O
ITZSJLO,O,O,O,X,X,O,X,X
ITZSJOL,O,O,O,X,X,X,O,O
ITZSOLJ,O,O,X,X,X,O,X,O
ITZSOJL,O,O,X,X,X,X,O,O
ITZOLJS,O,O,X,X,X,X,X,X
ITZOLSJ,O,O,X,X,X,X,X,O
ITZOJLS,O,O,X,X,X,X,X,X
ITZOJSL,O,O,X,X,X,X,O,O
ITZOSLJ,O,O,X,X,X,X,X,O
ITZOSJL,O,O,X,X,X,X,O,O
ITOLJSZ,O,O,X,X,X,O,X,X
ITOLJZS,O,O,X,X,X,X,X,X
ITOLSJZ,X,O,X,X,X,O,X,X
ITOLSZJ,X,O,X,X,X,O,X,O
ITOLZJS,O,O,X,X,X,X,X,X
ITOLZSJ,O,O,X,X,X,X,X,O
ITOJLSZ,X,O,O,X,X,O,X,X
ITOJLZS,O,O,O,X,X,X,X,X
ITOJSLZ,X,O,O,X,X,O,O,X
ITOJSZL,O,O,O,X,X,X,O,O
ITOJZLS,O,O,O,X,X,X,X,X
ITOJZSL,O,O,O,X,X,X,O,O
ITOSLJZ,X,O,X,X,X,O,X,X
ITOSLZJ,X,O,X,X,X,O,X,O
ITOSJLZ,X,O,O,X,X,O,O,X
ITOSJZL,X,O,O,X,X,X,O,O
ITOSZLJ,X,O,X,X,X,O,X,O
ITOSZJL,X,O,O,X,X,X,O,O
ITOZLJS,O,O,X,X,X,X,X,X
ITOZLSJ,O,O,X,X,X,X,X,O
ITOZJLS,O,O,X,X,X,X,X,X
ITOZJSL,O,O,X,X,X,X,O,O
ITOZSLJ,O,O,X,X,X,X,X,O
ITOZSJL,O,O,X,X,X,X,O,O
ILTJSZO,O,O,X,X,X,O,X,X
ILTJSOZ,O,X,X,X,X,O,X,X
ILTJZSO,O,O,X,X,X,O,X,X
ILTJZOS,O,X,X,X,X,X,X,X
ILTJOSZ,O,X,X,X,X,O,X,X
ILTJOZS,O,X,X,X,X,X,X,X
ILTSJZO,X,O,X,X,X,O,X,X
ILTSJOZ,X,X,X,X,X,O,X,X
ILTSZJO,X,O,X,X,X,O,X,X
ILTSZOJ,X,O,X,X,X,O,X,O
ILTSOJZ,X,X,X,X,X,O,X,X
ILTSOZJ,X,X,X,X,X,O,X,O
ILTZJSO,O,O,X,X,X,O,X,X
ILTZJOS,O,X,X,X,X,X,X,X
ILTZSJO,O,O,X,X,X,O,X,X
ILTZSOJ,O,O,X,X,X,O,X,O
ILTZOJS,O,X,X,X,X,X,X,X
ILTZOSJ,O,X,X,X,X,X,X,O
ILTOJSZ,O,X,X,X,X,O,X,X
ILTOJZS,O,X,X,X,X,X,X,X
ILTOSJZ,X,X,X,X,X,O,X,X
ILTOSZJ,X,X,X,X,X,O,X,O
ILTOZJS,O,X,X,X,X,X,X,X
ILTOZSJ,O,X,X,X,X,X,X,O
ILJTSZO,X,O,X,X,X,O,X,X
ILJTSOZ,X,X,X,X,X,O,X,X
ILJTZSO,O,O,X,X,X,O,X,X
ILJTZOS,O,X,X,X,X,X,X,X
ILJTOSZ,X,X,X,X,X,O,X,X
ILJTOZS,O,X,X,X,X,X,X,X
ILJSTZO,X,X,X,O,O,O,X,X
ILJSTOZ,X,X,X,X,X,O,X,X
ILJSZTO,O,X,X,O,O,O,X,X
ILJSZOT,O,X,X,O,O,X,X,X
ILJSOTZ,X,X,X,O,X,X,X,X
ILJSOZT,O,X,X,O,X,X,X,X
ILJZTSO,O,O,X,O,O,X,X,X
ILJZTOS,O,X,X,O,X,X,X,X
ILJZSTO,O,X,X,O,O,X,X,X
ILJZSOT,O,X,X,O,O,X,X,X
ILJZOTS,O,O,X,O,X,X,X,X
ILJZOST,O,X,X,O,O,X,X,X
ILJOTSZ,X,O,X,X,X,X,X,X
ILJOTZS,O,O,X,X,X,X,X,X
ILJOSTZ,X,X,X,O,X,X,X,X
ILJOSZT,O,X,X,O,X,X,X,X
ILJOZTS,O,O,X,O,X,X,X,X
ILJOZST,O,X,X,O,X,X,X,X
ILSTJZO,X,X,X,O,O,O,X,X
ILSTJOZ,X,X,X,X,X,O,X,X
ILSTZJO,X,X,X,O,O,O,X,X
ILSTZOJ,X,X,X,O,O,O,X,O
ILSTOJZ,X,X,X,X,X,O,X,X
ILSTOZJ,X,X,X,X,X,O,X,O
ILSJTZO,X,X,X,O,O,O,X,X
ILSJTOZ,X,X,X,X,X,O,X,X
ILSJZTO,X,X,X,O,O,O,X,X
ILSJZOT,X,X,X,O,O,X,X,X
ILSJOTZ,X,X,X,O,X,X,X,X
ILSJOZT,X,X,X,O,X,X,X,X
ILSZTJO,X,X,X,O,O,O,X,X
ILSZTOJ,X,X,X,O,O,O,X,O
ILSZJTO,X,X,X,O,O,X,X,X
ILSZJOT,X,X,X,O,O,X,X,X
ILSZOTJ,X,X,X,O,O,X,X,O
ILSZOJT,X,X,X,O,X,X,X,X
ILSOTJZ,X,X,X,O,X,X,X,X
ILSOTZJ,X,X,X,O,X,X,X,O
ILSOJTZ,X,X,X,O,X,X,X,X
ILSOJZT,X,X,X,O,X,X,X,X
ILSOZTJ,X,X,X,O,X,X,X,O
ILSOZJT,X,X,X,O,X,X,X,X
ILZTJSO,O,O,X,O,X,X,X,X
ILZTJOS,O,X,X,O,X,X,X,X
ILZTSJO,O,O,X,O,O,X,X,X
ILZTSOJ,O,O,X,O,O,X,X,O
ILZTOJS,O,X,X,X,X,X,X,X
ILZTOSJ,O,X,X,X,X,X,X,O
ILZJTSO,O,O,X,O,O,X,X,X
ILZJTOS,O,X,X,O,X,X,X,X
ILZJSTO,O,X,X,O,O,X,X,X
ILZJSOT,O,X,X,O,O,X,X,X
ILZJOTS,O,O,X,O,X,X,X,X
ILZJOST,O,X,X,O,O,X,X,X
ILZSTJO,O,X,X,O,O,X,X,X
ILZSTOJ,O,X,X,O,O,X,X,O
ILZSJTO,O,X,X,O,O,X,X,X
ILZSJOT,O,X,X,O,O,X,X,X
ILZSOTJ,O,X,X,O,O,X,X,O
ILZSOJT,O,X,X,O,X,X,X,X
ILZOTJS,O,O,X,X,X,X,X,X
ILZOTSJ,O,O,X,X,X,X,X,O
ILZOJTS,O,O,X,O,X,X,X,X
ILZOJST,O,X,X,O,X,X,X,X
ILZOSTJ,O,X,X,O,O,X,X,O
ILZOSJT,O,X,X,O,X,X,X,X
ILOTJSZ,O,O,X,X,X,X,X,X
ILOTJZS,O,O,X,X,X,X,X,X
ILOTSJZ,X,O,X,X,X,X,X,X
ILOTSZJ,X,O,X,X,X,X,X,O
ILOTZJS,O,O,X,X,X,X,X,X
ILOTZSJ,O,O,X,X,X,X,X,O
ILOJTSZ,X,O,X,X,X,X,X,X
ILOJTZS,O,O,X,X,X,X,X,X
ILOJSTZ,X,X,X,O,X,X,X,X
ILOJSZT,O,X,X,O,X,X,X,X
ILOJZTS,O,O,X,O,X,X,X,X
ILOJZST,O,X,X,O,X,X,X,X
ILOSTJZ,X,X,X,O,X,X,X,X
ILOSTZJ,X,X,X,O,X,X,X,O
ILOSJTZ,X,X,X,O,X,X,X,X
ILOSJZT,X,X,X,O,X,X,X,X
ILOSZTJ,X,X,X,O,X,X,X,O
ILOSZJT,X,X,X,O,X,X,X,X
ILOZTJS,O,O,X,X,X,X,X,X
ILOZTSJ,O,O,X,X,X,X,X,O
ILOZJTS,O,O,X,O,X,X,X,X
ILOZJST,O,X,X,O,X,X,X,X
ILOZSTJ,O,X,X,O,X,X,X,O
ILOZSJT,O,X,X,O,X,X,X,X
IJTLSZO,X,O,O,X,X,O,X,X
IJTLSOZ,X,X,O,X,X,O,X,X
IJTLZSO,X,O,O,X,X,O,X,X
IJTLZOS,X,X,O,X,X,X,X,X
IJTLOSZ,X,X,O,X,X,O,X,X
IJTLOZS,X,X,O,X,X,X,X,X
IJTSLZO,X,O,O,X,X,O,X,X
IJTSLOZ,X,X,O,X,X,O,X,X
IJTSZLO,X,O,O,X,X,O,X,X
IJTSZOL,X,O,O,X,X,X,O,O
IJTSOLZ,X,O,O,X,X,O,X,X
IJTSOZL,X,O,O,X,X,X,X,O
IJTZLSO,X,O,O,X,X,O,X,X
IJTZLOS,X,X,O,X,X,X,X,X
IJTZSLO,X,O,O,X,X,O,X,X
IJTZSOL,X,O,O,X,X,X,O,O
IJTZOLS,X,O,O,X,X,X,X,X
IJTZOSL,X,O,O,X,X,X,X,O
IJTOLSZ,X,O,O,X,X,O,X,X
IJTOLZS,X,O,O,X,X,X,X,X
IJTOSLZ,X,O,O,X,X,O,X,X
IJTOSZL,X,O,O,X,X,X,X,O
IJTOZLS,X,O,O,X,X,X,X,X
IJTOZSL,X,O,O,X,X,X,X,O
IJLTSZO,X,O,O,X,X,O,X,X
IJLTSOZ,X,X,O,X,X,O,X,X
IJLTZSO,X,O,O,X,X,O,X,X
IJLTZOS,X,X,O,X,X,X,X,X
IJLTOSZ,X,X,O,X,X,O,X,X
IJLTOZS,X,X,O,X,X,X,X,X
IJLSTZO,X,X,O,O,O,O,X,X
IJLSTOZ,X,X,O,X,X,O,X,X
IJLSZTO,X,X,O,O,O,O,X,X
IJLSZOT,X,X,O,O,O,X,X,X
IJLSOTZ,X,X,O,O,X,X,X,X
IJLSOZT,X,X,O,O,X,X,X,X
IJLZTSO,X,O,X,O,O,X,X,X
IJLZTOS,X,X,X,O,X,X,X,X
IJLZSTO,X,X,O,O,O,X,X,X
IJLZSOT,X,X,O,O,O,X,X,X
IJLZOTS,X,O,X,O,X,X,X,X
IJLZOST,X,X,O,O,O,X,X,X
IJLOTSZ,X,O,O,X,X,X,X,X
IJLOTZS,X,O,O,X,X,X,X,X
IJLOSTZ,X,X,O,O,X,X,X,X
IJLOSZT,X,X,O,O,X,X,X,X
IJLOZTS,X,O,X,O,X,X,X,X
IJLOZST,X,X,O,O,X,X,X,X
IJSTLZO,X,X,O,X,X,O,X,X
IJSTLOZ,X,X,O,X,X,O,X,X
IJSTZLO,X,X,O,O,O,O,X,X
IJSTZOL,X,X,O,O,O,X,O,O
IJSTOLZ,X,X,O,X,X,O,X,X
IJSTOZL,X,X,O,X,X,X,X,O
IJSLTZO,X,X,O,O,O,O,X,X
IJSLTOZ,X,X,O,X,X,O,X,X
IJSLZTO,X,X,O,O,O,O,X,X
IJSLZOT,X,X,O,O,O,X,X,X
IJSLOTZ,X,X,O,O,X,X,X,X
IJSLOZT,X,X,O,O,X,X,X,X
IJSZTLO,X,X,O,O,O,O,X,X
IJSZTOL,X,X,O,O,O,X,O,O
IJSZLTO,X,X,O,O,O,O,X,X
IJSZLOT,X,X,O,O,O,X,X,X
IJSZOTL,X,X,O,O,O,X,O,O
IJSZOLT,X,X,O,X,O,X,O,X
IJSOTLZ,X,X,O,X,X,X,O,X
IJSOTZL,X,X,O,X,O,X,O,O
IJSOLTZ,X,X,O,X,O,X,O,X
IJSOLZT,X,X,O,X,O,X,O,X
IJSOZTL,X,X,O,O,O,X,O,O
IJSOZLT,X,X,O,X,O,X,O,X
IJZTLSO,X,O,X,O,O,X,X,X
IJZTLOS,X,X,X,O,X,X,X,X
IJZTSLO,X,O,X,O,O,X,X,X
IJZTSOL,X,O,X,O,O,X,O,O
IJZTOLS,X,O,X,O,X,X,X,X
IJZTOSL,X,O,X,X,O,X,X,O
IJZLTSO,X,O,X,O,O,X,X,X
IJZLTOS,X,X,X,O,X,X,X,X
IJZLSTO,X,X,O,O,O,X,X,X
IJZLSOT,X,X,O,O,O,X,X,X
IJZLOTS,X,O,X,O,X,X,X,X
IJZLOST,X,X,O,O,O,X,X,X
IJZSTLO,X,X,O,O,O,X,X,X
IJZSTOL,X,X,X,O,O,X,O,O
IJZSLTO,X,X,O,O,O,X,X,X
IJZSLOT,X,X,O,O,O,X,X,X
IJZSOTL,X,X,O,O,O,X,O,O
IJZSOLT,X,X,O,X,O,X,O,X
IJZOTLS,X,O,X,O,X,X,X,X
IJZOTSL,X,O,X,X,O,X,O,O
IJZOLTS,X,O,X,O,O,X,X,X
IJZOLST,X,X,O,O,O,X,X,X
IJZOSTL,X,X,O,X,O,X,O,O
IJZOSLT,X,X,O,X,O,X,O,X
IJOTLSZ,X,O,O,X,X,X,X,X
IJOTLZS,X,O,O,X,X,X,X,X
IJOTSLZ,X,O,O,X,X,X,O,X
IJOTSZL,X,O,O,X,X,X,O,O
IJOTZLS,X,O,O,X,X,X,X,X
IJOTZSL,X,O,O,X,X,X,O,O
IJOLTSZ,X,O,O,X,X,X,X,X
IJOLTZS,X,O,O,X,X,X,X,X
IJOLSTZ,X,X,O,O,O,X,X,X
IJOLSZT,X,X,O,O,O,X,X,X
IJOLZTS,X,O,X,O,O,X,X,X
IJOLZST,X,X,O,O,O,X,X,X
IJOSTLZ,X,X,O,X,X,X,O,X
IJOSTZL,X,X,O,X,O,X,O,O
IJOSLTZ,X,X,O,X,O,X,O,X
IJOSLZT,X,X,O,X,O,X,O,X
IJOSZTL,X,X,O,X,O,X,O,O
IJOSZLT,X,X,O,X,O,X,O,X
IJOZTLS,X,O,X,O,X,X,X,X
IJOZTSL,X,O,X,X,O,X,O,O
IJOZLTS,X,O,X,O,O,X,X,X
IJOZLST,X,X,O,O,O,X,X,X
IJOZSTL,X,X,O,X,O,X,O,O
IJOZSLT,X,X,O,X,O,X,O,X
ISTLJZO,X,X,O,O,O,O,X,X
ISTLJOZ,X,X,O,X,X,O,X,X
ISTLZJO,X,X,X,O,O,O,X,X
ISTLZOJ,X,X,X,O,O,O,X,O
ISTLOJZ,X,X,X,X,X,O,X,X
ISTLOZJ,X,X,X,X,X,O,X,O
ISTJLZO,X,X,O,X,X,O,X,X
ISTJLOZ,X,X,O,X,X,O,X,X
ISTJZLO,X,X,O,O,O,O,X,X
ISTJZOL,X,X,O,O,O,X,O,O
ISTJOLZ,X,X,O,X,X,O,X,X
ISTJOZL,X,X,O,X,X,X,X,O
ISTZLJO,X,X,X,O,O,O,X,X
ISTZLOJ,X,X,X,O,O,O,X,O
ISTZJLO,X,X,O,O,O,O,X,X
ISTZJOL,X,X,O,O,O,X,O,O
ISTZOLJ,X,X,X,O,O,O,X,O
ISTZOJL,X,X,O,O,O,X,O,O
ISTOLJZ,X,X,X,X,O,O,X,X
ISTOLZJ,X,X,X,X,O,O,X,O
ISTOJLZ,X,X,O,X,X,O,O,X
ISTOJZL,X,X,O,X,O,X,O,O
ISTOZLJ,X,X,X,X,O,O,X,O
ISTOZJL,X,X,O,X,O,X,O,O
ISLTJZO,X,X,X,O,O,O,X,X
ISLTJOZ,X,X,X,X,X,O,X,X
ISLTZJO,X,X,X,O,O,O,X,X
